context: At the end of the 1990's. response:	Japan has reached the most dangerous depths of economic crisis and depression since World War II.
context: What are you doing up here?\It's the best eating lunch at places like this.\It's the best eating lunch at places like this. Conversation.\It's the best eating lunch at places like this.\Gorilla! Ha ha ha you're a gorillia!\Gorilla! Ha ha ha you're a gorillia! Guffawing.\Gorilla! Ha ha ha you're a gorillia!\You say so, but you look like a gorilla yourself. response:	You say so, but you look like a gorilla yourself. Girl looks on with morbid fascination.
context: It's the best eating lunch at places like this.\It's the best eating lunch at places like this. Conversation.\It's the best eating lunch at places like this.\Gorilla! Ha ha ha you're a gorillia!\Gorilla! Ha ha ha you're a gorillia! Guffawing.\Gorilla! Ha ha ha you're a gorillia!\You say so, but you look like a gorilla yourself.\You say so, but you look like a gorilla yourself. Girl looks on with morbid fascination. response:	You say so, but you look like a gorilla yourself.
context: It's the best eating lunch at places like this. Conversation.\It's the best eating lunch at places like this.\Gorilla! Ha ha ha you're a gorillia!\Gorilla! Ha ha ha you're a gorillia! Guffawing.\Gorilla! Ha ha ha you're a gorillia!\You say so, but you look like a gorilla yourself.\You say so, but you look like a gorilla yourself. Girl looks on with morbid fascination.\You say so, but you look like a gorilla yourself. response:	Here, some feed.
context: It's the best eating lunch at places like this.\Gorilla! Ha ha ha you're a gorillia!\Gorilla! Ha ha ha you're a gorillia! Guffawing.\Gorilla! Ha ha ha you're a gorillia!\You say so, but you look like a gorilla yourself.\You say so, but you look like a gorilla yourself. Girl looks on with morbid fascination.\You say so, but you look like a gorilla yourself.\Here, some feed. response:	Irritated again.
context: Gorilla! Ha ha ha you're a gorillia!\Gorilla! Ha ha ha you're a gorillia! Guffawing.\Gorilla! Ha ha ha you're a gorillia!\You say so, but you look like a gorilla yourself.\You say so, but you look like a gorilla yourself. Girl looks on with morbid fascination.\You say so, but you look like a gorilla yourself.\Here, some feed.\Irritated again. response:	Dullness...
context: Gorilla! Ha ha ha you're a gorillia! Guffawing.\Gorilla! Ha ha ha you're a gorillia!\You say so, but you look like a gorilla yourself.\You say so, but you look like a gorilla yourself. Girl looks on with morbid fascination.\You say so, but you look like a gorilla yourself.\Here, some feed.\Irritated again.\Dullness... response:	And then restfulness.
context: Gorilla! Ha ha ha you're a gorillia!\You say so, but you look like a gorilla yourself.\You say so, but you look like a gorilla yourself. Girl looks on with morbid fascination.\You say so, but you look like a gorilla yourself.\Here, some feed.\Irritated again.\Dullness...\And then restfulness. response:	Hey
context: You say so, but you look like a gorilla yourself.\You say so, but you look like a gorilla yourself. Girl looks on with morbid fascination.\You say so, but you look like a gorilla yourself.\Here, some feed.\Irritated again.\Dullness...\And then restfulness.\Hey response:	Hey Destruction of her pleasure.
context: You say so, but you look like a gorilla yourself. Girl looks on with morbid fascination.\You say so, but you look like a gorilla yourself.\Here, some feed.\Irritated again.\Dullness...\And then restfulness.\Hey\Hey Destruction of her pleasure. response:	Destruction of her pleasure.
context: You say so, but you look like a gorilla yourself.\Here, some feed.\Irritated again.\Dullness...\And then restfulness.\Hey\Hey Destruction of her pleasure.\Destruction of her pleasure. response:	Destruction of her pleasure. N...wha?
context: Here, some feed.\Irritated again.\Dullness...\And then restfulness.\Hey\Hey Destruction of her pleasure.\Destruction of her pleasure.\Destruction of her pleasure. N...wha? response:	Destruction of her pleasure.
context: Irritated again.\Dullness...\And then restfulness.\Hey\Hey Destruction of her pleasure.\Destruction of her pleasure.\Destruction of her pleasure. N...wha?\Destruction of her pleasure. response:	Destruction of her pleasure. You haven't forgotten what I told you the other day, right?
context: Dullness...\And then restfulness.\Hey\Hey Destruction of her pleasure.\Destruction of her pleasure.\Destruction of her pleasure. N...wha?\Destruction of her pleasure.\Destruction of her pleasure. You haven't forgotten what I told you the other day, right? response:	You haven't forgotten what I told you the other day, right?
context: And then restfulness.\Hey\Hey Destruction of her pleasure.\Destruction of her pleasure.\Destruction of her pleasure. N...wha?\Destruction of her pleasure.\Destruction of her pleasure. You haven't forgotten what I told you the other day, right?\You haven't forgotten what I told you the other day, right? response:	You haven't forgotten what I told you the other day, right? Bringing an end to his endurance.
context: Hey\Hey Destruction of her pleasure.\Destruction of her pleasure.\Destruction of her pleasure. N...wha?\Destruction of her pleasure.\Destruction of her pleasure. You haven't forgotten what I told you the other day, right?\You haven't forgotten what I told you the other day, right?\You haven't forgotten what I told you the other day, right? Bringing an end to his endurance. response:	Bringing an end to his endurance.
context: Hey Destruction of her pleasure.\Destruction of her pleasure.\Destruction of her pleasure. N...wha?\Destruction of her pleasure.\Destruction of her pleasure. You haven't forgotten what I told you the other day, right?\You haven't forgotten what I told you the other day, right?\You haven't forgotten what I told you the other day, right? Bringing an end to his endurance.\Bringing an end to his endurance. response:	And thus interjecting.
context: Destruction of her pleasure.\Destruction of her pleasure. N...wha?\Destruction of her pleasure.\Destruction of her pleasure. You haven't forgotten what I told you the other day, right?\You haven't forgotten what I told you the other day, right?\You haven't forgotten what I told you the other day, right? Bringing an end to his endurance.\Bringing an end to his endurance.\And thus interjecting. response:	And thus interjecting. What are you all confident about?
context: Destruction of her pleasure. N...wha?\Destruction of her pleasure.\Destruction of her pleasure. You haven't forgotten what I told you the other day, right?\You haven't forgotten what I told you the other day, right?\You haven't forgotten what I told you the other day, right? Bringing an end to his endurance.\Bringing an end to his endurance.\And thus interjecting.\And thus interjecting. What are you all confident about? response:	And thus interjecting.
context: Destruction of her pleasure.\Destruction of her pleasure. You haven't forgotten what I told you the other day, right?\You haven't forgotten what I told you the other day, right?\You haven't forgotten what I told you the other day, right? Bringing an end to his endurance.\Bringing an end to his endurance.\And thus interjecting.\And thus interjecting. What are you all confident about?\And thus interjecting. response:	But she is utterly unmoved.
context: Destruction of her pleasure. You haven't forgotten what I told you the other day, right?\You haven't forgotten what I told you the other day, right?\You haven't forgotten what I told you the other day, right? Bringing an end to his endurance.\Bringing an end to his endurance.\And thus interjecting.\And thus interjecting. What are you all confident about?\And thus interjecting.\But she is utterly unmoved. response:	But she is utterly unmoved. Yeah.
context: You haven't forgotten what I told you the other day, right?\You haven't forgotten what I told you the other day, right? Bringing an end to his endurance.\Bringing an end to his endurance.\And thus interjecting.\And thus interjecting. What are you all confident about?\And thus interjecting.\But she is utterly unmoved.\But she is utterly unmoved. Yeah. response:	But she is utterly unmoved.
context: You haven't forgotten what I told you the other day, right? Bringing an end to his endurance.\Bringing an end to his endurance.\And thus interjecting.\And thus interjecting. What are you all confident about?\And thus interjecting.\But she is utterly unmoved.\But she is utterly unmoved. Yeah.\But she is utterly unmoved. response:	But she is utterly unmoved. If you don't like me, I can't help it. Go ahead and not like me.
context: Bringing an end to his endurance.\And thus interjecting.\And thus interjecting. What are you all confident about?\And thus interjecting.\But she is utterly unmoved.\But she is utterly unmoved. Yeah.\But she is utterly unmoved.\But she is utterly unmoved. If you don't like me, I can't help it. Go ahead and not like me. response:	If you don't like me, I can't help it. Go ahead and not like me.
context: And thus interjecting.\And thus interjecting. What are you all confident about?\And thus interjecting.\But she is utterly unmoved.\But she is utterly unmoved. Yeah.\But she is utterly unmoved.\But she is utterly unmoved. If you don't like me, I can't help it. Go ahead and not like me.\If you don't like me, I can't help it. Go ahead and not like me. response:	Grr! What does that mean? She does not move.
context: And thus interjecting. What are you all confident about?\And thus interjecting.\But she is utterly unmoved.\But she is utterly unmoved. Yeah.\But she is utterly unmoved.\But she is utterly unmoved. If you don't like me, I can't help it. Go ahead and not like me.\If you don't like me, I can't help it. Go ahead and not like me.\Grr! What does that mean? She does not move. response:	She does not move.
context: And thus interjecting.\But she is utterly unmoved.\But she is utterly unmoved. Yeah.\But she is utterly unmoved.\But she is utterly unmoved. If you don't like me, I can't help it. Go ahead and not like me.\If you don't like me, I can't help it. Go ahead and not like me.\Grr! What does that mean? She does not move.\She does not move. response:	She does not move. Besides, I like you quite a bit.
context: But she is utterly unmoved.\But she is utterly unmoved. Yeah.\But she is utterly unmoved.\But she is utterly unmoved. If you don't like me, I can't help it. Go ahead and not like me.\If you don't like me, I can't help it. Go ahead and not like me.\Grr! What does that mean? She does not move.\She does not move.\She does not move. Besides, I like you quite a bit. response:	Besides, I like you quite a bit.
context: But she is utterly unmoved. Yeah.\But she is utterly unmoved.\But she is utterly unmoved. If you don't like me, I can't help it. Go ahead and not like me.\If you don't like me, I can't help it. Go ahead and not like me.\Grr! What does that mean? She does not move.\She does not move.\She does not move. Besides, I like you quite a bit.\Besides, I like you quite a bit. response:	Silence.
context: But she is utterly unmoved.\But she is utterly unmoved. If you don't like me, I can't help it. Go ahead and not like me.\If you don't like me, I can't help it. Go ahead and not like me.\Grr! What does that mean? She does not move.\She does not move.\She does not move. Besides, I like you quite a bit.\Besides, I like you quite a bit.\Silence. response:	Eh?! Shut up
context: But she is utterly unmoved. If you don't like me, I can't help it. Go ahead and not like me.\If you don't like me, I can't help it. Go ahead and not like me.\Grr! What does that mean? She does not move.\She does not move.\She does not move. Besides, I like you quite a bit.\Besides, I like you quite a bit.\Silence.\Eh?! Shut up response:	Eh?! Shut up Shaken.
context: If you don't like me, I can't help it. Go ahead and not like me.\Grr! What does that mean? She does not move.\She does not move.\She does not move. Besides, I like you quite a bit.\Besides, I like you quite a bit.\Silence.\Eh?! Shut up\Eh?! Shut up Shaken. response:	Shaken.
context: Grr! What does that mean? She does not move.\She does not move.\She does not move. Besides, I like you quite a bit.\Besides, I like you quite a bit.\Silence.\Eh?! Shut up\Eh?! Shut up Shaken.\Shaken. response:	I SAID I DON'T LIKE YOU!
