context: So... you found yourself another arm! response:	This replacement arm...
context: Tetsusaiga...\cut through the empty space!\Reveal your true power!\Sesshomaru is able to see the Wind Scar!\Old man... just what is the Wind Scar?\Simply put, the secret to mastering the Tetsusaiga.\Slaying a hundred demons is impossible...\unless you can read the Wind Scar. response:	Sesshomaru is able to see it.
context: cut through the empty space!\Reveal your true power!\Sesshomaru is able to see the Wind Scar!\Old man... just what is the Wind Scar?\Simply put, the secret to mastering the Tetsusaiga.\Slaying a hundred demons is impossible...\unless you can read the Wind Scar.\Sesshomaru is able to see it. response:	Then please teach the secret to Inuyasha, too!
context: Reveal your true power!\Sesshomaru is able to see the Wind Scar!\Old man... just what is the Wind Scar?\Simply put, the secret to mastering the Tetsusaiga.\Slaying a hundred demons is impossible...\unless you can read the Wind Scar.\Sesshomaru is able to see it.\Then please teach the secret to Inuyasha, too! response:	Right now!
context: Sesshomaru is able to see the Wind Scar!\Old man... just what is the Wind Scar?\Simply put, the secret to mastering the Tetsusaiga.\Slaying a hundred demons is impossible...\unless you can read the Wind Scar.\Sesshomaru is able to see it.\Then please teach the secret to Inuyasha, too!\Right now! response:	It's impossible to teach.
context: Old man... just what is the Wind Scar?\Simply put, the secret to mastering the Tetsusaiga.\Slaying a hundred demons is impossible...\unless you can read the Wind Scar.\Sesshomaru is able to see it.\Then please teach the secret to Inuyasha, too!\Right now!\It's impossible to teach. response:	Inuyasha must discover it for himself.
context: Simply put, the secret to mastering the Tetsusaiga.\Slaying a hundred demons is impossible...\unless you can read the Wind Scar.\Sesshomaru is able to see it.\Then please teach the secret to Inuyasha, too!\Right now!\It's impossible to teach.\Inuyasha must discover it for himself. response:	If he cannot...
context: Slaying a hundred demons is impossible...\unless you can read the Wind Scar.\Sesshomaru is able to see it.\Then please teach the secret to Inuyasha, too!\Right now!\It's impossible to teach.\Inuyasha must discover it for himself.\If he cannot... response:	Inuyasha will die here.
context: unless you can read the Wind Scar.\Sesshomaru is able to see it.\Then please teach the secret to Inuyasha, too!\Right now!\It's impossible to teach.\Inuyasha must discover it for himself.\If he cannot...\Inuyasha will die here. response:	Damn it! He's just using brute strength!
context: Sesshomaru is able to see it.\Then please teach the secret to Inuyasha, too!\Right now!\It's impossible to teach.\Inuyasha must discover it for himself.\If he cannot...\Inuyasha will die here.\Damn it! He's just using brute strength! response:	Inuyasha!
context: Then please teach the secret to Inuyasha, too!\Right now!\It's impossible to teach.\Inuyasha must discover it for himself.\If he cannot...\Inuyasha will die here.\Damn it! He's just using brute strength!\Inuyasha! response:	The sword is crying!
context: Right now!\It's impossible to teach.\Inuyasha must discover it for himself.\If he cannot...\Inuyasha will die here.\Damn it! He's just using brute strength!\Inuyasha!\The sword is crying! response:	Do you think Sesshomaru is only aiming for the Tetsusaiga?
context: It's impossible to teach.\Inuyasha must discover it for himself.\If he cannot...\Inuyasha will die here.\Damn it! He's just using brute strength!\Inuyasha!\The sword is crying!\Do you think Sesshomaru is only aiming for the Tetsusaiga? response:	This is bad!
context: Inuyasha must discover it for himself.\If he cannot...\Inuyasha will die here.\Damn it! He's just using brute strength!\Inuyasha!\The sword is crying!\Do you think Sesshomaru is only aiming for the Tetsusaiga?\This is bad! response:	He's hacking away at the peak of wave pattern of the sword.
context: If he cannot...\Inuyasha will die here.\Damn it! He's just using brute strength!\Inuyasha!\The sword is crying!\Do you think Sesshomaru is only aiming for the Tetsusaiga?\This is bad!\He's hacking away at the peak of wave pattern of the sword. response:	Even the Tetsusaiga will snap if it's hit repeatedly like that.
context: Inuyasha will die here.\Damn it! He's just using brute strength!\Inuyasha!\The sword is crying!\Do you think Sesshomaru is only aiming for the Tetsusaiga?\This is bad!\He's hacking away at the peak of wave pattern of the sword.\Even the Tetsusaiga will snap if it's hit repeatedly like that. response:	What's with him?!
context: Damn it! He's just using brute strength!\Inuyasha!\The sword is crying!\Do you think Sesshomaru is only aiming for the Tetsusaiga?\This is bad!\He's hacking away at the peak of wave pattern of the sword.\Even the Tetsusaiga will snap if it's hit repeatedly like that.\What's with him?! response:	Sesshomaru is fighting the Tetsusaiga!
context: Inuyasha!\The sword is crying!\Do you think Sesshomaru is only aiming for the Tetsusaiga?\This is bad!\He's hacking away at the peak of wave pattern of the sword.\Even the Tetsusaiga will snap if it's hit repeatedly like that.\What's with him?!\Sesshomaru is fighting the Tetsusaiga! response:	Inuyasha!
context: The sword is crying!\Do you think Sesshomaru is only aiming for the Tetsusaiga?\This is bad!\He's hacking away at the peak of wave pattern of the sword.\Even the Tetsusaiga will snap if it's hit repeatedly like that.\What's with him?!\Sesshomaru is fighting the Tetsusaiga!\Inuyasha! response:	Stop!
context: Do you think Sesshomaru is only aiming for the Tetsusaiga?\This is bad!\He's hacking away at the peak of wave pattern of the sword.\Even the Tetsusaiga will snap if it's hit repeatedly like that.\What's with him?!\Sesshomaru is fighting the Tetsusaiga!\Inuyasha!\Stop! response:	Don't interfere!
context: This is bad!\He's hacking away at the peak of wave pattern of the sword.\Even the Tetsusaiga will snap if it's hit repeatedly like that.\What's with him?!\Sesshomaru is fighting the Tetsusaiga!\Inuyasha!\Stop!\Don't interfere! response:	I will kill Sesshomaru...
context: He's hacking away at the peak of wave pattern of the sword.\Even the Tetsusaiga will snap if it's hit repeatedly like that.\What's with him?!\Sesshomaru is fighting the Tetsusaiga!\Inuyasha!\Stop!\Don't interfere!\I will kill Sesshomaru... response:	with the Tetsusaiga!
context: Even the Tetsusaiga will snap if it's hit repeatedly like that.\What's with him?!\Sesshomaru is fighting the Tetsusaiga!\Inuyasha!\Stop!\Don't interfere!\I will kill Sesshomaru...\with the Tetsusaiga! response:	He intends to break the Tetsusaiga!
context: What's with him?!\Sesshomaru is fighting the Tetsusaiga!\Inuyasha!\Stop!\Don't interfere!\I will kill Sesshomaru...\with the Tetsusaiga!\He intends to break the Tetsusaiga! response:	As if I'd let him do that so easily!
context: Sesshomaru is fighting the Tetsusaiga!\Inuyasha!\Stop!\Don't interfere!\I will kill Sesshomaru...\with the Tetsusaiga!\He intends to break the Tetsusaiga!\As if I'd let him do that so easily! response:	Inuyasha has been able to master the Tetsusaiga albeit one time.
context: Inuyasha!\Stop!\Don't interfere!\I will kill Sesshomaru...\with the Tetsusaiga!\He intends to break the Tetsusaiga!\As if I'd let him do that so easily!\Inuyasha has been able to master the Tetsusaiga albeit one time. response:	Even if it was coincidence...
context: Stop!\Don't interfere!\I will kill Sesshomaru...\with the Tetsusaiga!\He intends to break the Tetsusaiga!\As if I'd let him do that so easily!\Inuyasha has been able to master the Tetsusaiga albeit one time.\Even if it was coincidence... response:	it still required the talent.
context: Don't interfere!\I will kill Sesshomaru...\with the Tetsusaiga!\He intends to break the Tetsusaiga!\As if I'd let him do that so easily!\Inuyasha has been able to master the Tetsusaiga albeit one time.\Even if it was coincidence...\it still required the talent. response:	But if he can't use it right now, he'll be killed!
context: I will kill Sesshomaru...\with the Tetsusaiga!\He intends to break the Tetsusaiga!\As if I'd let him do that so easily!\Inuyasha has been able to master the Tetsusaiga albeit one time.\Even if it was coincidence...\it still required the talent.\But if he can't use it right now, he'll be killed! response:	Inuyasha!
context: with the Tetsusaiga!\He intends to break the Tetsusaiga!\As if I'd let him do that so easily!\Inuyasha has been able to master the Tetsusaiga albeit one time.\Even if it was coincidence...\it still required the talent.\But if he can't use it right now, he'll be killed!\Inuyasha! response:	Why won't you roar, Tetsusaiga?
context: He intends to break the Tetsusaiga!\As if I'd let him do that so easily!\Inuyasha has been able to master the Tetsusaiga albeit one time.\Even if it was coincidence...\it still required the talent.\But if he can't use it right now, he'll be killed!\Inuyasha!\Why won't you roar, Tetsusaiga? response:	Then you shall die with your master.
context: As if I'd let him do that so easily!\Inuyasha has been able to master the Tetsusaiga albeit one time.\Even if it was coincidence...\it still required the talent.\But if he can't use it right now, he'll be killed!\Inuyasha!\Why won't you roar, Tetsusaiga?\Then you shall die with your master. response:	He protected his sword!
context: Inuyasha has been able to master the Tetsusaiga albeit one time.\Even if it was coincidence...\it still required the talent.\But if he can't use it right now, he'll be killed!\Inuyasha!\Why won't you roar, Tetsusaiga?\Then you shall die with your master.\He protected his sword! response:	I haven't broken in this sword yet...
context: Even if it was coincidence...\it still required the talent.\But if he can't use it right now, he'll be killed!\Inuyasha!\Why won't you roar, Tetsusaiga?\Then you shall die with your master.\He protected his sword!\I haven't broken in this sword yet... response:	and I'm not about to let it go!
context: it still required the talent.\But if he can't use it right now, he'll be killed!\Inuyasha!\Why won't you roar, Tetsusaiga?\Then you shall die with your master.\He protected his sword!\I haven't broken in this sword yet...\and I'm not about to let it go! response:	Damn! I can't see!
context: But if he can't use it right now, he'll be killed!\Inuyasha!\Why won't you roar, Tetsusaiga?\Then you shall die with your master.\He protected his sword!\I haven't broken in this sword yet...\and I'm not about to let it go!\Damn! I can't see! response:	A miasma!
context: Inuyasha!\Why won't you roar, Tetsusaiga?\Then you shall die with your master.\He protected his sword!\I haven't broken in this sword yet...\and I'm not about to let it go!\Damn! I can't see!\A miasma! response:	Demonic aura!
context: Why won't you roar, Tetsusaiga?\Then you shall die with your master.\He protected his sword!\I haven't broken in this sword yet...\and I'm not about to let it go!\Damn! I can't see!\A miasma!\Demonic aura! response:	a vortex of demonic energy!
context: Then you shall die with your master.\He protected his sword!\I haven't broken in this sword yet...\and I'm not about to let it go!\Damn! I can't see!\A miasma!\Demonic aura!\a vortex of demonic energy! response:	The smell of the wind scraping.
context: He protected his sword!\I haven't broken in this sword yet...\and I'm not about to let it go!\Damn! I can't see!\A miasma!\Demonic aura!\a vortex of demonic energy!\The smell of the wind scraping. response:	The fissure where the flow of demonic energy collides!
context: I haven't broken in this sword yet...\and I'm not about to let it go!\Damn! I can't see!\A miasma!\Demonic aura!\a vortex of demonic energy!\The smell of the wind scraping.\The fissure where the flow of demonic energy collides! response:	No! The smell of the wind!
context: and I'm not about to let it go!\Damn! I can't see!\A miasma!\Demonic aura!\a vortex of demonic energy!\The smell of the wind scraping.\The fissure where the flow of demonic energy collides!\No! The smell of the wind! response:	Is right there!
context: Damn! I can't see!\A miasma!\Demonic aura!\a vortex of demonic energy!\The smell of the wind scraping.\The fissure where the flow of demonic energy collides!\No! The smell of the wind!\Is right there! response:	Is it over?
context: A miasma!\Demonic aura!\a vortex of demonic energy!\The smell of the wind scraping.\The fissure where the flow of demonic energy collides!\No! The smell of the wind!\Is right there!\Is it over? response:	So that was the Wind Scar.
context: Demonic aura!\a vortex of demonic energy!\The smell of the wind scraping.\The fissure where the flow of demonic energy collides!\No! The smell of the wind!\Is right there!\Is it over?\So that was the Wind Scar. response:	You did it, Inuyasha!
context: a vortex of demonic energy!\The smell of the wind scraping.\The fissure where the flow of demonic energy collides!\No! The smell of the wind!\Is right there!\Is it over?\So that was the Wind Scar.\You did it, Inuyasha! response:	That's the secret to mastering the Tetsusaiga.
context: The smell of the wind scraping.\The fissure where the flow of demonic energy collides!\No! The smell of the wind!\Is right there!\Is it over?\So that was the Wind Scar.\You did it, Inuyasha!\That's the secret to mastering the Tetsusaiga. response:	Did Sesshomaru die?
context: The fissure where the flow of demonic energy collides!\No! The smell of the wind!\Is right there!\Is it over?\So that was the Wind Scar.\You did it, Inuyasha!\That's the secret to mastering the Tetsusaiga.\Did Sesshomaru die? response:	Probably...
context: No! The smell of the wind!\Is right there!\Is it over?\So that was the Wind Scar.\You did it, Inuyasha!\That's the secret to mastering the Tetsusaiga.\Did Sesshomaru die?\Probably... response:	He received a direct blow from the Tetsusaiga.
context: Is right there!\Is it over?\So that was the Wind Scar.\You did it, Inuyasha!\That's the secret to mastering the Tetsusaiga.\Did Sesshomaru die?\Probably...\He received a direct blow from the Tetsusaiga. response:	What direct blow?
context: Is it over?\So that was the Wind Scar.\You did it, Inuyasha!\That's the secret to mastering the Tetsusaiga.\Did Sesshomaru die?\Probably...\He received a direct blow from the Tetsusaiga.\What direct blow? response:	All he did was swing his sword around...
context: So that was the Wind Scar.\You did it, Inuyasha!\That's the secret to mastering the Tetsusaiga.\Did Sesshomaru die?\Probably...\He received a direct blow from the Tetsusaiga.\What direct blow?\All he did was swing his sword around... response:	because his eyes were hurting from the poison.
context: You did it, Inuyasha!\That's the secret to mastering the Tetsusaiga.\Did Sesshomaru die?\Probably...\He received a direct blow from the Tetsusaiga.\What direct blow?\All he did was swing his sword around...\because his eyes were hurting from the poison. response:	Whaddya say, OI' Man?!
context: That's the secret to mastering the Tetsusaiga.\Did Sesshomaru die?\Probably...\He received a direct blow from the Tetsusaiga.\What direct blow?\All he did was swing his sword around...\because his eyes were hurting from the poison.\Whaddya say, OI' Man?! response:	Now listen...
context: Did Sesshomaru die?\Probably...\He received a direct blow from the Tetsusaiga.\What direct blow?\All he did was swing his sword around...\because his eyes were hurting from the poison.\Whaddya say, OI' Man?!\Now listen... response:	I will praise you for finally seeing the Wind Scar.
context: Probably...\He received a direct blow from the Tetsusaiga.\What direct blow?\All he did was swing his sword around...\because his eyes were hurting from the poison.\Whaddya say, OI' Man?!\Now listen...\I will praise you for finally seeing the Wind Scar. response:	However, all it means...
context: He received a direct blow from the Tetsusaiga.\What direct blow?\All he did was swing his sword around...\because his eyes were hurting from the poison.\Whaddya say, OI' Man?!\Now listen...\I will praise you for finally seeing the Wind Scar.\However, all it means... response:	is that you can do what Sesshomaru can.
context: What direct blow?\All he did was swing his sword around...\because his eyes were hurting from the poison.\Whaddya say, OI' Man?!\Now listen...\I will praise you for finally seeing the Wind Scar.\However, all it means...\is that you can do what Sesshomaru can. response:	Actually, he has become even more formidable.
context: All he did was swing his sword around...\because his eyes were hurting from the poison.\Whaddya say, OI' Man?!\Now listen...\I will praise you for finally seeing the Wind Scar.\However, all it means...\is that you can do what Sesshomaru can.\Actually, he has become even more formidable. response:	What do you mean?
context: because his eyes were hurting from the poison.\Whaddya say, OI' Man?!\Now listen...\I will praise you for finally seeing the Wind Scar.\However, all it means...\is that you can do what Sesshomaru can.\Actually, he has become even more formidable.\What do you mean? response:	In that battle, Sesshomaru's life was protected by the Tenseiga.
context: Whaddya say, OI' Man?!\Now listen...\I will praise you for finally seeing the Wind Scar.\However, all it means...\is that you can do what Sesshomaru can.\Actually, he has become even more formidable.\What do you mean?\In that battle, Sesshomaru's life was protected by the Tenseiga. response:	The Tenseiga protected him?
context: Now listen...\I will praise you for finally seeing the Wind Scar.\However, all it means...\is that you can do what Sesshomaru can.\Actually, he has become even more formidable.\What do you mean?\In that battle, Sesshomaru's life was protected by the Tenseiga.\The Tenseiga protected him? response:	Didn't Sesshomaru die?
context: I will praise you for finally seeing the Wind Scar.\However, all it means...\is that you can do what Sesshomaru can.\Actually, he has become even more formidable.\What do you mean?\In that battle, Sesshomaru's life was protected by the Tenseiga.\The Tenseiga protected him?\Didn't Sesshomaru die? response:	Inuyasha, I'll bet you didn't sense your attack hit Sesshomaru...
context: However, all it means...\is that you can do what Sesshomaru can.\Actually, he has become even more formidable.\What do you mean?\In that battle, Sesshomaru's life was protected by the Tenseiga.\The Tenseiga protected him?\Didn't Sesshomaru die?\Inuyasha, I'll bet you didn't sense your attack hit Sesshomaru... response:	now did you?
context: is that you can do what Sesshomaru can.\Actually, he has become even more formidable.\What do you mean?\In that battle, Sesshomaru's life was protected by the Tenseiga.\The Tenseiga protected him?\Didn't Sesshomaru die?\Inuyasha, I'll bet you didn't sense your attack hit Sesshomaru...\now did you? response:	Is that true, Inuyasha?
context: Actually, he has become even more formidable.\What do you mean?\In that battle, Sesshomaru's life was protected by the Tenseiga.\The Tenseiga protected him?\Didn't Sesshomaru die?\Inuyasha, I'll bet you didn't sense your attack hit Sesshomaru...\now did you?\Is that true, Inuyasha? response:	Yeah...
context: What do you mean?\In that battle, Sesshomaru's life was protected by the Tenseiga.\The Tenseiga protected him?\Didn't Sesshomaru die?\Inuyasha, I'll bet you didn't sense your attack hit Sesshomaru...\now did you?\Is that true, Inuyasha?\Yeah... response:	His presence dispersed with the light emitted by the Tetsusaiga.
context: In that battle, Sesshomaru's life was protected by the Tenseiga.\The Tenseiga protected him?\Didn't Sesshomaru die?\Inuyasha, I'll bet you didn't sense your attack hit Sesshomaru...\now did you?\Is that true, Inuyasha?\Yeah...\His presence dispersed with the light emitted by the Tetsusaiga. response:	I didn't blow him away.
context: The Tenseiga protected him?\Didn't Sesshomaru die?\Inuyasha, I'll bet you didn't sense your attack hit Sesshomaru...\now did you?\Is that true, Inuyasha?\Yeah...\His presence dispersed with the light emitted by the Tetsusaiga.\I didn't blow him away. response:	It was more like he just suddenly vanished...
context: Didn't Sesshomaru die?\Inuyasha, I'll bet you didn't sense your attack hit Sesshomaru...\now did you?\Is that true, Inuyasha?\Yeah...\His presence dispersed with the light emitted by the Tetsusaiga.\I didn't blow him away.\It was more like he just suddenly vanished... response:	Amidst the light and power being released by the Tetsusaiga...
context: Inuyasha, I'll bet you didn't sense your attack hit Sesshomaru...\now did you?\Is that true, Inuyasha?\Yeah...\His presence dispersed with the light emitted by the Tetsusaiga.\I didn't blow him away.\It was more like he just suddenly vanished...\Amidst the light and power being released by the Tetsusaiga... response:	the Tenseiga protected Sesshomaru.
context: now did you?\Is that true, Inuyasha?\Yeah...\His presence dispersed with the light emitted by the Tetsusaiga.\I didn't blow him away.\It was more like he just suddenly vanished...\Amidst the light and power being released by the Tetsusaiga...\the Tenseiga protected Sesshomaru. response:	It acted on its own judgment.
context: Is that true, Inuyasha?\Yeah...\His presence dispersed with the light emitted by the Tetsusaiga.\I didn't blow him away.\It was more like he just suddenly vanished...\Amidst the light and power being released by the Tetsusaiga...\the Tenseiga protected Sesshomaru.\It acted on its own judgment. response:	Acted on its own?
context: Yeah...\His presence dispersed with the light emitted by the Tetsusaiga.\I didn't blow him away.\It was more like he just suddenly vanished...\Amidst the light and power being released by the Tetsusaiga...\the Tenseiga protected Sesshomaru.\It acted on its own judgment.\Acted on its own? response:	The Tenseiga is the sword of healing, to save life.
context: His presence dispersed with the light emitted by the Tetsusaiga.\I didn't blow him away.\It was more like he just suddenly vanished...\Amidst the light and power being released by the Tetsusaiga...\the Tenseiga protected Sesshomaru.\It acted on its own judgment.\Acted on its own?\The Tenseiga is the sword of healing, to save life. response:	And Sesshomaru despised it.
context: I didn't blow him away.\It was more like he just suddenly vanished...\Amidst the light and power being released by the Tetsusaiga...\the Tenseiga protected Sesshomaru.\It acted on its own judgment.\Acted on its own?\The Tenseiga is the sword of healing, to save life.\And Sesshomaru despised it. response:	However, when Sesshomaru's life was endangered...
context: It was more like he just suddenly vanished...\Amidst the light and power being released by the Tetsusaiga...\the Tenseiga protected Sesshomaru.\It acted on its own judgment.\Acted on its own?\The Tenseiga is the sword of healing, to save life.\And Sesshomaru despised it.\However, when Sesshomaru's life was endangered... response:	without regard to its owner's will...
context: Amidst the light and power being released by the Tetsusaiga...\the Tenseiga protected Sesshomaru.\It acted on its own judgment.\Acted on its own?\The Tenseiga is the sword of healing, to save life.\And Sesshomaru despised it.\However, when Sesshomaru's life was endangered...\without regard to its owner's will... response:	the Tenseiga saved Sesshomaru.
context: the Tenseiga protected Sesshomaru.\It acted on its own judgment.\Acted on its own?\The Tenseiga is the sword of healing, to save life.\And Sesshomaru despised it.\However, when Sesshomaru's life was endangered...\without regard to its owner's will...\the Tenseiga saved Sesshomaru. response:	That's about it?
context: It acted on its own judgment.\Acted on its own?\The Tenseiga is the sword of healing, to save life.\And Sesshomaru despised it.\However, when Sesshomaru's life was endangered...\without regard to its owner's will...\the Tenseiga saved Sesshomaru.\That's about it? response:	So how will you defeat such a foe?
context: Acted on its own?\The Tenseiga is the sword of healing, to save life.\And Sesshomaru despised it.\However, when Sesshomaru's life was endangered...\without regard to its owner's will...\the Tenseiga saved Sesshomaru.\That's about it?\So how will you defeat such a foe? response:	I have no idea.
context: The Tenseiga is the sword of healing, to save life.\And Sesshomaru despised it.\However, when Sesshomaru's life was endangered...\without regard to its owner's will...\the Tenseiga saved Sesshomaru.\That's about it?\So how will you defeat such a foe?\I have no idea. response:	Well, I sharpened the sword.
context: And Sesshomaru despised it.\However, when Sesshomaru's life was endangered...\without regard to its owner's will...\the Tenseiga saved Sesshomaru.\That's about it?\So how will you defeat such a foe?\I have no idea.\Well, I sharpened the sword. response:	Now, you just have to keep training...
context: However, when Sesshomaru's life was endangered...\without regard to its owner's will...\the Tenseiga saved Sesshomaru.\That's about it?\So how will you defeat such a foe?\I have no idea.\Well, I sharpened the sword.\Now, you just have to keep training... response:	to be able to defeat Sesshomaru and Tenseiga.
context: without regard to its owner's will...\the Tenseiga saved Sesshomaru.\That's about it?\So how will you defeat such a foe?\I have no idea.\Well, I sharpened the sword.\Now, you just have to keep training...\to be able to defeat Sesshomaru and Tenseiga. response:	Inuyasha and Sesshomaru were each given a sword by their father.
context: the Tenseiga saved Sesshomaru.\That's about it?\So how will you defeat such a foe?\I have no idea.\Well, I sharpened the sword.\Now, you just have to keep training...\to be able to defeat Sesshomaru and Tenseiga.\Inuyasha and Sesshomaru were each given a sword by their father. response:	Tenseiga and Tetsusaiga.
context: That's about it?\So how will you defeat such a foe?\I have no idea.\Well, I sharpened the sword.\Now, you just have to keep training...\to be able to defeat Sesshomaru and Tenseiga.\Inuyasha and Sesshomaru were each given a sword by their father.\Tenseiga and Tetsusaiga. response:	This was their father's way of telling the brothers not to fight each other.
context: So how will you defeat such a foe?\I have no idea.\Well, I sharpened the sword.\Now, you just have to keep training...\to be able to defeat Sesshomaru and Tenseiga.\Inuyasha and Sesshomaru were each given a sword by their father.\Tenseiga and Tetsusaiga.\This was their father's way of telling the brothers not to fight each other. response:	Oh well... They'll learn it in good time.
context: I have no idea.\Well, I sharpened the sword.\Now, you just have to keep training...\to be able to defeat Sesshomaru and Tenseiga.\Inuyasha and Sesshomaru were each given a sword by their father.\Tenseiga and Tetsusaiga.\This was their father's way of telling the brothers not to fight each other.\Oh well... They'll learn it in good time. response:	Mind your own business.
context: Well, I sharpened the sword.\Now, you just have to keep training...\to be able to defeat Sesshomaru and Tenseiga.\Inuyasha and Sesshomaru were each given a sword by their father.\Tenseiga and Tetsusaiga.\This was their father's way of telling the brothers not to fight each other.\Oh well... They'll learn it in good time.\Mind your own business. response:	I don't eat what humans eat.
context: Now, you just have to keep training...\to be able to defeat Sesshomaru and Tenseiga.\Inuyasha and Sesshomaru were each given a sword by their father.\Tenseiga and Tetsusaiga.\This was their father's way of telling the brothers not to fight each other.\Oh well... They'll learn it in good time.\Mind your own business.\I don't eat what humans eat. response:	I knew it!
context: to be able to defeat Sesshomaru and Tenseiga.\Inuyasha and Sesshomaru were each given a sword by their father.\Tenseiga and Tetsusaiga.\This was their father's way of telling the brothers not to fight each other.\Oh well... They'll learn it in good time.\Mind your own business.\I don't eat what humans eat.\I knew it! response:	Rin! You're the culprit!
context: Inuyasha and Sesshomaru were each given a sword by their father.\Tenseiga and Tetsusaiga.\This was their father's way of telling the brothers not to fight each other.\Oh well... They'll learn it in good time.\Mind your own business.\I don't eat what humans eat.\I knew it!\Rin! You're the culprit! response:	You stole the fish from the fish preserve!
context: Tenseiga and Tetsusaiga.\This was their father's way of telling the brothers not to fight each other.\Oh well... They'll learn it in good time.\Mind your own business.\I don't eat what humans eat.\I knew it!\Rin! You're the culprit!\You stole the fish from the fish preserve! response:	You're an orphan...
context: This was their father's way of telling the brothers not to fight each other.\Oh well... They'll learn it in good time.\Mind your own business.\I don't eat what humans eat.\I knew it!\Rin! You're the culprit!\You stole the fish from the fish preserve!\You're an orphan... response:	so the village took pity on you and raised you!
