context: At the time, three years after their debut, response:	Trapnest had reached a million in sales, both in the singles and album charts.
context: Please, don't bother talking to the audience on stage, Naoki.\It exposes your lack of intelligence.\Let's add songs to our encore.\Two more songs don't feel like enough.\But we haven't rehearsed any others. Don't be ridiculous.\That'll be impossible. We're approaching our time limit here.\We're not renting this hall for free, you know.\For a manager, you can be real stingy, Take. response:	Reira, you shouldn't talk either.
context: It exposes your lack of intelligence.\Let's add songs to our encore.\Two more songs don't feel like enough.\But we haven't rehearsed any others. Don't be ridiculous.\That'll be impossible. We're approaching our time limit here.\We're not renting this hall for free, you know.\For a manager, you can be real stingy, Take.\Reira, you shouldn't talk either. response:	Hey, Ren, you know you made a mistake in the second song.
context: Let's add songs to our encore.\Two more songs don't feel like enough.\But we haven't rehearsed any others. Don't be ridiculous.\That'll be impossible. We're approaching our time limit here.\We're not renting this hall for free, you know.\For a manager, you can be real stingy, Take.\Reira, you shouldn't talk either.\Hey, Ren, you know you made a mistake in the second song. response:	You might've thought you got away with it,
context: Two more songs don't feel like enough.\But we haven't rehearsed any others. Don't be ridiculous.\That'll be impossible. We're approaching our time limit here.\We're not renting this hall for free, you know.\For a manager, you can be real stingy, Take.\Reira, you shouldn't talk either.\Hey, Ren, you know you made a mistake in the second song.\You might've thought you got away with it, response:	but that was pretty obvious...
context: But we haven't rehearsed any others. Don't be ridiculous.\That'll be impossible. We're approaching our time limit here.\We're not renting this hall for free, you know.\For a manager, you can be real stingy, Take.\Reira, you shouldn't talk either.\Hey, Ren, you know you made a mistake in the second song.\You might've thought you got away with it,\but that was pretty obvious... response:	Where are you going, Ren?
context: That'll be impossible. We're approaching our time limit here.\We're not renting this hall for free, you know.\For a manager, you can be real stingy, Take.\Reira, you shouldn't talk either.\Hey, Ren, you know you made a mistake in the second song.\You might've thought you got away with it,\but that was pretty obvious...\Where are you going, Ren? response:	Toilet!
context: We're not renting this hall for free, you know.\For a manager, you can be real stingy, Take.\Reira, you shouldn't talk either.\Hey, Ren, you know you made a mistake in the second song.\You might've thought you got away with it,\but that was pretty obvious...\Where are you going, Ren?\Toilet! response:	Where'd he make a mistake? I didn't notice anything.
context: For a manager, you can be real stingy, Take.\Reira, you shouldn't talk either.\Hey, Ren, you know you made a mistake in the second song.\You might've thought you got away with it,\but that was pretty obvious...\Where are you going, Ren?\Toilet!\Where'd he make a mistake? I didn't notice anything. response:	So even Ren can make a mistake, I guess.
context: Reira, you shouldn't talk either.\Hey, Ren, you know you made a mistake in the second song.\You might've thought you got away with it,\but that was pretty obvious...\Where are you going, Ren?\Toilet!\Where'd he make a mistake? I didn't notice anything.\So even Ren can make a mistake, I guess. response:	Notice it, damn it. What is it with our band members?
context: Hey, Ren, you know you made a mistake in the second song.\You might've thought you got away with it,\but that was pretty obvious...\Where are you going, Ren?\Toilet!\Where'd he make a mistake? I didn't notice anything.\So even Ren can make a mistake, I guess.\Notice it, damn it. What is it with our band members? response:	Encore! Encore! Encore! Encore!
context: You might've thought you got away with it,\but that was pretty obvious...\Where are you going, Ren?\Toilet!\Where'd he make a mistake? I didn't notice anything.\So even Ren can make a mistake, I guess.\Notice it, damn it. What is it with our band members?\Encore! Encore! Encore! Encore! response:	Hasn't Ren noticed that you're here?
context: but that was pretty obvious...\Where are you going, Ren?\Toilet!\Where'd he make a mistake? I didn't notice anything.\So even Ren can make a mistake, I guess.\Notice it, damn it. What is it with our band members?\Encore! Encore! Encore! Encore!\Hasn't Ren noticed that you're here? response:	He's not likely able to see the audience at all with all those spotlights.
context: Where are you going, Ren?\Toilet!\Where'd he make a mistake? I didn't notice anything.\So even Ren can make a mistake, I guess.\Notice it, damn it. What is it with our band members?\Encore! Encore! Encore! Encore!\Hasn't Ren noticed that you're here?\He's not likely able to see the audience at all with all those spotlights. response:	Really?
context: Toilet!\Where'd he make a mistake? I didn't notice anything.\So even Ren can make a mistake, I guess.\Notice it, damn it. What is it with our band members?\Encore! Encore! Encore! Encore!\Hasn't Ren noticed that you're here?\He's not likely able to see the audience at all with all those spotlights.\Really? response:	Well, I can't speak from experience.
context: Where'd he make a mistake? I didn't notice anything.\So even Ren can make a mistake, I guess.\Notice it, damn it. What is it with our band members?\Encore! Encore! Encore! Encore!\Hasn't Ren noticed that you're here?\He's not likely able to see the audience at all with all those spotlights.\Really?\Well, I can't speak from experience. response:	I've never performed on a stage this big.
context: So even Ren can make a mistake, I guess.\Notice it, damn it. What is it with our band members?\Encore! Encore! Encore! Encore!\Hasn't Ren noticed that you're here?\He's not likely able to see the audience at all with all those spotlights.\Really?\Well, I can't speak from experience.\I've never performed on a stage this big. response:	No way! He cannot see us?
context: Notice it, damn it. What is it with our band members?\Encore! Encore! Encore! Encore!\Hasn't Ren noticed that you're here?\He's not likely able to see the audience at all with all those spotlights.\Really?\Well, I can't speak from experience.\I've never performed on a stage this big.\No way! He cannot see us? response:	Maybe. But we're sitting in the first row. Can't he see a little?
context: Encore! Encore! Encore! Encore!\Hasn't Ren noticed that you're here?\He's not likely able to see the audience at all with all those spotlights.\Really?\Well, I can't speak from experience.\I've never performed on a stage this big.\No way! He cannot see us?\Maybe. But we're sitting in the first row. Can't he see a little? response:	Oh, this may be a trap set up by the Demon Lord.
context: Hasn't Ren noticed that you're here?\He's not likely able to see the audience at all with all those spotlights.\Really?\Well, I can't speak from experience.\I've never performed on a stage this big.\No way! He cannot see us?\Maybe. But we're sitting in the first row. Can't he see a little?\Oh, this may be a trap set up by the Demon Lord. response:	It must feel really good, singing in such a big place.
context: He's not likely able to see the audience at all with all those spotlights.\Really?\Well, I can't speak from experience.\I've never performed on a stage this big.\No way! He cannot see us?\Maybe. But we're sitting in the first row. Can't he see a little?\Oh, this may be a trap set up by the Demon Lord.\It must feel really good, singing in such a big place. response:	You'll be able to...
context: Really?\Well, I can't speak from experience.\I've never performed on a stage this big.\No way! He cannot see us?\Maybe. But we're sitting in the first row. Can't he see a little?\Oh, this may be a trap set up by the Demon Lord.\It must feel really good, singing in such a big place.\You'll be able to... response:	Being you, Nana, I'm sure you will.
context: Well, I can't speak from experience.\I've never performed on a stage this big.\No way! He cannot see us?\Maybe. But we're sitting in the first row. Can't he see a little?\Oh, this may be a trap set up by the Demon Lord.\It must feel really good, singing in such a big place.\You'll be able to...\Being you, Nana, I'm sure you will. response:	The band BLAST will surpass Trapnest!
context: I've never performed on a stage this big.\No way! He cannot see us?\Maybe. But we're sitting in the first row. Can't he see a little?\Oh, this may be a trap set up by the Demon Lord.\It must feel really good, singing in such a big place.\You'll be able to...\Being you, Nana, I'm sure you will.\The band BLAST will surpass Trapnest! response:	Yes.
context: No way! He cannot see us?\Maybe. But we're sitting in the first row. Can't he see a little?\Oh, this may be a trap set up by the Demon Lord.\It must feel really good, singing in such a big place.\You'll be able to...\Being you, Nana, I'm sure you will.\The band BLAST will surpass Trapnest!\Yes. response:	Yasu, Nana's here!
context: Maybe. But we're sitting in the first row. Can't he see a little?\Oh, this may be a trap set up by the Demon Lord.\It must feel really good, singing in such a big place.\You'll be able to...\Being you, Nana, I'm sure you will.\The band BLAST will surpass Trapnest!\Yes.\Yasu, Nana's here! response:	Right. Is the concert over already?
context: Oh, this may be a trap set up by the Demon Lord.\It must feel really good, singing in such a big place.\You'll be able to...\Being you, Nana, I'm sure you will.\The band BLAST will surpass Trapnest!\Yes.\Yasu, Nana's here!\Right. Is the concert over already? response:	It's not over. We're about to go out for the encore.
context: It must feel really good, singing in such a big place.\You'll be able to...\Being you, Nana, I'm sure you will.\The band BLAST will surpass Trapnest!\Yes.\Yasu, Nana's here!\Right. Is the concert over already?\It's not over. We're about to go out for the encore. response:	Well, good luck with that.
context: You'll be able to...\Being you, Nana, I'm sure you will.\The band BLAST will surpass Trapnest!\Yes.\Yasu, Nana's here!\Right. Is the concert over already?\It's not over. We're about to go out for the encore.\Well, good luck with that. response:	You knew about this, didn't you? Why didn't you tell me?
context: Being you, Nana, I'm sure you will.\The band BLAST will surpass Trapnest!\Yes.\Yasu, Nana's here!\Right. Is the concert over already?\It's not over. We're about to go out for the encore.\Well, good luck with that.\You knew about this, didn't you? Why didn't you tell me? response:	I wanted it to be a surprise.
context: The band BLAST will surpass Trapnest!\Yes.\Yasu, Nana's here!\Right. Is the concert over already?\It's not over. We're about to go out for the encore.\Well, good luck with that.\You knew about this, didn't you? Why didn't you tell me?\I wanted it to be a surprise. response:	Then you succeeded. I even made a mistake on stage.
context: Yes.\Yasu, Nana's here!\Right. Is the concert over already?\It's not over. We're about to go out for the encore.\Well, good luck with that.\You knew about this, didn't you? Why didn't you tell me?\I wanted it to be a surprise.\Then you succeeded. I even made a mistake on stage. response:	Although I faked it with a little rearrangement.
context: Yasu, Nana's here!\Right. Is the concert over already?\It's not over. We're about to go out for the encore.\Well, good luck with that.\You knew about this, didn't you? Why didn't you tell me?\I wanted it to be a surprise.\Then you succeeded. I even made a mistake on stage.\Although I faked it with a little rearrangement. response:	Really? That's even more than I could've asked for.
context: Right. Is the concert over already?\It's not over. We're about to go out for the encore.\Well, good luck with that.\You knew about this, didn't you? Why didn't you tell me?\I wanted it to be a surprise.\Then you succeeded. I even made a mistake on stage.\Although I faked it with a little rearrangement.\Really? That's even more than I could've asked for. response:	It's not a laughing matter!
context: It's not over. We're about to go out for the encore.\Well, good luck with that.\You knew about this, didn't you? Why didn't you tell me?\I wanted it to be a surprise.\Then you succeeded. I even made a mistake on stage.\Although I faked it with a little rearrangement.\Really? That's even more than I could've asked for.\It's not a laughing matter! response:	If it were in Tokyo, that's one thing,
context: Well, good luck with that.\You knew about this, didn't you? Why didn't you tell me?\I wanted it to be a surprise.\Then you succeeded. I even made a mistake on stage.\Although I faked it with a little rearrangement.\Really? That's even more than I could've asked for.\It's not a laughing matter!\If it were in Tokyo, that's one thing, response:	but what's she doing here out in the country?
context: You knew about this, didn't you? Why didn't you tell me?\I wanted it to be a surprise.\Then you succeeded. I even made a mistake on stage.\Although I faked it with a little rearrangement.\Really? That's even more than I could've asked for.\It's not a laughing matter!\If it were in Tokyo, that's one thing,\but what's she doing here out in the country? response:	Not to mention the front row.
context: I wanted it to be a surprise.\Then you succeeded. I even made a mistake on stage.\Although I faked it with a little rearrangement.\Really? That's even more than I could've asked for.\It's not a laughing matter!\If it were in Tokyo, that's one thing,\but what's she doing here out in the country?\Not to mention the front row. response:	Then jump off the stage and embrace her.
context: Then you succeeded. I even made a mistake on stage.\Although I faked it with a little rearrangement.\Really? That's even more than I could've asked for.\It's not a laughing matter!\If it were in Tokyo, that's one thing,\but what's she doing here out in the country?\Not to mention the front row.\Then jump off the stage and embrace her. response:	You can't expect me to do that!
context: Although I faked it with a little rearrangement.\Really? That's even more than I could've asked for.\It's not a laughing matter!\If it were in Tokyo, that's one thing,\but what's she doing here out in the country?\Not to mention the front row.\Then jump off the stage and embrace her.\You can't expect me to do that! response:	Ren! What are you shouting about?
context: Really? That's even more than I could've asked for.\It's not a laughing matter!\If it were in Tokyo, that's one thing,\but what's she doing here out in the country?\Not to mention the front row.\Then jump off the stage and embrace her.\You can't expect me to do that!\Ren! What are you shouting about? response:	Don't lose it yet, we're not done with the performance!
context: It's not a laughing matter!\If it were in Tokyo, that's one thing,\but what's she doing here out in the country?\Not to mention the front row.\Then jump off the stage and embrace her.\You can't expect me to do that!\Ren! What are you shouting about?\Don't lose it yet, we're not done with the performance! response:	We're going out for the encore!
context: If it were in Tokyo, that's one thing,\but what's she doing here out in the country?\Not to mention the front row.\Then jump off the stage and embrace her.\You can't expect me to do that!\Ren! What are you shouting about?\Don't lose it yet, we're not done with the performance!\We're going out for the encore! response:	Go. I'll email you the cell number of the girl Nana's with.
context: but what's she doing here out in the country?\Not to mention the front row.\Then jump off the stage and embrace her.\You can't expect me to do that!\Ren! What are you shouting about?\Don't lose it yet, we're not done with the performance!\We're going out for the encore!\Go. I'll email you the cell number of the girl Nana's with. response:	If you wanna see Nana, call that number.
context: Not to mention the front row.\Then jump off the stage and embrace her.\You can't expect me to do that!\Ren! What are you shouting about?\Don't lose it yet, we're not done with the performance!\We're going out for the encore!\Go. I'll email you the cell number of the girl Nana's with.\If you wanna see Nana, call that number. response:	How can I face her after what happened?
context: Then jump off the stage and embrace her.\You can't expect me to do that!\Ren! What are you shouting about?\Don't lose it yet, we're not done with the performance!\We're going out for the encore!\Go. I'll email you the cell number of the girl Nana's with.\If you wanna see Nana, call that number.\How can I face her after what happened? response:	I'm tired of hearing you say that. You can be such a drag sometimes.
context: You can't expect me to do that!\Ren! What are you shouting about?\Don't lose it yet, we're not done with the performance!\We're going out for the encore!\Go. I'll email you the cell number of the girl Nana's with.\If you wanna see Nana, call that number.\How can I face her after what happened?\I'm tired of hearing you say that. You can be such a drag sometimes. response:	If you don't intend to see her...
context: Ren! What are you shouting about?\Don't lose it yet, we're not done with the performance!\We're going out for the encore!\Go. I'll email you the cell number of the girl Nana's with.\If you wanna see Nana, call that number.\How can I face her after what happened?\I'm tired of hearing you say that. You can be such a drag sometimes.\If you don't intend to see her... response:	I'll take Nana for myself.
context: Don't lose it yet, we're not done with the performance!\We're going out for the encore!\Go. I'll email you the cell number of the girl Nana's with.\If you wanna see Nana, call that number.\How can I face her after what happened?\I'm tired of hearing you say that. You can be such a drag sometimes.\If you don't intend to see her...\I'll take Nana for myself. response:	Ren, we're going!
context: We're going out for the encore!\Go. I'll email you the cell number of the girl Nana's with.\If you wanna see Nana, call that number.\How can I face her after what happened?\I'm tired of hearing you say that. You can be such a drag sometimes.\If you don't intend to see her...\I'll take Nana for myself.\Ren, we're going! response:	Dinner is ready.
context: Go. I'll email you the cell number of the girl Nana's with.\If you wanna see Nana, call that number.\How can I face her after what happened?\I'm tired of hearing you say that. You can be such a drag sometimes.\If you don't intend to see her...\I'll take Nana for myself.\Ren, we're going!\Dinner is ready. response:	They played two songs for the encore.
context: If you wanna see Nana, call that number.\How can I face her after what happened?\I'm tired of hearing you say that. You can be such a drag sometimes.\If you don't intend to see her...\I'll take Nana for myself.\Ren, we're going!\Dinner is ready.\They played two songs for the encore. response:	Ren didn't glance over this way even once.
context: How can I face her after what happened?\I'm tired of hearing you say that. You can be such a drag sometimes.\If you don't intend to see her...\I'll take Nana for myself.\Ren, we're going!\Dinner is ready.\They played two songs for the encore.\Ren didn't glance over this way even once. response:	This is making me really nervous, having a meal with such a cute girl.
context: I'm tired of hearing you say that. You can be such a drag sometimes.\If you don't intend to see her...\I'll take Nana for myself.\Ren, we're going!\Dinner is ready.\They played two songs for the encore.\Ren didn't glance over this way even once.\This is making me really nervous, having a meal with such a cute girl. response:	A cute girl?
context: If you don't intend to see her...\I'll take Nana for myself.\Ren, we're going!\Dinner is ready.\They played two songs for the encore.\Ren didn't glance over this way even once.\This is making me really nervous, having a meal with such a cute girl.\A cute girl? response:	What are you saying, dad? You perverted old man.
context: I'll take Nana for myself.\Ren, we're going!\Dinner is ready.\They played two songs for the encore.\Ren didn't glance over this way even once.\This is making me really nervous, having a meal with such a cute girl.\A cute girl?\What are you saying, dad? You perverted old man. response:	What! You're one to talk, with that Tarzan outfit.
context: Ren, we're going!\Dinner is ready.\They played two songs for the encore.\Ren didn't glance over this way even once.\This is making me really nervous, having a meal with such a cute girl.\A cute girl?\What are you saying, dad? You perverted old man.\What! You're one to talk, with that Tarzan outfit. response:	- Tarzan? - Go back to the jungle!
context: Dinner is ready.\They played two songs for the encore.\Ren didn't glance over this way even once.\This is making me really nervous, having a meal with such a cute girl.\A cute girl?\What are you saying, dad? You perverted old man.\What! You're one to talk, with that Tarzan outfit.\- Tarzan? - Go back to the jungle! response:	It was as if I had awakened from a dream.
context: They played two songs for the encore.\Ren didn't glance over this way even once.\This is making me really nervous, having a meal with such a cute girl.\A cute girl?\What are you saying, dad? You perverted old man.\What! You're one to talk, with that Tarzan outfit.\- Tarzan? - Go back to the jungle!\It was as if I had awakened from a dream. response:	We were reminded once and for all that Ren is now a superstar
context: Ren didn't glance over this way even once.\This is making me really nervous, having a meal with such a cute girl.\A cute girl?\What are you saying, dad? You perverted old man.\What! You're one to talk, with that Tarzan outfit.\- Tarzan? - Go back to the jungle!\It was as if I had awakened from a dream.\We were reminded once and for all that Ren is now a superstar response:	and out of our reach.
context: This is making me really nervous, having a meal with such a cute girl.\A cute girl?\What are you saying, dad? You perverted old man.\What! You're one to talk, with that Tarzan outfit.\- Tarzan? - Go back to the jungle!\It was as if I had awakened from a dream.\We were reminded once and for all that Ren is now a superstar\and out of our reach. response:	It made me feel miserable.
context: A cute girl?\What are you saying, dad? You perverted old man.\What! You're one to talk, with that Tarzan outfit.\- Tarzan? - Go back to the jungle!\It was as if I had awakened from a dream.\We were reminded once and for all that Ren is now a superstar\and out of our reach.\It made me feel miserable. response:	That was refreshing.
context: What are you saying, dad? You perverted old man.\What! You're one to talk, with that Tarzan outfit.\- Tarzan? - Go back to the jungle!\It was as if I had awakened from a dream.\We were reminded once and for all that Ren is now a superstar\and out of our reach.\It made me feel miserable.\That was refreshing. response:	The bath's available if you wanna take a bath, Nana.
context: What! You're one to talk, with that Tarzan outfit.\- Tarzan? - Go back to the jungle!\It was as if I had awakened from a dream.\We were reminded once and for all that Ren is now a superstar\and out of our reach.\It made me feel miserable.\That was refreshing.\The bath's available if you wanna take a bath, Nana. response:	I left towels out for you.
context: - Tarzan? - Go back to the jungle!\It was as if I had awakened from a dream.\We were reminded once and for all that Ren is now a superstar\and out of our reach.\It made me feel miserable.\That was refreshing.\The bath's available if you wanna take a bath, Nana.\I left towels out for you. response:	Sure. Thanks.
context: It was as if I had awakened from a dream.\We were reminded once and for all that Ren is now a superstar\and out of our reach.\It made me feel miserable.\That was refreshing.\The bath's available if you wanna take a bath, Nana.\I left towels out for you.\Sure. Thanks. response:	Oh, darn! I forgot to switch it back on.
