context: I wonder if I'll get to see the fall next year. response:	The sun is the light for the early sleepers.
context: Good morning, Elias.\Who were they?\Yule.\I call them the Yule twins because they always come on the day of the winter solstice,\but I don't really know their names.\We're going to be busy today.\Okay.\You have to tell me if you get tired. response:	Okay.
context: Who were they?\Yule.\I call them the Yule twins because they always come on the day of the winter solstice,\but I don't really know their names.\We're going to be busy today.\Okay.\You have to tell me if you get tired.\Okay. response:	I'll tell you, I promise.
context: Yule.\I call them the Yule twins because they always come on the day of the winter solstice,\but I don't really know their names.\We're going to be busy today.\Okay.\You have to tell me if you get tired.\Okay.\I'll tell you, I promise. response:	I'm a failure of a familiar.
context: I call them the Yule twins because they always come on the day of the winter solstice,\but I don't really know their names.\We're going to be busy today.\Okay.\You have to tell me if you get tired.\Okay.\I'll tell you, I promise.\I'm a failure of a familiar. response:	I can't help Chise when she's in trouble.
context: but I don't really know their names.\We're going to be busy today.\Okay.\You have to tell me if you get tired.\Okay.\I'll tell you, I promise.\I'm a failure of a familiar.\I can't help Chise when she's in trouble. response:	He's been like this ever since that day.
context: We're going to be busy today.\Okay.\You have to tell me if you get tired.\Okay.\I'll tell you, I promise.\I'm a failure of a familiar.\I can't help Chise when she's in trouble.\He's been like this ever since that day. response:	What's even the point?
context: Okay.\You have to tell me if you get tired.\Okay.\I'll tell you, I promise.\I'm a failure of a familiar.\I can't help Chise when she's in trouble.\He's been like this ever since that day.\What's even the point? response:	I'm done for.
context: You have to tell me if you get tired.\Okay.\I'll tell you, I promise.\I'm a failure of a familiar.\I can't help Chise when she's in trouble.\He's been like this ever since that day.\What's even the point?\I'm done for. response:	You understand Chise far better than I do, don't you?
context: Okay.\I'll tell you, I promise.\I'm a failure of a familiar.\I can't help Chise when she's in trouble.\He's been like this ever since that day.\What's even the point?\I'm done for.\You understand Chise far better than I do, don't you? response:	It may be tough for you to say anything because Chise tends to hide things,
context: I'll tell you, I promise.\I'm a failure of a familiar.\I can't help Chise when she's in trouble.\He's been like this ever since that day.\What's even the point?\I'm done for.\You understand Chise far better than I do, don't you?\It may be tough for you to say anything because Chise tends to hide things, response:	but you can tell me sooner.
context: I'm a failure of a familiar.\I can't help Chise when she's in trouble.\He's been like this ever since that day.\What's even the point?\I'm done for.\You understand Chise far better than I do, don't you?\It may be tough for you to say anything because Chise tends to hide things,\but you can tell me sooner. response:	I'll take care of it.
context: I can't help Chise when she's in trouble.\He's been like this ever since that day.\What's even the point?\I'm done for.\You understand Chise far better than I do, don't you?\It may be tough for you to say anything because Chise tends to hide things,\but you can tell me sooner.\I'll take care of it. response:	This is painfully awkward.
context: He's been like this ever since that day.\What's even the point?\I'm done for.\You understand Chise far better than I do, don't you?\It may be tough for you to say anything because Chise tends to hide things,\but you can tell me sooner.\I'll take care of it.\This is painfully awkward. response:	She's a bit cold right now.
context: What's even the point?\I'm done for.\You understand Chise far better than I do, don't you?\It may be tough for you to say anything because Chise tends to hide things,\but you can tell me sooner.\I'll take care of it.\This is painfully awkward.\She's a bit cold right now. response:	Chise.
context: I'm done for.\You understand Chise far better than I do, don't you?\It may be tough for you to say anything because Chise tends to hide things,\but you can tell me sooner.\I'll take care of it.\This is painfully awkward.\She's a bit cold right now.\Chise. response:	It's because we just came inside.
context: You understand Chise far better than I do, don't you?\It may be tough for you to say anything because Chise tends to hide things,\but you can tell me sooner.\I'll take care of it.\This is painfully awkward.\She's a bit cold right now.\Chise.\It's because we just came inside. response:	All right.
context: It may be tough for you to say anything because Chise tends to hide things,\but you can tell me sooner.\I'll take care of it.\This is painfully awkward.\She's a bit cold right now.\Chise.\It's because we just came inside.\All right. response:	Let's prepare for Yule.
context: but you can tell me sooner.\I'll take care of it.\This is painfully awkward.\She's a bit cold right now.\Chise.\It's because we just came inside.\All right.\Let's prepare for Yule. response:	It's so pretty.
context: I'll take care of it.\This is painfully awkward.\She's a bit cold right now.\Chise.\It's because we just came inside.\All right.\Let's prepare for Yule.\It's so pretty. response:	Is this pretty?
context: This is painfully awkward.\She's a bit cold right now.\Chise.\It's because we just came inside.\All right.\Let's prepare for Yule.\It's so pretty.\Is this pretty? response:	I think it is.
context: She's a bit cold right now.\Chise.\It's because we just came inside.\All right.\Let's prepare for Yule.\It's so pretty.\Is this pretty?\I think it is. response:	There we go.
context: Chise.\It's because we just came inside.\All right.\Let's prepare for Yule.\It's so pretty.\Is this pretty?\I think it is.\There we go. response:	They say that traditionally, it's okay to kiss under the mistletoe.
context: It's because we just came inside.\All right.\Let's prepare for Yule.\It's so pretty.\Is this pretty?\I think it is.\There we go.\They say that traditionally, it's okay to kiss under the mistletoe. response:	I see...
context: All right.\Let's prepare for Yule.\It's so pretty.\Is this pretty?\I think it is.\There we go.\They say that traditionally, it's okay to kiss under the mistletoe.\I see... response:	Want to try it?
context: Let's prepare for Yule.\It's so pretty.\Is this pretty?\I think it is.\There we go.\They say that traditionally, it's okay to kiss under the mistletoe.\I see...\Want to try it? response:	He looks like he wants to.
context: It's so pretty.\Is this pretty?\I think it is.\There we go.\They say that traditionally, it's okay to kiss under the mistletoe.\I see...\Want to try it?\He looks like he wants to. response:	Um...
context: Is this pretty?\I think it is.\There we go.\They say that traditionally, it's okay to kiss under the mistletoe.\I see...\Want to try it?\He looks like he wants to.\Um... response:	Could you crouch for me?
context: I think it is.\There we go.\They say that traditionally, it's okay to kiss under the mistletoe.\I see...\Want to try it?\He looks like he wants to.\Um...\Could you crouch for me? response:	Okay.
context: There we go.\They say that traditionally, it's okay to kiss under the mistletoe.\I see...\Want to try it?\He looks like he wants to.\Um...\Could you crouch for me?\Okay. response:	And back to you.
context: They say that traditionally, it's okay to kiss under the mistletoe.\I see...\Want to try it?\He looks like he wants to.\Um...\Could you crouch for me?\Okay.\And back to you. response:	How was it?
context: I see...\Want to try it?\He looks like he wants to.\Um...\Could you crouch for me?\Okay.\And back to you.\How was it? response:	Hmm...
context: Want to try it?\He looks like he wants to.\Um...\Could you crouch for me?\Okay.\And back to you.\How was it?\Hmm... response:	How to phrase it...
context: He looks like he wants to.\Um...\Could you crouch for me?\Okay.\And back to you.\How was it?\Hmm...\How to phrase it... response:	My back? My waist? They feel tingly.
context: Um...\Could you crouch for me?\Okay.\And back to you.\How was it?\Hmm...\How to phrase it...\My back? My waist? They feel tingly. response:	Why?
context: Could you crouch for me?\Okay.\And back to you.\How was it?\Hmm...\How to phrase it...\My back? My waist? They feel tingly.\Why? response:	Dunno.
context: Okay.\And back to you.\How was it?\Hmm...\How to phrase it...\My back? My waist? They feel tingly.\Why?\Dunno. response:	One for you too, Ruth.
context: And back to you.\How was it?\Hmm...\How to phrase it...\My back? My waist? They feel tingly.\Why?\Dunno.\One for you too, Ruth. response:	All right, let's have dinner.
context: How was it?\Hmm...\How to phrase it...\My back? My waist? They feel tingly.\Why?\Dunno.\One for you too, Ruth.\All right, let's have dinner. response:	Okay.
context: Hmm...\How to phrase it...\My back? My waist? They feel tingly.\Why?\Dunno.\One for you too, Ruth.\All right, let's have dinner.\Okay. response:	Okay, sir, I'll be sure to deliver this.
context: How to phrase it...\My back? My waist? They feel tingly.\Why?\Dunno.\One for you too, Ruth.\All right, let's have dinner.\Okay.\Okay, sir, I'll be sure to deliver this. response:	Sorry it's always so last-minute.
context: My back? My waist? They feel tingly.\Why?\Dunno.\One for you too, Ruth.\All right, let's have dinner.\Okay.\Okay, sir, I'll be sure to deliver this.\Sorry it's always so last-minute. response:	It's no problem at all.
context: Why?\Dunno.\One for you too, Ruth.\All right, let's have dinner.\Okay.\Okay, sir, I'll be sure to deliver this.\Sorry it's always so last-minute.\It's no problem at all. response:	Now's my chance.
context: Dunno.\One for you too, Ruth.\All right, let's have dinner.\Okay.\Okay, sir, I'll be sure to deliver this.\Sorry it's always so last-minute.\It's no problem at all.\Now's my chance. response:	It'll be okay, I left a note.
context: One for you too, Ruth.\All right, let's have dinner.\Okay.\Okay, sir, I'll be sure to deliver this.\Sorry it's always so last-minute.\It's no problem at all.\Now's my chance.\It'll be okay, I left a note. response:	Bye.
context: All right, let's have dinner.\Okay.\Okay, sir, I'll be sure to deliver this.\Sorry it's always so last-minute.\It's no problem at all.\Now's my chance.\It'll be okay, I left a note.\Bye. response:	So many people.
context: Okay.\Okay, sir, I'll be sure to deliver this.\Sorry it's always so last-minute.\It's no problem at all.\Now's my chance.\It'll be okay, I left a note.\Bye.\So many people. response:	Chise, I'll be inside.
context: Okay, sir, I'll be sure to deliver this.\Sorry it's always so last-minute.\It's no problem at all.\Now's my chance.\It'll be okay, I left a note.\Bye.\So many people.\Chise, I'll be inside. response:	Okay.
context: Sorry it's always so last-minute.\It's no problem at all.\Now's my chance.\It'll be okay, I left a note.\Bye.\So many people.\Chise, I'll be inside.\Okay. response:	Sorry to drag you all the way out to London.
context: It's no problem at all.\Now's my chance.\It'll be okay, I left a note.\Bye.\So many people.\Chise, I'll be inside.\Okay.\Sorry to drag you all the way out to London. response:	So, um...
context: Now's my chance.\It'll be okay, I left a note.\Bye.\So many people.\Chise, I'll be inside.\Okay.\Sorry to drag you all the way out to London.\So, um... response:	A Christmas present, right?
context: It'll be okay, I left a note.\Bye.\So many people.\Chise, I'll be inside.\Okay.\Sorry to drag you all the way out to London.\So, um...\A Christmas present, right? response:	For Renfred-san.
context: Bye.\So many people.\Chise, I'll be inside.\Okay.\Sorry to drag you all the way out to London.\So, um...\A Christmas present, right?\For Renfred-san. response:	Yeah.
context: So many people.\Chise, I'll be inside.\Okay.\Sorry to drag you all the way out to London.\So, um...\A Christmas present, right?\For Renfred-san.\Yeah. response:	You really don't know what to get for him?
context: Chise, I'll be inside.\Okay.\Sorry to drag you all the way out to London.\So, um...\A Christmas present, right?\For Renfred-san.\Yeah.\You really don't know what to get for him? response:	What did you get him before?
context: Okay.\Sorry to drag you all the way out to London.\So, um...\A Christmas present, right?\For Renfred-san.\Yeah.\You really don't know what to get for him?\What did you get him before? response:	Before, well...
context: Sorry to drag you all the way out to London.\So, um...\A Christmas present, right?\For Renfred-san.\Yeah.\You really don't know what to get for him?\What did you get him before?\Before, well... response:	He was the one giving me gifts, so I thought this year, I'd get him something.
context: So, um...\A Christmas present, right?\For Renfred-san.\Yeah.\You really don't know what to get for him?\What did you get him before?\Before, well...\He was the one giving me gifts, so I thought this year, I'd get him something. response:	They're eating.
context: A Christmas present, right?\For Renfred-san.\Yeah.\You really don't know what to get for him?\What did you get him before?\Before, well...\He was the one giving me gifts, so I thought this year, I'd get him something.\They're eating. response:	They're really digging in.
context: For Renfred-san.\Yeah.\You really don't know what to get for him?\What did you get him before?\Before, well...\He was the one giving me gifts, so I thought this year, I'd get him something.\They're eating.\They're really digging in. response:	Aren't you getting that bonehead anything?
context: Yeah.\You really don't know what to get for him?\What did you get him before?\Before, well...\He was the one giving me gifts, so I thought this year, I'd get him something.\They're eating.\They're really digging in.\Aren't you getting that bonehead anything? response:	Me?
context: You really don't know what to get for him?\What did you get him before?\Before, well...\He was the one giving me gifts, so I thought this year, I'd get him something.\They're eating.\They're really digging in.\Aren't you getting that bonehead anything?\Me? response:	I'd never even thought about it.
context: What did you get him before?\Before, well...\He was the one giving me gifts, so I thought this year, I'd get him something.\They're eating.\They're really digging in.\Aren't you getting that bonehead anything?\Me?\I'd never even thought about it. response:	Let's go look for a present together, then.
context: Before, well...\He was the one giving me gifts, so I thought this year, I'd get him something.\They're eating.\They're really digging in.\Aren't you getting that bonehead anything?\Me?\I'd never even thought about it.\Let's go look for a present together, then. response:	Wait...
context: He was the one giving me gifts, so I thought this year, I'd get him something.\They're eating.\They're really digging in.\Aren't you getting that bonehead anything?\Me?\I'd never even thought about it.\Let's go look for a present together, then.\Wait... response:	She's not giving me a choice, is she?
context: They're eating.\They're really digging in.\Aren't you getting that bonehead anything?\Me?\I'd never even thought about it.\Let's go look for a present together, then.\Wait...\She's not giving me a choice, is she? response:	Did you find anything good?
context: They're really digging in.\Aren't you getting that bonehead anything?\Me?\I'd never even thought about it.\Let's go look for a present together, then.\Wait...\She's not giving me a choice, is she?\Did you find anything good? response:	Nope.
context: Aren't you getting that bonehead anything?\Me?\I'd never even thought about it.\Let's go look for a present together, then.\Wait...\She's not giving me a choice, is she?\Did you find anything good?\Nope. response:	There's the question of taste, too.
context: Me?\I'd never even thought about it.\Let's go look for a present together, then.\Wait...\She's not giving me a choice, is she?\Did you find anything good?\Nope.\There's the question of taste, too. response:	What about you?
context: I'd never even thought about it.\Let's go look for a present together, then.\Wait...\She's not giving me a choice, is she?\Did you find anything good?\Nope.\There's the question of taste, too.\What about you? response:	I don't even know what his tastes are.
context: Let's go look for a present together, then.\Wait...\She's not giving me a choice, is she?\Did you find anything good?\Nope.\There's the question of taste, too.\What about you?\I don't even know what his tastes are. response:	Sorry.
context: Wait...\She's not giving me a choice, is she?\Did you find anything good?\Nope.\There's the question of taste, too.\What about you?\I don't even know what his tastes are.\Sorry. response:	I've never given anyone a gift before.
context: She's not giving me a choice, is she?\Did you find anything good?\Nope.\There's the question of taste, too.\What about you?\I don't even know what his tastes are.\Sorry.\I've never given anyone a gift before. response:	I don't... well, I don't know too many people.
context: Did you find anything good?\Nope.\There's the question of taste, too.\What about you?\I don't even know what his tastes are.\Sorry.\I've never given anyone a gift before.\I don't... well, I don't know too many people. response:	M-Me, neither.
context: Nope.\There's the question of taste, too.\What about you?\I don't even know what his tastes are.\Sorry.\I've never given anyone a gift before.\I don't... well, I don't know too many people.\M-Me, neither. response:	I don't know anyone like that, either.
context: There's the question of taste, too.\What about you?\I don't even know what his tastes are.\Sorry.\I've never given anyone a gift before.\I don't... well, I don't know too many people.\M-Me, neither.\I don't know anyone like that, either. response:	We're in the same boat, then.
context: What about you?\I don't even know what his tastes are.\Sorry.\I've never given anyone a gift before.\I don't... well, I don't know too many people.\M-Me, neither.\I don't know anyone like that, either.\We're in the same boat, then. response:	In the same boat?
context: I don't even know what his tastes are.\Sorry.\I've never given anyone a gift before.\I don't... well, I don't know too many people.\M-Me, neither.\I don't know anyone like that, either.\We're in the same boat, then.\In the same boat? response:	You're a mage and I'm a sorcerer,
context: Sorry.\I've never given anyone a gift before.\I don't... well, I don't know too many people.\M-Me, neither.\I don't know anyone like that, either.\We're in the same boat, then.\In the same boat?\You're a mage and I'm a sorcerer, response:	but we both live our lives studying with our masters.
context: I've never given anyone a gift before.\I don't... well, I don't know too many people.\M-Me, neither.\I don't know anyone like that, either.\We're in the same boat, then.\In the same boat?\You're a mage and I'm a sorcerer,\but we both live our lives studying with our masters. response:	So we're in the same boat.
context: I don't... well, I don't know too many people.\M-Me, neither.\I don't know anyone like that, either.\We're in the same boat, then.\In the same boat?\You're a mage and I'm a sorcerer,\but we both live our lives studying with our masters.\So we're in the same boat. response:	Oh.
context: M-Me, neither.\I don't know anyone like that, either.\We're in the same boat, then.\In the same boat?\You're a mage and I'm a sorcerer,\but we both live our lives studying with our masters.\So we're in the same boat.\Oh. response:	You're right.
context: I don't know anyone like that, either.\We're in the same boat, then.\In the same boat?\You're a mage and I'm a sorcerer,\but we both live our lives studying with our masters.\So we're in the same boat.\Oh.\You're right. response:	Hey, it's the lady from Mr. Ainsworth's place.
context: We're in the same boat, then.\In the same boat?\You're a mage and I'm a sorcerer,\but we both live our lives studying with our masters.\So we're in the same boat.\Oh.\You're right.\Hey, it's the lady from Mr. Ainsworth's place. response:	Hazel-san. Hello.
context: In the same boat?\You're a mage and I'm a sorcerer,\but we both live our lives studying with our masters.\So we're in the same boat.\Oh.\You're right.\Hey, it's the lady from Mr. Ainsworth's place.\Hazel-san. Hello. response:	Who are you talking to, Chise?
context: You're a mage and I'm a sorcerer,\but we both live our lives studying with our masters.\So we're in the same boat.\Oh.\You're right.\Hey, it's the lady from Mr. Ainsworth's place.\Hazel-san. Hello.\Who are you talking to, Chise? response:	Oh, is your friend...
context: but we both live our lives studying with our masters.\So we're in the same boat.\Oh.\You're right.\Hey, it's the lady from Mr. Ainsworth's place.\Hazel-san. Hello.\Who are you talking to, Chise?\Oh, is your friend... response:	Unlike mages, sorcerers don't notice people like us, who've disguised ourselves.
context: So we're in the same boat.\Oh.\You're right.\Hey, it's the lady from Mr. Ainsworth's place.\Hazel-san. Hello.\Who are you talking to, Chise?\Oh, is your friend...\Unlike mages, sorcerers don't notice people like us, who've disguised ourselves. response:	Nice to meet you, my lady.
context: Oh.\You're right.\Hey, it's the lady from Mr. Ainsworth's place.\Hazel-san. Hello.\Who are you talking to, Chise?\Oh, is your friend...\Unlike mages, sorcerers don't notice people like us, who've disguised ourselves.\Nice to meet you, my lady. response:	Christmas presents, huh?
context: You're right.\Hey, it's the lady from Mr. Ainsworth's place.\Hazel-san. Hello.\Who are you talking to, Chise?\Oh, is your friend...\Unlike mages, sorcerers don't notice people like us, who've disguised ourselves.\Nice to meet you, my lady.\Christmas presents, huh? response:	Yeah...
context: Hey, it's the lady from Mr. Ainsworth's place.\Hazel-san. Hello.\Who are you talking to, Chise?\Oh, is your friend...\Unlike mages, sorcerers don't notice people like us, who've disguised ourselves.\Nice to meet you, my lady.\Christmas presents, huh?\Yeah... response:	What about something that you can picture them using?
context: Hazel-san. Hello.\Who are you talking to, Chise?\Oh, is your friend...\Unlike mages, sorcerers don't notice people like us, who've disguised ourselves.\Nice to meet you, my lady.\Christmas presents, huh?\Yeah...\What about something that you can picture them using? response:	Think really carefully about them. Imagine something that makes sense.
context: Who are you talking to, Chise?\Oh, is your friend...\Unlike mages, sorcerers don't notice people like us, who've disguised ourselves.\Nice to meet you, my lady.\Christmas presents, huh?\Yeah...\What about something that you can picture them using?\Think really carefully about them. Imagine something that makes sense. response:	Want to take another lap around?
context: Oh, is your friend...\Unlike mages, sorcerers don't notice people like us, who've disguised ourselves.\Nice to meet you, my lady.\Christmas presents, huh?\Yeah...\What about something that you can picture them using?\Think really carefully about them. Imagine something that makes sense.\Want to take another lap around? response:	Okay.
context: Unlike mages, sorcerers don't notice people like us, who've disguised ourselves.\Nice to meet you, my lady.\Christmas presents, huh?\Yeah...\What about something that you can picture them using?\Think really carefully about them. Imagine something that makes sense.\Want to take another lap around?\Okay. response:	Something he uses all the time, huh?
context: Nice to meet you, my lady.\Christmas presents, huh?\Yeah...\What about something that you can picture them using?\Think really carefully about them. Imagine something that makes sense.\Want to take another lap around?\Okay.\Something he uses all the time, huh? response:	I think I have an idea.
context: Christmas presents, huh?\Yeah...\What about something that you can picture them using?\Think really carefully about them. Imagine something that makes sense.\Want to take another lap around?\Okay.\Something he uses all the time, huh?\I think I have an idea. response:	No fair! Tell me.
context: Yeah...\What about something that you can picture them using?\Think really carefully about them. Imagine something that makes sense.\Want to take another lap around?\Okay.\Something he uses all the time, huh?\I think I have an idea.\No fair! Tell me. response:	You can't copy me, though.
context: What about something that you can picture them using?\Think really carefully about them. Imagine something that makes sense.\Want to take another lap around?\Okay.\Something he uses all the time, huh?\I think I have an idea.\No fair! Tell me.\You can't copy me, though. response:	Hey, it's Alice.
context: Think really carefully about them. Imagine something that makes sense.\Want to take another lap around?\Okay.\Something he uses all the time, huh?\I think I have an idea.\No fair! Tell me.\You can't copy me, though.\Hey, it's Alice. response:	Let's go, Chise.
context: Want to take another lap around?\Okay.\Something he uses all the time, huh?\I think I have an idea.\No fair! Tell me.\You can't copy me, though.\Hey, it's Alice.\Let's go, Chise. response:	What?
context: Okay.\Something he uses all the time, huh?\I think I have an idea.\No fair! Tell me.\You can't copy me, though.\Hey, it's Alice.\Let's go, Chise.\What? response:	Let's hang out, like old times.
context: Something he uses all the time, huh?\I think I have an idea.\No fair! Tell me.\You can't copy me, though.\Hey, it's Alice.\Let's go, Chise.\What?\Let's hang out, like old times. response:	I'm not doing drugs anymore.
context: I think I have an idea.\No fair! Tell me.\You can't copy me, though.\Hey, it's Alice.\Let's go, Chise.\What?\Let's hang out, like old times.\I'm not doing drugs anymore. response:	Yo!
context: No fair! Tell me.\You can't copy me, though.\Hey, it's Alice.\Let's go, Chise.\What?\Let's hang out, like old times.\I'm not doing drugs anymore.\Yo! response:	You...
context: You can't copy me, though.\Hey, it's Alice.\Let's go, Chise.\What?\Let's hang out, like old times.\I'm not doing drugs anymore.\Yo!\You... response:	Wh-Where the hell did you...
context: Hey, it's Alice.\Let's go, Chise.\What?\Let's hang out, like old times.\I'm not doing drugs anymore.\Yo!\You...\Wh-Where the hell did you... response:	Go!
context: Let's go, Chise.\What?\Let's hang out, like old times.\I'm not doing drugs anymore.\Yo!\You...\Wh-Where the hell did you...\Go! response:	Sorry about that.
context: What?\Let's hang out, like old times.\I'm not doing drugs anymore.\Yo!\You...\Wh-Where the hell did you...\Go!\Sorry about that. response:	They're just stragglers from my past.
context: Let's hang out, like old times.\I'm not doing drugs anymore.\Yo!\You...\Wh-Where the hell did you...\Go!\Sorry about that.\They're just stragglers from my past. response:	Alice-san...
context: I'm not doing drugs anymore.\Yo!\You...\Wh-Where the hell did you...\Go!\Sorry about that.\They're just stragglers from my past.\Alice-san... response:	Do drugs taste good?
context: Yo!\You...\Wh-Where the hell did you...\Go!\Sorry about that.\They're just stragglers from my past.\Alice-san...\Do drugs taste good? response:	Not at all.
context: You...\Wh-Where the hell did you...\Go!\Sorry about that.\They're just stragglers from my past.\Alice-san...\Do drugs taste good?\Not at all. response:	They're not my thing.
context: Wh-Where the hell did you...\Go!\Sorry about that.\They're just stragglers from my past.\Alice-san...\Do drugs taste good?\Not at all.\They're not my thing. response:	I didn't start by choice, either.
context: Go!\Sorry about that.\They're just stragglers from my past.\Alice-san...\Do drugs taste good?\Not at all.\They're not my thing.\I didn't start by choice, either. response:	It's still like a dream.
context: Sorry about that.\They're just stragglers from my past.\Alice-san...\Do drugs taste good?\Not at all.\They're not my thing.\I didn't start by choice, either.\It's still like a dream. response:	This isn't fun to talk about.
context: They're just stragglers from my past.\Alice-san...\Do drugs taste good?\Not at all.\They're not my thing.\I didn't start by choice, either.\It's still like a dream.\This isn't fun to talk about. response:	Let's not.
context: Alice-san...\Do drugs taste good?\Not at all.\They're not my thing.\I didn't start by choice, either.\It's still like a dream.\This isn't fun to talk about.\Let's not. response:	It's okay.
context: Do drugs taste good?\Not at all.\They're not my thing.\I didn't start by choice, either.\It's still like a dream.\This isn't fun to talk about.\Let's not.\It's okay. response:	I want to hear.
context: Not at all.\They're not my thing.\I didn't start by choice, either.\It's still like a dream.\This isn't fun to talk about.\Let's not.\It's okay.\I want to hear. response:	My shitty parents got me into drugs.
context: They're not my thing.\I didn't start by choice, either.\It's still like a dream.\This isn't fun to talk about.\Let's not.\It's okay.\I want to hear.\My shitty parents got me into drugs. response:	I had nothing going for me outside of selling that crap, when Master took me in.
context: I didn't start by choice, either.\It's still like a dream.\This isn't fun to talk about.\Let's not.\It's okay.\I want to hear.\My shitty parents got me into drugs.\I had nothing going for me outside of selling that crap, when Master took me in. response:	Hey, have you seen the blonde brat?
context: It's still like a dream.\This isn't fun to talk about.\Let's not.\It's okay.\I want to hear.\My shitty parents got me into drugs.\I had nothing going for me outside of selling that crap, when Master took me in.\Hey, have you seen the blonde brat? response:	We need to teach her a lesson.
context: This isn't fun to talk about.\Let's not.\It's okay.\I want to hear.\My shitty parents got me into drugs.\I had nothing going for me outside of selling that crap, when Master took me in.\Hey, have you seen the blonde brat?\We need to teach her a lesson. response:	What the hell are you looking at?
