context: It's the start of fall. response:	Things got a little hectic in central Flognarde,
context: Okay, let's head out on our walk.\Yes!\Is Nanami already...\Yes, she's already in.\She's all set.\Okay!\So this is it?\Yeah. response:	Wow!
context: Yes!\Is Nanami already...\Yes, she's already in.\She's all set.\Okay!\So this is it?\Yeah.\Wow! response:	It's the new walk spot I found!
context: Is Nanami already...\Yes, she's already in.\She's all set.\Okay!\So this is it?\Yeah.\Wow!\It's the new walk spot I found! response:	Okay, let's play then!
context: Yes, she's already in.\She's all set.\Okay!\So this is it?\Yeah.\Wow!\It's the new walk spot I found!\Okay, let's play then! response:	Yeah!
context: She's all set.\Okay!\So this is it?\Yeah.\Wow!\It's the new walk spot I found!\Okay, let's play then!\Yeah! response:	It's warm.
context: Okay!\So this is it?\Yeah.\Wow!\It's the new walk spot I found!\Okay, let's play then!\Yeah!\It's warm. response:	And it smells so good.
context: So this is it?\Yeah.\Wow!\It's the new walk spot I found!\Okay, let's play then!\Yeah!\It's warm.\And it smells so good. response:	It's called Rose Daydream.
context: Yeah.\Wow!\It's the new walk spot I found!\Okay, let's play then!\Yeah!\It's warm.\And it smells so good.\It's called Rose Daydream. response:	It's a massage oil popular in London.
context: Wow!\It's the new walk spot I found!\Okay, let's play then!\Yeah!\It's warm.\And it smells so good.\It's called Rose Daydream.\It's a massage oil popular in London. response:	Your shoulders... aren't that stiff.
context: It's the new walk spot I found!\Okay, let's play then!\Yeah!\It's warm.\And it smells so good.\It's called Rose Daydream.\It's a massage oil popular in London.\Your shoulders... aren't that stiff. response:	It feels so good, though.
context: Okay, let's play then!\Yeah!\It's warm.\And it smells so good.\It's called Rose Daydream.\It's a massage oil popular in London.\Your shoulders... aren't that stiff.\It feels so good, though. response:	Your hips and legs are stiff, though.
context: Yeah!\It's warm.\And it smells so good.\It's called Rose Daydream.\It's a massage oil popular in London.\Your shoulders... aren't that stiff.\It feels so good, though.\Your hips and legs are stiff, though. response:	I didn't get to rest on the expedition yesterday.
context: It's warm.\And it smells so good.\It's called Rose Daydream.\It's a massage oil popular in London.\Your shoulders... aren't that stiff.\It feels so good, though.\Your hips and legs are stiff, though.\I didn't get to rest on the expedition yesterday. response:	You came at top speed from Galette for me, didn't you?
context: And it smells so good.\It's called Rose Daydream.\It's a massage oil popular in London.\Your shoulders... aren't that stiff.\It feels so good, though.\Your hips and legs are stiff, though.\I didn't get to rest on the expedition yesterday.\You came at top speed from Galette for me, didn't you? response:	Thank you, Leo-sama.
context: It's called Rose Daydream.\It's a massage oil popular in London.\Your shoulders... aren't that stiff.\It feels so good, though.\Your hips and legs are stiff, though.\I didn't get to rest on the expedition yesterday.\You came at top speed from Galette for me, didn't you?\Thank you, Leo-sama. response:	Oh, it wasn't just me.
context: It's a massage oil popular in London.\Your shoulders... aren't that stiff.\It feels so good, though.\Your hips and legs are stiff, though.\I didn't get to rest on the expedition yesterday.\You came at top speed from Galette for me, didn't you?\Thank you, Leo-sama.\Oh, it wasn't just me. response:	I'm glad that you and Shinku and the creatures in the Dragon's Forest were all safe.
context: Your shoulders... aren't that stiff.\It feels so good, though.\Your hips and legs are stiff, though.\I didn't get to rest on the expedition yesterday.\You came at top speed from Galette for me, didn't you?\Thank you, Leo-sama.\Oh, it wasn't just me.\I'm glad that you and Shinku and the creatures in the Dragon's Forest were all safe. response:	You've got a national broadcast after this, right?
context: It feels so good, though.\Your hips and legs are stiff, though.\I didn't get to rest on the expedition yesterday.\You came at top speed from Galette for me, didn't you?\Thank you, Leo-sama.\Oh, it wasn't just me.\I'm glad that you and Shinku and the creatures in the Dragon's Forest were all safe.\You've got a national broadcast after this, right? response:	Yeah, I'm going to share the details of
context: Your hips and legs are stiff, though.\I didn't get to rest on the expedition yesterday.\You came at top speed from Galette for me, didn't you?\Thank you, Leo-sama.\Oh, it wasn't just me.\I'm glad that you and Shinku and the creatures in the Dragon's Forest were all safe.\You've got a national broadcast after this, right?\Yeah, I'm going to share the details of response:	what happened in the Dragon's Forest.
context: I didn't get to rest on the expedition yesterday.\You came at top speed from Galette for me, didn't you?\Thank you, Leo-sama.\Oh, it wasn't just me.\I'm glad that you and Shinku and the creatures in the Dragon's Forest were all safe.\You've got a national broadcast after this, right?\Yeah, I'm going to share the details of\what happened in the Dragon's Forest. response:	Large expeditions put stress and worry on the people.
context: You came at top speed from Galette for me, didn't you?\Thank you, Leo-sama.\Oh, it wasn't just me.\I'm glad that you and Shinku and the creatures in the Dragon's Forest were all safe.\You've got a national broadcast after this, right?\Yeah, I'm going to share the details of\what happened in the Dragon's Forest.\Large expeditions put stress and worry on the people. response:	I have a duty to explain to them what happened,
context: Thank you, Leo-sama.\Oh, it wasn't just me.\I'm glad that you and Shinku and the creatures in the Dragon's Forest were all safe.\You've got a national broadcast after this, right?\Yeah, I'm going to share the details of\what happened in the Dragon's Forest.\Large expeditions put stress and worry on the people.\I have a duty to explain to them what happened, response:	and what the results were.
context: Oh, it wasn't just me.\I'm glad that you and Shinku and the creatures in the Dragon's Forest were all safe.\You've got a national broadcast after this, right?\Yeah, I'm going to share the details of\what happened in the Dragon's Forest.\Large expeditions put stress and worry on the people.\I have a duty to explain to them what happened,\and what the results were. response:	It's tough being a ruler.
context: I'm glad that you and Shinku and the creatures in the Dragon's Forest were all safe.\You've got a national broadcast after this, right?\Yeah, I'm going to share the details of\what happened in the Dragon's Forest.\Large expeditions put stress and worry on the people.\I have a duty to explain to them what happened,\and what the results were.\It's tough being a ruler. response:	Well, only a very few think of it that way.
context: You've got a national broadcast after this, right?\Yeah, I'm going to share the details of\what happened in the Dragon's Forest.\Large expeditions put stress and worry on the people.\I have a duty to explain to them what happened,\and what the results were.\It's tough being a ruler.\Well, only a very few think of it that way. response:	Our activities are of
context: Yeah, I'm going to share the details of\what happened in the Dragon's Forest.\Large expeditions put stress and worry on the people.\I have a duty to explain to them what happened,\and what the results were.\It's tough being a ruler.\Well, only a very few think of it that way.\Our activities are of response:	great interest to the people,
context: what happened in the Dragon's Forest.\Large expeditions put stress and worry on the people.\I have a duty to explain to them what happened,\and what the results were.\It's tough being a ruler.\Well, only a very few think of it that way.\Our activities are of\great interest to the people, response:	so I have to share
context: Large expeditions put stress and worry on the people.\I have a duty to explain to them what happened,\and what the results were.\It's tough being a ruler.\Well, only a very few think of it that way.\Our activities are of\great interest to the people,\so I have to share response:	everything with the whole continent.
context: I have a duty to explain to them what happened,\and what the results were.\It's tough being a ruler.\Well, only a very few think of it that way.\Our activities are of\great interest to the people,\so I have to share\everything with the whole continent. response:	I see.
context: and what the results were.\It's tough being a ruler.\Well, only a very few think of it that way.\Our activities are of\great interest to the people,\so I have to share\everything with the whole continent.\I see. response:	So I have to make your skin and
context: It's tough being a ruler.\Well, only a very few think of it that way.\Our activities are of\great interest to the people,\so I have to share\everything with the whole continent.\I see.\So I have to make your skin and response:	hair sparkle so people can tell on the broadcast!
context: Well, only a very few think of it that way.\Our activities are of\great interest to the people,\so I have to share\everything with the whole continent.\I see.\So I have to make your skin and\hair sparkle so people can tell on the broadcast! response:	Yeah!
context: Our activities are of\great interest to the people,\so I have to share\everything with the whole continent.\I see.\So I have to make your skin and\hair sparkle so people can tell on the broadcast!\Yeah! response:	Go!
context: great interest to the people,\so I have to share\everything with the whole continent.\I see.\So I have to make your skin and\hair sparkle so people can tell on the broadcast!\Yeah!\Go! response:	Nice catch!
context: so I have to share\everything with the whole continent.\I see.\So I have to make your skin and\hair sparkle so people can tell on the broadcast!\Yeah!\Go!\Nice catch! response:	Go!
context: everything with the whole continent.\I see.\So I have to make your skin and\hair sparkle so people can tell on the broadcast!\Yeah!\Go!\Nice catch!\Go! response:	I got it!
context: I see.\So I have to make your skin and\hair sparkle so people can tell on the broadcast!\Yeah!\Go!\Nice catch!\Go!\I got it! response:	Wow, Princess!
context: So I have to make your skin and\hair sparkle so people can tell on the broadcast!\Yeah!\Go!\Nice catch!\Go!\I got it!\Wow, Princess! response:	Let's play more!
context: hair sparkle so people can tell on the broadcast!\Yeah!\Go!\Nice catch!\Go!\I got it!\Wow, Princess!\Let's play more! response:	Okay! As much as you want!
context: Yeah!\Go!\Nice catch!\Go!\I got it!\Wow, Princess!\Let's play more!\Okay! As much as you want! response:	I just have this feeling that the Hero is being rude to the princess.
context: Go!\Nice catch!\Go!\I got it!\Wow, Princess!\Let's play more!\Okay! As much as you want!\I just have this feeling that the Hero is being rude to the princess. response:	I'm sure they're having fun together.
context: Nice catch!\Go!\I got it!\Wow, Princess!\Let's play more!\Okay! As much as you want!\I just have this feeling that the Hero is being rude to the princess.\I'm sure they're having fun together. response:	I can't wait to play with the Hero, too!
context: Go!\I got it!\Wow, Princess!\Let's play more!\Okay! As much as you want!\I just have this feeling that the Hero is being rude to the princess.\I'm sure they're having fun together.\I can't wait to play with the Hero, too! response:	Well, I'm sure it'll be your turn to play with him once he gets back.
context: I got it!\Wow, Princess!\Let's play more!\Okay! As much as you want!\I just have this feeling that the Hero is being rude to the princess.\I'm sure they're having fun together.\I can't wait to play with the Hero, too!\Well, I'm sure it'll be your turn to play with him once he gets back. response:	Yup!
context: Wow, Princess!\Let's play more!\Okay! As much as you want!\I just have this feeling that the Hero is being rude to the princess.\I'm sure they're having fun together.\I can't wait to play with the Hero, too!\Well, I'm sure it'll be your turn to play with him once he gets back.\Yup! response:	Who's going to be on the broadcast besides you?
context: Let's play more!\Okay! As much as you want!\I just have this feeling that the Hero is being rude to the princess.\I'm sure they're having fun together.\I can't wait to play with the Hero, too!\Well, I'm sure it'll be your turn to play with him once he gets back.\Yup!\Who's going to be on the broadcast besides you? response:	It'll be Violet, from our side,
context: Okay! As much as you want!\I just have this feeling that the Hero is being rude to the princess.\I'm sure they're having fun together.\I can't wait to play with the Hero, too!\Well, I'm sure it'll be your turn to play with him once he gets back.\Yup!\Who's going to be on the broadcast besides you?\It'll be Violet, from our side, response:	and several military pundits
context: I just have this feeling that the Hero is being rude to the princess.\I'm sure they're having fun together.\I can't wait to play with the Hero, too!\Well, I'm sure it'll be your turn to play with him once he gets back.\Yup!\Who's going to be on the broadcast besides you?\It'll be Violet, from our side,\and several military pundits response:	from Biscotti and Pastillage.
context: I'm sure they're having fun together.\I can't wait to play with the Hero, too!\Well, I'm sure it'll be your turn to play with him once he gets back.\Yup!\Who's going to be on the broadcast besides you?\It'll be Violet, from our side,\and several military pundits\from Biscotti and Pastillage. response:	I see.
context: I can't wait to play with the Hero, too!\Well, I'm sure it'll be your turn to play with him once he gets back.\Yup!\Who's going to be on the broadcast besides you?\It'll be Violet, from our side,\and several military pundits\from Biscotti and Pastillage.\I see. response:	Oh, right.
context: Well, I'm sure it'll be your turn to play with him once he gets back.\Yup!\Who's going to be on the broadcast besides you?\It'll be Violet, from our side,\and several military pundits\from Biscotti and Pastillage.\I see.\Oh, right. response:	I didn't get a chance to thank Adel-sama for
context: Yup!\Who's going to be on the broadcast besides you?\It'll be Violet, from our side,\and several military pundits\from Biscotti and Pastillage.\I see.\Oh, right.\I didn't get a chance to thank Adel-sama for response:	the Spirit Crystal she gave me.
context: Who's going to be on the broadcast besides you?\It'll be Violet, from our side,\and several military pundits\from Biscotti and Pastillage.\I see.\Oh, right.\I didn't get a chance to thank Adel-sama for\the Spirit Crystal she gave me. response:	That's right,
context: It'll be Violet, from our side,\and several military pundits\from Biscotti and Pastillage.\I see.\Oh, right.\I didn't get a chance to thank Adel-sama for\the Spirit Crystal she gave me.\That's right, response:	you missed her.
context: and several military pundits\from Biscotti and Pastillage.\I see.\Oh, right.\I didn't get a chance to thank Adel-sama for\the Spirit Crystal she gave me.\That's right,\you missed her. response:	Then why not go see her today?
context: from Biscotti and Pastillage.\I see.\Oh, right.\I didn't get a chance to thank Adel-sama for\the Spirit Crystal she gave me.\That's right,\you missed her.\Then why not go see her today? response:	Is it okay?
context: I see.\Oh, right.\I didn't get a chance to thank Adel-sama for\the Spirit Crystal she gave me.\That's right,\you missed her.\Then why not go see her today?\Is it okay? response:	The three Genoise are heading
context: Oh, right.\I didn't get a chance to thank Adel-sama for\the Spirit Crystal she gave me.\That's right,\you missed her.\Then why not go see her today?\Is it okay?\The three Genoise are heading response:	to Pastillage on an errand.
context: I didn't get a chance to thank Adel-sama for\the Spirit Crystal she gave me.\That's right,\you missed her.\Then why not go see her today?\Is it okay?\The three Genoise are heading\to Pastillage on an errand. response:	You can go with them.
context: the Spirit Crystal she gave me.\That's right,\you missed her.\Then why not go see her today?\Is it okay?\The three Genoise are heading\to Pastillage on an errand.\You can go with them. response:	All right, Noir, Jaune, Vert,
context: That's right,\you missed her.\Then why not go see her today?\Is it okay?\The three Genoise are heading\to Pastillage on an errand.\You can go with them.\All right, Noir, Jaune, Vert, response:	take Nanami with you!
context: you missed her.\Then why not go see her today?\Is it okay?\The three Genoise are heading\to Pastillage on an errand.\You can go with them.\All right, Noir, Jaune, Vert,\take Nanami with you! response:	Understood...
context: Then why not go see her today?\Is it okay?\The three Genoise are heading\to Pastillage on an errand.\You can go with them.\All right, Noir, Jaune, Vert,\take Nanami with you!\Understood... response:	Leo-sama is so sparkly.
context: Is it okay?\The three Genoise are heading\to Pastillage on an errand.\You can go with them.\All right, Noir, Jaune, Vert,\take Nanami with you!\Understood...\Leo-sama is so sparkly. response:	You look more wonderful than usual!
context: The three Genoise are heading\to Pastillage on an errand.\You can go with them.\All right, Noir, Jaune, Vert,\take Nanami with you!\Understood...\Leo-sama is so sparkly.\You look more wonderful than usual! response:	I'll give you a treatment later, too.
context: to Pastillage on an errand.\You can go with them.\All right, Noir, Jaune, Vert,\take Nanami with you!\Understood...\Leo-sama is so sparkly.\You look more wonderful than usual!\I'll give you a treatment later, too. response:	Yay!
context: You can go with them.\All right, Noir, Jaune, Vert,\take Nanami with you!\Understood...\Leo-sama is so sparkly.\You look more wonderful than usual!\I'll give you a treatment later, too.\Yay! response:	Couver, the hall seems
context: All right, Noir, Jaune, Vert,\take Nanami with you!\Understood...\Leo-sama is so sparkly.\You look more wonderful than usual!\I'll give you a treatment later, too.\Yay!\Couver, the hall seems response:	very lively today.
context: take Nanami with you!\Understood...\Leo-sama is so sparkly.\You look more wonderful than usual!\I'll give you a treatment later, too.\Yay!\Couver, the hall seems\very lively today. response:	That's right.
context: Understood...\Leo-sama is so sparkly.\You look more wonderful than usual!\I'll give you a treatment later, too.\Yay!\Couver, the hall seems\very lively today.\That's right. response:	There's some kind of fall merchant's event.
context: Leo-sama is so sparkly.\You look more wonderful than usual!\I'll give you a treatment later, too.\Yay!\Couver, the hall seems\very lively today.\That's right.\There's some kind of fall merchant's event. response:	They're announcing the new weapons
context: You look more wonderful than usual!\I'll give you a treatment later, too.\Yay!\Couver, the hall seems\very lively today.\That's right.\There's some kind of fall merchant's event.\They're announcing the new weapons response:	and armor for the war games.
context: I'll give you a treatment later, too.\Yay!\Couver, the hall seems\very lively today.\That's right.\There's some kind of fall merchant's event.\They're announcing the new weapons\and armor for the war games. response:	I see.
context: Yay!\Couver, the hall seems\very lively today.\That's right.\There's some kind of fall merchant's event.\They're announcing the new weapons\and armor for the war games.\I see. response:	Here you are!
context: Couver, the hall seems\very lively today.\That's right.\There's some kind of fall merchant's event.\They're announcing the new weapons\and armor for the war games.\I see.\Here you are! response:	Okay.
context: very lively today.\That's right.\There's some kind of fall merchant's event.\They're announcing the new weapons\and armor for the war games.\I see.\Here you are!\Okay. response:	What's this?
context: That's right.\There's some kind of fall merchant's event.\They're announcing the new weapons\and armor for the war games.\I see.\Here you are!\Okay.\What's this? response:	It's called a florentine.
context: There's some kind of fall merchant's event.\They're announcing the new weapons\and armor for the war games.\I see.\Here you are!\Okay.\What's this?\It's called a florentine. response:	It's a cookie from France!
context: They're announcing the new weapons\and armor for the war games.\I see.\Here you are!\Okay.\What's this?\It's called a florentine.\It's a cookie from France! response:	France is an Earth country, right?
context: and armor for the war games.\I see.\Here you are!\Okay.\What's this?\It's called a florentine.\It's a cookie from France!\France is an Earth country, right? response:	That's...
context: I see.\Here you are!\Okay.\What's this?\It's called a florentine.\It's a cookie from France!\France is an Earth country, right?\That's... response:	Thank you, Rebecca.
context: Here you are!\Okay.\What's this?\It's called a florentine.\It's a cookie from France!\France is an Earth country, right?\That's...\Thank you, Rebecca. response:	There weren't any cute cookies
context: Okay.\What's this?\It's called a florentine.\It's a cookie from France!\France is an Earth country, right?\That's...\Thank you, Rebecca.\There weren't any cute cookies response:	like this when I was on Earth,
context: What's this?\It's called a florentine.\It's a cookie from France!\France is an Earth country, right?\That's...\Thank you, Rebecca.\There weren't any cute cookies\like this when I was on Earth, response:	but it still reminds me of home.
context: It's called a florentine.\It's a cookie from France!\France is an Earth country, right?\That's...\Thank you, Rebecca.\There weren't any cute cookies\like this when I was on Earth,\but it still reminds me of home. response:	It's thanks to these cute cookies
context: It's a cookie from France!\France is an Earth country, right?\That's...\Thank you, Rebecca.\There weren't any cute cookies\like this when I was on Earth,\but it still reminds me of home.\It's thanks to these cute cookies response:	and this cute Hero
context: France is an Earth country, right?\That's...\Thank you, Rebecca.\There weren't any cute cookies\like this when I was on Earth,\but it still reminds me of home.\It's thanks to these cute cookies\and this cute Hero response:	that I can touch the memories of the place I was born.
context: That's...\Thank you, Rebecca.\There weren't any cute cookies\like this when I was on Earth,\but it still reminds me of home.\It's thanks to these cute cookies\and this cute Hero\that I can touch the memories of the place I was born. response:	If you like, I'll bring more.
context: Thank you, Rebecca.\There weren't any cute cookies\like this when I was on Earth,\but it still reminds me of home.\It's thanks to these cute cookies\and this cute Hero\that I can touch the memories of the place I was born.\If you like, I'll bring more. response:	Okay!
context: There weren't any cute cookies\like this when I was on Earth,\but it still reminds me of home.\It's thanks to these cute cookies\and this cute Hero\that I can touch the memories of the place I was born.\If you like, I'll bring more.\Okay! response:	As a new Hero,
context: like this when I was on Earth,\but it still reminds me of home.\It's thanks to these cute cookies\and this cute Hero\that I can touch the memories of the place I was born.\If you like, I'll bring more.\Okay!\As a new Hero, response:	there's things I'd like to learn from the original Hero.
context: but it still reminds me of home.\It's thanks to these cute cookies\and this cute Hero\that I can touch the memories of the place I was born.\If you like, I'll bring more.\Okay!\As a new Hero,\there's things I'd like to learn from the original Hero. response:	Oh, my.
context: It's thanks to these cute cookies\and this cute Hero\that I can touch the memories of the place I was born.\If you like, I'll bring more.\Okay!\As a new Hero,\there's things I'd like to learn from the original Hero.\Oh, my. response:	The first Hero in modern Flognarde,
context: and this cute Hero\that I can touch the memories of the place I was born.\If you like, I'll bring more.\Okay!\As a new Hero,\there's things I'd like to learn from the original Hero.\Oh, my.\The first Hero in modern Flognarde, response:	and the Hero King who saved the world!
context: that I can touch the memories of the place I was born.\If you like, I'll bring more.\Okay!\As a new Hero,\there's things I'd like to learn from the original Hero.\Oh, my.\The first Hero in modern Flognarde,\and the Hero King who saved the world! response:	You're so amazing!
context: If you like, I'll bring more.\Okay!\As a new Hero,\there's things I'd like to learn from the original Hero.\Oh, my.\The first Hero in modern Flognarde,\and the Hero King who saved the world!\You're so amazing! response:	Oh my, you flatter me.
context: Okay!\As a new Hero,\there's things I'd like to learn from the original Hero.\Oh, my.\The first Hero in modern Flognarde,\and the Hero King who saved the world!\You're so amazing!\Oh my, you flatter me. response:	My ancestor is the pride of Pastillage!
context: As a new Hero,\there's things I'd like to learn from the original Hero.\Oh, my.\The first Hero in modern Flognarde,\and the Hero King who saved the world!\You're so amazing!\Oh my, you flatter me.\My ancestor is the pride of Pastillage! response:	Oh, you guys are making too big a deal out of it.
context: there's things I'd like to learn from the original Hero.\Oh, my.\The first Hero in modern Flognarde,\and the Hero King who saved the world!\You're so amazing!\Oh my, you flatter me.\My ancestor is the pride of Pastillage!\Oh, you guys are making too big a deal out of it. response:	We just helped
context: Oh, my.\The first Hero in modern Flognarde,\and the Hero King who saved the world!\You're so amazing!\Oh my, you flatter me.\My ancestor is the pride of Pastillage!\Oh, you guys are making too big a deal out of it.\We just helped response:	the continent recover a little.
context: The first Hero in modern Flognarde,\and the Hero King who saved the world!\You're so amazing!\Oh my, you flatter me.\My ancestor is the pride of Pastillage!\Oh, you guys are making too big a deal out of it.\We just helped\the continent recover a little. response:	The name and position of Hero King
context: and the Hero King who saved the world!\You're so amazing!\Oh my, you flatter me.\My ancestor is the pride of Pastillage!\Oh, you guys are making too big a deal out of it.\We just helped\the continent recover a little.\The name and position of Hero King response:	were something they gave me, after all.
context: You're so amazing!\Oh my, you flatter me.\My ancestor is the pride of Pastillage!\Oh, you guys are making too big a deal out of it.\We just helped\the continent recover a little.\The name and position of Hero King\were something they gave me, after all. response:	Excuse me, everyone.
context: Oh my, you flatter me.\My ancestor is the pride of Pastillage!\Oh, you guys are making too big a deal out of it.\We just helped\the continent recover a little.\The name and position of Hero King\were something they gave me, after all.\Excuse me, everyone. response:	Oh, Callaway.
context: My ancestor is the pride of Pastillage!\Oh, you guys are making too big a deal out of it.\We just helped\the continent recover a little.\The name and position of Hero King\were something they gave me, after all.\Excuse me, everyone.\Oh, Callaway. response:	The Hero Nanami is coming from Galette.
