context: After all, Shiina Mashiro is... response:	A master painter...
context: Do I really look that sexy right now?!\I think I get it now.\Huh?! What?! Get what?!\Wait, wait. Where are you going?! Where?!\To my room to continue drawing.\You're leaving the shower like that?\The deadline for the New Artist Award isn't far off.\Can't you at least respond to what I said?! response:	Oh, forget it...
context: I think I get it now.\Huh?! What?! Get what?!\Wait, wait. Where are you going?! Where?!\To my room to continue drawing.\You're leaving the shower like that?\The deadline for the New Artist Award isn't far off.\Can't you at least respond to what I said?!\Oh, forget it... response:	Go back to your room and work on your manu
context: Huh?! What?! Get what?!\Wait, wait. Where are you going?! Where?!\To my room to continue drawing.\You're leaving the shower like that?\The deadline for the New Artist Award isn't far off.\Can't you at least respond to what I said?!\Oh, forget it...\Go back to your room and work on your manu response:	Man... Manicotti?
context: Wait, wait. Where are you going?! Where?!\To my room to continue drawing.\You're leaving the shower like that?\The deadline for the New Artist Award isn't far off.\Can't you at least respond to what I said?!\Oh, forget it...\Go back to your room and work on your manu\Man... Manicotti? response:	Never mind. Forget I said anything.
context: To my room to continue drawing.\You're leaving the shower like that?\The deadline for the New Artist Award isn't far off.\Can't you at least respond to what I said?!\Oh, forget it...\Go back to your room and work on your manu\Man... Manicotti?\Never mind. Forget I said anything. response:	You're weird, Sorata.
context: You're leaving the shower like that?\The deadline for the New Artist Award isn't far off.\Can't you at least respond to what I said?!\Oh, forget it...\Go back to your room and work on your manu\Man... Manicotti?\Never mind. Forget I said anything.\You're weird, Sorata. response:	Who's the one that needs to work hard?
context: The deadline for the New Artist Award isn't far off.\Can't you at least respond to what I said?!\Oh, forget it...\Go back to your room and work on your manu\Man... Manicotti?\Never mind. Forget I said anything.\You're weird, Sorata.\Who's the one that needs to work hard? response:	I've told you several times already.
context: Can't you at least respond to what I said?!\Oh, forget it...\Go back to your room and work on your manu\Man... Manicotti?\Never mind. Forget I said anything.\You're weird, Sorata.\Who's the one that needs to work hard?\I've told you several times already. response:	It's impossible for Kamiigusa Misaki to work in a group.
context: Oh, forget it...\Go back to your room and work on your manu\Man... Manicotti?\Never mind. Forget I said anything.\You're weird, Sorata.\Who's the one that needs to work hard?\I've told you several times already.\It's impossible for Kamiigusa Misaki to work in a group. response:	She's the type to suddenly draw up storyboards...
context: Go back to your room and work on your manu\Man... Manicotti?\Never mind. Forget I said anything.\You're weird, Sorata.\Who's the one that needs to work hard?\I've told you several times already.\It's impossible for Kamiigusa Misaki to work in a group.\She's the type to suddenly draw up storyboards... response:	in her head and start animating.
context: Man... Manicotti?\Never mind. Forget I said anything.\You're weird, Sorata.\Who's the one that needs to work hard?\I've told you several times already.\It's impossible for Kamiigusa Misaki to work in a group.\She's the type to suddenly draw up storyboards...\in her head and start animating. response:	And another thing: I'm not Misaki's manager,
context: Never mind. Forget I said anything.\You're weird, Sorata.\Who's the one that needs to work hard?\I've told you several times already.\It's impossible for Kamiigusa Misaki to work in a group.\She's the type to suddenly draw up storyboards...\in her head and start animating.\And another thing: I'm not Misaki's manager, response:	so please don't send me work for her.
context: You're weird, Sorata.\Who's the one that needs to work hard?\I've told you several times already.\It's impossible for Kamiigusa Misaki to work in a group.\She's the type to suddenly draw up storyboards...\in her head and start animating.\And another thing: I'm not Misaki's manager,\so please don't send me work for her. response:	Goodbye.
context: Who's the one that needs to work hard?\I've told you several times already.\It's impossible for Kamiigusa Misaki to work in a group.\She's the type to suddenly draw up storyboards...\in her head and start animating.\And another thing: I'm not Misaki's manager,\so please don't send me work for her.\Goodbye. response:	Hey, that's some expression you've got. Constipated?
context: I've told you several times already.\It's impossible for Kamiigusa Misaki to work in a group.\She's the type to suddenly draw up storyboards...\in her head and start animating.\And another thing: I'm not Misaki's manager,\so please don't send me work for her.\Goodbye.\Hey, that's some expression you've got. Constipated? response:	Don't worry.
context: It's impossible for Kamiigusa Misaki to work in a group.\She's the type to suddenly draw up storyboards...\in her head and start animating.\And another thing: I'm not Misaki's manager,\so please don't send me work for her.\Goodbye.\Hey, that's some expression you've got. Constipated?\Don't worry. response:	You'd think I was voiding something critical,
context: She's the type to suddenly draw up storyboards...\in her head and start animating.\And another thing: I'm not Misaki's manager,\so please don't send me work for her.\Goodbye.\Hey, that's some expression you've got. Constipated?\Don't worry.\You'd think I was voiding something critical, response:	considering how smooth my daily bowel movements are.
context: in her head and start animating.\And another thing: I'm not Misaki's manager,\so please don't send me work for her.\Goodbye.\Hey, that's some expression you've got. Constipated?\Don't worry.\You'd think I was voiding something critical,\considering how smooth my daily bowel movements are. response:	I see.
context: And another thing: I'm not Misaki's manager,\so please don't send me work for her.\Goodbye.\Hey, that's some expression you've got. Constipated?\Don't worry.\You'd think I was voiding something critical,\considering how smooth my daily bowel movements are.\I see. response:	You'd be in serious trouble if you were expelling love or dreams.
context: so please don't send me work for her.\Goodbye.\Hey, that's some expression you've got. Constipated?\Don't worry.\You'd think I was voiding something critical,\considering how smooth my daily bowel movements are.\I see.\You'd be in serious trouble if you were expelling love or dreams. response:	That phone call...
context: Goodbye.\Hey, that's some expression you've got. Constipated?\Don't worry.\You'd think I was voiding something critical,\considering how smooth my daily bowel movements are.\I see.\You'd be in serious trouble if you were expelling love or dreams.\That phone call... response:	That was a producer from an anime studio.
context: Hey, that's some expression you've got. Constipated?\Don't worry.\You'd think I was voiding something critical,\considering how smooth my daily bowel movements are.\I see.\You'd be in serious trouble if you were expelling love or dreams.\That phone call...\That was a producer from an anime studio. response:	Said they want to give Misaki a better script for her next project.
context: Don't worry.\You'd think I was voiding something critical,\considering how smooth my daily bowel movements are.\I see.\You'd be in serious trouble if you were expelling love or dreams.\That phone call...\That was a producer from an anime studio.\Said they want to give Misaki a better script for her next project. response:	What? But...
context: You'd think I was voiding something critical,\considering how smooth my daily bowel movements are.\I see.\You'd be in serious trouble if you were expelling love or dreams.\That phone call...\That was a producer from an anime studio.\Said they want to give Misaki a better script for her next project.\What? But... response:	In other words, my scripts don't measure up to her talents.
context: considering how smooth my daily bowel movements are.\I see.\You'd be in serious trouble if you were expelling love or dreams.\That phone call...\That was a producer from an anime studio.\Said they want to give Misaki a better script for her next project.\What? But...\In other words, my scripts don't measure up to her talents. response:	It's not as if they need to tell me that, though.
context: I see.\You'd be in serious trouble if you were expelling love or dreams.\That phone call...\That was a producer from an anime studio.\Said they want to give Misaki a better script for her next project.\What? But...\In other words, my scripts don't measure up to her talents.\It's not as if they need to tell me that, though. response:	So, Sorata, what about you?
context: You'd be in serious trouble if you were expelling love or dreams.\That phone call...\That was a producer from an anime studio.\Said they want to give Misaki a better script for her next project.\What? But...\In other words, my scripts don't measure up to her talents.\It's not as if they need to tell me that, though.\So, Sorata, what about you? response:	Oh, um...
context: That phone call...\That was a producer from an anime studio.\Said they want to give Misaki a better script for her next project.\What? But...\In other words, my scripts don't measure up to her talents.\It's not as if they need to tell me that, though.\So, Sorata, what about you?\Oh, um... response:	Well...
context: That was a producer from an anime studio.\Said they want to give Misaki a better script for her next project.\What? But...\In other words, my scripts don't measure up to her talents.\It's not as if they need to tell me that, though.\So, Sorata, what about you?\Oh, um...\Well... response:	Why don't you have a seat?
context: Said they want to give Misaki a better script for her next project.\What? But...\In other words, my scripts don't measure up to her talents.\It's not as if they need to tell me that, though.\So, Sorata, what about you?\Oh, um...\Well...\Why don't you have a seat? response:	Shiina's amazing, isn't she?
context: What? But...\In other words, my scripts don't measure up to her talents.\It's not as if they need to tell me that, though.\So, Sorata, what about you?\Oh, um...\Well...\Why don't you have a seat?\Shiina's amazing, isn't she? response:	I see...
context: In other words, my scripts don't measure up to her talents.\It's not as if they need to tell me that, though.\So, Sorata, what about you?\Oh, um...\Well...\Why don't you have a seat?\Shiina's amazing, isn't she?\I see... response:	You're bothered by the fact that the girl you thought...
context: It's not as if they need to tell me that, though.\So, Sorata, what about you?\Oh, um...\Well...\Why don't you have a seat?\Shiina's amazing, isn't she?\I see...\You're bothered by the fact that the girl you thought... response:	couldn't do a thing without you is actually...
context: So, Sorata, what about you?\Oh, um...\Well...\Why don't you have a seat?\Shiina's amazing, isn't she?\I see...\You're bothered by the fact that the girl you thought...\couldn't do a thing without you is actually... response:	a world-renowned master painter.
context: Oh, um...\Well...\Why don't you have a seat?\Shiina's amazing, isn't she?\I see...\You're bothered by the fact that the girl you thought...\couldn't do a thing without you is actually...\a world-renowned master painter. response:	Well...
context: Well...\Why don't you have a seat?\Shiina's amazing, isn't she?\I see...\You're bothered by the fact that the girl you thought...\couldn't do a thing without you is actually...\a world-renowned master painter.\Well... response:	I'm...
context: Why don't you have a seat?\Shiina's amazing, isn't she?\I see...\You're bothered by the fact that the girl you thought...\couldn't do a thing without you is actually...\a world-renowned master painter.\Well...\I'm... response:	the only one who doesn't have anything...
context: Shiina's amazing, isn't she?\I see...\You're bothered by the fact that the girl you thought...\couldn't do a thing without you is actually...\a world-renowned master painter.\Well...\I'm...\the only one who doesn't have anything... response:	in all of Sakura Hall.
context: I see...\You're bothered by the fact that the girl you thought...\couldn't do a thing without you is actually...\a world-renowned master painter.\Well...\I'm...\the only one who doesn't have anything...\in all of Sakura Hall. response:	Shiina has her manga.
context: You're bothered by the fact that the girl you thought...\couldn't do a thing without you is actually...\a world-renowned master painter.\Well...\I'm...\the only one who doesn't have anything...\in all of Sakura Hall.\Shiina has her manga. response:	Misaki-senpai has her anime, and you have your scripts...
context: couldn't do a thing without you is actually...\a world-renowned master painter.\Well...\I'm...\the only one who doesn't have anything...\in all of Sakura Hall.\Shiina has her manga.\Misaki-senpai has her anime, and you have your scripts... response:	Even Akasaka works as a programmer.
context: a world-renowned master painter.\Well...\I'm...\the only one who doesn't have anything...\in all of Sakura Hall.\Shiina has her manga.\Misaki-senpai has her anime, and you have your scripts...\Even Akasaka works as a programmer. response:	You have received a message from Company S.
context: Well...\I'm...\the only one who doesn't have anything...\in all of Sakura Hall.\Shiina has her manga.\Misaki-senpai has her anime, and you have your scripts...\Even Akasaka works as a programmer.\You have received a message from Company S. response:	You have received a message.
context: I'm...\the only one who doesn't have anything...\in all of Sakura Hall.\Shiina has her manga.\Misaki-senpai has her anime, and you have your scripts...\Even Akasaka works as a programmer.\You have received a message from Company S.\You have received a message. response:	I guess you could call them goals,
context: the only one who doesn't have anything...\in all of Sakura Hall.\Shiina has her manga.\Misaki-senpai has her anime, and you have your scripts...\Even Akasaka works as a programmer.\You have received a message from Company S.\You have received a message.\I guess you could call them goals, response:	or maybe just what you want to do...
context: in all of Sakura Hall.\Shiina has her manga.\Misaki-senpai has her anime, and you have your scripts...\Even Akasaka works as a programmer.\You have received a message from Company S.\You have received a message.\I guess you could call them goals,\or maybe just what you want to do... response:	The only one in Sakura Hall, huh?
context: Shiina has her manga.\Misaki-senpai has her anime, and you have your scripts...\Even Akasaka works as a programmer.\You have received a message from Company S.\You have received a message.\I guess you could call them goals,\or maybe just what you want to do...\The only one in Sakura Hall, huh? response:	Who cares?
context: Misaki-senpai has her anime, and you have your scripts...\Even Akasaka works as a programmer.\You have received a message from Company S.\You have received a message.\I guess you could call them goals,\or maybe just what you want to do...\The only one in Sakura Hall, huh?\Who cares? response:	Sorata, you're moving out of Sakura Hall, aren't you?
context: Even Akasaka works as a programmer.\You have received a message from Company S.\You have received a message.\I guess you could call them goals,\or maybe just what you want to do...\The only one in Sakura Hall, huh?\Who cares?\Sorata, you're moving out of Sakura Hall, aren't you? response:	Is that Escape from Sakura Hall! banner...
context: You have received a message from Company S.\You have received a message.\I guess you could call them goals,\or maybe just what you want to do...\The only one in Sakura Hall, huh?\Who cares?\Sorata, you're moving out of Sakura Hall, aren't you?\Is that Escape from Sakura Hall! banner... response:	you hung in your room a joke?
context: You have received a message.\I guess you could call them goals,\or maybe just what you want to do...\The only one in Sakura Hall, huh?\Who cares?\Sorata, you're moving out of Sakura Hall, aren't you?\Is that Escape from Sakura Hall! banner...\you hung in your room a joke? response:	Goal: Escape from Sakura Hall!!
context: I guess you could call them goals,\or maybe just what you want to do...\The only one in Sakura Hall, huh?\Who cares?\Sorata, you're moving out of Sakura Hall, aren't you?\Is that Escape from Sakura Hall! banner...\you hung in your room a joke?\Goal: Escape from Sakura Hall!! response:	Of course it's serious!
context: or maybe just what you want to do...\The only one in Sakura Hall, huh?\Who cares?\Sorata, you're moving out of Sakura Hall, aren't you?\Is that Escape from Sakura Hall! banner...\you hung in your room a joke?\Goal: Escape from Sakura Hall!!\Of course it's serious! response:	I'm gonna return to the regular dorms for sure.
context: The only one in Sakura Hall, huh?\Who cares?\Sorata, you're moving out of Sakura Hall, aren't you?\Is that Escape from Sakura Hall! banner...\you hung in your room a joke?\Goal: Escape from Sakura Hall!!\Of course it's serious!\I'm gonna return to the regular dorms for sure. response:	When?
context: Who cares?\Sorata, you're moving out of Sakura Hall, aren't you?\Is that Escape from Sakura Hall! banner...\you hung in your room a joke?\Goal: Escape from Sakura Hall!!\Of course it's serious!\I'm gonna return to the regular dorms for sure.\When? response:	As soon as I find an owner for the cats.
context: Sorata, you're moving out of Sakura Hall, aren't you?\Is that Escape from Sakura Hall! banner...\you hung in your room a joke?\Goal: Escape from Sakura Hall!!\Of course it's serious!\I'm gonna return to the regular dorms for sure.\When?\As soon as I find an owner for the cats. response:	Are you looking for anyone?
context: Is that Escape from Sakura Hall! banner...\you hung in your room a joke?\Goal: Escape from Sakura Hall!!\Of course it's serious!\I'm gonna return to the regular dorms for sure.\When?\As soon as I find an owner for the cats.\Are you looking for anyone? response:	You haven't really been looking lately, have you?
context: you hung in your room a joke?\Goal: Escape from Sakura Hall!!\Of course it's serious!\I'm gonna return to the regular dorms for sure.\When?\As soon as I find an owner for the cats.\Are you looking for anyone?\You haven't really been looking lately, have you? response:	Right now, I've got my hands full taking care of Shiina
context: Goal: Escape from Sakura Hall!!\Of course it's serious!\I'm gonna return to the regular dorms for sure.\When?\As soon as I find an owner for the cats.\Are you looking for anyone?\You haven't really been looking lately, have you?\Right now, I've got my hands full taking care of Shiina response:	If you're going to leave,
context: Of course it's serious!\I'm gonna return to the regular dorms for sure.\When?\As soon as I find an owner for the cats.\Are you looking for anyone?\You haven't really been looking lately, have you?\Right now, I've got my hands full taking care of Shiina\If you're going to leave, response:	I'll take this off your hands.
context: I'm gonna return to the regular dorms for sure.\When?\As soon as I find an owner for the cats.\Are you looking for anyone?\You haven't really been looking lately, have you?\Right now, I've got my hands full taking care of Shiina\If you're going to leave,\I'll take this off your hands. response:	Mashiro Duty
context: When?\As soon as I find an owner for the cats.\Are you looking for anyone?\You haven't really been looking lately, have you?\Right now, I've got my hands full taking care of Shiina\If you're going to leave,\I'll take this off your hands.\Mashiro Duty response:	Is there still something holding you back?
context: As soon as I find an owner for the cats.\Are you looking for anyone?\You haven't really been looking lately, have you?\Right now, I've got my hands full taking care of Shiina\If you're going to leave,\I'll take this off your hands.\Mashiro Duty\Is there still something holding you back? response:	Sorata, don't place the blame on someone else.
context: Are you looking for anyone?\You haven't really been looking lately, have you?\Right now, I've got my hands full taking care of Shiina\If you're going to leave,\I'll take this off your hands.\Mashiro Duty\Is there still something holding you back?\Sorata, don't place the blame on someone else. response:	If you want to leave,
context: You haven't really been looking lately, have you?\Right now, I've got my hands full taking care of Shiina\If you're going to leave,\I'll take this off your hands.\Mashiro Duty\Is there still something holding you back?\Sorata, don't place the blame on someone else.\If you want to leave, response:	I'll take care of Mashiro-chan and the cats.
context: Right now, I've got my hands full taking care of Shiina\If you're going to leave,\I'll take this off your hands.\Mashiro Duty\Is there still something holding you back?\Sorata, don't place the blame on someone else.\If you want to leave,\I'll take care of Mashiro-chan and the cats. response:	I'm not kidding.
context: If you're going to leave,\I'll take this off your hands.\Mashiro Duty\Is there still something holding you back?\Sorata, don't place the blame on someone else.\If you want to leave,\I'll take care of Mashiro-chan and the cats.\I'm not kidding. response:	Sorata, start by deciding...
context: I'll take this off your hands.\Mashiro Duty\Is there still something holding you back?\Sorata, don't place the blame on someone else.\If you want to leave,\I'll take care of Mashiro-chan and the cats.\I'm not kidding.\Sorata, start by deciding... response:	where you want to be.
context: Mashiro Duty\Is there still something holding you back?\Sorata, don't place the blame on someone else.\If you want to leave,\I'll take care of Mashiro-chan and the cats.\I'm not kidding.\Sorata, start by deciding...\where you want to be. response:	If you can do that,
context: Is there still something holding you back?\Sorata, don't place the blame on someone else.\If you want to leave,\I'll take care of Mashiro-chan and the cats.\I'm not kidding.\Sorata, start by deciding...\where you want to be.\If you can do that, response:	you'll be able to decide what you want to do, too.
context: Sorata, don't place the blame on someone else.\If you want to leave,\I'll take care of Mashiro-chan and the cats.\I'm not kidding.\Sorata, start by deciding...\where you want to be.\If you can do that,\you'll be able to decide what you want to do, too. response:	I'm tired of listening to you pretending you're leaving.
context: If you want to leave,\I'll take care of Mashiro-chan and the cats.\I'm not kidding.\Sorata, start by deciding...\where you want to be.\If you can do that,\you'll be able to decide what you want to do, too.\I'm tired of listening to you pretending you're leaving. response:	I will leave!
context: I'll take care of Mashiro-chan and the cats.\I'm not kidding.\Sorata, start by deciding...\where you want to be.\If you can do that,\you'll be able to decide what you want to do, too.\I'm tired of listening to you pretending you're leaving.\I will leave! response:	I'll find someone to take the cats!
context: I'm not kidding.\Sorata, start by deciding...\where you want to be.\If you can do that,\you'll be able to decide what you want to do, too.\I'm tired of listening to you pretending you're leaving.\I will leave!\I'll find someone to take the cats! response:	You're still just a kid if you take your anger out...
context: Sorata, start by deciding...\where you want to be.\If you can do that,\you'll be able to decide what you want to do, too.\I'm tired of listening to you pretending you're leaving.\I will leave!\I'll find someone to take the cats!\You're still just a kid if you take your anger out... response:	on kouhai who are down in the dumps.
context: where you want to be.\If you can do that,\you'll be able to decide what you want to do, too.\I'm tired of listening to you pretending you're leaving.\I will leave!\I'll find someone to take the cats!\You're still just a kid if you take your anger out...\on kouhai who are down in the dumps. response:	You're right.
context: If you can do that,\you'll be able to decide what you want to do, too.\I'm tired of listening to you pretending you're leaving.\I will leave!\I'll find someone to take the cats!\You're still just a kid if you take your anger out...\on kouhai who are down in the dumps.\You're right. response:	You'd better follow up on that.
context: you'll be able to decide what you want to do, too.\I'm tired of listening to you pretending you're leaving.\I will leave!\I'll find someone to take the cats!\You're still just a kid if you take your anger out...\on kouhai who are down in the dumps.\You're right.\You'd better follow up on that. response:	Game Design Audition Your big chance to turn your idea into a game!
context: I'm tired of listening to you pretending you're leaving.\I will leave!\I'll find someone to take the cats!\You're still just a kid if you take your anger out...\on kouhai who are down in the dumps.\You're right.\You'd better follow up on that.\Game Design Audition Your big chance to turn your idea into a game! response:	Our panel of judges includes prominent figures from the game industry and designers from major game companies!
context: I will leave!\I'll find someone to take the cats!\You're still just a kid if you take your anger out...\on kouhai who are down in the dumps.\You're right.\You'd better follow up on that.\Game Design Audition Your big chance to turn your idea into a game!\Our panel of judges includes prominent figures from the game industry and designers from major game companies! response:	Kanda Sorata : Akasaka, do you have a minute?
context: I'll find someone to take the cats!\You're still just a kid if you take your anger out...\on kouhai who are down in the dumps.\You're right.\You'd better follow up on that.\Game Design Audition Your big chance to turn your idea into a game!\Our panel of judges includes prominent figures from the game industry and designers from major game companies!\Kanda Sorata : Akasaka, do you have a minute? response:	Akasaka Ryunosuke : Sure, I just finished checking my motion control engine.
context: You're still just a kid if you take your anger out...\on kouhai who are down in the dumps.\You're right.\You'd better follow up on that.\Game Design Audition Your big chance to turn your idea into a game!\Our panel of judges includes prominent figures from the game industry and designers from major game companies!\Kanda Sorata : Akasaka, do you have a minute?\Akasaka Ryunosuke : Sure, I just finished checking my motion control engine. response:	Kanda Sorata : There's something I want to ask you.
context: on kouhai who are down in the dumps.\You're right.\You'd better follow up on that.\Game Design Audition Your big chance to turn your idea into a game!\Our panel of judges includes prominent figures from the game industry and designers from major game companies!\Kanda Sorata : Akasaka, do you have a minute?\Akasaka Ryunosuke : Sure, I just finished checking my motion control engine.\Kanda Sorata : There's something I want to ask you. response:	Akasaka Ryunosuke : About making games?
context: You're right.\You'd better follow up on that.\Game Design Audition Your big chance to turn your idea into a game!\Our panel of judges includes prominent figures from the game industry and designers from major game companies!\Kanda Sorata : Akasaka, do you have a minute?\Akasaka Ryunosuke : Sure, I just finished checking my motion control engine.\Kanda Sorata : There's something I want to ask you.\Akasaka Ryunosuke : About making games? response:	How did you know that?!
context: You'd better follow up on that.\Game Design Audition Your big chance to turn your idea into a game!\Our panel of judges includes prominent figures from the game industry and designers from major game companies!\Kanda Sorata : Akasaka, do you have a minute?\Akasaka Ryunosuke : Sure, I just finished checking my motion control engine.\Kanda Sorata : There's something I want to ask you.\Akasaka Ryunosuke : About making games?\How did you know that?! response:	Kanda Sorata : How did you know that?! Akasaka Ryunosuke : Because you're in the middle of reading a website about making games.
context: Game Design Audition Your big chance to turn your idea into a game!\Our panel of judges includes prominent figures from the game industry and designers from major game companies!\Kanda Sorata : Akasaka, do you have a minute?\Akasaka Ryunosuke : Sure, I just finished checking my motion control engine.\Kanda Sorata : There's something I want to ask you.\Akasaka Ryunosuke : About making games?\How did you know that?!\Kanda Sorata : How did you know that?! Akasaka Ryunosuke : Because you're in the middle of reading a website about making games. response:	Because you're in the middle of reading...
context: Our panel of judges includes prominent figures from the game industry and designers from major game companies!\Kanda Sorata : Akasaka, do you have a minute?\Akasaka Ryunosuke : Sure, I just finished checking my motion control engine.\Kanda Sorata : There's something I want to ask you.\Akasaka Ryunosuke : About making games?\How did you know that?!\Kanda Sorata : How did you know that?! Akasaka Ryunosuke : Because you're in the middle of reading a website about making games.\Because you're in the middle of reading... response:	a website about making games?!
context: Kanda Sorata : Akasaka, do you have a minute?\Akasaka Ryunosuke : Sure, I just finished checking my motion control engine.\Kanda Sorata : There's something I want to ask you.\Akasaka Ryunosuke : About making games?\How did you know that?!\Kanda Sorata : How did you know that?! Akasaka Ryunosuke : Because you're in the middle of reading a website about making games.\Because you're in the middle of reading...\a website about making games?! response:	Why don't you start by telling me how someone holed up...
context: Akasaka Ryunosuke : Sure, I just finished checking my motion control engine.\Kanda Sorata : There's something I want to ask you.\Akasaka Ryunosuke : About making games?\How did you know that?!\Kanda Sorata : How did you know that?! Akasaka Ryunosuke : Because you're in the middle of reading a website about making games.\Because you're in the middle of reading...\a website about making games?!\Why don't you start by telling me how someone holed up... response:	in the next room can possibly know that?!
context: Kanda Sorata : There's something I want to ask you.\Akasaka Ryunosuke : About making games?\How did you know that?!\Kanda Sorata : How did you know that?! Akasaka Ryunosuke : Because you're in the middle of reading a website about making games.\Because you're in the middle of reading...\a website about making games?!\Why don't you start by telling me how someone holed up...\in the next room can possibly know that?! response:	Kanda Sorata : Why don't you start by telling me how someone holed up in the next room can possibly know that?! Akasaka Ryunosuke : What answer is there, other than hacking?
context: Akasaka Ryunosuke : About making games?\How did you know that?!\Kanda Sorata : How did you know that?! Akasaka Ryunosuke : Because you're in the middle of reading a website about making games.\Because you're in the middle of reading...\a website about making games?!\Why don't you start by telling me how someone holed up...\in the next room can possibly know that?!\Kanda Sorata : Why don't you start by telling me how someone holed up in the next room can possibly know that?! Akasaka Ryunosuke : What answer is there, other than hacking? response:	What answer is there, other than hacking?
context: How did you know that?!\Kanda Sorata : How did you know that?! Akasaka Ryunosuke : Because you're in the middle of reading a website about making games.\Because you're in the middle of reading...\a website about making games?!\Why don't you start by telling me how someone holed up...\in the next room can possibly know that?!\Kanda Sorata : Why don't you start by telling me how someone holed up in the next room can possibly know that?! Akasaka Ryunosuke : What answer is there, other than hacking?\What answer is there, other than hacking? response:	That's nothing to brag about!
context: Kanda Sorata : How did you know that?! Akasaka Ryunosuke : Because you're in the middle of reading a website about making games.\Because you're in the middle of reading...\a website about making games?!\Why don't you start by telling me how someone holed up...\in the next room can possibly know that?!\Kanda Sorata : Why don't you start by telling me how someone holed up in the next room can possibly know that?! Akasaka Ryunosuke : What answer is there, other than hacking?\What answer is there, other than hacking?\That's nothing to brag about! response:	Kanda Sorata : That's nothing to brag about! Akasaka Ryunosuke : I'mma hacking ()
context: Because you're in the middle of reading...\a website about making games?!\Why don't you start by telling me how someone holed up...\in the next room can possibly know that?!\Kanda Sorata : Why don't you start by telling me how someone holed up in the next room can possibly know that?! Akasaka Ryunosuke : What answer is there, other than hacking?\What answer is there, other than hacking?\That's nothing to brag about!\Kanda Sorata : That's nothing to brag about! Akasaka Ryunosuke : I'mma hacking () response:	That's even worse!
context: a website about making games?!\Why don't you start by telling me how someone holed up...\in the next room can possibly know that?!\Kanda Sorata : Why don't you start by telling me how someone holed up in the next room can possibly know that?! Akasaka Ryunosuke : What answer is there, other than hacking?\What answer is there, other than hacking?\That's nothing to brag about!\Kanda Sorata : That's nothing to brag about! Akasaka Ryunosuke : I'mma hacking ()\That's even worse! response:	Kanda Sorata : That's even worse! Akasaka Ryunosuke : So, what do you want to know?
