context: eye catch response:	Helvetica Standard
context: This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking response:	Is this really what they call love?
context: What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love? response:	I-I did it! A conversation filled with stutters
context: Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters response:	This awkward silence... *mumble mumble*
context: This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble* response:	Your... ( Your...) I want to know your feelings.
context: I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings. response:	O-One-sided love
context: Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love response:	First love! The usual way to school
context: Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school response:	The shining light. I do fall in love!
context: T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love! response:	I feel I could fly towards the sky
context: Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky response:	O-One-sided love
context: I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love response:	10
context: This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10 response:	H H!
context: Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H! response:	Woke up in the morning, brushed my teeth
context: O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth response:	In the blink of an eye, it's 10pm
context: First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm response:	Today, we laughed a whole lot
context: The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot response:	We had a great time
context: I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time response:	At times, with my friends, acting like fools, being noisy
context: O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy response:	Fluttering, our eyes met.
context: 10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met. response:	It's a coincidence, right?
context: H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right? response:	I wouldn't call this my first love
context: Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love response:	It's not my character.
context: In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character. response:	Say, will we be able to meet again tomorrow?
context: Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow? response:	As my eyelids close
context: We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close response:	I see you sparkling all over the place
context: At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place response:	Today was fun, too, wasn't it?
context: Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it? response:	I'm in love
context: It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love response:	So happy, so happy
context: I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy response:	It is my pleasure to meet you, my new-found love.
context: It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love. response:	Surely, we'll meet again tomorrow
context: Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow response:	Have a good night
context: As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night response:	We'll meet immediately in our dreams
context: I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams response:	So have a good night
context: Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night response:	Narration Katsura Reiko
context: I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Narration Katsura Reiko response:	Motivation
context: So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Narration Katsura Reiko\Motivation response:	Shinonome Institute
context: It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Narration Katsura Reiko\Motivation\Shinonome Institute response:	Nichijou 01
context: Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\Narration Katsura Reiko\Motivation\Shinonome Institute\Nichijou 01 response:	Kokeshi
context: Have a good night\We'll meet immediately in our dreams\So have a good night\Narration Katsura Reiko\Motivation\Shinonome Institute\Nichijou 01\Kokeshi response:	Akabeko
context: We'll meet immediately in our dreams\So have a good night\Narration Katsura Reiko\Motivation\Shinonome Institute\Nichijou 01\Kokeshi\Akabeko response:	Salmon
context: So have a good night\Narration Katsura Reiko\Motivation\Shinonome Institute\Nichijou 01\Kokeshi\Akabeko\Salmon response:	Tokisada Prefectural High School
context: Narration Katsura Reiko\Motivation\Shinonome Institute\Nichijou 01\Kokeshi\Akabeko\Salmon\Tokisada Prefectural High School response:	Wonderful
context: Motivation\Shinonome Institute\Nichijou 01\Kokeshi\Akabeko\Salmon\Tokisada Prefectural High School\Wonderful response:	Nichijou 02
context: Shinonome Institute\Nichijou 01\Kokeshi\Akabeko\Salmon\Tokisada Prefectural High School\Wonderful\Nichijou 02 response:	Nichijou 03
context: Nichijou 01\Kokeshi\Akabeko\Salmon\Tokisada Prefectural High School\Wonderful\Nichijou 02\Nichijou 03 response:	Squid
context: Kokeshi\Akabeko\Salmon\Tokisada Prefectural High School\Wonderful\Nichijou 02\Nichijou 03\Squid response:	Squid
context: Akabeko\Salmon\Tokisada Prefectural High School\Wonderful\Nichijou 02\Nichijou 03\Squid\Squid response:	Squid
context: Salmon\Tokisada Prefectural High School\Wonderful\Nichijou 02\Nichijou 03\Squid\Squid\Squid response:	Squid
context: Tokisada Prefectural High School\Wonderful\Nichijou 02\Nichijou 03\Squid\Squid\Squid\Squid response:	Squid
context: Wonderful\Nichijou 02\Nichijou 03\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Nichijou 02\Nichijou 03\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Nichijou 03\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Squid
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Squid response:	Fire Alarm
context: Squid\Squid\Squid\Squid\Squid\Squid\Squid\Fire Alarm response:	Push Hard
context: Squid\Squid\Squid\Squid\Squid\Squid\Fire Alarm\Push Hard response:	Button
context: Squid\Squid\Squid\Squid\Squid\Fire Alarm\Push Hard\Button response:	Important Matters and Things to be done
context: Squid\Squid\Squid\Squid\Fire Alarm\Push Hard\Button\Important Matters and Things to be done response:	Important Matters and Things to be done
context: Squid\Squid\Squid\Fire Alarm\Push Hard\Button\Important Matters and Things to be done\Important Matters and Things to be done response:	Important Matters and Things to be done
context: Squid\Squid\Fire Alarm\Push Hard\Button\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done response:	Important Matters and Things to be done
context: Squid\Fire Alarm\Push Hard\Button\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done response:	Important Matters and Things to be done
context: Fire Alarm\Push Hard\Button\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done response:	Important Matters and Things to be done
context: Push Hard\Button\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done response:	Important Matters and Things to be done
context: Button\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done response:	Important Matters and Things to be done
context: Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done response:	Important Matters and Things to be done
context: Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done response:	Important Matters and Things to be done
context: Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done response:	Important Matters and Things to be done
context: Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done response:	Important Matters and Things to be done
context: Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done response:	Important Matters and Things to be done
context: Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done response:	Important Matters and Things to be done
context: Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done response:	Important Matters and Things to be done
context: Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done response:	Important Matters and Things to be done
context: Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done response:	Nichijou 04
context: Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Nichijou 04 response:	Shinonome Institute
context: Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Nichijou 04\Shinonome Institute response:	What's wrong, Yukko?
context: Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Nichijou 04\Shinonome Institute\What's wrong, Yukko? response:	I can't summon the motivation to do anything.
context: Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Nichijou 04\Shinonome Institute\What's wrong, Yukko?\I can't summon the motivation to do anything. response:	What are you talking about?
context: Important Matters and Things to be done\Important Matters and Things to be done\Important Matters and Things to be done\Nichijou 04\Shinonome Institute\What's wrong, Yukko?\I can't summon the motivation to do anything.\What are you talking about? response:	We're high school students, you know.
context: Important Matters and Things to be done\Important Matters and Things to be done\Nichijou 04\Shinonome Institute\What's wrong, Yukko?\I can't summon the motivation to do anything.\What are you talking about?\We're high school students, you know. response:	It's the start of a new term.
context: Important Matters and Things to be done\Nichijou 04\Shinonome Institute\What's wrong, Yukko?\I can't summon the motivation to do anything.\What are you talking about?\We're high school students, you know.\It's the start of a new term. response:	Motivation is something that comes out naturally once you start doing it.
context: Nichijou 04\Shinonome Institute\What's wrong, Yukko?\I can't summon the motivation to do anything.\What are you talking about?\We're high school students, you know.\It's the start of a new term.\Motivation is something that comes out naturally once you start doing it. response:	The motivation to do something before actually doing it won't come out.
context: Shinonome Institute\What's wrong, Yukko?\I can't summon the motivation to do anything.\What are you talking about?\We're high school students, you know.\It's the start of a new term.\Motivation is something that comes out naturally once you start doing it.\The motivation to do something before actually doing it won't come out. response:	How do I get motivated to do something before I actually start doing it?
context: What's wrong, Yukko?\I can't summon the motivation to do anything.\What are you talking about?\We're high school students, you know.\It's the start of a new term.\Motivation is something that comes out naturally once you start doing it.\The motivation to do something before actually doing it won't come out.\How do I get motivated to do something before I actually start doing it? response:	The motivation to do something before actually doing it?
context: I can't summon the motivation to do anything.\What are you talking about?\We're high school students, you know.\It's the start of a new term.\Motivation is something that comes out naturally once you start doing it.\The motivation to do something before actually doing it won't come out.\How do I get motivated to do something before I actually start doing it?\The motivation to do something before actually doing it? response:	Hm...
context: What are you talking about?\We're high school students, you know.\It's the start of a new term.\Motivation is something that comes out naturally once you start doing it.\The motivation to do something before actually doing it won't come out.\How do I get motivated to do something before I actually start doing it?\The motivation to do something before actually doing it?\Hm... response:	Anyway, just do it!
context: We're high school students, you know.\It's the start of a new term.\Motivation is something that comes out naturally once you start doing it.\The motivation to do something before actually doing it won't come out.\How do I get motivated to do something before I actually start doing it?\The motivation to do something before actually doing it?\Hm...\Anyway, just do it! response:	All right!
context: It's the start of a new term.\Motivation is something that comes out naturally once you start doing it.\The motivation to do something before actually doing it won't come out.\How do I get motivated to do something before I actually start doing it?\The motivation to do something before actually doing it?\Hm...\Anyway, just do it!\All right! response:	I just want to stay as a simple-minded idiot.
context: Motivation is something that comes out naturally once you start doing it.\The motivation to do something before actually doing it won't come out.\How do I get motivated to do something before I actually start doing it?\The motivation to do something before actually doing it?\Hm...\Anyway, just do it!\All right!\I just want to stay as a simple-minded idiot. response:	Professor! It's about time you woke up.
context: The motivation to do something before actually doing it won't come out.\How do I get motivated to do something before I actually start doing it?\The motivation to do something before actually doing it?\Hm...\Anyway, just do it!\All right!\I just want to stay as a simple-minded idiot.\Professor! It's about time you woke up. response:	And... there!
context: How do I get motivated to do something before I actually start doing it?\The motivation to do something before actually doing it?\Hm...\Anyway, just do it!\All right!\I just want to stay as a simple-minded idiot.\Professor! It's about time you woke up.\And... there! response:	Good morning...
context: The motivation to do something before actually doing it?\Hm...\Anyway, just do it!\All right!\I just want to stay as a simple-minded idiot.\Professor! It's about time you woke up.\And... there!\Good morning... response:	What are you doing?
context: Hm...\Anyway, just do it!\All right!\I just want to stay as a simple-minded idiot.\Professor! It's about time you woke up.\And... there!\Good morning...\What are you doing? response:	Today's breakfast will be fried fish.
context: Anyway, just do it!\All right!\I just want to stay as a simple-minded idiot.\Professor! It's about time you woke up.\And... there!\Good morning...\What are you doing?\Today's breakfast will be fried fish. response:	Eh?!
context: All right!\I just want to stay as a simple-minded idiot.\Professor! It's about time you woke up.\And... there!\Good morning...\What are you doing?\Today's breakfast will be fried fish.\Eh?! response:	I want omelette-rice!
context: I just want to stay as a simple-minded idiot.\Professor! It's about time you woke up.\And... there!\Good morning...\What are you doing?\Today's breakfast will be fried fish.\Eh?!\I want omelette-rice! response:	Didn't you have that yesterday?
context: Professor! It's about time you woke up.\And... there!\Good morning...\What are you doing?\Today's breakfast will be fried fish.\Eh?!\I want omelette-rice!\Didn't you have that yesterday? response:	Fish contain lots of nutrients, you know!
context: And... there!\Good morning...\What are you doing?\Today's breakfast will be fried fish.\Eh?!\I want omelette-rice!\Didn't you have that yesterday?\Fish contain lots of nutrients, you know! response:	Stop being picky and eat everything,
context: Good morning...\What are you doing?\Today's breakfast will be fried fish.\Eh?!\I want omelette-rice!\Didn't you have that yesterday?\Fish contain lots of nutrients, you know!\Stop being picky and eat everything, response:	otherwise you won't grow bigger - Ah!
context: What are you doing?\Today's breakfast will be fried fish.\Eh?!\I want omelette-rice!\Didn't you have that yesterday?\Fish contain lots of nutrients, you know!\Stop being picky and eat everything,\otherwise you won't grow bigger - Ah! response:	Um, that's our important breakfast, so...
context: Today's breakfast will be fried fish.\Eh?!\I want omelette-rice!\Didn't you have that yesterday?\Fish contain lots of nutrients, you know!\Stop being picky and eat everything,\otherwise you won't grow bigger - Ah!\Um, that's our important breakfast, so... response:	Ah, no, it's not like that!
context: Eh?!\I want omelette-rice!\Didn't you have that yesterday?\Fish contain lots of nutrients, you know!\Stop being picky and eat everything,\otherwise you won't grow bigger - Ah!\Um, that's our important breakfast, so...\Ah, no, it's not like that! response:	This isn't anything robotic at all!
context: I want omelette-rice!\Didn't you have that yesterday?\Fish contain lots of nutrients, you know!\Stop being picky and eat everything,\otherwise you won't grow bigger - Ah!\Um, that's our important breakfast, so...\Ah, no, it's not like that!\This isn't anything robotic at all! response:	Um, this is...
context: Didn't you have that yesterday?\Fish contain lots of nutrients, you know!\Stop being picky and eat everything,\otherwise you won't grow bigger - Ah!\Um, that's our important breakfast, so...\Ah, no, it's not like that!\This isn't anything robotic at all!\Um, this is... response:	Ah, it ran away.
context: Fish contain lots of nutrients, you know!\Stop being picky and eat everything,\otherwise you won't grow bigger - Ah!\Um, that's our important breakfast, so...\Ah, no, it's not like that!\This isn't anything robotic at all!\Um, this is...\Ah, it ran away. response:	Wait up!
context: Stop being picky and eat everything,\otherwise you won't grow bigger - Ah!\Um, that's our important breakfast, so...\Ah, no, it's not like that!\This isn't anything robotic at all!\Um, this is...\Ah, it ran away.\Wait up! response:	Have a safe trip.
context: otherwise you won't grow bigger - Ah!\Um, that's our important breakfast, so...\Ah, no, it's not like that!\This isn't anything robotic at all!\Um, this is...\Ah, it ran away.\Wait up!\Have a safe trip. response:	Perhaps that cat is also having a hard time?
context: Um, that's our important breakfast, so...\Ah, no, it's not like that!\This isn't anything robotic at all!\Um, this is...\Ah, it ran away.\Wait up!\Have a safe trip.\Perhaps that cat is also having a hard time? response:	Ah, I'm gonna crash!
context: Ah, no, it's not like that!\This isn't anything robotic at all!\Um, this is...\Ah, it ran away.\Wait up!\Have a safe trip.\Perhaps that cat is also having a hard time?\Ah, I'm gonna crash! response:	Mio-chan, selamat pagi!
context: This isn't anything robotic at all!\Um, this is...\Ah, it ran away.\Wait up!\Have a safe trip.\Perhaps that cat is also having a hard time?\Ah, I'm gonna crash!\Mio-chan, selamat pagi! response:	TL note: Indonesian for good morning.
context: Um, this is...\Ah, it ran away.\Wait up!\Have a safe trip.\Perhaps that cat is also having a hard time?\Ah, I'm gonna crash!\Mio-chan, selamat pagi!\TL note: Indonesian for good morning. response:	Ah Yukko, good morning!
