context: BETA release of Ep 5 response:	It's done!
context: Is he really Stresemann?\Chiaki-Senpai!! Where are you???\He's real! I can tell when I watched him conduct!\Are you sure?\We just saw him conduct once, and it was only a practice\I know it\otherwise who would have wanted to be his pupil?\That's the real Stresemann response:	Ok, everyone! Everybody's here, right?
context: Chiaki-Senpai!! Where are you???\He's real! I can tell when I watched him conduct!\Are you sure?\We just saw him conduct once, and it was only a practice\I know it\otherwise who would have wanted to be his pupil?\That's the real Stresemann\Ok, everyone! Everybody's here, right? response:	Let's go to Gokon!!
context: He's real! I can tell when I watched him conduct!\Are you sure?\We just saw him conduct once, and it was only a practice\I know it\otherwise who would have wanted to be his pupil?\That's the real Stresemann\Ok, everyone! Everybody's here, right?\Let's go to Gokon!! response:	Go-Go-Gokon! Go-Go-Gokon!
context: Are you sure?\We just saw him conduct once, and it was only a practice\I know it\otherwise who would have wanted to be his pupil?\That's the real Stresemann\Ok, everyone! Everybody's here, right?\Let's go to Gokon!!\Go-Go-Gokon! Go-Go-Gokon! response:	But where's Chiaki-Sama?
context: We just saw him conduct once, and it was only a practice\I know it\otherwise who would have wanted to be his pupil?\That's the real Stresemann\Ok, everyone! Everybody's here, right?\Let's go to Gokon!!\Go-Go-Gokon! Go-Go-Gokon!\But where's Chiaki-Sama? response:	Chiaki will come later
context: I know it\otherwise who would have wanted to be his pupil?\That's the real Stresemann\Ok, everyone! Everybody's here, right?\Let's go to Gokon!!\Go-Go-Gokon! Go-Go-Gokon!\But where's Chiaki-Sama?\Chiaki will come later response:	No need to worry!
context: otherwise who would have wanted to be his pupil?\That's the real Stresemann\Ok, everyone! Everybody's here, right?\Let's go to Gokon!!\Go-Go-Gokon! Go-Go-Gokon!\But where's Chiaki-Sama?\Chiaki will come later\No need to worry! response:	Elise
context: That's the real Stresemann\Ok, everyone! Everybody's here, right?\Let's go to Gokon!!\Go-Go-Gokon! Go-Go-Gokon!\But where's Chiaki-Sama?\Chiaki will come later\No need to worry!\Elise response:	(sounds meaningless to me, )
context: Ok, everyone! Everybody's here, right?\Let's go to Gokon!!\Go-Go-Gokon! Go-Go-Gokon!\But where's Chiaki-Sama?\Chiaki will come later\No need to worry!\Elise\(sounds meaningless to me, ) response:	It looks delicious, what is it?
context: Let's go to Gokon!!\Go-Go-Gokon! Go-Go-Gokon!\But where's Chiaki-Sama?\Chiaki will come later\No need to worry!\Elise\(sounds meaningless to me, )\It looks delicious, what is it? response:	Pasta in crema di scampi et camberi (Pasta in cream with shrimps and prawns)
context: Go-Go-Gokon! Go-Go-Gokon!\But where's Chiaki-Sama?\Chiaki will come later\No need to worry!\Elise\(sounds meaningless to me, )\It looks delicious, what is it?\Pasta in crema di scampi et camberi (Pasta in cream with shrimps and prawns) response:	Your prided dish!!!
context: But where's Chiaki-Sama?\Chiaki will come later\No need to worry!\Elise\(sounds meaningless to me, )\It looks delicious, what is it?\Pasta in crema di scampi et camberi (Pasta in cream with shrimps and prawns)\Your prided dish!!! response:	But Senpai, is it really OK not to go to Gokon? Disobeying your Master
context: Chiaki will come later\No need to worry!\Elise\(sounds meaningless to me, )\It looks delicious, what is it?\Pasta in crema di scampi et camberi (Pasta in cream with shrimps and prawns)\Your prided dish!!!\But Senpai, is it really OK not to go to Gokon? Disobeying your Master response:	Hmph! If he's my master then teach me!!
context: No need to worry!\Elise\(sounds meaningless to me, )\It looks delicious, what is it?\Pasta in crema di scampi et camberi (Pasta in cream with shrimps and prawns)\Your prided dish!!!\But Senpai, is it really OK not to go to Gokon? Disobeying your Master\Hmph! If he's my master then teach me!! response:	Talking about it, the fact that Stresemann is in Japan...
context: Elise\(sounds meaningless to me, )\It looks delicious, what is it?\Pasta in crema di scampi et camberi (Pasta in cream with shrimps and prawns)\Your prided dish!!!\But Senpai, is it really OK not to go to Gokon? Disobeying your Master\Hmph! If he's my master then teach me!!\Talking about it, the fact that Stresemann is in Japan... response:	Won't it be a topic for the news?
context: (sounds meaningless to me, )\It looks delicious, what is it?\Pasta in crema di scampi et camberi (Pasta in cream with shrimps and prawns)\Your prided dish!!!\But Senpai, is it really OK not to go to Gokon? Disobeying your Master\Hmph! If he's my master then teach me!!\Talking about it, the fact that Stresemann is in Japan...\Won't it be a topic for the news? response:	Ah, Senpai, your meal will get cold!
context: It looks delicious, what is it?\Pasta in crema di scampi et camberi (Pasta in cream with shrimps and prawns)\Your prided dish!!!\But Senpai, is it really OK not to go to Gokon? Disobeying your Master\Hmph! If he's my master then teach me!!\Talking about it, the fact that Stresemann is in Japan...\Won't it be a topic for the news?\Ah, Senpai, your meal will get cold! response:	You eat first by yourself!
context: Pasta in crema di scampi et camberi (Pasta in cream with shrimps and prawns)\Your prided dish!!!\But Senpai, is it really OK not to go to Gokon? Disobeying your Master\Hmph! If he's my master then teach me!!\Talking about it, the fact that Stresemann is in Japan...\Won't it be a topic for the news?\Ah, Senpai, your meal will get cold!\You eat first by yourself! response:	WHAT'S THIS??!!
context: Your prided dish!!!\But Senpai, is it really OK not to go to Gokon? Disobeying your Master\Hmph! If he's my master then teach me!!\Talking about it, the fact that Stresemann is in Japan...\Won't it be a topic for the news?\Ah, Senpai, your meal will get cold!\You eat first by yourself!\WHAT'S THIS??!! response:	Suki desu, suki desu, desu desu desu desu! (I love you)
context: But Senpai, is it really OK not to go to Gokon? Disobeying your Master\Hmph! If he's my master then teach me!!\Talking about it, the fact that Stresemann is in Japan...\Won't it be a topic for the news?\Ah, Senpai, your meal will get cold!\You eat first by yourself!\WHAT'S THIS??!!\Suki desu, suki desu, desu desu desu desu! (I love you) response:	Senpai, you found it?
context: Hmph! If he's my master then teach me!!\Talking about it, the fact that Stresemann is in Japan...\Won't it be a topic for the news?\Ah, Senpai, your meal will get cold!\You eat first by yourself!\WHAT'S THIS??!!\Suki desu, suki desu, desu desu desu desu! (I love you)\Senpai, you found it? response:	With this you can always meet me...
context: Talking about it, the fact that Stresemann is in Japan...\Won't it be a topic for the news?\Ah, Senpai, your meal will get cold!\You eat first by yourself!\WHAT'S THIS??!!\Suki desu, suki desu, desu desu desu desu! (I love you)\Senpai, you found it?\With this you can always meet me... response:	WHAT MEETING YOU?!!
context: Won't it be a topic for the news?\Ah, Senpai, your meal will get cold!\You eat first by yourself!\WHAT'S THIS??!!\Suki desu, suki desu, desu desu desu desu! (I love you)\Senpai, you found it?\With this you can always meet me...\WHAT MEETING YOU?!! response:	Change it back like before!!
context: Ah, Senpai, your meal will get cold!\You eat first by yourself!\WHAT'S THIS??!!\Suki desu, suki desu, desu desu desu desu! (I love you)\Senpai, you found it?\With this you can always meet me...\WHAT MEETING YOU?!!\Change it back like before!! response:	No!
context: You eat first by yourself!\WHAT'S THIS??!!\Suki desu, suki desu, desu desu desu desu! (I love you)\Senpai, you found it?\With this you can always meet me...\WHAT MEETING YOU?!!\Change it back like before!!\No! response:	I said change it back!!
context: WHAT'S THIS??!!\Suki desu, suki desu, desu desu desu desu! (I love you)\Senpai, you found it?\With this you can always meet me...\WHAT MEETING YOU?!!\Change it back like before!!\No!\I said change it back!! response:	No...
context: Suki desu, suki desu, desu desu desu desu! (I love you)\Senpai, you found it?\With this you can always meet me...\WHAT MEETING YOU?!!\Change it back like before!!\No!\I said change it back!!\No... response:	Iyaaan...(no)
context: Senpai, you found it?\With this you can always meet me...\WHAT MEETING YOU?!!\Change it back like before!!\No!\I said change it back!!\No...\Iyaaan...(no) response:	What Iyaaan!!
context: With this you can always meet me...\WHAT MEETING YOU?!!\Change it back like before!!\No!\I said change it back!!\No...\Iyaaan...(no)\What Iyaaan!! response:	Goolegle Search
context: WHAT MEETING YOU?!!\Change it back like before!!\No!\I said change it back!!\No...\Iyaaan...(no)\What Iyaaan!!\Goolegle Search response:	Oh, it can't be...
context: Change it back like before!!\No!\I said change it back!!\No...\Iyaaan...(no)\What Iyaaan!!\Goolegle Search\Oh, it can't be... response:	Missing! Maestro Strezemann!!
context: No!\I said change it back!!\No...\Iyaaan...(no)\What Iyaaan!!\Goolegle Search\Oh, it can't be...\Missing! Maestro Strezemann!! response:	After his concert in London last month,
context: I said change it back!!\No...\Iyaaan...(no)\What Iyaaan!!\Goolegle Search\Oh, it can't be...\Missing! Maestro Strezemann!!\After his concert in London last month, response:	Franz Strezemann
context: No...\Iyaaan...(no)\What Iyaaan!!\Goolegle Search\Oh, it can't be...\Missing! Maestro Strezemann!!\After his concert in London last month,\Franz Strezemann response:	The official says: He's on vacation as usual. They denied the rumor that Strezemann is suffering dementia,
context: Iyaaan...(no)\What Iyaaan!!\Goolegle Search\Oh, it can't be...\Missing! Maestro Strezemann!!\After his concert in London last month,\Franz Strezemann\The official says: He's on vacation as usual. They denied the rumor that Strezemann is suffering dementia, response:	while they asked the Police for searching Strezemann
context: What Iyaaan!!\Goolegle Search\Oh, it can't be...\Missing! Maestro Strezemann!!\After his concert in London last month,\Franz Strezemann\The official says: He's on vacation as usual. They denied the rumor that Strezemann is suffering dementia,\while they asked the Police for searching Strezemann response:	At the time being, concentrating on Europe, they are chasing to solve the disappearance case.
context: Goolegle Search\Oh, it can't be...\Missing! Maestro Strezemann!!\After his concert in London last month,\Franz Strezemann\The official says: He's on vacation as usual. They denied the rumor that Strezemann is suffering dementia,\while they asked the Police for searching Strezemann\At the time being, concentrating on Europe, they are chasing to solve the disappearance case. response:	What's that??
context: Oh, it can't be...\Missing! Maestro Strezemann!!\After his concert in London last month,\Franz Strezemann\The official says: He's on vacation as usual. They denied the rumor that Strezemann is suffering dementia,\while they asked the Police for searching Strezemann\At the time being, concentrating on Europe, they are chasing to solve the disappearance case.\What's that?? response:	Wir haben die richtigen hauser (He's in this school, no mistake, right?)
context: Missing! Maestro Strezemann!!\After his concert in London last month,\Franz Strezemann\The official says: He's on vacation as usual. They denied the rumor that Strezemann is suffering dementia,\while they asked the Police for searching Strezemann\At the time being, concentrating on Europe, they are chasing to solve the disappearance case.\What's that??\Wir haben die richtigen hauser (He's in this school, no mistake, right?) response:	Dann holen wir mann, Oliver! (Let's go get the man, Oliver!)
context: After his concert in London last month,\Franz Strezemann\The official says: He's on vacation as usual. They denied the rumor that Strezemann is suffering dementia,\while they asked the Police for searching Strezemann\At the time being, concentrating on Europe, they are chasing to solve the disappearance case.\What's that??\Wir haben die richtigen hauser (He's in this school, no mistake, right?)\Dann holen wir mann, Oliver! (Let's go get the man, Oliver!) response:	Jawohl! (Yessir!!)
context: Franz Strezemann\The official says: He's on vacation as usual. They denied the rumor that Strezemann is suffering dementia,\while they asked the Police for searching Strezemann\At the time being, concentrating on Europe, they are chasing to solve the disappearance case.\What's that??\Wir haben die richtigen hauser (He's in this school, no mistake, right?)\Dann holen wir mann, Oliver! (Let's go get the man, Oliver!)\Jawohl! (Yessir!!) response:	Chiaki!! Come a moment!
context: The official says: He's on vacation as usual. They denied the rumor that Strezemann is suffering dementia,\while they asked the Police for searching Strezemann\At the time being, concentrating on Europe, they are chasing to solve the disappearance case.\What's that??\Wir haben die richtigen hauser (He's in this school, no mistake, right?)\Dann holen wir mann, Oliver! (Let's go get the man, Oliver!)\Jawohl! (Yessir!!)\Chiaki!! Come a moment! response:	Nodame too!
context: while they asked the Police for searching Strezemann\At the time being, concentrating on Europe, they are chasing to solve the disappearance case.\What's that??\Wir haben die richtigen hauser (He's in this school, no mistake, right?)\Dann holen wir mann, Oliver! (Let's go get the man, Oliver!)\Jawohl! (Yessir!!)\Chiaki!! Come a moment!\Nodame too! response:	Sexy Guide... Shinjuku Club, or Roppongi Club, which is better?
context: At the time being, concentrating on Europe, they are chasing to solve the disappearance case.\What's that??\Wir haben die richtigen hauser (He's in this school, no mistake, right?)\Dann holen wir mann, Oliver! (Let's go get the man, Oliver!)\Jawohl! (Yessir!!)\Chiaki!! Come a moment!\Nodame too!\Sexy Guide... Shinjuku Club, or Roppongi Club, which is better? response:	Etchi!! (lecherous)
context: What's that??\Wir haben die richtigen hauser (He's in this school, no mistake, right?)\Dann holen wir mann, Oliver! (Let's go get the man, Oliver!)\Jawohl! (Yessir!!)\Chiaki!! Come a moment!\Nodame too!\Sexy Guide... Shinjuku Club, or Roppongi Club, which is better?\Etchi!! (lecherous) response:	What are you doing!!
context: Wir haben die richtigen hauser (He's in this school, no mistake, right?)\Dann holen wir mann, Oliver! (Let's go get the man, Oliver!)\Jawohl! (Yessir!!)\Chiaki!! Come a moment!\Nodame too!\Sexy Guide... Shinjuku Club, or Roppongi Club, which is better?\Etchi!! (lecherous)\What are you doing!! response:	Do you know what has happened because of you?
context: Dann holen wir mann, Oliver! (Let's go get the man, Oliver!)\Jawohl! (Yessir!!)\Chiaki!! Come a moment!\Nodame too!\Sexy Guide... Shinjuku Club, or Roppongi Club, which is better?\Etchi!! (lecherous)\What are you doing!!\Do you know what has happened because of you? response:	Chiaki! What are you mad about?
context: Jawohl! (Yessir!!)\Chiaki!! Come a moment!\Nodame too!\Sexy Guide... Shinjuku Club, or Roppongi Club, which is better?\Etchi!! (lecherous)\What are you doing!!\Do you know what has happened because of you?\Chiaki! What are you mad about? response:	Let's go together!
context: Chiaki!! Come a moment!\Nodame too!\Sexy Guide... Shinjuku Club, or Roppongi Club, which is better?\Etchi!! (lecherous)\What are you doing!!\Do you know what has happened because of you?\Chiaki! What are you mad about?\Let's go together! response:	Franz!!
context: Nodame too!\Sexy Guide... Shinjuku Club, or Roppongi Club, which is better?\Etchi!! (lecherous)\What are you doing!!\Do you know what has happened because of you?\Chiaki! What are you mad about?\Let's go together!\Franz!! response:	Das war ein Zug vom Maestro! (What a move from you, Maestro!)
