context: Oh, man! Oh, man! response:	Taking off in the middle of the night is pretty exciting!
context: I wonder if I can...\I wonder if they'll be okay.\All right, Ryu!\All right, we're heading out.\Let's show'em what we're made of!\Heck yeah, Noya-san! Let's do this!\Just shut up and get on.\Haikyu!! response:	Hey, hey! Where's the Skytree?
context: I wonder if they'll be okay.\All right, Ryu!\All right, we're heading out.\Let's show'em what we're made of!\Heck yeah, Noya-san! Let's do this!\Just shut up and get on.\Haikyu!!\Hey, hey! Where's the Skytree? response:	Episode 07: Moonrise
context: All right, Ryu!\All right, we're heading out.\Let's show'em what we're made of!\Heck yeah, Noya-san! Let's do this!\Just shut up and get on.\Haikyu!!\Hey, hey! Where's the Skytree?\Episode 07: Moonrise response:	Huh? The Skytree?
context: All right, we're heading out.\Let's show'em what we're made of!\Heck yeah, Noya-san! Let's do this!\Just shut up and get on.\Haikyu!!\Hey, hey! Where's the Skytree?\Episode 07: Moonrise\Huh? The Skytree? response:	Oh! Is that the Tokyo Tower?!
context: Let's show'em what we're made of!\Heck yeah, Noya-san! Let's do this!\Just shut up and get on.\Haikyu!!\Hey, hey! Where's the Skytree?\Episode 07: Moonrise\Huh? The Skytree?\Oh! Is that the Tokyo Tower?! response:	Huh?
context: Heck yeah, Noya-san! Let's do this!\Just shut up and get on.\Haikyu!!\Hey, hey! Where's the Skytree?\Episode 07: Moonrise\Huh? The Skytree?\Oh! Is that the Tokyo Tower?!\Huh? response:	That's... Just a normal transmission tower.
context: Just shut up and get on.\Haikyu!!\Hey, hey! Where's the Skytree?\Episode 07: Moonrise\Huh? The Skytree?\Oh! Is that the Tokyo Tower?!\Huh?\That's... Just a normal transmission tower. response:	What the hell?
context: Haikyu!!\Hey, hey! Where's the Skytree?\Episode 07: Moonrise\Huh? The Skytree?\Oh! Is that the Tokyo Tower?!\Huh?\That's... Just a normal transmission tower.\What the hell? response:	Are there no transmission towers in Miyagi?
context: Hey, hey! Where's the Skytree?\Episode 07: Moonrise\Huh? The Skytree?\Oh! Is that the Tokyo Tower?!\Huh?\That's... Just a normal transmission tower.\What the hell?\Are there no transmission towers in Miyagi? response:	Pretty sure I've heard that conversation before.
context: Episode 07: Moonrise\Huh? The Skytree?\Oh! Is that the Tokyo Tower?!\Huh?\That's... Just a normal transmission tower.\What the hell?\Are there no transmission towers in Miyagi?\Pretty sure I've heard that conversation before. response:	The transmission towers in Tokyo all look like the Tokyo Tower to us countryfolk!
context: Huh? The Skytree?\Oh! Is that the Tokyo Tower?!\Huh?\That's... Just a normal transmission tower.\What the hell?\Are there no transmission towers in Miyagi?\Pretty sure I've heard that conversation before.\The transmission towers in Tokyo all look like the Tokyo Tower to us countryfolk! response:	That's a rash thing to say.
context: Oh! Is that the Tokyo Tower?!\Huh?\That's... Just a normal transmission tower.\What the hell?\Are there no transmission towers in Miyagi?\Pretty sure I've heard that conversation before.\The transmission towers in Tokyo all look like the Tokyo Tower to us countryfolk!\That's a rash thing to say. response:	Also, we're in Saitama.
context: Huh?\That's... Just a normal transmission tower.\What the hell?\Are there no transmission towers in Miyagi?\Pretty sure I've heard that conversation before.\The transmission towers in Tokyo all look like the Tokyo Tower to us countryfolk!\That's a rash thing to say.\Also, we're in Saitama. response:	So that's not... the Tokyo Tower?
context: That's... Just a normal transmission tower.\What the hell?\Are there no transmission towers in Miyagi?\Pretty sure I've heard that conversation before.\The transmission towers in Tokyo all look like the Tokyo Tower to us countryfolk!\That's a rash thing to say.\Also, we're in Saitama.\So that's not... the Tokyo Tower? response:	So we're gonna be at a different school this time?
context: What the hell?\Are there no transmission towers in Miyagi?\Pretty sure I've heard that conversation before.\The transmission towers in Tokyo all look like the Tokyo Tower to us countryfolk!\That's a rash thing to say.\Also, we're in Saitama.\So that's not... the Tokyo Tower?\So we're gonna be at a different school this time? response:	Apparently, the summer training camp is always at Shinzen.
context: Are there no transmission towers in Miyagi?\Pretty sure I've heard that conversation before.\The transmission towers in Tokyo all look like the Tokyo Tower to us countryfolk!\That's a rash thing to say.\Also, we're in Saitama.\So that's not... the Tokyo Tower?\So we're gonna be at a different school this time?\Apparently, the summer training camp is always at Shinzen. response:	It's nice and cool here...
context: Pretty sure I've heard that conversation before.\The transmission towers in Tokyo all look like the Tokyo Tower to us countryfolk!\That's a rash thing to say.\Also, we're in Saitama.\So that's not... the Tokyo Tower?\So we're gonna be at a different school this time?\Apparently, the summer training camp is always at Shinzen.\It's nice and cool here... response:	But lots of bugs around.
context: The transmission towers in Tokyo all look like the Tokyo Tower to us countryfolk!\That's a rash thing to say.\Also, we're in Saitama.\So that's not... the Tokyo Tower?\So we're gonna be at a different school this time?\Apparently, the summer training camp is always at Shinzen.\It's nice and cool here...\But lots of bugs around. response:	Hinata! Did you grow any taller?!
context: That's a rash thing to say.\Also, we're in Saitama.\So that's not... the Tokyo Tower?\So we're gonna be at a different school this time?\Apparently, the summer training camp is always at Shinzen.\It's nice and cool here...\But lots of bugs around.\Hinata! Did you grow any taller?! response:	Lev, shut up.
context: Also, we're in Saitama.\So that's not... the Tokyo Tower?\So we're gonna be at a different school this time?\Apparently, the summer training camp is always at Shinzen.\It's nice and cool here...\But lots of bugs around.\Hinata! Did you grow any taller?!\Lev, shut up. response:	That's a pretty rude thing to say.
context: So that's not... the Tokyo Tower?\So we're gonna be at a different school this time?\Apparently, the summer training camp is always at Shinzen.\It's nice and cool here...\But lots of bugs around.\Hinata! Did you grow any taller?!\Lev, shut up.\That's a pretty rude thing to say. response:	Like I could grow in two weeks!
context: So we're gonna be at a different school this time?\Apparently, the summer training camp is always at Shinzen.\It's nice and cool here...\But lots of bugs around.\Hinata! Did you grow any taller?!\Lev, shut up.\That's a pretty rude thing to say.\Like I could grow in two weeks! response:	I grew two millimeters.
context: Apparently, the summer training camp is always at Shinzen.\It's nice and cool here...\But lots of bugs around.\Hinata! Did you grow any taller?!\Lev, shut up.\That's a pretty rude thing to say.\Like I could grow in two weeks!\I grew two millimeters. response:	All right.
context: It's nice and cool here...\But lots of bugs around.\Hinata! Did you grow any taller?!\Lev, shut up.\That's a pretty rude thing to say.\Like I could grow in two weeks!\I grew two millimeters.\All right. response:	We're gonna switch out members constantly this time around,
context: But lots of bugs around.\Hinata! Did you grow any taller?!\Lev, shut up.\That's a pretty rude thing to say.\Like I could grow in two weeks!\I grew two millimeters.\All right.\We're gonna switch out members constantly this time around, response:	so be prepared.
context: Hinata! Did you grow any taller?!\Lev, shut up.\That's a pretty rude thing to say.\Like I could grow in two weeks!\I grew two millimeters.\All right.\We're gonna switch out members constantly this time around,\so be prepared. response:	Right!
context: Lev, shut up.\That's a pretty rude thing to say.\Like I could grow in two weeks!\I grew two millimeters.\All right.\We're gonna switch out members constantly this time around,\so be prepared.\Right! response:	Karasuno Fukurodani
context: That's a pretty rude thing to say.\Like I could grow in two weeks!\I grew two millimeters.\All right.\We're gonna switch out members constantly this time around,\so be prepared.\Right!\Karasuno Fukurodani response:	Let's try for no penalties!
context: Like I could grow in two weeks!\I grew two millimeters.\All right.\We're gonna switch out members constantly this time around,\so be prepared.\Right!\Karasuno Fukurodani\Let's try for no penalties! response:	Noya-san!
context: I grew two millimeters.\All right.\We're gonna switch out members constantly this time around,\so be prepared.\Right!\Karasuno Fukurodani\Let's try for no penalties!\Noya-san! response:	Yeah!
context: All right.\We're gonna switch out members constantly this time around,\so be prepared.\Right!\Karasuno Fukurodani\Let's try for no penalties!\Noya-san!\Yeah! response:	Nice receive!
context: We're gonna switch out members constantly this time around,\so be prepared.\Right!\Karasuno Fukurodani\Let's try for no penalties!\Noya-san!\Yeah!\Nice receive! response:	A chance at a quick...
context: so be prepared.\Right!\Karasuno Fukurodani\Let's try for no penalties!\Noya-san!\Yeah!\Nice receive!\A chance at a quick... response:	That weird quick's coming!
context: Right!\Karasuno Fukurodani\Let's try for no penalties!\Noya-san!\Yeah!\Nice receive!\A chance at a quick...\That weird quick's coming! response:	Just drop it off... Just drop it off...
context: Karasuno Fukurodani\Let's try for no penalties!\Noya-san!\Yeah!\Nice receive!\A chance at a quick...\That weird quick's coming!\Just drop it off... Just drop it off... response:	Just drop it... off!
context: Let's try for no penalties!\Noya-san!\Yeah!\Nice receive!\A chance at a quick...\That weird quick's coming!\Just drop it off... Just drop it off...\Just drop it... off! response:	It was too short...
context: Noya-san!\Yeah!\Nice receive!\A chance at a quick...\That weird quick's coming!\Just drop it off... Just drop it off...\Just drop it... off!\It was too short... response:	What the heck?
context: Yeah!\Nice receive!\A chance at a quick...\That weird quick's coming!\Just drop it off... Just drop it off...\Just drop it... off!\It was too short...\What the heck? response:	That's not like you at all.
context: Nice receive!\A chance at a quick...\That weird quick's coming!\Just drop it off... Just drop it off...\Just drop it... off!\It was too short...\What the heck?\That's not like you at all. response:	I'm sorry.
context: A chance at a quick...\That weird quick's coming!\Just drop it off... Just drop it off...\Just drop it... off!\It was too short...\What the heck?\That's not like you at all.\I'm sorry. response:	Damn it...
context: That weird quick's coming!\Just drop it off... Just drop it off...\Just drop it... off!\It was too short...\What the heck?\That's not like you at all.\I'm sorry.\Damn it... response:	It feels different when I'm in an actual match.
context: Just drop it off... Just drop it off...\Just drop it... off!\It was too short...\What the heck?\That's not like you at all.\I'm sorry.\Damn it...\It feels different when I'm in an actual match. response:	All right! One more! Nice serve!
context: Just drop it... off!\It was too short...\What the heck?\That's not like you at all.\I'm sorry.\Damn it...\It feels different when I'm in an actual match.\All right! One more! Nice serve! response:	Surprised?
context: It was too short...\What the heck?\That's not like you at all.\I'm sorry.\Damn it...\It feels different when I'm in an actual match.\All right! One more! Nice serve!\Surprised? response:	I'm sure you've realized it.
context: What the heck?\That's not like you at all.\I'm sorry.\Damn it...\It feels different when I'm in an actual match.\All right! One more! Nice serve!\Surprised?\I'm sure you've realized it. response:	Kageyama's toss is completely different now.
context: That's not like you at all.\I'm sorry.\Damn it...\It feels different when I'm in an actual match.\All right! One more! Nice serve!\Surprised?\I'm sure you've realized it.\Kageyama's toss is completely different now. response:	Got it!
context: I'm sorry.\Damn it...\It feels different when I'm in an actual match.\All right! One more! Nice serve!\Surprised?\I'm sure you've realized it.\Kageyama's toss is completely different now.\Got it! response:	This time, it went too far.
context: Damn it...\It feels different when I'm in an actual match.\All right! One more! Nice serve!\Surprised?\I'm sure you've realized it.\Kageyama's toss is completely different now.\Got it!\This time, it went too far. response:	His left hand?
context: It feels different when I'm in an actual match.\All right! One more! Nice serve!\Surprised?\I'm sure you've realized it.\Kageyama's toss is completely different now.\Got it!\This time, it went too far.\His left hand? response:	He immediately tried to save it with his left hand.
context: All right! One more! Nice serve!\Surprised?\I'm sure you've realized it.\Kageyama's toss is completely different now.\Got it!\This time, it went too far.\His left hand?\He immediately tried to save it with his left hand. response:	Nice, Hinata!
context: Surprised?\I'm sure you've realized it.\Kageyama's toss is completely different now.\Got it!\This time, it went too far.\His left hand?\He immediately tried to save it with his left hand.\Nice, Hinata! response:	He used to panic if anything was off.
context: I'm sure you've realized it.\Kageyama's toss is completely different now.\Got it!\This time, it went too far.\His left hand?\He immediately tried to save it with his left hand.\Nice, Hinata!\He used to panic if anything was off. response:	Nice, Shoyo!
context: Kageyama's toss is completely different now.\Got it!\This time, it went too far.\His left hand?\He immediately tried to save it with his left hand.\Nice, Hinata!\He used to panic if anything was off.\Nice, Shoyo! response:	The toss dropped again...
context: Got it!\This time, it went too far.\His left hand?\He immediately tried to save it with his left hand.\Nice, Hinata!\He used to panic if anything was off.\Nice, Shoyo!\The toss dropped again... response:	He's...
context: This time, it went too far.\His left hand?\He immediately tried to save it with his left hand.\Nice, Hinata!\He used to panic if anything was off.\Nice, Shoyo!\The toss dropped again...\He's... response:	He's different now.
context: His left hand?\He immediately tried to save it with his left hand.\Nice, Hinata!\He used to panic if anything was off.\Nice, Shoyo!\The toss dropped again...\He's...\He's different now. response:	Don't mind!
context: He immediately tried to save it with his left hand.\Nice, Hinata!\He used to panic if anything was off.\Nice, Shoyo!\The toss dropped again...\He's...\He's different now.\Don't mind! response:	We couldn't help that one!
context: Nice, Hinata!\He used to panic if anything was off.\Nice, Shoyo!\The toss dropped again...\He's...\He's different now.\Don't mind!\We couldn't help that one! response:	We'll get the next one!
context: He used to panic if anything was off.\Nice, Shoyo!\The toss dropped again...\He's...\He's different now.\Don't mind!\We couldn't help that one!\We'll get the next one! response:	Hinata and Kageyama
context: Nice, Shoyo!\The toss dropped again...\He's...\He's different now.\Don't mind!\We couldn't help that one!\We'll get the next one!\Hinata and Kageyama response:	Fukurodani Karasuno
context: The toss dropped again...\He's...\He's different now.\Don't mind!\We couldn't help that one!\We'll get the next one!\Hinata and Kageyama\Fukurodani Karasuno response:	aren't the only ones who've changed...
context: He's...\He's different now.\Don't mind!\We couldn't help that one!\We'll get the next one!\Hinata and Kageyama\Fukurodani Karasuno\aren't the only ones who've changed... response:	Out! Out!
context: He's different now.\Don't mind!\We couldn't help that one!\We'll get the next one!\Hinata and Kageyama\Fukurodani Karasuno\aren't the only ones who've changed...\Out! Out! response:	Tsk.
context: Don't mind!\We couldn't help that one!\We'll get the next one!\Hinata and Kageyama\Fukurodani Karasuno\aren't the only ones who've changed...\Out! Out!\Tsk. response:	Azumane-san's tsks have so much impact.
context: We couldn't help that one!\We'll get the next one!\Hinata and Kageyama\Fukurodani Karasuno\aren't the only ones who've changed...\Out! Out!\Tsk.\Azumane-san's tsks have so much impact. response:	That's fine! Keep it going!
context: We'll get the next one!\Hinata and Kageyama\Fukurodani Karasuno\aren't the only ones who've changed...\Out! Out!\Tsk.\Azumane-san's tsks have so much impact.\That's fine! Keep it going! response:	Hmm... Splendid.
context: Hinata and Kageyama\Fukurodani Karasuno\aren't the only ones who've changed...\Out! Out!\Tsk.\Azumane-san's tsks have so much impact.\That's fine! Keep it going!\Hmm... Splendid. response:	They're splendidly...
context: Fukurodani Karasuno\aren't the only ones who've changed...\Out! Out!\Tsk.\Azumane-san's tsks have so much impact.\That's fine! Keep it going!\Hmm... Splendid.\They're splendidly... response:	Ah!
context: aren't the only ones who've changed...\Out! Out!\Tsk.\Azumane-san's tsks have so much impact.\That's fine! Keep it going!\Hmm... Splendid.\They're splendidly...\Ah! response:	Ah!
context: Out! Out!\Tsk.\Azumane-san's tsks have so much impact.\That's fine! Keep it going!\Hmm... Splendid.\They're splendidly...\Ah!\Ah! response:	Did Karasuno...
context: Tsk.\Azumane-san's tsks have so much impact.\That's fine! Keep it going!\Hmm... Splendid.\They're splendidly...\Ah!\Ah!\Did Karasuno... response:	Sorry!
context: Azumane-san's tsks have so much impact.\That's fine! Keep it going!\Hmm... Splendid.\They're splendidly...\Ah!\Ah!\Did Karasuno...\Sorry! response:	Sorry! Cover!
context: That's fine! Keep it going!\Hmm... Splendid.\They're splendidly...\Ah!\Ah!\Did Karasuno...\Sorry!\Sorry! Cover! response:	Leave it to me!
context: Hmm... Splendid.\They're splendidly...\Ah!\Ah!\Did Karasuno...\Sorry!\Sorry! Cover!\Leave it to me! response:	Jumping from the back zone and into a libero's jump toss?
context: They're splendidly...\Ah!\Ah!\Did Karasuno...\Sorry!\Sorry! Cover!\Leave it to me!\Jumping from the back zone and into a libero's jump toss? response:	Ah!
context: Ah!\Ah!\Did Karasuno...\Sorry!\Sorry! Cover!\Leave it to me!\Jumping from the back zone and into a libero's jump toss?\Ah! response:	I jumped too far!
context: Ah!\Did Karasuno...\Sorry!\Sorry! Cover!\Leave it to me!\Jumping from the back zone and into a libero's jump toss?\Ah!\I jumped too far! response:	Hey, what's up with those guys today?
context: Did Karasuno...\Sorry!\Sorry! Cover!\Leave it to me!\Jumping from the back zone and into a libero's jump toss?\Ah!\I jumped too far!\Hey, what's up with those guys today? response:	Are you okay?
context: Sorry!\Sorry! Cover!\Leave it to me!\Jumping from the back zone and into a libero's jump toss?\Ah!\I jumped too far!\Hey, what's up with those guys today?\Are you okay? response:	Damn it!
context: Sorry! Cover!\Leave it to me!\Jumping from the back zone and into a libero's jump toss?\Ah!\I jumped too far!\Hey, what's up with those guys today?\Are you okay?\Damn it! response:	Karasuno Fukurodani
context: Leave it to me!\Jumping from the back zone and into a libero's jump toss?\Ah!\I jumped too far!\Hey, what's up with those guys today?\Are you okay?\Damn it!\Karasuno Fukurodani response:	I wonder what happened to Karasuno.
context: Jumping from the back zone and into a libero's jump toss?\Ah!\I jumped too far!\Hey, what's up with those guys today?\Are you okay?\Damn it!\Karasuno Fukurodani\I wonder what happened to Karasuno. response:	Maybe they're in some kind of rut?
context: Ah!\I jumped too far!\Hey, what's up with those guys today?\Are you okay?\Damn it!\Karasuno Fukurodani\I wonder what happened to Karasuno.\Maybe they're in some kind of rut? response:	I think it's the exact opposite.
context: I jumped too far!\Hey, what's up with those guys today?\Are you okay?\Damn it!\Karasuno Fukurodani\I wonder what happened to Karasuno.\Maybe they're in some kind of rut?\I think it's the exact opposite. response:	Because they're crows, they're omnivorous.
context: Hey, what's up with those guys today?\Are you okay?\Damn it!\Karasuno Fukurodani\I wonder what happened to Karasuno.\Maybe they're in some kind of rut?\I think it's the exact opposite.\Because they're crows, they're omnivorous. response:	It doesn't matter if they're deep in the mountains,
context: Are you okay?\Damn it!\Karasuno Fukurodani\I wonder what happened to Karasuno.\Maybe they're in some kind of rut?\I think it's the exact opposite.\Because they're crows, they're omnivorous.\It doesn't matter if they're deep in the mountains, response:	Kabukicho Ichibangai
context: Damn it!\Karasuno Fukurodani\I wonder what happened to Karasuno.\Maybe they're in some kind of rut?\I think it's the exact opposite.\Because they're crows, they're omnivorous.\It doesn't matter if they're deep in the mountains,\Kabukicho Ichibangai response:	or in the middle of Kabukicho.
context: Karasuno Fukurodani\I wonder what happened to Karasuno.\Maybe they're in some kind of rut?\I think it's the exact opposite.\Because they're crows, they're omnivorous.\It doesn't matter if they're deep in the mountains,\Kabukicho Ichibangai\or in the middle of Kabukicho. response:	They eat everything there is to eat,
context: I wonder what happened to Karasuno.\Maybe they're in some kind of rut?\I think it's the exact opposite.\Because they're crows, they're omnivorous.\It doesn't matter if they're deep in the mountains,\Kabukicho Ichibangai\or in the middle of Kabukicho.\They eat everything there is to eat, response:	and take advantage of those stronger than them to survive.
context: Maybe they're in some kind of rut?\I think it's the exact opposite.\Because they're crows, they're omnivorous.\It doesn't matter if they're deep in the mountains,\Kabukicho Ichibangai\or in the middle of Kabukicho.\They eat everything there is to eat,\and take advantage of those stronger than them to survive. response:	It looks like they're
context: I think it's the exact opposite.\Because they're crows, they're omnivorous.\It doesn't matter if they're deep in the mountains,\Kabukicho Ichibangai\or in the middle of Kabukicho.\They eat everything there is to eat,\and take advantage of those stronger than them to survive.\It looks like they're response:	Nice receive!
context: Because they're crows, they're omnivorous.\It doesn't matter if they're deep in the mountains,\Kabukicho Ichibangai\or in the middle of Kabukicho.\They eat everything there is to eat,\and take advantage of those stronger than them to survive.\It looks like they're\Nice receive! response:	Left! Left!
context: It doesn't matter if they're deep in the mountains,\Kabukicho Ichibangai\or in the middle of Kabukicho.\They eat everything there is to eat,\and take advantage of those stronger than them to survive.\It looks like they're\Nice receive!\Left! Left! response:	in the middle of evolving at an incredible speed.
context: Kabukicho Ichibangai\or in the middle of Kabukicho.\They eat everything there is to eat,\and take advantage of those stronger than them to survive.\It looks like they're\Nice receive!\Left! Left!\in the middle of evolving at an incredible speed. response:	Bokuto-san!
context: or in the middle of Kabukicho.\They eat everything there is to eat,\and take advantage of those stronger than them to survive.\It looks like they're\Nice receive!\Left! Left!\in the middle of evolving at an incredible speed.\Bokuto-san! response:	Yes!
context: They eat everything there is to eat,\and take advantage of those stronger than them to survive.\It looks like they're\Nice receive!\Left! Left!\in the middle of evolving at an incredible speed.\Bokuto-san!\Yes! response:	All of them but one, it seems.
context: and take advantage of those stronger than them to survive.\It looks like they're\Nice receive!\Left! Left!\in the middle of evolving at an incredible speed.\Bokuto-san!\Yes!\All of them but one, it seems. response:	Karasuno Fukurodani
context: It looks like they're\Nice receive!\Left! Left!\in the middle of evolving at an incredible speed.\Bokuto-san!\Yes!\All of them but one, it seems.\Karasuno Fukurodani response:	Thank you!
context: Nice receive!\Left! Left!\in the middle of evolving at an incredible speed.\Bokuto-san!\Yes!\All of them but one, it seems.\Karasuno Fukurodani\Thank you! response:	The penalty this time
context: Left! Left!\in the middle of evolving at an incredible speed.\Bokuto-san!\Yes!\All of them but one, it seems.\Karasuno Fukurodani\Thank you!\The penalty this time response:	is Shinzen's special refreshing sprint up the grassy hill, apparently.
context: in the middle of evolving at an incredible speed.\Bokuto-san!\Yes!\All of them but one, it seems.\Karasuno Fukurodani\Thank you!\The penalty this time\is Shinzen's special refreshing sprint up the grassy hill, apparently. response:	All right.
context: Bokuto-san!\Yes!\All of them but one, it seems.\Karasuno Fukurodani\Thank you!\The penalty this time\is Shinzen's special refreshing sprint up the grassy hill, apparently.\All right. response:	Ready... Go!
context: Yes!\All of them but one, it seems.\Karasuno Fukurodani\Thank you!\The penalty this time\is Shinzen's special refreshing sprint up the grassy hill, apparently.\All right.\Ready... Go! response:	Here.
context: All of them but one, it seems.\Karasuno Fukurodani\Thank you!\The penalty this time\is Shinzen's special refreshing sprint up the grassy hill, apparently.\All right.\Ready... Go!\Here. response:	Th-Thanks.
context: Karasuno Fukurodani\Thank you!\The penalty this time\is Shinzen's special refreshing sprint up the grassy hill, apparently.\All right.\Ready... Go!\Here.\Th-Thanks. response:	Sugawara-san, here.
context: Thank you!\The penalty this time\is Shinzen's special refreshing sprint up the grassy hill, apparently.\All right.\Ready... Go!\Here.\Th-Thanks.\Sugawara-san, here. response:	Nice serve!
context: The penalty this time\is Shinzen's special refreshing sprint up the grassy hill, apparently.\All right.\Ready... Go!\Here.\Th-Thanks.\Sugawara-san, here.\Nice serve! response:	Shinzen and Ubugawa are still in their first set?
context: is Shinzen's special refreshing sprint up the grassy hill, apparently.\All right.\Ready... Go!\Here.\Th-Thanks.\Sugawara-san, here.\Nice serve!\Shinzen and Ubugawa are still in their first set? response:	Yeah.
context: All right.\Ready... Go!\Here.\Th-Thanks.\Sugawara-san, here.\Nice serve!\Shinzen and Ubugawa are still in their first set?\Yeah. response:	Their serves are awesome!
context: Ready... Go!\Here.\Th-Thanks.\Sugawara-san, here.\Nice serve!\Shinzen and Ubugawa are still in their first set?\Yeah.\Their serves are awesome! response:	Left!
context: Here.\Th-Thanks.\Sugawara-san, here.\Nice serve!\Shinzen and Ubugawa are still in their first set?\Yeah.\Their serves are awesome!\Left! response:	Whoa, like, fabam!
context: Th-Thanks.\Sugawara-san, here.\Nice serve!\Shinzen and Ubugawa are still in their first set?\Yeah.\Their serves are awesome!\Left!\Whoa, like, fabam! response:	Serve and block.
