context: Kageyama Shigeo, also known as Mob. response:	A second-year in middle school.
context: Manual\If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\This Month Only\So the 40-minute massage course fee comes to 3,800 yen.\You idiot! Don't call it the massage fee! Call it the curse-dispelling fee!\Your change is 200 yen.\Here. You'll eat some won't you, Mob?\Oh, sure. I'll have some. response:	Master Reigen, you're getting much better at massages.
context: If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\This Month Only\So the 40-minute massage course fee comes to 3,800 yen.\You idiot! Don't call it the massage fee! Call it the curse-dispelling fee!\Your change is 200 yen.\Here. You'll eat some won't you, Mob?\Oh, sure. I'll have some.\Master Reigen, you're getting much better at massages. response:	Well, yeah. I've been trying various methods to improve,
context: This Month Only\So the 40-minute massage course fee comes to 3,800 yen.\You idiot! Don't call it the massage fee! Call it the curse-dispelling fee!\Your change is 200 yen.\Here. You'll eat some won't you, Mob?\Oh, sure. I'll have some.\Master Reigen, you're getting much better at massages.\Well, yeah. I've been trying various methods to improve, response:	like reading books on Seitai and stuff.
context: So the 40-minute massage course fee comes to 3,800 yen.\You idiot! Don't call it the massage fee! Call it the curse-dispelling fee!\Your change is 200 yen.\Here. You'll eat some won't you, Mob?\Oh, sure. I'll have some.\Master Reigen, you're getting much better at massages.\Well, yeah. I've been trying various methods to improve,\like reading books on Seitai and stuff. response:	Limited-Time Offer If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!
context: You idiot! Don't call it the massage fee! Call it the curse-dispelling fee!\Your change is 200 yen.\Here. You'll eat some won't you, Mob?\Oh, sure. I'll have some.\Master Reigen, you're getting much better at massages.\Well, yeah. I've been trying various methods to improve,\like reading books on Seitai and stuff.\Limited-Time Offer If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!! response:	This Month Only
context: Your change is 200 yen.\Here. You'll eat some won't you, Mob?\Oh, sure. I'll have some.\Master Reigen, you're getting much better at massages.\Well, yeah. I've been trying various methods to improve,\like reading books on Seitai and stuff.\Limited-Time Offer If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\This Month Only response:	Of course, it's only effective because of spiritual power.
context: Here. You'll eat some won't you, Mob?\Oh, sure. I'll have some.\Master Reigen, you're getting much better at massages.\Well, yeah. I've been trying various methods to improve,\like reading books on Seitai and stuff.\Limited-Time Offer If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\This Month Only\Of course, it's only effective because of spiritual power. response:	Hot!
context: Oh, sure. I'll have some.\Master Reigen, you're getting much better at massages.\Well, yeah. I've been trying various methods to improve,\like reading books on Seitai and stuff.\Limited-Time Offer If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\This Month Only\Of course, it's only effective because of spiritual power.\Hot! response:	Such a waste!
context: Master Reigen, you're getting much better at massages.\Well, yeah. I've been trying various methods to improve,\like reading books on Seitai and stuff.\Limited-Time Offer If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\This Month Only\Of course, it's only effective because of spiritual power.\Hot!\Such a waste! response:	Master, I've been thinking...
context: Well, yeah. I've been trying various methods to improve,\like reading books on Seitai and stuff.\Limited-Time Offer If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\This Month Only\Of course, it's only effective because of spiritual power.\Hot!\Such a waste!\Master, I've been thinking... response:	Well, this is rare.
context: like reading books on Seitai and stuff.\Limited-Time Offer If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\This Month Only\Of course, it's only effective because of spiritual power.\Hot!\Such a waste!\Master, I've been thinking...\Well, this is rare. response:	You never try to start a conversation.
context: Limited-Time Offer If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\This Month Only\Of course, it's only effective because of spiritual power.\Hot!\Such a waste!\Master, I've been thinking...\Well, this is rare.\You never try to start a conversation. response:	Well, I can use a little ESP and I'm different from other people,
context: This Month Only\Of course, it's only effective because of spiritual power.\Hot!\Such a waste!\Master, I've been thinking...\Well, this is rare.\You never try to start a conversation.\Well, I can use a little ESP and I'm different from other people, response:	so I came to discuss that with you and ended up becoming your student.
context: Of course, it's only effective because of spiritual power.\Hot!\Such a waste!\Master, I've been thinking...\Well, this is rare.\You never try to start a conversation.\Well, I can use a little ESP and I'm different from other people,\so I came to discuss that with you and ended up becoming your student. response:	At the time, I didn't have anyone else to talk to, so I'm grateful,
context: Hot!\Such a waste!\Master, I've been thinking...\Well, this is rare.\You never try to start a conversation.\Well, I can use a little ESP and I'm different from other people,\so I came to discuss that with you and ended up becoming your student.\At the time, I didn't have anyone else to talk to, so I'm grateful, response:	because you teach me various things and pay me.
context: Such a waste!\Master, I've been thinking...\Well, this is rare.\You never try to start a conversation.\Well, I can use a little ESP and I'm different from other people,\so I came to discuss that with you and ended up becoming your student.\At the time, I didn't have anyone else to talk to, so I'm grateful,\because you teach me various things and pay me. response:	However, is this really okay?
context: Master, I've been thinking...\Well, this is rare.\You never try to start a conversation.\Well, I can use a little ESP and I'm different from other people,\so I came to discuss that with you and ended up becoming your student.\At the time, I didn't have anyone else to talk to, so I'm grateful,\because you teach me various things and pay me.\However, is this really okay? response:	That's what I've been thinking lately.
context: Well, this is rare.\You never try to start a conversation.\Well, I can use a little ESP and I'm different from other people,\so I came to discuss that with you and ended up becoming your student.\At the time, I didn't have anyone else to talk to, so I'm grateful,\because you teach me various things and pay me.\However, is this really okay?\That's what I've been thinking lately. response:	Does he think his pay is too little? Or did he finally find me out?
context: You never try to start a conversation.\Well, I can use a little ESP and I'm different from other people,\so I came to discuss that with you and ended up becoming your student.\At the time, I didn't have anyone else to talk to, so I'm grateful,\because you teach me various things and pay me.\However, is this really okay?\That's what I've been thinking lately.\Does he think his pay is too little? Or did he finally find me out? response:	Fake
context: Well, I can use a little ESP and I'm different from other people,\so I came to discuss that with you and ended up becoming your student.\At the time, I didn't have anyone else to talk to, so I'm grateful,\because you teach me various things and pay me.\However, is this really okay?\That's what I've been thinking lately.\Does he think his pay is too little? Or did he finally find me out?\Fake response:	Liar
context: so I came to discuss that with you and ended up becoming your student.\At the time, I didn't have anyone else to talk to, so I'm grateful,\because you teach me various things and pay me.\However, is this really okay?\That's what I've been thinking lately.\Does he think his pay is too little? Or did he finally find me out?\Fake\Liar response:	Con Artist
context: At the time, I didn't have anyone else to talk to, so I'm grateful,\because you teach me various things and pay me.\However, is this really okay?\That's what I've been thinking lately.\Does he think his pay is too little? Or did he finally find me out?\Fake\Liar\Con Artist response:	Self-Proclaimed Psychic
context: because you teach me various things and pay me.\However, is this really okay?\That's what I've been thinking lately.\Does he think his pay is too little? Or did he finally find me out?\Fake\Liar\Con Artist\Self-Proclaimed Psychic response:	What do you mean?
context: However, is this really okay?\That's what I've been thinking lately.\Does he think his pay is too little? Or did he finally find me out?\Fake\Liar\Con Artist\Self-Proclaimed Psychic\What do you mean? response:	How do I put this...
context: That's what I've been thinking lately.\Does he think his pay is too little? Or did he finally find me out?\Fake\Liar\Con Artist\Self-Proclaimed Psychic\What do you mean?\How do I put this... response:	Rather than things ending with me working part-time after school,
context: Does he think his pay is too little? Or did he finally find me out?\Fake\Liar\Con Artist\Self-Proclaimed Psychic\What do you mean?\How do I put this...\Rather than things ending with me working part-time after school, response:	I have a feeling that there may or may not be
context: Fake\Liar\Con Artist\Self-Proclaimed Psychic\What do you mean?\How do I put this...\Rather than things ending with me working part-time after school,\I have a feeling that there may or may not be response:	some other things that I can only experience now...
context: Liar\Con Artist\Self-Proclaimed Psychic\What do you mean?\How do I put this...\Rather than things ending with me working part-time after school,\I have a feeling that there may or may not be\some other things that I can only experience now... response:	Huh?
context: Con Artist\Self-Proclaimed Psychic\What do you mean?\How do I put this...\Rather than things ending with me working part-time after school,\I have a feeling that there may or may not be\some other things that I can only experience now...\Huh? response:	Oh, so that's it.
context: Self-Proclaimed Psychic\What do you mean?\How do I put this...\Rather than things ending with me working part-time after school,\I have a feeling that there may or may not be\some other things that I can only experience now...\Huh?\Oh, so that's it. response:	Such is puberty, Mob-kun.
context: What do you mean?\How do I put this...\Rather than things ending with me working part-time after school,\I have a feeling that there may or may not be\some other things that I can only experience now...\Huh?\Oh, so that's it.\Such is puberty, Mob-kun. response:	Is there something that you want to do right now?
context: How do I put this...\Rather than things ending with me working part-time after school,\I have a feeling that there may or may not be\some other things that I can only experience now...\Huh?\Oh, so that's it.\Such is puberty, Mob-kun.\Is there something that you want to do right now? response:	Be in a band?
context: Rather than things ending with me working part-time after school,\I have a feeling that there may or may not be\some other things that I can only experience now...\Huh?\Oh, so that's it.\Such is puberty, Mob-kun.\Is there something that you want to do right now?\Be in a band? response:	Dance?
context: I have a feeling that there may or may not be\some other things that I can only experience now...\Huh?\Oh, so that's it.\Such is puberty, Mob-kun.\Is there something that you want to do right now?\Be in a band?\Dance? response:	To Wakkanai
context: some other things that I can only experience now...\Huh?\Oh, so that's it.\Such is puberty, Mob-kun.\Is there something that you want to do right now?\Be in a band?\Dance?\To Wakkanai response:	Hitchhike?
context: Huh?\Oh, so that's it.\Such is puberty, Mob-kun.\Is there something that you want to do right now?\Be in a band?\Dance?\To Wakkanai\Hitchhike? response:	No, I don't have anything particular in mind.
context: Oh, so that's it.\Such is puberty, Mob-kun.\Is there something that you want to do right now?\Be in a band?\Dance?\To Wakkanai\Hitchhike?\No, I don't have anything particular in mind. response:	Listen, Mob.
context: Such is puberty, Mob-kun.\Is there something that you want to do right now?\Be in a band?\Dance?\To Wakkanai\Hitchhike?\No, I don't have anything particular in mind.\Listen, Mob. response:	There's no need to rush into things.
context: Is there something that you want to do right now?\Be in a band?\Dance?\To Wakkanai\Hitchhike?\No, I don't have anything particular in mind.\Listen, Mob.\There's no need to rush into things. response:	In my expert opinion, I'd say the going-home club is the absolute best.
context: Be in a band?\Dance?\To Wakkanai\Hitchhike?\No, I don't have anything particular in mind.\Listen, Mob.\There's no need to rush into things.\In my expert opinion, I'd say the going-home club is the absolute best. response:	You're just goofing off during the period you can goof off the most,
context: Dance?\To Wakkanai\Hitchhike?\No, I don't have anything particular in mind.\Listen, Mob.\There's no need to rush into things.\In my expert opinion, I'd say the going-home club is the absolute best.\You're just goofing off during the period you can goof off the most, response:	and that makes you a winner in my book.
context: To Wakkanai\Hitchhike?\No, I don't have anything particular in mind.\Listen, Mob.\There's no need to rush into things.\In my expert opinion, I'd say the going-home club is the absolute best.\You're just goofing off during the period you can goof off the most,\and that makes you a winner in my book. response:	Keep on lazing around and make money from me. Got it?
context: Hitchhike?\No, I don't have anything particular in mind.\Listen, Mob.\There's no need to rush into things.\In my expert opinion, I'd say the going-home club is the absolute best.\You're just goofing off during the period you can goof off the most,\and that makes you a winner in my book.\Keep on lazing around and make money from me. Got it? response:	Wait a sec, Takenaka!
context: No, I don't have anything particular in mind.\Listen, Mob.\There's no need to rush into things.\In my expert opinion, I'd say the going-home club is the absolute best.\You're just goofing off during the period you can goof off the most,\and that makes you a winner in my book.\Keep on lazing around and make money from me. Got it?\Wait a sec, Takenaka! response:	I get treated like a weirdo just for being in this club!
context: Listen, Mob.\There's no need to rush into things.\In my expert opinion, I'd say the going-home club is the absolute best.\You're just goofing off during the period you can goof off the most,\and that makes you a winner in my book.\Keep on lazing around and make money from me. Got it?\Wait a sec, Takenaka!\I get treated like a weirdo just for being in this club! response:	Telepathy Club
context: There's no need to rush into things.\In my expert opinion, I'd say the going-home club is the absolute best.\You're just goofing off during the period you can goof off the most,\and that makes you a winner in my book.\Keep on lazing around and make money from me. Got it?\Wait a sec, Takenaka!\I get treated like a weirdo just for being in this club!\Telepathy Club response:	Just wait!
context: In my expert opinion, I'd say the going-home club is the absolute best.\You're just goofing off during the period you can goof off the most,\and that makes you a winner in my book.\Keep on lazing around and make money from me. Got it?\Wait a sec, Takenaka!\I get treated like a weirdo just for being in this club!\Telepathy Club\Just wait! response:	I can't do it anymore!
context: You're just goofing off during the period you can goof off the most,\and that makes you a winner in my book.\Keep on lazing around and make money from me. Got it?\Wait a sec, Takenaka!\I get treated like a weirdo just for being in this club!\Telepathy Club\Just wait!\I can't do it anymore! response:	This isn't good.
context: and that makes you a winner in my book.\Keep on lazing around and make money from me. Got it?\Wait a sec, Takenaka!\I get treated like a weirdo just for being in this club!\Telepathy Club\Just wait!\I can't do it anymore!\This isn't good. response:	A club must have five or more members, right?
context: Keep on lazing around and make money from me. Got it?\Wait a sec, Takenaka!\I get treated like a weirdo just for being in this club!\Telepathy Club\Just wait!\I can't do it anymore!\This isn't good.\A club must have five or more members, right? response:	What should we do, President?
context: Wait a sec, Takenaka!\I get treated like a weirdo just for being in this club!\Telepathy Club\Just wait!\I can't do it anymore!\This isn't good.\A club must have five or more members, right?\What should we do, President? response:	What else can we do?
context: I get treated like a weirdo just for being in this club!\Telepathy Club\Just wait!\I can't do it anymore!\This isn't good.\A club must have five or more members, right?\What should we do, President?\What else can we do? response:	We have to find new members like our lives depend on it!
context: Telepathy Club\Just wait!\I can't do it anymore!\This isn't good.\A club must have five or more members, right?\What should we do, President?\What else can we do?\We have to find new members like our lives depend on it! response:	Telepathy Club President: Kurata Tome
context: Just wait!\I can't do it anymore!\This isn't good.\A club must have five or more members, right?\What should we do, President?\What else can we do?\We have to find new members like our lives depend on it!\Telepathy Club President: Kurata Tome response:	Maybe Takenaka-san came back.
context: I can't do it anymore!\This isn't good.\A club must have five or more members, right?\What should we do, President?\What else can we do?\We have to find new members like our lives depend on it!\Telepathy Club President: Kurata Tome\Maybe Takenaka-san came back. response:	That's gotta be it! Takenaka!
context: This isn't good.\A club must have five or more members, right?\What should we do, President?\What else can we do?\We have to find new members like our lives depend on it!\Telepathy Club President: Kurata Tome\Maybe Takenaka-san came back.\That's gotta be it! Takenaka! response:	Student Council
context: A club must have five or more members, right?\What should we do, President?\What else can we do?\We have to find new members like our lives depend on it!\Telepathy Club President: Kurata Tome\Maybe Takenaka-san came back.\That's gotta be it! Takenaka!\Student Council response:	I just received a submission of resignation from this club, so be forewarned...
context: What should we do, President?\What else can we do?\We have to find new members like our lives depend on it!\Telepathy Club President: Kurata Tome\Maybe Takenaka-san came back.\That's gotta be it! Takenaka!\Student Council\I just received a submission of resignation from this club, so be forewarned... response:	The...
context: What else can we do?\We have to find new members like our lives depend on it!\Telepathy Club President: Kurata Tome\Maybe Takenaka-san came back.\That's gotta be it! Takenaka!\Student Council\I just received a submission of resignation from this club, so be forewarned...\The... response:	The student council!
context: We have to find new members like our lives depend on it!\Telepathy Club President: Kurata Tome\Maybe Takenaka-san came back.\That's gotta be it! Takenaka!\Student Council\I just received a submission of resignation from this club, so be forewarned...\The...\The student council! response:	Student Council Vice President: Tokugawa
context: Telepathy Club President: Kurata Tome\Maybe Takenaka-san came back.\That's gotta be it! Takenaka!\Student Council\I just received a submission of resignation from this club, so be forewarned...\The...\The student council!\Student Council Vice President: Tokugawa response:	This club will now be abolished.
context: Maybe Takenaka-san came back.\That's gotta be it! Takenaka!\Student Council\I just received a submission of resignation from this club, so be forewarned...\The...\The student council!\Student Council Vice President: Tokugawa\This club will now be abolished. response:	Abolished?
context: That's gotta be it! Takenaka!\Student Council\I just received a submission of resignation from this club, so be forewarned...\The...\The student council!\Student Council Vice President: Tokugawa\This club will now be abolished.\Abolished? response:	Already?!
context: Student Council\I just received a submission of resignation from this club, so be forewarned...\The...\The student council!\Student Council Vice President: Tokugawa\This club will now be abolished.\Abolished?\Already?! response:	Sadly, I'm going to have to ask you to gather all of your things.
context: I just received a submission of resignation from this club, so be forewarned...\The...\The student council!\Student Council Vice President: Tokugawa\This club will now be abolished.\Abolished?\Already?!\Sadly, I'm going to have to ask you to gather all of your things. response:	I actually just had a brand-new club request a club room.
context: The...\The student council!\Student Council Vice President: Tokugawa\This club will now be abolished.\Abolished?\Already?!\Sadly, I'm going to have to ask you to gather all of your things.\I actually just had a brand-new club request a club room. response:	Q-Quit jumping the gun!
