context: The Third Plate response:	Nine
context: What's wrong, Marui?!\Wh-What's going on?!\Yukihira Soma\Eizan Etsuya\In the Shokugeki between Yukihira Soma and Eizan Etsuya,\Yukihira Soma won with a score of 3 to 0.\Eizan Etsuya\Soma-kun won... response:	I repeat, in the Shokugeki between Yukihira Soma and Eizan Etsuya...
context: Wh-What's going on?!\Yukihira Soma\Eizan Etsuya\In the Shokugeki between Yukihira Soma and Eizan Etsuya,\Yukihira Soma won with a score of 3 to 0.\Eizan Etsuya\Soma-kun won...\I repeat, in the Shokugeki between Yukihira Soma and Eizan Etsuya... response:	But how?!
context: Yukihira Soma\Eizan Etsuya\In the Shokugeki between Yukihira Soma and Eizan Etsuya,\Yukihira Soma won with a score of 3 to 0.\Eizan Etsuya\Soma-kun won...\I repeat, in the Shokugeki between Yukihira Soma and Eizan Etsuya...\But how?! response:	Yukihira!
context: Eizan Etsuya\In the Shokugeki between Yukihira Soma and Eizan Etsuya,\Yukihira Soma won with a score of 3 to 0.\Eizan Etsuya\Soma-kun won...\I repeat, in the Shokugeki between Yukihira Soma and Eizan Etsuya...\But how?!\Yukihira! response:	He really beat the Ninth Seat of the Elite Ten...
context: In the Shokugeki between Yukihira Soma and Eizan Etsuya,\Yukihira Soma won with a score of 3 to 0.\Eizan Etsuya\Soma-kun won...\I repeat, in the Shokugeki between Yukihira Soma and Eizan Etsuya...\But how?!\Yukihira!\He really beat the Ninth Seat of the Elite Ten... response:	Eizan might've taken the Shokugeki more seriously
context: Yukihira Soma won with a score of 3 to 0.\Eizan Etsuya\Soma-kun won...\I repeat, in the Shokugeki between Yukihira Soma and Eizan Etsuya...\But how?!\Yukihira!\He really beat the Ninth Seat of the Elite Ten...\Eizan might've taken the Shokugeki more seriously response:	if he'd wagered his seat, but...
context: Eizan Etsuya\Soma-kun won...\I repeat, in the Shokugeki between Yukihira Soma and Eizan Etsuya...\But how?!\Yukihira!\He really beat the Ninth Seat of the Elite Ten...\Eizan might've taken the Shokugeki more seriously\if he'd wagered his seat, but... response:	Yukihira Soma...
context: Soma-kun won...\I repeat, in the Shokugeki between Yukihira Soma and Eizan Etsuya...\But how?!\Yukihira!\He really beat the Ninth Seat of the Elite Ten...\Eizan might've taken the Shokugeki more seriously\if he'd wagered his seat, but...\Yukihira Soma... response:	Hey, Isshiki. Hard at work on the paperwork, huh?
context: I repeat, in the Shokugeki between Yukihira Soma and Eizan Etsuya...\But how?!\Yukihira!\He really beat the Ninth Seat of the Elite Ten...\Eizan might've taken the Shokugeki more seriously\if he'd wagered his seat, but...\Yukihira Soma...\Hey, Isshiki. Hard at work on the paperwork, huh? response:	Are you cool with all of this, though?
context: But how?!\Yukihira!\He really beat the Ninth Seat of the Elite Ten...\Eizan might've taken the Shokugeki more seriously\if he'd wagered his seat, but...\Yukihira Soma...\Hey, Isshiki. Hard at work on the paperwork, huh?\Are you cool with all of this, though? response:	Your dorm's about to get shut down.
context: Yukihira!\He really beat the Ninth Seat of the Elite Ten...\Eizan might've taken the Shokugeki more seriously\if he'd wagered his seat, but...\Yukihira Soma...\Hey, Isshiki. Hard at work on the paperwork, huh?\Are you cool with all of this, though?\Your dorm's about to get shut down. response:	How can you just watch that happen from over there?
context: He really beat the Ninth Seat of the Elite Ten...\Eizan might've taken the Shokugeki more seriously\if he'd wagered his seat, but...\Yukihira Soma...\Hey, Isshiki. Hard at work on the paperwork, huh?\Are you cool with all of this, though?\Your dorm's about to get shut down.\How can you just watch that happen from over there? response:	Polar Star Dormitory won't get shut down.
context: Eizan might've taken the Shokugeki more seriously\if he'd wagered his seat, but...\Yukihira Soma...\Hey, Isshiki. Hard at work on the paperwork, huh?\Are you cool with all of this, though?\Your dorm's about to get shut down.\How can you just watch that happen from over there?\Polar Star Dormitory won't get shut down. response:	Soma-kun knows that the true worth of a chef
context: if he'd wagered his seat, but...\Yukihira Soma...\Hey, Isshiki. Hard at work on the paperwork, huh?\Are you cool with all of this, though?\Your dorm's about to get shut down.\How can you just watch that happen from over there?\Polar Star Dormitory won't get shut down.\Soma-kun knows that the true worth of a chef response:	can only be gauged through their creations.
context: Yukihira Soma...\Hey, Isshiki. Hard at work on the paperwork, huh?\Are you cool with all of this, though?\Your dorm's about to get shut down.\How can you just watch that happen from over there?\Polar Star Dormitory won't get shut down.\Soma-kun knows that the true worth of a chef\can only be gauged through their creations. response:	I know what he's capable of.
context: Hey, Isshiki. Hard at work on the paperwork, huh?\Are you cool with all of this, though?\Your dorm's about to get shut down.\How can you just watch that happen from over there?\Polar Star Dormitory won't get shut down.\Soma-kun knows that the true worth of a chef\can only be gauged through their creations.\I know what he's capable of. response:	He will easily overcome Eizan-kun's rigged match.
context: Are you cool with all of this, though?\Your dorm's about to get shut down.\How can you just watch that happen from over there?\Polar Star Dormitory won't get shut down.\Soma-kun knows that the true worth of a chef\can only be gauged through their creations.\I know what he's capable of.\He will easily overcome Eizan-kun's rigged match. response:	Rather, what will be critical is what follows that match.
context: Your dorm's about to get shut down.\How can you just watch that happen from over there?\Polar Star Dormitory won't get shut down.\Soma-kun knows that the true worth of a chef\can only be gauged through their creations.\I know what he's capable of.\He will easily overcome Eizan-kun's rigged match.\Rather, what will be critical is what follows that match. response:	That is when the true battle begins.
context: How can you just watch that happen from over there?\Polar Star Dormitory won't get shut down.\Soma-kun knows that the true worth of a chef\can only be gauged through their creations.\I know what he's capable of.\He will easily overcome Eizan-kun's rigged match.\Rather, what will be critical is what follows that match.\That is when the true battle begins. response:	I must make the necessary preparations for that, no matter what happens.
context: Polar Star Dormitory won't get shut down.\Soma-kun knows that the true worth of a chef\can only be gauged through their creations.\I know what he's capable of.\He will easily overcome Eizan-kun's rigged match.\Rather, what will be critical is what follows that match.\That is when the true battle begins.\I must make the necessary preparations for that, no matter what happens. response:	Looks like things are playing out exactly as Isshiki had imagined.
context: Soma-kun knows that the true worth of a chef\can only be gauged through their creations.\I know what he's capable of.\He will easily overcome Eizan-kun's rigged match.\Rather, what will be critical is what follows that match.\That is when the true battle begins.\I must make the necessary preparations for that, no matter what happens.\Looks like things are playing out exactly as Isshiki had imagined. response:	Yukihira Soma
context: can only be gauged through their creations.\I know what he's capable of.\He will easily overcome Eizan-kun's rigged match.\Rather, what will be critical is what follows that match.\That is when the true battle begins.\I must make the necessary preparations for that, no matter what happens.\Looks like things are playing out exactly as Isshiki had imagined.\Yukihira Soma response:	Eizan Etsuya
context: I know what he's capable of.\He will easily overcome Eizan-kun's rigged match.\Rather, what will be critical is what follows that match.\That is when the true battle begins.\I must make the necessary preparations for that, no matter what happens.\Looks like things are playing out exactly as Isshiki had imagined.\Yukihira Soma\Eizan Etsuya response:	So the eviction's been canceled.
context: He will easily overcome Eizan-kun's rigged match.\Rather, what will be critical is what follows that match.\That is when the true battle begins.\I must make the necessary preparations for that, no matter what happens.\Looks like things are playing out exactly as Isshiki had imagined.\Yukihira Soma\Eizan Etsuya\So the eviction's been canceled. response:	Yay!
context: Rather, what will be critical is what follows that match.\That is when the true battle begins.\I must make the necessary preparations for that, no matter what happens.\Looks like things are playing out exactly as Isshiki had imagined.\Yukihira Soma\Eizan Etsuya\So the eviction's been canceled.\Yay! response:	Nice! They're leaving!
context: That is when the true battle begins.\I must make the necessary preparations for that, no matter what happens.\Looks like things are playing out exactly as Isshiki had imagined.\Yukihira Soma\Eizan Etsuya\So the eviction's been canceled.\Yay!\Nice! They're leaving! response:	Shove it!
context: I must make the necessary preparations for that, no matter what happens.\Looks like things are playing out exactly as Isshiki had imagined.\Yukihira Soma\Eizan Etsuya\So the eviction's been canceled.\Yay!\Nice! They're leaving!\Shove it! response:	So Polar Star Dormitory's safe!
context: Looks like things are playing out exactly as Isshiki had imagined.\Yukihira Soma\Eizan Etsuya\So the eviction's been canceled.\Yay!\Nice! They're leaving!\Shove it!\So Polar Star Dormitory's safe! response:	I'm back.
context: Yukihira Soma\Eizan Etsuya\So the eviction's been canceled.\Yay!\Nice! They're leaving!\Shove it!\So Polar Star Dormitory's safe!\I'm back. response:	You idiot!
context: Eizan Etsuya\So the eviction's been canceled.\Yay!\Nice! They're leaving!\Shove it!\So Polar Star Dormitory's safe!\I'm back.\You idiot! response:	You up and did a Shokugeki all by yourself!
context: So the eviction's been canceled.\Yay!\Nice! They're leaving!\Shove it!\So Polar Star Dormitory's safe!\I'm back.\You idiot!\You up and did a Shokugeki all by yourself! response:	You didn't even talk to us!
context: Yay!\Nice! They're leaving!\Shove it!\So Polar Star Dormitory's safe!\I'm back.\You idiot!\You up and did a Shokugeki all by yourself!\You didn't even talk to us! response:	You're so reckless!
context: Nice! They're leaving!\Shove it!\So Polar Star Dormitory's safe!\I'm back.\You idiot!\You up and did a Shokugeki all by yourself!\You didn't even talk to us!\You're so reckless! response:	You idiot! Fool! Nincompoop!
context: Shove it!\So Polar Star Dormitory's safe!\I'm back.\You idiot!\You up and did a Shokugeki all by yourself!\You didn't even talk to us!\You're so reckless!\You idiot! Fool! Nincompoop! response:	We were all worried about you.
context: So Polar Star Dormitory's safe!\I'm back.\You idiot!\You up and did a Shokugeki all by yourself!\You didn't even talk to us!\You're so reckless!\You idiot! Fool! Nincompoop!\We were all worried about you. response:	But I'm so relieved now! Seriously.
context: I'm back.\You idiot!\You up and did a Shokugeki all by yourself!\You didn't even talk to us!\You're so reckless!\You idiot! Fool! Nincompoop!\We were all worried about you.\But I'm so relieved now! Seriously. response:	Thanks so much, Yukihira!
context: You idiot!\You up and did a Shokugeki all by yourself!\You didn't even talk to us!\You're so reckless!\You idiot! Fool! Nincompoop!\We were all worried about you.\But I'm so relieved now! Seriously.\Thanks so much, Yukihira! response:	Soma-kun...
context: You up and did a Shokugeki all by yourself!\You didn't even talk to us!\You're so reckless!\You idiot! Fool! Nincompoop!\We were all worried about you.\But I'm so relieved now! Seriously.\Thanks so much, Yukihira!\Soma-kun... response:	Yeah!
context: You didn't even talk to us!\You're so reckless!\You idiot! Fool! Nincompoop!\We were all worried about you.\But I'm so relieved now! Seriously.\Thanks so much, Yukihira!\Soma-kun...\Yeah! response:	But how'd you beat Eizan Etsuya?
context: You're so reckless!\You idiot! Fool! Nincompoop!\We were all worried about you.\But I'm so relieved now! Seriously.\Thanks so much, Yukihira!\Soma-kun...\Yeah!\But how'd you beat Eizan Etsuya? response:	Oh, well a lot of things happened.
context: You idiot! Fool! Nincompoop!\We were all worried about you.\But I'm so relieved now! Seriously.\Thanks so much, Yukihira!\Soma-kun...\Yeah!\But how'd you beat Eizan Etsuya?\Oh, well a lot of things happened. response:	I still can't believe it.
context: We were all worried about you.\But I'm so relieved now! Seriously.\Thanks so much, Yukihira!\Soma-kun...\Yeah!\But how'd you beat Eizan Etsuya?\Oh, well a lot of things happened.\I still can't believe it. response:	So what's with the helmets?
context: But I'm so relieved now! Seriously.\Thanks so much, Yukihira!\Soma-kun...\Yeah!\But how'd you beat Eizan Etsuya?\Oh, well a lot of things happened.\I still can't believe it.\So what's with the helmets? response:	Oh, um, they're from back in the golden age...
context: Thanks so much, Yukihira!\Soma-kun...\Yeah!\But how'd you beat Eizan Etsuya?\Oh, well a lot of things happened.\I still can't believe it.\So what's with the helmets?\Oh, um, they're from back in the golden age... response:	Let's leave the talk for later
context: Soma-kun...\Yeah!\But how'd you beat Eizan Etsuya?\Oh, well a lot of things happened.\I still can't believe it.\So what's with the helmets?\Oh, um, they're from back in the golden age...\Let's leave the talk for later response:	and get back inside the dorm for now.
context: Yeah!\But how'd you beat Eizan Etsuya?\Oh, well a lot of things happened.\I still can't believe it.\So what's with the helmets?\Oh, um, they're from back in the golden age...\Let's leave the talk for later\and get back inside the dorm for now. response:	Yeah!
context: But how'd you beat Eizan Etsuya?\Oh, well a lot of things happened.\I still can't believe it.\So what's with the helmets?\Oh, um, they're from back in the golden age...\Let's leave the talk for later\and get back inside the dorm for now.\Yeah! response:	We need to celebrate how we managed to save our dorm!
context: Oh, well a lot of things happened.\I still can't believe it.\So what's with the helmets?\Oh, um, they're from back in the golden age...\Let's leave the talk for later\and get back inside the dorm for now.\Yeah!\We need to celebrate how we managed to save our dorm! response:	Food Wars
context: I still can't believe it.\So what's with the helmets?\Oh, um, they're from back in the golden age...\Let's leave the talk for later\and get back inside the dorm for now.\Yeah!\We need to celebrate how we managed to save our dorm!\Food Wars response:	The Third Plate
context: So what's with the helmets?\Oh, um, they're from back in the golden age...\Let's leave the talk for later\and get back inside the dorm for now.\Yeah!\We need to celebrate how we managed to save our dorm!\Food Wars\The Third Plate response:	May the Polar Star Shine Eternal Celebration Party
context: Oh, um, they're from back in the golden age...\Let's leave the talk for later\and get back inside the dorm for now.\Yeah!\We need to celebrate how we managed to save our dorm!\Food Wars\The Third Plate\May the Polar Star Shine Eternal Celebration Party response:	Cheers!
context: Let's leave the talk for later\and get back inside the dorm for now.\Yeah!\We need to celebrate how we managed to save our dorm!\Food Wars\The Third Plate\May the Polar Star Shine Eternal Celebration Party\Cheers! response:	Hunting the Survivors
context: and get back inside the dorm for now.\Yeah!\We need to celebrate how we managed to save our dorm!\Food Wars\The Third Plate\May the Polar Star Shine Eternal Celebration Party\Cheers!\Hunting the Survivors response:	Well done, Yukihira.
context: Yeah!\We need to celebrate how we managed to save our dorm!\Food Wars\The Third Plate\May the Polar Star Shine Eternal Celebration Party\Cheers!\Hunting the Survivors\Well done, Yukihira. response:	You too, Arato!
context: We need to celebrate how we managed to save our dorm!\Food Wars\The Third Plate\May the Polar Star Shine Eternal Celebration Party\Cheers!\Hunting the Survivors\Well done, Yukihira.\You too, Arato! response:	Yukihira!
context: Food Wars\The Third Plate\May the Polar Star Shine Eternal Celebration Party\Cheers!\Hunting the Survivors\Well done, Yukihira.\You too, Arato!\Yukihira! response:	I was watching your Shokugeki!
context: The Third Plate\May the Polar Star Shine Eternal Celebration Party\Cheers!\Hunting the Survivors\Well done, Yukihira.\You too, Arato!\Yukihira!\I was watching your Shokugeki! response:	Takumi-cchi, Isami-cchi.
context: May the Polar Star Shine Eternal Celebration Party\Cheers!\Hunting the Survivors\Well done, Yukihira.\You too, Arato!\Yukihira!\I was watching your Shokugeki!\Takumi-cchi, Isami-cchi. response:	Takumi-kun's in his usual lecture mode.
context: Cheers!\Hunting the Survivors\Well done, Yukihira.\You too, Arato!\Yukihira!\I was watching your Shokugeki!\Takumi-cchi, Isami-cchi.\Takumi-kun's in his usual lecture mode. response:	Nag, nag, nag, nag, nag...
context: Hunting the Survivors\Well done, Yukihira.\You too, Arato!\Yukihira!\I was watching your Shokugeki!\Takumi-cchi, Isami-cchi.\Takumi-kun's in his usual lecture mode.\Nag, nag, nag, nag, nag... response:	Oh?
context: Well done, Yukihira.\You too, Arato!\Yukihira!\I was watching your Shokugeki!\Takumi-cchi, Isami-cchi.\Takumi-kun's in his usual lecture mode.\Nag, nag, nag, nag, nag...\Oh? response:	You're not mad at him?
context: You too, Arato!\Yukihira!\I was watching your Shokugeki!\Takumi-cchi, Isami-cchi.\Takumi-kun's in his usual lecture mode.\Nag, nag, nag, nag, nag...\Oh?\You're not mad at him? response:	No lectures?
context: Yukihira!\I was watching your Shokugeki!\Takumi-cchi, Isami-cchi.\Takumi-kun's in his usual lecture mode.\Nag, nag, nag, nag, nag...\Oh?\You're not mad at him?\No lectures? response:	He had no choice.
context: I was watching your Shokugeki!\Takumi-cchi, Isami-cchi.\Takumi-kun's in his usual lecture mode.\Nag, nag, nag, nag, nag...\Oh?\You're not mad at him?\No lectures?\He had no choice. response:	Your home was under threat.
context: Takumi-cchi, Isami-cchi.\Takumi-kun's in his usual lecture mode.\Nag, nag, nag, nag, nag...\Oh?\You're not mad at him?\No lectures?\He had no choice.\Your home was under threat. response:	Even I would've done the same.
context: Takumi-kun's in his usual lecture mode.\Nag, nag, nag, nag, nag...\Oh?\You're not mad at him?\No lectures?\He had no choice.\Your home was under threat.\Even I would've done the same. response:	Takumi-kun...
context: Nag, nag, nag, nag, nag...\Oh?\You're not mad at him?\No lectures?\He had no choice.\Your home was under threat.\Even I would've done the same.\Takumi-kun... response:	Nakiri-san, hello.
context: Oh?\You're not mad at him?\No lectures?\He had no choice.\Your home was under threat.\Even I would've done the same.\Takumi-kun...\Nakiri-san, hello. response:	Wow!
context: You're not mad at him?\No lectures?\He had no choice.\Your home was under threat.\Even I would've done the same.\Takumi-kun...\Nakiri-san, hello.\Wow! response:	You were really at Polar Star Dormitory.
context: No lectures?\He had no choice.\Your home was under threat.\Even I would've done the same.\Takumi-kun...\Nakiri-san, hello.\Wow!\You were really at Polar Star Dormitory. response:	H-Hello, Aldini brothers.
context: He had no choice.\Your home was under threat.\Even I would've done the same.\Takumi-kun...\Nakiri-san, hello.\Wow!\You were really at Polar Star Dormitory.\H-Hello, Aldini brothers. response:	In any case, this is a night to celebrate!
context: Your home was under threat.\Even I would've done the same.\Takumi-kun...\Nakiri-san, hello.\Wow!\You were really at Polar Star Dormitory.\H-Hello, Aldini brothers.\In any case, this is a night to celebrate! response:	You guys should eat before you go!
context: Even I would've done the same.\Takumi-kun...\Nakiri-san, hello.\Wow!\You were really at Polar Star Dormitory.\H-Hello, Aldini brothers.\In any case, this is a night to celebrate!\You guys should eat before you go! response:	I guess he did just wrap up a really challenging match.
context: Takumi-kun...\Nakiri-san, hello.\Wow!\You were really at Polar Star Dormitory.\H-Hello, Aldini brothers.\In any case, this is a night to celebrate!\You guys should eat before you go!\I guess he did just wrap up a really challenging match. response:	All the tension's left him.
context: Nakiri-san, hello.\Wow!\You were really at Polar Star Dormitory.\H-Hello, Aldini brothers.\In any case, this is a night to celebrate!\You guys should eat before you go!\I guess he did just wrap up a really challenging match.\All the tension's left him. response:	But man, you're amazing, Yukihira.
context: Wow!\You were really at Polar Star Dormitory.\H-Hello, Aldini brothers.\In any case, this is a night to celebrate!\You guys should eat before you go!\I guess he did just wrap up a really challenging match.\All the tension's left him.\But man, you're amazing, Yukihira. response:	You crushed the Ninth Seat in a Shokugeki.
context: You were really at Polar Star Dormitory.\H-Hello, Aldini brothers.\In any case, this is a night to celebrate!\You guys should eat before you go!\I guess he did just wrap up a really challenging match.\All the tension's left him.\But man, you're amazing, Yukihira.\You crushed the Ninth Seat in a Shokugeki. response:	That means you might even win against the Tenth Seat, Nakiri-chan.
context: H-Hello, Aldini brothers.\In any case, this is a night to celebrate!\You guys should eat before you go!\I guess he did just wrap up a really challenging match.\All the tension's left him.\But man, you're amazing, Yukihira.\You crushed the Ninth Seat in a Shokugeki.\That means you might even win against the Tenth Seat, Nakiri-chan. response:	What?!
context: In any case, this is a night to celebrate!\You guys should eat before you go!\I guess he did just wrap up a really challenging match.\All the tension's left him.\But man, you're amazing, Yukihira.\You crushed the Ninth Seat in a Shokugeki.\That means you might even win against the Tenth Seat, Nakiri-chan.\What?! response:	Don't be ridiculous! How rude!
context: You guys should eat before you go!\I guess he did just wrap up a really challenging match.\All the tension's left him.\But man, you're amazing, Yukihira.\You crushed the Ninth Seat in a Shokugeki.\That means you might even win against the Tenth Seat, Nakiri-chan.\What?!\Don't be ridiculous! How rude! response:	And who are you calling Nakiri-chan?
context: I guess he did just wrap up a really challenging match.\All the tension's left him.\But man, you're amazing, Yukihira.\You crushed the Ninth Seat in a Shokugeki.\That means you might even win against the Tenth Seat, Nakiri-chan.\What?!\Don't be ridiculous! How rude!\And who are you calling Nakiri-chan? response:	What?
context: All the tension's left him.\But man, you're amazing, Yukihira.\You crushed the Ninth Seat in a Shokugeki.\That means you might even win against the Tenth Seat, Nakiri-chan.\What?!\Don't be ridiculous! How rude!\And who are you calling Nakiri-chan?\What? response:	Erina-cchi...
context: But man, you're amazing, Yukihira.\You crushed the Ninth Seat in a Shokugeki.\That means you might even win against the Tenth Seat, Nakiri-chan.\What?!\Don't be ridiculous! How rude!\And who are you calling Nakiri-chan?\What?\Erina-cchi... response:	Chan = No Good
context: You crushed the Ninth Seat in a Shokugeki.\That means you might even win against the Tenth Seat, Nakiri-chan.\What?!\Don't be ridiculous! How rude!\And who are you calling Nakiri-chan?\What?\Erina-cchi...\Chan = No Good response:	But you let Yoshino call you Erina-cchi.
context: That means you might even win against the Tenth Seat, Nakiri-chan.\What?!\Don't be ridiculous! How rude!\And who are you calling Nakiri-chan?\What?\Erina-cchi...\Chan = No Good\But you let Yoshino call you Erina-cchi. response:	You can't use chan with me!
context: What?!\Don't be ridiculous! How rude!\And who are you calling Nakiri-chan?\What?\Erina-cchi...\Chan = No Good\But you let Yoshino call you Erina-cchi.\You can't use chan with me! response:	It's too undignified!
context: Don't be ridiculous! How rude!\And who are you calling Nakiri-chan?\What?\Erina-cchi...\Chan = No Good\But you let Yoshino call you Erina-cchi.\You can't use chan with me!\It's too undignified! response:	Yes! That's right!
context: And who are you calling Nakiri-chan?\What?\Erina-cchi...\Chan = No Good\But you let Yoshino call you Erina-cchi.\You can't use chan with me!\It's too undignified!\Yes! That's right! response:	Besides, Erina-sama is only the Tenth Seat due to her restraint.
context: What?\Erina-cchi...\Chan = No Good\But you let Yoshino call you Erina-cchi.\You can't use chan with me!\It's too undignified!\Yes! That's right!\Besides, Erina-sama is only the Tenth Seat due to her restraint. response:	Her true abilities would place her at a higher
context: Erina-cchi...\Chan = No Good\But you let Yoshino call you Erina-cchi.\You can't use chan with me!\It's too undignified!\Yes! That's right!\Besides, Erina-sama is only the Tenth Seat due to her restraint.\Her true abilities would place her at a higher response:	Oh, well. I was the one who suggested the topic for that Shokugeki.
context: Chan = No Good\But you let Yoshino call you Erina-cchi.\You can't use chan with me!\It's too undignified!\Yes! That's right!\Besides, Erina-sama is only the Tenth Seat due to her restraint.\Her true abilities would place her at a higher\Oh, well. I was the one who suggested the topic for that Shokugeki. response:	Even though Eizan-senpai came up with his dish halfway through the thing,
context: But you let Yoshino call you Erina-cchi.\You can't use chan with me!\It's too undignified!\Yes! That's right!\Besides, Erina-sama is only the Tenth Seat due to her restraint.\Her true abilities would place her at a higher\Oh, well. I was the one who suggested the topic for that Shokugeki.\Even though Eizan-senpai came up with his dish halfway through the thing, response:	he still managed to create something impressive.
context: You can't use chan with me!\It's too undignified!\Yes! That's right!\Besides, Erina-sama is only the Tenth Seat due to her restraint.\Her true abilities would place her at a higher\Oh, well. I was the one who suggested the topic for that Shokugeki.\Even though Eizan-senpai came up with his dish halfway through the thing,\he still managed to create something impressive. response:	I want to face him soon on equal terms.
context: It's too undignified!\Yes! That's right!\Besides, Erina-sama is only the Tenth Seat due to her restraint.\Her true abilities would place her at a higher\Oh, well. I was the one who suggested the topic for that Shokugeki.\Even though Eizan-senpai came up with his dish halfway through the thing,\he still managed to create something impressive.\I want to face him soon on equal terms. response:	So it wasn't a satisfactory victory.
context: Yes! That's right!\Besides, Erina-sama is only the Tenth Seat due to her restraint.\Her true abilities would place her at a higher\Oh, well. I was the one who suggested the topic for that Shokugeki.\Even though Eizan-senpai came up with his dish halfway through the thing,\he still managed to create something impressive.\I want to face him soon on equal terms.\So it wasn't a satisfactory victory. response:	I get you, Yukihira!
context: Besides, Erina-sama is only the Tenth Seat due to her restraint.\Her true abilities would place her at a higher\Oh, well. I was the one who suggested the topic for that Shokugeki.\Even though Eizan-senpai came up with his dish halfway through the thing,\he still managed to create something impressive.\I want to face him soon on equal terms.\So it wasn't a satisfactory victory.\I get you, Yukihira! response:	Now that I think about it,
context: Her true abilities would place her at a higher\Oh, well. I was the one who suggested the topic for that Shokugeki.\Even though Eizan-senpai came up with his dish halfway through the thing,\he still managed to create something impressive.\I want to face him soon on equal terms.\So it wasn't a satisfactory victory.\I get you, Yukihira!\Now that I think about it, response:	what's going on with the other groups who are facing shutdowns?
context: Oh, well. I was the one who suggested the topic for that Shokugeki.\Even though Eizan-senpai came up with his dish halfway through the thing,\he still managed to create something impressive.\I want to face him soon on equal terms.\So it wasn't a satisfactory victory.\I get you, Yukihira!\Now that I think about it,\what's going on with the other groups who are facing shutdowns? response:	They're still between a rock and a hard place.
context: Even though Eizan-senpai came up with his dish halfway through the thing,\he still managed to create something impressive.\I want to face him soon on equal terms.\So it wasn't a satisfactory victory.\I get you, Yukihira!\Now that I think about it,\what's going on with the other groups who are facing shutdowns?\They're still between a rock and a hard place. response:	Oh?
context: he still managed to create something impressive.\I want to face him soon on equal terms.\So it wasn't a satisfactory victory.\I get you, Yukihira!\Now that I think about it,\what's going on with the other groups who are facing shutdowns?\They're still between a rock and a hard place.\Oh? response:	But thanks to you, Soma-kun, the situation has slightly improved.
