context: Who are you? response:	Like you, I despise Inuyasha.
context: Kikyo sealed you to the tree.\Did he want to make you despise each other?\Or was he trying to fill Kikyo's heart with hate and bitterness?\What?\In Kikyo's possession, the Sacred Jewel remained pure.\But when her heart became unclean and hateful...\the Jewel also became unclean and filled with evil strength.\And at that time, only one person would have hoped for that. response:	Do you want to go there... where this man lived?
context: Did he want to make you despise each other?\Or was he trying to fill Kikyo's heart with hate and bitterness?\What?\In Kikyo's possession, the Sacred Jewel remained pure.\But when her heart became unclean and hateful...\the Jewel also became unclean and filled with evil strength.\And at that time, only one person would have hoped for that.\Do you want to go there... where this man lived? response:	My sister had decided so...
context: Or was he trying to fill Kikyo's heart with hate and bitterness?\What?\In Kikyo's possession, the Sacred Jewel remained pure.\But when her heart became unclean and hateful...\the Jewel also became unclean and filled with evil strength.\And at that time, only one person would have hoped for that.\Do you want to go there... where this man lived?\My sister had decided so... response:	But she harbored a thief?
context: What?\In Kikyo's possession, the Sacred Jewel remained pure.\But when her heart became unclean and hateful...\the Jewel also became unclean and filled with evil strength.\And at that time, only one person would have hoped for that.\Do you want to go there... where this man lived?\My sister had decided so...\But she harbored a thief? response:	Because he was unable to move at all.
context: In Kikyo's possession, the Sacred Jewel remained pure.\But when her heart became unclean and hateful...\the Jewel also became unclean and filled with evil strength.\And at that time, only one person would have hoped for that.\Do you want to go there... where this man lived?\My sister had decided so...\But she harbored a thief?\Because he was unable to move at all. response:	He called himself Onigumo.
context: But when her heart became unclean and hateful...\the Jewel also became unclean and filled with evil strength.\And at that time, only one person would have hoped for that.\Do you want to go there... where this man lived?\My sister had decided so...\But she harbored a thief?\Because he was unable to move at all.\He called himself Onigumo. response:	He had terrible burn scars over his entire body.
context: the Jewel also became unclean and filled with evil strength.\And at that time, only one person would have hoped for that.\Do you want to go there... where this man lived?\My sister had decided so...\But she harbored a thief?\Because he was unable to move at all.\He called himself Onigumo.\He had terrible burn scars over his entire body. response:	His face, especially, was badly burned.
context: And at that time, only one person would have hoped for that.\Do you want to go there... where this man lived?\My sister had decided so...\But she harbored a thief?\Because he was unable to move at all.\He called himself Onigumo.\He had terrible burn scars over his entire body.\His face, especially, was badly burned. response:	He probably fell from a cliff...
context: Do you want to go there... where this man lived?\My sister had decided so...\But she harbored a thief?\Because he was unable to move at all.\He called himself Onigumo.\He had terrible burn scars over his entire body.\His face, especially, was badly burned.\He probably fell from a cliff... response:	both his legs were broken.
context: My sister had decided so...\But she harbored a thief?\Because he was unable to move at all.\He called himself Onigumo.\He had terrible burn scars over his entire body.\His face, especially, was badly burned.\He probably fell from a cliff...\both his legs were broken. response:	Still, Onigumo lived.
context: But she harbored a thief?\Because he was unable to move at all.\He called himself Onigumo.\He had terrible burn scars over his entire body.\His face, especially, was badly burned.\He probably fell from a cliff...\both his legs were broken.\Still, Onigumo lived. response:	He was unable to move...
context: Because he was unable to move at all.\He called himself Onigumo.\He had terrible burn scars over his entire body.\His face, especially, was badly burned.\He probably fell from a cliff...\both his legs were broken.\Still, Onigumo lived.\He was unable to move... response:	but he slowly healed and was able to speak.
context: He called himself Onigumo.\He had terrible burn scars over his entire body.\His face, especially, was badly burned.\He probably fell from a cliff...\both his legs were broken.\Still, Onigumo lived.\He was unable to move...\but he slowly healed and was able to speak. response:	However...
context: He had terrible burn scars over his entire body.\His face, especially, was badly burned.\He probably fell from a cliff...\both his legs were broken.\Still, Onigumo lived.\He was unable to move...\but he slowly healed and was able to speak.\However... response:	His true self...
context: His face, especially, was badly burned.\He probably fell from a cliff...\both his legs were broken.\Still, Onigumo lived.\He was unable to move...\but he slowly healed and was able to speak.\However...\His true self... response:	Hey kid...
context: He probably fell from a cliff...\both his legs were broken.\Still, Onigumo lived.\He was unable to move...\but he slowly healed and was able to speak.\However...\His true self...\Hey kid... response:	I'm Kaede.
context: both his legs were broken.\Still, Onigumo lived.\He was unable to move...\but he slowly healed and was able to speak.\However...\His true self...\Hey kid...\I'm Kaede. response:	Your sister has something called the Sacred Jewel.
context: Still, Onigumo lived.\He was unable to move...\but he slowly healed and was able to speak.\However...\His true self...\Hey kid...\I'm Kaede.\Your sister has something called the Sacred Jewel. response:	How do you know about that?
context: He was unable to move...\but he slowly healed and was able to speak.\However...\His true self...\Hey kid...\I'm Kaede.\Your sister has something called the Sacred Jewel.\How do you know about that? response:	All bad men are after it.
