context: Friendship is something that is both fascinating and beautiful. response:	It was thanks to its power that the boy was able to escape the bandits' clutches.
context: Hey, would you be careful?\Are you okay?\Yes.\Hey, Albert! Come take a look!\Hey!\Geez, are women all you're good at handling, Mr. Bigshot private secretary?\Every dull drive needs a little stimulation, doesn't it?\Next to me is a hack newspaper reporter, response:	That was amazing!
context: Are you okay?\Yes.\Hey, Albert! Come take a look!\Hey!\Geez, are women all you're good at handling, Mr. Bigshot private secretary?\Every dull drive needs a little stimulation, doesn't it?\Next to me is a hack newspaper reporter,\That was amazing! response:	It was nothing. I was in a special forces unit in the army.
context: Yes.\Hey, Albert! Come take a look!\Hey!\Geez, are women all you're good at handling, Mr. Bigshot private secretary?\Every dull drive needs a little stimulation, doesn't it?\Next to me is a hack newspaper reporter,\That was amazing!\It was nothing. I was in a special forces unit in the army. response:	Muscle reinforcement processing, huh? I'd heard rumors about it...
context: Hey, Albert! Come take a look!\Hey!\Geez, are women all you're good at handling, Mr. Bigshot private secretary?\Every dull drive needs a little stimulation, doesn't it?\Next to me is a hack newspaper reporter,\That was amazing!\It was nothing. I was in a special forces unit in the army.\Muscle reinforcement processing, huh? I'd heard rumors about it... response:	Thank you for your assistance.
context: Hey!\Geez, are women all you're good at handling, Mr. Bigshot private secretary?\Every dull drive needs a little stimulation, doesn't it?\Next to me is a hack newspaper reporter,\That was amazing!\It was nothing. I was in a special forces unit in the army.\Muscle reinforcement processing, huh? I'd heard rumors about it...\Thank you for your assistance. response:	I-I'll get it myself.
context: Geez, are women all you're good at handling, Mr. Bigshot private secretary?\Every dull drive needs a little stimulation, doesn't it?\Next to me is a hack newspaper reporter,\That was amazing!\It was nothing. I was in a special forces unit in the army.\Muscle reinforcement processing, huh? I'd heard rumors about it...\Thank you for your assistance.\I-I'll get it myself. response:	Um... What is your name, if I might ask?
context: Every dull drive needs a little stimulation, doesn't it?\Next to me is a hack newspaper reporter,\That was amazing!\It was nothing. I was in a special forces unit in the army.\Muscle reinforcement processing, huh? I'd heard rumors about it...\Thank you for your assistance.\I-I'll get it myself.\Um... What is your name, if I might ask? response:	It's Valentine.
context: Next to me is a hack newspaper reporter,\That was amazing!\It was nothing. I was in a special forces unit in the army.\Muscle reinforcement processing, huh? I'd heard rumors about it...\Thank you for your assistance.\I-I'll get it myself.\Um... What is your name, if I might ask?\It's Valentine. response:	I-I'm...
context: That was amazing!\It was nothing. I was in a special forces unit in the army.\Muscle reinforcement processing, huh? I'd heard rumors about it...\Thank you for your assistance.\I-I'll get it myself.\Um... What is your name, if I might ask?\It's Valentine.\I-I'm... response:	Hey, Maximilien! Sorry I'm late!
context: It was nothing. I was in a special forces unit in the army.\Muscle reinforcement processing, huh? I'd heard rumors about it...\Thank you for your assistance.\I-I'll get it myself.\Um... What is your name, if I might ask?\It's Valentine.\I-I'm...\Hey, Maximilien! Sorry I'm late! response:	There I was, out on recon, and I stumbled into an enemy nest.
context: Muscle reinforcement processing, huh? I'd heard rumors about it...\Thank you for your assistance.\I-I'll get it myself.\Um... What is your name, if I might ask?\It's Valentine.\I-I'm...\Hey, Maximilien! Sorry I'm late!\There I was, out on recon, and I stumbled into an enemy nest. response:	And when I accidentally dropped my favorite grenade, I went as pale as a ghost!
context: Thank you for your assistance.\I-I'll get it myself.\Um... What is your name, if I might ask?\It's Valentine.\I-I'm...\Hey, Maximilien! Sorry I'm late!\There I was, out on recon, and I stumbled into an enemy nest.\And when I accidentally dropped my favorite grenade, I went as pale as a ghost! response:	From inside the hole, I could hear the Erindanians making threatening clicking noises.
context: I-I'll get it myself.\Um... What is your name, if I might ask?\It's Valentine.\I-I'm...\Hey, Maximilien! Sorry I'm late!\There I was, out on recon, and I stumbled into an enemy nest.\And when I accidentally dropped my favorite grenade, I went as pale as a ghost!\From inside the hole, I could hear the Erindanians making threatening clicking noises. response:	Anyway, I don't subscribe to the theory that they're a sentient race.
context: Um... What is your name, if I might ask?\It's Valentine.\I-I'm...\Hey, Maximilien! Sorry I'm late!\There I was, out on recon, and I stumbled into an enemy nest.\And when I accidentally dropped my favorite grenade, I went as pale as a ghost!\From inside the hole, I could hear the Erindanians making threatening clicking noises.\Anyway, I don't subscribe to the theory that they're a sentient race. response:	Would you like a piece?
context: It's Valentine.\I-I'm...\Hey, Maximilien! Sorry I'm late!\There I was, out on recon, and I stumbled into an enemy nest.\And when I accidentally dropped my favorite grenade, I went as pale as a ghost!\From inside the hole, I could hear the Erindanians making threatening clicking noises.\Anyway, I don't subscribe to the theory that they're a sentient race.\Would you like a piece? response:	In temperament, they're vicious and cruel.
context: I-I'm...\Hey, Maximilien! Sorry I'm late!\There I was, out on recon, and I stumbled into an enemy nest.\And when I accidentally dropped my favorite grenade, I went as pale as a ghost!\From inside the hole, I could hear the Erindanians making threatening clicking noises.\Anyway, I don't subscribe to the theory that they're a sentient race.\Would you like a piece?\In temperament, they're vicious and cruel. response:	Thank you.
context: Hey, Maximilien! Sorry I'm late!\There I was, out on recon, and I stumbled into an enemy nest.\And when I accidentally dropped my favorite grenade, I went as pale as a ghost!\From inside the hole, I could hear the Erindanians making threatening clicking noises.\Anyway, I don't subscribe to the theory that they're a sentient race.\Would you like a piece?\In temperament, they're vicious and cruel.\Thank you. response:	Well, I don't want to go into detail with these ladies present,
context: There I was, out on recon, and I stumbled into an enemy nest.\And when I accidentally dropped my favorite grenade, I went as pale as a ghost!\From inside the hole, I could hear the Erindanians making threatening clicking noises.\Anyway, I don't subscribe to the theory that they're a sentient race.\Would you like a piece?\In temperament, they're vicious and cruel.\Thank you.\Well, I don't want to go into detail with these ladies present, response:	It's delicious!
context: And when I accidentally dropped my favorite grenade, I went as pale as a ghost!\From inside the hole, I could hear the Erindanians making threatening clicking noises.\Anyway, I don't subscribe to the theory that they're a sentient race.\Would you like a piece?\In temperament, they're vicious and cruel.\Thank you.\Well, I don't want to go into detail with these ladies present,\It's delicious! response:	You're a lucky man, Franz!
context: From inside the hole, I could hear the Erindanians making threatening clicking noises.\Anyway, I don't subscribe to the theory that they're a sentient race.\Would you like a piece?\In temperament, they're vicious and cruel.\Thank you.\Well, I don't want to go into detail with these ladies present,\It's delicious!\You're a lucky man, Franz! response:	Once you're married, you'll be able to eat like this every day!
context: Anyway, I don't subscribe to the theory that they're a sentient race.\Would you like a piece?\In temperament, they're vicious and cruel.\Thank you.\Well, I don't want to go into detail with these ladies present,\It's delicious!\You're a lucky man, Franz!\Once you're married, you'll be able to eat like this every day! response:	Um... Where was I?
context: Would you like a piece?\In temperament, they're vicious and cruel.\Thank you.\Well, I don't want to go into detail with these ladies present,\It's delicious!\You're a lucky man, Franz!\Once you're married, you'll be able to eat like this every day!\Um... Where was I? response:	Oh, right! Just then, I thought I was done for!
context: In temperament, they're vicious and cruel.\Thank you.\Well, I don't want to go into detail with these ladies present,\It's delicious!\You're a lucky man, Franz!\Once you're married, you'll be able to eat like this every day!\Um... Where was I?\Oh, right! Just then, I thought I was done for! response:	And who do you suppose showed up then?
context: Thank you.\Well, I don't want to go into detail with these ladies present,\It's delicious!\You're a lucky man, Franz!\Once you're married, you'll be able to eat like this every day!\Um... Where was I?\Oh, right! Just then, I thought I was done for!\And who do you suppose showed up then? response:	None other than Space Cavalry Captain Maximilien Morrel,
context: Well, I don't want to go into detail with these ladies present,\It's delicious!\You're a lucky man, Franz!\Once you're married, you'll be able to eat like this every day!\Um... Where was I?\Oh, right! Just then, I thought I was done for!\And who do you suppose showed up then?\None other than Space Cavalry Captain Maximilien Morrel, response:	You're quite a man to look after a klutz who stumbled his way onto a battlefield.
context: It's delicious!\You're a lucky man, Franz!\Once you're married, you'll be able to eat like this every day!\Um... Where was I?\Oh, right! Just then, I thought I was done for!\And who do you suppose showed up then?\None other than Space Cavalry Captain Maximilien Morrel,\You're quite a man to look after a klutz who stumbled his way onto a battlefield. response:	Where do you hail from?
context: You're a lucky man, Franz!\Once you're married, you'll be able to eat like this every day!\Um... Where was I?\Oh, right! Just then, I thought I was done for!\And who do you suppose showed up then?\None other than Space Cavalry Captain Maximilien Morrel,\You're quite a man to look after a klutz who stumbled his way onto a battlefield.\Where do you hail from? response:	My family is from Marseilles.
context: Once you're married, you'll be able to eat like this every day!\Um... Where was I?\Oh, right! Just then, I thought I was done for!\And who do you suppose showed up then?\None other than Space Cavalry Captain Maximilien Morrel,\You're quite a man to look after a klutz who stumbled his way onto a battlefield.\Where do you hail from?\My family is from Marseilles. response:	That's a rough place.
context: Um... Where was I?\Oh, right! Just then, I thought I was done for!\And who do you suppose showed up then?\None other than Space Cavalry Captain Maximilien Morrel,\You're quite a man to look after a klutz who stumbled his way onto a battlefield.\Where do you hail from?\My family is from Marseilles.\That's a rough place. response:	And you?
context: Oh, right! Just then, I thought I was done for!\And who do you suppose showed up then?\None other than Space Cavalry Captain Maximilien Morrel,\You're quite a man to look after a klutz who stumbled his way onto a battlefield.\Where do you hail from?\My family is from Marseilles.\That's a rough place.\And you? response:	Paris, of course! Admittedly, from the old part of town.
context: And who do you suppose showed up then?\None other than Space Cavalry Captain Maximilien Morrel,\You're quite a man to look after a klutz who stumbled his way onto a battlefield.\Where do you hail from?\My family is from Marseilles.\That's a rough place.\And you?\Paris, of course! Admittedly, from the old part of town. response:	Marseilles... What sort of place is it?
context: None other than Space Cavalry Captain Maximilien Morrel,\You're quite a man to look after a klutz who stumbled his way onto a battlefield.\Where do you hail from?\My family is from Marseilles.\That's a rough place.\And you?\Paris, of course! Admittedly, from the old part of town.\Marseilles... What sort of place is it? response:	When I was young, it was a beautiful harbor town.
context: You're quite a man to look after a klutz who stumbled his way onto a battlefield.\Where do you hail from?\My family is from Marseilles.\That's a rough place.\And you?\Paris, of course! Admittedly, from the old part of town.\Marseilles... What sort of place is it?\When I was young, it was a beautiful harbor town. response:	At any rate, it's not a place that a young lady should venture into.
context: Where do you hail from?\My family is from Marseilles.\That's a rough place.\And you?\Paris, of course! Admittedly, from the old part of town.\Marseilles... What sort of place is it?\When I was young, it was a beautiful harbor town.\At any rate, it's not a place that a young lady should venture into. response:	We haven't climbed up here in a long time.
context: My family is from Marseilles.\That's a rough place.\And you?\Paris, of course! Admittedly, from the old part of town.\Marseilles... What sort of place is it?\When I was young, it was a beautiful harbor town.\At any rate, it's not a place that a young lady should venture into.\We haven't climbed up here in a long time. response:	What a great breeze.
context: That's a rough place.\And you?\Paris, of course! Admittedly, from the old part of town.\Marseilles... What sort of place is it?\When I was young, it was a beautiful harbor town.\At any rate, it's not a place that a young lady should venture into.\We haven't climbed up here in a long time.\What a great breeze. response:	Those clouds look a bit menacing, though.
context: And you?\Paris, of course! Admittedly, from the old part of town.\Marseilles... What sort of place is it?\When I was young, it was a beautiful harbor town.\At any rate, it's not a place that a young lady should venture into.\We haven't climbed up here in a long time.\What a great breeze.\Those clouds look a bit menacing, though. response:	Something interesting catch your eye?
context: Paris, of course! Admittedly, from the old part of town.\Marseilles... What sort of place is it?\When I was young, it was a beautiful harbor town.\At any rate, it's not a place that a young lady should venture into.\We haven't climbed up here in a long time.\What a great breeze.\Those clouds look a bit menacing, though.\Something interesting catch your eye? response:	Why do you suppose there's a need to divide the world with city walls?
context: Marseilles... What sort of place is it?\When I was young, it was a beautiful harbor town.\At any rate, it's not a place that a young lady should venture into.\We haven't climbed up here in a long time.\What a great breeze.\Those clouds look a bit menacing, though.\Something interesting catch your eye?\Why do you suppose there's a need to divide the world with city walls? response:	The ugliness of the outside world exists for the express purpose...
context: When I was young, it was a beautiful harbor town.\At any rate, it's not a place that a young lady should venture into.\We haven't climbed up here in a long time.\What a great breeze.\Those clouds look a bit menacing, though.\Something interesting catch your eye?\Why do you suppose there's a need to divide the world with city walls?\The ugliness of the outside world exists for the express purpose... response:	Maybe, but there's plenty of great things outside the walls.
context: At any rate, it's not a place that a young lady should venture into.\We haven't climbed up here in a long time.\What a great breeze.\Those clouds look a bit menacing, though.\Something interesting catch your eye?\Why do you suppose there's a need to divide the world with city walls?\The ugliness of the outside world exists for the express purpose...\Maybe, but there's plenty of great things outside the walls. response:	Don't you think we should open our eyes a little more?
context: We haven't climbed up here in a long time.\What a great breeze.\Those clouds look a bit menacing, though.\Something interesting catch your eye?\Why do you suppose there's a need to divide the world with city walls?\The ugliness of the outside world exists for the express purpose...\Maybe, but there's plenty of great things outside the walls.\Don't you think we should open our eyes a little more? response:	Oh, have you grown up a little from going on your trip?
context: What a great breeze.\Those clouds look a bit menacing, though.\Something interesting catch your eye?\Why do you suppose there's a need to divide the world with city walls?\The ugliness of the outside world exists for the express purpose...\Maybe, but there's plenty of great things outside the walls.\Don't you think we should open our eyes a little more?\Oh, have you grown up a little from going on your trip? response:	I suppose you're right.
context: Those clouds look a bit menacing, though.\Something interesting catch your eye?\Why do you suppose there's a need to divide the world with city walls?\The ugliness of the outside world exists for the express purpose...\Maybe, but there's plenty of great things outside the walls.\Don't you think we should open our eyes a little more?\Oh, have you grown up a little from going on your trip?\I suppose you're right. response:	So go ahead and take on all the troubles that exist outside the walls.
context: Something interesting catch your eye?\Why do you suppose there's a need to divide the world with city walls?\The ugliness of the outside world exists for the express purpose...\Maybe, but there's plenty of great things outside the walls.\Don't you think we should open our eyes a little more?\Oh, have you grown up a little from going on your trip?\I suppose you're right.\So go ahead and take on all the troubles that exist outside the walls. response:	That should quiet those pangs of boredom of yours a little.
context: Why do you suppose there's a need to divide the world with city walls?\The ugliness of the outside world exists for the express purpose...\Maybe, but there's plenty of great things outside the walls.\Don't you think we should open our eyes a little more?\Oh, have you grown up a little from going on your trip?\I suppose you're right.\So go ahead and take on all the troubles that exist outside the walls.\That should quiet those pangs of boredom of yours a little. response:	That is what we should be looking at.
context: The ugliness of the outside world exists for the express purpose...\Maybe, but there's plenty of great things outside the walls.\Don't you think we should open our eyes a little more?\Oh, have you grown up a little from going on your trip?\I suppose you're right.\So go ahead and take on all the troubles that exist outside the walls.\That should quiet those pangs of boredom of yours a little.\That is what we should be looking at. response:	The High Court of Justice. Danglars Bank.
context: Maybe, but there's plenty of great things outside the walls.\Don't you think we should open our eyes a little more?\Oh, have you grown up a little from going on your trip?\I suppose you're right.\So go ahead and take on all the troubles that exist outside the walls.\That should quiet those pangs of boredom of yours a little.\That is what we should be looking at.\The High Court of Justice. Danglars Bank. response:	And the place your father works at, Space Forces lmperial Headquarters.
context: Don't you think we should open our eyes a little more?\Oh, have you grown up a little from going on your trip?\I suppose you're right.\So go ahead and take on all the troubles that exist outside the walls.\That should quiet those pangs of boredom of yours a little.\That is what we should be looking at.\The High Court of Justice. Danglars Bank.\And the place your father works at, Space Forces lmperial Headquarters. response:	The triangle of power.
context: Oh, have you grown up a little from going on your trip?\I suppose you're right.\So go ahead and take on all the troubles that exist outside the walls.\That should quiet those pangs of boredom of yours a little.\That is what we should be looking at.\The High Court of Justice. Danglars Bank.\And the place your father works at, Space Forces lmperial Headquarters.\The triangle of power. response:	That is the true great thing that we should inherit, don't you think?
context: I suppose you're right.\So go ahead and take on all the troubles that exist outside the walls.\That should quiet those pangs of boredom of yours a little.\That is what we should be looking at.\The High Court of Justice. Danglars Bank.\And the place your father works at, Space Forces lmperial Headquarters.\The triangle of power.\That is the true great thing that we should inherit, don't you think? response:	To me, it feels like we're the ones who have been sealed in.
context: So go ahead and take on all the troubles that exist outside the walls.\That should quiet those pangs of boredom of yours a little.\That is what we should be looking at.\The High Court of Justice. Danglars Bank.\And the place your father works at, Space Forces lmperial Headquarters.\The triangle of power.\That is the true great thing that we should inherit, don't you think?\To me, it feels like we're the ones who have been sealed in. response:	I am now no longer alone in my solitude.
context: That should quiet those pangs of boredom of yours a little.\That is what we should be looking at.\The High Court of Justice. Danglars Bank.\And the place your father works at, Space Forces lmperial Headquarters.\The triangle of power.\That is the true great thing that we should inherit, don't you think?\To me, it feels like we're the ones who have been sealed in.\I am now no longer alone in my solitude. response:	For I am now surrounded by the Furies, the goddesses of vengeance.
context: That is what we should be looking at.\The High Court of Justice. Danglars Bank.\And the place your father works at, Space Forces lmperial Headquarters.\The triangle of power.\That is the true great thing that we should inherit, don't you think?\To me, it feels like we're the ones who have been sealed in.\I am now no longer alone in my solitude.\For I am now surrounded by the Furies, the goddesses of vengeance. response:	In the darkness, I awaited the dawn.
context: The High Court of Justice. Danglars Bank.\And the place your father works at, Space Forces lmperial Headquarters.\The triangle of power.\That is the true great thing that we should inherit, don't you think?\To me, it feels like we're the ones who have been sealed in.\I am now no longer alone in my solitude.\For I am now surrounded by the Furies, the goddesses of vengeance.\In the darkness, I awaited the dawn. response:	And once dawn came, I cursed my flesh until night fell once more.
context: And the place your father works at, Space Forces lmperial Headquarters.\The triangle of power.\That is the true great thing that we should inherit, don't you think?\To me, it feels like we're the ones who have been sealed in.\I am now no longer alone in my solitude.\For I am now surrounded by the Furies, the goddesses of vengeance.\In the darkness, I awaited the dawn.\And once dawn came, I cursed my flesh until night fell once more. response:	I even prayed that I would lose my sanity.
context: The triangle of power.\That is the true great thing that we should inherit, don't you think?\To me, it feels like we're the ones who have been sealed in.\I am now no longer alone in my solitude.\For I am now surrounded by the Furies, the goddesses of vengeance.\In the darkness, I awaited the dawn.\And once dawn came, I cursed my flesh until night fell once more.\I even prayed that I would lose my sanity. response:	But those prayers went unheeded.
context: That is the true great thing that we should inherit, don't you think?\To me, it feels like we're the ones who have been sealed in.\I am now no longer alone in my solitude.\For I am now surrounded by the Furies, the goddesses of vengeance.\In the darkness, I awaited the dawn.\And once dawn came, I cursed my flesh until night fell once more.\I even prayed that I would lose my sanity.\But those prayers went unheeded. response:	I even strove for death, but the Devil's cold, pitiless hand held me back.
context: To me, it feels like we're the ones who have been sealed in.\I am now no longer alone in my solitude.\For I am now surrounded by the Furies, the goddesses of vengeance.\In the darkness, I awaited the dawn.\And once dawn came, I cursed my flesh until night fell once more.\I even prayed that I would lose my sanity.\But those prayers went unheeded.\I even strove for death, but the Devil's cold, pitiless hand held me back. response:	Soon... It won't be long now...
context: I am now no longer alone in my solitude.\For I am now surrounded by the Furies, the goddesses of vengeance.\In the darkness, I awaited the dawn.\And once dawn came, I cursed my flesh until night fell once more.\I even prayed that I would lose my sanity.\But those prayers went unheeded.\I even strove for death, but the Devil's cold, pitiless hand held me back.\Soon... It won't be long now... response:	Boy, what a lousy drive that was...
context: For I am now surrounded by the Furies, the goddesses of vengeance.\In the darkness, I awaited the dawn.\And once dawn came, I cursed my flesh until night fell once more.\I even prayed that I would lose my sanity.\But those prayers went unheeded.\I even strove for death, but the Devil's cold, pitiless hand held me back.\Soon... It won't be long now...\Boy, what a lousy drive that was... response:	Maybe it was punishment for skipping the Cabinet meeting...
