context: Bellows! response:	You've got a delivery!
context: What is that?\Are they pirates?\It's gigantic! We could be in deep shit!\Pinion, wouldn't we be better off just escaping?\Escape? Escape where?!\Come on, we got the cannon and the tin can on our side.\Let's fire a shot off their port bow by way of greeting.\Yeah! response:	Huh...
context: Are they pirates?\It's gigantic! We could be in deep shit!\Pinion, wouldn't we be better off just escaping?\Escape? Escape where?!\Come on, we got the cannon and the tin can on our side.\Let's fire a shot off their port bow by way of greeting.\Yeah!\Huh... response:	Angle of elevation set!
context: It's gigantic! We could be in deep shit!\Pinion, wouldn't we be better off just escaping?\Escape? Escape where?!\Come on, we got the cannon and the tin can on our side.\Let's fire a shot off their port bow by way of greeting.\Yeah!\Huh...\Angle of elevation set! response:	Ready to launch!
context: Pinion, wouldn't we be better off just escaping?\Escape? Escape where?!\Come on, we got the cannon and the tin can on our side.\Let's fire a shot off their port bow by way of greeting.\Yeah!\Huh...\Angle of elevation set!\Ready to launch! response:	Fire!
context: Escape? Escape where?!\Come on, we got the cannon and the tin can on our side.\Let's fire a shot off their port bow by way of greeting.\Yeah!\Huh...\Angle of elevation set!\Ready to launch!\Fire! response:	Fire!
context: Come on, we got the cannon and the tin can on our side.\Let's fire a shot off their port bow by way of greeting.\Yeah!\Huh...\Angle of elevation set!\Ready to launch!\Fire!\Fire! response:	How do you like that? Did we knock some sense...
context: Let's fire a shot off their port bow by way of greeting.\Yeah!\Huh...\Angle of elevation set!\Ready to launch!\Fire!\Fire!\How do you like that? Did we knock some sense... response:	Wha...?!
context: Yeah!\Huh...\Angle of elevation set!\Ready to launch!\Fire!\Fire!\How do you like that? Did we knock some sense...\Wha...?! response:	W-What was that?!
context: Huh...\Angle of elevation set!\Ready to launch!\Fire!\Fire!\How do you like that? Did we knock some sense...\Wha...?!\W-What was that?! response:	It was like lightning...
context: Angle of elevation set!\Ready to launch!\Fire!\Fire!\How do you like that? Did we knock some sense...\Wha...?!\W-What was that?!\It was like lightning... response:	What the hell do you think you're doin' to my treasure?!
context: Ready to launch!\Fire!\Fire!\How do you like that? Did we knock some sense...\Wha...?!\W-What was that?!\It was like lightning...\What the hell do you think you're doin' to my treasure?! response:	What's that?
context: Fire!\Fire!\How do you like that? Did we knock some sense...\Wha...?!\W-What was that?!\It was like lightning...\What the hell do you think you're doin' to my treasure?!\What's that? response:	The tin can?
context: Fire!\How do you like that? Did we knock some sense...\Wha...?!\W-What was that?!\It was like lightning...\What the hell do you think you're doin' to my treasure?!\What's that?\The tin can? response:	No, it's different...
context: How do you like that? Did we knock some sense...\Wha...?!\W-What was that?!\It was like lightning...\What the hell do you think you're doin' to my treasure?!\What's that?\The tin can?\No, it's different... response:	Hey, Ledo! Where's Ledo?!
context: Wha...?!\W-What was that?!\It was like lightning...\What the hell do you think you're doin' to my treasure?!\What's that?\The tin can?\No, it's different...\Hey, Ledo! Where's Ledo?! response:	This is Ensign Ledo.
context: W-What was that?!\It was like lightning...\What the hell do you think you're doin' to my treasure?!\What's that?\The tin can?\No, it's different...\Hey, Ledo! Where's Ledo?!\This is Ensign Ledo. response:	I am now returning to the command of the Galactic Alliance of Humankind army.
context: It was like lightning...\What the hell do you think you're doin' to my treasure?!\What's that?\The tin can?\No, it's different...\Hey, Ledo! Where's Ledo?!\This is Ensign Ledo.\I am now returning to the command of the Galactic Alliance of Humankind army. response:	Hey! What are you talkin' about?!
context: What the hell do you think you're doin' to my treasure?!\What's that?\The tin can?\No, it's different...\Hey, Ledo! Where's Ledo?!\This is Ensign Ledo.\I am now returning to the command of the Galactic Alliance of Humankind army.\Hey! What are you talkin' about?! response:	Ledo! Tin can!
context: What's that?\The tin can?\No, it's different...\Hey, Ledo! Where's Ledo?!\This is Ensign Ledo.\I am now returning to the command of the Galactic Alliance of Humankind army.\Hey! What are you talkin' about?!\Ledo! Tin can! response:	Supreme Ruler of Terror
context: The tin can?\No, it's different...\Hey, Ledo! Where's Ledo?!\This is Ensign Ledo.\I am now returning to the command of the Galactic Alliance of Humankind army.\Hey! What are you talkin' about?!\Ledo! Tin can!\Supreme Ruler of Terror response:	Guide signal received. Now landing.
context: No, it's different...\Hey, Ledo! Where's Ledo?!\This is Ensign Ledo.\I am now returning to the command of the Galactic Alliance of Humankind army.\Hey! What are you talkin' about?!\Ledo! Tin can!\Supreme Ruler of Terror\Guide signal received. Now landing. response:	What are they doing?
context: Hey, Ledo! Where's Ledo?!\This is Ensign Ledo.\I am now returning to the command of the Galactic Alliance of Humankind army.\Hey! What are you talkin' about?!\Ledo! Tin can!\Supreme Ruler of Terror\Guide signal received. Now landing.\What are they doing? response:	Unknown. Conjecture: Collective action to indicate military proficiency.
context: This is Ensign Ledo.\I am now returning to the command of the Galactic Alliance of Humankind army.\Hey! What are you talkin' about?!\Ledo! Tin can!\Supreme Ruler of Terror\Guide signal received. Now landing.\What are they doing?\Unknown. Conjecture: Collective action to indicate military proficiency. response:	These people are under military command?
context: I am now returning to the command of the Galactic Alliance of Humankind army.\Hey! What are you talkin' about?!\Ledo! Tin can!\Supreme Ruler of Terror\Guide signal received. Now landing.\What are they doing?\Unknown. Conjecture: Collective action to indicate military proficiency.\These people are under military command? response:	envoy from the sky, clad in lightning giant.
context: Hey! What are you talkin' about?!\Ledo! Tin can!\Supreme Ruler of Terror\Guide signal received. Now landing.\What are they doing?\Unknown. Conjecture: Collective action to indicate military proficiency.\These people are under military command?\envoy from the sky, clad in lightning giant. response:	In the name of providence, we wish you blessings of prosperity and peace.
context: Ledo! Tin can!\Supreme Ruler of Terror\Guide signal received. Now landing.\What are they doing?\Unknown. Conjecture: Collective action to indicate military proficiency.\These people are under military command?\envoy from the sky, clad in lightning giant.\In the name of providence, we wish you blessings of prosperity and peace. response:	What's she saying?
context: Supreme Ruler of Terror\Guide signal received. Now landing.\What are they doing?\Unknown. Conjecture: Collective action to indicate military proficiency.\These people are under military command?\envoy from the sky, clad in lightning giant.\In the name of providence, we wish you blessings of prosperity and peace.\What's she saying? response:	Speculation: She used an idiomatic expression referring to a Machine Caliber or pilot.
context: Guide signal received. Now landing.\What are they doing?\Unknown. Conjecture: Collective action to indicate military proficiency.\These people are under military command?\envoy from the sky, clad in lightning giant.\In the name of providence, we wish you blessings of prosperity and peace.\What's she saying?\Speculation: She used an idiomatic expression referring to a Machine Caliber or pilot. response:	Where is Commander Kugel?
context: What are they doing?\Unknown. Conjecture: Collective action to indicate military proficiency.\These people are under military command?\envoy from the sky, clad in lightning giant.\In the name of providence, we wish you blessings of prosperity and peace.\What's she saying?\Speculation: She used an idiomatic expression referring to a Machine Caliber or pilot.\Where is Commander Kugel? response:	This way.
context: Unknown. Conjecture: Collective action to indicate military proficiency.\These people are under military command?\envoy from the sky, clad in lightning giant.\In the name of providence, we wish you blessings of prosperity and peace.\What's she saying?\Speculation: She used an idiomatic expression referring to a Machine Caliber or pilot.\Where is Commander Kugel?\This way. response:	Follow me.
context: These people are under military command?\envoy from the sky, clad in lightning giant.\In the name of providence, we wish you blessings of prosperity and peace.\What's she saying?\Speculation: She used an idiomatic expression referring to a Machine Caliber or pilot.\Where is Commander Kugel?\This way.\Follow me. response:	Please wait here.
context: envoy from the sky, clad in lightning giant.\In the name of providence, we wish you blessings of prosperity and peace.\What's she saying?\Speculation: She used an idiomatic expression referring to a Machine Caliber or pilot.\Where is Commander Kugel?\This way.\Follow me.\Please wait here. response:	I beg your pardon for using a holograph.
context: In the name of providence, we wish you blessings of prosperity and peace.\What's she saying?\Speculation: She used an idiomatic expression referring to a Machine Caliber or pilot.\Where is Commander Kugel?\This way.\Follow me.\Please wait here.\I beg your pardon for using a holograph. response:	Commander Kugel!
context: What's she saying?\Speculation: She used an idiomatic expression referring to a Machine Caliber or pilot.\Where is Commander Kugel?\This way.\Follow me.\Please wait here.\I beg your pardon for using a holograph.\Commander Kugel! response:	I can't believe we're meeting on this planet! You were safe all this time!
context: Speculation: She used an idiomatic expression referring to a Machine Caliber or pilot.\Where is Commander Kugel?\This way.\Follow me.\Please wait here.\I beg your pardon for using a holograph.\Commander Kugel!\I can't believe we're meeting on this planet! You were safe all this time! response:	Not safe. I have an endemic disease.
context: Where is Commander Kugel?\This way.\Follow me.\Please wait here.\I beg your pardon for using a holograph.\Commander Kugel!\I can't believe we're meeting on this planet! You were safe all this time!\Not safe. I have an endemic disease. response:	To remain in a sterile environment, I can't leave the cockpit.
context: This way.\Follow me.\Please wait here.\I beg your pardon for using a holograph.\Commander Kugel!\I can't believe we're meeting on this planet! You were safe all this time!\Not safe. I have an endemic disease.\To remain in a sterile environment, I can't leave the cockpit. response:	Are you okay?
context: Follow me.\Please wait here.\I beg your pardon for using a holograph.\Commander Kugel!\I can't believe we're meeting on this planet! You were safe all this time!\Not safe. I have an endemic disease.\To remain in a sterile environment, I can't leave the cockpit.\Are you okay? response:	No problem.
context: Please wait here.\I beg your pardon for using a holograph.\Commander Kugel!\I can't believe we're meeting on this planet! You were safe all this time!\Not safe. I have an endemic disease.\To remain in a sterile environment, I can't leave the cockpit.\Are you okay?\No problem. response:	I see.
context: I beg your pardon for using a holograph.\Commander Kugel!\I can't believe we're meeting on this planet! You were safe all this time!\Not safe. I have an endemic disease.\To remain in a sterile environment, I can't leave the cockpit.\Are you okay?\No problem.\I see. response:	Issuing orders from here is surprisingly a pain.
context: Commander Kugel!\I can't believe we're meeting on this planet! You were safe all this time!\Not safe. I have an endemic disease.\To remain in a sterile environment, I can't leave the cockpit.\Are you okay?\No problem.\I see.\Issuing orders from here is surprisingly a pain. response:	I can imagine.
context: I can't believe we're meeting on this planet! You were safe all this time!\Not safe. I have an endemic disease.\To remain in a sterile environment, I can't leave the cockpit.\Are you okay?\No problem.\I see.\Issuing orders from here is surprisingly a pain.\I can imagine. response:	It helps that you're here.
context: Not safe. I have an endemic disease.\To remain in a sterile environment, I can't leave the cockpit.\Are you okay?\No problem.\I see.\Issuing orders from here is surprisingly a pain.\I can imagine.\It helps that you're here. response:	Well? Will you follow me again?
context: To remain in a sterile environment, I can't leave the cockpit.\Are you okay?\No problem.\I see.\Issuing orders from here is surprisingly a pain.\I can imagine.\It helps that you're here.\Well? Will you follow me again? response:	Of course, Commander!
context: Are you okay?\No problem.\I see.\Issuing orders from here is surprisingly a pain.\I can imagine.\It helps that you're here.\Well? Will you follow me again?\Of course, Commander! response:	From Chamber K6821 to Striker X3752,
context: No problem.\I see.\Issuing orders from here is surprisingly a pain.\I can imagine.\It helps that you're here.\Well? Will you follow me again?\Of course, Commander!\From Chamber K6821 to Striker X3752, response:	requesting information on relevant endemic disease.
context: I see.\Issuing orders from here is surprisingly a pain.\I can imagine.\It helps that you're here.\Well? Will you follow me again?\Of course, Commander!\From Chamber K6821 to Striker X3752,\requesting information on relevant endemic disease. response:	From Striker X3752 to Chamber K6821,
context: Issuing orders from here is surprisingly a pain.\I can imagine.\It helps that you're here.\Well? Will you follow me again?\Of course, Commander!\From Chamber K6821 to Striker X3752,\requesting information on relevant endemic disease.\From Striker X3752 to Chamber K6821, response:	request granted. Transmitting information.
context: I can imagine.\It helps that you're here.\Well? Will you follow me again?\Of course, Commander!\From Chamber K6821 to Striker X3752,\requesting information on relevant endemic disease.\From Striker X3752 to Chamber K6821,\request granted. Transmitting information. response:	Hey, we're surrounded.
context: It helps that you're here.\Well? Will you follow me again?\Of course, Commander!\From Chamber K6821 to Striker X3752,\requesting information on relevant endemic disease.\From Striker X3752 to Chamber K6821,\request granted. Transmitting information.\Hey, we're surrounded. response:	This doesn't look good.
context: Well? Will you follow me again?\Of course, Commander!\From Chamber K6821 to Striker X3752,\requesting information on relevant endemic disease.\From Striker X3752 to Chamber K6821,\request granted. Transmitting information.\Hey, we're surrounded.\This doesn't look good. response:	We've got the treasure.
context: Of course, Commander!\From Chamber K6821 to Striker X3752,\requesting information on relevant endemic disease.\From Striker X3752 to Chamber K6821,\request granted. Transmitting information.\Hey, we're surrounded.\This doesn't look good.\We've got the treasure. response:	You sure we're gonna be okay?!
context: From Chamber K6821 to Striker X3752,\requesting information on relevant endemic disease.\From Striker X3752 to Chamber K6821,\request granted. Transmitting information.\Hey, we're surrounded.\This doesn't look good.\We've got the treasure.\You sure we're gonna be okay?! response:	Don't panic. Worse comes to worst, the tin can will...
context: requesting information on relevant endemic disease.\From Striker X3752 to Chamber K6821,\request granted. Transmitting information.\Hey, we're surrounded.\This doesn't look good.\We've got the treasure.\You sure we're gonna be okay?!\Don't panic. Worse comes to worst, the tin can will... response:	Didn't it leave a little while ago?
context: From Striker X3752 to Chamber K6821,\request granted. Transmitting information.\Hey, we're surrounded.\This doesn't look good.\We've got the treasure.\You sure we're gonna be okay?!\Don't panic. Worse comes to worst, the tin can will...\Didn't it leave a little while ago? response:	It's all over...
context: request granted. Transmitting information.\Hey, we're surrounded.\This doesn't look good.\We've got the treasure.\You sure we're gonna be okay?!\Don't panic. Worse comes to worst, the tin can will...\Didn't it leave a little while ago?\It's all over... response:	O-Okay, calm down.
context: Hey, we're surrounded.\This doesn't look good.\We've got the treasure.\You sure we're gonna be okay?!\Don't panic. Worse comes to worst, the tin can will...\Didn't it leave a little while ago?\It's all over...\O-Okay, calm down. response:	We don't even know what they want yet...
context: This doesn't look good.\We've got the treasure.\You sure we're gonna be okay?!\Don't panic. Worse comes to worst, the tin can will...\Didn't it leave a little while ago?\It's all over...\O-Okay, calm down.\We don't even know what they want yet... response:	They're obviously after the relics!
context: We've got the treasure.\You sure we're gonna be okay?!\Don't panic. Worse comes to worst, the tin can will...\Didn't it leave a little while ago?\It's all over...\O-Okay, calm down.\We don't even know what they want yet...\They're obviously after the relics! response:	How would they know about it?!
context: You sure we're gonna be okay?!\Don't panic. Worse comes to worst, the tin can will...\Didn't it leave a little while ago?\It's all over...\O-Okay, calm down.\We don't even know what they want yet...\They're obviously after the relics!\How would they know about it?! response:	Because you announced it to the world!
context: Don't panic. Worse comes to worst, the tin can will...\Didn't it leave a little while ago?\It's all over...\O-Okay, calm down.\We don't even know what they want yet...\They're obviously after the relics!\How would they know about it?!\Because you announced it to the world! response:	How are you gonna get us out of this?!
context: Didn't it leave a little while ago?\It's all over...\O-Okay, calm down.\We don't even know what they want yet...\They're obviously after the relics!\How would they know about it?!\Because you announced it to the world!\How are you gonna get us out of this?! response:	Well, I, uh... Sorry.
context: It's all over...\O-Okay, calm down.\We don't even know what they want yet...\They're obviously after the relics!\How would they know about it?!\Because you announced it to the world!\How are you gonna get us out of this?!\Well, I, uh... Sorry. response:	Is this any time to be squabbling?
context: O-Okay, calm down.\We don't even know what they want yet...\They're obviously after the relics!\How would they know about it?!\Because you announced it to the world!\How are you gonna get us out of this?!\Well, I, uh... Sorry.\Is this any time to be squabbling? response:	You stay out of it!
context: We don't even know what they want yet...\They're obviously after the relics!\How would they know about it?!\Because you announced it to the world!\How are you gonna get us out of this?!\Well, I, uh... Sorry.\Is this any time to be squabbling?\You stay out of it! response:	Look at what's going on around you. Then everyone return to your posts!
context: They're obviously after the relics!\How would they know about it?!\Because you announced it to the world!\How are you gonna get us out of this?!\Well, I, uh... Sorry.\Is this any time to be squabbling?\You stay out of it!\Look at what's going on around you. Then everyone return to your posts! response:	Thanks for that.
context: How would they know about it?!\Because you announced it to the world!\How are you gonna get us out of this?!\Well, I, uh... Sorry.\Is this any time to be squabbling?\You stay out of it!\Look at what's going on around you. Then everyone return to your posts!\Thanks for that. response:	I heard the owner of that weapon is Ledo's friend...
context: Because you announced it to the world!\How are you gonna get us out of this?!\Well, I, uh... Sorry.\Is this any time to be squabbling?\You stay out of it!\Look at what's going on around you. Then everyone return to your posts!\Thanks for that.\I heard the owner of that weapon is Ledo's friend... response:	Yeah...
context: How are you gonna get us out of this?!\Well, I, uh... Sorry.\Is this any time to be squabbling?\You stay out of it!\Look at what's going on around you. Then everyone return to your posts!\Thanks for that.\I heard the owner of that weapon is Ledo's friend...\Yeah... response:	Then there was more than one visitor from the sky...
context: Well, I, uh... Sorry.\Is this any time to be squabbling?\You stay out of it!\Look at what's going on around you. Then everyone return to your posts!\Thanks for that.\I heard the owner of that weapon is Ledo's friend...\Yeah...\Then there was more than one visitor from the sky... response:	But what in the world does Ledo's friend intend to do with us?
context: Is this any time to be squabbling?\You stay out of it!\Look at what's going on around you. Then everyone return to your posts!\Thanks for that.\I heard the owner of that weapon is Ledo's friend...\Yeah...\Then there was more than one visitor from the sky...\But what in the world does Ledo's friend intend to do with us? response:	Emergency!
context: You stay out of it!\Look at what's going on around you. Then everyone return to your posts!\Thanks for that.\I heard the owner of that weapon is Ledo's friend...\Yeah...\Then there was more than one visitor from the sky...\But what in the world does Ledo's friend intend to do with us?\Emergency! response:	You've got a message from the fleet!
context: Look at what's going on around you. Then everyone return to your posts!\Thanks for that.\I heard the owner of that weapon is Ledo's friend...\Yeah...\Then there was more than one visitor from the sky...\But what in the world does Ledo's friend intend to do with us?\Emergency!\You've got a message from the fleet! response:	Flange here. What's wrong?
context: Thanks for that.\I heard the owner of that weapon is Ledo's friend...\Yeah...\Then there was more than one visitor from the sky...\But what in the world does Ledo's friend intend to do with us?\Emergency!\You've got a message from the fleet!\Flange here. What's wrong? response:	They're demanding to see a representative.
context: I heard the owner of that weapon is Ledo's friend...\Yeah...\Then there was more than one visitor from the sky...\But what in the world does Ledo's friend intend to do with us?\Emergency!\You've got a message from the fleet!\Flange here. What's wrong?\They're demanding to see a representative. response:	What do they want?
context: Yeah...\Then there was more than one visitor from the sky...\But what in the world does Ledo's friend intend to do with us?\Emergency!\You've got a message from the fleet!\Flange here. What's wrong?\They're demanding to see a representative.\What do they want? response:	They didn't say.
context: Then there was more than one visitor from the sky...\But what in the world does Ledo's friend intend to do with us?\Emergency!\You've got a message from the fleet!\Flange here. What's wrong?\They're demanding to see a representative.\What do they want?\They didn't say. response:	They must be after the relics. I'll go.
context: But what in the world does Ledo's friend intend to do with us?\Emergency!\You've got a message from the fleet!\Flange here. What's wrong?\They're demanding to see a representative.\What do they want?\They didn't say.\They must be after the relics. I'll go. response:	Wait! I'm the one who called the bastards over.
context: Emergency!\You've got a message from the fleet!\Flange here. What's wrong?\They're demanding to see a representative.\What do they want?\They didn't say.\They must be after the relics. I'll go.\Wait! I'm the one who called the bastards over. response:	I'll talk to them.
context: You've got a message from the fleet!\Flange here. What's wrong?\They're demanding to see a representative.\What do they want?\They didn't say.\They must be after the relics. I'll go.\Wait! I'm the one who called the bastards over.\I'll talk to them. response:	Don't be ridiculous. I can't give you the responsibility of diplomatic negotiations.
context: Flange here. What's wrong?\They're demanding to see a representative.\What do they want?\They didn't say.\They must be after the relics. I'll go.\Wait! I'm the one who called the bastards over.\I'll talk to them.\Don't be ridiculous. I can't give you the responsibility of diplomatic negotiations. response:	Um, actually...
context: They're demanding to see a representative.\What do they want?\They didn't say.\They must be after the relics. I'll go.\Wait! I'm the one who called the bastards over.\I'll talk to them.\Don't be ridiculous. I can't give you the responsibility of diplomatic negotiations.\Um, actually... response:	They've designated Pinion of the Sea of Mist as the representative.
context: What do they want?\They didn't say.\They must be after the relics. I'll go.\Wait! I'm the one who called the bastards over.\I'll talk to them.\Don't be ridiculous. I can't give you the responsibility of diplomatic negotiations.\Um, actually...\They've designated Pinion of the Sea of Mist as the representative. response:	See? It's my time to shine.
