context: I begin my weekends by feeding the birds. response:	After that, I go jogging.
context: Wow.\Look through them more.\When did I do something so rude?!\Yano-chin sneaked that picture of you.\Not bad, right? You look like a couple.\I-I must have been heavy.\Come on, as much of a loser as he is, it'd be sad if he couldn't hold up one girl.\That's so mean. response:	Kazehaya caught on in that one.
context: Look through them more.\When did I do something so rude?!\Yano-chin sneaked that picture of you.\Not bad, right? You look like a couple.\I-I must have been heavy.\Come on, as much of a loser as he is, it'd be sad if he couldn't hold up one girl.\That's so mean.\Kazehaya caught on in that one. response:	All of a sudden, I have so many treasures.
context: When did I do something so rude?!\Yano-chin sneaked that picture of you.\Not bad, right? You look like a couple.\I-I must have been heavy.\Come on, as much of a loser as he is, it'd be sad if he couldn't hold up one girl.\That's so mean.\Kazehaya caught on in that one.\All of a sudden, I have so many treasures. response:	Thanks.
context: Yano-chin sneaked that picture of you.\Not bad, right? You look like a couple.\I-I must have been heavy.\Come on, as much of a loser as he is, it'd be sad if he couldn't hold up one girl.\That's so mean.\Kazehaya caught on in that one.\All of a sudden, I have so many treasures.\Thanks. response:	Don't be so content with just pictures.
context: Not bad, right? You look like a couple.\I-I must have been heavy.\Come on, as much of a loser as he is, it'd be sad if he couldn't hold up one girl.\That's so mean.\Kazehaya caught on in that one.\All of a sudden, I have so many treasures.\Thanks.\Don't be so content with just pictures. response:	Go confess already.
context: I-I must have been heavy.\Come on, as much of a loser as he is, it'd be sad if he couldn't hold up one girl.\That's so mean.\Kazehaya caught on in that one.\All of a sudden, I have so many treasures.\Thanks.\Don't be so content with just pictures.\Go confess already. response:	To who? About what?
context: Come on, as much of a loser as he is, it'd be sad if he couldn't hold up one girl.\That's so mean.\Kazehaya caught on in that one.\All of a sudden, I have so many treasures.\Thanks.\Don't be so content with just pictures.\Go confess already.\To who? About what? response:	To Kazehaya, your love.
context: That's so mean.\Kazehaya caught on in that one.\All of a sudden, I have so many treasures.\Thanks.\Don't be so content with just pictures.\Go confess already.\To who? About what?\To Kazehaya, your love. response:	Love?
context: Kazehaya caught on in that one.\All of a sudden, I have so many treasures.\Thanks.\Don't be so content with just pictures.\Go confess already.\To who? About what?\To Kazehaya, your love.\Love? response:	I love you, sir.
context: All of a sudden, I have so many treasures.\Thanks.\Don't be so content with just pictures.\Go confess already.\To who? About what?\To Kazehaya, your love.\Love?\I love you, sir. response:	Is that so?
context: Thanks.\Don't be so content with just pictures.\Go confess already.\To who? About what?\To Kazehaya, your love.\Love?\I love you, sir.\Is that so? response:	What for?
context: Don't be so content with just pictures.\Go confess already.\To who? About what?\To Kazehaya, your love.\Love?\I love you, sir.\Is that so?\What for? response:	To go out with him, obviously!
context: Go confess already.\To who? About what?\To Kazehaya, your love.\Love?\I love you, sir.\Is that so?\What for?\To go out with him, obviously! response:	I couldn't.
context: To who? About what?\To Kazehaya, your love.\Love?\I love you, sir.\Is that so?\What for?\To go out with him, obviously!\I couldn't. response:	You totally could.
context: To Kazehaya, your love.\Love?\I love you, sir.\Is that so?\What for?\To go out with him, obviously!\I couldn't.\You totally could. response:	I couldn't, and besides, I'm already overwhelmed as it is.
context: Love?\I love you, sir.\Is that so?\What for?\To go out with him, obviously!\I couldn't.\You totally could.\I couldn't, and besides, I'm already overwhelmed as it is. response:	I can't imagine going any further.
context: I love you, sir.\Is that so?\What for?\To go out with him, obviously!\I couldn't.\You totally could.\I couldn't, and besides, I'm already overwhelmed as it is.\I can't imagine going any further. response:	Keep saying that. What if someone takes Kazehaya away?
context: Is that so?\What for?\To go out with him, obviously!\I couldn't.\You totally could.\I couldn't, and besides, I'm already overwhelmed as it is.\I can't imagine going any further.\Keep saying that. What if someone takes Kazehaya away? response:	I don't think I could be happy for them.
context: What for?\To go out with him, obviously!\I couldn't.\You totally could.\I couldn't, and besides, I'm already overwhelmed as it is.\I can't imagine going any further.\Keep saying that. What if someone takes Kazehaya away?\I don't think I could be happy for them. response:	I don't think I could congratulate them.
context: To go out with him, obviously!\I couldn't.\You totally could.\I couldn't, and besides, I'm already overwhelmed as it is.\I can't imagine going any further.\Keep saying that. What if someone takes Kazehaya away?\I don't think I could be happy for them.\I don't think I could congratulate them. response:	Sorry, sorry.
context: I couldn't.\You totally could.\I couldn't, and besides, I'm already overwhelmed as it is.\I can't imagine going any further.\Keep saying that. What if someone takes Kazehaya away?\I don't think I could be happy for them.\I don't think I could congratulate them.\Sorry, sorry. response:	I guess you wouldn't want to go out with someone right away just because you like them.
context: You totally could.\I couldn't, and besides, I'm already overwhelmed as it is.\I can't imagine going any further.\Keep saying that. What if someone takes Kazehaya away?\I don't think I could be happy for them.\I don't think I could congratulate them.\Sorry, sorry.\I guess you wouldn't want to go out with someone right away just because you like them. response:	Poor Kazehaya.
context: I couldn't, and besides, I'm already overwhelmed as it is.\I can't imagine going any further.\Keep saying that. What if someone takes Kazehaya away?\I don't think I could be happy for them.\I don't think I could congratulate them.\Sorry, sorry.\I guess you wouldn't want to go out with someone right away just because you like them.\Poor Kazehaya. response:	What's this?
context: I can't imagine going any further.\Keep saying that. What if someone takes Kazehaya away?\I don't think I could be happy for them.\I don't think I could congratulate them.\Sorry, sorry.\I guess you wouldn't want to go out with someone right away just because you like them.\Poor Kazehaya.\What's this? response:	I rented these yesterday.
context: Keep saying that. What if someone takes Kazehaya away?\I don't think I could be happy for them.\I don't think I could congratulate them.\Sorry, sorry.\I guess you wouldn't want to go out with someone right away just because you like them.\Poor Kazehaya.\What's this?\I rented these yesterday. response:	Want to watch?
context: I don't think I could be happy for them.\I don't think I could congratulate them.\Sorry, sorry.\I guess you wouldn't want to go out with someone right away just because you like them.\Poor Kazehaya.\What's this?\I rented these yesterday.\Want to watch? response:	Nice.
context: I don't think I could congratulate them.\Sorry, sorry.\I guess you wouldn't want to go out with someone right away just because you like them.\Poor Kazehaya.\What's this?\I rented these yesterday.\Want to watch?\Nice. response:	Dear god no!
context: Sorry, sorry.\I guess you wouldn't want to go out with someone right away just because you like them.\Poor Kazehaya.\What's this?\I rented these yesterday.\Want to watch?\Nice.\Dear god no! response:	Ryu.
context: I guess you wouldn't want to go out with someone right away just because you like them.\Poor Kazehaya.\What's this?\I rented these yesterday.\Want to watch?\Nice.\Dear god no!\Ryu. response:	Pedro.
context: Poor Kazehaya.\What's this?\I rented these yesterday.\Want to watch?\Nice.\Dear god no!\Ryu.\Pedro. response:	Maru's so happy.
context: What's this?\I rented these yesterday.\Want to watch?\Nice.\Dear god no!\Ryu.\Pedro.\Maru's so happy. response:	You really like animals, Ryu.
context: I rented these yesterday.\Want to watch?\Nice.\Dear god no!\Ryu.\Pedro.\Maru's so happy.\You really like animals, Ryu. response:	Cute.
context: Want to watch?\Nice.\Dear god no!\Ryu.\Pedro.\Maru's so happy.\You really like animals, Ryu.\Cute. response:	Huh who is it?
context: Nice.\Dear god no!\Ryu.\Pedro.\Maru's so happy.\You really like animals, Ryu.\Cute.\Huh who is it? response:	Aren't you answering?
context: Dear god no!\Ryu.\Pedro.\Maru's so happy.\You really like animals, Ryu.\Cute.\Huh who is it?\Aren't you answering? response:	It's Pin.
context: Ryu.\Pedro.\Maru's so happy.\You really like animals, Ryu.\Cute.\Huh who is it?\Aren't you answering?\It's Pin. response:	He hung up.
context: Pedro.\Maru's so happy.\You really like animals, Ryu.\Cute.\Huh who is it?\Aren't you answering?\It's Pin.\He hung up. response:	What?! Fourteen calls, all from Pin.
context: Maru's so happy.\You really like animals, Ryu.\Cute.\Huh who is it?\Aren't you answering?\It's Pin.\He hung up.\What?! Fourteen calls, all from Pin. response:	You're not answering?
context: You really like animals, Ryu.\Cute.\Huh who is it?\Aren't you answering?\It's Pin.\He hung up.\What?! Fourteen calls, all from Pin.\You're not answering? response:	Nope.
context: Cute.\Huh who is it?\Aren't you answering?\It's Pin.\He hung up.\What?! Fourteen calls, all from Pin.\You're not answering?\Nope. response:	It's been ringing for a while.
context: Huh who is it?\Aren't you answering?\It's Pin.\He hung up.\What?! Fourteen calls, all from Pin.\You're not answering?\Nope.\It's been ringing for a while. response:	It's a pain in the ass, so I figured, whatever.
context: Aren't you answering?\It's Pin.\He hung up.\What?! Fourteen calls, all from Pin.\You're not answering?\Nope.\It's been ringing for a while.\It's a pain in the ass, so I figured, whatever. response:	Hello?
context: It's Pin.\He hung up.\What?! Fourteen calls, all from Pin.\You're not answering?\Nope.\It's been ringing for a while.\It's a pain in the ass, so I figured, whatever.\Hello? response:	Where the hell were you?
context: He hung up.\What?! Fourteen calls, all from Pin.\You're not answering?\Nope.\It's been ringing for a while.\It's a pain in the ass, so I figured, whatever.\Hello?\Where the hell were you? response:	I have things to do too, man.
context: What?! Fourteen calls, all from Pin.\You're not answering?\Nope.\It's been ringing for a while.\It's a pain in the ass, so I figured, whatever.\Hello?\Where the hell were you?\I have things to do too, man. response:	Bring Kuronuma here, now.
context: You're not answering?\Nope.\It's been ringing for a while.\It's a pain in the ass, so I figured, whatever.\Hello?\Where the hell were you?\I have things to do too, man.\Bring Kuronuma here, now. response:	Huh?
context: Nope.\It's been ringing for a while.\It's a pain in the ass, so I figured, whatever.\Hello?\Where the hell were you?\I have things to do too, man.\Bring Kuronuma here, now.\Huh? response:	Now.
context: It's been ringing for a while.\It's a pain in the ass, so I figured, whatever.\Hello?\Where the hell were you?\I have things to do too, man.\Bring Kuronuma here, now.\Huh?\Now. response:	Please.
context: It's a pain in the ass, so I figured, whatever.\Hello?\Where the hell were you?\I have things to do too, man.\Bring Kuronuma here, now.\Huh?\Now.\Please. response:	Please, I can't stop shaking.
context: Hello?\Where the hell were you?\I have things to do too, man.\Bring Kuronuma here, now.\Huh?\Now.\Please.\Please, I can't stop shaking. response:	I ran into Kuronuma last night.
context: Where the hell were you?\I have things to do too, man.\Bring Kuronuma here, now.\Huh?\Now.\Please.\Please, I can't stop shaking.\I ran into Kuronuma last night. response:	Good evening.
context: I have things to do too, man.\Bring Kuronuma here, now.\Huh?\Now.\Please.\Please, I can't stop shaking.\I ran into Kuronuma last night.\Good evening. response:	Are you doing research too?
context: Bring Kuronuma here, now.\Huh?\Now.\Please.\Please, I can't stop shaking.\I ran into Kuronuma last night.\Good evening.\Are you doing research too? response:	Yeah, research.
context: Huh?\Now.\Please.\Please, I can't stop shaking.\I ran into Kuronuma last night.\Good evening.\Are you doing research too?\Yeah, research. response:	Research?
context: Now.\Please.\Please, I can't stop shaking.\I ran into Kuronuma last night.\Good evening.\Are you doing research too?\Yeah, research.\Research? response:	Ghost photos?
context: Please.\Please, I can't stop shaking.\I ran into Kuronuma last night.\Good evening.\Are you doing research too?\Yeah, research.\Research?\Ghost photos? response:	Adult videos, huh?
context: Please, I can't stop shaking.\I ran into Kuronuma last night.\Good evening.\Are you doing research too?\Yeah, research.\Research?\Ghost photos?\Adult videos, huh? response:	She got me.
context: I ran into Kuronuma last night.\Good evening.\Are you doing research too?\Yeah, research.\Research?\Ghost photos?\Adult videos, huh?\She got me. response:	Society.
context: Good evening.\Are you doing research too?\Yeah, research.\Research?\Ghost photos?\Adult videos, huh?\She got me.\Society. response:	Documentaries.
context: Are you doing research too?\Yeah, research.\Research?\Ghost photos?\Adult videos, huh?\She got me.\Society.\Documentaries. response:	He sure is an adult.
context: Yeah, research.\Research?\Ghost photos?\Adult videos, huh?\She got me.\Society.\Documentaries.\He sure is an adult. response:	You...
context: Research?\Ghost photos?\Adult videos, huh?\She got me.\Society.\Documentaries.\He sure is an adult.\You... response:	What do you see behind me?
context: Ghost photos?\Adult videos, huh?\She got me.\Society.\Documentaries.\He sure is an adult.\You...\What do you see behind me? response:	He sounds a bit nasal.
context: Adult videos, huh?\She got me.\Society.\Documentaries.\He sure is an adult.\You...\What do you see behind me?\He sounds a bit nasal. response:	Why is she staring at me?
context: She got me.\Society.\Documentaries.\He sure is an adult.\You...\What do you see behind me?\He sounds a bit nasal.\Why is she staring at me? response:	Sensei, be sure to wash your hands and gargle with salt water when you get home.
context: Society.\Documentaries.\He sure is an adult.\You...\What do you see behind me?\He sounds a bit nasal.\Why is she staring at me?\Sensei, be sure to wash your hands and gargle with salt water when you get home. response:	Prevention's the best cure.
context: Documentaries.\He sure is an adult.\You...\What do you see behind me?\He sounds a bit nasal.\Why is she staring at me?\Sensei, be sure to wash your hands and gargle with salt water when you get home.\Prevention's the best cure. response:	Why does she want me to cleanse?
context: He sure is an adult.\You...\What do you see behind me?\He sounds a bit nasal.\Why is she staring at me?\Sensei, be sure to wash your hands and gargle with salt water when you get home.\Prevention's the best cure.\Why does she want me to cleanse? response:	But I got home and forgot all about her warnings.
context: You...\What do you see behind me?\He sounds a bit nasal.\Why is she staring at me?\Sensei, be sure to wash your hands and gargle with salt water when you get home.\Prevention's the best cure.\Why does she want me to cleanse?\But I got home and forgot all about her warnings. response:	That's all.
context: What do you see behind me?\He sounds a bit nasal.\Why is she staring at me?\Sensei, be sure to wash your hands and gargle with salt water when you get home.\Prevention's the best cure.\Why does she want me to cleanse?\But I got home and forgot all about her warnings.\That's all. response:	Uh...
context: He sounds a bit nasal.\Why is she staring at me?\Sensei, be sure to wash your hands and gargle with salt water when you get home.\Prevention's the best cure.\Why does she want me to cleanse?\But I got home and forgot all about her warnings.\That's all.\Uh... response:	All I could figure out is that he rented porn.
context: Why is she staring at me?\Sensei, be sure to wash your hands and gargle with salt water when you get home.\Prevention's the best cure.\Why does she want me to cleanse?\But I got home and forgot all about her warnings.\That's all.\Uh...\All I could figure out is that he rented porn. response:	Please, help me.
context: Sensei, be sure to wash your hands and gargle with salt water when you get home.\Prevention's the best cure.\Why does she want me to cleanse?\But I got home and forgot all about her warnings.\That's all.\Uh...\All I could figure out is that he rented porn.\Please, help me. response:	What's he want?
context: Prevention's the best cure.\Why does she want me to cleanse?\But I got home and forgot all about her warnings.\That's all.\Uh...\All I could figure out is that he rented porn.\Please, help me.\What's he want? response:	I don't know, but he sounded weak.
context: Why does she want me to cleanse?\But I got home and forgot all about her warnings.\That's all.\Uh...\All I could figure out is that he rented porn.\Please, help me.\What's he want?\I don't know, but he sounded weak. response:	He wants me to bring Kuronuma.
context: But I got home and forgot all about her warnings.\That's all.\Uh...\All I could figure out is that he rented porn.\Please, help me.\What's he want?\I don't know, but he sounded weak.\He wants me to bring Kuronuma. response:	Oh yeah, Chizuru said she's going to Kuronuma's place today.
context: That's all.\Uh...\All I could figure out is that he rented porn.\Please, help me.\What's he want?\I don't know, but he sounded weak.\He wants me to bring Kuronuma.\Oh yeah, Chizuru said she's going to Kuronuma's place today. response:	I wonder if she'd want to see Maru.
context: Uh...\All I could figure out is that he rented porn.\Please, help me.\What's he want?\I don't know, but he sounded weak.\He wants me to bring Kuronuma.\Oh yeah, Chizuru said she's going to Kuronuma's place today.\I wonder if she'd want to see Maru. response:	Is Sawako okay?
