context: It wasn't supposed to be like this, head in my hands response:	Struggling to escape from this saturated world
context: Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness response:	Can't see anything, don't know anything, but I'll still go
context: I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go response:	To the place of shining light in which you wait
context: We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait response:	Episode 4
context: Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 4 response:	House, Unmasked
context: to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 4\House, Unmasked response:	Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Shoplifting Family and Masked Mansion
context: Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 4\House, Unmasked\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Shoplifting Family and Masked Mansion response:	This is a curse!
context: Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 4\House, Unmasked\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Shoplifting Family and Masked Mansion\This is a curse! response:	Are you suggesting the cursed father and son were both murdered?!
context: Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 4\House, Unmasked\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Shoplifting Family and Masked Mansion\This is a curse!\Are you suggesting the cursed father and son were both murdered?! response:	I'm the famous detective, Yuuki Shinjurou.
context: Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 4\House, Unmasked\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Shoplifting Family and Masked Mansion\This is a curse!\Are you suggesting the cursed father and son were both murdered?!\I'm the famous detective, Yuuki Shinjurou. response:	Mystery of the masks?
context: To the place of shining light in which you wait\Episode 4\House, Unmasked\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Shoplifting Family and Masked Mansion\This is a curse!\Are you suggesting the cursed father and son were both murdered?!\I'm the famous detective, Yuuki Shinjurou.\Mystery of the masks? response:	I was overlooking something important.
context: Episode 4\House, Unmasked\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Shoplifting Family and Masked Mansion\This is a curse!\Are you suggesting the cursed father and son were both murdered?!\I'm the famous detective, Yuuki Shinjurou.\Mystery of the masks?\I was overlooking something important. response:	The murderer is in this room!
context: House, Unmasked\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Shoplifting Family and Masked Mansion\This is a curse!\Are you suggesting the cursed father and son were both murdered?!\I'm the famous detective, Yuuki Shinjurou.\Mystery of the masks?\I was overlooking something important.\The murderer is in this room! response:	Who is the murderer?
context: Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Shoplifting Family and Masked Mansion\This is a curse!\Are you suggesting the cursed father and son were both murdered?!\I'm the famous detective, Yuuki Shinjurou.\Mystery of the masks?\I was overlooking something important.\The murderer is in this room!\Who is the murderer? response:	There's no point in trying to deceive me now, Sasa Kazamori.
context: This is a curse!\Are you suggesting the cursed father and son were both murdered?!\I'm the famous detective, Yuuki Shinjurou.\Mystery of the masks?\I was overlooking something important.\The murderer is in this room!\Who is the murderer?\There's no point in trying to deceive me now, Sasa Kazamori. response:	Hayami Seigen
context: Are you suggesting the cursed father and son were both murdered?!\I'm the famous detective, Yuuki Shinjurou.\Mystery of the masks?\I was overlooking something important.\The murderer is in this room!\Who is the murderer?\There's no point in trying to deceive me now, Sasa Kazamori.\Hayami Seigen response:	Director of the Security Bureau Metropolitan Police Dept.
context: I'm the famous detective, Yuuki Shinjurou.\Mystery of the masks?\I was overlooking something important.\The murderer is in this room!\Who is the murderer?\There's no point in trying to deceive me now, Sasa Kazamori.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept. response:	Koyama Izumi
context: Mystery of the masks?\I was overlooking something important.\The murderer is in this room!\Who is the murderer?\There's no point in trying to deceive me now, Sasa Kazamori.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi response:	Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office
context: I was overlooking something important.\The murderer is in this room!\Who is the murderer?\There's no point in trying to deceive me now, Sasa Kazamori.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office response:	Sasa Itoji
context: The murderer is in this room!\Who is the murderer?\There's no point in trying to deceive me now, Sasa Kazamori.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\Sasa Itoji response:	Widow of the Late Sasa Komamori
context: Who is the murderer?\There's no point in trying to deceive me now, Sasa Kazamori.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\Sasa Itoji\Widow of the Late Sasa Komamori response:	Sasa Fumihiko
context: There's no point in trying to deceive me now, Sasa Kazamori.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\Sasa Itoji\Widow of the Late Sasa Komamori\Sasa Fumihiko response:	Son of the Late Sasa Komamori
context: Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\Sasa Itoji\Widow of the Late Sasa Komamori\Sasa Fumihiko\Son of the Late Sasa Komamori response:	Sasa Mitsuko
context: Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\Sasa Itoji\Widow of the Late Sasa Komamori\Sasa Fumihiko\Son of the Late Sasa Komamori\Sasa Mitsuko response:	Daughter of the Late Sasa Komamori
context: Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\Sasa Itoji\Widow of the Late Sasa Komamori\Sasa Fumihiko\Son of the Late Sasa Komamori\Sasa Mitsuko\Daughter of the Late Sasa Komamori response:	Sasa Kigihiko
context: Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\Sasa Itoji\Widow of the Late Sasa Komamori\Sasa Fumihiko\Son of the Late Sasa Komamori\Sasa Mitsuko\Daughter of the Late Sasa Komamori\Sasa Kigihiko response:	Younger Brother of the Late Sasa Komamori
context: Sasa Itoji\Widow of the Late Sasa Komamori\Sasa Fumihiko\Son of the Late Sasa Komamori\Sasa Mitsuko\Daughter of the Late Sasa Komamori\Sasa Kigihiko\Younger Brother of the Late Sasa Komamori response:	Inga
context: Widow of the Late Sasa Komamori\Sasa Fumihiko\Son of the Late Sasa Komamori\Sasa Mitsuko\Daughter of the Late Sasa Komamori\Sasa Kigihiko\Younger Brother of the Late Sasa Komamori\Inga response:	Detective's Assistant
context: Sasa Fumihiko\Son of the Late Sasa Komamori\Sasa Mitsuko\Daughter of the Late Sasa Komamori\Sasa Kigihiko\Younger Brother of the Late Sasa Komamori\Inga\Detective's Assistant response:	Kaishou Rie
context: Son of the Late Sasa Komamori\Sasa Mitsuko\Daughter of the Late Sasa Komamori\Sasa Kigihiko\Younger Brother of the Late Sasa Komamori\Inga\Detective's Assistant\Kaishou Rie response:	Kaishou Rinroku's Daughter Lives at Home
context: Sasa Mitsuko\Daughter of the Late Sasa Komamori\Sasa Kigihiko\Younger Brother of the Late Sasa Komamori\Inga\Detective's Assistant\Kaishou Rie\Kaishou Rinroku's Daughter Lives at Home response:	Yuuki Shinjurou
context: Daughter of the Late Sasa Komamori\Sasa Kigihiko\Younger Brother of the Late Sasa Komamori\Inga\Detective's Assistant\Kaishou Rie\Kaishou Rinroku's Daughter Lives at Home\Yuuki Shinjurou response:	Detective
context: Sasa Kigihiko\Younger Brother of the Late Sasa Komamori\Inga\Detective's Assistant\Kaishou Rie\Kaishou Rinroku's Daughter Lives at Home\Yuuki Shinjurou\Detective response:	What are you talking about? Sasa Kazamori was the victim!
context: Younger Brother of the Late Sasa Komamori\Inga\Detective's Assistant\Kaishou Rie\Kaishou Rinroku's Daughter Lives at Home\Yuuki Shinjurou\Detective\What are you talking about? Sasa Kazamori was the victim! response:	No one's in here.
context: Inga\Detective's Assistant\Kaishou Rie\Kaishou Rinroku's Daughter Lives at Home\Yuuki Shinjurou\Detective\What are you talking about? Sasa Kazamori was the victim!\No one's in here. response:	I know!
context: Detective's Assistant\Kaishou Rie\Kaishou Rinroku's Daughter Lives at Home\Yuuki Shinjurou\Detective\What are you talking about? Sasa Kazamori was the victim!\No one's in here.\I know! response:	I don't understand.
context: Kaishou Rie\Kaishou Rinroku's Daughter Lives at Home\Yuuki Shinjurou\Detective\What are you talking about? Sasa Kazamori was the victim!\No one's in here.\I know!\I don't understand. response:	Detective, what are you trying to say?
context: Kaishou Rinroku's Daughter Lives at Home\Yuuki Shinjurou\Detective\What are you talking about? Sasa Kazamori was the victim!\No one's in here.\I know!\I don't understand.\Detective, what are you trying to say? response:	You'd be better off asking your mother and uncle.
context: Yuuki Shinjurou\Detective\What are you talking about? Sasa Kazamori was the victim!\No one's in here.\I know!\I don't understand.\Detective, what are you trying to say?\You'd be better off asking your mother and uncle. response:	I-I don't know what you mean!
context: Detective\What are you talking about? Sasa Kazamori was the victim!\No one's in here.\I know!\I don't understand.\Detective, what are you trying to say?\You'd be better off asking your mother and uncle.\I-I don't know what you mean! response:	Th-That's right...
context: What are you talking about? Sasa Kazamori was the victim!\No one's in here.\I know!\I don't understand.\Detective, what are you trying to say?\You'd be better off asking your mother and uncle.\I-I don't know what you mean!\Th-That's right... response:	I've known it for years now. There is no Kazamori!
context: No one's in here.\I know!\I don't understand.\Detective, what are you trying to say?\You'd be better off asking your mother and uncle.\I-I don't know what you mean!\Th-That's right...\I've known it for years now. There is no Kazamori! response:	Sister!
context: I know!\I don't understand.\Detective, what are you trying to say?\You'd be better off asking your mother and uncle.\I-I don't know what you mean!\Th-That's right...\I've known it for years now. There is no Kazamori!\Sister! response:	Don't tell me you killed Brother a long time ago...
context: I don't understand.\Detective, what are you trying to say?\You'd be better off asking your mother and uncle.\I-I don't know what you mean!\Th-That's right...\I've known it for years now. There is no Kazamori!\Sister!\Don't tell me you killed Brother a long time ago... response:	Don't be absurd!
context: Detective, what are you trying to say?\You'd be better off asking your mother and uncle.\I-I don't know what you mean!\Th-That's right...\I've known it for years now. There is no Kazamori!\Sister!\Don't tell me you killed Brother a long time ago...\Don't be absurd! response:	Look!
context: You'd be better off asking your mother and uncle.\I-I don't know what you mean!\Th-That's right...\I've known it for years now. There is no Kazamori!\Sister!\Don't tell me you killed Brother a long time ago...\Don't be absurd!\Look! response:	This is Kazamori!
context: I-I don't know what you mean!\Th-That's right...\I've known it for years now. There is no Kazamori!\Sister!\Don't tell me you killed Brother a long time ago...\Don't be absurd!\Look!\This is Kazamori! response:	A RAI, created by Komamori.
context: Th-That's right...\I've known it for years now. There is no Kazamori!\Sister!\Don't tell me you killed Brother a long time ago...\Don't be absurd!\Look!\This is Kazamori!\A RAI, created by Komamori. response:	The program that can imitate humans.
context: I've known it for years now. There is no Kazamori!\Sister!\Don't tell me you killed Brother a long time ago...\Don't be absurd!\Look!\This is Kazamori!\A RAI, created by Komamori.\The program that can imitate humans. response:	When necessary, it made an appearance by inhabiting this doll.
context: Sister!\Don't tell me you killed Brother a long time ago...\Don't be absurd!\Look!\This is Kazamori!\A RAI, created by Komamori.\The program that can imitate humans.\When necessary, it made an appearance by inhabiting this doll. response:	Otherwise, it was like that, entering devices throughout the house, watching us!
context: Don't tell me you killed Brother a long time ago...\Don't be absurd!\Look!\This is Kazamori!\A RAI, created by Komamori.\The program that can imitate humans.\When necessary, it made an appearance by inhabiting this doll.\Otherwise, it was like that, entering devices throughout the house, watching us! response:	Brother Kazamori...
context: Don't be absurd!\Look!\This is Kazamori!\A RAI, created by Komamori.\The program that can imitate humans.\When necessary, it made an appearance by inhabiting this doll.\Otherwise, it was like that, entering devices throughout the house, watching us!\Brother Kazamori... response:	Dr. Taku wasn't a doctor.
context: Look!\This is Kazamori!\A RAI, created by Komamori.\The program that can imitate humans.\When necessary, it made an appearance by inhabiting this doll.\Otherwise, it was like that, entering devices throughout the house, watching us!\Brother Kazamori...\Dr. Taku wasn't a doctor. response:	He was a maintenance technician,
context: This is Kazamori!\A RAI, created by Komamori.\The program that can imitate humans.\When necessary, it made an appearance by inhabiting this doll.\Otherwise, it was like that, entering devices throughout the house, watching us!\Brother Kazamori...\Dr. Taku wasn't a doctor.\He was a maintenance technician, response:	hired by Komamori to keep Kazamori in good working order.
context: A RAI, created by Komamori.\The program that can imitate humans.\When necessary, it made an appearance by inhabiting this doll.\Otherwise, it was like that, entering devices throughout the house, watching us!\Brother Kazamori...\Dr. Taku wasn't a doctor.\He was a maintenance technician,\hired by Komamori to keep Kazamori in good working order. response:	When I confronted him, he quickly confessed.
context: The program that can imitate humans.\When necessary, it made an appearance by inhabiting this doll.\Otherwise, it was like that, entering devices throughout the house, watching us!\Brother Kazamori...\Dr. Taku wasn't a doctor.\He was a maintenance technician,\hired by Komamori to keep Kazamori in good working order.\When I confronted him, he quickly confessed. response:	Taku Hidenobu
context: When necessary, it made an appearance by inhabiting this doll.\Otherwise, it was like that, entering devices throughout the house, watching us!\Brother Kazamori...\Dr. Taku wasn't a doctor.\He was a maintenance technician,\hired by Komamori to keep Kazamori in good working order.\When I confronted him, he quickly confessed.\Taku Hidenobu response:	Live-in Doctor
context: Otherwise, it was like that, entering devices throughout the house, watching us!\Brother Kazamori...\Dr. Taku wasn't a doctor.\He was a maintenance technician,\hired by Komamori to keep Kazamori in good working order.\When I confronted him, he quickly confessed.\Taku Hidenobu\Live-in Doctor response:	You knew...
context: Brother Kazamori...\Dr. Taku wasn't a doctor.\He was a maintenance technician,\hired by Komamori to keep Kazamori in good working order.\When I confronted him, he quickly confessed.\Taku Hidenobu\Live-in Doctor\You knew... response:	Why didn't you say anything?!
context: Dr. Taku wasn't a doctor.\He was a maintenance technician,\hired by Komamori to keep Kazamori in good working order.\When I confronted him, he quickly confessed.\Taku Hidenobu\Live-in Doctor\You knew...\Why didn't you say anything?! response:	Brother... I mean, Kazamori was a machine?!
context: He was a maintenance technician,\hired by Komamori to keep Kazamori in good working order.\When I confronted him, he quickly confessed.\Taku Hidenobu\Live-in Doctor\You knew...\Why didn't you say anything?!\Brother... I mean, Kazamori was a machine?! response:	Why did you leave Dad's fortune and company in his hands?!
context: hired by Komamori to keep Kazamori in good working order.\When I confronted him, he quickly confessed.\Taku Hidenobu\Live-in Doctor\You knew...\Why didn't you say anything?!\Brother... I mean, Kazamori was a machine?!\Why did you leave Dad's fortune and company in his hands?! response:	It was more convenient that way.
context: When I confronted him, he quickly confessed.\Taku Hidenobu\Live-in Doctor\You knew...\Why didn't you say anything?!\Brother... I mean, Kazamori was a machine?!\Why did you leave Dad's fortune and company in his hands?!\It was more convenient that way. response:	We stumbled to the truth of Kazamori's identity
context: Taku Hidenobu\Live-in Doctor\You knew...\Why didn't you say anything?!\Brother... I mean, Kazamori was a machine?!\Why did you leave Dad's fortune and company in his hands?!\It was more convenient that way.\We stumbled to the truth of Kazamori's identity response:	after my brother died.
context: Live-in Doctor\You knew...\Why didn't you say anything?!\Brother... I mean, Kazamori was a machine?!\Why did you leave Dad's fortune and company in his hands?!\It was more convenient that way.\We stumbled to the truth of Kazamori's identity\after my brother died. response:	But by then, Kazamori had already been acknowledged
context: You knew...\Why didn't you say anything?!\Brother... I mean, Kazamori was a machine?!\Why did you leave Dad's fortune and company in his hands?!\It was more convenient that way.\We stumbled to the truth of Kazamori's identity\after my brother died.\But by then, Kazamori had already been acknowledged response:	as the president of the group.
context: Why didn't you say anything?!\Brother... I mean, Kazamori was a machine?!\Why did you leave Dad's fortune and company in his hands?!\It was more convenient that way.\We stumbled to the truth of Kazamori's identity\after my brother died.\But by then, Kazamori had already been acknowledged\as the president of the group. response:	What do you think would've happened if he'd been exposed?
context: Brother... I mean, Kazamori was a machine?!\Why did you leave Dad's fortune and company in his hands?!\It was more convenient that way.\We stumbled to the truth of Kazamori's identity\after my brother died.\But by then, Kazamori had already been acknowledged\as the president of the group.\What do you think would've happened if he'd been exposed? response:	The value of the company would've plummeted,
context: Why did you leave Dad's fortune and company in his hands?!\It was more convenient that way.\We stumbled to the truth of Kazamori's identity\after my brother died.\But by then, Kazamori had already been acknowledged\as the president of the group.\What do you think would've happened if he'd been exposed?\The value of the company would've plummeted, response:	and even if we'd be able to collect the inheritance,
context: It was more convenient that way.\We stumbled to the truth of Kazamori's identity\after my brother died.\But by then, Kazamori had already been acknowledged\as the president of the group.\What do you think would've happened if he'd been exposed?\The value of the company would've plummeted,\and even if we'd be able to collect the inheritance, response:	we'd have to pay tax on it again.
context: We stumbled to the truth of Kazamori's identity\after my brother died.\But by then, Kazamori had already been acknowledged\as the president of the group.\What do you think would've happened if he'd been exposed?\The value of the company would've plummeted,\and even if we'd be able to collect the inheritance,\we'd have to pay tax on it again. response:	On the other hand, by leaving Kazamori as President,
context: after my brother died.\But by then, Kazamori had already been acknowledged\as the president of the group.\What do you think would've happened if he'd been exposed?\The value of the company would've plummeted,\and even if we'd be able to collect the inheritance,\we'd have to pay tax on it again.\On the other hand, by leaving Kazamori as President, response:	you two were able to operate freely in his name.
context: But by then, Kazamori had already been acknowledged\as the president of the group.\What do you think would've happened if he'd been exposed?\The value of the company would've plummeted,\and even if we'd be able to collect the inheritance,\we'd have to pay tax on it again.\On the other hand, by leaving Kazamori as President,\you two were able to operate freely in his name. response:	And that's why you stayed silent?!
context: as the president of the group.\What do you think would've happened if he'd been exposed?\The value of the company would've plummeted,\and even if we'd be able to collect the inheritance,\we'd have to pay tax on it again.\On the other hand, by leaving Kazamori as President,\you two were able to operate freely in his name.\And that's why you stayed silent?! response:	Fumihiko and I always thought this... was our brother...
context: What do you think would've happened if he'd been exposed?\The value of the company would've plummeted,\and even if we'd be able to collect the inheritance,\we'd have to pay tax on it again.\On the other hand, by leaving Kazamori as President,\you two were able to operate freely in his name.\And that's why you stayed silent?!\Fumihiko and I always thought this... was our brother... response:	You're fools for not noticing.
context: The value of the company would've plummeted,\and even if we'd be able to collect the inheritance,\we'd have to pay tax on it again.\On the other hand, by leaving Kazamori as President,\you two were able to operate freely in his name.\And that's why you stayed silent?!\Fumihiko and I always thought this... was our brother...\You're fools for not noticing. response:	We didn't do anything wrong!
context: and even if we'd be able to collect the inheritance,\we'd have to pay tax on it again.\On the other hand, by leaving Kazamori as President,\you two were able to operate freely in his name.\And that's why you stayed silent?!\Fumihiko and I always thought this... was our brother...\You're fools for not noticing.\We didn't do anything wrong! response:	It was this country that outlawed my husband's research!
context: we'd have to pay tax on it again.\On the other hand, by leaving Kazamori as President,\you two were able to operate freely in his name.\And that's why you stayed silent?!\Fumihiko and I always thought this... was our brother...\You're fools for not noticing.\We didn't do anything wrong!\It was this country that outlawed my husband's research! response:	Either way, according to existing law, only humans
context: On the other hand, by leaving Kazamori as President,\you two were able to operate freely in his name.\And that's why you stayed silent?!\Fumihiko and I always thought this... was our brother...\You're fools for not noticing.\We didn't do anything wrong!\It was this country that outlawed my husband's research!\Either way, according to existing law, only humans response:	are allowed to collect inheritances and represent companies.
context: you two were able to operate freely in his name.\And that's why you stayed silent?!\Fumihiko and I always thought this... was our brother...\You're fools for not noticing.\We didn't do anything wrong!\It was this country that outlawed my husband's research!\Either way, according to existing law, only humans\are allowed to collect inheritances and represent companies. response:	A thorough investigation will be made in those regards.
context: And that's why you stayed silent?!\Fumihiko and I always thought this... was our brother...\You're fools for not noticing.\We didn't do anything wrong!\It was this country that outlawed my husband's research!\Either way, according to existing law, only humans\are allowed to collect inheritances and represent companies.\A thorough investigation will be made in those regards. response:	However... There's one thing I don't understand.
context: Fumihiko and I always thought this... was our brother...\You're fools for not noticing.\We didn't do anything wrong!\It was this country that outlawed my husband's research!\Either way, according to existing law, only humans\are allowed to collect inheritances and represent companies.\A thorough investigation will be made in those regards.\However... There's one thing I don't understand. response:	Who died?
context: You're fools for not noticing.\We didn't do anything wrong!\It was this country that outlawed my husband's research!\Either way, according to existing law, only humans\are allowed to collect inheritances and represent companies.\A thorough investigation will be made in those regards.\However... There's one thing I don't understand.\Who died? response:	All we know from the coroner's report
context: We didn't do anything wrong!\It was this country that outlawed my husband's research!\Either way, according to existing law, only humans\are allowed to collect inheritances and represent companies.\A thorough investigation will be made in those regards.\However... There's one thing I don't understand.\Who died?\All we know from the coroner's report response:	is that the victim was a Japanese male in his late 20's.
context: It was this country that outlawed my husband's research!\Either way, according to existing law, only humans\are allowed to collect inheritances and represent companies.\A thorough investigation will be made in those regards.\However... There's one thing I don't understand.\Who died?\All we know from the coroner's report\is that the victim was a Japanese male in his late 20's. response:	Dr. Taku called the victim Kazamori.
context: Either way, according to existing law, only humans\are allowed to collect inheritances and represent companies.\A thorough investigation will be made in those regards.\However... There's one thing I don't understand.\Who died?\All we know from the coroner's report\is that the victim was a Japanese male in his late 20's.\Dr. Taku called the victim Kazamori. response:	On the spur of the moment, I went along with it.
context: are allowed to collect inheritances and represent companies.\A thorough investigation will be made in those regards.\However... There's one thing I don't understand.\Who died?\All we know from the coroner's report\is that the victim was a Japanese male in his late 20's.\Dr. Taku called the victim Kazamori.\On the spur of the moment, I went along with it. response:	I thought if that corpse were accepted as Kazamori,
context: A thorough investigation will be made in those regards.\However... There's one thing I don't understand.\Who died?\All we know from the coroner's report\is that the victim was a Japanese male in his late 20's.\Dr. Taku called the victim Kazamori.\On the spur of the moment, I went along with it.\I thought if that corpse were accepted as Kazamori, response:	then Fumihiko would be able to inherit everything.
context: However... There's one thing I don't understand.\Who died?\All we know from the coroner's report\is that the victim was a Japanese male in his late 20's.\Dr. Taku called the victim Kazamori.\On the spur of the moment, I went along with it.\I thought if that corpse were accepted as Kazamori,\then Fumihiko would be able to inherit everything. response:	But we didn't murder anyone!
context: Who died?\All we know from the coroner's report\is that the victim was a Japanese male in his late 20's.\Dr. Taku called the victim Kazamori.\On the spur of the moment, I went along with it.\I thought if that corpse were accepted as Kazamori,\then Fumihiko would be able to inherit everything.\But we didn't murder anyone! response:	If anyone did any killing...
context: All we know from the coroner's report\is that the victim was a Japanese male in his late 20's.\Dr. Taku called the victim Kazamori.\On the spur of the moment, I went along with it.\I thought if that corpse were accepted as Kazamori,\then Fumihiko would be able to inherit everything.\But we didn't murder anyone!\If anyone did any killing... response:	Sasa Kazamori, you're coming to the station
context: is that the victim was a Japanese male in his late 20's.\Dr. Taku called the victim Kazamori.\On the spur of the moment, I went along with it.\I thought if that corpse were accepted as Kazamori,\then Fumihiko would be able to inherit everything.\But we didn't murder anyone!\If anyone did any killing...\Sasa Kazamori, you're coming to the station response:	as a suspect in the murder of an unknown victim!
context: Dr. Taku called the victim Kazamori.\On the spur of the moment, I went along with it.\I thought if that corpse were accepted as Kazamori,\then Fumihiko would be able to inherit everything.\But we didn't murder anyone!\If anyone did any killing...\Sasa Kazamori, you're coming to the station\as a suspect in the murder of an unknown victim! response:	Thank you, Shinjurou.
context: On the spur of the moment, I went along with it.\I thought if that corpse were accepted as Kazamori,\then Fumihiko would be able to inherit everything.\But we didn't murder anyone!\If anyone did any killing...\Sasa Kazamori, you're coming to the station\as a suspect in the murder of an unknown victim!\Thank you, Shinjurou. response:	Let's go.
context: I thought if that corpse were accepted as Kazamori,\then Fumihiko would be able to inherit everything.\But we didn't murder anyone!\If anyone did any killing...\Sasa Kazamori, you're coming to the station\as a suspect in the murder of an unknown victim!\Thank you, Shinjurou.\Let's go. response:	Handle that gently.
context: then Fumihiko would be able to inherit everything.\But we didn't murder anyone!\If anyone did any killing...\Sasa Kazamori, you're coming to the station\as a suspect in the murder of an unknown victim!\Thank you, Shinjurou.\Let's go.\Handle that gently. response:	It's a valuable program.
context: But we didn't murder anyone!\If anyone did any killing...\Sasa Kazamori, you're coming to the station\as a suspect in the murder of an unknown victim!\Thank you, Shinjurou.\Let's go.\Handle that gently.\It's a valuable program. response:	I figured you'd realized...
context: If anyone did any killing...\Sasa Kazamori, you're coming to the station\as a suspect in the murder of an unknown victim!\Thank you, Shinjurou.\Let's go.\Handle that gently.\It's a valuable program.\I figured you'd realized... response:	Are you still exercising the right to silence...
