context: Here she comes, Reiner. response:	Right.
context: Am I right, Ymir?!\I'll fight them with you, so let me out of your hand!\I don't care if there's something you can't tell me.\No matter what happens...\Ymir!\Look...\The Scouts have already gotten this close.\If only we had run right away, we probably would've been able to escape. response:	But because you forced us to bring Christa... at this rate, they'll catch us!
context: I'll fight them with you, so let me out of your hand!\I don't care if there's something you can't tell me.\No matter what happens...\Ymir!\Look...\The Scouts have already gotten this close.\If only we had run right away, we probably would've been able to escape.\But because you forced us to bring Christa... at this rate, they'll catch us! response:	Hey, Ymir... are you telling us we did all of that for nothing?
context: I don't care if there's something you can't tell me.\No matter what happens...\Ymir!\Look...\The Scouts have already gotten this close.\If only we had run right away, we probably would've been able to escape.\But because you forced us to bring Christa... at this rate, they'll catch us!\Hey, Ymir... are you telling us we did all of that for nothing? response:	Did you change your mind?
context: No matter what happens...\Ymir!\Look...\The Scouts have already gotten this close.\If only we had run right away, we probably would've been able to escape.\But because you forced us to bring Christa... at this rate, they'll catch us!\Hey, Ymir... are you telling us we did all of that for nothing?\Did you change your mind? response:	Is that really what you want? Letting Christa rot within the walls?
context: Ymir!\Look...\The Scouts have already gotten this close.\If only we had run right away, we probably would've been able to escape.\But because you forced us to bring Christa... at this rate, they'll catch us!\Hey, Ymir... are you telling us we did all of that for nothing?\Did you change your mind?\Is that really what you want? Letting Christa rot within the walls? response:	Don't be stupid! Ymir!
context: Look...\The Scouts have already gotten this close.\If only we had run right away, we probably would've been able to escape.\But because you forced us to bring Christa... at this rate, they'll catch us!\Hey, Ymir... are you telling us we did all of that for nothing?\Did you change your mind?\Is that really what you want? Letting Christa rot within the walls?\Don't be stupid! Ymir! response:	Ymir! Hurry up and let me go!
context: The Scouts have already gotten this close.\If only we had run right away, we probably would've been able to escape.\But because you forced us to bring Christa... at this rate, they'll catch us!\Hey, Ymir... are you telling us we did all of that for nothing?\Did you change your mind?\Is that really what you want? Letting Christa rot within the walls?\Don't be stupid! Ymir!\Ymir! Hurry up and let me go! response:	I can't!
context: If only we had run right away, we probably would've been able to escape.\But because you forced us to bring Christa... at this rate, they'll catch us!\Hey, Ymir... are you telling us we did all of that for nothing?\Did you change your mind?\Is that really what you want? Letting Christa rot within the walls?\Don't be stupid! Ymir!\Ymir! Hurry up and let me go!\I can't! response:	Historia...
context: But because you forced us to bring Christa... at this rate, they'll catch us!\Hey, Ymir... are you telling us we did all of that for nothing?\Did you change your mind?\Is that really what you want? Letting Christa rot within the walls?\Don't be stupid! Ymir!\Ymir! Hurry up and let me go!\I can't!\Historia... response:	To be honest...
context: Hey, Ymir... are you telling us we did all of that for nothing?\Did you change your mind?\Is that really what you want? Letting Christa rot within the walls?\Don't be stupid! Ymir!\Ymir! Hurry up and let me go!\I can't!\Historia...\To be honest... response:	Huh?
context: Did you change your mind?\Is that really what you want? Letting Christa rot within the walls?\Don't be stupid! Ymir!\Ymir! Hurry up and let me go!\I can't!\Historia...\To be honest...\Huh? response:	A long time ago, I stole the Power of the Titans from one of their comrades.
context: Is that really what you want? Letting Christa rot within the walls?\Don't be stupid! Ymir!\Ymir! Hurry up and let me go!\I can't!\Historia...\To be honest...\Huh?\A long time ago, I stole the Power of the Titans from one of their comrades. response:	There's nothing I can do against them.
context: Don't be stupid! Ymir!\Ymir! Hurry up and let me go!\I can't!\Historia...\To be honest...\Huh?\A long time ago, I stole the Power of the Titans from one of their comrades.\There's nothing I can do against them. response:	Sooner or later, they'll kill me.
context: Ymir! Hurry up and let me go!\I can't!\Historia...\To be honest...\Huh?\A long time ago, I stole the Power of the Titans from one of their comrades.\There's nothing I can do against them.\Sooner or later, they'll kill me. response:	But... if I hand you over and cooperate with them...
context: I can't!\Historia...\To be honest...\Huh?\A long time ago, I stole the Power of the Titans from one of their comrades.\There's nothing I can do against them.\Sooner or later, they'll kill me.\But... if I hand you over and cooperate with them... response:	and try to make it so my crime goes away.
context: Historia...\To be honest...\Huh?\A long time ago, I stole the Power of the Titans from one of their comrades.\There's nothing I can do against them.\Sooner or later, they'll kill me.\But... if I hand you over and cooperate with them...\and try to make it so my crime goes away. response:	Because you know the secrets of the wall, you're someone important to the Church.
context: To be honest...\Huh?\A long time ago, I stole the Power of the Titans from one of their comrades.\There's nothing I can do against them.\Sooner or later, they'll kill me.\But... if I hand you over and cooperate with them...\and try to make it so my crime goes away.\Because you know the secrets of the wall, you're someone important to the Church. response:	Does it...
context: Huh?\A long time ago, I stole the Power of the Titans from one of their comrades.\There's nothing I can do against them.\Sooner or later, they'll kill me.\But... if I hand you over and cooperate with them...\and try to make it so my crime goes away.\Because you know the secrets of the wall, you're someone important to the Church.\Does it... response:	Yeah, it does.
context: A long time ago, I stole the Power of the Titans from one of their comrades.\There's nothing I can do against them.\Sooner or later, they'll kill me.\But... if I hand you over and cooperate with them...\and try to make it so my crime goes away.\Because you know the secrets of the wall, you're someone important to the Church.\Does it...\Yeah, it does. response:	Once this world started going to hell...
context: There's nothing I can do against them.\Sooner or later, they'll kill me.\But... if I hand you over and cooperate with them...\and try to make it so my crime goes away.\Because you know the secrets of the wall, you're someone important to the Church.\Does it...\Yeah, it does.\Once this world started going to hell... response:	I almost died during the battle at that castle...
context: Sooner or later, they'll kill me.\But... if I hand you over and cooperate with them...\and try to make it so my crime goes away.\Because you know the secrets of the wall, you're someone important to the Church.\Does it...\Yeah, it does.\Once this world started going to hell...\I almost died during the battle at that castle... response:	I'm afraid to die...
context: But... if I hand you over and cooperate with them...\and try to make it so my crime goes away.\Because you know the secrets of the wall, you're someone important to the Church.\Does it...\Yeah, it does.\Once this world started going to hell...\I almost died during the battle at that castle...\I'm afraid to die... response:	I'll do whatever it takes to live...
context: and try to make it so my crime goes away.\Because you know the secrets of the wall, you're someone important to the Church.\Does it...\Yeah, it does.\Once this world started going to hell...\I almost died during the battle at that castle...\I'm afraid to die...\I'll do whatever it takes to live... response:	I'm pathetic...
context: Because you know the secrets of the wall, you're someone important to the Church.\Does it...\Yeah, it does.\Once this world started going to hell...\I almost died during the battle at that castle...\I'm afraid to die...\I'll do whatever it takes to live...\I'm pathetic... response:	I told myself I was doing it for your sake...
context: Does it...\Yeah, it does.\Once this world started going to hell...\I almost died during the battle at that castle...\I'm afraid to die...\I'll do whatever it takes to live...\I'm pathetic...\I told myself I was doing it for your sake... response:	But really, I did it for myself.
context: Yeah, it does.\Once this world started going to hell...\I almost died during the battle at that castle...\I'm afraid to die...\I'll do whatever it takes to live...\I'm pathetic...\I told myself I was doing it for your sake...\But really, I did it for myself. response:	Please, Historia...
context: Once this world started going to hell...\I almost died during the battle at that castle...\I'm afraid to die...\I'll do whatever it takes to live...\I'm pathetic...\I told myself I was doing it for your sake...\But really, I did it for myself.\Please, Historia... response:	Please...
context: I almost died during the battle at that castle...\I'm afraid to die...\I'll do whatever it takes to live...\I'm pathetic...\I told myself I was doing it for your sake...\But really, I did it for myself.\Please, Historia...\Please... response:	Please save me!
context: I'm afraid to die...\I'll do whatever it takes to live...\I'm pathetic...\I told myself I was doing it for your sake...\But really, I did it for myself.\Please, Historia...\Please...\Please save me! response:	I told you already, Ymir.
context: I'll do whatever it takes to live...\I'm pathetic...\I told myself I was doing it for your sake...\But really, I did it for myself.\Please, Historia...\Please...\Please save me!\I told you already, Ymir. response:	No matter what happens... I will always be your ally!
context: I'm pathetic...\I told myself I was doing it for your sake...\But really, I did it for myself.\Please, Historia...\Please...\Please save me!\I told you already, Ymir.\No matter what happens... I will always be your ally! response:	Reiner! Protect us!
context: I told myself I was doing it for your sake...\But really, I did it for myself.\Please, Historia...\Please...\Please save me!\I told you already, Ymir.\No matter what happens... I will always be your ally!\Reiner! Protect us! response:	I knew it! I'll have to kill Ymir first!
context: But really, I did it for myself.\Please, Historia...\Please...\Please save me!\I told you already, Ymir.\No matter what happens... I will always be your ally!\Reiner! Protect us!\I knew it! I'll have to kill Ymir first! response:	Wait, Mikasa!
context: Please, Historia...\Please...\Please save me!\I told you already, Ymir.\No matter what happens... I will always be your ally!\Reiner! Protect us!\I knew it! I'll have to kill Ymir first!\Wait, Mikasa! response:	Don't kill Ymir!
context: Please...\Please save me!\I told you already, Ymir.\No matter what happens... I will always be your ally!\Reiner! Protect us!\I knew it! I'll have to kill Ymir first!\Wait, Mikasa!\Don't kill Ymir! response:	That all depends on Ymir!
context: Please save me!\I told you already, Ymir.\No matter what happens... I will always be your ally!\Reiner! Protect us!\I knew it! I'll have to kill Ymir first!\Wait, Mikasa!\Don't kill Ymir!\That all depends on Ymir! response:	What will it be? I'll kill everyone that gets in my way, so choose!
context: I told you already, Ymir.\No matter what happens... I will always be your ally!\Reiner! Protect us!\I knew it! I'll have to kill Ymir first!\Wait, Mikasa!\Don't kill Ymir!\That all depends on Ymir!\What will it be? I'll kill everyone that gets in my way, so choose! response:	No, wait!
context: No matter what happens... I will always be your ally!\Reiner! Protect us!\I knew it! I'll have to kill Ymir first!\Wait, Mikasa!\Don't kill Ymir!\That all depends on Ymir!\What will it be? I'll kill everyone that gets in my way, so choose!\No, wait! response:	Ymir will be killed unless she does what Reiner and Bertholdt say!
context: Reiner! Protect us!\I knew it! I'll have to kill Ymir first!\Wait, Mikasa!\Don't kill Ymir!\That all depends on Ymir!\What will it be? I'll kill everyone that gets in my way, so choose!\No, wait!\Ymir will be killed unless she does what Reiner and Bertholdt say! response:	She doesn't have a choice!
context: I knew it! I'll have to kill Ymir first!\Wait, Mikasa!\Don't kill Ymir!\That all depends on Ymir!\What will it be? I'll kill everyone that gets in my way, so choose!\No, wait!\Ymir will be killed unless she does what Reiner and Bertholdt say!\She doesn't have a choice! response:	There's only so many lives that I actually care about.
context: Wait, Mikasa!\Don't kill Ymir!\That all depends on Ymir!\What will it be? I'll kill everyone that gets in my way, so choose!\No, wait!\Ymir will be killed unless she does what Reiner and Bertholdt say!\She doesn't have a choice!\There's only so many lives that I actually care about. response:	My enemies made deciding that easy six years ago.
context: Don't kill Ymir!\That all depends on Ymir!\What will it be? I'll kill everyone that gets in my way, so choose!\No, wait!\Ymir will be killed unless she does what Reiner and Bertholdt say!\She doesn't have a choice!\There's only so many lives that I actually care about.\My enemies made deciding that easy six years ago. response:	So... you're mistaken to seek any compassion from me.
context: That all depends on Ymir!\What will it be? I'll kill everyone that gets in my way, so choose!\No, wait!\Ymir will be killed unless she does what Reiner and Bertholdt say!\She doesn't have a choice!\There's only so many lives that I actually care about.\My enemies made deciding that easy six years ago.\So... you're mistaken to seek any compassion from me. response:	Because right now, I'm all out of time and room in my heart to care.
context: What will it be? I'll kill everyone that gets in my way, so choose!\No, wait!\Ymir will be killed unless she does what Reiner and Bertholdt say!\She doesn't have a choice!\There's only so many lives that I actually care about.\My enemies made deciding that easy six years ago.\So... you're mistaken to seek any compassion from me.\Because right now, I'm all out of time and room in my heart to care. response:	Christa... do you pick Eren or Ymir? Which is it?
context: No, wait!\Ymir will be killed unless she does what Reiner and Bertholdt say!\She doesn't have a choice!\There's only so many lives that I actually care about.\My enemies made deciding that easy six years ago.\So... you're mistaken to seek any compassion from me.\Because right now, I'm all out of time and room in my heart to care.\Christa... do you pick Eren or Ymir? Which is it? response:	Will you get in my way, too?!
context: Ymir will be killed unless she does what Reiner and Bertholdt say!\She doesn't have a choice!\There's only so many lives that I actually care about.\My enemies made deciding that easy six years ago.\So... you're mistaken to seek any compassion from me.\Because right now, I'm all out of time and room in my heart to care.\Christa... do you pick Eren or Ymir? Which is it?\Will you get in my way, too?! response:	Stop, Ymir!
context: She doesn't have a choice!\There's only so many lives that I actually care about.\My enemies made deciding that easy six years ago.\So... you're mistaken to seek any compassion from me.\Because right now, I'm all out of time and room in my heart to care.\Christa... do you pick Eren or Ymir? Which is it?\Will you get in my way, too?!\Stop, Ymir! response:	Don't fight back! You'll die!
context: There's only so many lives that I actually care about.\My enemies made deciding that easy six years ago.\So... you're mistaken to seek any compassion from me.\Because right now, I'm all out of time and room in my heart to care.\Christa... do you pick Eren or Ymir? Which is it?\Will you get in my way, too?!\Stop, Ymir!\Don't fight back! You'll die! response:	Don't move!
context: My enemies made deciding that easy six years ago.\So... you're mistaken to seek any compassion from me.\Because right now, I'm all out of time and room in my heart to care.\Christa... do you pick Eren or Ymir? Which is it?\Will you get in my way, too?!\Stop, Ymir!\Don't fight back! You'll die!\Don't move! response:	Quit it, Eren!
context: So... you're mistaken to seek any compassion from me.\Because right now, I'm all out of time and room in my heart to care.\Christa... do you pick Eren or Ymir? Which is it?\Will you get in my way, too?!\Stop, Ymir!\Don't fight back! You'll die!\Don't move!\Quit it, Eren! response:	Don't struggle!
context: Because right now, I'm all out of time and room in my heart to care.\Christa... do you pick Eren or Ymir? Which is it?\Will you get in my way, too?!\Stop, Ymir!\Don't fight back! You'll die!\Don't move!\Quit it, Eren!\Don't struggle! response:	Good luck with that, Bertholdt.
context: Christa... do you pick Eren or Ymir? Which is it?\Will you get in my way, too?!\Stop, Ymir!\Don't fight back! You'll die!\Don't move!\Quit it, Eren!\Don't struggle!\Good luck with that, Bertholdt. response:	It's impossible to get him to calm down.
context: Will you get in my way, too?!\Stop, Ymir!\Don't fight back! You'll die!\Don't move!\Quit it, Eren!\Don't struggle!\Good luck with that, Bertholdt.\It's impossible to get him to calm down. response:	He's the most irritating guy there is!
context: Stop, Ymir!\Don't fight back! You'll die!\Don't move!\Quit it, Eren!\Don't struggle!\Good luck with that, Bertholdt.\It's impossible to get him to calm down.\He's the most irritating guy there is! response:	I know better than anyone!
context: Don't fight back! You'll die!\Don't move!\Quit it, Eren!\Don't struggle!\Good luck with that, Bertholdt.\It's impossible to get him to calm down.\He's the most irritating guy there is!\I know better than anyone! response:	I hate him as much as you do.
context: Don't move!\Quit it, Eren!\Don't struggle!\Good luck with that, Bertholdt.\It's impossible to get him to calm down.\He's the most irritating guy there is!\I know better than anyone!\I hate him as much as you do. response:	So let's beat him up together.
context: Quit it, Eren!\Don't struggle!\Good luck with that, Bertholdt.\It's impossible to get him to calm down.\He's the most irritating guy there is!\I know better than anyone!\I hate him as much as you do.\So let's beat him up together. response:	Why don't you come out of there?
context: Don't struggle!\Good luck with that, Bertholdt.\It's impossible to get him to calm down.\He's the most irritating guy there is!\I know better than anyone!\I hate him as much as you do.\So let's beat him up together.\Why don't you come out of there? response:	Bertholdt! Give him back!
context: Good luck with that, Bertholdt.\It's impossible to get him to calm down.\He's the most irritating guy there is!\I know better than anyone!\I hate him as much as you do.\So let's beat him up together.\Why don't you come out of there?\Bertholdt! Give him back! response:	Hey... You're kidding, right? Bertholdt? Reiner?
context: It's impossible to get him to calm down.\He's the most irritating guy there is!\I know better than anyone!\I hate him as much as you do.\So let's beat him up together.\Why don't you come out of there?\Bertholdt! Give him back!\Hey... You're kidding, right? Bertholdt? Reiner? response:	This whole time... you kept quiet and deceived us?
context: He's the most irritating guy there is!\I know better than anyone!\I hate him as much as you do.\So let's beat him up together.\Why don't you come out of there?\Bertholdt! Give him back!\Hey... You're kidding, right? Bertholdt? Reiner?\This whole time... you kept quiet and deceived us? response:	That's so cruel!
context: I know better than anyone!\I hate him as much as you do.\So let's beat him up together.\Why don't you come out of there?\Bertholdt! Give him back!\Hey... You're kidding, right? Bertholdt? Reiner?\This whole time... you kept quiet and deceived us?\That's so cruel! response:	You guys! Tell us it's all a lie!
context: I hate him as much as you do.\So let's beat him up together.\Why don't you come out of there?\Bertholdt! Give him back!\Hey... You're kidding, right? Bertholdt? Reiner?\This whole time... you kept quiet and deceived us?\That's so cruel!\You guys! Tell us it's all a lie! response:	Hey, hey, hey... You think you can just keep running away?
context: So let's beat him up together.\Why don't you come out of there?\Bertholdt! Give him back!\Hey... You're kidding, right? Bertholdt? Reiner?\This whole time... you kept quiet and deceived us?\That's so cruel!\You guys! Tell us it's all a lie!\Hey, hey, hey... You think you can just keep running away? response:	That's not gonna happen!
context: Why don't you come out of there?\Bertholdt! Give him back!\Hey... You're kidding, right? Bertholdt? Reiner?\This whole time... you kept quiet and deceived us?\That's so cruel!\You guys! Tell us it's all a lie!\Hey, hey, hey... You think you can just keep running away?\That's not gonna happen! response:	For three years, didn't we sleep under the same roof
context: Bertholdt! Give him back!\Hey... You're kidding, right? Bertholdt? Reiner?\This whole time... you kept quiet and deceived us?\That's so cruel!\You guys! Tell us it's all a lie!\Hey, hey, hey... You think you can just keep running away?\That's not gonna happen!\For three years, didn't we sleep under the same roof response:	as comrades through thick and thin?
context: Hey... You're kidding, right? Bertholdt? Reiner?\This whole time... you kept quiet and deceived us?\That's so cruel!\You guys! Tell us it's all a lie!\Hey, hey, hey... You think you can just keep running away?\That's not gonna happen!\For three years, didn't we sleep under the same roof\as comrades through thick and thin? response:	Bertholdt... Your odd sleeping positions were truly an art form.
context: This whole time... you kept quiet and deceived us?\That's so cruel!\You guys! Tell us it's all a lie!\Hey, hey, hey... You think you can just keep running away?\That's not gonna happen!\For three years, didn't we sleep under the same roof\as comrades through thick and thin?\Bertholdt... Your odd sleeping positions were truly an art form. response:	After a while, we all looked forward each morning to seeing your pose...
