context: We'll pass Hosu City... response:	I wonder how Iida's doing...
context: Could it be Nomu's brother? Why here...?\I don't have time for any detours.\I need to show the fruits of my training...\One For All-\Full Cowling!\It's okay, I can do it!\Gran Torino, please be okay!\Hero Killer: Stain vs U.A. Students response:	It's a villain!
context: I don't have time for any detours.\I need to show the fruits of my training...\One For All-\Full Cowling!\It's okay, I can do it!\Gran Torino, please be okay!\Hero Killer: Stain vs U.A. Students\It's a villain! response:	Wh-Where are the heroes?
context: I need to show the fruits of my training...\One For All-\Full Cowling!\It's okay, I can do it!\Gran Torino, please be okay!\Hero Killer: Stain vs U.A. Students\It's a villain!\Wh-Where are the heroes? response:	Pro Hero - Gran Torino - Quirk: Jet
context: One For All-\Full Cowling!\It's okay, I can do it!\Gran Torino, please be okay!\Hero Killer: Stain vs U.A. Students\It's a villain!\Wh-Where are the heroes?\Pro Hero - Gran Torino - Quirk: Jet response:	How many years has it been since I've fought in earnest?
context: Full Cowling!\It's okay, I can do it!\Gran Torino, please be okay!\Hero Killer: Stain vs U.A. Students\It's a villain!\Wh-Where are the heroes?\Pro Hero - Gran Torino - Quirk: Jet\How many years has it been since I've fought in earnest? response:	I've gotten mixed up in something crazy!
context: It's okay, I can do it!\Gran Torino, please be okay!\Hero Killer: Stain vs U.A. Students\It's a villain!\Wh-Where are the heroes?\Pro Hero - Gran Torino - Quirk: Jet\How many years has it been since I've fought in earnest?\I've gotten mixed up in something crazy! response:	I won't let you do whatever you want!
context: Gran Torino, please be okay!\Hero Killer: Stain vs U.A. Students\It's a villain!\Wh-Where are the heroes?\Pro Hero - Gran Torino - Quirk: Jet\How many years has it been since I've fought in earnest?\I've gotten mixed up in something crazy!\I won't let you do whatever you want! response:	He's fast! But-
context: Hero Killer: Stain vs U.A. Students\It's a villain!\Wh-Where are the heroes?\Pro Hero - Gran Torino - Quirk: Jet\How many years has it been since I've fought in earnest?\I've gotten mixed up in something crazy!\I won't let you do whatever you want!\He's fast! But- response:	Not faster than I can handle!
context: It's a villain!\Wh-Where are the heroes?\Pro Hero - Gran Torino - Quirk: Jet\How many years has it been since I've fought in earnest?\I've gotten mixed up in something crazy!\I won't let you do whatever you want!\He's fast! But-\Not faster than I can handle! response:	Hey-
context: Wh-Where are the heroes?\Pro Hero - Gran Torino - Quirk: Jet\How many years has it been since I've fought in earnest?\I've gotten mixed up in something crazy!\I won't let you do whatever you want!\He's fast! But-\Not faster than I can handle!\Hey- response:	He's attacking indiscriminately, huh?
context: Pro Hero - Gran Torino - Quirk: Jet\How many years has it been since I've fought in earnest?\I've gotten mixed up in something crazy!\I won't let you do whatever you want!\He's fast! But-\Not faster than I can handle!\Hey-\He's attacking indiscriminately, huh? response:	Stop it, you little-
context: How many years has it been since I've fought in earnest?\I've gotten mixed up in something crazy!\I won't let you do whatever you want!\He's fast! But-\Not faster than I can handle!\Hey-\He's attacking indiscriminately, huh?\Stop it, you little- response:	I was looking for the hero killer,
context: I've gotten mixed up in something crazy!\I won't let you do whatever you want!\He's fast! But-\Not faster than I can handle!\Hey-\He's attacking indiscriminately, huh?\Stop it, you little-\I was looking for the hero killer, response:	but this guy's timing was bad...
context: I won't let you do whatever you want!\He's fast! But-\Not faster than I can handle!\Hey-\He's attacking indiscriminately, huh?\Stop it, you little-\I was looking for the hero killer,\but this guy's timing was bad... response:	I do not know who you are, honored elder...
context: He's fast! But-\Not faster than I can handle!\Hey-\He's attacking indiscriminately, huh?\Stop it, you little-\I was looking for the hero killer,\but this guy's timing was bad...\I do not know who you are, honored elder... response:	You're...
context: Not faster than I can handle!\Hey-\He's attacking indiscriminately, huh?\Stop it, you little-\I was looking for the hero killer,\but this guy's timing was bad...\I do not know who you are, honored elder...\You're... response:	Seriously?
context: Hey-\He's attacking indiscriminately, huh?\Stop it, you little-\I was looking for the hero killer,\but this guy's timing was bad...\I do not know who you are, honored elder...\You're...\Seriously? response:	Why are you here?
context: He's attacking indiscriminately, huh?\Stop it, you little-\I was looking for the hero killer,\but this guy's timing was bad...\I do not know who you are, honored elder...\You're...\Seriously?\Why are you here? response:	Isn't it obvious?
context: Stop it, you little-\I was looking for the hero killer,\but this guy's timing was bad...\I do not know who you are, honored elder...\You're...\Seriously?\Why are you here?\Isn't it obvious? response:	It's because I am a hero.
context: I was looking for the hero killer,\but this guy's timing was bad...\I do not know who you are, honored elder...\You're...\Seriously?\Why are you here?\Isn't it obvious?\It's because I am a hero. response:	The center of the commotion is where it started.
context: but this guy's timing was bad...\I do not know who you are, honored elder...\You're...\Seriously?\Why are you here?\Isn't it obvious?\It's because I am a hero.\The center of the commotion is where it started. response:	But what's with this guy that looks like Nomu?
context: I do not know who you are, honored elder...\You're...\Seriously?\Why are you here?\Isn't it obvious?\It's because I am a hero.\The center of the commotion is where it started.\But what's with this guy that looks like Nomu? response:	If he's got crazy power like the one at USJ...
context: You're...\Seriously?\Why are you here?\Isn't it obvious?\It's because I am a hero.\The center of the commotion is where it started.\But what's with this guy that looks like Nomu?\If he's got crazy power like the one at USJ... response:	It won't just be Gran Torino that'll be in trouble-the whole city will be!
context: Seriously?\Why are you here?\Isn't it obvious?\It's because I am a hero.\The center of the commotion is where it started.\But what's with this guy that looks like Nomu?\If he's got crazy power like the one at USJ...\It won't just be Gran Torino that'll be in trouble-the whole city will be! response:	Iida, who's doing his internship here, will be, too!
context: Why are you here?\Isn't it obvious?\It's because I am a hero.\The center of the commotion is where it started.\But what's with this guy that looks like Nomu?\If he's got crazy power like the one at USJ...\It won't just be Gran Torino that'll be in trouble-the whole city will be!\Iida, who's doing his internship here, will be, too! response:	What should I do?
context: Isn't it obvious?\It's because I am a hero.\The center of the commotion is where it started.\But what's with this guy that looks like Nomu?\If he's got crazy power like the one at USJ...\It won't just be Gran Torino that'll be in trouble-the whole city will be!\Iida, who's doing his internship here, will be, too!\What should I do? response:	Think!
context: It's because I am a hero.\The center of the commotion is where it started.\But what's with this guy that looks like Nomu?\If he's got crazy power like the one at USJ...\It won't just be Gran Torino that'll be in trouble-the whole city will be!\Iida, who's doing his internship here, will be, too!\What should I do?\Think! response:	What would be the best thing to do?
context: The center of the commotion is where it started.\But what's with this guy that looks like Nomu?\If he's got crazy power like the one at USJ...\It won't just be Gran Torino that'll be in trouble-the whole city will be!\Iida, who's doing his internship here, will be, too!\What should I do?\Think!\What would be the best thing to do? response:	Tenya!
context: But what's with this guy that looks like Nomu?\If he's got crazy power like the one at USJ...\It won't just be Gran Torino that'll be in trouble-the whole city will be!\Iida, who's doing his internship here, will be, too!\What should I do?\Think!\What would be the best thing to do?\Tenya! response:	Tenya!
context: If he's got crazy power like the one at USJ...\It won't just be Gran Torino that'll be in trouble-the whole city will be!\Iida, who's doing his internship here, will be, too!\What should I do?\Think!\What would be the best thing to do?\Tenya!\Tenya! response:	Oh man...
context: It won't just be Gran Torino that'll be in trouble-the whole city will be!\Iida, who's doing his internship here, will be, too!\What should I do?\Think!\What would be the best thing to do?\Tenya!\Tenya!\Oh man... response:	What is this...?
context: Iida, who's doing his internship here, will be, too!\What should I do?\Think!\What would be the best thing to do?\Tenya!\Tenya!\Oh man...\What is this...? response:	Manual! Put out the fire!
context: What should I do?\Think!\What would be the best thing to do?\Tenya!\Tenya!\Oh man...\What is this...?\Manual! Put out the fire! response:	R-Right!
context: Think!\What would be the best thing to do?\Tenya!\Tenya!\Oh man...\What is this...?\Manual! Put out the fire!\R-Right! response:	The voice from earlier! Normal Hero?
context: What would be the best thing to do?\Tenya!\Tenya!\Oh man...\What is this...?\Manual! Put out the fire!\R-Right!\The voice from earlier! Normal Hero? response:	Where Iida went for his internship!
context: Tenya!\Tenya!\Oh man...\What is this...?\Manual! Put out the fire!\R-Right!\The voice from earlier! Normal Hero?\Where Iida went for his internship! response:	Pro Hero - Manual
context: Tenya!\Oh man...\What is this...?\Manual! Put out the fire!\R-Right!\The voice from earlier! Normal Hero?\Where Iida went for his internship!\Pro Hero - Manual response:	Why did you choose a time like this to go off somewhere, Tenya!
context: Oh man...\What is this...?\Manual! Put out the fire!\R-Right!\The voice from earlier! Normal Hero?\Where Iida went for his internship!\Pro Hero - Manual\Why did you choose a time like this to go off somewhere, Tenya! response:	He went off somewhere?
context: What is this...?\Manual! Put out the fire!\R-Right!\The voice from earlier! Normal Hero?\Where Iida went for his internship!\Pro Hero - Manual\Why did you choose a time like this to go off somewhere, Tenya!\He went off somewhere? response:	At a time like this?
context: Manual! Put out the fire!\R-Right!\The voice from earlier! Normal Hero?\Where Iida went for his internship!\Pro Hero - Manual\Why did you choose a time like this to go off somewhere, Tenya!\He went off somewhere?\At a time like this? response:	That diligent Iida did?
context: R-Right!\The voice from earlier! Normal Hero?\Where Iida went for his internship!\Pro Hero - Manual\Why did you choose a time like this to go off somewhere, Tenya!\He went off somewhere?\At a time like this?\That diligent Iida did? response:	Hey, you're in the way!
context: The voice from earlier! Normal Hero?\Where Iida went for his internship!\Pro Hero - Manual\Why did you choose a time like this to go off somewhere, Tenya!\He went off somewhere?\At a time like this?\That diligent Iida did?\Hey, you're in the way! response:	Get back!
context: Where Iida went for his internship!\Pro Hero - Manual\Why did you choose a time like this to go off somewhere, Tenya!\He went off somewhere?\At a time like this?\That diligent Iida did?\Hey, you're in the way!\Get back! response:	I-I'm sorry!
context: Pro Hero - Manual\Why did you choose a time like this to go off somewhere, Tenya!\He went off somewhere?\At a time like this?\That diligent Iida did?\Hey, you're in the way!\Get back!\I-I'm sorry! response:	We'll hold him back here!
context: Why did you choose a time like this to go off somewhere, Tenya!\He went off somewhere?\At a time like this?\That diligent Iida did?\Hey, you're in the way!\Get back!\I-I'm sorry!\We'll hold him back here! response:	Follow the police's evacuation instructions!
context: He went off somewhere?\At a time like this?\That diligent Iida did?\Hey, you're in the way!\Get back!\I-I'm sorry!\We'll hold him back here!\Follow the police's evacuation instructions! response:	Where's Tenya?!
context: At a time like this?\That diligent Iida did?\Hey, you're in the way!\Get back!\I-I'm sorry!\We'll hold him back here!\Follow the police's evacuation instructions!\Where's Tenya?! response:	It's weird for Iida to go off with such a major incident in front of him-
context: That diligent Iida did?\Hey, you're in the way!\Get back!\I-I'm sorry!\We'll hold him back here!\Follow the police's evacuation instructions!\Where's Tenya?!\It's weird for Iida to go off with such a major incident in front of him- response:	Hosu City...
context: Hey, you're in the way!\Get back!\I-I'm sorry!\We'll hold him back here!\Follow the police's evacuation instructions!\Where's Tenya?!\It's weird for Iida to go off with such a major incident in front of him-\Hosu City... response:	Guys that look like Nomu...
context: Get back!\I-I'm sorry!\We'll hold him back here!\Follow the police's evacuation instructions!\Where's Tenya?!\It's weird for Iida to go off with such a major incident in front of him-\Hosu City...\Guys that look like Nomu... response:	Iida...
context: I-I'm sorry!\We'll hold him back here!\Follow the police's evacuation instructions!\Where's Tenya?!\It's weird for Iida to go off with such a major incident in front of him-\Hosu City...\Guys that look like Nomu...\Iida... response:	Hosu...
context: We'll hold him back here!\Follow the police's evacuation instructions!\Where's Tenya?!\It's weird for Iida to go off with such a major incident in front of him-\Hosu City...\Guys that look like Nomu...\Iida...\Hosu... response:	Hero Killer...
context: Follow the police's evacuation instructions!\Where's Tenya?!\It's weird for Iida to go off with such a major incident in front of him-\Hosu City...\Guys that look like Nomu...\Iida...\Hosu...\Hero Killer... response:	Don't tell me-!
context: Where's Tenya?!\It's weird for Iida to go off with such a major incident in front of him-\Hosu City...\Guys that look like Nomu...\Iida...\Hosu...\Hero Killer...\Don't tell me-! response:	Damn it, what's with these guys?!
context: It's weird for Iida to go off with such a major incident in front of him-\Hosu City...\Guys that look like Nomu...\Iida...\Hosu...\Hero Killer...\Don't tell me-!\Damn it, what's with these guys?! response:	Wh-What's with that power?
context: Hosu City...\Guys that look like Nomu...\Iida...\Hosu...\Hero Killer...\Don't tell me-!\Damn it, what's with these guys?!\Wh-What's with that power? response:	The Fly!
context: Guys that look like Nomu...\Iida...\Hosu...\Hero Killer...\Don't tell me-!\Damn it, what's with these guys?!\Wh-What's with that power?\The Fly! response:	Hey, what's the situation?
context: Iida...\Hosu...\Hero Killer...\Don't tell me-!\Damn it, what's with these guys?!\Wh-What's with that power?\The Fly!\Hey, what's the situation? response:	What are these monsters after?
context: Hosu...\Hero Killer...\Don't tell me-!\Damn it, what's with these guys?!\Wh-What's with that power?\The Fly!\Hey, what's the situation?\What are these monsters after? response:	Nomus really are great...
context: Hero Killer...\Don't tell me-!\Damn it, what's with these guys?!\Wh-What's with that power?\The Fly!\Hey, what's the situation?\What are these monsters after?\Nomus really are great... response:	Villain - Kurogiri - Quirk: Warp Gate Villain - Tomura Shigaraki - Quirk: Decay
context: Don't tell me-!\Damn it, what's with these guys?!\Wh-What's with that power?\The Fly!\Hey, what's the situation?\What are these monsters after?\Nomus really are great...\Villain - Kurogiri - Quirk: Warp Gate Villain - Tomura Shigaraki - Quirk: Decay response:	You will not participate in the combat?
context: Damn it, what's with these guys?!\Wh-What's with that power?\The Fly!\Hey, what's the situation?\What are these monsters after?\Nomus really are great...\Villain - Kurogiri - Quirk: Warp Gate Villain - Tomura Shigaraki - Quirk: Decay\You will not participate in the combat? response:	Are you stupid? I'm injured.
context: Wh-What's with that power?\The Fly!\Hey, what's the situation?\What are these monsters after?\Nomus really are great...\Villain - Kurogiri - Quirk: Warp Gate Villain - Tomura Shigaraki - Quirk: Decay\You will not participate in the combat?\Are you stupid? I'm injured. response:	That's why I brought those guys.
context: The Fly!\Hey, what's the situation?\What are these monsters after?\Nomus really are great...\Villain - Kurogiri - Quirk: Warp Gate Villain - Tomura Shigaraki - Quirk: Decay\You will not participate in the combat?\Are you stupid? I'm injured.\That's why I brought those guys. response:	Master, how many Nomus have you finished?
context: Hey, what's the situation?\What are these monsters after?\Nomus really are great...\Villain - Kurogiri - Quirk: Warp Gate Villain - Tomura Shigaraki - Quirk: Decay\You will not participate in the combat?\Are you stupid? I'm injured.\That's why I brought those guys.\Master, how many Nomus have you finished? response:	They're not as strong as the one from the USJ attack,
context: What are these monsters after?\Nomus really are great...\Villain - Kurogiri - Quirk: Warp Gate Villain - Tomura Shigaraki - Quirk: Decay\You will not participate in the combat?\Are you stupid? I'm injured.\That's why I brought those guys.\Master, how many Nomus have you finished?\They're not as strong as the one from the USJ attack, response:	but I've finished verifying the behavior of six.
context: Nomus really are great...\Villain - Kurogiri - Quirk: Warp Gate Villain - Tomura Shigaraki - Quirk: Decay\You will not participate in the combat?\Are you stupid? I'm injured.\That's why I brought those guys.\Master, how many Nomus have you finished?\They're not as strong as the one from the USJ attack,\but I've finished verifying the behavior of six. response:	Give them to me.
context: Villain - Kurogiri - Quirk: Warp Gate Villain - Tomura Shigaraki - Quirk: Decay\You will not participate in the combat?\Are you stupid? I'm injured.\That's why I brought those guys.\Master, how many Nomus have you finished?\They're not as strong as the one from the USJ attack,\but I've finished verifying the behavior of six.\Give them to me. response:	Why?
context: You will not participate in the combat?\Are you stupid? I'm injured.\That's why I brought those guys.\Master, how many Nomus have you finished?\They're not as strong as the one from the USJ attack,\but I've finished verifying the behavior of six.\Give them to me.\Why? response:	Because I don't like the hero killer.
context: Are you stupid? I'm injured.\That's why I brought those guys.\Master, how many Nomus have you finished?\They're not as strong as the one from the USJ attack,\but I've finished verifying the behavior of six.\Give them to me.\Why?\Because I don't like the hero killer. response:	I can destroy the things I don't like, right, Master?
context: That's why I brought those guys.\Master, how many Nomus have you finished?\They're not as strong as the one from the USJ attack,\but I've finished verifying the behavior of six.\Give them to me.\Why?\Because I don't like the hero killer.\I can destroy the things I don't like, right, Master? response:	Very well.
context: Master, how many Nomus have you finished?\They're not as strong as the one from the USJ attack,\but I've finished verifying the behavior of six.\Give them to me.\Why?\Because I don't like the hero killer.\I can destroy the things I don't like, right, Master?\Very well. response:	However, you may only have three.
context: They're not as strong as the one from the USJ attack,\but I've finished verifying the behavior of six.\Give them to me.\Why?\Because I don't like the hero killer.\I can destroy the things I don't like, right, Master?\Very well.\However, you may only have three. response:	You should use this as a learning experience.
context: but I've finished verifying the behavior of six.\Give them to me.\Why?\Because I don't like the hero killer.\I can destroy the things I don't like, right, Master?\Very well.\However, you may only have three.\You should use this as a learning experience. response:	Once the night is over, the world will have forgotten about you,
context: Give them to me.\Why?\Because I don't like the hero killer.\I can destroy the things I don't like, right, Master?\Very well.\However, you may only have three.\You should use this as a learning experience.\Once the night is over, the world will have forgotten about you, response:	Hero Killer.
context: Why?\Because I don't like the hero killer.\I can destroy the things I don't like, right, Master?\Very well.\However, you may only have three.\You should use this as a learning experience.\Once the night is over, the world will have forgotten about you,\Hero Killer. response:	A child wearing a suit...
context: Because I don't like the hero killer.\I can destroy the things I don't like, right, Master?\Very well.\However, you may only have three.\You should use this as a learning experience.\Once the night is over, the world will have forgotten about you,\Hero Killer.\A child wearing a suit... response:	Villain - Stain Tenya Iida - Quirk: Engine
context: I can destroy the things I don't like, right, Master?\Very well.\However, you may only have three.\You should use this as a learning experience.\Once the night is over, the world will have forgotten about you,\Hero Killer.\A child wearing a suit...\Villain - Stain Tenya Iida - Quirk: Engine response:	Who are you?
context: Very well.\However, you may only have three.\You should use this as a learning experience.\Once the night is over, the world will have forgotten about you,\Hero Killer.\A child wearing a suit...\Villain - Stain Tenya Iida - Quirk: Engine\Who are you? response:	I am the younger brother of the hero you attacked.
context: However, you may only have three.\You should use this as a learning experience.\Once the night is over, the world will have forgotten about you,\Hero Killer.\A child wearing a suit...\Villain - Stain Tenya Iida - Quirk: Engine\Who are you?\I am the younger brother of the hero you attacked. response:	The younger brother of a most excellent older brother!
context: You should use this as a learning experience.\Once the night is over, the world will have forgotten about you,\Hero Killer.\A child wearing a suit...\Villain - Stain Tenya Iida - Quirk: Engine\Who are you?\I am the younger brother of the hero you attacked.\The younger brother of a most excellent older brother! response:	I have come to stop you in his place!
context: Once the night is over, the world will have forgotten about you,\Hero Killer.\A child wearing a suit...\Villain - Stain Tenya Iida - Quirk: Engine\Who are you?\I am the younger brother of the hero you attacked.\The younger brother of a most excellent older brother!\I have come to stop you in his place! response:	Will you take this name for me?
context: Hero Killer.\A child wearing a suit...\Villain - Stain Tenya Iida - Quirk: Engine\Who are you?\I am the younger brother of the hero you attacked.\The younger brother of a most excellent older brother!\I have come to stop you in his place!\Will you take this name for me? response:	Remember my name for as long as you live!
context: A child wearing a suit...\Villain - Stain Tenya Iida - Quirk: Engine\Who are you?\I am the younger brother of the hero you attacked.\The younger brother of a most excellent older brother!\I have come to stop you in his place!\Will you take this name for me?\Remember my name for as long as you live! response:	Ingenium. It is the name of the hero who will defeat you!
context: Villain - Stain Tenya Iida - Quirk: Engine\Who are you?\I am the younger brother of the hero you attacked.\The younger brother of a most excellent older brother!\I have come to stop you in his place!\Will you take this name for me?\Remember my name for as long as you live!\Ingenium. It is the name of the hero who will defeat you! response:	I see.
context: Who are you?\I am the younger brother of the hero you attacked.\The younger brother of a most excellent older brother!\I have come to stop you in his place!\Will you take this name for me?\Remember my name for as long as you live!\Ingenium. It is the name of the hero who will defeat you!\I see. response:	Die.
context: I am the younger brother of the hero you attacked.\The younger brother of a most excellent older brother!\I have come to stop you in his place!\Will you take this name for me?\Remember my name for as long as you live!\Ingenium. It is the name of the hero who will defeat you!\I see.\Die. response:	Like I would!
context: The younger brother of a most excellent older brother!\I have come to stop you in his place!\Will you take this name for me?\Remember my name for as long as you live!\Ingenium. It is the name of the hero who will defeat you!\I see.\Die.\Like I would! response:	Ingenium. You're brothers, huh?
context: I have come to stop you in his place!\Will you take this name for me?\Remember my name for as long as you live!\Ingenium. It is the name of the hero who will defeat you!\I see.\Die.\Like I would!\Ingenium. You're brothers, huh? response:	In order to let news of me spread...
context: Will you take this name for me?\Remember my name for as long as you live!\Ingenium. It is the name of the hero who will defeat you!\I see.\Die.\Like I would!\Ingenium. You're brothers, huh?\In order to let news of me spread... response:	You're weak.
context: Remember my name for as long as you live!\Ingenium. It is the name of the hero who will defeat you!\I see.\Die.\Like I would!\Ingenium. You're brothers, huh?\In order to let news of me spread...\You're weak. response:	You and your brother are both weak.
context: Ingenium. It is the name of the hero who will defeat you!\I see.\Die.\Like I would!\Ingenium. You're brothers, huh?\In order to let news of me spread...\You're weak.\You and your brother are both weak. response:	Because you're fakes.
context: I see.\Die.\Like I would!\Ingenium. You're brothers, huh?\In order to let news of me spread...\You're weak.\You and your brother are both weak.\Because you're fakes. response:	Shut up, villain!
context: Die.\Like I would!\Ingenium. You're brothers, huh?\In order to let news of me spread...\You're weak.\You and your brother are both weak.\Because you're fakes.\Shut up, villain! response:	He's paralyzed from the waist down due to spinal cord damage!
context: Like I would!\Ingenium. You're brothers, huh?\In order to let news of me spread...\You're weak.\You and your brother are both weak.\Because you're fakes.\Shut up, villain!\He's paralyzed from the waist down due to spinal cord damage! response:	He can't work as a hero anymore!
context: Ingenium. You're brothers, huh?\In order to let news of me spread...\You're weak.\You and your brother are both weak.\Because you're fakes.\Shut up, villain!\He's paralyzed from the waist down due to spinal cord damage!\He can't work as a hero anymore! response:	Tensei is an excellent hero who saved many people... and led them until now...
context: In order to let news of me spread...\You're weak.\You and your brother are both weak.\Because you're fakes.\Shut up, villain!\He's paralyzed from the waist down due to spinal cord damage!\He can't work as a hero anymore!\Tensei is an excellent hero who saved many people... and led them until now... response:	There's no reason for you to crush him...
context: You're weak.\You and your brother are both weak.\Because you're fakes.\Shut up, villain!\He's paralyzed from the waist down due to spinal cord damage!\He can't work as a hero anymore!\Tensei is an excellent hero who saved many people... and led them until now...\There's no reason for you to crush him... response:	Tensei, I am very proud of you.
context: You and your brother are both weak.\Because you're fakes.\Shut up, villain!\He's paralyzed from the waist down due to spinal cord damage!\He can't work as a hero anymore!\Tensei is an excellent hero who saved many people... and led them until now...\There's no reason for you to crush him...\Tensei, I am very proud of you. response:	You have become independent at a young age, with many sidekicks who follow you.
context: Because you're fakes.\Shut up, villain!\He's paralyzed from the waist down due to spinal cord damage!\He can't work as a hero anymore!\Tensei is an excellent hero who saved many people... and led them until now...\There's no reason for you to crush him...\Tensei, I am very proud of you.\You have become independent at a young age, with many sidekicks who follow you. response:	Tensei Iida
context: Shut up, villain!\He's paralyzed from the waist down due to spinal cord damage!\He can't work as a hero anymore!\Tensei is an excellent hero who saved many people... and led them until now...\There's no reason for you to crush him...\Tensei, I am very proud of you.\You have become independent at a young age, with many sidekicks who follow you.\Tensei Iida response:	That is not an easy feat.
context: He's paralyzed from the waist down due to spinal cord damage!\He can't work as a hero anymore!\Tensei is an excellent hero who saved many people... and led them until now...\There's no reason for you to crush him...\Tensei, I am very proud of you.\You have become independent at a young age, with many sidekicks who follow you.\Tensei Iida\That is not an easy feat. response:	It's not that they follow me, Dad. It's the opposite.
context: He can't work as a hero anymore!\Tensei is an excellent hero who saved many people... and led them until now...\There's no reason for you to crush him...\Tensei, I am very proud of you.\You have become independent at a young age, with many sidekicks who follow you.\Tensei Iida\That is not an easy feat.\It's not that they follow me, Dad. It's the opposite. response:	I can't do anything by myself, yet, so they're supporting me.
context: Tensei is an excellent hero who saved many people... and led them until now...\There's no reason for you to crush him...\Tensei, I am very proud of you.\You have become independent at a young age, with many sidekicks who follow you.\Tensei Iida\That is not an easy feat.\It's not that they follow me, Dad. It's the opposite.\I can't do anything by myself, yet, so they're supporting me. response:	I need to work hard to return the favor, too.
context: There's no reason for you to crush him...\Tensei, I am very proud of you.\You have become independent at a young age, with many sidekicks who follow you.\Tensei Iida\That is not an easy feat.\It's not that they follow me, Dad. It's the opposite.\I can't do anything by myself, yet, so they're supporting me.\I need to work hard to return the favor, too. response:	I'm not that talented or anything, but I have to live up to the name of hero.
