context: Say, Nana Komatsu. response:	Do you remember the first time we met?
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	I thought it was Nana's room?
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I thought it was Nana's room? response:	No, this is my room. I'm the master here, you know.
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I thought it was Nana's room?\No, this is my room. I'm the master here, you know. response:	You are?
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I thought it was Nana's room?\No, this is my room. I'm the master here, you know.\You are? response:	You know what?
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\I thought it was Nana's room?\No, this is my room. I'm the master here, you know.\You are?\You know what? response:	I've been really exhausted as of late.
context: I wanna need your love\I'm a broken rose\I wanna need your love\I thought it was Nana's room?\No, this is my room. I'm the master here, you know.\You are?\You know what?\I've been really exhausted as of late. response:	Even though you play a small role?
context: I'm a broken rose\I wanna need your love\I thought it was Nana's room?\No, this is my room. I'm the master here, you know.\You are?\You know what?\I've been really exhausted as of late.\Even though you play a small role? response:	Hey, you're no different.
context: I wanna need your love\I thought it was Nana's room?\No, this is my room. I'm the master here, you know.\You are?\You know what?\I've been really exhausted as of late.\Even though you play a small role?\Hey, you're no different. response:	I'm exhausted because of Nana. Ah, the Nana also known as Hachi.
context: I thought it was Nana's room?\No, this is my room. I'm the master here, you know.\You are?\You know what?\I've been really exhausted as of late.\Even though you play a small role?\Hey, you're no different.\I'm exhausted because of Nana. Ah, the Nana also known as Hachi. response:	I see.
context: No, this is my room. I'm the master here, you know.\You are?\You know what?\I've been really exhausted as of late.\Even though you play a small role?\Hey, you're no different.\I'm exhausted because of Nana. Ah, the Nana also known as Hachi.\I see. response:	Why won't Nana get it into her head?
context: You are?\You know what?\I've been really exhausted as of late.\Even though you play a small role?\Hey, you're no different.\I'm exhausted because of Nana. Ah, the Nana also known as Hachi.\I see.\Why won't Nana get it into her head? response:	It's been one headache after another ever since she moved to Tokyo.
context: You know what?\I've been really exhausted as of late.\Even though you play a small role?\Hey, you're no different.\I'm exhausted because of Nana. Ah, the Nana also known as Hachi.\I see.\Why won't Nana get it into her head?\It's been one headache after another ever since she moved to Tokyo. response:	It's spring! Spring has finally come!
context: I've been really exhausted as of late.\Even though you play a small role?\Hey, you're no different.\I'm exhausted because of Nana. Ah, the Nana also known as Hachi.\I see.\Why won't Nana get it into her head?\It's been one headache after another ever since she moved to Tokyo.\It's spring! Spring has finally come! response:	After the long wait, spring has arrived!
context: Even though you play a small role?\Hey, you're no different.\I'm exhausted because of Nana. Ah, the Nana also known as Hachi.\I see.\Why won't Nana get it into her head?\It's been one headache after another ever since she moved to Tokyo.\It's spring! Spring has finally come!\After the long wait, spring has arrived! response:	Nana says she's on her way to Tokyo.
context: Hey, you're no different.\I'm exhausted because of Nana. Ah, the Nana also known as Hachi.\I see.\Why won't Nana get it into her head?\It's been one headache after another ever since she moved to Tokyo.\It's spring! Spring has finally come!\After the long wait, spring has arrived!\Nana says she's on her way to Tokyo. response:	- Y-Yes?! - Y-Yes?!
context: I'm exhausted because of Nana. Ah, the Nana also known as Hachi.\I see.\Why won't Nana get it into her head?\It's been one headache after another ever since she moved to Tokyo.\It's spring! Spring has finally come!\After the long wait, spring has arrived!\Nana says she's on her way to Tokyo.\- Y-Yes?! - Y-Yes?! response:	One ticket to Tokyo. One way.
context: I see.\Why won't Nana get it into her head?\It's been one headache after another ever since she moved to Tokyo.\It's spring! Spring has finally come!\After the long wait, spring has arrived!\Nana says she's on her way to Tokyo.\- Y-Yes?! - Y-Yes?!\One ticket to Tokyo. One way. response:	Okay, then. Let's make a toast.
context: Why won't Nana get it into her head?\It's been one headache after another ever since she moved to Tokyo.\It's spring! Spring has finally come!\After the long wait, spring has arrived!\Nana says she's on her way to Tokyo.\- Y-Yes?! - Y-Yes?!\One ticket to Tokyo. One way.\Okay, then. Let's make a toast. response:	A toast to what?
context: It's been one headache after another ever since she moved to Tokyo.\It's spring! Spring has finally come!\After the long wait, spring has arrived!\Nana says she's on her way to Tokyo.\- Y-Yes?! - Y-Yes?!\One ticket to Tokyo. One way.\Okay, then. Let's make a toast.\A toast to what? response:	Well...
context: It's spring! Spring has finally come!\After the long wait, spring has arrived!\Nana says she's on her way to Tokyo.\- Y-Yes?! - Y-Yes?!\One ticket to Tokyo. One way.\Okay, then. Let's make a toast.\A toast to what?\Well... response:	To Shoji passing the University exams!
context: After the long wait, spring has arrived!\Nana says she's on her way to Tokyo.\- Y-Yes?! - Y-Yes?!\One ticket to Tokyo. One way.\Okay, then. Let's make a toast.\A toast to what?\Well...\To Shoji passing the University exams! response:	No, that has nothing to do with me.
context: Nana says she's on her way to Tokyo.\- Y-Yes?! - Y-Yes?!\One ticket to Tokyo. One way.\Okay, then. Let's make a toast.\A toast to what?\Well...\To Shoji passing the University exams!\No, that has nothing to do with me. response:	Then, can we at least drink to this unique moment?
context: - Y-Yes?! - Y-Yes?!\One ticket to Tokyo. One way.\Okay, then. Let's make a toast.\A toast to what?\Well...\To Shoji passing the University exams!\No, that has nothing to do with me.\Then, can we at least drink to this unique moment? response:	Hey, I like that.
context: One ticket to Tokyo. One way.\Okay, then. Let's make a toast.\A toast to what?\Well...\To Shoji passing the University exams!\No, that has nothing to do with me.\Then, can we at least drink to this unique moment?\Hey, I like that. response:	To two girls, the same age,
context: Okay, then. Let's make a toast.\A toast to what?\Well...\To Shoji passing the University exams!\No, that has nothing to do with me.\Then, can we at least drink to this unique moment?\Hey, I like that.\To two girls, the same age, response:	arriving in Tokyo at the same time on the same train.
context: A toast to what?\Well...\To Shoji passing the University exams!\No, that has nothing to do with me.\Then, can we at least drink to this unique moment?\Hey, I like that.\To two girls, the same age,\arriving in Tokyo at the same time on the same train. response:	That's quite a coincidence, don't you think?
context: Well...\To Shoji passing the University exams!\No, that has nothing to do with me.\Then, can we at least drink to this unique moment?\Hey, I like that.\To two girls, the same age,\arriving in Tokyo at the same time on the same train.\That's quite a coincidence, don't you think? response:	And to one more thing.
context: To Shoji passing the University exams!\No, that has nothing to do with me.\Then, can we at least drink to this unique moment?\Hey, I like that.\To two girls, the same age,\arriving in Tokyo at the same time on the same train.\That's quite a coincidence, don't you think?\And to one more thing. response:	My name is Nana too, Nana.
context: No, that has nothing to do with me.\Then, can we at least drink to this unique moment?\Hey, I like that.\To two girls, the same age,\arriving in Tokyo at the same time on the same train.\That's quite a coincidence, don't you think?\And to one more thing.\My name is Nana too, Nana. response:	Nana!
context: Then, can we at least drink to this unique moment?\Hey, I like that.\To two girls, the same age,\arriving in Tokyo at the same time on the same train.\That's quite a coincidence, don't you think?\And to one more thing.\My name is Nana too, Nana.\Nana! response:	That's you, right, Nana?! No way!
context: Hey, I like that.\To two girls, the same age,\arriving in Tokyo at the same time on the same train.\That's quite a coincidence, don't you think?\And to one more thing.\My name is Nana too, Nana.\Nana!\That's you, right, Nana?! No way! response:	What a coincidence!
context: To two girls, the same age,\arriving in Tokyo at the same time on the same train.\That's quite a coincidence, don't you think?\And to one more thing.\My name is Nana too, Nana.\Nana!\That's you, right, Nana?! No way!\What a coincidence! response:	Who are you?
context: arriving in Tokyo at the same time on the same train.\That's quite a coincidence, don't you think?\And to one more thing.\My name is Nana too, Nana.\Nana!\That's you, right, Nana?! No way!\What a coincidence!\Who are you? response:	Am I such a forgettable person?
context: That's quite a coincidence, don't you think?\And to one more thing.\My name is Nana too, Nana.\Nana!\That's you, right, Nana?! No way!\What a coincidence!\Who are you?\Am I such a forgettable person? response:	Sorry, sorry.
context: And to one more thing.\My name is Nana too, Nana.\Nana!\That's you, right, Nana?! No way!\What a coincidence!\Who are you?\Am I such a forgettable person?\Sorry, sorry. response:	Are you all right, Nana-chan?
context: My name is Nana too, Nana.\Nana!\That's you, right, Nana?! No way!\What a coincidence!\Who are you?\Am I such a forgettable person?\Sorry, sorry.\Are you all right, Nana-chan? response:	So you do remember.
context: Nana!\That's you, right, Nana?! No way!\What a coincidence!\Who are you?\Am I such a forgettable person?\Sorry, sorry.\Are you all right, Nana-chan?\So you do remember. response:	Then starting tomorrow, we're roommates, Nana-chan.
context: That's you, right, Nana?! No way!\What a coincidence!\Who are you?\Am I such a forgettable person?\Sorry, sorry.\Are you all right, Nana-chan?\So you do remember.\Then starting tomorrow, we're roommates, Nana-chan. response:	What in the world were you thinking?!
context: What a coincidence!\Who are you?\Am I such a forgettable person?\Sorry, sorry.\Are you all right, Nana-chan?\So you do remember.\Then starting tomorrow, we're roommates, Nana-chan.\What in the world were you thinking?! response:	Why not? Sharing is cool! Like the foreigners do!
context: Who are you?\Am I such a forgettable person?\Sorry, sorry.\Are you all right, Nana-chan?\So you do remember.\Then starting tomorrow, we're roommates, Nana-chan.\What in the world were you thinking?!\Why not? Sharing is cool! Like the foreigners do! response:	You're so easily fooled by others!
context: Am I such a forgettable person?\Sorry, sorry.\Are you all right, Nana-chan?\So you do remember.\Then starting tomorrow, we're roommates, Nana-chan.\What in the world were you thinking?!\Why not? Sharing is cool! Like the foreigners do!\You're so easily fooled by others! response:	I don't think it's a good idea for you to move in with a complete stranger.
context: Sorry, sorry.\Are you all right, Nana-chan?\So you do remember.\Then starting tomorrow, we're roommates, Nana-chan.\What in the world were you thinking?!\Why not? Sharing is cool! Like the foreigners do!\You're so easily fooled by others!\I don't think it's a good idea for you to move in with a complete stranger. response:	What were you thinking?
context: Are you all right, Nana-chan?\So you do remember.\Then starting tomorrow, we're roommates, Nana-chan.\What in the world were you thinking?!\Why not? Sharing is cool! Like the foreigners do!\You're so easily fooled by others!\I don't think it's a good idea for you to move in with a complete stranger.\What were you thinking? response:	Okay, I got it. Let's live together.
context: So you do remember.\Then starting tomorrow, we're roommates, Nana-chan.\What in the world were you thinking?!\Why not? Sharing is cool! Like the foreigners do!\You're so easily fooled by others!\I don't think it's a good idea for you to move in with a complete stranger.\What were you thinking?\Okay, I got it. Let's live together. response:	You wouldn't wanna live with me. You'll hate it.
context: Then starting tomorrow, we're roommates, Nana-chan.\What in the world were you thinking?!\Why not? Sharing is cool! Like the foreigners do!\You're so easily fooled by others!\I don't think it's a good idea for you to move in with a complete stranger.\What were you thinking?\Okay, I got it. Let's live together.\You wouldn't wanna live with me. You'll hate it. response:	I'm always wanting my own way, and I whine.
context: What in the world were you thinking?!\Why not? Sharing is cool! Like the foreigners do!\You're so easily fooled by others!\I don't think it's a good idea for you to move in with a complete stranger.\What were you thinking?\Okay, I got it. Let's live together.\You wouldn't wanna live with me. You'll hate it.\I'm always wanting my own way, and I whine. response:	You think I don't know that?
context: Why not? Sharing is cool! Like the foreigners do!\You're so easily fooled by others!\I don't think it's a good idea for you to move in with a complete stranger.\What were you thinking?\Okay, I got it. Let's live together.\You wouldn't wanna live with me. You'll hate it.\I'm always wanting my own way, and I whine.\You think I don't know that? response:	I'm used to it, or rather, I've given up about that.
context: You're so easily fooled by others!\I don't think it's a good idea for you to move in with a complete stranger.\What were you thinking?\Okay, I got it. Let's live together.\You wouldn't wanna live with me. You'll hate it.\I'm always wanting my own way, and I whine.\You think I don't know that?\I'm used to it, or rather, I've given up about that. response:	How dare you!
context: I don't think it's a good idea for you to move in with a complete stranger.\What were you thinking?\Okay, I got it. Let's live together.\You wouldn't wanna live with me. You'll hate it.\I'm always wanting my own way, and I whine.\You think I don't know that?\I'm used to it, or rather, I've given up about that.\How dare you! response:	Just kidding. Let's do it, okay?
context: What were you thinking?\Okay, I got it. Let's live together.\You wouldn't wanna live with me. You'll hate it.\I'm always wanting my own way, and I whine.\You think I don't know that?\I'm used to it, or rather, I've given up about that.\How dare you!\Just kidding. Let's do it, okay? response:	Shoji...
context: Okay, I got it. Let's live together.\You wouldn't wanna live with me. You'll hate it.\I'm always wanting my own way, and I whine.\You think I don't know that?\I'm used to it, or rather, I've given up about that.\How dare you!\Just kidding. Let's do it, okay?\Shoji... response:	Thank you.
context: You wouldn't wanna live with me. You'll hate it.\I'm always wanting my own way, and I whine.\You think I don't know that?\I'm used to it, or rather, I've given up about that.\How dare you!\Just kidding. Let's do it, okay?\Shoji...\Thank you. response:	That makes me happy.
context: I'm always wanting my own way, and I whine.\You think I don't know that?\I'm used to it, or rather, I've given up about that.\How dare you!\Just kidding. Let's do it, okay?\Shoji...\Thank you.\That makes me happy. response:	But I can't!
context: You think I don't know that?\I'm used to it, or rather, I've given up about that.\How dare you!\Just kidding. Let's do it, okay?\Shoji...\Thank you.\That makes me happy.\But I can't! response:	Those words were all I needed to hear.
context: I'm used to it, or rather, I've given up about that.\How dare you!\Just kidding. Let's do it, okay?\Shoji...\Thank you.\That makes me happy.\But I can't!\Those words were all I needed to hear. response:	You've chosen me over Sachiko.
context: How dare you!\Just kidding. Let's do it, okay?\Shoji...\Thank you.\That makes me happy.\But I can't!\Those words were all I needed to hear.\You've chosen me over Sachiko. response:	Who the heck is Sachiko?
context: Just kidding. Let's do it, okay?\Shoji...\Thank you.\That makes me happy.\But I can't!\Those words were all I needed to hear.\You've chosen me over Sachiko.\Who the heck is Sachiko? response:	You're just too kind.
context: Shoji...\Thank you.\That makes me happy.\But I can't!\Those words were all I needed to hear.\You've chosen me over Sachiko.\Who the heck is Sachiko?\You're just too kind. response:	If we live together,
context: Thank you.\That makes me happy.\But I can't!\Those words were all I needed to hear.\You've chosen me over Sachiko.\Who the heck is Sachiko?\You're just too kind.\If we live together, response:	I'm going to rely on you too much all the time.
context: That makes me happy.\But I can't!\Those words were all I needed to hear.\You've chosen me over Sachiko.\Who the heck is Sachiko?\You're just too kind.\If we live together,\I'm going to rely on you too much all the time. response:	I don't want to be a burden anymore than I already am.
context: But I can't!\Those words were all I needed to hear.\You've chosen me over Sachiko.\Who the heck is Sachiko?\You're just too kind.\If we live together,\I'm going to rely on you too much all the time.\I don't want to be a burden anymore than I already am. response:	Her effort in not wanting to be a burden is splendid for Nana's standards,
context: Those words were all I needed to hear.\You've chosen me over Sachiko.\Who the heck is Sachiko?\You're just too kind.\If we live together,\I'm going to rely on you too much all the time.\I don't want to be a burden anymore than I already am.\Her effort in not wanting to be a burden is splendid for Nana's standards, response:	or so I thought at the time.
context: You've chosen me over Sachiko.\Who the heck is Sachiko?\You're just too kind.\If we live together,\I'm going to rely on you too much all the time.\I don't want to be a burden anymore than I already am.\Her effort in not wanting to be a burden is splendid for Nana's standards,\or so I thought at the time. response:	But it was just a matter of Nana now relying on someone else instead.
context: Who the heck is Sachiko?\You're just too kind.\If we live together,\I'm going to rely on you too much all the time.\I don't want to be a burden anymore than I already am.\Her effort in not wanting to be a burden is splendid for Nana's standards,\or so I thought at the time.\But it was just a matter of Nana now relying on someone else instead. response:	The other Nana.
context: You're just too kind.\If we live together,\I'm going to rely on you too much all the time.\I don't want to be a burden anymore than I already am.\Her effort in not wanting to be a burden is splendid for Nana's standards,\or so I thought at the time.\But it was just a matter of Nana now relying on someone else instead.\The other Nana. response:	Although that's also what you'd expect of her.
context: If we live together,\I'm going to rely on you too much all the time.\I don't want to be a burden anymore than I already am.\Her effort in not wanting to be a burden is splendid for Nana's standards,\or so I thought at the time.\But it was just a matter of Nana now relying on someone else instead.\The other Nana.\Although that's also what you'd expect of her. response:	Hey Nana, don't you think these cups are super cute?
context: I'm going to rely on you too much all the time.\I don't want to be a burden anymore than I already am.\Her effort in not wanting to be a burden is splendid for Nana's standards,\or so I thought at the time.\But it was just a matter of Nana now relying on someone else instead.\The other Nana.\Although that's also what you'd expect of her.\Hey Nana, don't you think these cups are super cute? response:	You'd never imagine they're only a dollar each.
context: I don't want to be a burden anymore than I already am.\Her effort in not wanting to be a burden is splendid for Nana's standards,\or so I thought at the time.\But it was just a matter of Nana now relying on someone else instead.\The other Nana.\Although that's also what you'd expect of her.\Hey Nana, don't you think these cups are super cute?\You'd never imagine they're only a dollar each. response:	Strawberries?
context: Her effort in not wanting to be a burden is splendid for Nana's standards,\or so I thought at the time.\But it was just a matter of Nana now relying on someone else instead.\The other Nana.\Although that's also what you'd expect of her.\Hey Nana, don't you think these cups are super cute?\You'd never imagine they're only a dollar each.\Strawberries? response:	No?
context: or so I thought at the time.\But it was just a matter of Nana now relying on someone else instead.\The other Nana.\Although that's also what you'd expect of her.\Hey Nana, don't you think these cups are super cute?\You'd never imagine they're only a dollar each.\Strawberries?\No? response:	If you want it, go ahead and buy it.
context: But it was just a matter of Nana now relying on someone else instead.\The other Nana.\Although that's also what you'd expect of her.\Hey Nana, don't you think these cups are super cute?\You'd never imagine they're only a dollar each.\Strawberries?\No?\If you want it, go ahead and buy it. response:	Forget it then.
context: The other Nana.\Although that's also what you'd expect of her.\Hey Nana, don't you think these cups are super cute?\You'd never imagine they're only a dollar each.\Strawberries?\No?\If you want it, go ahead and buy it.\Forget it then. response:	Why?!
context: Although that's also what you'd expect of her.\Hey Nana, don't you think these cups are super cute?\You'd never imagine they're only a dollar each.\Strawberries?\No?\If you want it, go ahead and buy it.\Forget it then.\Why?! response:	Because. If you're not interested, I don't want it either.
context: Hey Nana, don't you think these cups are super cute?\You'd never imagine they're only a dollar each.\Strawberries?\No?\If you want it, go ahead and buy it.\Forget it then.\Why?!\Because. If you're not interested, I don't want it either. response:	I wanna use the same things you do.
context: You'd never imagine they're only a dollar each.\Strawberries?\No?\If you want it, go ahead and buy it.\Forget it then.\Why?!\Because. If you're not interested, I don't want it either.\I wanna use the same things you do. response:	I don't care what we use. Let's just get the shopping done.
context: Strawberries?\No?\If you want it, go ahead and buy it.\Forget it then.\Why?!\Because. If you're not interested, I don't want it either.\I wanna use the same things you do.\I don't care what we use. Let's just get the shopping done. response:	But you don't like this, do you? The strawberries.
context: No?\If you want it, go ahead and buy it.\Forget it then.\Why?!\Because. If you're not interested, I don't want it either.\I wanna use the same things you do.\I don't care what we use. Let's just get the shopping done.\But you don't like this, do you? The strawberries. response:	Ah, sure I love strawberries...
context: If you want it, go ahead and buy it.\Forget it then.\Why?!\Because. If you're not interested, I don't want it either.\I wanna use the same things you do.\I don't care what we use. Let's just get the shopping done.\But you don't like this, do you? The strawberries.\Ah, sure I love strawberries... response:	Then I'm getting these.
context: Forget it then.\Why?!\Because. If you're not interested, I don't want it either.\I wanna use the same things you do.\I don't care what we use. Let's just get the shopping done.\But you don't like this, do you? The strawberries.\Ah, sure I love strawberries...\Then I'm getting these. response:	I feel for Shoji.
context: Why?!\Because. If you're not interested, I don't want it either.\I wanna use the same things you do.\I don't care what we use. Let's just get the shopping done.\But you don't like this, do you? The strawberries.\Ah, sure I love strawberries...\Then I'm getting these.\I feel for Shoji. response:	What's that supposed to mean?
context: Because. If you're not interested, I don't want it either.\I wanna use the same things you do.\I don't care what we use. Let's just get the shopping done.\But you don't like this, do you? The strawberries.\Ah, sure I love strawberries...\Then I'm getting these.\I feel for Shoji.\What's that supposed to mean? response:	Well, you're like... You know, kinda like a dog.
context: I wanna use the same things you do.\I don't care what we use. Let's just get the shopping done.\But you don't like this, do you? The strawberries.\Ah, sure I love strawberries...\Then I'm getting these.\I feel for Shoji.\What's that supposed to mean?\Well, you're like... You know, kinda like a dog. response:	I am?
context: I don't care what we use. Let's just get the shopping done.\But you don't like this, do you? The strawberries.\Ah, sure I love strawberries...\Then I'm getting these.\I feel for Shoji.\What's that supposed to mean?\Well, you're like... You know, kinda like a dog.\I am? response:	You kinda stick around friendly-like and you're real sincere,
context: But you don't like this, do you? The strawberries.\Ah, sure I love strawberries...\Then I'm getting these.\I feel for Shoji.\What's that supposed to mean?\Well, you're like... You know, kinda like a dog.\I am?\You kinda stick around friendly-like and you're real sincere, response:	but you need a lot of caring.
context: Ah, sure I love strawberries...\Then I'm getting these.\I feel for Shoji.\What's that supposed to mean?\Well, you're like... You know, kinda like a dog.\I am?\You kinda stick around friendly-like and you're real sincere,\but you need a lot of caring. response:	Like, not that I mind,
context: Then I'm getting these.\I feel for Shoji.\What's that supposed to mean?\Well, you're like... You know, kinda like a dog.\I am?\You kinda stick around friendly-like and you're real sincere,\but you need a lot of caring.\Like, not that I mind, response:	I was thinking about getting a pet anyway.
context: I feel for Shoji.\What's that supposed to mean?\Well, you're like... You know, kinda like a dog.\I am?\You kinda stick around friendly-like and you're real sincere,\but you need a lot of caring.\Like, not that I mind,\I was thinking about getting a pet anyway. response:	Hey Hachi, want me to buy you a toy?
context: What's that supposed to mean?\Well, you're like... You know, kinda like a dog.\I am?\You kinda stick around friendly-like and you're real sincere,\but you need a lot of caring.\Like, not that I mind,\I was thinking about getting a pet anyway.\Hey Hachi, want me to buy you a toy? response:	Hachi? Don't you have a cuter name for me?
context: Well, you're like... You know, kinda like a dog.\I am?\You kinda stick around friendly-like and you're real sincere,\but you need a lot of caring.\Like, not that I mind,\I was thinking about getting a pet anyway.\Hey Hachi, want me to buy you a toy?\Hachi? Don't you have a cuter name for me? response:	So you guys are Nana and Hachi? What a combination.
context: I am?\You kinda stick around friendly-like and you're real sincere,\but you need a lot of caring.\Like, not that I mind,\I was thinking about getting a pet anyway.\Hey Hachi, want me to buy you a toy?\Hachi? Don't you have a cuter name for me?\So you guys are Nana and Hachi? What a combination. response:	Well, actually my name is Nana too,
context: You kinda stick around friendly-like and you're real sincere,\but you need a lot of caring.\Like, not that I mind,\I was thinking about getting a pet anyway.\Hey Hachi, want me to buy you a toy?\Hachi? Don't you have a cuter name for me?\So you guys are Nana and Hachi? What a combination.\Well, actually my name is Nana too, response:	but it's confusing to have the same name, so Nana...
context: but you need a lot of caring.\Like, not that I mind,\I was thinking about getting a pet anyway.\Hey Hachi, want me to buy you a toy?\Hachi? Don't you have a cuter name for me?\So you guys are Nana and Hachi? What a combination.\Well, actually my name is Nana too,\but it's confusing to have the same name, so Nana... response:	Was that the reason? It's because you're like a pet dog.
context: Like, not that I mind,\I was thinking about getting a pet anyway.\Hey Hachi, want me to buy you a toy?\Hachi? Don't you have a cuter name for me?\So you guys are Nana and Hachi? What a combination.\Well, actually my name is Nana too,\but it's confusing to have the same name, so Nana...\Was that the reason? It's because you're like a pet dog. response:	- Beer. Want some? - Yay!
context: I was thinking about getting a pet anyway.\Hey Hachi, want me to buy you a toy?\Hachi? Don't you have a cuter name for me?\So you guys are Nana and Hachi? What a combination.\Well, actually my name is Nana too,\but it's confusing to have the same name, so Nana...\Was that the reason? It's because you're like a pet dog.\- Beer. Want some? - Yay! response:	No, not yay! You got work, remember?
context: Hey Hachi, want me to buy you a toy?\Hachi? Don't you have a cuter name for me?\So you guys are Nana and Hachi? What a combination.\Well, actually my name is Nana too,\but it's confusing to have the same name, so Nana...\Was that the reason? It's because you're like a pet dog.\- Beer. Want some? - Yay!\No, not yay! You got work, remember? response:	But I'm thirsty! No, I'm hungry!
context: Hachi? Don't you have a cuter name for me?\So you guys are Nana and Hachi? What a combination.\Well, actually my name is Nana too,\but it's confusing to have the same name, so Nana...\Was that the reason? It's because you're like a pet dog.\- Beer. Want some? - Yay!\No, not yay! You got work, remember?\But I'm thirsty! No, I'm hungry! response:	I should have bought something!
context: So you guys are Nana and Hachi? What a combination.\Well, actually my name is Nana too,\but it's confusing to have the same name, so Nana...\Was that the reason? It's because you're like a pet dog.\- Beer. Want some? - Yay!\No, not yay! You got work, remember?\But I'm thirsty! No, I'm hungry!\I should have bought something! response:	By the way, I ate the hamburger.
context: Well, actually my name is Nana too,\but it's confusing to have the same name, so Nana...\Was that the reason? It's because you're like a pet dog.\- Beer. Want some? - Yay!\No, not yay! You got work, remember?\But I'm thirsty! No, I'm hungry!\I should have bought something!\By the way, I ate the hamburger. response:	It was awesome good! Thanks.
