context: Nana! response:	Shoji!
context: Then, if you tell me that you love me,\I'll sleep with you.\Love?\You've gotta realize this isn't about who says what!\You can't expect a Japanese man to say that!\But I have never had anyone say those words to me in my life.\I'd be happy to hear it just once.\What's the point if it's said because you asked? response:	Never mind.
context: I'll sleep with you.\Love?\You've gotta realize this isn't about who says what!\You can't expect a Japanese man to say that!\But I have never had anyone say those words to me in my life.\I'd be happy to hear it just once.\What's the point if it's said because you asked?\Never mind. response:	All right, you win.
context: Love?\You've gotta realize this isn't about who says what!\You can't expect a Japanese man to say that!\But I have never had anyone say those words to me in my life.\I'd be happy to hear it just once.\What's the point if it's said because you asked?\Never mind.\All right, you win. response:	A man's gotta do what a man's gotta do. I'll say it.
context: You've gotta realize this isn't about who says what!\You can't expect a Japanese man to say that!\But I have never had anyone say those words to me in my life.\I'd be happy to hear it just once.\What's the point if it's said because you asked?\Never mind.\All right, you win.\A man's gotta do what a man's gotta do. I'll say it. response:	I'll just think of myself as an American.
context: You can't expect a Japanese man to say that!\But I have never had anyone say those words to me in my life.\I'd be happy to hear it just once.\What's the point if it's said because you asked?\Never mind.\All right, you win.\A man's gotta do what a man's gotta do. I'll say it.\I'll just think of myself as an American. response:	My name's Michael.
context: But I have never had anyone say those words to me in my life.\I'd be happy to hear it just once.\What's the point if it's said because you asked?\Never mind.\All right, you win.\A man's gotta do what a man's gotta do. I'll say it.\I'll just think of myself as an American.\My name's Michael. response:	Who's that?
context: I'd be happy to hear it just once.\What's the point if it's said because you asked?\Never mind.\All right, you win.\A man's gotta do what a man's gotta do. I'll say it.\I'll just think of myself as an American.\My name's Michael.\Who's that? response:	Do I hafta sleep with some mysterious foreigner?
context: What's the point if it's said because you asked?\Never mind.\All right, you win.\A man's gotta do what a man's gotta do. I'll say it.\I'll just think of myself as an American.\My name's Michael.\Who's that?\Do I hafta sleep with some mysterious foreigner? response:	I won't sleep with anyone but Shoji.
context: Never mind.\All right, you win.\A man's gotta do what a man's gotta do. I'll say it.\I'll just think of myself as an American.\My name's Michael.\Who's that?\Do I hafta sleep with some mysterious foreigner?\I won't sleep with anyone but Shoji. response:	I'm gonna make some tea, okay?
context: All right, you win.\A man's gotta do what a man's gotta do. I'll say it.\I'll just think of myself as an American.\My name's Michael.\Who's that?\Do I hafta sleep with some mysterious foreigner?\I won't sleep with anyone but Shoji.\I'm gonna make some tea, okay? response:	So would you prefer green tea or brown tea, Michael?
context: A man's gotta do what a man's gotta do. I'll say it.\I'll just think of myself as an American.\My name's Michael.\Who's that?\Do I hafta sleep with some mysterious foreigner?\I won't sleep with anyone but Shoji.\I'm gonna make some tea, okay?\So would you prefer green tea or brown tea, Michael? response:	Nana.
context: I'll just think of myself as an American.\My name's Michael.\Who's that?\Do I hafta sleep with some mysterious foreigner?\I won't sleep with anyone but Shoji.\I'm gonna make some tea, okay?\So would you prefer green tea or brown tea, Michael?\Nana. response:	Shoji, I know you said it...
context: My name's Michael.\Who's that?\Do I hafta sleep with some mysterious foreigner?\I won't sleep with anyone but Shoji.\I'm gonna make some tea, okay?\So would you prefer green tea or brown tea, Michael?\Nana.\Shoji, I know you said it... response:	inside your heart.
context: Who's that?\Do I hafta sleep with some mysterious foreigner?\I won't sleep with anyone but Shoji.\I'm gonna make some tea, okay?\So would you prefer green tea or brown tea, Michael?\Nana.\Shoji, I know you said it...\inside your heart. response:	You told me that you love me.
context: Do I hafta sleep with some mysterious foreigner?\I won't sleep with anyone but Shoji.\I'm gonna make some tea, okay?\So would you prefer green tea or brown tea, Michael?\Nana.\Shoji, I know you said it...\inside your heart.\You told me that you love me. response:	So you heard it.
context: I won't sleep with anyone but Shoji.\I'm gonna make some tea, okay?\So would you prefer green tea or brown tea, Michael?\Nana.\Shoji, I know you said it...\inside your heart.\You told me that you love me.\So you heard it. response:	I wanted to have a happy love.
context: I'm gonna make some tea, okay?\So would you prefer green tea or brown tea, Michael?\Nana.\Shoji, I know you said it...\inside your heart.\You told me that you love me.\So you heard it.\I wanted to have a happy love. response:	Romantic and dramatic like in the movies.
context: So would you prefer green tea or brown tea, Michael?\Nana.\Shoji, I know you said it...\inside your heart.\You told me that you love me.\So you heard it.\I wanted to have a happy love.\Romantic and dramatic like in the movies. response:	But during the summer of seventeen, I became a woman
context: Nana.\Shoji, I know you said it...\inside your heart.\You told me that you love me.\So you heard it.\I wanted to have a happy love.\Romantic and dramatic like in the movies.\But during the summer of seventeen, I became a woman response:	and learned that dating men isn't so sweet like on the big screen.
context: Shoji, I know you said it...\inside your heart.\You told me that you love me.\So you heard it.\I wanted to have a happy love.\Romantic and dramatic like in the movies.\But during the summer of seventeen, I became a woman\and learned that dating men isn't so sweet like on the big screen. response:	Or so I thought.
context: inside your heart.\You told me that you love me.\So you heard it.\I wanted to have a happy love.\Romantic and dramatic like in the movies.\But during the summer of seventeen, I became a woman\and learned that dating men isn't so sweet like on the big screen.\Or so I thought. response:	But that evening, my body was melting away
context: You told me that you love me.\So you heard it.\I wanted to have a happy love.\Romantic and dramatic like in the movies.\But during the summer of seventeen, I became a woman\and learned that dating men isn't so sweet like on the big screen.\Or so I thought.\But that evening, my body was melting away response:	with the sweet taste of happiness.
context: So you heard it.\I wanted to have a happy love.\Romantic and dramatic like in the movies.\But during the summer of seventeen, I became a woman\and learned that dating men isn't so sweet like on the big screen.\Or so I thought.\But that evening, my body was melting away\with the sweet taste of happiness. response:	I wonder if things are all right between those two.
context: I wanted to have a happy love.\Romantic and dramatic like in the movies.\But during the summer of seventeen, I became a woman\and learned that dating men isn't so sweet like on the big screen.\Or so I thought.\But that evening, my body was melting away\with the sweet taste of happiness.\I wonder if things are all right between those two. response:	I'm a bit worried.
context: Romantic and dramatic like in the movies.\But during the summer of seventeen, I became a woman\and learned that dating men isn't so sweet like on the big screen.\Or so I thought.\But that evening, my body was melting away\with the sweet taste of happiness.\I wonder if things are all right between those two.\I'm a bit worried. response:	But they can't rely on their friends to bring them back together.
context: But during the summer of seventeen, I became a woman\and learned that dating men isn't so sweet like on the big screen.\Or so I thought.\But that evening, my body was melting away\with the sweet taste of happiness.\I wonder if things are all right between those two.\I'm a bit worried.\But they can't rely on their friends to bring them back together. response:	They're not junior high school kids. Right?
context: and learned that dating men isn't so sweet like on the big screen.\Or so I thought.\But that evening, my body was melting away\with the sweet taste of happiness.\I wonder if things are all right between those two.\I'm a bit worried.\But they can't rely on their friends to bring them back together.\They're not junior high school kids. Right? response:	Don't just leave me here talking to myself.
context: Or so I thought.\But that evening, my body was melting away\with the sweet taste of happiness.\I wonder if things are all right between those two.\I'm a bit worried.\But they can't rely on their friends to bring them back together.\They're not junior high school kids. Right?\Don't just leave me here talking to myself. response:	Good night.
context: But that evening, my body was melting away\with the sweet taste of happiness.\I wonder if things are all right between those two.\I'm a bit worried.\But they can't rely on their friends to bring them back together.\They're not junior high school kids. Right?\Don't just leave me here talking to myself.\Good night. response:	A woman's life isn't so bad after all, is it, Jun-chan?
context: with the sweet taste of happiness.\I wonder if things are all right between those two.\I'm a bit worried.\But they can't rely on their friends to bring them back together.\They're not junior high school kids. Right?\Don't just leave me here talking to myself.\Good night.\A woman's life isn't so bad after all, is it, Jun-chan? response:	But it's long distance.
context: I wonder if things are all right between those two.\I'm a bit worried.\But they can't rely on their friends to bring them back together.\They're not junior high school kids. Right?\Don't just leave me here talking to myself.\Good night.\A woman's life isn't so bad after all, is it, Jun-chan?\But it's long distance. response:	Huh?
context: I'm a bit worried.\But they can't rely on their friends to bring them back together.\They're not junior high school kids. Right?\Don't just leave me here talking to myself.\Good night.\A woman's life isn't so bad after all, is it, Jun-chan?\But it's long distance.\Huh? response:	Nothing. That'll be three hundred yen for the late return.
context: But they can't rely on their friends to bring them back together.\They're not junior high school kids. Right?\Don't just leave me here talking to myself.\Good night.\A woman's life isn't so bad after all, is it, Jun-chan?\But it's long distance.\Huh?\Nothing. That'll be three hundred yen for the late return. response:	Ah, right.
context: They're not junior high school kids. Right?\Don't just leave me here talking to myself.\Good night.\A woman's life isn't so bad after all, is it, Jun-chan?\But it's long distance.\Huh?\Nothing. That'll be three hundred yen for the late return.\Ah, right. response:	Nana.
context: Don't just leave me here talking to myself.\Good night.\A woman's life isn't so bad after all, is it, Jun-chan?\But it's long distance.\Huh?\Nothing. That'll be three hundred yen for the late return.\Ah, right.\Nana. response:	Wanna have dinner with me tonight?
context: Good night.\A woman's life isn't so bad after all, is it, Jun-chan?\But it's long distance.\Huh?\Nothing. That'll be three hundred yen for the late return.\Ah, right.\Nana.\Wanna have dinner with me tonight? response:	Mr. Nakamura. That would be a problem.
context: A woman's life isn't so bad after all, is it, Jun-chan?\But it's long distance.\Huh?\Nothing. That'll be three hundred yen for the late return.\Ah, right.\Nana.\Wanna have dinner with me tonight?\Mr. Nakamura. That would be a problem. response:	You may have finally woken up to my beauty,
context: But it's long distance.\Huh?\Nothing. That'll be three hundred yen for the late return.\Ah, right.\Nana.\Wanna have dinner with me tonight?\Mr. Nakamura. That would be a problem.\You may have finally woken up to my beauty, response:	but it's too late now, Nakamura.
context: Huh?\Nothing. That'll be three hundred yen for the late return.\Ah, right.\Nana.\Wanna have dinner with me tonight?\Mr. Nakamura. That would be a problem.\You may have finally woken up to my beauty,\but it's too late now, Nakamura. response:	What's the big deal? It's just dinner.
context: Nothing. That'll be three hundred yen for the late return.\Ah, right.\Nana.\Wanna have dinner with me tonight?\Mr. Nakamura. That would be a problem.\You may have finally woken up to my beauty,\but it's too late now, Nakamura.\What's the big deal? It's just dinner. response:	And he's not serious.
context: Ah, right.\Nana.\Wanna have dinner with me tonight?\Mr. Nakamura. That would be a problem.\You may have finally woken up to my beauty,\but it's too late now, Nakamura.\What's the big deal? It's just dinner.\And he's not serious. response:	Aren't you lonely with your boyfriend having moved to Tokyo?
context: Nana.\Wanna have dinner with me tonight?\Mr. Nakamura. That would be a problem.\You may have finally woken up to my beauty,\but it's too late now, Nakamura.\What's the big deal? It's just dinner.\And he's not serious.\Aren't you lonely with your boyfriend having moved to Tokyo? response:	And he's a pest.
context: Wanna have dinner with me tonight?\Mr. Nakamura. That would be a problem.\You may have finally woken up to my beauty,\but it's too late now, Nakamura.\What's the big deal? It's just dinner.\And he's not serious.\Aren't you lonely with your boyfriend having moved to Tokyo?\And he's a pest. response:	But you had a crush on me.
