context: The time is upon us. response:	Our long-held wish shall be fulfilled.
context: And keep your promise.\Yeah, I'll do what I can.\The Rising of the Shield Hero\A Conspiracy Linked\If only we could get past that wall, we could cross the border.\Any other routes we could take, Raphtalia-san?\Taking a detour would cost us a few more days.\Fitoria-san said there was another hero nearby, right? response:	It might be better to take a detour anyway.
context: Yeah, I'll do what I can.\The Rising of the Shield Hero\A Conspiracy Linked\If only we could get past that wall, we could cross the border.\Any other routes we could take, Raphtalia-san?\Taking a detour would cost us a few more days.\Fitoria-san said there was another hero nearby, right?\It might be better to take a detour anyway. response:	What will we do, Naofumi-sama?
context: The Rising of the Shield Hero\A Conspiracy Linked\If only we could get past that wall, we could cross the border.\Any other routes we could take, Raphtalia-san?\Taking a detour would cost us a few more days.\Fitoria-san said there was another hero nearby, right?\It might be better to take a detour anyway.\What will we do, Naofumi-sama? response:	Did you really try to make up with them?
context: A Conspiracy Linked\If only we could get past that wall, we could cross the border.\Any other routes we could take, Raphtalia-san?\Taking a detour would cost us a few more days.\Fitoria-san said there was another hero nearby, right?\It might be better to take a detour anyway.\What will we do, Naofumi-sama?\Did you really try to make up with them? response:	If you don't tell them they're wrong, you're basically admitting your guilt.
context: If only we could get past that wall, we could cross the border.\Any other routes we could take, Raphtalia-san?\Taking a detour would cost us a few more days.\Fitoria-san said there was another hero nearby, right?\It might be better to take a detour anyway.\What will we do, Naofumi-sama?\Did you really try to make up with them?\If you don't tell them they're wrong, you're basically admitting your guilt. response:	Shield Hero... keep your promise.
context: Any other routes we could take, Raphtalia-san?\Taking a detour would cost us a few more days.\Fitoria-san said there was another hero nearby, right?\It might be better to take a detour anyway.\What will we do, Naofumi-sama?\Did you really try to make up with them?\If you don't tell them they're wrong, you're basically admitting your guilt.\Shield Hero... keep your promise. response:	We'll head down to the checkpoint.
context: Taking a detour would cost us a few more days.\Fitoria-san said there was another hero nearby, right?\It might be better to take a detour anyway.\What will we do, Naofumi-sama?\Did you really try to make up with them?\If you don't tell them they're wrong, you're basically admitting your guilt.\Shield Hero... keep your promise.\We'll head down to the checkpoint. response:	If it's Itsuki or Ren there, we'll talk to them and have them let us through.
context: Fitoria-san said there was another hero nearby, right?\It might be better to take a detour anyway.\What will we do, Naofumi-sama?\Did you really try to make up with them?\If you don't tell them they're wrong, you're basically admitting your guilt.\Shield Hero... keep your promise.\We'll head down to the checkpoint.\If it's Itsuki or Ren there, we'll talk to them and have them let us through. response:	And what if they refuse?
context: It might be better to take a detour anyway.\What will we do, Naofumi-sama?\Did you really try to make up with them?\If you don't tell them they're wrong, you're basically admitting your guilt.\Shield Hero... keep your promise.\We'll head down to the checkpoint.\If it's Itsuki or Ren there, we'll talk to them and have them let us through.\And what if they refuse? response:	Then we'll force our way through.
context: What will we do, Naofumi-sama?\Did you really try to make up with them?\If you don't tell them they're wrong, you're basically admitting your guilt.\Shield Hero... keep your promise.\We'll head down to the checkpoint.\If it's Itsuki or Ren there, we'll talk to them and have them let us through.\And what if they refuse?\Then we'll force our way through. response:	Okay.
context: Did you really try to make up with them?\If you don't tell them they're wrong, you're basically admitting your guilt.\Shield Hero... keep your promise.\We'll head down to the checkpoint.\If it's Itsuki or Ren there, we'll talk to them and have them let us through.\And what if they refuse?\Then we'll force our way through.\Okay. response:	What?
context: If you don't tell them they're wrong, you're basically admitting your guilt.\Shield Hero... keep your promise.\We'll head down to the checkpoint.\If it's Itsuki or Ren there, we'll talk to them and have them let us through.\And what if they refuse?\Then we'll force our way through.\Okay.\What? response:	Well...
context: Shield Hero... keep your promise.\We'll head down to the checkpoint.\If it's Itsuki or Ren there, we'll talk to them and have them let us through.\And what if they refuse?\Then we'll force our way through.\Okay.\What?\Well... response:	I thought you'd try to stop me because it could make my reputation worse.
context: We'll head down to the checkpoint.\If it's Itsuki or Ren there, we'll talk to them and have them let us through.\And what if they refuse?\Then we'll force our way through.\Okay.\What?\Well...\I thought you'd try to stop me because it could make my reputation worse. response:	There are guys like Idol who want to kill you, even if they have to summon a monster.
context: If it's Itsuki or Ren there, we'll talk to them and have them let us through.\And what if they refuse?\Then we'll force our way through.\Okay.\What?\Well...\I thought you'd try to stop me because it could make my reputation worse.\There are guys like Idol who want to kill you, even if they have to summon a monster. response:	This isn't the time to be worrying about appearances.
context: And what if they refuse?\Then we'll force our way through.\Okay.\What?\Well...\I thought you'd try to stop me because it could make my reputation worse.\There are guys like Idol who want to kill you, even if they have to summon a monster.\This isn't the time to be worrying about appearances. response:	True that.
context: Then we'll force our way through.\Okay.\What?\Well...\I thought you'd try to stop me because it could make my reputation worse.\There are guys like Idol who want to kill you, even if they have to summon a monster.\This isn't the time to be worrying about appearances.\True that. response:	Get ready. We're leaving.
context: Okay.\What?\Well...\I thought you'd try to stop me because it could make my reputation worse.\There are guys like Idol who want to kill you, even if they have to summon a monster.\This isn't the time to be worrying about appearances.\True that.\Get ready. We're leaving. response:	Okay!
context: What?\Well...\I thought you'd try to stop me because it could make my reputation worse.\There are guys like Idol who want to kill you, even if they have to summon a monster.\This isn't the time to be worrying about appearances.\True that.\Get ready. We're leaving.\Okay! response:	Th-That's...
context: Well...\I thought you'd try to stop me because it could make my reputation worse.\There are guys like Idol who want to kill you, even if they have to summon a monster.\This isn't the time to be worrying about appearances.\True that.\Get ready. We're leaving.\Okay!\Th-That's... response:	Master...
context: I thought you'd try to stop me because it could make my reputation worse.\There are guys like Idol who want to kill you, even if they have to summon a monster.\This isn't the time to be worrying about appearances.\True that.\Get ready. We're leaving.\Okay!\Th-That's...\Master... response:	I see the spear guy.
context: There are guys like Idol who want to kill you, even if they have to summon a monster.\This isn't the time to be worrying about appearances.\True that.\Get ready. We're leaving.\Okay!\Th-That's...\Master...\I see the spear guy. response:	I get the guy least likely to hear me out, huh?
context: This isn't the time to be worrying about appearances.\True that.\Get ready. We're leaving.\Okay!\Th-That's...\Master...\I see the spear guy.\I get the guy least likely to hear me out, huh? response:	What now?
context: True that.\Get ready. We're leaving.\Okay!\Th-That's...\Master...\I see the spear guy.\I get the guy least likely to hear me out, huh?\What now? response:	It's too late to turn back.
context: Get ready. We're leaving.\Okay!\Th-That's...\Master...\I see the spear guy.\I get the guy least likely to hear me out, huh?\What now?\It's too late to turn back. response:	Keep going.
context: Okay!\Th-That's...\Master...\I see the spear guy.\I get the guy least likely to hear me out, huh?\What now?\It's too late to turn back.\Keep going. response:	Motoyasu, listen to me.
context: Th-That's...\Master...\I see the spear guy.\I get the guy least likely to hear me out, huh?\What now?\It's too late to turn back.\Keep going.\Motoyasu, listen to me. response:	We're not here to fight.
context: Master...\I see the spear guy.\I get the guy least likely to hear me out, huh?\What now?\It's too late to turn back.\Keep going.\Motoyasu, listen to me.\We're not here to fight. response:	All we ask is that you let us through.
context: I see the spear guy.\I get the guy least likely to hear me out, huh?\What now?\It's too late to turn back.\Keep going.\Motoyasu, listen to me.\We're not here to fight.\All we ask is that you let us through. response:	Is that all?
context: I get the guy least likely to hear me out, huh?\What now?\It's too late to turn back.\Keep going.\Motoyasu, listen to me.\We're not here to fight.\All we ask is that you let us through.\Is that all? response:	Huh?
context: What now?\It's too late to turn back.\Keep going.\Motoyasu, listen to me.\We're not here to fight.\All we ask is that you let us through.\Is that all?\Huh? response:	Is that all you have to say,
context: It's too late to turn back.\Keep going.\Motoyasu, listen to me.\We're not here to fight.\All we ask is that you let us through.\Is that all?\Huh?\Is that all you have to say, response:	Devil of the Shield?!
context: Keep going.\Motoyasu, listen to me.\We're not here to fight.\All we ask is that you let us through.\Is that all?\Huh?\Is that all you have to say,\Devil of the Shield?! response:	Naofumi-sama!
context: Motoyasu, listen to me.\We're not here to fight.\All we ask is that you let us through.\Is that all?\Huh?\Is that all you have to say,\Devil of the Shield?!\Naofumi-sama! response:	Who attacks someone without even listening to them first?
context: We're not here to fight.\All we ask is that you let us through.\Is that all?\Huh?\Is that all you have to say,\Devil of the Shield?!\Naofumi-sama!\Who attacks someone without even listening to them first? response:	You're still using your brainwashing shield to enslave Filo and Raphtalia-chan.
context: All we ask is that you let us through.\Is that all?\Huh?\Is that all you have to say,\Devil of the Shield?!\Naofumi-sama!\Who attacks someone without even listening to them first?\You're still using your brainwashing shield to enslave Filo and Raphtalia-chan. response:	How despicable!
context: Is that all?\Huh?\Is that all you have to say,\Devil of the Shield?!\Naofumi-sama!\Who attacks someone without even listening to them first?\You're still using your brainwashing shield to enslave Filo and Raphtalia-chan.\How despicable! response:	That shield doesn't exist!
context: Huh?\Is that all you have to say,\Devil of the Shield?!\Naofumi-sama!\Who attacks someone without even listening to them first?\You're still using your brainwashing shield to enslave Filo and Raphtalia-chan.\How despicable!\That shield doesn't exist! response:	Don't try to talk your way out of this!
context: Is that all you have to say,\Devil of the Shield?!\Naofumi-sama!\Who attacks someone without even listening to them first?\You're still using your brainwashing shield to enslave Filo and Raphtalia-chan.\How despicable!\That shield doesn't exist!\Don't try to talk your way out of this! response:	Heroes are supposed to work together.
context: Devil of the Shield?!\Naofumi-sama!\Who attacks someone without even listening to them first?\You're still using your brainwashing shield to enslave Filo and Raphtalia-chan.\How despicable!\That shield doesn't exist!\Don't try to talk your way out of this!\Heroes are supposed to work together. response:	Hear me out, Motoyasu!
context: Naofumi-sama!\Who attacks someone without even listening to them first?\You're still using your brainwashing shield to enslave Filo and Raphtalia-chan.\How despicable!\That shield doesn't exist!\Don't try to talk your way out of this!\Heroes are supposed to work together.\Hear me out, Motoyasu! response:	I don't want to fight you!
context: Who attacks someone without even listening to them first?\You're still using your brainwashing shield to enslave Filo and Raphtalia-chan.\How despicable!\That shield doesn't exist!\Don't try to talk your way out of this!\Heroes are supposed to work together.\Hear me out, Motoyasu!\I don't want to fight you! response:	Hell, even last time
context: You're still using your brainwashing shield to enslave Filo and Raphtalia-chan.\How despicable!\That shield doesn't exist!\Don't try to talk your way out of this!\Heroes are supposed to work together.\Hear me out, Motoyasu!\I don't want to fight you!\Hell, even last time response:	Maybe I was summoned to this world...
context: How despicable!\That shield doesn't exist!\Don't try to talk your way out of this!\Heroes are supposed to work together.\Hear me out, Motoyasu!\I don't want to fight you!\Hell, even last time\Maybe I was summoned to this world... response:	to stop you!
context: That shield doesn't exist!\Don't try to talk your way out of this!\Heroes are supposed to work together.\Hear me out, Motoyasu!\I don't want to fight you!\Hell, even last time\Maybe I was summoned to this world...\to stop you! response:	Meteor Thrust!
context: Don't try to talk your way out of this!\Heroes are supposed to work together.\Hear me out, Motoyasu!\I don't want to fight you!\Hell, even last time\Maybe I was summoned to this world...\to stop you!\Meteor Thrust! response:	You still won't go down?
context: Heroes are supposed to work together.\Hear me out, Motoyasu!\I don't want to fight you!\Hell, even last time\Maybe I was summoned to this world...\to stop you!\Meteor Thrust!\You still won't go down? response:	You're stubborn if nothing else, you damned devil.
context: Hear me out, Motoyasu!\I don't want to fight you!\Hell, even last time\Maybe I was summoned to this world...\to stop you!\Meteor Thrust!\You still won't go down?\You're stubborn if nothing else, you damned devil. response:	Master!
context: I don't want to fight you!\Hell, even last time\Maybe I was summoned to this world...\to stop you!\Meteor Thrust!\You still won't go down?\You're stubborn if nothing else, you damned devil.\Master! response:	Naofumi-sama, you can't talk anything out when he's like this!
context: Hell, even last time\Maybe I was summoned to this world...\to stop you!\Meteor Thrust!\You still won't go down?\You're stubborn if nothing else, you damned devil.\Master!\Naofumi-sama, you can't talk anything out when he's like this! response:	This guy...
context: Maybe I was summoned to this world...\to stop you!\Meteor Thrust!\You still won't go down?\You're stubborn if nothing else, you damned devil.\Master!\Naofumi-sama, you can't talk anything out when he's like this!\This guy... response:	Why is he doing this?
context: to stop you!\Meteor Thrust!\You still won't go down?\You're stubborn if nothing else, you damned devil.\Master!\Naofumi-sama, you can't talk anything out when he's like this!\This guy...\Why is he doing this? response:	Hey, Motoyasu.
context: Meteor Thrust!\You still won't go down?\You're stubborn if nothing else, you damned devil.\Master!\Naofumi-sama, you can't talk anything out when he's like this!\This guy...\Why is he doing this?\Hey, Motoyasu. response:	Why are you so mad?
context: You still won't go down?\You're stubborn if nothing else, you damned devil.\Master!\Naofumi-sama, you can't talk anything out when he's like this!\This guy...\Why is he doing this?\Hey, Motoyasu.\Why are you so mad? response:	Is it because I ran away last time? Did it piss you off that much?
context: You're stubborn if nothing else, you damned devil.\Master!\Naofumi-sama, you can't talk anything out when he's like this!\This guy...\Why is he doing this?\Hey, Motoyasu.\Why are you so mad?\Is it because I ran away last time? Did it piss you off that much? response:	To you...
context: Master!\Naofumi-sama, you can't talk anything out when he's like this!\This guy...\Why is he doing this?\Hey, Motoyasu.\Why are you so mad?\Is it because I ran away last time? Did it piss you off that much?\To you... response:	Were Ren and Itsuki that insignificant to you?
context: Naofumi-sama, you can't talk anything out when he's like this!\This guy...\Why is he doing this?\Hey, Motoyasu.\Why are you so mad?\Is it because I ran away last time? Did it piss you off that much?\To you...\Were Ren and Itsuki that insignificant to you? response:	I finally understand that you really are a devil!
context: This guy...\Why is he doing this?\Hey, Motoyasu.\Why are you so mad?\Is it because I ran away last time? Did it piss you off that much?\To you...\Were Ren and Itsuki that insignificant to you?\I finally understand that you really are a devil! response:	What?
context: Why is he doing this?\Hey, Motoyasu.\Why are you so mad?\Is it because I ran away last time? Did it piss you off that much?\To you...\Were Ren and Itsuki that insignificant to you?\I finally understand that you really are a devil!\What? response:	You tricked us by saying we were on the same team
context: Hey, Motoyasu.\Why are you so mad?\Is it because I ran away last time? Did it piss you off that much?\To you...\Were Ren and Itsuki that insignificant to you?\I finally understand that you really are a devil!\What?\You tricked us by saying we were on the same team response:	as heroes, and then...
context: Why are you so mad?\Is it because I ran away last time? Did it piss you off that much?\To you...\Were Ren and Itsuki that insignificant to you?\I finally understand that you really are a devil!\What?\You tricked us by saying we were on the same team\as heroes, and then... response:	You...
context: Is it because I ran away last time? Did it piss you off that much?\To you...\Were Ren and Itsuki that insignificant to you?\I finally understand that you really are a devil!\What?\You tricked us by saying we were on the same team\as heroes, and then...\You... response:	You are the scum of the earth!
context: To you...\Were Ren and Itsuki that insignificant to you?\I finally understand that you really are a devil!\What?\You tricked us by saying we were on the same team\as heroes, and then...\You...\You are the scum of the earth! response:	I will make you pay!
context: Were Ren and Itsuki that insignificant to you?\I finally understand that you really are a devil!\What?\You tricked us by saying we were on the same team\as heroes, and then...\You...\You are the scum of the earth!\I will make you pay! response:	Hey, what did I even do?
context: I finally understand that you really are a devil!\What?\You tricked us by saying we were on the same team\as heroes, and then...\You...\You are the scum of the earth!\I will make you pay!\Hey, what did I even do? response:	Search your feelings!
context: What?\You tricked us by saying we were on the same team\as heroes, and then...\You...\You are the scum of the earth!\I will make you pay!\Hey, what did I even do?\Search your feelings! response:	You'll know!
context: You tricked us by saying we were on the same team\as heroes, and then...\You...\You are the scum of the earth!\I will make you pay!\Hey, what did I even do?\Search your feelings!\You'll know! response:	He's seriously trying to kill me!
context: as heroes, and then...\You...\You are the scum of the earth!\I will make you pay!\Hey, what did I even do?\Search your feelings!\You'll know!\He's seriously trying to kill me! response:	I'll make you pay.
context: You...\You are the scum of the earth!\I will make you pay!\Hey, what did I even do?\Search your feelings!\You'll know!\He's seriously trying to kill me!\I'll make you pay. response:	I'll make you pay for killing Itsuki and Ren!
context: You are the scum of the earth!\I will make you pay!\Hey, what did I even do?\Search your feelings!\You'll know!\He's seriously trying to kill me!\I'll make you pay.\I'll make you pay for killing Itsuki and Ren! response:	I killed them?
context: I will make you pay!\Hey, what did I even do?\Search your feelings!\You'll know!\He's seriously trying to kill me!\I'll make you pay.\I'll make you pay for killing Itsuki and Ren!\I killed them? response:	What are you talking about?
context: Hey, what did I even do?\Search your feelings!\You'll know!\He's seriously trying to kill me!\I'll make you pay.\I'll make you pay for killing Itsuki and Ren!\I killed them?\What are you talking about? response:	Trying to play dumb, you accursed devil?
context: Search your feelings!\You'll know!\He's seriously trying to kill me!\I'll make you pay.\I'll make you pay for killing Itsuki and Ren!\I killed them?\What are you talking about?\Trying to play dumb, you accursed devil? response:	You should know why I'm so angry and hurt!
context: You'll know!\He's seriously trying to kill me!\I'll make you pay.\I'll make you pay for killing Itsuki and Ren!\I killed them?\What are you talking about?\Trying to play dumb, you accursed devil?\You should know why I'm so angry and hurt! response:	You killed them both!
context: He's seriously trying to kill me!\I'll make you pay.\I'll make you pay for killing Itsuki and Ren!\I killed them?\What are you talking about?\Trying to play dumb, you accursed devil?\You should know why I'm so angry and hurt!\You killed them both! response:	And yet, you...
context: I'll make you pay.\I'll make you pay for killing Itsuki and Ren!\I killed them?\What are you talking about?\Trying to play dumb, you accursed devil?\You should know why I'm so angry and hurt!\You killed them both!\And yet, you... response:	What is the meaning of this?
context: I'll make you pay for killing Itsuki and Ren!\I killed them?\What are you talking about?\Trying to play dumb, you accursed devil?\You should know why I'm so angry and hurt!\You killed them both!\And yet, you...\What is the meaning of this? response:	The heroes of the Bow and Sword were killed?
context: I killed them?\What are you talking about?\Trying to play dumb, you accursed devil?\You should know why I'm so angry and hurt!\You killed them both!\And yet, you...\What is the meaning of this?\The heroes of the Bow and Sword were killed? response:	You used your brainwashing shield on Princess Melty, too?
context: What are you talking about?\Trying to play dumb, you accursed devil?\You should know why I'm so angry and hurt!\You killed them both!\And yet, you...\What is the meaning of this?\The heroes of the Bow and Sword were killed?\You used your brainwashing shield on Princess Melty, too? response:	You filthy swine!
context: Trying to play dumb, you accursed devil?\You should know why I'm so angry and hurt!\You killed them both!\And yet, you...\What is the meaning of this?\The heroes of the Bow and Sword were killed?\You used your brainwashing shield on Princess Melty, too?\You filthy swine! response:	Again, I have no such thing!
context: You should know why I'm so angry and hurt!\You killed them both!\And yet, you...\What is the meaning of this?\The heroes of the Bow and Sword were killed?\You used your brainwashing shield on Princess Melty, too?\You filthy swine!\Again, I have no such thing! response:	If Motoyasu is telling the truth...
context: You killed them both!\And yet, you...\What is the meaning of this?\The heroes of the Bow and Sword were killed?\You used your brainwashing shield on Princess Melty, too?\You filthy swine!\Again, I have no such thing!\If Motoyasu is telling the truth... response:	If even one Cardinal Hero is missing when a Wave hits,
context: And yet, you...\What is the meaning of this?\The heroes of the Bow and Sword were killed?\You used your brainwashing shield on Princess Melty, too?\You filthy swine!\Again, I have no such thing!\If Motoyasu is telling the truth...\If even one Cardinal Hero is missing when a Wave hits, response:	fighting it off will be exponentially more difficult.
context: What is the meaning of this?\The heroes of the Bow and Sword were killed?\You used your brainwashing shield on Princess Melty, too?\You filthy swine!\Again, I have no such thing!\If Motoyasu is telling the truth...\If even one Cardinal Hero is missing when a Wave hits,\fighting it off will be exponentially more difficult. response:	Listen up, Motoyasu.
context: The heroes of the Bow and Sword were killed?\You used your brainwashing shield on Princess Melty, too?\You filthy swine!\Again, I have no such thing!\If Motoyasu is telling the truth...\If even one Cardinal Hero is missing when a Wave hits,\fighting it off will be exponentially more difficult.\Listen up, Motoyasu. response:	I haven't killed Ren or Itsuki! I have no need to!
context: You used your brainwashing shield on Princess Melty, too?\You filthy swine!\Again, I have no such thing!\If Motoyasu is telling the truth...\If even one Cardinal Hero is missing when a Wave hits,\fighting it off will be exponentially more difficult.\Listen up, Motoyasu.\I haven't killed Ren or Itsuki! I have no need to! response:	What?
context: You filthy swine!\Again, I have no such thing!\If Motoyasu is telling the truth...\If even one Cardinal Hero is missing when a Wave hits,\fighting it off will be exponentially more difficult.\Listen up, Motoyasu.\I haven't killed Ren or Itsuki! I have no need to!\What? response:	Did you see their bodies for yourself?
context: Again, I have no such thing!\If Motoyasu is telling the truth...\If even one Cardinal Hero is missing when a Wave hits,\fighting it off will be exponentially more difficult.\Listen up, Motoyasu.\I haven't killed Ren or Itsuki! I have no need to!\What?\Did you see their bodies for yourself? response:	You didn't, huh?
context: If Motoyasu is telling the truth...\If even one Cardinal Hero is missing when a Wave hits,\fighting it off will be exponentially more difficult.\Listen up, Motoyasu.\I haven't killed Ren or Itsuki! I have no need to!\What?\Did you see their bodies for yourself?\You didn't, huh? response:	Then it may be a lie
context: If even one Cardinal Hero is missing when a Wave hits,\fighting it off will be exponentially more difficult.\Listen up, Motoyasu.\I haven't killed Ren or Itsuki! I have no need to!\What?\Did you see their bodies for yourself?\You didn't, huh?\Then it may be a lie response:	It's reliable information from an agent of the Church.
context: fighting it off will be exponentially more difficult.\Listen up, Motoyasu.\I haven't killed Ren or Itsuki! I have no need to!\What?\Did you see their bodies for yourself?\You didn't, huh?\Then it may be a lie\It's reliable information from an agent of the Church. response:	They said the Devil of the Shield unleashed a monster sealed in the center of town
context: Listen up, Motoyasu.\I haven't killed Ren or Itsuki! I have no need to!\What?\Did you see their bodies for yourself?\You didn't, huh?\Then it may be a lie\It's reliable information from an agent of the Church.\They said the Devil of the Shield unleashed a monster sealed in the center of town response:	and killed Itsuki-sama and Ren-sama while they were distracted.
context: I haven't killed Ren or Itsuki! I have no need to!\What?\Did you see their bodies for yourself?\You didn't, huh?\Then it may be a lie\It's reliable information from an agent of the Church.\They said the Devil of the Shield unleashed a monster sealed in the center of town\and killed Itsuki-sama and Ren-sama while they were distracted. response:	What?
context: What?\Did you see their bodies for yourself?\You didn't, huh?\Then it may be a lie\It's reliable information from an agent of the Church.\They said the Devil of the Shield unleashed a monster sealed in the center of town\and killed Itsuki-sama and Ren-sama while they were distracted.\What? response:	Motoyasu-sama, be wary of his brainwashing shield.
context: Did you see their bodies for yourself?\You didn't, huh?\Then it may be a lie\It's reliable information from an agent of the Church.\They said the Devil of the Shield unleashed a monster sealed in the center of town\and killed Itsuki-sama and Ren-sama while they were distracted.\What?\Motoyasu-sama, be wary of his brainwashing shield. response:	Don't let the devil sway you with his words.
context: You didn't, huh?\Then it may be a lie\It's reliable information from an agent of the Church.\They said the Devil of the Shield unleashed a monster sealed in the center of town\and killed Itsuki-sama and Ren-sama while they were distracted.\What?\Motoyasu-sama, be wary of his brainwashing shield.\Don't let the devil sway you with his words. response:	Yeah, I know.
context: Then it may be a lie\It's reliable information from an agent of the Church.\They said the Devil of the Shield unleashed a monster sealed in the center of town\and killed Itsuki-sama and Ren-sama while they were distracted.\What?\Motoyasu-sama, be wary of his brainwashing shield.\Don't let the devil sway you with his words.\Yeah, I know. response:	I won't be fooled!
context: It's reliable information from an agent of the Church.\They said the Devil of the Shield unleashed a monster sealed in the center of town\and killed Itsuki-sama and Ren-sama while they were distracted.\What?\Motoyasu-sama, be wary of his brainwashing shield.\Don't let the devil sway you with his words.\Yeah, I know.\I won't be fooled! response:	Why is she always like this?
context: They said the Devil of the Shield unleashed a monster sealed in the center of town\and killed Itsuki-sama and Ren-sama while they were distracted.\What?\Motoyasu-sama, be wary of his brainwashing shield.\Don't let the devil sway you with his words.\Yeah, I know.\I won't be fooled!\Why is she always like this? response:	Mel-chan?
context: and killed Itsuki-sama and Ren-sama while they were distracted.\What?\Motoyasu-sama, be wary of his brainwashing shield.\Don't let the devil sway you with his words.\Yeah, I know.\I won't be fooled!\Why is she always like this?\Mel-chan? response:	Sister, you didn't.
context: What?\Motoyasu-sama, be wary of his brainwashing shield.\Don't let the devil sway you with his words.\Yeah, I know.\I won't be fooled!\Why is she always like this?\Mel-chan?\Sister, you didn't. response:	Did you kill Ren and Itsuki?!
context: Motoyasu-sama, be wary of his brainwashing shield.\Don't let the devil sway you with his words.\Yeah, I know.\I won't be fooled!\Why is she always like this?\Mel-chan?\Sister, you didn't.\Did you kill Ren and Itsuki?! response:	Now, it is time to battle.
context: Don't let the devil sway you with his words.\Yeah, I know.\I won't be fooled!\Why is she always like this?\Mel-chan?\Sister, you didn't.\Did you kill Ren and Itsuki?!\Now, it is time to battle. response:	What's this?
context: Yeah, I know.\I won't be fooled!\Why is she always like this?\Mel-chan?\Sister, you didn't.\Did you kill Ren and Itsuki?!\Now, it is time to battle.\What's this? response:	A Lightning Cage?!
context: I won't be fooled!\Why is she always like this?\Mel-chan?\Sister, you didn't.\Did you kill Ren and Itsuki?!\Now, it is time to battle.\What's this?\A Lightning Cage?! response:	Indeed. An item that seals caster and target
context: Why is she always like this?\Mel-chan?\Sister, you didn't.\Did you kill Ren and Itsuki?!\Now, it is time to battle.\What's this?\A Lightning Cage?!\Indeed. An item that seals caster and target response:	in an impregnable lightning prison.
context: Mel-chan?\Sister, you didn't.\Did you kill Ren and Itsuki?!\Now, it is time to battle.\What's this?\A Lightning Cage?!\Indeed. An item that seals caster and target\in an impregnable lightning prison. response:	You're not getting away!
