context: I'm Gouda Takeo, a first-year in high school. response:	Back in the spring, I started dating.
context: I got carried away and played after sundown and got lost.\After walking for a very long time,\I reached the city and was able to go home, but...\The mountain let you come home!\Don't you ever forget it.\No man can win against nature.\The mountain?\Back then, was that the awe I felt? response:	My master is nature!
context: After walking for a very long time,\I reached the city and was able to go home, but...\The mountain let you come home!\Don't you ever forget it.\No man can win against nature.\The mountain?\Back then, was that the awe I felt?\My master is nature! response:	That's pretty expansive.
context: I reached the city and was able to go home, but...\The mountain let you come home!\Don't you ever forget it.\No man can win against nature.\The mountain?\Back then, was that the awe I felt?\My master is nature!\That's pretty expansive. response:	She likes him as a person?
context: The mountain let you come home!\Don't you ever forget it.\No man can win against nature.\The mountain?\Back then, was that the awe I felt?\My master is nature!\That's pretty expansive.\She likes him as a person? response:	Oh! I can see that!
context: Don't you ever forget it.\No man can win against nature.\The mountain?\Back then, was that the awe I felt?\My master is nature!\That's pretty expansive.\She likes him as a person?\Oh! I can see that! response:	I like Rinko's boyfriend as a person, too.
context: No man can win against nature.\The mountain?\Back then, was that the awe I felt?\My master is nature!\That's pretty expansive.\She likes him as a person?\Oh! I can see that!\I like Rinko's boyfriend as a person, too. response:	Thanks.
context: The mountain?\Back then, was that the awe I felt?\My master is nature!\That's pretty expansive.\She likes him as a person?\Oh! I can see that!\I like Rinko's boyfriend as a person, too.\Thanks. response:	You don't need to worry.
context: Back then, was that the awe I felt?\My master is nature!\That's pretty expansive.\She likes him as a person?\Oh! I can see that!\I like Rinko's boyfriend as a person, too.\Thanks.\You don't need to worry. response:	He even said he isn't popular with girls, right?
context: My master is nature!\That's pretty expansive.\She likes him as a person?\Oh! I can see that!\I like Rinko's boyfriend as a person, too.\Thanks.\You don't need to worry.\He even said he isn't popular with girls, right? response:	Yeah.
context: That's pretty expansive.\She likes him as a person?\Oh! I can see that!\I like Rinko's boyfriend as a person, too.\Thanks.\You don't need to worry.\He even said he isn't popular with girls, right?\Yeah. response:	But I fell for him, so...
context: She likes him as a person?\Oh! I can see that!\I like Rinko's boyfriend as a person, too.\Thanks.\You don't need to worry.\He even said he isn't popular with girls, right?\Yeah.\But I fell for him, so... response:	You're such a worrywart!
context: Oh! I can see that!\I like Rinko's boyfriend as a person, too.\Thanks.\You don't need to worry.\He even said he isn't popular with girls, right?\Yeah.\But I fell for him, so...\You're such a worrywart! response:	By the way, you guys are trying to get into Hakutou U, right?
context: I like Rinko's boyfriend as a person, too.\Thanks.\You don't need to worry.\He even said he isn't popular with girls, right?\Yeah.\But I fell for him, so...\You're such a worrywart!\By the way, you guys are trying to get into Hakutou U, right? response:	Text Inbox Yamato Rinko Subject: Are you free this weekend? Takeo-kun, are you free this Sat or Sun? Hakutou U's having a school festival. Want to go? Maybe Sunakawa-kun, too?
context: Thanks.\You don't need to worry.\He even said he isn't popular with girls, right?\Yeah.\But I fell for him, so...\You're such a worrywart!\By the way, you guys are trying to get into Hakutou U, right?\Text Inbox Yamato Rinko Subject: Are you free this weekend? Takeo-kun, are you free this Sat or Sun? Hakutou U's having a school festival. Want to go? Maybe Sunakawa-kun, too? response:	Suna, Yamato sent a text asking if we want to go to Hakutou U's school festival.
context: You don't need to worry.\He even said he isn't popular with girls, right?\Yeah.\But I fell for him, so...\You're such a worrywart!\By the way, you guys are trying to get into Hakutou U, right?\Text Inbox Yamato Rinko Subject: Are you free this weekend? Takeo-kun, are you free this Sat or Sun? Hakutou U's having a school festival. Want to go? Maybe Sunakawa-kun, too?\Suna, Yamato sent a text asking if we want to go to Hakutou U's school festival. response:	Are you free this Saturday or Sunday?
context: He even said he isn't popular with girls, right?\Yeah.\But I fell for him, so...\You're such a worrywart!\By the way, you guys are trying to get into Hakutou U, right?\Text Inbox Yamato Rinko Subject: Are you free this weekend? Takeo-kun, are you free this Sat or Sun? Hakutou U's having a school festival. Want to go? Maybe Sunakawa-kun, too?\Suna, Yamato sent a text asking if we want to go to Hakutou U's school festival.\Are you free this Saturday or Sunday? response:	Both days are fine.
context: Yeah.\But I fell for him, so...\You're such a worrywart!\By the way, you guys are trying to get into Hakutou U, right?\Text Inbox Yamato Rinko Subject: Are you free this weekend? Takeo-kun, are you free this Sat or Sun? Hakutou U's having a school festival. Want to go? Maybe Sunakawa-kun, too?\Suna, Yamato sent a text asking if we want to go to Hakutou U's school festival.\Are you free this Saturday or Sunday?\Both days are fine. response:	Hakutou U?
context: But I fell for him, so...\You're such a worrywart!\By the way, you guys are trying to get into Hakutou U, right?\Text Inbox Yamato Rinko Subject: Are you free this weekend? Takeo-kun, are you free this Sat or Sun? Hakutou U's having a school festival. Want to go? Maybe Sunakawa-kun, too?\Suna, Yamato sent a text asking if we want to go to Hakutou U's school festival.\Are you free this Saturday or Sunday?\Both days are fine.\Hakutou U? response:	Master, you're trying to get in there?
context: You're such a worrywart!\By the way, you guys are trying to get into Hakutou U, right?\Text Inbox Yamato Rinko Subject: Are you free this weekend? Takeo-kun, are you free this Sat or Sun? Hakutou U's having a school festival. Want to go? Maybe Sunakawa-kun, too?\Suna, Yamato sent a text asking if we want to go to Hakutou U's school festival.\Are you free this Saturday or Sunday?\Both days are fine.\Hakutou U?\Master, you're trying to get in there? response:	Yeah, are you, also?
context: By the way, you guys are trying to get into Hakutou U, right?\Text Inbox Yamato Rinko Subject: Are you free this weekend? Takeo-kun, are you free this Sat or Sun? Hakutou U's having a school festival. Want to go? Maybe Sunakawa-kun, too?\Suna, Yamato sent a text asking if we want to go to Hakutou U's school festival.\Are you free this Saturday or Sunday?\Both days are fine.\Hakutou U?\Master, you're trying to get in there?\Yeah, are you, also? response:	Huh?
context: Text Inbox Yamato Rinko Subject: Are you free this weekend? Takeo-kun, are you free this Sat or Sun? Hakutou U's having a school festival. Want to go? Maybe Sunakawa-kun, too?\Suna, Yamato sent a text asking if we want to go to Hakutou U's school festival.\Are you free this Saturday or Sunday?\Both days are fine.\Hakutou U?\Master, you're trying to get in there?\Yeah, are you, also?\Huh? response:	Um... Yeah.
context: Suna, Yamato sent a text asking if we want to go to Hakutou U's school festival.\Are you free this Saturday or Sunday?\Both days are fine.\Hakutou U?\Master, you're trying to get in there?\Yeah, are you, also?\Huh?\Um... Yeah. response:	Do you want to come, too?
context: Are you free this Saturday or Sunday?\Both days are fine.\Hakutou U?\Master, you're trying to get in there?\Yeah, are you, also?\Huh?\Um... Yeah.\Do you want to come, too? response:	Huh?
context: Both days are fine.\Hakutou U?\Master, you're trying to get in there?\Yeah, are you, also?\Huh?\Um... Yeah.\Do you want to come, too?\Huh? response:	Wait, isn't it a date?
context: Hakutou U?\Master, you're trying to get in there?\Yeah, are you, also?\Huh?\Um... Yeah.\Do you want to come, too?\Huh?\Wait, isn't it a date? response:	I'd just be in the way.
context: Master, you're trying to get in there?\Yeah, are you, also?\Huh?\Um... Yeah.\Do you want to come, too?\Huh?\Wait, isn't it a date?\I'd just be in the way. response:	Wait, I'll ask Yamato.
context: Yeah, are you, also?\Huh?\Um... Yeah.\Do you want to come, too?\Huh?\Wait, isn't it a date?\I'd just be in the way.\Wait, I'll ask Yamato. response:	It's fine!
context: Huh?\Um... Yeah.\Do you want to come, too?\Huh?\Wait, isn't it a date?\I'd just be in the way.\Wait, I'll ask Yamato.\It's fine! response:	That was fast!
context: Um... Yeah.\Do you want to come, too?\Huh?\Wait, isn't it a date?\I'd just be in the way.\Wait, I'll ask Yamato.\It's fine!\That was fast! response:	Wait, is it really okay?
context: Do you want to come, too?\Huh?\Wait, isn't it a date?\I'd just be in the way.\Wait, I'll ask Yamato.\It's fine!\That was fast!\Wait, is it really okay? response:	Takeo-kun!
context: Huh?\Wait, isn't it a date?\I'd just be in the way.\Wait, I'll ask Yamato.\It's fine!\That was fast!\Wait, is it really okay?\Takeo-kun! response:	Gouda!
context: Wait, isn't it a date?\I'd just be in the way.\Wait, I'll ask Yamato.\It's fine!\That was fast!\Wait, is it really okay?\Takeo-kun!\Gouda! response:	Hey.
context: I'd just be in the way.\Wait, I'll ask Yamato.\It's fine!\That was fast!\Wait, is it really okay?\Takeo-kun!\Gouda!\Hey. response:	Hello, Saijou-san.
context: Wait, I'll ask Yamato.\It's fine!\That was fast!\Wait, is it really okay?\Takeo-kun!\Gouda!\Hey.\Hello, Saijou-san. response:	Oh, hello...
context: It's fine!\That was fast!\Wait, is it really okay?\Takeo-kun!\Gouda!\Hey.\Hello, Saijou-san.\Oh, hello... response:	Sorry, I hope I'm not being a bother.
context: That was fast!\Wait, is it really okay?\Takeo-kun!\Gouda!\Hey.\Hello, Saijou-san.\Oh, hello...\Sorry, I hope I'm not being a bother. response:	Not at all.
context: Wait, is it really okay?\Takeo-kun!\Gouda!\Hey.\Hello, Saijou-san.\Oh, hello...\Sorry, I hope I'm not being a bother.\Not at all. response:	Hakutou University School Festival
context: Takeo-kun!\Gouda!\Hey.\Hello, Saijou-san.\Oh, hello...\Sorry, I hope I'm not being a bother.\Not at all.\Hakutou University School Festival response:	Wow! What a big festival!
context: Gouda!\Hey.\Hello, Saijou-san.\Oh, hello...\Sorry, I hope I'm not being a bother.\Not at all.\Hakutou University School Festival\Wow! What a big festival! response:	There's a stamp card.
context: Hey.\Hello, Saijou-san.\Oh, hello...\Sorry, I hope I'm not being a bother.\Not at all.\Hakutou University School Festival\Wow! What a big festival!\There's a stamp card. response:	Want to try it out, Takeo-kun?
context: Hello, Saijou-san.\Oh, hello...\Sorry, I hope I'm not being a bother.\Not at all.\Hakutou University School Festival\Wow! What a big festival!\There's a stamp card.\Want to try it out, Takeo-kun? response:	Sure!
context: Oh, hello...\Sorry, I hope I'm not being a bother.\Not at all.\Hakutou University School Festival\Wow! What a big festival!\There's a stamp card.\Want to try it out, Takeo-kun?\Sure! response:	This is beef stew made from a secret recipe.
context: Sorry, I hope I'm not being a bother.\Not at all.\Hakutou University School Festival\Wow! What a big festival!\There's a stamp card.\Want to try it out, Takeo-kun?\Sure!\This is beef stew made from a secret recipe. response:	Secret!
context: Not at all.\Hakutou University School Festival\Wow! What a big festival!\There's a stamp card.\Want to try it out, Takeo-kun?\Sure!\This is beef stew made from a secret recipe.\Secret! response:	Secret.
context: Hakutou University School Festival\Wow! What a big festival!\There's a stamp card.\Want to try it out, Takeo-kun?\Sure!\This is beef stew made from a secret recipe.\Secret!\Secret. response:	Yamato...
context: Wow! What a big festival!\There's a stamp card.\Want to try it out, Takeo-kun?\Sure!\This is beef stew made from a secret recipe.\Secret!\Secret.\Yamato... response:	Why do you need to keep cooling it down so long?
context: There's a stamp card.\Want to try it out, Takeo-kun?\Sure!\This is beef stew made from a secret recipe.\Secret!\Secret.\Yamato...\Why do you need to keep cooling it down so long? response:	I love you.
context: Want to try it out, Takeo-kun?\Sure!\This is beef stew made from a secret recipe.\Secret!\Secret.\Yamato...\Why do you need to keep cooling it down so long?\I love you. response:	Oh, I'm really sensitive to hot food!
context: Sure!\This is beef stew made from a secret recipe.\Secret!\Secret.\Yamato...\Why do you need to keep cooling it down so long?\I love you.\Oh, I'm really sensitive to hot food! response:	Oops, did everyone finish theirs?
context: This is beef stew made from a secret recipe.\Secret!\Secret.\Yamato...\Why do you need to keep cooling it down so long?\I love you.\Oh, I'm really sensitive to hot food!\Oops, did everyone finish theirs? response:	Sorry, I'll finish up right now.
context: Secret!\Secret.\Yamato...\Why do you need to keep cooling it down so long?\I love you.\Oh, I'm really sensitive to hot food!\Oops, did everyone finish theirs?\Sorry, I'll finish up right now. response:	It's fine.
context: Secret.\Yamato...\Why do you need to keep cooling it down so long?\I love you.\Oh, I'm really sensitive to hot food!\Oops, did everyone finish theirs?\Sorry, I'll finish up right now.\It's fine. response:	Cool it down as much as you want.
context: Yamato...\Why do you need to keep cooling it down so long?\I love you.\Oh, I'm really sensitive to hot food!\Oops, did everyone finish theirs?\Sorry, I'll finish up right now.\It's fine.\Cool it down as much as you want. response:	Two more stamps to collect...
context: Why do you need to keep cooling it down so long?\I love you.\Oh, I'm really sensitive to hot food!\Oops, did everyone finish theirs?\Sorry, I'll finish up right now.\It's fine.\Cool it down as much as you want.\Two more stamps to collect... response:	Hakutou U Festival Stamp Card
context: I love you.\Oh, I'm really sensitive to hot food!\Oops, did everyone finish theirs?\Sorry, I'll finish up right now.\It's fine.\Cool it down as much as you want.\Two more stamps to collect...\Hakutou U Festival Stamp Card response:	They're really far.
context: Oh, I'm really sensitive to hot food!\Oops, did everyone finish theirs?\Sorry, I'll finish up right now.\It's fine.\Cool it down as much as you want.\Two more stamps to collect...\Hakutou U Festival Stamp Card\They're really far. response:	Their campus is huge!
context: Oops, did everyone finish theirs?\Sorry, I'll finish up right now.\It's fine.\Cool it down as much as you want.\Two more stamps to collect...\Hakutou U Festival Stamp Card\They're really far.\Their campus is huge! response:	Just take a break here.
context: Sorry, I'll finish up right now.\It's fine.\Cool it down as much as you want.\Two more stamps to collect...\Hakutou U Festival Stamp Card\They're really far.\Their campus is huge!\Just take a break here. response:	I'll go get the stamps.
context: It's fine.\Cool it down as much as you want.\Two more stamps to collect...\Hakutou U Festival Stamp Card\They're really far.\Their campus is huge!\Just take a break here.\I'll go get the stamps. response:	Oh, really?
context: Cool it down as much as you want.\Two more stamps to collect...\Hakutou U Festival Stamp Card\They're really far.\Their campus is huge!\Just take a break here.\I'll go get the stamps.\Oh, really? response:	Yeah!
context: Two more stamps to collect...\Hakutou U Festival Stamp Card\They're really far.\Their campus is huge!\Just take a break here.\I'll go get the stamps.\Oh, really?\Yeah! response:	I'll go, too.
context: Hakutou U Festival Stamp Card\They're really far.\Their campus is huge!\Just take a break here.\I'll go get the stamps.\Oh, really?\Yeah!\I'll go, too. response:	You'd just get lost.
context: They're really far.\Their campus is huge!\Just take a break here.\I'll go get the stamps.\Oh, really?\Yeah!\I'll go, too.\You'd just get lost. response:	Yeah.
context: Their campus is huge!\Just take a break here.\I'll go get the stamps.\Oh, really?\Yeah!\I'll go, too.\You'd just get lost.\Yeah. response:	Saijou-san, what do you like about Takeo-kun?
context: Just take a break here.\I'll go get the stamps.\Oh, really?\Yeah!\I'll go, too.\You'd just get lost.\Yeah.\Saijou-san, what do you like about Takeo-kun? response:	Huh?
context: I'll go get the stamps.\Oh, really?\Yeah!\I'll go, too.\You'd just get lost.\Yeah.\Saijou-san, what do you like about Takeo-kun?\Huh? response:	Sorry...
context: Oh, really?\Yeah!\I'll go, too.\You'd just get lost.\Yeah.\Saijou-san, what do you like about Takeo-kun?\Huh?\Sorry... response:	At the chicken coop,
context: Yeah!\I'll go, too.\You'd just get lost.\Yeah.\Saijou-san, what do you like about Takeo-kun?\Huh?\Sorry...\At the chicken coop, response:	I happened to overhear you tell Takeo-kun that you like him as a person.
context: I'll go, too.\You'd just get lost.\Yeah.\Saijou-san, what do you like about Takeo-kun?\Huh?\Sorry...\At the chicken coop,\I happened to overhear you tell Takeo-kun that you like him as a person. response:	So I was just curious!
context: You'd just get lost.\Yeah.\Saijou-san, what do you like about Takeo-kun?\Huh?\Sorry...\At the chicken coop,\I happened to overhear you tell Takeo-kun that you like him as a person.\So I was just curious! response:	He was helping me practice for the relay.
context: Yeah.\Saijou-san, what do you like about Takeo-kun?\Huh?\Sorry...\At the chicken coop,\I happened to overhear you tell Takeo-kun that you like him as a person.\So I was just curious!\He was helping me practice for the relay. response:	Right, right...
context: Saijou-san, what do you like about Takeo-kun?\Huh?\Sorry...\At the chicken coop,\I happened to overhear you tell Takeo-kun that you like him as a person.\So I was just curious!\He was helping me practice for the relay.\Right, right... response:	I fell during the race,
context: Huh?\Sorry...\At the chicken coop,\I happened to overhear you tell Takeo-kun that you like him as a person.\So I was just curious!\He was helping me practice for the relay.\Right, right...\I fell during the race, response:	and I blanked out.
context: Sorry...\At the chicken coop,\I happened to overhear you tell Takeo-kun that you like him as a person.\So I was just curious!\He was helping me practice for the relay.\Right, right...\I fell during the race,\and I blanked out. response:	When I looked up, he was waiting for me.
context: At the chicken coop,\I happened to overhear you tell Takeo-kun that you like him as a person.\So I was just curious!\He was helping me practice for the relay.\Right, right...\I fell during the race,\and I blanked out.\When I looked up, he was waiting for me. response:	Everyone else had left him behind,
context: I happened to overhear you tell Takeo-kun that you like him as a person.\So I was just curious!\He was helping me practice for the relay.\Right, right...\I fell during the race,\and I blanked out.\When I looked up, he was waiting for me.\Everyone else had left him behind, response:	but he was still waiting for me...
context: So I was just curious!\He was helping me practice for the relay.\Right, right...\I fell during the race,\and I blanked out.\When I looked up, he was waiting for me.\Everyone else had left him behind,\but he was still waiting for me... response:	And when I passed him the baton, he was super fast and got first place,
context: He was helping me practice for the relay.\Right, right...\I fell during the race,\and I blanked out.\When I looked up, he was waiting for me.\Everyone else had left him behind,\but he was still waiting for me...\And when I passed him the baton, he was super fast and got first place, response:	Roar
context: Right, right...\I fell during the race,\and I blanked out.\When I looked up, he was waiting for me.\Everyone else had left him behind,\but he was still waiting for me...\And when I passed him the baton, he was super fast and got first place,\Roar response:	even though he entered the final lap in last!
context: I fell during the race,\and I blanked out.\When I looked up, he was waiting for me.\Everyone else had left him behind,\but he was still waiting for me...\And when I passed him the baton, he was super fast and got first place,\Roar\even though he entered the final lap in last! response:	Wow, amazing!
context: and I blanked out.\When I looked up, he was waiting for me.\Everyone else had left him behind,\but he was still waiting for me...\And when I passed him the baton, he was super fast and got first place,\Roar\even though he entered the final lap in last!\Wow, amazing! response:	Yeah, isn't he amazing?
context: When I looked up, he was waiting for me.\Everyone else had left him behind,\but he was still waiting for me...\And when I passed him the baton, he was super fast and got first place,\Roar\even though he entered the final lap in last!\Wow, amazing!\Yeah, isn't he amazing? response:	He left all of them in the dust, too!
context: Everyone else had left him behind,\but he was still waiting for me...\And when I passed him the baton, he was super fast and got first place,\Roar\even though he entered the final lap in last!\Wow, amazing!\Yeah, isn't he amazing?\He left all of them in the dust, too! response:	Wow!
context: but he was still waiting for me...\And when I passed him the baton, he was super fast and got first place,\Roar\even though he entered the final lap in last!\Wow, amazing!\Yeah, isn't he amazing?\He left all of them in the dust, too!\Wow! response:	Takeo-kun's amazing!
context: And when I passed him the baton, he was super fast and got first place,\Roar\even though he entered the final lap in last!\Wow, amazing!\Yeah, isn't he amazing?\He left all of them in the dust, too!\Wow!\Takeo-kun's amazing! response:	But it didn't really matter if he finished first or not.
context: Roar\even though he entered the final lap in last!\Wow, amazing!\Yeah, isn't he amazing?\He left all of them in the dust, too!\Wow!\Takeo-kun's amazing!\But it didn't really matter if he finished first or not. response:	I was just happy that he ran with everything he had...
context: even though he entered the final lap in last!\Wow, amazing!\Yeah, isn't he amazing?\He left all of them in the dust, too!\Wow!\Takeo-kun's amazing!\But it didn't really matter if he finished first or not.\I was just happy that he ran with everything he had... response:	I know just what you mean!
context: Wow, amazing!\Yeah, isn't he amazing?\He left all of them in the dust, too!\Wow!\Takeo-kun's amazing!\But it didn't really matter if he finished first or not.\I was just happy that he ran with everything he had...\I know just what you mean! response:	Oh, sorry.
context: Yeah, isn't he amazing?\He left all of them in the dust, too!\Wow!\Takeo-kun's amazing!\But it didn't really matter if he finished first or not.\I was just happy that he ran with everything he had...\I know just what you mean!\Oh, sorry. response:	I didn't mean to lean in so close.
context: He left all of them in the dust, too!\Wow!\Takeo-kun's amazing!\But it didn't really matter if he finished first or not.\I was just happy that he ran with everything he had...\I know just what you mean!\Oh, sorry.\I didn't mean to lean in so close. response:	Which one of you asked the other out?
context: Wow!\Takeo-kun's amazing!\But it didn't really matter if he finished first or not.\I was just happy that he ran with everything he had...\I know just what you mean!\Oh, sorry.\I didn't mean to lean in so close.\Which one of you asked the other out? response:	Oh, it was me.
context: Takeo-kun's amazing!\But it didn't really matter if he finished first or not.\I was just happy that he ran with everything he had...\I know just what you mean!\Oh, sorry.\I didn't mean to lean in so close.\Which one of you asked the other out?\Oh, it was me. response:	I see!
context: But it didn't really matter if he finished first or not.\I was just happy that he ran with everything he had...\I know just what you mean!\Oh, sorry.\I didn't mean to lean in so close.\Which one of you asked the other out?\Oh, it was me.\I see! response:	Earlier this year,
context: I was just happy that he ran with everything he had...\I know just what you mean!\Oh, sorry.\I didn't mean to lean in so close.\Which one of you asked the other out?\Oh, it was me.\I see!\Earlier this year, response:	for the first time in my life, I ran into a groper.
context: I know just what you mean!\Oh, sorry.\I didn't mean to lean in so close.\Which one of you asked the other out?\Oh, it was me.\I see!\Earlier this year,\for the first time in my life, I ran into a groper. response:	Seriously?
context: Oh, sorry.\I didn't mean to lean in so close.\Which one of you asked the other out?\Oh, it was me.\I see!\Earlier this year,\for the first time in my life, I ran into a groper.\Seriously? response:	Yeah, and Takeo-kun happened to be in the same train car and helped me.
context: I didn't mean to lean in so close.\Which one of you asked the other out?\Oh, it was me.\I see!\Earlier this year,\for the first time in my life, I ran into a groper.\Seriously?\Yeah, and Takeo-kun happened to be in the same train car and helped me. response:	Oh, that sounds like him.
context: Which one of you asked the other out?\Oh, it was me.\I see!\Earlier this year,\for the first time in my life, I ran into a groper.\Seriously?\Yeah, and Takeo-kun happened to be in the same train car and helped me.\Oh, that sounds like him. response:	Afterward, the guy said something about how I was asking for it.
context: Oh, it was me.\I see!\Earlier this year,\for the first time in my life, I ran into a groper.\Seriously?\Yeah, and Takeo-kun happened to be in the same train car and helped me.\Oh, that sounds like him.\Afterward, the guy said something about how I was asking for it. response:	What a jerk! That's awful!
context: I see!\Earlier this year,\for the first time in my life, I ran into a groper.\Seriously?\Yeah, and Takeo-kun happened to be in the same train car and helped me.\Oh, that sounds like him.\Afterward, the guy said something about how I was asking for it.\What a jerk! That's awful! response:	Takeo-kun got mad for me.
context: Earlier this year,\for the first time in my life, I ran into a groper.\Seriously?\Yeah, and Takeo-kun happened to be in the same train car and helped me.\Oh, that sounds like him.\Afterward, the guy said something about how I was asking for it.\What a jerk! That's awful!\Takeo-kun got mad for me. response:	He really yelled at the guy...
context: for the first time in my life, I ran into a groper.\Seriously?\Yeah, and Takeo-kun happened to be in the same train car and helped me.\Oh, that sounds like him.\Afterward, the guy said something about how I was asking for it.\What a jerk! That's awful!\Takeo-kun got mad for me.\He really yelled at the guy... response:	He's cool.
context: Seriously?\Yeah, and Takeo-kun happened to be in the same train car and helped me.\Oh, that sounds like him.\Afterward, the guy said something about how I was asking for it.\What a jerk! That's awful!\Takeo-kun got mad for me.\He really yelled at the guy...\He's cool. response:	Yeah.
context: Yeah, and Takeo-kun happened to be in the same train car and helped me.\Oh, that sounds like him.\Afterward, the guy said something about how I was asking for it.\What a jerk! That's awful!\Takeo-kun got mad for me.\He really yelled at the guy...\He's cool.\Yeah. response:	But he punched the guy.
context: Oh, that sounds like him.\Afterward, the guy said something about how I was asking for it.\What a jerk! That's awful!\Takeo-kun got mad for me.\He really yelled at the guy...\He's cool.\Yeah.\But he punched the guy. response:	Huh?
context: Afterward, the guy said something about how I was asking for it.\What a jerk! That's awful!\Takeo-kun got mad for me.\He really yelled at the guy...\He's cool.\Yeah.\But he punched the guy.\Huh? response:	What's going on? Looks like they're having fun.
context: What a jerk! That's awful!\Takeo-kun got mad for me.\He really yelled at the guy...\He's cool.\Yeah.\But he punched the guy.\Huh?\What's going on? Looks like they're having fun. response:	Was that when he was on probation?
context: Takeo-kun got mad for me.\He really yelled at the guy...\He's cool.\Yeah.\But he punched the guy.\Huh?\What's going on? Looks like they're having fun.\Was that when he was on probation? response:	Oh, Takeo-kun!
