context: Child of God (Part One) response:	Without thinking, it came out of my mouth...
context: Matches are absolute,\so forfeiting a match is not acceptable, except for the funeral of one's parents.\But it's too bad.\Study camps are a major event in a student's life.\Yeah.\True, I was a little disappointed.\I wasn't disappointed that I couldn't go,\but disappointed in myself for being secretly relieved at getting out of going. response:	Still...
context: so forfeiting a match is not acceptable, except for the funeral of one's parents.\But it's too bad.\Study camps are a major event in a student's life.\Yeah.\True, I was a little disappointed.\I wasn't disappointed that I couldn't go,\but disappointed in myself for being secretly relieved at getting out of going.\Still... response:	Don't give me an obvious face of relief.
context: But it's too bad.\Study camps are a major event in a student's life.\Yeah.\True, I was a little disappointed.\I wasn't disappointed that I couldn't go,\but disappointed in myself for being secretly relieved at getting out of going.\Still...\Don't give me an obvious face of relief. response:	Crap. He saw through me.
context: Study camps are a major event in a student's life.\Yeah.\True, I was a little disappointed.\I wasn't disappointed that I couldn't go,\but disappointed in myself for being secretly relieved at getting out of going.\Still...\Don't give me an obvious face of relief.\Crap. He saw through me. response:	Was it super obviously on my face?
context: Yeah.\True, I was a little disappointed.\I wasn't disappointed that I couldn't go,\but disappointed in myself for being secretly relieved at getting out of going.\Still...\Don't give me an obvious face of relief.\Crap. He saw through me.\Was it super obviously on my face? response:	Look, I know how you feel.
context: True, I was a little disappointed.\I wasn't disappointed that I couldn't go,\but disappointed in myself for being secretly relieved at getting out of going.\Still...\Don't give me an obvious face of relief.\Crap. He saw through me.\Was it super obviously on my face?\Look, I know how you feel. response:	You don't have any friends, and suddenly being thrown in
context: I wasn't disappointed that I couldn't go,\but disappointed in myself for being secretly relieved at getting out of going.\Still...\Don't give me an obvious face of relief.\Crap. He saw through me.\Was it super obviously on my face?\Look, I know how you feel.\You don't have any friends, and suddenly being thrown in response:	with a group of guys you've never talked to before
context: but disappointed in myself for being secretly relieved at getting out of going.\Still...\Don't give me an obvious face of relief.\Crap. He saw through me.\Was it super obviously on my face?\Look, I know how you feel.\You don't have any friends, and suddenly being thrown in\with a group of guys you've never talked to before response:	and then have to sleep in the same room for four nights is going to be tough.
context: Still...\Don't give me an obvious face of relief.\Crap. He saw through me.\Was it super obviously on my face?\Look, I know how you feel.\You don't have any friends, and suddenly being thrown in\with a group of guys you've never talked to before\and then have to sleep in the same room for four nights is going to be tough. response:	Okay, Mr. Hayashida, can we be a bit more subtle?
context: Don't give me an obvious face of relief.\Crap. He saw through me.\Was it super obviously on my face?\Look, I know how you feel.\You don't have any friends, and suddenly being thrown in\with a group of guys you've never talked to before\and then have to sleep in the same room for four nights is going to be tough.\Okay, Mr. Hayashida, can we be a bit more subtle? response:	Maybe a little more tactful, and not so straight-forward.
context: Crap. He saw through me.\Was it super obviously on my face?\Look, I know how you feel.\You don't have any friends, and suddenly being thrown in\with a group of guys you've never talked to before\and then have to sleep in the same room for four nights is going to be tough.\Okay, Mr. Hayashida, can we be a bit more subtle?\Maybe a little more tactful, and not so straight-forward. response:	Well, I know a professional shogi player doesn't have much free time.
context: Was it super obviously on my face?\Look, I know how you feel.\You don't have any friends, and suddenly being thrown in\with a group of guys you've never talked to before\and then have to sleep in the same room for four nights is going to be tough.\Okay, Mr. Hayashida, can we be a bit more subtle?\Maybe a little more tactful, and not so straight-forward.\Well, I know a professional shogi player doesn't have much free time. response:	True, I do have several matches a month,
context: Look, I know how you feel.\You don't have any friends, and suddenly being thrown in\with a group of guys you've never talked to before\and then have to sleep in the same room for four nights is going to be tough.\Okay, Mr. Hayashida, can we be a bit more subtle?\Maybe a little more tactful, and not so straight-forward.\Well, I know a professional shogi player doesn't have much free time.\True, I do have several matches a month, response:	Shogi is like a baseball or boxing tournament in that respect.
context: You don't have any friends, and suddenly being thrown in\with a group of guys you've never talked to before\and then have to sleep in the same room for four nights is going to be tough.\Okay, Mr. Hayashida, can we be a bit more subtle?\Maybe a little more tactful, and not so straight-forward.\Well, I know a professional shogi player doesn't have much free time.\True, I do have several matches a month,\Shogi is like a baseball or boxing tournament in that respect. response:	So what does a professional athlete do on their day off?
context: with a group of guys you've never talked to before\and then have to sleep in the same room for four nights is going to be tough.\Okay, Mr. Hayashida, can we be a bit more subtle?\Maybe a little more tactful, and not so straight-forward.\Well, I know a professional shogi player doesn't have much free time.\True, I do have several matches a month,\Shogi is like a baseball or boxing tournament in that respect.\So what does a professional athlete do on their day off? response:	Yes, the answer is training.
context: and then have to sleep in the same room for four nights is going to be tough.\Okay, Mr. Hayashida, can we be a bit more subtle?\Maybe a little more tactful, and not so straight-forward.\Well, I know a professional shogi player doesn't have much free time.\True, I do have several matches a month,\Shogi is like a baseball or boxing tournament in that respect.\So what does a professional athlete do on their day off?\Yes, the answer is training. response:	Shogi players are like professional athletes.
context: Okay, Mr. Hayashida, can we be a bit more subtle?\Maybe a little more tactful, and not so straight-forward.\Well, I know a professional shogi player doesn't have much free time.\True, I do have several matches a month,\Shogi is like a baseball or boxing tournament in that respect.\So what does a professional athlete do on their day off?\Yes, the answer is training.\Shogi players are like professional athletes. response:	On days without matches, we practice or study.
context: Maybe a little more tactful, and not so straight-forward.\Well, I know a professional shogi player doesn't have much free time.\True, I do have several matches a month,\Shogi is like a baseball or boxing tournament in that respect.\So what does a professional athlete do on their day off?\Yes, the answer is training.\Shogi players are like professional athletes.\On days without matches, we practice or study. response:	We examine and set up the countless game records left behind by predecessors,
context: Well, I know a professional shogi player doesn't have much free time.\True, I do have several matches a month,\Shogi is like a baseball or boxing tournament in that respect.\So what does a professional athlete do on their day off?\Yes, the answer is training.\Shogi players are like professional athletes.\On days without matches, we practice or study.\We examine and set up the countless game records left behind by predecessors, response:	hold study sessions with fellow shogi players, investigate new tactics together...
context: True, I do have several matches a month,\Shogi is like a baseball or boxing tournament in that respect.\So what does a professional athlete do on their day off?\Yes, the answer is training.\Shogi players are like professional athletes.\On days without matches, we practice or study.\We examine and set up the countless game records left behind by predecessors,\hold study sessions with fellow shogi players, investigate new tactics together... response:	But then I don't see the reason why you bothered to re-enroll in high school.
context: Shogi is like a baseball or boxing tournament in that respect.\So what does a professional athlete do on their day off?\Yes, the answer is training.\Shogi players are like professional athletes.\On days without matches, we practice or study.\We examine and set up the countless game records left behind by predecessors,\hold study sessions with fellow shogi players, investigate new tactics together...\But then I don't see the reason why you bothered to re-enroll in high school. response:	I guess so, huh?
context: So what does a professional athlete do on their day off?\Yes, the answer is training.\Shogi players are like professional athletes.\On days without matches, we practice or study.\We examine and set up the countless game records left behind by predecessors,\hold study sessions with fellow shogi players, investigate new tactics together...\But then I don't see the reason why you bothered to re-enroll in high school.\I guess so, huh? response:	Hey, don't admit it so easily.
context: Yes, the answer is training.\Shogi players are like professional athletes.\On days without matches, we practice or study.\We examine and set up the countless game records left behind by predecessors,\hold study sessions with fellow shogi players, investigate new tactics together...\But then I don't see the reason why you bothered to re-enroll in high school.\I guess so, huh?\Hey, don't admit it so easily. response:	You don't have a home. You don't have a family.
context: Shogi players are like professional athletes.\On days without matches, we practice or study.\We examine and set up the countless game records left behind by predecessors,\hold study sessions with fellow shogi players, investigate new tactics together...\But then I don't see the reason why you bothered to re-enroll in high school.\I guess so, huh?\Hey, don't admit it so easily.\You don't have a home. You don't have a family. response:	You don't go to school.
context: On days without matches, we practice or study.\We examine and set up the countless game records left behind by predecessors,\hold study sessions with fellow shogi players, investigate new tactics together...\But then I don't see the reason why you bothered to re-enroll in high school.\I guess so, huh?\Hey, don't admit it so easily.\You don't have a home. You don't have a family.\You don't go to school. response:	You don't have any friends.
context: We examine and set up the countless game records left behind by predecessors,\hold study sessions with fellow shogi players, investigate new tactics together...\But then I don't see the reason why you bothered to re-enroll in high school.\I guess so, huh?\Hey, don't admit it so easily.\You don't have a home. You don't have a family.\You don't go to school.\You don't have any friends. response:	There's no place for you in this world.
context: hold study sessions with fellow shogi players, investigate new tactics together...\But then I don't see the reason why you bothered to re-enroll in high school.\I guess so, huh?\Hey, don't admit it so easily.\You don't have a home. You don't have a family.\You don't go to school.\You don't have any friends.\There's no place for you in this world. response:	Kyouko's words jumped right into the center of my heart,
context: But then I don't see the reason why you bothered to re-enroll in high school.\I guess so, huh?\Hey, don't admit it so easily.\You don't have a home. You don't have a family.\You don't go to school.\You don't have any friends.\There's no place for you in this world.\Kyouko's words jumped right into the center of my heart, response:	but they didn't make me angry or sad.
context: I guess so, huh?\Hey, don't admit it so easily.\You don't have a home. You don't have a family.\You don't go to school.\You don't have any friends.\There's no place for you in this world.\Kyouko's words jumped right into the center of my heart,\but they didn't make me angry or sad. response:	I simply thought, That's how it is.
context: Hey, don't admit it so easily.\You don't have a home. You don't have a family.\You don't go to school.\You don't have any friends.\There's no place for you in this world.\Kyouko's words jumped right into the center of my heart,\but they didn't make me angry or sad.\I simply thought, That's how it is. response:	That's exactly why I wanted to become a professional.
context: You don't have a home. You don't have a family.\You don't go to school.\You don't have any friends.\There's no place for you in this world.\Kyouko's words jumped right into the center of my heart,\but they didn't make me angry or sad.\I simply thought, That's how it is.\That's exactly why I wanted to become a professional. response:	I thought if I could support myself without any help,
context: You don't go to school.\You don't have any friends.\There's no place for you in this world.\Kyouko's words jumped right into the center of my heart,\but they didn't make me angry or sad.\I simply thought, That's how it is.\That's exactly why I wanted to become a professional.\I thought if I could support myself without any help, response:	that would become the place where I belong.
context: You don't have any friends.\There's no place for you in this world.\Kyouko's words jumped right into the center of my heart,\but they didn't make me angry or sad.\I simply thought, That's how it is.\That's exactly why I wanted to become a professional.\I thought if I could support myself without any help,\that would become the place where I belong. response:	So I desperately latched onto the board.
context: There's no place for you in this world.\Kyouko's words jumped right into the center of my heart,\but they didn't make me angry or sad.\I simply thought, That's how it is.\That's exactly why I wanted to become a professional.\I thought if I could support myself without any help,\that would become the place where I belong.\So I desperately latched onto the board. response:	Then, that dream came true and became reality.
context: Kyouko's words jumped right into the center of my heart,\but they didn't make me angry or sad.\I simply thought, That's how it is.\That's exactly why I wanted to become a professional.\I thought if I could support myself without any help,\that would become the place where I belong.\So I desperately latched onto the board.\Then, that dream came true and became reality. response:	I didn't have many things, so my move finished pretty quickly.
context: but they didn't make me angry or sad.\I simply thought, That's how it is.\That's exactly why I wanted to become a professional.\I thought if I could support myself without any help,\that would become the place where I belong.\So I desperately latched onto the board.\Then, that dream came true and became reality.\I didn't have many things, so my move finished pretty quickly. response:	For some time after that, in a room without curtains or a TV,
context: I simply thought, That's how it is.\That's exactly why I wanted to become a professional.\I thought if I could support myself without any help,\that would become the place where I belong.\So I desperately latched onto the board.\Then, that dream came true and became reality.\I didn't have many things, so my move finished pretty quickly.\For some time after that, in a room without curtains or a TV, response:	it was like my battery had run out.
context: That's exactly why I wanted to become a professional.\I thought if I could support myself without any help,\that would become the place where I belong.\So I desperately latched onto the board.\Then, that dream came true and became reality.\I didn't have many things, so my move finished pretty quickly.\For some time after that, in a room without curtains or a TV,\it was like my battery had run out. response:	Other than matches and sometimes going to school,
context: I thought if I could support myself without any help,\that would become the place where I belong.\So I desperately latched onto the board.\Then, that dream came true and became reality.\I didn't have many things, so my move finished pretty quickly.\For some time after that, in a room without curtains or a TV,\it was like my battery had run out.\Other than matches and sometimes going to school, response:	I would spend the days sleeping it away.
context: that would become the place where I belong.\So I desperately latched onto the board.\Then, that dream came true and became reality.\I didn't have many things, so my move finished pretty quickly.\For some time after that, in a room without curtains or a TV,\it was like my battery had run out.\Other than matches and sometimes going to school,\I would spend the days sleeping it away. response:	For some reason, I would get so sleepy every day that I couldn't help it.
context: So I desperately latched onto the board.\Then, that dream came true and became reality.\I didn't have many things, so my move finished pretty quickly.\For some time after that, in a room without curtains or a TV,\it was like my battery had run out.\Other than matches and sometimes going to school,\I would spend the days sleeping it away.\For some reason, I would get so sleepy every day that I couldn't help it. response:	In my previous home, I helped out with the chores, so I continued it more or less,
context: Then, that dream came true and became reality.\I didn't have many things, so my move finished pretty quickly.\For some time after that, in a room without curtains or a TV,\it was like my battery had run out.\Other than matches and sometimes going to school,\I would spend the days sleeping it away.\For some reason, I would get so sleepy every day that I couldn't help it.\In my previous home, I helped out with the chores, so I continued it more or less, response:	but if you're doing it for yourself, it's just a hassle to even cook some rice...
context: I didn't have many things, so my move finished pretty quickly.\For some time after that, in a room without curtains or a TV,\it was like my battery had run out.\Other than matches and sometimes going to school,\I would spend the days sleeping it away.\For some reason, I would get so sleepy every day that I couldn't help it.\In my previous home, I helped out with the chores, so I continued it more or less,\but if you're doing it for yourself, it's just a hassle to even cook some rice... response:	The first year was fine.
context: For some time after that, in a room without curtains or a TV,\it was like my battery had run out.\Other than matches and sometimes going to school,\I would spend the days sleeping it away.\For some reason, I would get so sleepy every day that I couldn't help it.\In my previous home, I helped out with the chores, so I continued it more or less,\but if you're doing it for yourself, it's just a hassle to even cook some rice...\The first year was fine. response:	I moved forward with the money I saved until then.
context: it was like my battery had run out.\Other than matches and sometimes going to school,\I would spend the days sleeping it away.\For some reason, I would get so sleepy every day that I couldn't help it.\In my previous home, I helped out with the chores, so I continued it more or less,\but if you're doing it for yourself, it's just a hassle to even cook some rice...\The first year was fine.\I moved forward with the money I saved until then. response:	There are currently 30 people in Rank C-1.
context: Other than matches and sometimes going to school,\I would spend the days sleeping it away.\For some reason, I would get so sleepy every day that I couldn't help it.\In my previous home, I helped out with the chores, so I continued it more or less,\but if you're doing it for yourself, it's just a hassle to even cook some rice...\The first year was fine.\I moved forward with the money I saved until then.\There are currently 30 people in Rank C-1. response:	Each person faces off against ten opponents in the class.
context: I would spend the days sleeping it away.\For some reason, I would get so sleepy every day that I couldn't help it.\In my previous home, I helped out with the chores, so I continued it more or less,\but if you're doing it for yourself, it's just a hassle to even cook some rice...\The first year was fine.\I moved forward with the money I saved until then.\There are currently 30 people in Rank C-1.\Each person faces off against ten opponents in the class. response:	The two people with the most wins can advance to Rank B-2.
context: For some reason, I would get so sleepy every day that I couldn't help it.\In my previous home, I helped out with the chores, so I continued it more or less,\but if you're doing it for yourself, it's just a hassle to even cook some rice...\The first year was fine.\I moved forward with the money I saved until then.\There are currently 30 people in Rank C-1.\Each person faces off against ten opponents in the class.\The two people with the most wins can advance to Rank B-2. response:	Advancing requires all wins, or at least the closest to it.
context: In my previous home, I helped out with the chores, so I continued it more or less,\but if you're doing it for yourself, it's just a hassle to even cook some rice...\The first year was fine.\I moved forward with the money I saved until then.\There are currently 30 people in Rank C-1.\Each person faces off against ten opponents in the class.\The two people with the most wins can advance to Rank B-2.\Advancing requires all wins, or at least the closest to it. response:	But in my second year, this year...
context: but if you're doing it for yourself, it's just a hassle to even cook some rice...\The first year was fine.\I moved forward with the money I saved until then.\There are currently 30 people in Rank C-1.\Each person faces off against ten opponents in the class.\The two people with the most wins can advance to Rank B-2.\Advancing requires all wins, or at least the closest to it.\But in my second year, this year... response:	And while I sat dumbfounded...
context: The first year was fine.\I moved forward with the money I saved until then.\There are currently 30 people in Rank C-1.\Each person faces off against ten opponents in the class.\The two people with the most wins can advance to Rank B-2.\Advancing requires all wins, or at least the closest to it.\But in my second year, this year...\And while I sat dumbfounded... response:	I swam...
context: I moved forward with the money I saved until then.\There are currently 30 people in Rank C-1.\Each person faces off against ten opponents in the class.\The two people with the most wins can advance to Rank B-2.\Advancing requires all wins, or at least the closest to it.\But in my second year, this year...\And while I sat dumbfounded...\I swam... response:	I finally made it to the island.
context: There are currently 30 people in Rank C-1.\Each person faces off against ten opponents in the class.\The two people with the most wins can advance to Rank B-2.\Advancing requires all wins, or at least the closest to it.\But in my second year, this year...\And while I sat dumbfounded...\I swam...\I finally made it to the island. response:	If I come this far, I should be okay.
context: Each person faces off against ten opponents in the class.\The two people with the most wins can advance to Rank B-2.\Advancing requires all wins, or at least the closest to it.\But in my second year, this year...\And while I sat dumbfounded...\I swam...\I finally made it to the island.\If I come this far, I should be okay. response:	As long as I get here...
context: The two people with the most wins can advance to Rank B-2.\Advancing requires all wins, or at least the closest to it.\But in my second year, this year...\And while I sat dumbfounded...\I swam...\I finally made it to the island.\If I come this far, I should be okay.\As long as I get here... response:	As long as I could stay here...
context: Advancing requires all wins, or at least the closest to it.\But in my second year, this year...\And while I sat dumbfounded...\I swam...\I finally made it to the island.\If I come this far, I should be okay.\As long as I get here...\As long as I could stay here... response:	As long as I didn't wish for this or that...
context: But in my second year, this year...\And while I sat dumbfounded...\I swam...\I finally made it to the island.\If I come this far, I should be okay.\As long as I get here...\As long as I could stay here...\As long as I didn't wish for this or that... response:	As long as I accepted stagnation...
context: And while I sat dumbfounded...\I swam...\I finally made it to the island.\If I come this far, I should be okay.\As long as I get here...\As long as I could stay here...\As long as I didn't wish for this or that...\As long as I accepted stagnation... response:	As long as I stopped thinking...
context: I swam...\I finally made it to the island.\If I come this far, I should be okay.\As long as I get here...\As long as I could stay here...\As long as I didn't wish for this or that...\As long as I accepted stagnation...\As long as I stopped thinking... response:	And I didn't have a single reason anymore
