context: It's Misa-chan in glasses! response:	So nice
context: Chief. I'm sorry.\If something's bothering you, let me know.\Ask me anything.\Later.\I'm sorry.\Don't worry. I always trust you.\How about me?\Of course I trust you. response:	I trust you, Subaru-chan, Erika-chan, Gon-chan, and Sayu-chan, too.
context: If something's bothering you, let me know.\Ask me anything.\Later.\I'm sorry.\Don't worry. I always trust you.\How about me?\Of course I trust you.\I trust you, Subaru-chan, Erika-chan, Gon-chan, and Sayu-chan, too. response:	That's why you're so vulnerable, Chief.
context: Ask me anything.\Later.\I'm sorry.\Don't worry. I always trust you.\How about me?\Of course I trust you.\I trust you, Subaru-chan, Erika-chan, Gon-chan, and Sayu-chan, too.\That's why you're so vulnerable, Chief. response:	Honoka-chan, you have a black aura coming out.
context: Later.\I'm sorry.\Don't worry. I always trust you.\How about me?\Of course I trust you.\I trust you, Subaru-chan, Erika-chan, Gon-chan, and Sayu-chan, too.\That's why you're so vulnerable, Chief.\Honoka-chan, you have a black aura coming out. response:	But I do yell at slacking people.
context: I'm sorry.\Don't worry. I always trust you.\How about me?\Of course I trust you.\I trust you, Subaru-chan, Erika-chan, Gon-chan, and Sayu-chan, too.\That's why you're so vulnerable, Chief.\Honoka-chan, you have a black aura coming out.\But I do yell at slacking people. response:	Oh no! Back to working on the floor, then!
context: Don't worry. I always trust you.\How about me?\Of course I trust you.\I trust you, Subaru-chan, Erika-chan, Gon-chan, and Sayu-chan, too.\That's why you're so vulnerable, Chief.\Honoka-chan, you have a black aura coming out.\But I do yell at slacking people.\Oh no! Back to working on the floor, then! response:	You're done for the day, aren't you?
context: How about me?\Of course I trust you.\I trust you, Subaru-chan, Erika-chan, Gon-chan, and Sayu-chan, too.\That's why you're so vulnerable, Chief.\Honoka-chan, you have a black aura coming out.\But I do yell at slacking people.\Oh no! Back to working on the floor, then!\You're done for the day, aren't you? response:	Good work.
context: Of course I trust you.\I trust you, Subaru-chan, Erika-chan, Gon-chan, and Sayu-chan, too.\That's why you're so vulnerable, Chief.\Honoka-chan, you have a black aura coming out.\But I do yell at slacking people.\Oh no! Back to working on the floor, then!\You're done for the day, aren't you?\Good work. response:	Excuse me then.
context: I trust you, Subaru-chan, Erika-chan, Gon-chan, and Sayu-chan, too.\That's why you're so vulnerable, Chief.\Honoka-chan, you have a black aura coming out.\But I do yell at slacking people.\Oh no! Back to working on the floor, then!\You're done for the day, aren't you?\Good work.\Excuse me then. response:	What to do...
context: That's why you're so vulnerable, Chief.\Honoka-chan, you have a black aura coming out.\But I do yell at slacking people.\Oh no! Back to working on the floor, then!\You're done for the day, aren't you?\Good work.\Excuse me then.\What to do... response:	You look like you're having fun.
context: Honoka-chan, you have a black aura coming out.\But I do yell at slacking people.\Oh no! Back to working on the floor, then!\You're done for the day, aren't you?\Good work.\Excuse me then.\What to do...\You look like you're having fun. response:	Usui! You're out of the hospital already?
context: But I do yell at slacking people.\Oh no! Back to working on the floor, then!\You're done for the day, aren't you?\Good work.\Excuse me then.\What to do...\You look like you're having fun.\Usui! You're out of the hospital already? response:	Pretty much what you'd expect, right?
context: Oh no! Back to working on the floor, then!\You're done for the day, aren't you?\Good work.\Excuse me then.\What to do...\You look like you're having fun.\Usui! You're out of the hospital already?\Pretty much what you'd expect, right? response:	What are you talking about?! You're still wrapped in bandages!
context: You're done for the day, aren't you?\Good work.\Excuse me then.\What to do...\You look like you're having fun.\Usui! You're out of the hospital already?\Pretty much what you'd expect, right?\What are you talking about?! You're still wrapped in bandages! response:	So you're worried about me?
context: Good work.\Excuse me then.\What to do...\You look like you're having fun.\Usui! You're out of the hospital already?\Pretty much what you'd expect, right?\What are you talking about?! You're still wrapped in bandages!\So you're worried about me? response:	Don't come in without permission!
context: Excuse me then.\What to do...\You look like you're having fun.\Usui! You're out of the hospital already?\Pretty much what you'd expect, right?\What are you talking about?! You're still wrapped in bandages!\So you're worried about me?\Don't come in without permission! response:	Well, I couldn't wait to see Misa-chan at Maid Latte.
context: What to do...\You look like you're having fun.\Usui! You're out of the hospital already?\Pretty much what you'd expect, right?\What are you talking about?! You're still wrapped in bandages!\So you're worried about me?\Don't come in without permission!\Well, I couldn't wait to see Misa-chan at Maid Latte. response:	Quit it!
context: You look like you're having fun.\Usui! You're out of the hospital already?\Pretty much what you'd expect, right?\What are you talking about?! You're still wrapped in bandages!\So you're worried about me?\Don't come in without permission!\Well, I couldn't wait to see Misa-chan at Maid Latte.\Quit it! response:	Because I love you, Ayuzawa.
context: Usui! You're out of the hospital already?\Pretty much what you'd expect, right?\What are you talking about?! You're still wrapped in bandages!\So you're worried about me?\Don't come in without permission!\Well, I couldn't wait to see Misa-chan at Maid Latte.\Quit it!\Because I love you, Ayuzawa. response:	Sakura?
context: Pretty much what you'd expect, right?\What are you talking about?! You're still wrapped in bandages!\So you're worried about me?\Don't come in without permission!\Well, I couldn't wait to see Misa-chan at Maid Latte.\Quit it!\Because I love you, Ayuzawa.\Sakura? response:	Misaki! Over here!
context: What are you talking about?! You're still wrapped in bandages!\So you're worried about me?\Don't come in without permission!\Well, I couldn't wait to see Misa-chan at Maid Latte.\Quit it!\Because I love you, Ayuzawa.\Sakura?\Misaki! Over here! response:	Who are they fighting against?
context: So you're worried about me?\Don't come in without permission!\Well, I couldn't wait to see Misa-chan at Maid Latte.\Quit it!\Because I love you, Ayuzawa.\Sakura?\Misaki! Over here!\Who are they fighting against? response:	Against students from Miyabigaoka.
context: Don't come in without permission!\Well, I couldn't wait to see Misa-chan at Maid Latte.\Quit it!\Because I love you, Ayuzawa.\Sakura?\Misaki! Over here!\Who are they fighting against?\Against students from Miyabigaoka. response:	It's the celebrity school where all the rich boys and girls go.
context: Well, I couldn't wait to see Misa-chan at Maid Latte.\Quit it!\Because I love you, Ayuzawa.\Sakura?\Misaki! Over here!\Who are they fighting against?\Against students from Miyabigaoka.\It's the celebrity school where all the rich boys and girls go. response:	It has the kind of people we try our best not to associate with.
context: Quit it!\Because I love you, Ayuzawa.\Sakura?\Misaki! Over here!\Who are they fighting against?\Against students from Miyabigaoka.\It's the celebrity school where all the rich boys and girls go.\It has the kind of people we try our best not to associate with. response:	Oh, brother.
context: Because I love you, Ayuzawa.\Sakura?\Misaki! Over here!\Who are they fighting against?\Against students from Miyabigaoka.\It's the celebrity school where all the rich boys and girls go.\It has the kind of people we try our best not to associate with.\Oh, brother. response:	Excuse me. Please let me through.
context: Sakura?\Misaki! Over here!\Who are they fighting against?\Against students from Miyabigaoka.\It's the celebrity school where all the rich boys and girls go.\It has the kind of people we try our best not to associate with.\Oh, brother.\Excuse me. Please let me through. response:	You guys! What kind of ruckus are you making in the middle of the street?!
context: Misaki! Over here!\Who are they fighting against?\Against students from Miyabigaoka.\It's the celebrity school where all the rich boys and girls go.\It has the kind of people we try our best not to associate with.\Oh, brother.\Excuse me. Please let me through.\You guys! What kind of ruckus are you making in the middle of the street?! response:	Why is the Prez here?
context: Who are they fighting against?\Against students from Miyabigaoka.\It's the celebrity school where all the rich boys and girls go.\It has the kind of people we try our best not to associate with.\Oh, brother.\Excuse me. Please let me through.\You guys! What kind of ruckus are you making in the middle of the street?!\Why is the Prez here? response:	How should I know?
context: Against students from Miyabigaoka.\It's the celebrity school where all the rich boys and girls go.\It has the kind of people we try our best not to associate with.\Oh, brother.\Excuse me. Please let me through.\You guys! What kind of ruckus are you making in the middle of the street?!\Why is the Prez here?\How should I know? response:	You are?
context: It's the celebrity school where all the rich boys and girls go.\It has the kind of people we try our best not to associate with.\Oh, brother.\Excuse me. Please let me through.\You guys! What kind of ruckus are you making in the middle of the street?!\Why is the Prez here?\How should I know?\You are? response:	I'm the Student Council President of Seika High School, Ayuzawa Misaki.
context: It has the kind of people we try our best not to associate with.\Oh, brother.\Excuse me. Please let me through.\You guys! What kind of ruckus are you making in the middle of the street?!\Why is the Prez here?\How should I know?\You are?\I'm the Student Council President of Seika High School, Ayuzawa Misaki. response:	Did our students do something?
context: Oh, brother.\Excuse me. Please let me through.\You guys! What kind of ruckus are you making in the middle of the street?!\Why is the Prez here?\How should I know?\You are?\I'm the Student Council President of Seika High School, Ayuzawa Misaki.\Did our students do something? response:	One of your students punched me.
context: Excuse me. Please let me through.\You guys! What kind of ruckus are you making in the middle of the street?!\Why is the Prez here?\How should I know?\You are?\I'm the Student Council President of Seika High School, Ayuzawa Misaki.\Did our students do something?\One of your students punched me. response:	Is that true?!
context: You guys! What kind of ruckus are you making in the middle of the street?!\Why is the Prez here?\How should I know?\You are?\I'm the Student Council President of Seika High School, Ayuzawa Misaki.\Did our students do something?\One of your students punched me.\Is that true?! response:	I had heard that Seika High School is a savage place, and it would seem that the rumor is true.
context: Why is the Prez here?\How should I know?\You are?\I'm the Student Council President of Seika High School, Ayuzawa Misaki.\Did our students do something?\One of your students punched me.\Is that true?!\I had heard that Seika High School is a savage place, and it would seem that the rumor is true. response:	I need to think about what sort of apology this will require.
context: How should I know?\You are?\I'm the Student Council President of Seika High School, Ayuzawa Misaki.\Did our students do something?\One of your students punched me.\Is that true?!\I had heard that Seika High School is a savage place, and it would seem that the rumor is true.\I need to think about what sort of apology this will require. response:	Shut your trap!
context: You are?\I'm the Student Council President of Seika High School, Ayuzawa Misaki.\Did our students do something?\One of your students punched me.\Is that true?!\I had heard that Seika High School is a savage place, and it would seem that the rumor is true.\I need to think about what sort of apology this will require.\Shut your trap! response:	Why should we apologize to you?
context: I'm the Student Council President of Seika High School, Ayuzawa Misaki.\Did our students do something?\One of your students punched me.\Is that true?!\I had heard that Seika High School is a savage place, and it would seem that the rumor is true.\I need to think about what sort of apology this will require.\Shut your trap!\Why should we apologize to you? response:	You guys...
context: Did our students do something?\One of your students punched me.\Is that true?!\I had heard that Seika High School is a savage place, and it would seem that the rumor is true.\I need to think about what sort of apology this will require.\Shut your trap!\Why should we apologize to you?\You guys... response:	Apologize!
context: One of your students punched me.\Is that true?!\I had heard that Seika High School is a savage place, and it would seem that the rumor is true.\I need to think about what sort of apology this will require.\Shut your trap!\Why should we apologize to you?\You guys...\Apologize! response:	What was that for?
context: Is that true?!\I had heard that Seika High School is a savage place, and it would seem that the rumor is true.\I need to think about what sort of apology this will require.\Shut your trap!\Why should we apologize to you?\You guys...\Apologize!\What was that for? response:	I'm telling you to apologize for hitting him!
context: I had heard that Seika High School is a savage place, and it would seem that the rumor is true.\I need to think about what sort of apology this will require.\Shut your trap!\Why should we apologize to you?\You guys...\Apologize!\What was that for?\I'm telling you to apologize for hitting him! response:	I don't get it!
context: I need to think about what sort of apology this will require.\Shut your trap!\Why should we apologize to you?\You guys...\Apologize!\What was that for?\I'm telling you to apologize for hitting him!\I don't get it! response:	You're the one that punched us!
context: Shut your trap!\Why should we apologize to you?\You guys...\Apologize!\What was that for?\I'm telling you to apologize for hitting him!\I don't get it!\You're the one that punched us! response:	Shut up! Think of the trouble you're causing for everyone here!
context: Why should we apologize to you?\You guys...\Apologize!\What was that for?\I'm telling you to apologize for hitting him!\I don't get it!\You're the one that punched us!\Shut up! Think of the trouble you're causing for everyone here! response:	Only idiots hit other people out of anger.
context: You guys...\Apologize!\What was that for?\I'm telling you to apologize for hitting him!\I don't get it!\You're the one that punched us!\Shut up! Think of the trouble you're causing for everyone here!\Only idiots hit other people out of anger. response:	Looks like it's not worth talking to them right now.
context: Apologize!\What was that for?\I'm telling you to apologize for hitting him!\I don't get it!\You're the one that punched us!\Shut up! Think of the trouble you're causing for everyone here!\Only idiots hit other people out of anger.\Looks like it's not worth talking to them right now. response:	We'll be waiting for you at Miyabigaoka anytime.
context: What was that for?\I'm telling you to apologize for hitting him!\I don't get it!\You're the one that punched us!\Shut up! Think of the trouble you're causing for everyone here!\Only idiots hit other people out of anger.\Looks like it's not worth talking to them right now.\We'll be waiting for you at Miyabigaoka anytime. response:	If you do not have any intention of apologizing, then I will bring this issue to the administration.
context: I'm telling you to apologize for hitting him!\I don't get it!\You're the one that punched us!\Shut up! Think of the trouble you're causing for everyone here!\Only idiots hit other people out of anger.\Looks like it's not worth talking to them right now.\We'll be waiting for you at Miyabigaoka anytime.\If you do not have any intention of apologizing, then I will bring this issue to the administration. response:	Say what you want.
context: I don't get it!\You're the one that punched us!\Shut up! Think of the trouble you're causing for everyone here!\Only idiots hit other people out of anger.\Looks like it's not worth talking to them right now.\We'll be waiting for you at Miyabigaoka anytime.\If you do not have any intention of apologizing, then I will bring this issue to the administration.\Say what you want. response:	Let's go.
context: You're the one that punched us!\Shut up! Think of the trouble you're causing for everyone here!\Only idiots hit other people out of anger.\Looks like it's not worth talking to them right now.\We'll be waiting for you at Miyabigaoka anytime.\If you do not have any intention of apologizing, then I will bring this issue to the administration.\Say what you want.\Let's go. response:	Hey, you guys.
context: Shut up! Think of the trouble you're causing for everyone here!\Only idiots hit other people out of anger.\Looks like it's not worth talking to them right now.\We'll be waiting for you at Miyabigaoka anytime.\If you do not have any intention of apologizing, then I will bring this issue to the administration.\Say what you want.\Let's go.\Hey, you guys. response:	Misaki.
context: Only idiots hit other people out of anger.\Looks like it's not worth talking to them right now.\We'll be waiting for you at Miyabigaoka anytime.\If you do not have any intention of apologizing, then I will bring this issue to the administration.\Say what you want.\Let's go.\Hey, you guys.\Misaki. response:	What are you going to do if this case turns out to be a big problem?
context: Looks like it's not worth talking to them right now.\We'll be waiting for you at Miyabigaoka anytime.\If you do not have any intention of apologizing, then I will bring this issue to the administration.\Say what you want.\Let's go.\Hey, you guys.\Misaki.\What are you going to do if this case turns out to be a big problem? response:	And right when Seika's image is starting to get better, too...
context: We'll be waiting for you at Miyabigaoka anytime.\If you do not have any intention of apologizing, then I will bring this issue to the administration.\Say what you want.\Let's go.\Hey, you guys.\Misaki.\What are you going to do if this case turns out to be a big problem?\And right when Seika's image is starting to get better, too... response:	Your hard work will go to waste.
context: If you do not have any intention of apologizing, then I will bring this issue to the administration.\Say what you want.\Let's go.\Hey, you guys.\Misaki.\What are you going to do if this case turns out to be a big problem?\And right when Seika's image is starting to get better, too...\Your hard work will go to waste. response:	Don't worry.
context: Say what you want.\Let's go.\Hey, you guys.\Misaki.\What are you going to do if this case turns out to be a big problem?\And right when Seika's image is starting to get better, too...\Your hard work will go to waste.\Don't worry. response:	I'll figure it out.
context: Let's go.\Hey, you guys.\Misaki.\What are you going to do if this case turns out to be a big problem?\And right when Seika's image is starting to get better, too...\Your hard work will go to waste.\Don't worry.\I'll figure it out. response:	That's what I said, but I can't imagine them obediently apologizing.
context: Hey, you guys.\Misaki.\What are you going to do if this case turns out to be a big problem?\And right when Seika's image is starting to get better, too...\Your hard work will go to waste.\Don't worry.\I'll figure it out.\That's what I said, but I can't imagine them obediently apologizing. response:	I heard about Miyabigaoka.
context: Misaki.\What are you going to do if this case turns out to be a big problem?\And right when Seika's image is starting to get better, too...\Your hard work will go to waste.\Don't worry.\I'll figure it out.\That's what I said, but I can't imagine them obediently apologizing.\I heard about Miyabigaoka. response:	What was that?
context: What are you going to do if this case turns out to be a big problem?\And right when Seika's image is starting to get better, too...\Your hard work will go to waste.\Don't worry.\I'll figure it out.\That's what I said, but I can't imagine them obediently apologizing.\I heard about Miyabigaoka.\What was that? response:	Are you all right, Prez?
context: And right when Seika's image is starting to get better, too...\Your hard work will go to waste.\Don't worry.\I'll figure it out.\That's what I said, but I can't imagine them obediently apologizing.\I heard about Miyabigaoka.\What was that?\Are you all right, Prez? response:	It's nothing.
context: Your hard work will go to waste.\Don't worry.\I'll figure it out.\That's what I said, but I can't imagine them obediently apologizing.\I heard about Miyabigaoka.\What was that?\Are you all right, Prez?\It's nothing. response:	What's wrong, Ayuzawa?
context: Don't worry.\I'll figure it out.\That's what I said, but I can't imagine them obediently apologizing.\I heard about Miyabigaoka.\What was that?\Are you all right, Prez?\It's nothing.\What's wrong, Ayuzawa? response:	I don't have the time to be thinking about unnecessary things.
context: I'll figure it out.\That's what I said, but I can't imagine them obediently apologizing.\I heard about Miyabigaoka.\What was that?\Are you all right, Prez?\It's nothing.\What's wrong, Ayuzawa?\I don't have the time to be thinking about unnecessary things. response:	I'm sorry, could someone help me with these?
context: That's what I said, but I can't imagine them obediently apologizing.\I heard about Miyabigaoka.\What was that?\Are you all right, Prez?\It's nothing.\What's wrong, Ayuzawa?\I don't have the time to be thinking about unnecessary things.\I'm sorry, could someone help me with these? response:	Usui-san?
context: I heard about Miyabigaoka.\What was that?\Are you all right, Prez?\It's nothing.\What's wrong, Ayuzawa?\I don't have the time to be thinking about unnecessary things.\I'm sorry, could someone help me with these?\Usui-san? response:	Thank you very much.
context: What was that?\Are you all right, Prez?\It's nothing.\What's wrong, Ayuzawa?\I don't have the time to be thinking about unnecessary things.\I'm sorry, could someone help me with these?\Usui-san?\Thank you very much. response:	Not a problem.
context: Are you all right, Prez?\It's nothing.\What's wrong, Ayuzawa?\I don't have the time to be thinking about unnecessary things.\I'm sorry, could someone help me with these?\Usui-san?\Thank you very much.\Not a problem. response:	Your gratitude will be-
context: It's nothing.\What's wrong, Ayuzawa?\I don't have the time to be thinking about unnecessary things.\I'm sorry, could someone help me with these?\Usui-san?\Thank you very much.\Not a problem.\Your gratitude will be- response:	-repaid with this.
context: What's wrong, Ayuzawa?\I don't have the time to be thinking about unnecessary things.\I'm sorry, could someone help me with these?\Usui-san?\Thank you very much.\Not a problem.\Your gratitude will be-\-repaid with this. response:	Yukimura!
context: I don't have the time to be thinking about unnecessary things.\I'm sorry, could someone help me with these?\Usui-san?\Thank you very much.\Not a problem.\Your gratitude will be-\-repaid with this.\Yukimura! response:	Come back to us!
context: I'm sorry, could someone help me with these?\Usui-san?\Thank you very much.\Not a problem.\Your gratitude will be-\-repaid with this.\Yukimura!\Come back to us! response:	Yukimura!
context: Usui-san?\Thank you very much.\Not a problem.\Your gratitude will be-\-repaid with this.\Yukimura!\Come back to us!\Yukimura! response:	I see. So he's...
context: Thank you very much.\Not a problem.\Your gratitude will be-\-repaid with this.\Yukimura!\Come back to us!\Yukimura!\I see. So he's... response:	Just a sexual harassment jerk!!
context: Not a problem.\Your gratitude will be-\-repaid with this.\Yukimura!\Come back to us!\Yukimura!\I see. So he's...\Just a sexual harassment jerk!! response:	He got me all confused, but he's like that to everyone!
context: Your gratitude will be-\-repaid with this.\Yukimura!\Come back to us!\Yukimura!\I see. So he's...\Just a sexual harassment jerk!!\He got me all confused, but he's like that to everyone! response:	Yup. Finding that out makes me feel much better!
context: -repaid with this.\Yukimura!\Come back to us!\Yukimura!\I see. So he's...\Just a sexual harassment jerk!!\He got me all confused, but he's like that to everyone!\Yup. Finding that out makes me feel much better! response:	I can't follow what's going on.
context: Yukimura!\Come back to us!\Yukimura!\I see. So he's...\Just a sexual harassment jerk!!\He got me all confused, but he's like that to everyone!\Yup. Finding that out makes me feel much better!\I can't follow what's going on. response:	Don't worry. Something is completely messed up right now.
context: Come back to us!\Yukimura!\I see. So he's...\Just a sexual harassment jerk!!\He got me all confused, but he's like that to everyone!\Yup. Finding that out makes me feel much better!\I can't follow what's going on.\Don't worry. Something is completely messed up right now. response:	He's definitely some kind of perverted alien!
context: Yukimura!\I see. So he's...\Just a sexual harassment jerk!!\He got me all confused, but he's like that to everyone!\Yup. Finding that out makes me feel much better!\I can't follow what's going on.\Don't worry. Something is completely messed up right now.\He's definitely some kind of perverted alien! response:	Seriously, what is wrong with you?
context: I see. So he's...\Just a sexual harassment jerk!!\He got me all confused, but he's like that to everyone!\Yup. Finding that out makes me feel much better!\I can't follow what's going on.\Don't worry. Something is completely messed up right now.\He's definitely some kind of perverted alien!\Seriously, what is wrong with you? response:	I'm coming with you since it sounds fun.
context: Just a sexual harassment jerk!!\He got me all confused, but he's like that to everyone!\Yup. Finding that out makes me feel much better!\I can't follow what's going on.\Don't worry. Something is completely messed up right now.\He's definitely some kind of perverted alien!\Seriously, what is wrong with you?\I'm coming with you since it sounds fun. response:	I haven't ridden a bus in a while.
context: He got me all confused, but he's like that to everyone!\Yup. Finding that out makes me feel much better!\I can't follow what's going on.\Don't worry. Something is completely messed up right now.\He's definitely some kind of perverted alien!\Seriously, what is wrong with you?\I'm coming with you since it sounds fun.\I haven't ridden a bus in a while. response:	Why is Usui-san here, too?
context: Yup. Finding that out makes me feel much better!\I can't follow what's going on.\Don't worry. Something is completely messed up right now.\He's definitely some kind of perverted alien!\Seriously, what is wrong with you?\I'm coming with you since it sounds fun.\I haven't ridden a bus in a while.\Why is Usui-san here, too? response:	More like, why do we have to apologize to them?
context: I can't follow what's going on.\Don't worry. Something is completely messed up right now.\He's definitely some kind of perverted alien!\Seriously, what is wrong with you?\I'm coming with you since it sounds fun.\I haven't ridden a bus in a while.\Why is Usui-san here, too?\More like, why do we have to apologize to them? response:	Like I said, if you're so against apologizing, then tell me what caused the fight.
context: Don't worry. Something is completely messed up right now.\He's definitely some kind of perverted alien!\Seriously, what is wrong with you?\I'm coming with you since it sounds fun.\I haven't ridden a bus in a while.\Why is Usui-san here, too?\More like, why do we have to apologize to them?\Like I said, if you're so against apologizing, then tell me what caused the fight. response:	Fine.
context: He's definitely some kind of perverted alien!\Seriously, what is wrong with you?\I'm coming with you since it sounds fun.\I haven't ridden a bus in a while.\Why is Usui-san here, too?\More like, why do we have to apologize to them?\Like I said, if you're so against apologizing, then tell me what caused the fight.\Fine. response:	That day, we were-
context: Seriously, what is wrong with you?\I'm coming with you since it sounds fun.\I haven't ridden a bus in a while.\Why is Usui-san here, too?\More like, why do we have to apologize to them?\Like I said, if you're so against apologizing, then tell me what caused the fight.\Fine.\That day, we were- response:	Chess, eh?
context: I'm coming with you since it sounds fun.\I haven't ridden a bus in a while.\Why is Usui-san here, too?\More like, why do we have to apologize to them?\Like I said, if you're so against apologizing, then tell me what caused the fight.\Fine.\That day, we were-\Chess, eh? response:	I bet it'd be cool to be able to play it.
context: I haven't ridden a bus in a while.\Why is Usui-san here, too?\More like, why do we have to apologize to them?\Like I said, if you're so against apologizing, then tell me what caused the fight.\Fine.\That day, we were-\Chess, eh?\I bet it'd be cool to be able to play it. response:	Wow, look at the price!
context: Why is Usui-san here, too?\More like, why do we have to apologize to them?\Like I said, if you're so against apologizing, then tell me what caused the fight.\Fine.\That day, we were-\Chess, eh?\I bet it'd be cool to be able to play it.\Wow, look at the price! response:	Heck, you're even bad at Othello.
context: More like, why do we have to apologize to them?\Like I said, if you're so against apologizing, then tell me what caused the fight.\Fine.\That day, we were-\Chess, eh?\I bet it'd be cool to be able to play it.\Wow, look at the price!\Heck, you're even bad at Othello. response:	This is rare.
context: Like I said, if you're so against apologizing, then tell me what caused the fight.\Fine.\That day, we were-\Chess, eh?\I bet it'd be cool to be able to play it.\Wow, look at the price!\Heck, you're even bad at Othello.\This is rare. response:	It's students from Seika.
context: Fine.\That day, we were-\Chess, eh?\I bet it'd be cool to be able to play it.\Wow, look at the price!\Heck, you're even bad at Othello.\This is rare.\It's students from Seika. response:	That store belongs to my family.
context: That day, we were-\Chess, eh?\I bet it'd be cool to be able to play it.\Wow, look at the price!\Heck, you're even bad at Othello.\This is rare.\It's students from Seika.\That store belongs to my family. response:	It's no place for filth like you.
context: Chess, eh?\I bet it'd be cool to be able to play it.\Wow, look at the price!\Heck, you're even bad at Othello.\This is rare.\It's students from Seika.\That store belongs to my family.\It's no place for filth like you. response:	Buzz off, flies.
context: I bet it'd be cool to be able to play it.\Wow, look at the price!\Heck, you're even bad at Othello.\This is rare.\It's students from Seika.\That store belongs to my family.\It's no place for filth like you.\Buzz off, flies. response:	He goes and says something like that.
context: Wow, look at the price!\Heck, you're even bad at Othello.\This is rare.\It's students from Seika.\That store belongs to my family.\It's no place for filth like you.\Buzz off, flies.\He goes and says something like that. response:	How could we apologize to him?
context: Heck, you're even bad at Othello.\This is rare.\It's students from Seika.\That store belongs to my family.\It's no place for filth like you.\Buzz off, flies.\He goes and says something like that.\How could we apologize to him? response:	But, you're telling us to apologize anyways.
context: This is rare.\It's students from Seika.\That store belongs to my family.\It's no place for filth like you.\Buzz off, flies.\He goes and says something like that.\How could we apologize to him?\But, you're telling us to apologize anyways. response:	So much for being honest.
context: It's students from Seika.\That store belongs to my family.\It's no place for filth like you.\Buzz off, flies.\He goes and says something like that.\How could we apologize to him?\But, you're telling us to apologize anyways.\So much for being honest. response:	Miyabigaoka's building is stuck-up no matter how many times I see it.
context: That store belongs to my family.\It's no place for filth like you.\Buzz off, flies.\He goes and says something like that.\How could we apologize to him?\But, you're telling us to apologize anyways.\So much for being honest.\Miyabigaoka's building is stuck-up no matter how many times I see it. response:	So you're finally here, Seika High School.
context: It's no place for filth like you.\Buzz off, flies.\He goes and says something like that.\How could we apologize to him?\But, you're telling us to apologize anyways.\So much for being honest.\Miyabigaoka's building is stuck-up no matter how many times I see it.\So you're finally here, Seika High School. response:	I see an extra face here.
