context: I'm Kurihara Osamu, a first-year in high school. response:	The candle we both lit in our hearts on a holy night
context: It's too fast!\Huh?\Then when is it okay for you, Takeo?\The autumn of my third year in high school!\Why autumn?\My Birthday\Okay, I'm off to a date with Nanako.\Hey, you do well by her. response:	Of course!
context: Huh?\Then when is it okay for you, Takeo?\The autumn of my third year in high school!\Why autumn?\My Birthday\Okay, I'm off to a date with Nanako.\Hey, you do well by her.\Of course! response:	He's so easygoing...
context: Then when is it okay for you, Takeo?\The autumn of my third year in high school!\Why autumn?\My Birthday\Okay, I'm off to a date with Nanako.\Hey, you do well by her.\Of course!\He's so easygoing... response:	Why is it the autumn of your third year?
context: The autumn of my third year in high school!\Why autumn?\My Birthday\Okay, I'm off to a date with Nanako.\Hey, you do well by her.\Of course!\He's so easygoing...\Why is it the autumn of your third year? response:	Spring would be too fast.
context: Why autumn?\My Birthday\Okay, I'm off to a date with Nanako.\Hey, you do well by her.\Of course!\He's so easygoing...\Why is it the autumn of your third year?\Spring would be too fast. response:	And I thought winter would be too slow.
context: My Birthday\Okay, I'm off to a date with Nanako.\Hey, you do well by her.\Of course!\He's so easygoing...\Why is it the autumn of your third year?\Spring would be too fast.\And I thought winter would be too slow. response:	Hmm...
context: Okay, I'm off to a date with Nanako.\Hey, you do well by her.\Of course!\He's so easygoing...\Why is it the autumn of your third year?\Spring would be too fast.\And I thought winter would be too slow.\Hmm... response:	A kiss...
context: Hey, you do well by her.\Of course!\He's so easygoing...\Why is it the autumn of your third year?\Spring would be too fast.\And I thought winter would be too slow.\Hmm...\A kiss... response:	That's so far beyond holding hands.
context: Of course!\He's so easygoing...\Why is it the autumn of your third year?\Spring would be too fast.\And I thought winter would be too slow.\Hmm...\A kiss...\That's so far beyond holding hands. response:	Good thing you don't have cavities.
context: He's so easygoing...\Why is it the autumn of your third year?\Spring would be too fast.\And I thought winter would be too slow.\Hmm...\A kiss...\That's so far beyond holding hands.\Good thing you don't have cavities. response:	It's mouth to mouth.
context: Why is it the autumn of your third year?\Spring would be too fast.\And I thought winter would be too slow.\Hmm...\A kiss...\That's so far beyond holding hands.\Good thing you don't have cavities.\It's mouth to mouth. response:	It's a big deal.
context: Spring would be too fast.\And I thought winter would be too slow.\Hmm...\A kiss...\That's so far beyond holding hands.\Good thing you don't have cavities.\It's mouth to mouth.\It's a big deal. response:	I bet it's an even bigger deal for girls than for me.
context: And I thought winter would be too slow.\Hmm...\A kiss...\That's so far beyond holding hands.\Good thing you don't have cavities.\It's mouth to mouth.\It's a big deal.\I bet it's an even bigger deal for girls than for me. response:	When the time comes,
context: Hmm...\A kiss...\That's so far beyond holding hands.\Good thing you don't have cavities.\It's mouth to mouth.\It's a big deal.\I bet it's an even bigger deal for girls than for me.\When the time comes, response:	I hope I can make it a good experience.
context: A kiss...\That's so far beyond holding hands.\Good thing you don't have cavities.\It's mouth to mouth.\It's a big deal.\I bet it's an even bigger deal for girls than for me.\When the time comes,\I hope I can make it a good experience. response:	Takeo-kun, your birthday's in three days.
context: That's so far beyond holding hands.\Good thing you don't have cavities.\It's mouth to mouth.\It's a big deal.\I bet it's an even bigger deal for girls than for me.\When the time comes,\I hope I can make it a good experience.\Takeo-kun, your birthday's in three days. response:	Oh, but maybe you'll be spending it with your family because it's New Year's Day.
context: Good thing you don't have cavities.\It's mouth to mouth.\It's a big deal.\I bet it's an even bigger deal for girls than for me.\When the time comes,\I hope I can make it a good experience.\Takeo-kun, your birthday's in three days.\Oh, but maybe you'll be spending it with your family because it's New Year's Day. response:	No, it's fine.
context: It's mouth to mouth.\It's a big deal.\I bet it's an even bigger deal for girls than for me.\When the time comes,\I hope I can make it a good experience.\Takeo-kun, your birthday's in three days.\Oh, but maybe you'll be spending it with your family because it's New Year's Day.\No, it's fine. response:	Really?
context: It's a big deal.\I bet it's an even bigger deal for girls than for me.\When the time comes,\I hope I can make it a good experience.\Takeo-kun, your birthday's in three days.\Oh, but maybe you'll be spending it with your family because it's New Year's Day.\No, it's fine.\Really? response:	Then I can see you?
context: I bet it's an even bigger deal for girls than for me.\When the time comes,\I hope I can make it a good experience.\Takeo-kun, your birthday's in three days.\Oh, but maybe you'll be spending it with your family because it's New Year's Day.\No, it's fine.\Really?\Then I can see you? response:	Sure.
context: When the time comes,\I hope I can make it a good experience.\Takeo-kun, your birthday's in three days.\Oh, but maybe you'll be spending it with your family because it's New Year's Day.\No, it's fine.\Really?\Then I can see you?\Sure. response:	Want to do the holiday shrine visit together?
context: I hope I can make it a good experience.\Takeo-kun, your birthday's in three days.\Oh, but maybe you'll be spending it with your family because it's New Year's Day.\No, it's fine.\Really?\Then I can see you?\Sure.\Want to do the holiday shrine visit together? response:	Okay!
context: Takeo-kun, your birthday's in three days.\Oh, but maybe you'll be spending it with your family because it's New Year's Day.\No, it's fine.\Really?\Then I can see you?\Sure.\Want to do the holiday shrine visit together?\Okay! response:	Takeo-kun?
context: Oh, but maybe you'll be spending it with your family because it's New Year's Day.\No, it's fine.\Really?\Then I can see you?\Sure.\Want to do the holiday shrine visit together?\Okay!\Takeo-kun? response:	I can't, not yet!
context: No, it's fine.\Really?\Then I can see you?\Sure.\Want to do the holiday shrine visit together?\Okay!\Takeo-kun?\I can't, not yet! response:	Right, this year, I'll be spending my birthday with Yamato...
context: Really?\Then I can see you?\Sure.\Want to do the holiday shrine visit together?\Okay!\Takeo-kun?\I can't, not yet!\Right, this year, I'll be spending my birthday with Yamato... response:	Sunakawa
context: Then I can see you?\Sure.\Want to do the holiday shrine visit together?\Okay!\Takeo-kun?\I can't, not yet!\Right, this year, I'll be spending my birthday with Yamato...\Sunakawa response:	Thanks.
context: Sure.\Want to do the holiday shrine visit together?\Okay!\Takeo-kun?\I can't, not yet!\Right, this year, I'll be spending my birthday with Yamato...\Sunakawa\Thanks. response:	Yeah, just now.
context: Want to do the holiday shrine visit together?\Okay!\Takeo-kun?\I can't, not yet!\Right, this year, I'll be spending my birthday with Yamato...\Sunakawa\Thanks.\Yeah, just now. response:	Bullet train was supper crowded.
context: Okay!\Takeo-kun?\I can't, not yet!\Right, this year, I'll be spending my birthday with Yamato...\Sunakawa\Thanks.\Yeah, just now.\Bullet train was supper crowded. response:	Home's where the heart is.
context: Takeo-kun?\I can't, not yet!\Right, this year, I'll be spending my birthday with Yamato...\Sunakawa\Thanks.\Yeah, just now.\Bullet train was supper crowded.\Home's where the heart is. response:	The last day of the year should be spent with family, after all.
context: I can't, not yet!\Right, this year, I'll be spending my birthday with Yamato...\Sunakawa\Thanks.\Yeah, just now.\Bullet train was supper crowded.\Home's where the heart is.\The last day of the year should be spent with family, after all. response:	How's Takeo?
context: Right, this year, I'll be spending my birthday with Yamato...\Sunakawa\Thanks.\Yeah, just now.\Bullet train was supper crowded.\Home's where the heart is.\The last day of the year should be spent with family, after all.\How's Takeo? response:	Are things going well with him and his girlfriend?
context: Sunakawa\Thanks.\Yeah, just now.\Bullet train was supper crowded.\Home's where the heart is.\The last day of the year should be spent with family, after all.\How's Takeo?\Are things going well with him and his girlfriend? response:	Yeah.
context: Thanks.\Yeah, just now.\Bullet train was supper crowded.\Home's where the heart is.\The last day of the year should be spent with family, after all.\How's Takeo?\Are things going well with him and his girlfriend?\Yeah. response:	Hello?
context: Yeah, just now.\Bullet train was supper crowded.\Home's where the heart is.\The last day of the year should be spent with family, after all.\How's Takeo?\Are things going well with him and his girlfriend?\Yeah.\Hello? response:	Oh, Yamato-san... Long time, no see!
context: Bullet train was supper crowded.\Home's where the heart is.\The last day of the year should be spent with family, after all.\How's Takeo?\Are things going well with him and his girlfriend?\Yeah.\Hello?\Oh, Yamato-san... Long time, no see! response:	Oh, hello.
context: Home's where the heart is.\The last day of the year should be spent with family, after all.\How's Takeo?\Are things going well with him and his girlfriend?\Yeah.\Hello?\Oh, Yamato-san... Long time, no see!\Oh, hello. response:	It's been a while.
context: The last day of the year should be spent with family, after all.\How's Takeo?\Are things going well with him and his girlfriend?\Yeah.\Hello?\Oh, Yamato-san... Long time, no see!\Oh, hello.\It's been a while. response:	What's the matter?
context: How's Takeo?\Are things going well with him and his girlfriend?\Yeah.\Hello?\Oh, Yamato-san... Long time, no see!\Oh, hello.\It's been a while.\What's the matter? response:	Did you get mixed up, trying to see Takeo?
context: Are things going well with him and his girlfriend?\Yeah.\Hello?\Oh, Yamato-san... Long time, no see!\Oh, hello.\It's been a while.\What's the matter?\Did you get mixed up, trying to see Takeo? response:	No, that isn't it...
context: Yeah.\Hello?\Oh, Yamato-san... Long time, no see!\Oh, hello.\It's been a while.\What's the matter?\Did you get mixed up, trying to see Takeo?\No, that isn't it... response:	Tomorrow is Takeo-kun's birthday.
context: Hello?\Oh, Yamato-san... Long time, no see!\Oh, hello.\It's been a while.\What's the matter?\Did you get mixed up, trying to see Takeo?\No, that isn't it...\Tomorrow is Takeo-kun's birthday. response:	Oh, yeah.
context: Oh, Yamato-san... Long time, no see!\Oh, hello.\It's been a while.\What's the matter?\Did you get mixed up, trying to see Takeo?\No, that isn't it...\Tomorrow is Takeo-kun's birthday.\Oh, yeah. response:	I was wondering what kind of cake to make.
context: Oh, hello.\It's been a while.\What's the matter?\Did you get mixed up, trying to see Takeo?\No, that isn't it...\Tomorrow is Takeo-kun's birthday.\Oh, yeah.\I was wondering what kind of cake to make. response:	Oh, right.
context: It's been a while.\What's the matter?\Did you get mixed up, trying to see Takeo?\No, that isn't it...\Tomorrow is Takeo-kun's birthday.\Oh, yeah.\I was wondering what kind of cake to make.\Oh, right. response:	He likes everything, so that almost makes it harder to choose...
context: What's the matter?\Did you get mixed up, trying to see Takeo?\No, that isn't it...\Tomorrow is Takeo-kun's birthday.\Oh, yeah.\I was wondering what kind of cake to make.\Oh, right.\He likes everything, so that almost makes it harder to choose... response:	Why are you guys in my room?
context: Did you get mixed up, trying to see Takeo?\No, that isn't it...\Tomorrow is Takeo-kun's birthday.\Oh, yeah.\I was wondering what kind of cake to make.\Oh, right.\He likes everything, so that almost makes it harder to choose...\Why are you guys in my room? response:	How about the first cake you made for him?
context: No, that isn't it...\Tomorrow is Takeo-kun's birthday.\Oh, yeah.\I was wondering what kind of cake to make.\Oh, right.\He likes everything, so that almost makes it harder to choose...\Why are you guys in my room?\How about the first cake you made for him? response:	The cheesecake Takeo ate that first time?
context: Tomorrow is Takeo-kun's birthday.\Oh, yeah.\I was wondering what kind of cake to make.\Oh, right.\He likes everything, so that almost makes it harder to choose...\Why are you guys in my room?\How about the first cake you made for him?\The cheesecake Takeo ate that first time? response:	Oh, right!
context: Oh, yeah.\I was wondering what kind of cake to make.\Oh, right.\He likes everything, so that almost makes it harder to choose...\Why are you guys in my room?\How about the first cake you made for him?\The cheesecake Takeo ate that first time?\Oh, right! response:	I don't have to make something new.
context: I was wondering what kind of cake to make.\Oh, right.\He likes everything, so that almost makes it harder to choose...\Why are you guys in my room?\How about the first cake you made for him?\The cheesecake Takeo ate that first time?\Oh, right!\I don't have to make something new. response:	Okay, I'll try doing something with a cheesecake.
context: Oh, right.\He likes everything, so that almost makes it harder to choose...\Why are you guys in my room?\How about the first cake you made for him?\The cheesecake Takeo ate that first time?\Oh, right!\I don't have to make something new.\Okay, I'll try doing something with a cheesecake. response:	Thanks, Sunakawa-kun.
context: He likes everything, so that almost makes it harder to choose...\Why are you guys in my room?\How about the first cake you made for him?\The cheesecake Takeo ate that first time?\Oh, right!\I don't have to make something new.\Okay, I'll try doing something with a cheesecake.\Thanks, Sunakawa-kun. response:	Good... I'm glad we figured it out.
context: Why are you guys in my room?\How about the first cake you made for him?\The cheesecake Takeo ate that first time?\Oh, right!\I don't have to make something new.\Okay, I'll try doing something with a cheesecake.\Thanks, Sunakawa-kun.\Good... I'm glad we figured it out. response:	Oh... And um...
context: How about the first cake you made for him?\The cheesecake Takeo ate that first time?\Oh, right!\I don't have to make something new.\Okay, I'll try doing something with a cheesecake.\Thanks, Sunakawa-kun.\Good... I'm glad we figured it out.\Oh... And um... response:	Uh...
context: The cheesecake Takeo ate that first time?\Oh, right!\I don't have to make something new.\Okay, I'll try doing something with a cheesecake.\Thanks, Sunakawa-kun.\Good... I'm glad we figured it out.\Oh... And um...\Uh... response:	I'm wondering what Takeo-kun would think if a girl tried to kiss him.
context: Oh, right!\I don't have to make something new.\Okay, I'll try doing something with a cheesecake.\Thanks, Sunakawa-kun.\Good... I'm glad we figured it out.\Oh... And um...\Uh...\I'm wondering what Takeo-kun would think if a girl tried to kiss him. response:	Huh?
context: I don't have to make something new.\Okay, I'll try doing something with a cheesecake.\Thanks, Sunakawa-kun.\Good... I'm glad we figured it out.\Oh... And um...\Uh...\I'm wondering what Takeo-kun would think if a girl tried to kiss him.\Huh? response:	Weren't you worried before that he mistakenly thought you were naIve?
context: Okay, I'll try doing something with a cheesecake.\Thanks, Sunakawa-kun.\Good... I'm glad we figured it out.\Oh... And um...\Uh...\I'm wondering what Takeo-kun would think if a girl tried to kiss him.\Huh?\Weren't you worried before that he mistakenly thought you were naIve? response:	Oh, yes.
context: Thanks, Sunakawa-kun.\Good... I'm glad we figured it out.\Oh... And um...\Uh...\I'm wondering what Takeo-kun would think if a girl tried to kiss him.\Huh?\Weren't you worried before that he mistakenly thought you were naIve?\Oh, yes. response:	That's been cleared up.
context: Good... I'm glad we figured it out.\Oh... And um...\Uh...\I'm wondering what Takeo-kun would think if a girl tried to kiss him.\Huh?\Weren't you worried before that he mistakenly thought you were naIve?\Oh, yes.\That's been cleared up. response:	But he isn't holding back because of me.
context: Oh... And um...\Uh...\I'm wondering what Takeo-kun would think if a girl tried to kiss him.\Huh?\Weren't you worried before that he mistakenly thought you were naIve?\Oh, yes.\That's been cleared up.\But he isn't holding back because of me. response:	Takeo-kun's just very modest.
context: Uh...\I'm wondering what Takeo-kun would think if a girl tried to kiss him.\Huh?\Weren't you worried before that he mistakenly thought you were naIve?\Oh, yes.\That's been cleared up.\But he isn't holding back because of me.\Takeo-kun's just very modest. response:	Modest
context: I'm wondering what Takeo-kun would think if a girl tried to kiss him.\Huh?\Weren't you worried before that he mistakenly thought you were naIve?\Oh, yes.\That's been cleared up.\But he isn't holding back because of me.\Takeo-kun's just very modest.\Modest response:	Right...
context: Huh?\Weren't you worried before that he mistakenly thought you were naIve?\Oh, yes.\That's been cleared up.\But he isn't holding back because of me.\Takeo-kun's just very modest.\Modest\Right... response:	You might have something there...
context: Weren't you worried before that he mistakenly thought you were naIve?\Oh, yes.\That's been cleared up.\But he isn't holding back because of me.\Takeo-kun's just very modest.\Modest\Right...\You might have something there... response:	Yeah.
context: Oh, yes.\That's been cleared up.\But he isn't holding back because of me.\Takeo-kun's just very modest.\Modest\Right...\You might have something there...\Yeah. response:	He said he won't kiss until the autumn of his third year.
context: That's been cleared up.\But he isn't holding back because of me.\Takeo-kun's just very modest.\Modest\Right...\You might have something there...\Yeah.\He said he won't kiss until the autumn of his third year. response:	Huh?!
context: But he isn't holding back because of me.\Takeo-kun's just very modest.\Modest\Right...\You might have something there...\Yeah.\He said he won't kiss until the autumn of his third year.\Huh?! response:	He said spring would be too early.
context: Takeo-kun's just very modest.\Modest\Right...\You might have something there...\Yeah.\He said he won't kiss until the autumn of his third year.\Huh?!\He said spring would be too early. response:	Th-Third year... Autumn... Okay.
context: Modest\Right...\You might have something there...\Yeah.\He said he won't kiss until the autumn of his third year.\Huh?!\He said spring would be too early.\Th-Third year... Autumn... Okay. response:	Okay, Takeo-kun...
context: Right...\You might have something there...\Yeah.\He said he won't kiss until the autumn of his third year.\Huh?!\He said spring would be too early.\Th-Third year... Autumn... Okay.\Okay, Takeo-kun... response:	Then I'll wait till third year.
context: You might have something there...\Yeah.\He said he won't kiss until the autumn of his third year.\Huh?!\He said spring would be too early.\Th-Third year... Autumn... Okay.\Okay, Takeo-kun...\Then I'll wait till third year. response:	But if you wanted to,
context: Yeah.\He said he won't kiss until the autumn of his third year.\Huh?!\He said spring would be too early.\Th-Third year... Autumn... Okay.\Okay, Takeo-kun...\Then I'll wait till third year.\But if you wanted to, response:	you could just do it whenever.
context: He said he won't kiss until the autumn of his third year.\Huh?!\He said spring would be too early.\Th-Third year... Autumn... Okay.\Okay, Takeo-kun...\Then I'll wait till third year.\But if you wanted to,\you could just do it whenever. response:	Huh?
context: Huh?!\He said spring would be too early.\Th-Third year... Autumn... Okay.\Okay, Takeo-kun...\Then I'll wait till third year.\But if you wanted to,\you could just do it whenever.\Huh? response:	I think Takeo would be happy.
context: He said spring would be too early.\Th-Third year... Autumn... Okay.\Okay, Takeo-kun...\Then I'll wait till third year.\But if you wanted to,\you could just do it whenever.\Huh?\I think Takeo would be happy. response:	What?
context: Th-Third year... Autumn... Okay.\Okay, Takeo-kun...\Then I'll wait till third year.\But if you wanted to,\you could just do it whenever.\Huh?\I think Takeo would be happy.\What? response:	What should I do?!
context: Okay, Takeo-kun...\Then I'll wait till third year.\But if you wanted to,\you could just do it whenever.\Huh?\I think Takeo would be happy.\What?\What should I do?! response:	Now she doesn't know what to do.
context: Then I'll wait till third year.\But if you wanted to,\you could just do it whenever.\Huh?\I think Takeo would be happy.\What?\What should I do?!\Now she doesn't know what to do. response:	Have you ever kissed someone, Sunakawa-kun?
context: But if you wanted to,\you could just do it whenever.\Huh?\I think Takeo would be happy.\What?\What should I do?!\Now she doesn't know what to do.\Have you ever kissed someone, Sunakawa-kun? response:	Dostoevsky
context: you could just do it whenever.\Huh?\I think Takeo would be happy.\What?\What should I do?!\Now she doesn't know what to do.\Have you ever kissed someone, Sunakawa-kun?\Dostoevsky response:	Why aren't you saying anything?
context: Huh?\I think Takeo would be happy.\What?\What should I do?!\Now she doesn't know what to do.\Have you ever kissed someone, Sunakawa-kun?\Dostoevsky\Why aren't you saying anything? response:	Of course he hasn't.
context: I think Takeo would be happy.\What?\What should I do?!\Now she doesn't know what to do.\Have you ever kissed someone, Sunakawa-kun?\Dostoevsky\Why aren't you saying anything?\Of course he hasn't. response:	Are you being pretentious?
context: What?\What should I do?!\Now she doesn't know what to do.\Have you ever kissed someone, Sunakawa-kun?\Dostoevsky\Why aren't you saying anything?\Of course he hasn't.\Are you being pretentious? response:	He's never had a girlfriend.
context: What should I do?!\Now she doesn't know what to do.\Have you ever kissed someone, Sunakawa-kun?\Dostoevsky\Why aren't you saying anything?\Of course he hasn't.\Are you being pretentious?\He's never had a girlfriend. response:	Right, sorry for asking such a strange question.
context: Now she doesn't know what to do.\Have you ever kissed someone, Sunakawa-kun?\Dostoevsky\Why aren't you saying anything?\Of course he hasn't.\Are you being pretentious?\He's never had a girlfriend.\Right, sorry for asking such a strange question. response:	Thank you for helping me today by hearing me out.
context: Have you ever kissed someone, Sunakawa-kun?\Dostoevsky\Why aren't you saying anything?\Of course he hasn't.\Are you being pretentious?\He's never had a girlfriend.\Right, sorry for asking such a strange question.\Thank you for helping me today by hearing me out. response:	And thank you, too!
context: Dostoevsky\Why aren't you saying anything?\Of course he hasn't.\Are you being pretentious?\He's never had a girlfriend.\Right, sorry for asking such a strange question.\Thank you for helping me today by hearing me out.\And thank you, too! response:	Take care.
context: Why aren't you saying anything?\Of course he hasn't.\Are you being pretentious?\He's never had a girlfriend.\Right, sorry for asking such a strange question.\Thank you for helping me today by hearing me out.\And thank you, too!\Take care. response:	Have a good New Year!
context: Of course he hasn't.\Are you being pretentious?\He's never had a girlfriend.\Right, sorry for asking such a strange question.\Thank you for helping me today by hearing me out.\And thank you, too!\Take care.\Have a good New Year! response:	Okay.
context: Are you being pretentious?\He's never had a girlfriend.\Right, sorry for asking such a strange question.\Thank you for helping me today by hearing me out.\And thank you, too!\Take care.\Have a good New Year!\Okay. response:	You, too.
context: He's never had a girlfriend.\Right, sorry for asking such a strange question.\Thank you for helping me today by hearing me out.\And thank you, too!\Take care.\Have a good New Year!\Okay.\You, too. response:	Yamato-san really loves Takeo, huh?
context: Right, sorry for asking such a strange question.\Thank you for helping me today by hearing me out.\And thank you, too!\Take care.\Have a good New Year!\Okay.\You, too.\Yamato-san really loves Takeo, huh? response:	Sincere
context: Thank you for helping me today by hearing me out.\And thank you, too!\Take care.\Have a good New Year!\Okay.\You, too.\Yamato-san really loves Takeo, huh?\Sincere response:	So she's going to kiss Takeo...
context: And thank you, too!\Take care.\Have a good New Year!\Okay.\You, too.\Yamato-san really loves Takeo, huh?\Sincere\So she's going to kiss Takeo... response:	Imagining it, I feel a little down!
context: Take care.\Have a good New Year!\Okay.\You, too.\Yamato-san really loves Takeo, huh?\Sincere\So she's going to kiss Takeo...\Imagining it, I feel a little down! response:	Then maybe you shouldn't imagine it.
context: Have a good New Year!\Okay.\You, too.\Yamato-san really loves Takeo, huh?\Sincere\So she's going to kiss Takeo...\Imagining it, I feel a little down!\Then maybe you shouldn't imagine it. response:	How's Oda-san?
context: Okay.\You, too.\Yamato-san really loves Takeo, huh?\Sincere\So she's going to kiss Takeo...\Imagining it, I feel a little down!\Then maybe you shouldn't imagine it.\How's Oda-san? response:	Oh, he's fine.
context: You, too.\Yamato-san really loves Takeo, huh?\Sincere\So she's going to kiss Takeo...\Imagining it, I feel a little down!\Then maybe you shouldn't imagine it.\How's Oda-san?\Oh, he's fine. response:	Actually, ever since MM Land, he's been coming on really strong.
context: Yamato-san really loves Takeo, huh?\Sincere\So she's going to kiss Takeo...\Imagining it, I feel a little down!\Then maybe you shouldn't imagine it.\How's Oda-san?\Oh, he's fine.\Actually, ever since MM Land, he's been coming on really strong. response:	Gouda!!
context: Sincere\So she's going to kiss Takeo...\Imagining it, I feel a little down!\Then maybe you shouldn't imagine it.\How's Oda-san?\Oh, he's fine.\Actually, ever since MM Land, he's been coming on really strong.\Gouda!! response:	Singing Contest
context: So she's going to kiss Takeo...\Imagining it, I feel a little down!\Then maybe you shouldn't imagine it.\How's Oda-san?\Oh, he's fine.\Actually, ever since MM Land, he's been coming on really strong.\Gouda!!\Singing Contest response:	Have a happy New Year, everyone.
context: Imagining it, I feel a little down!\Then maybe you shouldn't imagine it.\How's Oda-san?\Oh, he's fine.\Actually, ever since MM Land, he's been coming on really strong.\Gouda!!\Singing Contest\Have a happy New Year, everyone. response:	And so ends this year.
context: Then maybe you shouldn't imagine it.\How's Oda-san?\Oh, he's fine.\Actually, ever since MM Land, he's been coming on really strong.\Gouda!!\Singing Contest\Have a happy New Year, everyone.\And so ends this year. response:	It was a good year...
context: How's Oda-san?\Oh, he's fine.\Actually, ever since MM Land, he's been coming on really strong.\Gouda!!\Singing Contest\Have a happy New Year, everyone.\And so ends this year.\It was a good year... response:	Take, if you're sleepy, go sleep in your room.
context: Oh, he's fine.\Actually, ever since MM Land, he's been coming on really strong.\Gouda!!\Singing Contest\Have a happy New Year, everyone.\And so ends this year.\It was a good year...\Take, if you're sleepy, go sleep in your room. response:	Oof...
context: Actually, ever since MM Land, he's been coming on really strong.\Gouda!!\Singing Contest\Have a happy New Year, everyone.\And so ends this year.\It was a good year...\Take, if you're sleepy, go sleep in your room.\Oof... response:	What are you up to tomorrow?
context: Gouda!!\Singing Contest\Have a happy New Year, everyone.\And so ends this year.\It was a good year...\Take, if you're sleepy, go sleep in your room.\Oof...\What are you up to tomorrow? response:	At ten, I'm going to a shrine with Yamato.
context: Singing Contest\Have a happy New Year, everyone.\And so ends this year.\It was a good year...\Take, if you're sleepy, go sleep in your room.\Oof...\What are you up to tomorrow?\At ten, I'm going to a shrine with Yamato. response:	Oh, okay.
context: Have a happy New Year, everyone.\And so ends this year.\It was a good year...\Take, if you're sleepy, go sleep in your room.\Oof...\What are you up to tomorrow?\At ten, I'm going to a shrine with Yamato.\Oh, okay. response:	Goodnight.
context: And so ends this year.\It was a good year...\Take, if you're sleepy, go sleep in your room.\Oof...\What are you up to tomorrow?\At ten, I'm going to a shrine with Yamato.\Oh, okay.\Goodnight. response:	Night.
context: It was a good year...\Take, if you're sleepy, go sleep in your room.\Oof...\What are you up to tomorrow?\At ten, I'm going to a shrine with Yamato.\Oh, okay.\Goodnight.\Night. response:	Happy Birthday, Takeo-kun!
context: Take, if you're sleepy, go sleep in your room.\Oof...\What are you up to tomorrow?\At ten, I'm going to a shrine with Yamato.\Oh, okay.\Goodnight.\Night.\Happy Birthday, Takeo-kun! response:	Oh, thanks.
context: Oof...\What are you up to tomorrow?\At ten, I'm going to a shrine with Yamato.\Oh, okay.\Goodnight.\Night.\Happy Birthday, Takeo-kun!\Oh, thanks. response:	Were you sleeping, Takeo-kun?
context: What are you up to tomorrow?\At ten, I'm going to a shrine with Yamato.\Oh, okay.\Goodnight.\Night.\Happy Birthday, Takeo-kun!\Oh, thanks.\Were you sleeping, Takeo-kun? response:	Oh, don't worry about it.
context: At ten, I'm going to a shrine with Yamato.\Oh, okay.\Goodnight.\Night.\Happy Birthday, Takeo-kun!\Oh, thanks.\Were you sleeping, Takeo-kun?\Oh, don't worry about it. response:	Sorry about that.
context: Oh, okay.\Goodnight.\Night.\Happy Birthday, Takeo-kun!\Oh, thanks.\Were you sleeping, Takeo-kun?\Oh, don't worry about it.\Sorry about that. response:	See you tomorrow... Oh, it's already today!
