context: Yow! response:	Science
context: You've got to get treated properly, or you're not goin' to get any better!\Come on, Gohan- chan!\No, anything but this!\Wow, we're lucky.\They said that after Gohan and I spend three days in the hospital, we'll be fine.\You've got me beat. They said it would be four months before my injuries heal.\They also said I might not be back to my former self.\Hey, not to worry. In another month, I'll have some new Senzu beans. response:	You know, you look just like a mummy in there.
context: Come on, Gohan- chan!\No, anything but this!\Wow, we're lucky.\They said that after Gohan and I spend three days in the hospital, we'll be fine.\You've got me beat. They said it would be four months before my injuries heal.\They also said I might not be back to my former self.\Hey, not to worry. In another month, I'll have some new Senzu beans.\You know, you look just like a mummy in there. response:	Tch! I went through all that nastiness, and they ain't even gonna keep me here.
context: No, anything but this!\Wow, we're lucky.\They said that after Gohan and I spend three days in the hospital, we'll be fine.\You've got me beat. They said it would be four months before my injuries heal.\They also said I might not be back to my former self.\Hey, not to worry. In another month, I'll have some new Senzu beans.\You know, you look just like a mummy in there.\Tch! I went through all that nastiness, and they ain't even gonna keep me here. response:	You're just after the hospital's food, aren't you?
context: Wow, we're lucky.\They said that after Gohan and I spend three days in the hospital, we'll be fine.\You've got me beat. They said it would be four months before my injuries heal.\They also said I might not be back to my former self.\Hey, not to worry. In another month, I'll have some new Senzu beans.\You know, you look just like a mummy in there.\Tch! I went through all that nastiness, and they ain't even gonna keep me here.\You're just after the hospital's food, aren't you? response:	When Yajirobe thought he was going to be done in by that Saiyan,
context: They said that after Gohan and I spend three days in the hospital, we'll be fine.\You've got me beat. They said it would be four months before my injuries heal.\They also said I might not be back to my former self.\Hey, not to worry. In another month, I'll have some new Senzu beans.\You know, you look just like a mummy in there.\Tch! I went through all that nastiness, and they ain't even gonna keep me here.\You're just after the hospital's food, aren't you?\When Yajirobe thought he was going to be done in by that Saiyan, response:	he was like, Sorry'bout that! I got lotsa respect for ya! Lemme be your friend!
context: You've got me beat. They said it would be four months before my injuries heal.\They also said I might not be back to my former self.\Hey, not to worry. In another month, I'll have some new Senzu beans.\You know, you look just like a mummy in there.\Tch! I went through all that nastiness, and they ain't even gonna keep me here.\You're just after the hospital's food, aren't you?\When Yajirobe thought he was going to be done in by that Saiyan,\he was like, Sorry'bout that! I got lotsa respect for ya! Lemme be your friend! response:	Why, you! What're ya talkin''bout!?
context: They also said I might not be back to my former self.\Hey, not to worry. In another month, I'll have some new Senzu beans.\You know, you look just like a mummy in there.\Tch! I went through all that nastiness, and they ain't even gonna keep me here.\You're just after the hospital's food, aren't you?\When Yajirobe thought he was going to be done in by that Saiyan,\he was like, Sorry'bout that! I got lotsa respect for ya! Lemme be your friend!\Why, you! What're ya talkin''bout!? response:	I was just sayin' that to get him off his guard!
context: Hey, not to worry. In another month, I'll have some new Senzu beans.\You know, you look just like a mummy in there.\Tch! I went through all that nastiness, and they ain't even gonna keep me here.\You're just after the hospital's food, aren't you?\When Yajirobe thought he was going to be done in by that Saiyan,\he was like, Sorry'bout that! I got lotsa respect for ya! Lemme be your friend!\Why, you! What're ya talkin''bout!?\I was just sayin' that to get him off his guard! response:	Well, in any case, you all really done well!
context: You know, you look just like a mummy in there.\Tch! I went through all that nastiness, and they ain't even gonna keep me here.\You're just after the hospital's food, aren't you?\When Yajirobe thought he was going to be done in by that Saiyan,\he was like, Sorry'bout that! I got lotsa respect for ya! Lemme be your friend!\Why, you! What're ya talkin''bout!?\I was just sayin' that to get him off his guard!\Well, in any case, you all really done well! response:	Nothin' could make me happier. And everyone who's dead is comin' back to life, too.
context: Tch! I went through all that nastiness, and they ain't even gonna keep me here.\You're just after the hospital's food, aren't you?\When Yajirobe thought he was going to be done in by that Saiyan,\he was like, Sorry'bout that! I got lotsa respect for ya! Lemme be your friend!\Why, you! What're ya talkin''bout!?\I was just sayin' that to get him off his guard!\Well, in any case, you all really done well!\Nothin' could make me happier. And everyone who's dead is comin' back to life, too. response:	Mm-hmm, that is, if we can get to Planet Namek.
context: You're just after the hospital's food, aren't you?\When Yajirobe thought he was going to be done in by that Saiyan,\he was like, Sorry'bout that! I got lotsa respect for ya! Lemme be your friend!\Why, you! What're ya talkin''bout!?\I was just sayin' that to get him off his guard!\Well, in any case, you all really done well!\Nothin' could make me happier. And everyone who's dead is comin' back to life, too.\Mm-hmm, that is, if we can get to Planet Namek. response:	It will be all right, that's for sure!
context: When Yajirobe thought he was going to be done in by that Saiyan,\he was like, Sorry'bout that! I got lotsa respect for ya! Lemme be your friend!\Why, you! What're ya talkin''bout!?\I was just sayin' that to get him off his guard!\Well, in any case, you all really done well!\Nothin' could make me happier. And everyone who's dead is comin' back to life, too.\Mm-hmm, that is, if we can get to Planet Namek.\It will be all right, that's for sure! response:	Hey, everyone! The TV! Watch the TV!
context: he was like, Sorry'bout that! I got lotsa respect for ya! Lemme be your friend!\Why, you! What're ya talkin''bout!?\I was just sayin' that to get him off his guard!\Well, in any case, you all really done well!\Nothin' could make me happier. And everyone who's dead is comin' back to life, too.\Mm-hmm, that is, if we can get to Planet Namek.\It will be all right, that's for sure!\Hey, everyone! The TV! Watch the TV! response:	Oh, it's you, Bulma! I thought you were some weird nurse.
context: Why, you! What're ya talkin''bout!?\I was just sayin' that to get him off his guard!\Well, in any case, you all really done well!\Nothin' could make me happier. And everyone who's dead is comin' back to life, too.\Mm-hmm, that is, if we can get to Planet Namek.\It will be all right, that's for sure!\Hey, everyone! The TV! Watch the TV!\Oh, it's you, Bulma! I thought you were some weird nurse. response:	Shut up, would you? Here, watch the TV.
context: I was just sayin' that to get him off his guard!\Well, in any case, you all really done well!\Nothin' could make me happier. And everyone who's dead is comin' back to life, too.\Mm-hmm, that is, if we can get to Planet Namek.\It will be all right, that's for sure!\Hey, everyone! The TV! Watch the TV!\Oh, it's you, Bulma! I thought you were some weird nurse.\Shut up, would you? Here, watch the TV. response:	According to those who found it, this object,
context: Well, in any case, you all really done well!\Nothin' could make me happier. And everyone who's dead is comin' back to life, too.\Mm-hmm, that is, if we can get to Planet Namek.\It will be all right, that's for sure!\Hey, everyone! The TV! Watch the TV!\Oh, it's you, Bulma! I thought you were some weird nurse.\Shut up, would you? Here, watch the TV.\According to those who found it, this object, response:	which was discovered in the devastation of Metro East,
context: Nothin' could make me happier. And everyone who's dead is comin' back to life, too.\Mm-hmm, that is, if we can get to Planet Namek.\It will be all right, that's for sure!\Hey, everyone! The TV! Watch the TV!\Oh, it's you, Bulma! I thought you were some weird nurse.\Shut up, would you? Here, watch the TV.\According to those who found it, this object,\which was discovered in the devastation of Metro East, response:	appears to be a vehicle that came from space, though that cannot be determined.
context: Mm-hmm, that is, if we can get to Planet Namek.\It will be all right, that's for sure!\Hey, everyone! The TV! Watch the TV!\Oh, it's you, Bulma! I thought you were some weird nurse.\Shut up, would you? Here, watch the TV.\According to those who found it, this object,\which was discovered in the devastation of Metro East,\appears to be a vehicle that came from space, though that cannot be determined. response:	That's the Saiyan's!
context: It will be all right, that's for sure!\Hey, everyone! The TV! Watch the TV!\Oh, it's you, Bulma! I thought you were some weird nurse.\Shut up, would you? Here, watch the TV.\According to those who found it, this object,\which was discovered in the devastation of Metro East,\appears to be a vehicle that came from space, though that cannot be determined.\That's the Saiyan's! response:	It sure is!
context: Hey, everyone! The TV! Watch the TV!\Oh, it's you, Bulma! I thought you were some weird nurse.\Shut up, would you? Here, watch the TV.\According to those who found it, this object,\which was discovered in the devastation of Metro East,\appears to be a vehicle that came from space, though that cannot be determined.\That's the Saiyan's!\It sure is! response:	I- I can't see!
context: Oh, it's you, Bulma! I thought you were some weird nurse.\Shut up, would you? Here, watch the TV.\According to those who found it, this object,\which was discovered in the devastation of Metro East,\appears to be a vehicle that came from space, though that cannot be determined.\That's the Saiyan's!\It sure is!\I- I can't see! response:	Apparently, when this object was found, there were two of them,
context: Shut up, would you? Here, watch the TV.\According to those who found it, this object,\which was discovered in the devastation of Metro East,\appears to be a vehicle that came from space, though that cannot be determined.\That's the Saiyan's!\It sure is!\I- I can't see!\Apparently, when this object was found, there were two of them, response:	but soon after, one of them suddenly flew away from the scene.
context: According to those who found it, this object,\which was discovered in the devastation of Metro East,\appears to be a vehicle that came from space, though that cannot be determined.\That's the Saiyan's!\It sure is!\I- I can't see!\Apparently, when this object was found, there were two of them,\but soon after, one of them suddenly flew away from the scene. response:	This is bad. Those scientists have already carried it away.
context: which was discovered in the devastation of Metro East,\appears to be a vehicle that came from space, though that cannot be determined.\That's the Saiyan's!\It sure is!\I- I can't see!\Apparently, when this object was found, there were two of them,\but soon after, one of them suddenly flew away from the scene.\This is bad. Those scientists have already carried it away. response:	W- what do we do?
context: appears to be a vehicle that came from space, though that cannot be determined.\That's the Saiyan's!\It sure is!\I- I can't see!\Apparently, when this object was found, there were two of them,\but soon after, one of them suddenly flew away from the scene.\This is bad. Those scientists have already carried it away.\W- what do we do? response:	This should be interesting.
context: That's the Saiyan's!\It sure is!\I- I can't see!\Apparently, when this object was found, there were two of them,\but soon after, one of them suddenly flew away from the scene.\This is bad. Those scientists have already carried it away.\W- what do we do?\This should be interesting. response:	Let's use the remote control that Kuririn brought back, and call it here!
context: It sure is!\I- I can't see!\Apparently, when this object was found, there were two of them,\but soon after, one of them suddenly flew away from the scene.\This is bad. Those scientists have already carried it away.\W- what do we do?\This should be interesting.\Let's use the remote control that Kuririn brought back, and call it here! response:	That will surprise them, I'm sure.
context: I- I can't see!\Apparently, when this object was found, there were two of them,\but soon after, one of them suddenly flew away from the scene.\This is bad. Those scientists have already carried it away.\W- what do we do?\This should be interesting.\Let's use the remote control that Kuririn brought back, and call it here!\That will surprise them, I'm sure. response:	Are you sure that's going to work?
context: Apparently, when this object was found, there were two of them,\but soon after, one of them suddenly flew away from the scene.\This is bad. Those scientists have already carried it away.\W- what do we do?\This should be interesting.\Let's use the remote control that Kuririn brought back, and call it here!\That will surprise them, I'm sure.\Are you sure that's going to work? response:	What are you talking about? I'm a genius! I thoroughly checked it out last night.
context: but soon after, one of them suddenly flew away from the scene.\This is bad. Those scientists have already carried it away.\W- what do we do?\This should be interesting.\Let's use the remote control that Kuririn brought back, and call it here!\That will surprise them, I'm sure.\Are you sure that's going to work?\What are you talking about? I'm a genius! I thoroughly checked it out last night. response:	Watch this.
context: This is bad. Those scientists have already carried it away.\W- what do we do?\This should be interesting.\Let's use the remote control that Kuririn brought back, and call it here!\That will surprise them, I'm sure.\Are you sure that's going to work?\What are you talking about? I'm a genius! I thoroughly checked it out last night.\Watch this. response:	It's nice that we can watch it right here on TV, huh? Okay, beep, beep, beep...
context: W- what do we do?\This should be interesting.\Let's use the remote control that Kuririn brought back, and call it here!\That will surprise them, I'm sure.\Are you sure that's going to work?\What are you talking about? I'm a genius! I thoroughly checked it out last night.\Watch this.\It's nice that we can watch it right here on TV, huh? Okay, beep, beep, beep... response:	Ready? It's going to start moving...
context: This should be interesting.\Let's use the remote control that Kuririn brought back, and call it here!\That will surprise them, I'm sure.\Are you sure that's going to work?\What are you talking about? I'm a genius! I thoroughly checked it out last night.\Watch this.\It's nice that we can watch it right here on TV, huh? Okay, beep, beep, beep...\Ready? It's going to start moving... response:	I want to see, too!
context: Let's use the remote control that Kuririn brought back, and call it here!\That will surprise them, I'm sure.\Are you sure that's going to work?\What are you talking about? I'm a genius! I thoroughly checked it out last night.\Watch this.\It's nice that we can watch it right here on TV, huh? Okay, beep, beep, beep...\Ready? It's going to start moving...\I want to see, too! response:	W - what in the world could have happened here!?
context: That will surprise them, I'm sure.\Are you sure that's going to work?\What are you talking about? I'm a genius! I thoroughly checked it out last night.\Watch this.\It's nice that we can watch it right here on TV, huh? Okay, beep, beep, beep...\Ready? It's going to start moving...\I want to see, too!\W - what in the world could have happened here!? response:	T - the object suddenly exploded! What happened?
context: Are you sure that's going to work?\What are you talking about? I'm a genius! I thoroughly checked it out last night.\Watch this.\It's nice that we can watch it right here on TV, huh? Okay, beep, beep, beep...\Ready? It's going to start moving...\I want to see, too!\W - what in the world could have happened here!?\T - the object suddenly exploded! What happened? response:	There is wreckage from the object all over!
context: What are you talking about? I'm a genius! I thoroughly checked it out last night.\Watch this.\It's nice that we can watch it right here on TV, huh? Okay, beep, beep, beep...\Ready? It's going to start moving...\I want to see, too!\W - what in the world could have happened here!?\T - the object suddenly exploded! What happened?\There is wreckage from the object all over! response:	It can't be!
context: Watch this.\It's nice that we can watch it right here on TV, huh? Okay, beep, beep, beep...\Ready? It's going to start moving...\I want to see, too!\W - what in the world could have happened here!?\T - the object suddenly exploded! What happened?\There is wreckage from the object all over!\It can't be! response:	W- why? Could that have been the self-destruct switch?
context: It's nice that we can watch it right here on TV, huh? Okay, beep, beep, beep...\Ready? It's going to start moving...\I want to see, too!\W - what in the world could have happened here!?\T - the object suddenly exploded! What happened?\There is wreckage from the object all over!\It can't be!\W- why? Could that have been the self-destruct switch? response:	What do we do!? Without that spaceship, we can't go to Planet Namek!
context: Ready? It's going to start moving...\I want to see, too!\W - what in the world could have happened here!?\T - the object suddenly exploded! What happened?\There is wreckage from the object all over!\It can't be!\W- why? Could that have been the self-destruct switch?\What do we do!? Without that spaceship, we can't go to Planet Namek! response:	Our last hope...
context: I want to see, too!\W - what in the world could have happened here!?\T - the object suddenly exploded! What happened?\There is wreckage from the object all over!\It can't be!\W- why? Could that have been the self-destruct switch?\What do we do!? Without that spaceship, we can't go to Planet Namek!\Our last hope... response:	Completely wiped out.
context: W - what in the world could have happened here!?\T - the object suddenly exploded! What happened?\There is wreckage from the object all over!\It can't be!\W- why? Could that have been the self-destruct switch?\What do we do!? Without that spaceship, we can't go to Planet Namek!\Our last hope...\Completely wiped out. response:	I- it's hopeless now...
context: T - the object suddenly exploded! What happened?\There is wreckage from the object all over!\It can't be!\W- why? Could that have been the self-destruct switch?\What do we do!? Without that spaceship, we can't go to Planet Namek!\Our last hope...\Completely wiped out.\I- it's hopeless now... response:	This is a problem. I probably couldn't get there using Kinto Un, either.
context: There is wreckage from the object all over!\It can't be!\W- why? Could that have been the self-destruct switch?\What do we do!? Without that spaceship, we can't go to Planet Namek!\Our last hope...\Completely wiped out.\I- it's hopeless now...\This is a problem. I probably couldn't get there using Kinto Un, either. response:	This is your fault for picking up strange remote controls!
context: It can't be!\W- why? Could that have been the self-destruct switch?\What do we do!? Without that spaceship, we can't go to Planet Namek!\Our last hope...\Completely wiped out.\I- it's hopeless now...\This is a problem. I probably couldn't get there using Kinto Un, either.\This is your fault for picking up strange remote controls! response:	Bulma- san, you're the one who was hasty to push those switches.
context: W- why? Could that have been the self-destruct switch?\What do we do!? Without that spaceship, we can't go to Planet Namek!\Our last hope...\Completely wiped out.\I- it's hopeless now...\This is a problem. I probably couldn't get there using Kinto Un, either.\This is your fault for picking up strange remote controls!\Bulma- san, you're the one who was hasty to push those switches. response:	Well...
context: What do we do!? Without that spaceship, we can't go to Planet Namek!\Our last hope...\Completely wiped out.\I- it's hopeless now...\This is a problem. I probably couldn't get there using Kinto Un, either.\This is your fault for picking up strange remote controls!\Bulma- san, you're the one who was hasty to push those switches.\Well... response:	Hey.
context: Our last hope...\Completely wiped out.\I- it's hopeless now...\This is a problem. I probably couldn't get there using Kinto Un, either.\This is your fault for picking up strange remote controls!\Bulma- san, you're the one who was hasty to push those switches.\Well...\Hey. response:	Mister Popo!
context: Completely wiped out.\I- it's hopeless now...\This is a problem. I probably couldn't get there using Kinto Un, either.\This is your fault for picking up strange remote controls!\Bulma- san, you're the one who was hasty to push those switches.\Well...\Hey.\Mister Popo! response:	Hey there.
context: I- it's hopeless now...\This is a problem. I probably couldn't get there using Kinto Un, either.\This is your fault for picking up strange remote controls!\Bulma- san, you're the one who was hasty to push those switches.\Well...\Hey.\Mister Popo!\Hey there. response:	W- what the!?
context: This is a problem. I probably couldn't get there using Kinto Un, either.\This is your fault for picking up strange remote controls!\Bulma- san, you're the one who was hasty to push those switches.\Well...\Hey.\Mister Popo!\Hey there.\W- what the!? response:	Someone come with me. There is spaceship.
context: This is your fault for picking up strange remote controls!\Bulma- san, you're the one who was hasty to push those switches.\Well...\Hey.\Mister Popo!\Hey there.\W- what the!?\Someone come with me. There is spaceship. response:	A- a spaceship? You really have one, Popo- san?
context: Bulma- san, you're the one who was hasty to push those switches.\Well...\Hey.\Mister Popo!\Hey there.\W- what the!?\Someone come with me. There is spaceship.\A- a spaceship? You really have one, Popo- san? response:	Probably.
context: Well...\Hey.\Mister Popo!\Hey there.\W- what the!?\Someone come with me. There is spaceship.\A- a spaceship? You really have one, Popo- san?\Probably. response:	-W- who is that? -Mister Popo.
context: Hey.\Mister Popo!\Hey there.\W- what the!?\Someone come with me. There is spaceship.\A- a spaceship? You really have one, Popo- san?\Probably.\-W- who is that? -Mister Popo. response:	Mister Popo?
context: Mister Popo!\Hey there.\W- what the!?\Someone come with me. There is spaceship.\A- a spaceship? You really have one, Popo- san?\Probably.\-W- who is that? -Mister Popo.\Mister Popo? response:	He stays at Kami- sama's place.
context: Hey there.\W- what the!?\Someone come with me. There is spaceship.\A- a spaceship? You really have one, Popo- san?\Probably.\-W- who is that? -Mister Popo.\Mister Popo?\He stays at Kami- sama's place. response:	But he's been there at Kami's palace
context: W- what the!?\Someone come with me. There is spaceship.\A- a spaceship? You really have one, Popo- san?\Probably.\-W- who is that? -Mister Popo.\Mister Popo?\He stays at Kami- sama's place.\But he's been there at Kami's palace response:	since long before this current Kami- sama was ever there.
context: Someone come with me. There is spaceship.\A- a spaceship? You really have one, Popo- san?\Probably.\-W- who is that? -Mister Popo.\Mister Popo?\He stays at Kami- sama's place.\But he's been there at Kami's palace\since long before this current Kami- sama was ever there. response:	Say, what do you mean, probably ?
context: A- a spaceship? You really have one, Popo- san?\Probably.\-W- who is that? -Mister Popo.\Mister Popo?\He stays at Kami- sama's place.\But he's been there at Kami's palace\since long before this current Kami- sama was ever there.\Say, what do you mean, probably ? response:	Probably, it is...
context: Probably.\-W- who is that? -Mister Popo.\Mister Popo?\He stays at Kami- sama's place.\But he's been there at Kami's palace\since long before this current Kami- sama was ever there.\Say, what do you mean, probably ?\Probably, it is... response:	Someone come with me to check. Mister Popo show way.
context: -W- who is that? -Mister Popo.\Mister Popo?\He stays at Kami- sama's place.\But he's been there at Kami's palace\since long before this current Kami- sama was ever there.\Say, what do you mean, probably ?\Probably, it is...\Someone come with me to check. Mister Popo show way. response:	Bulma- san!
context: Mister Popo?\He stays at Kami- sama's place.\But he's been there at Kami's palace\since long before this current Kami- sama was ever there.\Say, what do you mean, probably ?\Probably, it is...\Someone come with me to check. Mister Popo show way.\Bulma- san! response:	-Me!? -Well, Bulma- san,
context: He stays at Kami- sama's place.\But he's been there at Kami's palace\since long before this current Kami- sama was ever there.\Say, what do you mean, probably ?\Probably, it is...\Someone come with me to check. Mister Popo show way.\Bulma- san!\-Me!? -Well, Bulma- san, response:	nobody else would know if it's a spaceship.
context: But he's been there at Kami's palace\since long before this current Kami- sama was ever there.\Say, what do you mean, probably ?\Probably, it is...\Someone come with me to check. Mister Popo show way.\Bulma- san!\-Me!? -Well, Bulma- san,\nobody else would know if it's a spaceship. response:	Bulma- san?
context: since long before this current Kami- sama was ever there.\Say, what do you mean, probably ?\Probably, it is...\Someone come with me to check. Mister Popo show way.\Bulma- san!\-Me!? -Well, Bulma- san,\nobody else would know if it's a spaceship.\Bulma- san? response:	Would I be all right? I mean, doesn't that man have a dangerous look in his eye?
context: Say, what do you mean, probably ?\Probably, it is...\Someone come with me to check. Mister Popo show way.\Bulma- san!\-Me!? -Well, Bulma- san,\nobody else would know if it's a spaceship.\Bulma- san?\Would I be all right? I mean, doesn't that man have a dangerous look in his eye? response:	-What is that!? -There's someone riding it! -What is it!?
context: Probably, it is...\Someone come with me to check. Mister Popo show way.\Bulma- san!\-Me!? -Well, Bulma- san,\nobody else would know if it's a spaceship.\Bulma- san?\Would I be all right? I mean, doesn't that man have a dangerous look in his eye?\-What is that!? -There's someone riding it! -What is it!? response:	Bulma, what's taking you so long? Hurry and hop on!
context: Someone come with me to check. Mister Popo show way.\Bulma- san!\-Me!? -Well, Bulma- san,\nobody else would know if it's a spaceship.\Bulma- san?\Would I be all right? I mean, doesn't that man have a dangerous look in his eye?\-What is that!? -There's someone riding it! -What is it!?\Bulma, what's taking you so long? Hurry and hop on! response:	Oh, no! Save me!
context: Bulma- san!\-Me!? -Well, Bulma- san,\nobody else would know if it's a spaceship.\Bulma- san?\Would I be all right? I mean, doesn't that man have a dangerous look in his eye?\-What is that!? -There's someone riding it! -What is it!?\Bulma, what's taking you so long? Hurry and hop on!\Oh, no! Save me! response:	I'm falling down!
context: -Me!? -Well, Bulma- san,\nobody else would know if it's a spaceship.\Bulma- san?\Would I be all right? I mean, doesn't that man have a dangerous look in his eye?\-What is that!? -There's someone riding it! -What is it!?\Bulma, what's taking you so long? Hurry and hop on!\Oh, no! Save me!\I'm falling down! response:	I'm done for! I'm going to die!
context: nobody else would know if it's a spaceship.\Bulma- san?\Would I be all right? I mean, doesn't that man have a dangerous look in his eye?\-What is that!? -There's someone riding it! -What is it!?\Bulma, what's taking you so long? Hurry and hop on!\Oh, no! Save me!\I'm falling down!\I'm done for! I'm going to die! response:	We're counting on you, Bulma!
