context: I have a girlfriend. response:	But then another girl confessed her feelings to me.
context: Sakisaki!\Come on, let's go.\Okay.\I'm headed off to my club.\Okay.\I'll wait until you're done, Saki-chan.\You can go on ahead for once.\But no cheating on me. response:	S-Saki-chan!
context: Come on, let's go.\Okay.\I'm headed off to my club.\Okay.\I'll wait until you're done, Saki-chan.\You can go on ahead for once.\But no cheating on me.\S-Saki-chan! response:	Did you think I would do such a thing?
context: Okay.\I'm headed off to my club.\Okay.\I'll wait until you're done, Saki-chan.\You can go on ahead for once.\But no cheating on me.\S-Saki-chan!\Did you think I would do such a thing? response:	Naoya?
context: I'm headed off to my club.\Okay.\I'll wait until you're done, Saki-chan.\You can go on ahead for once.\But no cheating on me.\S-Saki-chan!\Did you think I would do such a thing?\Naoya? response:	I'm sorry for making you worry!
context: Okay.\I'll wait until you're done, Saki-chan.\You can go on ahead for once.\But no cheating on me.\S-Saki-chan!\Did you think I would do such a thing?\Naoya?\I'm sorry for making you worry! response:	I'll love you even more so you'll never have to worry about me cheating on you!
context: I'll wait until you're done, Saki-chan.\You can go on ahead for once.\But no cheating on me.\S-Saki-chan!\Did you think I would do such a thing?\Naoya?\I'm sorry for making you worry!\I'll love you even more so you'll never have to worry about me cheating on you! response:	Huh? Wait...
context: You can go on ahead for once.\But no cheating on me.\S-Saki-chan!\Did you think I would do such a thing?\Naoya?\I'm sorry for making you worry!\I'll love you even more so you'll never have to worry about me cheating on you!\Huh? Wait... response:	H-H-Hey!
context: But no cheating on me.\S-Saki-chan!\Did you think I would do such a thing?\Naoya?\I'm sorry for making you worry!\I'll love you even more so you'll never have to worry about me cheating on you!\Huh? Wait...\H-H-Hey! response:	Let me go!
context: S-Saki-chan!\Did you think I would do such a thing?\Naoya?\I'm sorry for making you worry!\I'll love you even more so you'll never have to worry about me cheating on you!\Huh? Wait...\H-H-Hey!\Let me go! response:	I love you, Saki-chan!
context: Did you think I would do such a thing?\Naoya?\I'm sorry for making you worry!\I'll love you even more so you'll never have to worry about me cheating on you!\Huh? Wait...\H-H-Hey!\Let me go!\I love you, Saki-chan! response:	Let me go!
context: Naoya?\I'm sorry for making you worry!\I'll love you even more so you'll never have to worry about me cheating on you!\Huh? Wait...\H-H-Hey!\Let me go!\I love you, Saki-chan!\Let me go! response:	Saki-chan!
context: I'm sorry for making you worry!\I'll love you even more so you'll never have to worry about me cheating on you!\Huh? Wait...\H-H-Hey!\Let me go!\I love you, Saki-chan!\Let me go!\Saki-chan! response:	Feel my love!
context: I'll love you even more so you'll never have to worry about me cheating on you!\Huh? Wait...\H-H-Hey!\Let me go!\I love you, Saki-chan!\Let me go!\Saki-chan!\Feel my love! response:	I feel it!
context: Huh? Wait...\H-H-Hey!\Let me go!\I love you, Saki-chan!\Let me go!\Saki-chan!\Feel my love!\I feel it! response:	You feel it?
context: H-H-Hey!\Let me go!\I love you, Saki-chan!\Let me go!\Saki-chan!\Feel my love!\I feel it!\You feel it? response:	I feel it!
context: Let me go!\I love you, Saki-chan!\Let me go!\Saki-chan!\Feel my love!\I feel it!\You feel it?\I feel it! response:	I get it! Jeez!
context: I love you, Saki-chan!\Let me go!\Saki-chan!\Feel my love!\I feel it!\You feel it?\I feel it!\I get it! Jeez! response:	Save that for when we're alone!
context: Let me go!\Saki-chan!\Feel my love!\I feel it!\You feel it?\I feel it!\I get it! Jeez!\Save that for when we're alone! response:	Sheesh, Naoya...
context: Saki-chan!\Feel my love!\I feel it!\You feel it?\I feel it!\I get it! Jeez!\Save that for when we're alone!\Sheesh, Naoya... response:	You're beyond sincere. You're just weird.
context: Feel my love!\I feel it!\You feel it?\I feel it!\I get it! Jeez!\Save that for when we're alone!\Sheesh, Naoya...\You're beyond sincere. You're just weird. response:	You can't even take a joke.
context: I feel it!\You feel it?\I feel it!\I get it! Jeez!\Save that for when we're alone!\Sheesh, Naoya...\You're beyond sincere. You're just weird.\You can't even take a joke. response:	A-Am I that weird?
context: You feel it?\I feel it!\I get it! Jeez!\Save that for when we're alone!\Sheesh, Naoya...\You're beyond sincere. You're just weird.\You can't even take a joke.\A-Am I that weird? response:	You're pretty damn weird!
context: I feel it!\I get it! Jeez!\Save that for when we're alone!\Sheesh, Naoya...\You're beyond sincere. You're just weird.\You can't even take a joke.\A-Am I that weird?\You're pretty damn weird! response:	How?
context: I get it! Jeez!\Save that for when we're alone!\Sheesh, Naoya...\You're beyond sincere. You're just weird.\You can't even take a joke.\A-Am I that weird?\You're pretty damn weird!\How? response:	Like what you did to me just now!
context: Save that for when we're alone!\Sheesh, Naoya...\You're beyond sincere. You're just weird.\You can't even take a joke.\A-Am I that weird?\You're pretty damn weird!\How?\Like what you did to me just now! response:	I never knew.
context: Sheesh, Naoya...\You're beyond sincere. You're just weird.\You can't even take a joke.\A-Am I that weird?\You're pretty damn weird!\How?\Like what you did to me just now!\I never knew. response:	But I want to be true to my feelings.
context: You're beyond sincere. You're just weird.\You can't even take a joke.\A-Am I that weird?\You're pretty damn weird!\How?\Like what you did to me just now!\I never knew.\But I want to be true to my feelings. response:	I can't help but tell someone I love them when I do.
context: You can't even take a joke.\A-Am I that weird?\You're pretty damn weird!\How?\Like what you did to me just now!\I never knew.\But I want to be true to my feelings.\I can't help but tell someone I love them when I do. response:	Wh-What a pain.
context: A-Am I that weird?\You're pretty damn weird!\How?\Like what you did to me just now!\I never knew.\But I want to be true to my feelings.\I can't help but tell someone I love them when I do.\Wh-What a pain. response:	I mean...
context: You're pretty damn weird!\How?\Like what you did to me just now!\I never knew.\But I want to be true to my feelings.\I can't help but tell someone I love them when I do.\Wh-What a pain.\I mean... response:	I confessed to you once a month since we were in first grade.
context: How?\Like what you did to me just now!\I never knew.\But I want to be true to my feelings.\I can't help but tell someone I love them when I do.\Wh-What a pain.\I mean...\I confessed to you once a month since we were in first grade. response:	Now, in high school, you finally said yes.
context: Like what you did to me just now!\I never knew.\But I want to be true to my feelings.\I can't help but tell someone I love them when I do.\Wh-What a pain.\I mean...\I confessed to you once a month since we were in first grade.\Now, in high school, you finally said yes. response:	Of course I'm going to cherish you!
context: I never knew.\But I want to be true to my feelings.\I can't help but tell someone I love them when I do.\Wh-What a pain.\I mean...\I confessed to you once a month since we were in first grade.\Now, in high school, you finally said yes.\Of course I'm going to cherish you! response:	That was way too much for elementary and middle school me!
context: But I want to be true to my feelings.\I can't help but tell someone I love them when I do.\Wh-What a pain.\I mean...\I confessed to you once a month since we were in first grade.\Now, in high school, you finally said yes.\Of course I'm going to cherish you!\That was way too much for elementary and middle school me! response:	But now you embrace my feelings for you!
context: I can't help but tell someone I love them when I do.\Wh-What a pain.\I mean...\I confessed to you once a month since we were in first grade.\Now, in high school, you finally said yes.\Of course I'm going to cherish you!\That was way too much for elementary and middle school me!\But now you embrace my feelings for you! response:	Oh, damn it!
context: Wh-What a pain.\I mean...\I confessed to you once a month since we were in first grade.\Now, in high school, you finally said yes.\Of course I'm going to cherish you!\That was way too much for elementary and middle school me!\But now you embrace my feelings for you!\Oh, damn it! response:	Bring it on!
context: I mean...\I confessed to you once a month since we were in first grade.\Now, in high school, you finally said yes.\Of course I'm going to cherish you!\That was way too much for elementary and middle school me!\But now you embrace my feelings for you!\Oh, damn it!\Bring it on! response:	Anyway, I'm going now.
context: I confessed to you once a month since we were in first grade.\Now, in high school, you finally said yes.\Of course I'm going to cherish you!\That was way too much for elementary and middle school me!\But now you embrace my feelings for you!\Oh, damn it!\Bring it on!\Anyway, I'm going now. response:	Saki-chan!
context: Now, in high school, you finally said yes.\Of course I'm going to cherish you!\That was way too much for elementary and middle school me!\But now you embrace my feelings for you!\Oh, damn it!\Bring it on!\Anyway, I'm going now.\Saki-chan! response:	What?
context: Of course I'm going to cherish you!\That was way too much for elementary and middle school me!\But now you embrace my feelings for you!\Oh, damn it!\Bring it on!\Anyway, I'm going now.\Saki-chan!\What? response:	You were as cute as ever today!
context: That was way too much for elementary and middle school me!\But now you embrace my feelings for you!\Oh, damn it!\Bring it on!\Anyway, I'm going now.\Saki-chan!\What?\You were as cute as ever today! response:	Grrr
context: But now you embrace my feelings for you!\Oh, damn it!\Bring it on!\Anyway, I'm going now.\Saki-chan!\What?\You were as cute as ever today!\Grrr response:	Grrr
context: Oh, damn it!\Bring it on!\Anyway, I'm going now.\Saki-chan!\What?\You were as cute as ever today!\Grrr\Grrr response:	Grrr
context: Bring it on!\Anyway, I'm going now.\Saki-chan!\What?\You were as cute as ever today!\Grrr\Grrr\Grrr response:	Grrr
context: Anyway, I'm going now.\Saki-chan!\What?\You were as cute as ever today!\Grrr\Grrr\Grrr\Grrr response:	Grrr
context: Saki-chan!\What?\You were as cute as ever today!\Grrr\Grrr\Grrr\Grrr\Grrr response:	Grrr
context: What?\You were as cute as ever today!\Grrr\Grrr\Grrr\Grrr\Grrr\Grrr response:	Thank you very much!
context: You were as cute as ever today!\Grrr\Grrr\Grrr\Grrr\Grrr\Grrr\Thank you very much! response:	Ah...
context: Grrr\Grrr\Grrr\Grrr\Grrr\Grrr\Thank you very much!\Ah... response:	I'm so happy that I have her.
context: Grrr\Grrr\Grrr\Grrr\Grrr\Thank you very much!\Ah...\I'm so happy that I have her. response:	U-Um...
context: Grrr\Grrr\Grrr\Grrr\Thank you very much!\Ah...\I'm so happy that I have her.\U-Um... response:	You're M-Mukai Naoya-kun, right?
context: Grrr\Grrr\Grrr\Thank you very much!\Ah...\I'm so happy that I have her.\U-Um...\You're M-Mukai Naoya-kun, right? response:	Yes, why?
context: Grrr\Grrr\Thank you very much!\Ah...\I'm so happy that I have her.\U-Um...\You're M-Mukai Naoya-kun, right?\Yes, why? response:	Um, I...
context: Grrr\Thank you very much!\Ah...\I'm so happy that I have her.\U-Um...\You're M-Mukai Naoya-kun, right?\Yes, why?\Um, I... response:	I have feelings for you!
context: Thank you very much!\Ah...\I'm so happy that I have her.\U-Um...\You're M-Mukai Naoya-kun, right?\Yes, why?\Um, I...\I have feelings for you! response:	Girlfriend, Girlfriend
context: Ah...\I'm so happy that I have her.\U-Um...\You're M-Mukai Naoya-kun, right?\Yes, why?\Um, I...\I have feelings for you!\Girlfriend, Girlfriend response:	Girlfriend, Girlfriend
context: I'm so happy that I have her.\U-Um...\You're M-Mukai Naoya-kun, right?\Yes, why?\Um, I...\I have feelings for you!\Girlfriend, Girlfriend\Girlfriend, Girlfriend response:	Episode 1
context: U-Um...\You're M-Mukai Naoya-kun, right?\Yes, why?\Um, I...\I have feelings for you!\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 1 response:	Even If That Isn't the Right Way
context: You're M-Mukai Naoya-kun, right?\Yes, why?\Um, I...\I have feelings for you!\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 1\Even If That Isn't the Right Way response:	Sorry, I haven't even introduced myself.
context: Yes, why?\Um, I...\I have feelings for you!\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 1\Even If That Isn't the Right Way\Sorry, I haven't even introduced myself. response:	Wait... What?
context: Um, I...\I have feelings for you!\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 1\Even If That Isn't the Right Way\Sorry, I haven't even introduced myself.\Wait... What? response:	Hello, I'm Minase Nagisa. I'm a first-year.
context: I have feelings for you!\Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 1\Even If That Isn't the Right Way\Sorry, I haven't even introduced myself.\Wait... What?\Hello, I'm Minase Nagisa. I'm a first-year. response:	Nice to meet you.
context: Girlfriend, Girlfriend\Girlfriend, Girlfriend\Episode 1\Even If That Isn't the Right Way\Sorry, I haven't even introduced myself.\Wait... What?\Hello, I'm Minase Nagisa. I'm a first-year.\Nice to meet you. response:	Uh, yeah.
context: Girlfriend, Girlfriend\Episode 1\Even If That Isn't the Right Way\Sorry, I haven't even introduced myself.\Wait... What?\Hello, I'm Minase Nagisa. I'm a first-year.\Nice to meet you.\Uh, yeah. response:	Um...
context: Episode 1\Even If That Isn't the Right Way\Sorry, I haven't even introduced myself.\Wait... What?\Hello, I'm Minase Nagisa. I'm a first-year.\Nice to meet you.\Uh, yeah.\Um... response:	What do you think of me, looks-wise?
context: Even If That Isn't the Right Way\Sorry, I haven't even introduced myself.\Wait... What?\Hello, I'm Minase Nagisa. I'm a first-year.\Nice to meet you.\Uh, yeah.\Um...\What do you think of me, looks-wise? response:	Huh? W-Well, if I had to be honest...
context: Sorry, I haven't even introduced myself.\Wait... What?\Hello, I'm Minase Nagisa. I'm a first-year.\Nice to meet you.\Uh, yeah.\Um...\What do you think of me, looks-wise?\Huh? W-Well, if I had to be honest... response:	You're cute as hell.
context: Wait... What?\Hello, I'm Minase Nagisa. I'm a first-year.\Nice to meet you.\Uh, yeah.\Um...\What do you think of me, looks-wise?\Huh? W-Well, if I had to be honest...\You're cute as hell. response:	Thank you!
context: Hello, I'm Minase Nagisa. I'm a first-year.\Nice to meet you.\Uh, yeah.\Um...\What do you think of me, looks-wise?\Huh? W-Well, if I had to be honest...\You're cute as hell.\Thank you! response:	I worked so hard these past few months for this day.
context: Nice to meet you.\Uh, yeah.\Um...\What do you think of me, looks-wise?\Huh? W-Well, if I had to be honest...\You're cute as hell.\Thank you!\I worked so hard these past few months for this day. response:	Three months?
context: Uh, yeah.\Um...\What do you think of me, looks-wise?\Huh? W-Well, if I had to be honest...\You're cute as hell.\Thank you!\I worked so hard these past few months for this day.\Three months? response:	Four hours of working out, jogging, and yoga every day.
context: Um...\What do you think of me, looks-wise?\Huh? W-Well, if I had to be honest...\You're cute as hell.\Thank you!\I worked so hard these past few months for this day.\Three months?\Four hours of working out, jogging, and yoga every day. response:	Working on myself for three hours before bed every night.
context: What do you think of me, looks-wise?\Huh? W-Well, if I had to be honest...\You're cute as hell.\Thank you!\I worked so hard these past few months for this day.\Three months?\Four hours of working out, jogging, and yoga every day.\Working on myself for three hours before bed every night. response:	You're such a hard worker!
context: Huh? W-Well, if I had to be honest...\You're cute as hell.\Thank you!\I worked so hard these past few months for this day.\Three months?\Four hours of working out, jogging, and yoga every day.\Working on myself for three hours before bed every night.\You're such a hard worker! response:	I wanted to be in my best condition for my confession.
context: You're cute as hell.\Thank you!\I worked so hard these past few months for this day.\Three months?\Four hours of working out, jogging, and yoga every day.\Working on myself for three hours before bed every night.\You're such a hard worker!\I wanted to be in my best condition for my confession. response:	What an upright person you are!
context: Thank you!\I worked so hard these past few months for this day.\Three months?\Four hours of working out, jogging, and yoga every day.\Working on myself for three hours before bed every night.\You're such a hard worker!\I wanted to be in my best condition for my confession.\What an upright person you are! response:	They say the best way to a man's heart is through his stomach, so...
context: I worked so hard these past few months for this day.\Three months?\Four hours of working out, jogging, and yoga every day.\Working on myself for three hours before bed every night.\You're such a hard worker!\I wanted to be in my best condition for my confession.\What an upright person you are!\They say the best way to a man's heart is through his stomach, so... response:	I practiced cooking for eight hours, too.
context: Three months?\Four hours of working out, jogging, and yoga every day.\Working on myself for three hours before bed every night.\You're such a hard worker!\I wanted to be in my best condition for my confession.\What an upright person you are!\They say the best way to a man's heart is through his stomach, so...\I practiced cooking for eight hours, too. response:	Aren't you worried about your health?!
context: Four hours of working out, jogging, and yoga every day.\Working on myself for three hours before bed every night.\You're such a hard worker!\I wanted to be in my best condition for my confession.\What an upright person you are!\They say the best way to a man's heart is through his stomach, so...\I practiced cooking for eight hours, too.\Aren't you worried about your health?! response:	You have to take care of your own life!
context: Working on myself for three hours before bed every night.\You're such a hard worker!\I wanted to be in my best condition for my confession.\What an upright person you are!\They say the best way to a man's heart is through his stomach, so...\I practiced cooking for eight hours, too.\Aren't you worried about your health?!\You have to take care of your own life! response:	I-I'm fine.
context: You're such a hard worker!\I wanted to be in my best condition for my confession.\What an upright person you are!\They say the best way to a man's heart is through his stomach, so...\I practiced cooking for eight hours, too.\Aren't you worried about your health?!\You have to take care of your own life!\I-I'm fine. response:	Really?
context: I wanted to be in my best condition for my confession.\What an upright person you are!\They say the best way to a man's heart is through his stomach, so...\I practiced cooking for eight hours, too.\Aren't you worried about your health?!\You have to take care of your own life!\I-I'm fine.\Really? response:	Y-Yes.
context: What an upright person you are!\They say the best way to a man's heart is through his stomach, so...\I practiced cooking for eight hours, too.\Aren't you worried about your health?!\You have to take care of your own life!\I-I'm fine.\Really?\Y-Yes. response:	I'd like you to try it.
context: They say the best way to a man's heart is through his stomach, so...\I practiced cooking for eight hours, too.\Aren't you worried about your health?!\You have to take care of your own life!\I-I'm fine.\Really?\Y-Yes.\I'd like you to try it. response:	Delicious.
context: I practiced cooking for eight hours, too.\Aren't you worried about your health?!\You have to take care of your own life!\I-I'm fine.\Really?\Y-Yes.\I'd like you to try it.\Delicious. response:	But you shouldn't put yourself out for this.
context: Aren't you worried about your health?!\You have to take care of your own life!\I-I'm fine.\Really?\Y-Yes.\I'd like you to try it.\Delicious.\But you shouldn't put yourself out for this. response:	No, it was for your sake.
context: You have to take care of your own life!\I-I'm fine.\Really?\Y-Yes.\I'd like you to try it.\Delicious.\But you shouldn't put yourself out for this.\No, it was for your sake. response:	In fact, I had fun doing it.
context: I-I'm fine.\Really?\Y-Yes.\I'd like you to try it.\Delicious.\But you shouldn't put yourself out for this.\No, it was for your sake.\In fact, I had fun doing it. response:	Besides, I think a big part of why it tastes good is the Matsusaka beef,
context: Really?\Y-Yes.\I'd like you to try it.\Delicious.\But you shouldn't put yourself out for this.\No, it was for your sake.\In fact, I had fun doing it.\Besides, I think a big part of why it tastes good is the Matsusaka beef, response:	Would you like a bag for this?
context: Y-Yes.\I'd like you to try it.\Delicious.\But you shouldn't put yourself out for this.\No, it was for your sake.\In fact, I had fun doing it.\Besides, I think a big part of why it tastes good is the Matsusaka beef,\Would you like a bag for this? response:	lobster, and foie gras that I bought with money from my part-time job.
context: I'd like you to try it.\Delicious.\But you shouldn't put yourself out for this.\No, it was for your sake.\In fact, I had fun doing it.\Besides, I think a big part of why it tastes good is the Matsusaka beef,\Would you like a bag for this?\lobster, and foie gras that I bought with money from my part-time job. response:	What a long day.
context: Delicious.\But you shouldn't put yourself out for this.\No, it was for your sake.\In fact, I had fun doing it.\Besides, I think a big part of why it tastes good is the Matsusaka beef,\Would you like a bag for this?\lobster, and foie gras that I bought with money from my part-time job.\What a long day. response:	50,000 Yen
context: But you shouldn't put yourself out for this.\No, it was for your sake.\In fact, I had fun doing it.\Besides, I think a big part of why it tastes good is the Matsusaka beef,\Would you like a bag for this?\lobster, and foie gras that I bought with money from my part-time job.\What a long day.\50,000 Yen response:	50,000 Yen
context: No, it was for your sake.\In fact, I had fun doing it.\Besides, I think a big part of why it tastes good is the Matsusaka beef,\Would you like a bag for this?\lobster, and foie gras that I bought with money from my part-time job.\What a long day.\50,000 Yen\50,000 Yen response:	50,000 Yen
context: In fact, I had fun doing it.\Besides, I think a big part of why it tastes good is the Matsusaka beef,\Would you like a bag for this?\lobster, and foie gras that I bought with money from my part-time job.\What a long day.\50,000 Yen\50,000 Yen\50,000 Yen response:	50,000 Yen
context: Besides, I think a big part of why it tastes good is the Matsusaka beef,\Would you like a bag for this?\lobster, and foie gras that I bought with money from my part-time job.\What a long day.\50,000 Yen\50,000 Yen\50,000 Yen\50,000 Yen response:	50,000 Yen
context: Would you like a bag for this?\lobster, and foie gras that I bought with money from my part-time job.\What a long day.\50,000 Yen\50,000 Yen\50,000 Yen\50,000 Yen\50,000 Yen response:	50,000 Yen
context: lobster, and foie gras that I bought with money from my part-time job.\What a long day.\50,000 Yen\50,000 Yen\50,000 Yen\50,000 Yen\50,000 Yen\50,000 Yen response:	You overdid it!
context: What a long day.\50,000 Yen\50,000 Yen\50,000 Yen\50,000 Yen\50,000 Yen\50,000 Yen\You overdid it! response:	B-But that's so commendable.
context: 50,000 Yen\50,000 Yen\50,000 Yen\50,000 Yen\50,000 Yen\50,000 Yen\You overdid it!\B-But that's so commendable. response:	So, um...
context: 50,000 Yen\50,000 Yen\50,000 Yen\50,000 Yen\50,000 Yen\You overdid it!\B-But that's so commendable.\So, um... response:	Do I seem attractive to you?
context: 50,000 Yen\50,000 Yen\50,000 Yen\50,000 Yen\You overdid it!\B-But that's so commendable.\So, um...\Do I seem attractive to you? response:	Of course you do!
context: 50,000 Yen\50,000 Yen\50,000 Yen\You overdid it!\B-But that's so commendable.\So, um...\Do I seem attractive to you?\Of course you do! response:	You're attractive as hell!
context: 50,000 Yen\50,000 Yen\You overdid it!\B-But that's so commendable.\So, um...\Do I seem attractive to you?\Of course you do!\You're attractive as hell! response:	Th-Thank goodness.
context: 50,000 Yen\You overdid it!\B-But that's so commendable.\So, um...\Do I seem attractive to you?\Of course you do!\You're attractive as hell!\Th-Thank goodness. response:	Then...
context: You overdid it!\B-But that's so commendable.\So, um...\Do I seem attractive to you?\Of course you do!\You're attractive as hell!\Th-Thank goodness.\Then... response:	Would you please go out with me?
context: B-But that's so commendable.\So, um...\Do I seem attractive to you?\Of course you do!\You're attractive as hell!\Th-Thank goodness.\Then...\Would you please go out with me? response:	Am I not good enough?
context: So, um...\Do I seem attractive to you?\Of course you do!\You're attractive as hell!\Th-Thank goodness.\Then...\Would you please go out with me?\Am I not good enough? response:	Th-That's not true!
context: Do I seem attractive to you?\Of course you do!\You're attractive as hell!\Th-Thank goodness.\Then...\Would you please go out with me?\Am I not good enough?\Th-That's not true! response:	I bet I'd be super happy if I could go out with you.
context: Of course you do!\You're attractive as hell!\Th-Thank goodness.\Then...\Would you please go out with me?\Am I not good enough?\Th-That's not true!\I bet I'd be super happy if I could go out with you. response:	But...
context: You're attractive as hell!\Th-Thank goodness.\Then...\Would you please go out with me?\Am I not good enough?\Th-That's not true!\I bet I'd be super happy if I could go out with you.\But... response:	I already have a girlfriend.
context: Th-Thank goodness.\Then...\Would you please go out with me?\Am I not good enough?\Th-That's not true!\I bet I'd be super happy if I could go out with you.\But...\I already have a girlfriend. response:	I guess... I should have expected that.
context: Then...\Would you please go out with me?\Am I not good enough?\Th-That's not true!\I bet I'd be super happy if I could go out with you.\But...\I already have a girlfriend.\I guess... I should have expected that. response:	But I'm not going to give up just because I got turned down once.
context: Would you please go out with me?\Am I not good enough?\Th-That's not true!\I bet I'd be super happy if I could go out with you.\But...\I already have a girlfriend.\I guess... I should have expected that.\But I'm not going to give up just because I got turned down once. response:	I'll come confess to you again.
context: Am I not good enough?\Th-That's not true!\I bet I'd be super happy if I could go out with you.\But...\I already have a girlfriend.\I guess... I should have expected that.\But I'm not going to give up just because I got turned down once.\I'll come confess to you again. response:	I-I'll talk to you later.
context: Th-That's not true!\I bet I'd be super happy if I could go out with you.\But...\I already have a girlfriend.\I guess... I should have expected that.\But I'm not going to give up just because I got turned down once.\I'll come confess to you again.\I-I'll talk to you later. response:	It's true that I have a girlfriend.
context: I bet I'd be super happy if I could go out with you.\But...\I already have a girlfriend.\I guess... I should have expected that.\But I'm not going to give up just because I got turned down once.\I'll come confess to you again.\I-I'll talk to you later.\It's true that I have a girlfriend. response:	I love her, and I want to treasure her forever.
context: But...\I already have a girlfriend.\I guess... I should have expected that.\But I'm not going to give up just because I got turned down once.\I'll come confess to you again.\I-I'll talk to you later.\It's true that I have a girlfriend.\I love her, and I want to treasure her forever. response:	Naoya-kun?
context: I already have a girlfriend.\I guess... I should have expected that.\But I'm not going to give up just because I got turned down once.\I'll come confess to you again.\I-I'll talk to you later.\It's true that I have a girlfriend.\I love her, and I want to treasure her forever.\Naoya-kun? response:	But it's true that I think you're attractive.
context: I guess... I should have expected that.\But I'm not going to give up just because I got turned down once.\I'll come confess to you again.\I-I'll talk to you later.\It's true that I have a girlfriend.\I love her, and I want to treasure her forever.\Naoya-kun?\But it's true that I think you're attractive. response:	So I want you in my life.
context: But I'm not going to give up just because I got turned down once.\I'll come confess to you again.\I-I'll talk to you later.\It's true that I have a girlfriend.\I love her, and I want to treasure her forever.\Naoya-kun?\But it's true that I think you're attractive.\So I want you in my life. response:	I don't want to turn you down.
context: I'll come confess to you again.\I-I'll talk to you later.\It's true that I have a girlfriend.\I love her, and I want to treasure her forever.\Naoya-kun?\But it's true that I think you're attractive.\So I want you in my life.\I don't want to turn you down. response:	But I can't betray my girlfriend!
context: I-I'll talk to you later.\It's true that I have a girlfriend.\I love her, and I want to treasure her forever.\Naoya-kun?\But it's true that I think you're attractive.\So I want you in my life.\I don't want to turn you down.\But I can't betray my girlfriend! response:	So if it isn't too outrageous to ask...
context: It's true that I have a girlfriend.\I love her, and I want to treasure her forever.\Naoya-kun?\But it's true that I think you're attractive.\So I want you in my life.\I don't want to turn you down.\But I can't betray my girlfriend!\So if it isn't too outrageous to ask... response:	Can I date both of you?
context: I love her, and I want to treasure her forever.\Naoya-kun?\But it's true that I think you're attractive.\So I want you in my life.\I don't want to turn you down.\But I can't betray my girlfriend!\So if it isn't too outrageous to ask...\Can I date both of you? response:	Could you come with me to ask my girlfriend?
context: Naoya-kun?\But it's true that I think you're attractive.\So I want you in my life.\I don't want to turn you down.\But I can't betray my girlfriend!\So if it isn't too outrageous to ask...\Can I date both of you?\Could you come with me to ask my girlfriend? response:	Eh?
