context: Do you really think he'll chase you forever? response:	Mizu-chin's words keep echoing in my head...
context: Hey, what are you gonna get for him this year?\That's right... I need to start spending less and save up for a present.\Even though we're in the middle of a fight, Christmas is still stuck in my mind...\Results from the Cancer Screening Examination We noticed that you had hemorrhaging from your colon Please have a more thorough examination at the nearest general hospital immediately.\City Cancer Center\hemorrhaging from your colon\Mom... a notice from the hospital. Did you see it?\Ah, just another one like they sent last year. response:	Remember how I went for another exam, and they removed all of those benign polyps?
context: That's right... I need to start spending less and save up for a present.\Even though we're in the middle of a fight, Christmas is still stuck in my mind...\Results from the Cancer Screening Examination We noticed that you had hemorrhaging from your colon Please have a more thorough examination at the nearest general hospital immediately.\City Cancer Center\hemorrhaging from your colon\Mom... a notice from the hospital. Did you see it?\Ah, just another one like they sent last year.\Remember how I went for another exam, and they removed all of those benign polyps? response:	They left some in because they were too small, so they're probably acting up again.
context: Even though we're in the middle of a fight, Christmas is still stuck in my mind...\Results from the Cancer Screening Examination We noticed that you had hemorrhaging from your colon Please have a more thorough examination at the nearest general hospital immediately.\City Cancer Center\hemorrhaging from your colon\Mom... a notice from the hospital. Did you see it?\Ah, just another one like they sent last year.\Remember how I went for another exam, and they removed all of those benign polyps?\They left some in because they were too small, so they're probably acting up again. response:	I see...
context: Results from the Cancer Screening Examination We noticed that you had hemorrhaging from your colon Please have a more thorough examination at the nearest general hospital immediately.\City Cancer Center\hemorrhaging from your colon\Mom... a notice from the hospital. Did you see it?\Ah, just another one like they sent last year.\Remember how I went for another exam, and they removed all of those benign polyps?\They left some in because they were too small, so they're probably acting up again.\I see... response:	But don't you think it'd be a good idea to get checked out again?
context: City Cancer Center\hemorrhaging from your colon\Mom... a notice from the hospital. Did you see it?\Ah, just another one like they sent last year.\Remember how I went for another exam, and they removed all of those benign polyps?\They left some in because they were too small, so they're probably acting up again.\I see...\But don't you think it'd be a good idea to get checked out again? response:	I guess so. But we're so busy with all of this moving business right now...
context: hemorrhaging from your colon\Mom... a notice from the hospital. Did you see it?\Ah, just another one like they sent last year.\Remember how I went for another exam, and they removed all of those benign polyps?\They left some in because they were too small, so they're probably acting up again.\I see...\But don't you think it'd be a good idea to get checked out again?\I guess so. But we're so busy with all of this moving business right now... response:	Once we get to Tokyo, I'll take some time and go in for another examination.
context: Mom... a notice from the hospital. Did you see it?\Ah, just another one like they sent last year.\Remember how I went for another exam, and they removed all of those benign polyps?\They left some in because they were too small, so they're probably acting up again.\I see...\But don't you think it'd be a good idea to get checked out again?\I guess so. But we're so busy with all of this moving business right now...\Once we get to Tokyo, I'll take some time and go in for another examination. response:	Man, am I beat.
context: Ah, just another one like they sent last year.\Remember how I went for another exam, and they removed all of those benign polyps?\They left some in because they were too small, so they're probably acting up again.\I see...\But don't you think it'd be a good idea to get checked out again?\I guess so. But we're so busy with all of this moving business right now...\Once we get to Tokyo, I'll take some time and go in for another examination.\Man, am I beat. response:	We're moving around Christmastime?
context: Remember how I went for another exam, and they removed all of those benign polyps?\They left some in because they were too small, so they're probably acting up again.\I see...\But don't you think it'd be a good idea to get checked out again?\I guess so. But we're so busy with all of this moving business right now...\Once we get to Tokyo, I'll take some time and go in for another examination.\Man, am I beat.\We're moving around Christmastime? response:	Hey...
context: They left some in because they were too small, so they're probably acting up again.\I see...\But don't you think it'd be a good idea to get checked out again?\I guess so. But we're so busy with all of this moving business right now...\Once we get to Tokyo, I'll take some time and go in for another examination.\Man, am I beat.\We're moving around Christmastime?\Hey... response:	Will you really be all right?
context: I see...\But don't you think it'd be a good idea to get checked out again?\I guess so. But we're so busy with all of this moving business right now...\Once we get to Tokyo, I'll take some time and go in for another examination.\Man, am I beat.\We're moving around Christmastime?\Hey...\Will you really be all right? response:	About what?
context: But don't you think it'd be a good idea to get checked out again?\I guess so. But we're so busy with all of this moving business right now...\Once we get to Tokyo, I'll take some time and go in for another examination.\Man, am I beat.\We're moving around Christmastime?\Hey...\Will you really be all right?\About what? response:	Being on your own.
context: I guess so. But we're so busy with all of this moving business right now...\Once we get to Tokyo, I'll take some time and go in for another examination.\Man, am I beat.\We're moving around Christmastime?\Hey...\Will you really be all right?\About what?\Being on your own. response:	Oh, stop it! It's not like I'm a child.
context: Once we get to Tokyo, I'll take some time and go in for another examination.\Man, am I beat.\We're moving around Christmastime?\Hey...\Will you really be all right?\About what?\Being on your own.\Oh, stop it! It's not like I'm a child. response:	You're pretty cheeky, worrying about your mother like that.
context: Man, am I beat.\We're moving around Christmastime?\Hey...\Will you really be all right?\About what?\Being on your own.\Oh, stop it! It's not like I'm a child.\You're pretty cheeky, worrying about your mother like that. response:	By the way... what's your pay going to be?
context: We're moving around Christmastime?\Hey...\Will you really be all right?\About what?\Being on your own.\Oh, stop it! It's not like I'm a child.\You're pretty cheeky, worrying about your mother like that.\By the way... what's your pay going to be? response:	I'll be fine!
context: Hey...\Will you really be all right?\About what?\Being on your own.\Oh, stop it! It's not like I'm a child.\You're pretty cheeky, worrying about your mother like that.\By the way... what's your pay going to be?\I'll be fine! response:	How much is it?
context: Will you really be all right?\About what?\Being on your own.\Oh, stop it! It's not like I'm a child.\You're pretty cheeky, worrying about your mother like that.\By the way... what's your pay going to be?\I'll be fine!\How much is it? response:	Net Income 200,000 yen
context: About what?\Being on your own.\Oh, stop it! It's not like I'm a child.\You're pretty cheeky, worrying about your mother like that.\By the way... what's your pay going to be?\I'll be fine!\How much is it?\Net Income 200,000 yen response:	Net Income 200,000 yen
context: Being on your own.\Oh, stop it! It's not like I'm a child.\You're pretty cheeky, worrying about your mother like that.\By the way... what's your pay going to be?\I'll be fine!\How much is it?\Net Income 200,000 yen\Net Income 200,000 yen response:	Net Income 200,000 yen
context: Oh, stop it! It's not like I'm a child.\You're pretty cheeky, worrying about your mother like that.\By the way... what's your pay going to be?\I'll be fine!\How much is it?\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen response:	Net Income 200,000 yen
context: You're pretty cheeky, worrying about your mother like that.\By the way... what's your pay going to be?\I'll be fine!\How much is it?\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen response:	Net Income 200,000 yen
context: By the way... what's your pay going to be?\I'll be fine!\How much is it?\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen response:	Net Income 200,000 yen
context: I'll be fine!\How much is it?\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen response:	And how much is apartment rent and living expense...?
context: How much is it?\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\And how much is apartment rent and living expense...? response:	If I economize, 120,000 yen/mo.
context: Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\And how much is apartment rent and living expense...?\If I economize, 120,000 yen/mo. response:	If I economize, 120,000 yen/mo.
context: Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\And how much is apartment rent and living expense...?\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo. response:	If I economize, 120,000 yen/mo.
context: Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\And how much is apartment rent and living expense...?\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo. response:	If I economize, 120,000 yen/mo.
context: Net Income 200,000 yen\Net Income 200,000 yen\Net Income 200,000 yen\And how much is apartment rent and living expense...?\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo. response:	If I economize, 120,000 yen/mo.
context: Net Income 200,000 yen\Net Income 200,000 yen\And how much is apartment rent and living expense...?\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo. response:	If I economize, 120,000 yen/mo.
context: Net Income 200,000 yen\And how much is apartment rent and living expense...?\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo. response:	You also have to add in insurance and property taxes, don't you?
context: And how much is apartment rent and living expense...?\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\You also have to add in insurance and property taxes, don't you? response:	Combining your tuition with everything else, hhhhhh60,000 yen/mo.
context: If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\You also have to add in insurance and property taxes, don't you?\Combining your tuition with everything else, hhhhhh60,000 yen/mo. response:	Combining your tuition with everything else, hhhhhh60,000 yen/mo.
context: If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\You also have to add in insurance and property taxes, don't you?\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo. response:	Combining your tuition with everything else, hhhhhh60,000 yen/mo.
context: If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\You also have to add in insurance and property taxes, don't you?\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo. response:	Combining your tuition with everything else, hhhhhh60,000 yen/mo.
context: If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\You also have to add in insurance and property taxes, don't you?\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo. response:	Combining your tuition with everything else, hhhhhh60,000 yen/mo.
context: If I economize, 120,000 yen/mo.\If I economize, 120,000 yen/mo.\You also have to add in insurance and property taxes, don't you?\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo. response:	Combining your tuition with everything else, hhhhhh60,000 yen/mo.
context: If I economize, 120,000 yen/mo.\You also have to add in insurance and property taxes, don't you?\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo. response:	Combining your tuition with everything else, hhhhhh60,000 yen/mo.
context: You also have to add in insurance and property taxes, don't you?\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo. response:	And my allowance...?
context: Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\And my allowance...? response:	That man said he didn't need me to pay for his living expenses, so 30,000 yen should do the trick.
context: Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\And my allowance...?\That man said he didn't need me to pay for his living expenses, so 30,000 yen should do the trick. response:	Net Income 200,000 yen/mo.
context: Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\And my allowance...?\That man said he didn't need me to pay for his living expenses, so 30,000 yen should do the trick.\Net Income 200,000 yen/mo. response:	Apartment Living Expenses 120,000 yen
context: Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\And my allowance...?\That man said he didn't need me to pay for his living expenses, so 30,000 yen should do the trick.\Net Income 200,000 yen/mo.\Apartment Living Expenses 120,000 yen response:	Insurance, Tuition 60,000 yen
context: Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\And my allowance...?\That man said he didn't need me to pay for his living expenses, so 30,000 yen should do the trick.\Net Income 200,000 yen/mo.\Apartment Living Expenses 120,000 yen\Insurance, Tuition 60,000 yen response:	Allowance 30,000 yen
context: Combining your tuition with everything else, hhhhhh60,000 yen/mo.\Combining your tuition with everything else, hhhhhh60,000 yen/mo.\And my allowance...?\That man said he didn't need me to pay for his living expenses, so 30,000 yen should do the trick.\Net Income 200,000 yen/mo.\Apartment Living Expenses 120,000 yen\Insurance, Tuition 60,000 yen\Allowance 30,000 yen response:	Total: 210,000 yen
context: Combining your tuition with everything else, hhhhhh60,000 yen/mo.\And my allowance...?\That man said he didn't need me to pay for his living expenses, so 30,000 yen should do the trick.\Net Income 200,000 yen/mo.\Apartment Living Expenses 120,000 yen\Insurance, Tuition 60,000 yen\Allowance 30,000 yen\Total: 210,000 yen response:	You're in the red!
context: And my allowance...?\That man said he didn't need me to pay for his living expenses, so 30,000 yen should do the trick.\Net Income 200,000 yen/mo.\Apartment Living Expenses 120,000 yen\Insurance, Tuition 60,000 yen\Allowance 30,000 yen\Total: 210,000 yen\You're in the red! response:	Don't tell me it'll do the trick!
context: That man said he didn't need me to pay for his living expenses, so 30,000 yen should do the trick.\Net Income 200,000 yen/mo.\Apartment Living Expenses 120,000 yen\Insurance, Tuition 60,000 yen\Allowance 30,000 yen\Total: 210,000 yen\You're in the red!\Don't tell me it'll do the trick! response:	I have my savings account, and I can also work part-time.
context: Net Income 200,000 yen/mo.\Apartment Living Expenses 120,000 yen\Insurance, Tuition 60,000 yen\Allowance 30,000 yen\Total: 210,000 yen\You're in the red!\Don't tell me it'll do the trick!\I have my savings account, and I can also work part-time. response:	I'll work part-time, so don't bother with my allowance.
context: Apartment Living Expenses 120,000 yen\Insurance, Tuition 60,000 yen\Allowance 30,000 yen\Total: 210,000 yen\You're in the red!\Don't tell me it'll do the trick!\I have my savings account, and I can also work part-time.\I'll work part-time, so don't bother with my allowance. response:	No.
context: Insurance, Tuition 60,000 yen\Allowance 30,000 yen\Total: 210,000 yen\You're in the red!\Don't tell me it'll do the trick!\I have my savings account, and I can also work part-time.\I'll work part-time, so don't bother with my allowance.\No. response:	You need to give your undivided attention to college entrance exams.
context: Allowance 30,000 yen\Total: 210,000 yen\You're in the red!\Don't tell me it'll do the trick!\I have my savings account, and I can also work part-time.\I'll work part-time, so don't bother with my allowance.\No.\You need to give your undivided attention to college entrance exams. response:	I'll come up with the money somehow if there's an emergency.
context: Total: 210,000 yen\You're in the red!\Don't tell me it'll do the trick!\I have my savings account, and I can also work part-time.\I'll work part-time, so don't bother with my allowance.\No.\You need to give your undivided attention to college entrance exams.\I'll come up with the money somehow if there's an emergency. response:	And it's not like I'll have a rough time straight from the start.
context: You're in the red!\Don't tell me it'll do the trick!\I have my savings account, and I can also work part-time.\I'll work part-time, so don't bother with my allowance.\No.\You need to give your undivided attention to college entrance exams.\I'll come up with the money somehow if there's an emergency.\And it's not like I'll have a rough time straight from the start. response:	You can't take money from your bank account!
context: Don't tell me it'll do the trick!\I have my savings account, and I can also work part-time.\I'll work part-time, so don't bother with my allowance.\No.\You need to give your undivided attention to college entrance exams.\I'll come up with the money somehow if there's an emergency.\And it's not like I'll have a rough time straight from the start.\You can't take money from your bank account! response:	I'll take care of my tuition.
context: I have my savings account, and I can also work part-time.\I'll work part-time, so don't bother with my allowance.\No.\You need to give your undivided attention to college entrance exams.\I'll come up with the money somehow if there's an emergency.\And it's not like I'll have a rough time straight from the start.\You can't take money from your bank account!\I'll take care of my tuition. response:	Don't be ridiculous.
