context: It's now August, response:	and Arima has gone to the Interhigh.
context: What's it say, what's it say?\This is a souvenier from the training camp in Nagano.\I'll be back on August 5th.\So concise...\But when I opened the envelope,\it smelled ever so faintly of Arima.\It gave me a painful reminder of how much I missed him.\Oh, Arima? I saw him. response:	When I went to school for volleyball practice I ran into the kendo team...
context: This is a souvenier from the training camp in Nagano.\I'll be back on August 5th.\So concise...\But when I opened the envelope,\it smelled ever so faintly of Arima.\It gave me a painful reminder of how much I missed him.\Oh, Arima? I saw him.\When I went to school for volleyball practice I ran into the kendo team... response:	I was surprised.
context: I'll be back on August 5th.\So concise...\But when I opened the envelope,\it smelled ever so faintly of Arima.\It gave me a painful reminder of how much I missed him.\Oh, Arima? I saw him.\When I went to school for volleyball practice I ran into the kendo team...\I was surprised. response:	Arima had gotten so much taller that he looked so different, but cool.
context: So concise...\But when I opened the envelope,\it smelled ever so faintly of Arima.\It gave me a painful reminder of how much I missed him.\Oh, Arima? I saw him.\When I went to school for volleyball practice I ran into the kendo team...\I was surprised.\Arima had gotten so much taller that he looked so different, but cool. response:	If he gets taller with those looks, he'd be a model. *So good looks is all that matters?*
context: But when I opened the envelope,\it smelled ever so faintly of Arima.\It gave me a painful reminder of how much I missed him.\Oh, Arima? I saw him.\When I went to school for volleyball practice I ran into the kendo team...\I was surprised.\Arima had gotten so much taller that he looked so different, but cool.\If he gets taller with those looks, he'd be a model. *So good looks is all that matters?* response:	Hey, what's the matter, Yukinon?
context: it smelled ever so faintly of Arima.\It gave me a painful reminder of how much I missed him.\Oh, Arima? I saw him.\When I went to school for volleyball practice I ran into the kendo team...\I was surprised.\Arima had gotten so much taller that he looked so different, but cool.\If he gets taller with those looks, he'd be a model. *So good looks is all that matters?*\Hey, what's the matter, Yukinon? response:	Maybe I should join a club too...
context: It gave me a painful reminder of how much I missed him.\Oh, Arima? I saw him.\When I went to school for volleyball practice I ran into the kendo team...\I was surprised.\Arima had gotten so much taller that he looked so different, but cool.\If he gets taller with those looks, he'd be a model. *So good looks is all that matters?*\Hey, what's the matter, Yukinon?\Maybe I should join a club too... response:	What's the matter all of a sudden?
context: Oh, Arima? I saw him.\When I went to school for volleyball practice I ran into the kendo team...\I was surprised.\Arima had gotten so much taller that he looked so different, but cool.\If he gets taller with those looks, he'd be a model. *So good looks is all that matters?*\Hey, what's the matter, Yukinon?\Maybe I should join a club too...\What's the matter all of a sudden? response:	Although we'd love to have you on the volleyball team.
context: When I went to school for volleyball practice I ran into the kendo team...\I was surprised.\Arima had gotten so much taller that he looked so different, but cool.\If he gets taller with those looks, he'd be a model. *So good looks is all that matters?*\Hey, what's the matter, Yukinon?\Maybe I should join a club too...\What's the matter all of a sudden?\Although we'd love to have you on the volleyball team. response:	Well, I'm not doing anything.
context: I was surprised.\Arima had gotten so much taller that he looked so different, but cool.\If he gets taller with those looks, he'd be a model. *So good looks is all that matters?*\Hey, what's the matter, Yukinon?\Maybe I should join a club too...\What's the matter all of a sudden?\Although we'd love to have you on the volleyball team.\Well, I'm not doing anything. response:	Arima does sports and he's getting taller,
context: Arima had gotten so much taller that he looked so different, but cool.\If he gets taller with those looks, he'd be a model. *So good looks is all that matters?*\Hey, what's the matter, Yukinon?\Maybe I should join a club too...\What's the matter all of a sudden?\Although we'd love to have you on the volleyball team.\Well, I'm not doing anything.\Arima does sports and he's getting taller, response:	and there's so much going on...
context: If he gets taller with those looks, he'd be a model. *So good looks is all that matters?*\Hey, what's the matter, Yukinon?\Maybe I should join a club too...\What's the matter all of a sudden?\Although we'd love to have you on the volleyball team.\Well, I'm not doing anything.\Arima does sports and he's getting taller,\and there's so much going on... response:	But nothing changes with me just sitting here.
context: Hey, what's the matter, Yukinon?\Maybe I should join a club too...\What's the matter all of a sudden?\Although we'd love to have you on the volleyball team.\Well, I'm not doing anything.\Arima does sports and he's getting taller,\and there's so much going on...\But nothing changes with me just sitting here. response:	Whining about relationships, are you?
context: Maybe I should join a club too...\What's the matter all of a sudden?\Although we'd love to have you on the volleyball team.\Well, I'm not doing anything.\Arima does sports and he's getting taller,\and there's so much going on...\But nothing changes with me just sitting here.\Whining about relationships, are you? response:	I can't take any more of this when I'm not even getting paid.
context: What's the matter all of a sudden?\Although we'd love to have you on the volleyball team.\Well, I'm not doing anything.\Arima does sports and he's getting taller,\and there's so much going on...\But nothing changes with me just sitting here.\Whining about relationships, are you?\I can't take any more of this when I'm not even getting paid. response:	I'm leavin', so I can't understand that shit.
context: Although we'd love to have you on the volleyball team.\Well, I'm not doing anything.\Arima does sports and he's getting taller,\and there's so much going on...\But nothing changes with me just sitting here.\Whining about relationships, are you?\I can't take any more of this when I'm not even getting paid.\I'm leavin', so I can't understand that shit. response:	All right already! I'll stop talking about it!
context: Well, I'm not doing anything.\Arima does sports and he's getting taller,\and there's so much going on...\But nothing changes with me just sitting here.\Whining about relationships, are you?\I can't take any more of this when I'm not even getting paid.\I'm leavin', so I can't understand that shit.\All right already! I'll stop talking about it! response:	It's not like you're doing nothing.
context: Arima does sports and he's getting taller,\and there's so much going on...\But nothing changes with me just sitting here.\Whining about relationships, are you?\I can't take any more of this when I'm not even getting paid.\I'm leavin', so I can't understand that shit.\All right already! I'll stop talking about it!\It's not like you're doing nothing. response:	You do all that studying.
context: and there's so much going on...\But nothing changes with me just sitting here.\Whining about relationships, are you?\I can't take any more of this when I'm not even getting paid.\I'm leavin', so I can't understand that shit.\All right already! I'll stop talking about it!\It's not like you're doing nothing.\You do all that studying. response:	Yeah but, that would go without saying.
context: But nothing changes with me just sitting here.\Whining about relationships, are you?\I can't take any more of this when I'm not even getting paid.\I'm leavin', so I can't understand that shit.\All right already! I'll stop talking about it!\It's not like you're doing nothing.\You do all that studying.\Yeah but, that would go without saying. response:	And as for studying, I finished my homework already, so I don't have much to do.
context: Whining about relationships, are you?\I can't take any more of this when I'm not even getting paid.\I'm leavin', so I can't understand that shit.\All right already! I'll stop talking about it!\It's not like you're doing nothing.\You do all that studying.\Yeah but, that would go without saying.\And as for studying, I finished my homework already, so I don't have much to do. response:	I have more free time now that
context: I can't take any more of this when I'm not even getting paid.\I'm leavin', so I can't understand that shit.\All right already! I'll stop talking about it!\It's not like you're doing nothing.\You do all that studying.\Yeah but, that would go without saying.\And as for studying, I finished my homework already, so I don't have much to do.\I have more free time now that response:	I no longer train to show myself off.
context: I'm leavin', so I can't understand that shit.\All right already! I'll stop talking about it!\It's not like you're doing nothing.\You do all that studying.\Yeah but, that would go without saying.\And as for studying, I finished my homework already, so I don't have much to do.\I have more free time now that\I no longer train to show myself off. response:	Why don't you join?
context: All right already! I'll stop talking about it!\It's not like you're doing nothing.\You do all that studying.\Yeah but, that would go without saying.\And as for studying, I finished my homework already, so I don't have much to do.\I have more free time now that\I no longer train to show myself off.\Why don't you join? response:	Yu-ki-non...
context: It's not like you're doing nothing.\You do all that studying.\Yeah but, that would go without saying.\And as for studying, I finished my homework already, so I don't have much to do.\I have more free time now that\I no longer train to show myself off.\Why don't you join?\Yu-ki-non... response:	Let us copy your homework!!
context: You do all that studying.\Yeah but, that would go without saying.\And as for studying, I finished my homework already, so I don't have much to do.\I have more free time now that\I no longer train to show myself off.\Why don't you join?\Yu-ki-non...\Let us copy your homework!! response:	1000 yen per subject.
context: Yeah but, that would go without saying.\And as for studying, I finished my homework already, so I don't have much to do.\I have more free time now that\I no longer train to show myself off.\Why don't you join?\Yu-ki-non...\Let us copy your homework!!\1000 yen per subject. response:	No Fair!
context: And as for studying, I finished my homework already, so I don't have much to do.\I have more free time now that\I no longer train to show myself off.\Why don't you join?\Yu-ki-non...\Let us copy your homework!!\1000 yen per subject.\No Fair! response:	How could you? Are you going to bring money into our friendship?
context: I have more free time now that\I no longer train to show myself off.\Why don't you join?\Yu-ki-non...\Let us copy your homework!!\1000 yen per subject.\No Fair!\How could you? Are you going to bring money into our friendship? response:	One good deed deserves another.
context: I no longer train to show myself off.\Why don't you join?\Yu-ki-non...\Let us copy your homework!!\1000 yen per subject.\No Fair!\How could you? Are you going to bring money into our friendship?\One good deed deserves another. response:	Money doesn't rule everything in the world.
context: Why don't you join?\Yu-ki-non...\Let us copy your homework!!\1000 yen per subject.\No Fair!\How could you? Are you going to bring money into our friendship?\One good deed deserves another.\Money doesn't rule everything in the world. response:	I've had a change of heart about that.
context: Yu-ki-non...\Let us copy your homework!!\1000 yen per subject.\No Fair!\How could you? Are you going to bring money into our friendship?\One good deed deserves another.\Money doesn't rule everything in the world.\I've had a change of heart about that. response:	My brains will bring me lots of money. At this rate, I can be a doctor or lawyer or anything I like.
context: Let us copy your homework!!\1000 yen per subject.\No Fair!\How could you? Are you going to bring money into our friendship?\One good deed deserves another.\Money doesn't rule everything in the world.\I've had a change of heart about that.\My brains will bring me lots of money. At this rate, I can be a doctor or lawyer or anything I like. response:	In any case, these brains are going to earn me an income of twenty or thirty million yen a year.
context: 1000 yen per subject.\No Fair!\How could you? Are you going to bring money into our friendship?\One good deed deserves another.\Money doesn't rule everything in the world.\I've had a change of heart about that.\My brains will bring me lots of money. At this rate, I can be a doctor or lawyer or anything I like.\In any case, these brains are going to earn me an income of twenty or thirty million yen a year. response:	So I'm not going to sell myself short now.
context: No Fair!\How could you? Are you going to bring money into our friendship?\One good deed deserves another.\Money doesn't rule everything in the world.\I've had a change of heart about that.\My brains will bring me lots of money. At this rate, I can be a doctor or lawyer or anything I like.\In any case, these brains are going to earn me an income of twenty or thirty million yen a year.\So I'm not going to sell myself short now. response:	Damn! This is what's annoying about smart people.
context: How could you? Are you going to bring money into our friendship?\One good deed deserves another.\Money doesn't rule everything in the world.\I've had a change of heart about that.\My brains will bring me lots of money. At this rate, I can be a doctor or lawyer or anything I like.\In any case, these brains are going to earn me an income of twenty or thirty million yen a year.\So I'm not going to sell myself short now.\Damn! This is what's annoying about smart people. response:	You've really gotten over being Miss Goody-two-shoes.
context: One good deed deserves another.\Money doesn't rule everything in the world.\I've had a change of heart about that.\My brains will bring me lots of money. At this rate, I can be a doctor or lawyer or anything I like.\In any case, these brains are going to earn me an income of twenty or thirty million yen a year.\So I'm not going to sell myself short now.\Damn! This is what's annoying about smart people.\You've really gotten over being Miss Goody-two-shoes. response:	You used to loan your notes to people all the time,
context: Money doesn't rule everything in the world.\I've had a change of heart about that.\My brains will bring me lots of money. At this rate, I can be a doctor or lawyer or anything I like.\In any case, these brains are going to earn me an income of twenty or thirty million yen a year.\So I'm not going to sell myself short now.\Damn! This is what's annoying about smart people.\You've really gotten over being Miss Goody-two-shoes.\You used to loan your notes to people all the time, response:	and had everyone totally fooled.
context: I've had a change of heart about that.\My brains will bring me lots of money. At this rate, I can be a doctor or lawyer or anything I like.\In any case, these brains are going to earn me an income of twenty or thirty million yen a year.\So I'm not going to sell myself short now.\Damn! This is what's annoying about smart people.\You've really gotten over being Miss Goody-two-shoes.\You used to loan your notes to people all the time,\and had everyone totally fooled. response:	Hey, then how about the drama club?
context: My brains will bring me lots of money. At this rate, I can be a doctor or lawyer or anything I like.\In any case, these brains are going to earn me an income of twenty or thirty million yen a year.\So I'm not going to sell myself short now.\Damn! This is what's annoying about smart people.\You've really gotten over being Miss Goody-two-shoes.\You used to loan your notes to people all the time,\and had everyone totally fooled.\Hey, then how about the drama club? response:	Huh? Drama club?
context: In any case, these brains are going to earn me an income of twenty or thirty million yen a year.\So I'm not going to sell myself short now.\Damn! This is what's annoying about smart people.\You've really gotten over being Miss Goody-two-shoes.\You used to loan your notes to people all the time,\and had everyone totally fooled.\Hey, then how about the drama club?\Huh? Drama club? response:	There's someone who could write the stories. There's someone who could make the clothes.
context: So I'm not going to sell myself short now.\Damn! This is what's annoying about smart people.\You've really gotten over being Miss Goody-two-shoes.\You used to loan your notes to people all the time,\and had everyone totally fooled.\Hey, then how about the drama club?\Huh? Drama club?\There's someone who could write the stories. There's someone who could make the clothes. response:	The pretty faces.
context: Damn! This is what's annoying about smart people.\You've really gotten over being Miss Goody-two-shoes.\You used to loan your notes to people all the time,\and had everyone totally fooled.\Hey, then how about the drama club?\Huh? Drama club?\There's someone who could write the stories. There's someone who could make the clothes.\The pretty faces. response:	Me?
context: You've really gotten over being Miss Goody-two-shoes.\You used to loan your notes to people all the time,\and had everyone totally fooled.\Hey, then how about the drama club?\Huh? Drama club?\There's someone who could write the stories. There's someone who could make the clothes.\The pretty faces.\Me? response:	And an acting genius.
context: You used to loan your notes to people all the time,\and had everyone totally fooled.\Hey, then how about the drama club?\Huh? Drama club?\There's someone who could write the stories. There's someone who could make the clothes.\The pretty faces.\Me?\And an acting genius. response:	That's not very flattering.
context: and had everyone totally fooled.\Hey, then how about the drama club?\Huh? Drama club?\There's someone who could write the stories. There's someone who could make the clothes.\The pretty faces.\Me?\And an acting genius.\That's not very flattering. response:	See, you can do it!
context: Hey, then how about the drama club?\Huh? Drama club?\There's someone who could write the stories. There's someone who could make the clothes.\The pretty faces.\Me?\And an acting genius.\That's not very flattering.\See, you can do it! response:	What are you being so amused about?
context: Huh? Drama club?\There's someone who could write the stories. There's someone who could make the clothes.\The pretty faces.\Me?\And an acting genius.\That's not very flattering.\See, you can do it!\What are you being so amused about? response:	Then what are YOU going to do?
context: There's someone who could write the stories. There's someone who could make the clothes.\The pretty faces.\Me?\And an acting genius.\That's not very flattering.\See, you can do it!\What are you being so amused about?\Then what are YOU going to do? response:	Oh, I'm on the volleyball team, so it has nothing to do with me.
context: The pretty faces.\Me?\And an acting genius.\That's not very flattering.\See, you can do it!\What are you being so amused about?\Then what are YOU going to do?\Oh, I'm on the volleyball team, so it has nothing to do with me. response:	No fair!
context: Me?\And an acting genius.\That's not very flattering.\See, you can do it!\What are you being so amused about?\Then what are YOU going to do?\Oh, I'm on the volleyball team, so it has nothing to do with me.\No fair! response:	No, no, no way! Our school doesn't even have a drama club in the first place.
context: And an acting genius.\That's not very flattering.\See, you can do it!\What are you being so amused about?\Then what are YOU going to do?\Oh, I'm on the volleyball team, so it has nothing to do with me.\No fair!\No, no, no way! Our school doesn't even have a drama club in the first place. response:	Did you get an idea?
context: That's not very flattering.\See, you can do it!\What are you being so amused about?\Then what are YOU going to do?\Oh, I'm on the volleyball team, so it has nothing to do with me.\No fair!\No, no, no way! Our school doesn't even have a drama club in the first place.\Did you get an idea? response:	Hey, don't make up stuff we don't need!
context: See, you can do it!\What are you being so amused about?\Then what are YOU going to do?\Oh, I'm on the volleyball team, so it has nothing to do with me.\No fair!\No, no, no way! Our school doesn't even have a drama club in the first place.\Did you get an idea?\Hey, don't make up stuff we don't need! response:	Tsubaki's just teasing us!
context: What are you being so amused about?\Then what are YOU going to do?\Oh, I'm on the volleyball team, so it has nothing to do with me.\No fair!\No, no, no way! Our school doesn't even have a drama club in the first place.\Did you get an idea?\Hey, don't make up stuff we don't need!\Tsubaki's just teasing us! response:	Bye!
context: Then what are YOU going to do?\Oh, I'm on the volleyball team, so it has nothing to do with me.\No fair!\No, no, no way! Our school doesn't even have a drama club in the first place.\Did you get an idea?\Hey, don't make up stuff we don't need!\Tsubaki's just teasing us!\Bye! response:	See ya.
context: Oh, I'm on the volleyball team, so it has nothing to do with me.\No fair!\No, no, no way! Our school doesn't even have a drama club in the first place.\Did you get an idea?\Hey, don't make up stuff we don't need!\Tsubaki's just teasing us!\Bye!\See ya. response:	Bah-bye!
context: No fair!\No, no, no way! Our school doesn't even have a drama club in the first place.\Did you get an idea?\Hey, don't make up stuff we don't need!\Tsubaki's just teasing us!\Bye!\See ya.\Bah-bye! response:	Later, see ya.
context: No, no, no way! Our school doesn't even have a drama club in the first place.\Did you get an idea?\Hey, don't make up stuff we don't need!\Tsubaki's just teasing us!\Bye!\See ya.\Bah-bye!\Later, see ya. response:	Bye-bye!
context: Did you get an idea?\Hey, don't make up stuff we don't need!\Tsubaki's just teasing us!\Bye!\See ya.\Bah-bye!\Later, see ya.\Bye-bye! response:	We may not be able to see each other for a while.
context: Hey, don't make up stuff we don't need!\Tsubaki's just teasing us!\Bye!\See ya.\Bah-bye!\Later, see ya.\Bye-bye!\We may not be able to see each other for a while. response:	Okay. Good luck at the Interhigh!
context: Tsubaki's just teasing us!\Bye!\See ya.\Bah-bye!\Later, see ya.\Bye-bye!\We may not be able to see each other for a while.\Okay. Good luck at the Interhigh! response:	It's no use.
context: Bye!\See ya.\Bah-bye!\Later, see ya.\Bye-bye!\We may not be able to see each other for a while.\Okay. Good luck at the Interhigh!\It's no use. response:	I told myself I'd be apart from Arima for only a little while...
context: See ya.\Bah-bye!\Later, see ya.\Bye-bye!\We may not be able to see each other for a while.\Okay. Good luck at the Interhigh!\It's no use.\I told myself I'd be apart from Arima for only a little while... response:	Why do I become hopeless as soon as he's gone?
context: Bah-bye!\Later, see ya.\Bye-bye!\We may not be able to see each other for a while.\Okay. Good luck at the Interhigh!\It's no use.\I told myself I'd be apart from Arima for only a little while...\Why do I become hopeless as soon as he's gone? response:	Three more days...
context: Later, see ya.\Bye-bye!\We may not be able to see each other for a while.\Okay. Good luck at the Interhigh!\It's no use.\I told myself I'd be apart from Arima for only a little while...\Why do I become hopeless as soon as he's gone?\Three more days... response:	So depressing...
context: Bye-bye!\We may not be able to see each other for a while.\Okay. Good luck at the Interhigh!\It's no use.\I told myself I'd be apart from Arima for only a little while...\Why do I become hopeless as soon as he's gone?\Three more days...\So depressing... response:	Two more days...
context: We may not be able to see each other for a while.\Okay. Good luck at the Interhigh!\It's no use.\I told myself I'd be apart from Arima for only a little while...\Why do I become hopeless as soon as he's gone?\Three more days...\So depressing...\Two more days... response:	Yuki-chan, phone call from Isawa-san.
context: Okay. Good luck at the Interhigh!\It's no use.\I told myself I'd be apart from Arima for only a little while...\Why do I become hopeless as soon as he's gone?\Three more days...\So depressing...\Two more days...\Yuki-chan, phone call from Isawa-san. response:	The day before yesterday...
context: It's no use.\I told myself I'd be apart from Arima for only a little while...\Why do I become hopeless as soon as he's gone?\Three more days...\So depressing...\Two more days...\Yuki-chan, phone call from Isawa-san.\The day before yesterday... response:	I was hoping you could help...
context: I told myself I'd be apart from Arima for only a little while...\Why do I become hopeless as soon as he's gone?\Three more days...\So depressing...\Two more days...\Yuki-chan, phone call from Isawa-san.\The day before yesterday...\I was hoping you could help... response:	Sure.
context: Why do I become hopeless as soon as he's gone?\Three more days...\So depressing...\Two more days...\Yuki-chan, phone call from Isawa-san.\The day before yesterday...\I was hoping you could help...\Sure. response:	Thanks for coming over.
context: Three more days...\So depressing...\Two more days...\Yuki-chan, phone call from Isawa-san.\The day before yesterday...\I was hoping you could help...\Sure.\Thanks for coming over. response:	What's with your face?
context: So depressing...\Two more days...\Yuki-chan, phone call from Isawa-san.\The day before yesterday...\I was hoping you could help...\Sure.\Thanks for coming over.\What's with your face? response:	You're emitting a strange aura.
context: Two more days...\Yuki-chan, phone call from Isawa-san.\The day before yesterday...\I was hoping you could help...\Sure.\Thanks for coming over.\What's with your face?\You're emitting a strange aura. response:	I guess even someone with steel nerves like you gets lonely without Arima.
context: Yuki-chan, phone call from Isawa-san.\The day before yesterday...\I was hoping you could help...\Sure.\Thanks for coming over.\What's with your face?\You're emitting a strange aura.\I guess even someone with steel nerves like you gets lonely without Arima. response:	It was like this during the Athletics Festival too.
context: The day before yesterday...\I was hoping you could help...\Sure.\Thanks for coming over.\What's with your face?\You're emitting a strange aura.\I guess even someone with steel nerves like you gets lonely without Arima.\It was like this during the Athletics Festival too. response:	The moment Arima was gone I became a wreck.
context: I was hoping you could help...\Sure.\Thanks for coming over.\What's with your face?\You're emitting a strange aura.\I guess even someone with steel nerves like you gets lonely without Arima.\It was like this during the Athletics Festival too.\The moment Arima was gone I became a wreck. response:	I'd been vaguely aware of it, but...
context: Sure.\Thanks for coming over.\What's with your face?\You're emitting a strange aura.\I guess even someone with steel nerves like you gets lonely without Arima.\It was like this during the Athletics Festival too.\The moment Arima was gone I became a wreck.\I'd been vaguely aware of it, but... response:	Without the vanity and pride,
context: Thanks for coming over.\What's with your face?\You're emitting a strange aura.\I guess even someone with steel nerves like you gets lonely without Arima.\It was like this during the Athletics Festival too.\The moment Arima was gone I became a wreck.\I'd been vaguely aware of it, but...\Without the vanity and pride, response:	I'm really a chicken.
context: What's with your face?\You're emitting a strange aura.\I guess even someone with steel nerves like you gets lonely without Arima.\It was like this during the Athletics Festival too.\The moment Arima was gone I became a wreck.\I'd been vaguely aware of it, but...\Without the vanity and pride,\I'm really a chicken. response:	I can't stand myself!
context: You're emitting a strange aura.\I guess even someone with steel nerves like you gets lonely without Arima.\It was like this during the Athletics Festival too.\The moment Arima was gone I became a wreck.\I'd been vaguely aware of it, but...\Without the vanity and pride,\I'm really a chicken.\I can't stand myself! response:	When Arima's doing what he has to do,
context: I guess even someone with steel nerves like you gets lonely without Arima.\It was like this during the Athletics Festival too.\The moment Arima was gone I became a wreck.\I'd been vaguely aware of it, but...\Without the vanity and pride,\I'm really a chicken.\I can't stand myself!\When Arima's doing what he has to do, response:	I can't stand that all I can do is sit around moping!
context: It was like this during the Athletics Festival too.\The moment Arima was gone I became a wreck.\I'd been vaguely aware of it, but...\Without the vanity and pride,\I'm really a chicken.\I can't stand myself!\When Arima's doing what he has to do,\I can't stand that all I can do is sit around moping! response:	Don't make such a ruckus in someone else's house.
context: The moment Arima was gone I became a wreck.\I'd been vaguely aware of it, but...\Without the vanity and pride,\I'm really a chicken.\I can't stand myself!\When Arima's doing what he has to do,\I can't stand that all I can do is sit around moping!\Don't make such a ruckus in someone else's house. response:	What's wrong with that? Guys like that kind of girl.
context: I'd been vaguely aware of it, but...\Without the vanity and pride,\I'm really a chicken.\I can't stand myself!\When Arima's doing what he has to do,\I can't stand that all I can do is sit around moping!\Don't make such a ruckus in someone else's house.\What's wrong with that? Guys like that kind of girl. response:	But Arima has rather weird tastes...
context: Without the vanity and pride,\I'm really a chicken.\I can't stand myself!\When Arima's doing what he has to do,\I can't stand that all I can do is sit around moping!\Don't make such a ruckus in someone else's house.\What's wrong with that? Guys like that kind of girl.\But Arima has rather weird tastes... response:	What with Asapin and Tsubasa-chan...
context: I'm really a chicken.\I can't stand myself!\When Arima's doing what he has to do,\I can't stand that all I can do is sit around moping!\Don't make such a ruckus in someone else's house.\What's wrong with that? Guys like that kind of girl.\But Arima has rather weird tastes...\What with Asapin and Tsubasa-chan... response:	*The world is money!*
context: I can't stand myself!\When Arima's doing what he has to do,\I can't stand that all I can do is sit around moping!\Don't make such a ruckus in someone else's house.\What's wrong with that? Guys like that kind of girl.\But Arima has rather weird tastes...\What with Asapin and Tsubasa-chan...\*The world is money!* response:	I don't really know, but I don't think he would like a passive girl like that.
context: When Arima's doing what he has to do,\I can't stand that all I can do is sit around moping!\Don't make such a ruckus in someone else's house.\What's wrong with that? Guys like that kind of girl.\But Arima has rather weird tastes...\What with Asapin and Tsubasa-chan...\*The world is money!*\I don't really know, but I don't think he would like a passive girl like that. response:	I think it's all right.
context: I can't stand that all I can do is sit around moping!\Don't make such a ruckus in someone else's house.\What's wrong with that? Guys like that kind of girl.\But Arima has rather weird tastes...\What with Asapin and Tsubasa-chan...\*The world is money!*\I don't really know, but I don't think he would like a passive girl like that.\I think it's all right. response:	It's love because it knocks your heart off balance.
context: Don't make such a ruckus in someone else's house.\What's wrong with that? Guys like that kind of girl.\But Arima has rather weird tastes...\What with Asapin and Tsubasa-chan...\*The world is money!*\I don't really know, but I don't think he would like a passive girl like that.\I think it's all right.\It's love because it knocks your heart off balance. response:	While you're acting cool and having things under control,
context: What's wrong with that? Guys like that kind of girl.\But Arima has rather weird tastes...\What with Asapin and Tsubasa-chan...\*The world is money!*\I don't really know, but I don't think he would like a passive girl like that.\I think it's all right.\It's love because it knocks your heart off balance.\While you're acting cool and having things under control, response:	it's not true love yet.
context: But Arima has rather weird tastes...\What with Asapin and Tsubasa-chan...\*The world is money!*\I don't really know, but I don't think he would like a passive girl like that.\I think it's all right.\It's love because it knocks your heart off balance.\While you're acting cool and having things under control,\it's not true love yet. response:	That means you value yourself...
context: What with Asapin and Tsubasa-chan...\*The world is money!*\I don't really know, but I don't think he would like a passive girl like that.\I think it's all right.\It's love because it knocks your heart off balance.\While you're acting cool and having things under control,\it's not true love yet.\That means you value yourself... response:	You met someone who could even collapse the balance of your heart.
context: *The world is money!*\I don't really know, but I don't think he would like a passive girl like that.\I think it's all right.\It's love because it knocks your heart off balance.\While you're acting cool and having things under control,\it's not true love yet.\That means you value yourself...\You met someone who could even collapse the balance of your heart. response:	That's why your heart gets stolen.
context: I don't really know, but I don't think he would like a passive girl like that.\I think it's all right.\It's love because it knocks your heart off balance.\While you're acting cool and having things under control,\it's not true love yet.\That means you value yourself...\You met someone who could even collapse the balance of your heart.\That's why your heart gets stolen. response:	You're sooo mature!
context: I think it's all right.\It's love because it knocks your heart off balance.\While you're acting cool and having things under control,\it's not true love yet.\That means you value yourself...\You met someone who could even collapse the balance of your heart.\That's why your heart gets stolen.\You're sooo mature! response:	You're the first person I've ever wanted to call big sister.
context: It's love because it knocks your heart off balance.\While you're acting cool and having things under control,\it's not true love yet.\That means you value yourself...\You met someone who could even collapse the balance of your heart.\That's why your heart gets stolen.\You're sooo mature!\You're the first person I've ever wanted to call big sister. response:	Big sister!
context: While you're acting cool and having things under control,\it's not true love yet.\That means you value yourself...\You met someone who could even collapse the balance of your heart.\That's why your heart gets stolen.\You're sooo mature!\You're the first person I've ever wanted to call big sister.\Big sister! response:	If you're going to make fun of me I'll stop talking.
context: it's not true love yet.\That means you value yourself...\You met someone who could even collapse the balance of your heart.\That's why your heart gets stolen.\You're sooo mature!\You're the first person I've ever wanted to call big sister.\Big sister!\If you're going to make fun of me I'll stop talking. response:	Just kidding.
