context: Nana! response:	I thought I might find you here.
context: Then don't fall in love with him.\I like the way you said that. Your comeback line.\You're starting to sound a lot like Jun-chan.\Should I call you Sho-chan?\Everyone would become like this after hanging out with you!\But Jun-chan doesn't talk to me the same way now.\She's been so preoccupied with Kyosuke, her personality is softening.\Like she's boneless. She lacks something now. response:	But it's all right. I have you now, Shoji.
context: I like the way you said that. Your comeback line.\You're starting to sound a lot like Jun-chan.\Should I call you Sho-chan?\Everyone would become like this after hanging out with you!\But Jun-chan doesn't talk to me the same way now.\She's been so preoccupied with Kyosuke, her personality is softening.\Like she's boneless. She lacks something now.\But it's all right. I have you now, Shoji. response:	So I'm merely Junko's replacement, I guess.
context: You're starting to sound a lot like Jun-chan.\Should I call you Sho-chan?\Everyone would become like this after hanging out with you!\But Jun-chan doesn't talk to me the same way now.\She's been so preoccupied with Kyosuke, her personality is softening.\Like she's boneless. She lacks something now.\But it's all right. I have you now, Shoji.\So I'm merely Junko's replacement, I guess. response:	By the way, Sho-chan, why'd you come looking for me? Is it something urgent?
context: Should I call you Sho-chan?\Everyone would become like this after hanging out with you!\But Jun-chan doesn't talk to me the same way now.\She's been so preoccupied with Kyosuke, her personality is softening.\Like she's boneless. She lacks something now.\But it's all right. I have you now, Shoji.\So I'm merely Junko's replacement, I guess.\By the way, Sho-chan, why'd you come looking for me? Is it something urgent? response:	Don't call me Sho-chan!
context: Everyone would become like this after hanging out with you!\But Jun-chan doesn't talk to me the same way now.\She's been so preoccupied with Kyosuke, her personality is softening.\Like she's boneless. She lacks something now.\But it's all right. I have you now, Shoji.\So I'm merely Junko's replacement, I guess.\By the way, Sho-chan, why'd you come looking for me? Is it something urgent?\Don't call me Sho-chan! response:	I was at a bar drinking with Kyosuke and Junko,
context: But Jun-chan doesn't talk to me the same way now.\She's been so preoccupied with Kyosuke, her personality is softening.\Like she's boneless. She lacks something now.\But it's all right. I have you now, Shoji.\So I'm merely Junko's replacement, I guess.\By the way, Sho-chan, why'd you come looking for me? Is it something urgent?\Don't call me Sho-chan!\I was at a bar drinking with Kyosuke and Junko, response:	and thought I'd invite you.
context: She's been so preoccupied with Kyosuke, her personality is softening.\Like she's boneless. She lacks something now.\But it's all right. I have you now, Shoji.\So I'm merely Junko's replacement, I guess.\By the way, Sho-chan, why'd you come looking for me? Is it something urgent?\Don't call me Sho-chan!\I was at a bar drinking with Kyosuke and Junko,\and thought I'd invite you. response:	You may get upset if you thought we deliberately went drinking without you.
context: Like she's boneless. She lacks something now.\But it's all right. I have you now, Shoji.\So I'm merely Junko's replacement, I guess.\By the way, Sho-chan, why'd you come looking for me? Is it something urgent?\Don't call me Sho-chan!\I was at a bar drinking with Kyosuke and Junko,\and thought I'd invite you.\You may get upset if you thought we deliberately went drinking without you. response:	Yes! Let's go, let's go! Let's drink!
context: But it's all right. I have you now, Shoji.\So I'm merely Junko's replacement, I guess.\By the way, Sho-chan, why'd you come looking for me? Is it something urgent?\Don't call me Sho-chan!\I was at a bar drinking with Kyosuke and Junko,\and thought I'd invite you.\You may get upset if you thought we deliberately went drinking without you.\Yes! Let's go, let's go! Let's drink! response:	You know, we seem to always end up drinking.
context: So I'm merely Junko's replacement, I guess.\By the way, Sho-chan, why'd you come looking for me? Is it something urgent?\Don't call me Sho-chan!\I was at a bar drinking with Kyosuke and Junko,\and thought I'd invite you.\You may get upset if you thought we deliberately went drinking without you.\Yes! Let's go, let's go! Let's drink!\You know, we seem to always end up drinking. response:	For once, I'd like to try something more refreshing, like go to the beach.
context: By the way, Sho-chan, why'd you come looking for me? Is it something urgent?\Don't call me Sho-chan!\I was at a bar drinking with Kyosuke and Junko,\and thought I'd invite you.\You may get upset if you thought we deliberately went drinking without you.\Yes! Let's go, let's go! Let's drink!\You know, we seem to always end up drinking.\For once, I'd like to try something more refreshing, like go to the beach. response:	The beach?
context: Don't call me Sho-chan!\I was at a bar drinking with Kyosuke and Junko,\and thought I'd invite you.\You may get upset if you thought we deliberately went drinking without you.\Yes! Let's go, let's go! Let's drink!\You know, we seem to always end up drinking.\For once, I'd like to try something more refreshing, like go to the beach.\The beach? response:	Hey, summer vacation's coming up.
context: I was at a bar drinking with Kyosuke and Junko,\and thought I'd invite you.\You may get upset if you thought we deliberately went drinking without you.\Yes! Let's go, let's go! Let's drink!\You know, we seem to always end up drinking.\For once, I'd like to try something more refreshing, like go to the beach.\The beach?\Hey, summer vacation's coming up. response:	Why don't the four of us go on a trip somewhere?
context: and thought I'd invite you.\You may get upset if you thought we deliberately went drinking without you.\Yes! Let's go, let's go! Let's drink!\You know, we seem to always end up drinking.\For once, I'd like to try something more refreshing, like go to the beach.\The beach?\Hey, summer vacation's coming up.\Why don't the four of us go on a trip somewhere? response:	- The beach! - The beach!
context: You may get upset if you thought we deliberately went drinking without you.\Yes! Let's go, let's go! Let's drink!\You know, we seem to always end up drinking.\For once, I'd like to try something more refreshing, like go to the beach.\The beach?\Hey, summer vacation's coming up.\Why don't the four of us go on a trip somewhere?\- The beach! - The beach! response:	When I was darkness at that time
context: Yes! Let's go, let's go! Let's drink!\You know, we seem to always end up drinking.\For once, I'd like to try something more refreshing, like go to the beach.\The beach?\Hey, summer vacation's coming up.\Why don't the four of us go on a trip somewhere?\- The beach! - The beach!\When I was darkness at that time response:	With trembling lips
context: You know, we seem to always end up drinking.\For once, I'd like to try something more refreshing, like go to the beach.\The beach?\Hey, summer vacation's coming up.\Why don't the four of us go on a trip somewhere?\- The beach! - The beach!\When I was darkness at that time\With trembling lips response:	The more I struggle
context: For once, I'd like to try something more refreshing, like go to the beach.\The beach?\Hey, summer vacation's coming up.\Why don't the four of us go on a trip somewhere?\- The beach! - The beach!\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: The beach?\Hey, summer vacation's coming up.\Why don't the four of us go on a trip somewhere?\- The beach! - The beach!\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: Hey, summer vacation's coming up.\Why don't the four of us go on a trip somewhere?\- The beach! - The beach!\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: Why don't the four of us go on a trip somewhere?\- The beach! - The beach!\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: - The beach! - The beach!\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	The beach is really nice. This is what youth is all about.
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\The beach is really nice. This is what youth is all about. response:	I'm tired of the mountains.
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\The beach is really nice. This is what youth is all about.\I'm tired of the mountains. response:	Yeah, I've also grown tired of watching the mountains.
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\The beach is really nice. This is what youth is all about.\I'm tired of the mountains.\Yeah, I've also grown tired of watching the mountains. response:	I'm really sleepy.
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\The beach is really nice. This is what youth is all about.\I'm tired of the mountains.\Yeah, I've also grown tired of watching the mountains.\I'm really sleepy. response:	Really, Jun-chan? Then I guess we should get going.
context: I wanna need your love\I'm a broken rose\I wanna need your love\The beach is really nice. This is what youth is all about.\I'm tired of the mountains.\Yeah, I've also grown tired of watching the mountains.\I'm really sleepy.\Really, Jun-chan? Then I guess we should get going. response:	What are you saying, Nana? You're in this room with Junko.
context: I'm a broken rose\I wanna need your love\The beach is really nice. This is what youth is all about.\I'm tired of the mountains.\Yeah, I've also grown tired of watching the mountains.\I'm really sleepy.\Really, Jun-chan? Then I guess we should get going.\What are you saying, Nana? You're in this room with Junko. response:	I'll give my place to Kyosuke. I'm gonna sleep with Shoji.
context: I wanna need your love\The beach is really nice. This is what youth is all about.\I'm tired of the mountains.\Yeah, I've also grown tired of watching the mountains.\I'm really sleepy.\Really, Jun-chan? Then I guess we should get going.\What are you saying, Nana? You're in this room with Junko.\I'll give my place to Kyosuke. I'm gonna sleep with Shoji. response:	Huh?! Wh-What are you saying?
context: The beach is really nice. This is what youth is all about.\I'm tired of the mountains.\Yeah, I've also grown tired of watching the mountains.\I'm really sleepy.\Really, Jun-chan? Then I guess we should get going.\What are you saying, Nana? You're in this room with Junko.\I'll give my place to Kyosuke. I'm gonna sleep with Shoji.\Huh?! Wh-What are you saying? response:	Come on. You've gotta be more considerate, Shoji?
context: I'm tired of the mountains.\Yeah, I've also grown tired of watching the mountains.\I'm really sleepy.\Really, Jun-chan? Then I guess we should get going.\What are you saying, Nana? You're in this room with Junko.\I'll give my place to Kyosuke. I'm gonna sleep with Shoji.\Huh?! Wh-What are you saying?\Come on. You've gotta be more considerate, Shoji? response:	Hey!
context: Yeah, I've also grown tired of watching the mountains.\I'm really sleepy.\Really, Jun-chan? Then I guess we should get going.\What are you saying, Nana? You're in this room with Junko.\I'll give my place to Kyosuke. I'm gonna sleep with Shoji.\Huh?! Wh-What are you saying?\Come on. You've gotta be more considerate, Shoji?\Hey! response:	Hurry up, let's go.
context: I'm really sleepy.\Really, Jun-chan? Then I guess we should get going.\What are you saying, Nana? You're in this room with Junko.\I'll give my place to Kyosuke. I'm gonna sleep with Shoji.\Huh?! Wh-What are you saying?\Come on. You've gotta be more considerate, Shoji?\Hey!\Hurry up, let's go. response:	Well, I guess there was nothing to worry about, after all.
context: Really, Jun-chan? Then I guess we should get going.\What are you saying, Nana? You're in this room with Junko.\I'll give my place to Kyosuke. I'm gonna sleep with Shoji.\Huh?! Wh-What are you saying?\Come on. You've gotta be more considerate, Shoji?\Hey!\Hurry up, let's go.\Well, I guess there was nothing to worry about, after all. response:	You think it'll be that simple?
context: What are you saying, Nana? You're in this room with Junko.\I'll give my place to Kyosuke. I'm gonna sleep with Shoji.\Huh?! Wh-What are you saying?\Come on. You've gotta be more considerate, Shoji?\Hey!\Hurry up, let's go.\Well, I guess there was nothing to worry about, after all.\You think it'll be that simple? response:	What are you thinking?
context: I'll give my place to Kyosuke. I'm gonna sleep with Shoji.\Huh?! Wh-What are you saying?\Come on. You've gotta be more considerate, Shoji?\Hey!\Hurry up, let's go.\Well, I guess there was nothing to worry about, after all.\You think it'll be that simple?\What are you thinking? response:	It's really okay.
context: Huh?! Wh-What are you saying?\Come on. You've gotta be more considerate, Shoji?\Hey!\Hurry up, let's go.\Well, I guess there was nothing to worry about, after all.\You think it'll be that simple?\What are you thinking?\It's really okay. response:	There are two beds, and I won't assault you, so don't worry.
context: Come on. You've gotta be more considerate, Shoji?\Hey!\Hurry up, let's go.\Well, I guess there was nothing to worry about, after all.\You think it'll be that simple?\What are you thinking?\It's really okay.\There are two beds, and I won't assault you, so don't worry. response:	I can even sing you a lullaby like your grandmother.
context: Hey!\Hurry up, let's go.\Well, I guess there was nothing to worry about, after all.\You think it'll be that simple?\What are you thinking?\It's really okay.\There are two beds, and I won't assault you, so don't worry.\I can even sing you a lullaby like your grandmother. response:	Never mind! You may be fine with this, but I'm not!
context: Hurry up, let's go.\Well, I guess there was nothing to worry about, after all.\You think it'll be that simple?\What are you thinking?\It's really okay.\There are two beds, and I won't assault you, so don't worry.\I can even sing you a lullaby like your grandmother.\Never mind! You may be fine with this, but I'm not! response:	I might force myself on you!
context: Well, I guess there was nothing to worry about, after all.\You think it'll be that simple?\What are you thinking?\It's really okay.\There are two beds, and I won't assault you, so don't worry.\I can even sing you a lullaby like your grandmother.\Never mind! You may be fine with this, but I'm not!\I might force myself on you! response:	Why?
context: You think it'll be that simple?\What are you thinking?\It's really okay.\There are two beds, and I won't assault you, so don't worry.\I can even sing you a lullaby like your grandmother.\Never mind! You may be fine with this, but I'm not!\I might force myself on you!\Why? response:	Why, she says...
context: What are you thinking?\It's really okay.\There are two beds, and I won't assault you, so don't worry.\I can even sing you a lullaby like your grandmother.\Never mind! You may be fine with this, but I'm not!\I might force myself on you!\Why?\Why, she says... response:	We're friends, right?
context: It's really okay.\There are two beds, and I won't assault you, so don't worry.\I can even sing you a lullaby like your grandmother.\Never mind! You may be fine with this, but I'm not!\I might force myself on you!\Why?\Why, she says...\We're friends, right? response:	Nana, you really have no clue about men.
context: There are two beds, and I won't assault you, so don't worry.\I can even sing you a lullaby like your grandmother.\Never mind! You may be fine with this, but I'm not!\I might force myself on you!\Why?\Why, she says...\We're friends, right?\Nana, you really have no clue about men. response:	A guy can do it with a girl even if he has no feelings of love for her.
context: I can even sing you a lullaby like your grandmother.\Never mind! You may be fine with this, but I'm not!\I might force myself on you!\Why?\Why, she says...\We're friends, right?\Nana, you really have no clue about men.\A guy can do it with a girl even if he has no feelings of love for her. response:	I know that.
context: Never mind! You may be fine with this, but I'm not!\I might force myself on you!\Why?\Why, she says...\We're friends, right?\Nana, you really have no clue about men.\A guy can do it with a girl even if he has no feelings of love for her.\I know that. response:	But I believed that you weren't like those types of guys.
context: I might force myself on you!\Why?\Why, she says...\We're friends, right?\Nana, you really have no clue about men.\A guy can do it with a girl even if he has no feelings of love for her.\I know that.\But I believed that you weren't like those types of guys. response:	Jun-chan even guaranteed it.
context: Why?\Why, she says...\We're friends, right?\Nana, you really have no clue about men.\A guy can do it with a girl even if he has no feelings of love for her.\I know that.\But I believed that you weren't like those types of guys.\Jun-chan even guaranteed it. response:	I'm afraid that I am like that!
context: Why, she says...\We're friends, right?\Nana, you really have no clue about men.\A guy can do it with a girl even if he has no feelings of love for her.\I know that.\But I believed that you weren't like those types of guys.\Jun-chan even guaranteed it.\I'm afraid that I am like that! response:	I don't know what Junko guaranteed you...
context: We're friends, right?\Nana, you really have no clue about men.\A guy can do it with a girl even if he has no feelings of love for her.\I know that.\But I believed that you weren't like those types of guys.\Jun-chan even guaranteed it.\I'm afraid that I am like that!\I don't know what Junko guaranteed you... response:	Hey, why are you crying?
context: Nana, you really have no clue about men.\A guy can do it with a girl even if he has no feelings of love for her.\I know that.\But I believed that you weren't like those types of guys.\Jun-chan even guaranteed it.\I'm afraid that I am like that!\I don't know what Junko guaranteed you...\Hey, why are you crying? response:	Because I really like you, Shoji,
context: A guy can do it with a girl even if he has no feelings of love for her.\I know that.\But I believed that you weren't like those types of guys.\Jun-chan even guaranteed it.\I'm afraid that I am like that!\I don't know what Junko guaranteed you...\Hey, why are you crying?\Because I really like you, Shoji, response:	but you say things that make me lose interest in you!
context: I know that.\But I believed that you weren't like those types of guys.\Jun-chan even guaranteed it.\I'm afraid that I am like that!\I don't know what Junko guaranteed you...\Hey, why are you crying?\Because I really like you, Shoji,\but you say things that make me lose interest in you! response:	Ah, say, Nana.
context: But I believed that you weren't like those types of guys.\Jun-chan even guaranteed it.\I'm afraid that I am like that!\I don't know what Junko guaranteed you...\Hey, why are you crying?\Because I really like you, Shoji,\but you say things that make me lose interest in you!\Ah, say, Nana. response:	When you say you like me, you mean as a friend, right?
context: Jun-chan even guaranteed it.\I'm afraid that I am like that!\I don't know what Junko guaranteed you...\Hey, why are you crying?\Because I really like you, Shoji,\but you say things that make me lose interest in you!\Ah, say, Nana.\When you say you like me, you mean as a friend, right? response:	That's right.
context: I'm afraid that I am like that!\I don't know what Junko guaranteed you...\Hey, why are you crying?\Because I really like you, Shoji,\but you say things that make me lose interest in you!\Ah, say, Nana.\When you say you like me, you mean as a friend, right?\That's right. response:	You are the most precious guy friend I have.
context: I don't know what Junko guaranteed you...\Hey, why are you crying?\Because I really like you, Shoji,\but you say things that make me lose interest in you!\Ah, say, Nana.\When you say you like me, you mean as a friend, right?\That's right.\You are the most precious guy friend I have. response:	I like you not as the male species, but as a human being!
context: Hey, why are you crying?\Because I really like you, Shoji,\but you say things that make me lose interest in you!\Ah, say, Nana.\When you say you like me, you mean as a friend, right?\That's right.\You are the most precious guy friend I have.\I like you not as the male species, but as a human being! response:	But you're right.
context: Because I really like you, Shoji,\but you say things that make me lose interest in you!\Ah, say, Nana.\When you say you like me, you mean as a friend, right?\That's right.\You are the most precious guy friend I have.\I like you not as the male species, but as a human being!\But you're right. response:	Since you are a member of the male species,
context: but you say things that make me lose interest in you!\Ah, say, Nana.\When you say you like me, you mean as a friend, right?\That's right.\You are the most precious guy friend I have.\I like you not as the male species, but as a human being!\But you're right.\Since you are a member of the male species, response:	it may be dangerous to be sleeping in the same room.
context: Ah, say, Nana.\When you say you like me, you mean as a friend, right?\That's right.\You are the most precious guy friend I have.\I like you not as the male species, but as a human being!\But you're right.\Since you are a member of the male species,\it may be dangerous to be sleeping in the same room. response:	I was mistaken.
context: When you say you like me, you mean as a friend, right?\That's right.\You are the most precious guy friend I have.\I like you not as the male species, but as a human being!\But you're right.\Since you are a member of the male species,\it may be dangerous to be sleeping in the same room.\I was mistaken. response:	It's hard for a guy and a girl to be friends, right, Sho-chan?
context: That's right.\You are the most precious guy friend I have.\I like you not as the male species, but as a human being!\But you're right.\Since you are a member of the male species,\it may be dangerous to be sleeping in the same room.\I was mistaken.\It's hard for a guy and a girl to be friends, right, Sho-chan? response:	But we'll do our best.
context: You are the most precious guy friend I have.\I like you not as the male species, but as a human being!\But you're right.\Since you are a member of the male species,\it may be dangerous to be sleeping in the same room.\I was mistaken.\It's hard for a guy and a girl to be friends, right, Sho-chan?\But we'll do our best. response:	Well then, I'd better be going back to my own room.
context: I like you not as the male species, but as a human being!\But you're right.\Since you are a member of the male species,\it may be dangerous to be sleeping in the same room.\I was mistaken.\It's hard for a guy and a girl to be friends, right, Sho-chan?\But we'll do our best.\Well then, I'd better be going back to my own room. response:	Wait, Nana! That's not a good idea!
context: But you're right.\Since you are a member of the male species,\it may be dangerous to be sleeping in the same room.\I was mistaken.\It's hard for a guy and a girl to be friends, right, Sho-chan?\But we'll do our best.\Well then, I'd better be going back to my own room.\Wait, Nana! That's not a good idea! response:	Huh?
context: Since you are a member of the male species,\it may be dangerous to be sleeping in the same room.\I was mistaken.\It's hard for a guy and a girl to be friends, right, Sho-chan?\But we'll do our best.\Well then, I'd better be going back to my own room.\Wait, Nana! That's not a good idea!\Huh? response:	They're probably in the middle of... you know...
context: it may be dangerous to be sleeping in the same room.\I was mistaken.\It's hard for a guy and a girl to be friends, right, Sho-chan?\But we'll do our best.\Well then, I'd better be going back to my own room.\Wait, Nana! That's not a good idea!\Huh?\They're probably in the middle of... you know... response:	Oh, right! What should I do?
context: I was mistaken.\It's hard for a guy and a girl to be friends, right, Sho-chan?\But we'll do our best.\Well then, I'd better be going back to my own room.\Wait, Nana! That's not a good idea!\Huh?\They're probably in the middle of... you know...\Oh, right! What should I do? response:	When do you think they'll be done?
context: It's hard for a guy and a girl to be friends, right, Sho-chan?\But we'll do our best.\Well then, I'd better be going back to my own room.\Wait, Nana! That's not a good idea!\Huh?\They're probably in the middle of... you know...\Oh, right! What should I do?\When do you think they'll be done? response:	Don't ask me.
context: But we'll do our best.\Well then, I'd better be going back to my own room.\Wait, Nana! That's not a good idea!\Huh?\They're probably in the middle of... you know...\Oh, right! What should I do?\When do you think they'll be done?\Don't ask me. response:	We've got a problem.
context: Well then, I'd better be going back to my own room.\Wait, Nana! That's not a good idea!\Huh?\They're probably in the middle of... you know...\Oh, right! What should I do?\When do you think they'll be done?\Don't ask me.\We've got a problem. response:	All right, I've got it, Nana. Sleep right there!
context: Wait, Nana! That's not a good idea!\Huh?\They're probably in the middle of... you know...\Oh, right! What should I do?\When do you think they'll be done?\Don't ask me.\We've got a problem.\All right, I've got it, Nana. Sleep right there! response:	Huh?
context: Huh?\They're probably in the middle of... you know...\Oh, right! What should I do?\When do you think they'll be done?\Don't ask me.\We've got a problem.\All right, I've got it, Nana. Sleep right there!\Huh? response:	I'll sleep in this bed.
context: They're probably in the middle of... you know...\Oh, right! What should I do?\When do you think they'll be done?\Don't ask me.\We've got a problem.\All right, I've got it, Nana. Sleep right there!\Huh?\I'll sleep in this bed. response:	No, Shoji! It's dangerous!
context: Oh, right! What should I do?\When do you think they'll be done?\Don't ask me.\We've got a problem.\All right, I've got it, Nana. Sleep right there!\Huh?\I'll sleep in this bed.\No, Shoji! It's dangerous! response:	No need to worry!
context: When do you think they'll be done?\Don't ask me.\We've got a problem.\All right, I've got it, Nana. Sleep right there!\Huh?\I'll sleep in this bed.\No, Shoji! It's dangerous!\No need to worry! response:	Why's that?
context: Don't ask me.\We've got a problem.\All right, I've got it, Nana. Sleep right there!\Huh?\I'll sleep in this bed.\No, Shoji! It's dangerous!\No need to worry!\Why's that? response:	You said a moment ago that you lost interest in me, right?
context: We've got a problem.\All right, I've got it, Nana. Sleep right there!\Huh?\I'll sleep in this bed.\No, Shoji! It's dangerous!\No need to worry!\Why's that?\You said a moment ago that you lost interest in me, right? response:	I need to regain that trust that I lost!
context: All right, I've got it, Nana. Sleep right there!\Huh?\I'll sleep in this bed.\No, Shoji! It's dangerous!\No need to worry!\Why's that?\You said a moment ago that you lost interest in me, right?\I need to regain that trust that I lost! response:	For the sake of our friendship! Good night!
context: Huh?\I'll sleep in this bed.\No, Shoji! It's dangerous!\No need to worry!\Why's that?\You said a moment ago that you lost interest in me, right?\I need to regain that trust that I lost!\For the sake of our friendship! Good night! response:	Shoji...
context: I'll sleep in this bed.\No, Shoji! It's dangerous!\No need to worry!\Why's that?\You said a moment ago that you lost interest in me, right?\I need to regain that trust that I lost!\For the sake of our friendship! Good night!\Shoji... response:	I love you!
