context: This will be the last day of your training. response:	Your joke studies might have been a little lacking,
context: The Saiyans will land on Earth tomorrow.\Oh, hell!\W-what!? What's wrong!?\Well, it's just that- I didn't figure the time it would take\for you to go down the Serpentine Road again into my calculations.\K- Kaio- sama, you mean you can't send me whooshing back to the Lower Realm!?\No...\I- I have to travel back down that road again!? response:	It took me all of half a year just to come here!
context: Oh, hell!\W-what!? What's wrong!?\Well, it's just that- I didn't figure the time it would take\for you to go down the Serpentine Road again into my calculations.\K- Kaio- sama, you mean you can't send me whooshing back to the Lower Realm!?\No...\I- I have to travel back down that road again!?\It took me all of half a year just to come here! response:	Well, as you are now, you can get there in two days.
context: W-what!? What's wrong!?\Well, it's just that- I didn't figure the time it would take\for you to go down the Serpentine Road again into my calculations.\K- Kaio- sama, you mean you can't send me whooshing back to the Lower Realm!?\No...\I- I have to travel back down that road again!?\It took me all of half a year just to come here!\Well, as you are now, you can get there in two days. response:	I'll tell Earth's Kami to come and pick you up.
context: Well, it's just that- I didn't figure the time it would take\for you to go down the Serpentine Road again into my calculations.\K- Kaio- sama, you mean you can't send me whooshing back to the Lower Realm!?\No...\I- I have to travel back down that road again!?\It took me all of half a year just to come here!\Well, as you are now, you can get there in two days.\I'll tell Earth's Kami to come and pick you up. response:	That will still be a day too late! Everyone will be killed!
context: for you to go down the Serpentine Road again into my calculations.\K- Kaio- sama, you mean you can't send me whooshing back to the Lower Realm!?\No...\I- I have to travel back down that road again!?\It took me all of half a year just to come here!\Well, as you are now, you can get there in two days.\I'll tell Earth's Kami to come and pick you up.\That will still be a day too late! Everyone will be killed! response:	Stop your griping! Even I make mistakes sometimes!
context: K- Kaio- sama, you mean you can't send me whooshing back to the Lower Realm!?\No...\I- I have to travel back down that road again!?\It took me all of half a year just to come here!\Well, as you are now, you can get there in two days.\I'll tell Earth's Kami to come and pick you up.\That will still be a day too late! Everyone will be killed!\Stop your griping! Even I make mistakes sometimes! response:	Now, hurry and tell your friends on Earth
context: No...\I- I have to travel back down that road again!?\It took me all of half a year just to come here!\Well, as you are now, you can get there in two days.\I'll tell Earth's Kami to come and pick you up.\That will still be a day too late! Everyone will be killed!\Stop your griping! Even I make mistakes sometimes!\Now, hurry and tell your friends on Earth response:	to use those Dragonball things to have you brought back to life!
context: I- I have to travel back down that road again!?\It took me all of half a year just to come here!\Well, as you are now, you can get there in two days.\I'll tell Earth's Kami to come and pick you up.\That will still be a day too late! Everyone will be killed!\Stop your griping! Even I make mistakes sometimes!\Now, hurry and tell your friends on Earth\to use those Dragonball things to have you brought back to life! response:	Tell them!? How!?
context: It took me all of half a year just to come here!\Well, as you are now, you can get there in two days.\I'll tell Earth's Kami to come and pick you up.\That will still be a day too late! Everyone will be killed!\Stop your griping! Even I make mistakes sometimes!\Now, hurry and tell your friends on Earth\to use those Dragonball things to have you brought back to life!\Tell them!? How!? response:	Put one of your hands on my back, and speak to them inside your mind.
context: Well, as you are now, you can get there in two days.\I'll tell Earth's Kami to come and pick you up.\That will still be a day too late! Everyone will be killed!\Stop your griping! Even I make mistakes sometimes!\Now, hurry and tell your friends on Earth\to use those Dragonball things to have you brought back to life!\Tell them!? How!?\Put one of your hands on my back, and speak to them inside your mind. response:	That will get through to them.
context: I'll tell Earth's Kami to come and pick you up.\That will still be a day too late! Everyone will be killed!\Stop your griping! Even I make mistakes sometimes!\Now, hurry and tell your friends on Earth\to use those Dragonball things to have you brought back to life!\Tell them!? How!?\Put one of your hands on my back, and speak to them inside your mind.\That will get through to them. response:	R- really?
context: That will still be a day too late! Everyone will be killed!\Stop your griping! Even I make mistakes sometimes!\Now, hurry and tell your friends on Earth\to use those Dragonball things to have you brought back to life!\Tell them!? How!?\Put one of your hands on my back, and speak to them inside your mind.\That will get through to them.\R- really? response:	Like this?
context: Stop your griping! Even I make mistakes sometimes!\Now, hurry and tell your friends on Earth\to use those Dragonball things to have you brought back to life!\Tell them!? How!?\Put one of your hands on my back, and speak to them inside your mind.\That will get through to them.\R- really?\Like this? response:	Hurry and tell them!
context: Now, hurry and tell your friends on Earth\to use those Dragonball things to have you brought back to life!\Tell them!? How!?\Put one of your hands on my back, and speak to them inside your mind.\That will get through to them.\R- really?\Like this?\Hurry and tell them! response:	O - Old Timer! lt's Goku! Can you hear me? Hey, Old Timer!
context: to use those Dragonball things to have you brought back to life!\Tell them!? How!?\Put one of your hands on my back, and speak to them inside your mind.\That will get through to them.\R- really?\Like this?\Hurry and tell them!\O - Old Timer! lt's Goku! Can you hear me? Hey, Old Timer! response:	Nice! What a hot gal!
context: Tell them!? How!?\Put one of your hands on my back, and speak to them inside your mind.\That will get through to them.\R- really?\Like this?\Hurry and tell them!\O - Old Timer! lt's Goku! Can you hear me? Hey, Old Timer!\Nice! What a hot gal! response:	G- Goku!? Goku, is that you!? W- where are you!? Where are you!?
context: Put one of your hands on my back, and speak to them inside your mind.\That will get through to them.\R- really?\Like this?\Hurry and tell them!\O - Old Timer! lt's Goku! Can you hear me? Hey, Old Timer!\Nice! What a hot gal!\G- Goku!? Goku, is that you!? W- where are you!? Where are you!? response:	He heard me! Old Timer, l'm still in the Next World.
context: That will get through to them.\R- really?\Like this?\Hurry and tell them!\O - Old Timer! lt's Goku! Can you hear me? Hey, Old Timer!\Nice! What a hot gal!\G- Goku!? Goku, is that you!? W- where are you!? Where are you!?\He heard me! Old Timer, l'm still in the Next World. response:	l'm talking to you with my mind from here.
context: R- really?\Like this?\Hurry and tell them!\O - Old Timer! lt's Goku! Can you hear me? Hey, Old Timer!\Nice! What a hot gal!\G- Goku!? Goku, is that you!? W- where are you!? Where are you!?\He heard me! Old Timer, l'm still in the Next World.\l'm talking to you with my mind from here. response:	The Next World?
context: Like this?\Hurry and tell them!\O - Old Timer! lt's Goku! Can you hear me? Hey, Old Timer!\Nice! What a hot gal!\G- Goku!? Goku, is that you!? W- where are you!? Where are you!?\He heard me! Old Timer, l'm still in the Next World.\l'm talking to you with my mind from here.\The Next World? response:	Have you gotten all the Dragonballs together?
context: Hurry and tell them!\O - Old Timer! lt's Goku! Can you hear me? Hey, Old Timer!\Nice! What a hot gal!\G- Goku!? Goku, is that you!? W- where are you!? Where are you!?\He heard me! Old Timer, l'm still in the Next World.\l'm talking to you with my mind from here.\The Next World?\Have you gotten all the Dragonballs together? response:	Y- yeah. We've had them together for a while now, just to save you.
context: O - Old Timer! lt's Goku! Can you hear me? Hey, Old Timer!\Nice! What a hot gal!\G- Goku!? Goku, is that you!? W- where are you!? Where are you!?\He heard me! Old Timer, l'm still in the Next World.\l'm talking to you with my mind from here.\The Next World?\Have you gotten all the Dragonballs together?\Y- yeah. We've had them together for a while now, just to save you. response:	We all searched for them like mad.
context: Nice! What a hot gal!\G- Goku!? Goku, is that you!? W- where are you!? Where are you!?\He heard me! Old Timer, l'm still in the Next World.\l'm talking to you with my mind from here.\The Next World?\Have you gotten all the Dragonballs together?\Y- yeah. We've had them together for a while now, just to save you.\We all searched for them like mad. response:	Thanks! So, I hate to ask, but could you summon Shen Long,
context: G- Goku!? Goku, is that you!? W- where are you!? Where are you!?\He heard me! Old Timer, l'm still in the Next World.\l'm talking to you with my mind from here.\The Next World?\Have you gotten all the Dragonballs together?\Y- yeah. We've had them together for a while now, just to save you.\We all searched for them like mad.\Thanks! So, I hate to ask, but could you summon Shen Long, response:	and get me brought back to life?
context: He heard me! Old Timer, l'm still in the Next World.\l'm talking to you with my mind from here.\The Next World?\Have you gotten all the Dragonballs together?\Y- yeah. We've had them together for a while now, just to save you.\We all searched for them like mad.\Thanks! So, I hate to ask, but could you summon Shen Long,\and get me brought back to life? response:	The Saiyans are going to be on Earth tomorrow!
context: l'm talking to you with my mind from here.\The Next World?\Have you gotten all the Dragonballs together?\Y- yeah. We've had them together for a while now, just to save you.\We all searched for them like mad.\Thanks! So, I hate to ask, but could you summon Shen Long,\and get me brought back to life?\The Saiyans are going to be on Earth tomorrow! response:	W- what!?
context: The Next World?\Have you gotten all the Dragonballs together?\Y- yeah. We've had them together for a while now, just to save you.\We all searched for them like mad.\Thanks! So, I hate to ask, but could you summon Shen Long,\and get me brought back to life?\The Saiyans are going to be on Earth tomorrow!\W- what!? response:	T- tomorrow, already? That's a whole month sooner than we thought.
context: Have you gotten all the Dragonballs together?\Y- yeah. We've had them together for a while now, just to save you.\We all searched for them like mad.\Thanks! So, I hate to ask, but could you summon Shen Long,\and get me brought back to life?\The Saiyans are going to be on Earth tomorrow!\W- what!?\T- tomorrow, already? That's a whole month sooner than we thought. response:	Hurry, Old Timer.
context: Y- yeah. We've had them together for a while now, just to save you.\We all searched for them like mad.\Thanks! So, I hate to ask, but could you summon Shen Long,\and get me brought back to life?\The Saiyans are going to be on Earth tomorrow!\W- what!?\T- tomorrow, already? That's a whole month sooner than we thought.\Hurry, Old Timer. response:	l'm going to be a little late, but I promise you, l'll manage something!
context: We all searched for them like mad.\Thanks! So, I hate to ask, but could you summon Shen Long,\and get me brought back to life?\The Saiyans are going to be on Earth tomorrow!\W- what!?\T- tomorrow, already? That's a whole month sooner than we thought.\Hurry, Old Timer.\l'm going to be a little late, but I promise you, l'll manage something! response:	Hey, Goku!
context: Thanks! So, I hate to ask, but could you summon Shen Long,\and get me brought back to life?\The Saiyans are going to be on Earth tomorrow!\W- what!?\T- tomorrow, already? That's a whole month sooner than we thought.\Hurry, Old Timer.\l'm going to be a little late, but I promise you, l'll manage something!\Hey, Goku! response:	Um, you're hurting me...
context: and get me brought back to life?\The Saiyans are going to be on Earth tomorrow!\W- what!?\T- tomorrow, already? That's a whole month sooner than we thought.\Hurry, Old Timer.\l'm going to be a little late, but I promise you, l'll manage something!\Hey, Goku!\Um, you're hurting me... response:	I'm sorry!
context: The Saiyans are going to be on Earth tomorrow!\W- what!?\T- tomorrow, already? That's a whole month sooner than we thought.\Hurry, Old Timer.\l'm going to be a little late, but I promise you, l'll manage something!\Hey, Goku!\Um, you're hurting me...\I'm sorry! response:	A- all right, you got it! By the way, Goku, how did it go?
context: W- what!?\T- tomorrow, already? That's a whole month sooner than we thought.\Hurry, Old Timer.\l'm going to be a little late, but I promise you, l'll manage something!\Hey, Goku!\Um, you're hurting me...\I'm sorry!\A- all right, you got it! By the way, Goku, how did it go? response:	I heard you were training there in the Next World. How did that turn out?
context: T- tomorrow, already? That's a whole month sooner than we thought.\Hurry, Old Timer.\l'm going to be a little late, but I promise you, l'll manage something!\Hey, Goku!\Um, you're hurting me...\I'm sorry!\A- all right, you got it! By the way, Goku, how did it go?\I heard you were training there in the Next World. How did that turn out? response:	Fantastic!
context: Hurry, Old Timer.\l'm going to be a little late, but I promise you, l'll manage something!\Hey, Goku!\Um, you're hurting me...\I'm sorry!\A- all right, you got it! By the way, Goku, how did it go?\I heard you were training there in the Next World. How did that turn out?\Fantastic! response:	That's a relief to hear.
context: l'm going to be a little late, but I promise you, l'll manage something!\Hey, Goku!\Um, you're hurting me...\I'm sorry!\A- all right, you got it! By the way, Goku, how did it go?\I heard you were training there in the Next World. How did that turn out?\Fantastic!\That's a relief to hear. response:	Hey, is he all right?
context: Hey, Goku!\Um, you're hurting me...\I'm sorry!\A- all right, you got it! By the way, Goku, how did it go?\I heard you were training there in the Next World. How did that turn out?\Fantastic!\That's a relief to hear.\Hey, is he all right? response:	Old Man Turtle Hermit is muttering to himself in the bathroom.
context: Um, you're hurting me...\I'm sorry!\A- all right, you got it! By the way, Goku, how did it go?\I heard you were training there in the Next World. How did that turn out?\Fantastic!\That's a relief to hear.\Hey, is he all right?\Old Man Turtle Hermit is muttering to himself in the bathroom. response:	I wonder if he's gone senile...
context: I'm sorry!\A- all right, you got it! By the way, Goku, how did it go?\I heard you were training there in the Next World. How did that turn out?\Fantastic!\That's a relief to hear.\Hey, is he all right?\Old Man Turtle Hermit is muttering to himself in the bathroom.\I wonder if he's gone senile... response:	Hey! Get the Dragonballs ready, now!
context: A- all right, you got it! By the way, Goku, how did it go?\I heard you were training there in the Next World. How did that turn out?\Fantastic!\That's a relief to hear.\Hey, is he all right?\Old Man Turtle Hermit is muttering to himself in the bathroom.\I wonder if he's gone senile...\Hey! Get the Dragonballs ready, now! response:	That was amazing, Kaio- sama! I got right through to him!
context: I heard you were training there in the Next World. How did that turn out?\Fantastic!\That's a relief to hear.\Hey, is he all right?\Old Man Turtle Hermit is muttering to himself in the bathroom.\I wonder if he's gone senile...\Hey! Get the Dragonballs ready, now!\That was amazing, Kaio- sama! I got right through to him! response:	Well, sure you did.
context: Fantastic!\That's a relief to hear.\Hey, is he all right?\Old Man Turtle Hermit is muttering to himself in the bathroom.\I wonder if he's gone senile...\Hey! Get the Dragonballs ready, now!\That was amazing, Kaio- sama! I got right through to him!\Well, sure you did. response:	I can finally come back to life.
context: That's a relief to hear.\Hey, is he all right?\Old Man Turtle Hermit is muttering to himself in the bathroom.\I wonder if he's gone senile...\Hey! Get the Dragonballs ready, now!\That was amazing, Kaio- sama! I got right through to him!\Well, sure you did.\I can finally come back to life. response:	All right. Now, while you're waiting to be brought back to life,
context: Hey, is he all right?\Old Man Turtle Hermit is muttering to himself in the bathroom.\I wonder if he's gone senile...\Hey! Get the Dragonballs ready, now!\That was amazing, Kaio- sama! I got right through to him!\Well, sure you did.\I can finally come back to life.\All right. Now, while you're waiting to be brought back to life, response:	let me do something about those heavy, tattered clothes of yours.
context: Old Man Turtle Hermit is muttering to himself in the bathroom.\I wonder if he's gone senile...\Hey! Get the Dragonballs ready, now!\That was amazing, Kaio- sama! I got right through to him!\Well, sure you did.\I can finally come back to life.\All right. Now, while you're waiting to be brought back to life,\let me do something about those heavy, tattered clothes of yours. response:	Really?
context: I wonder if he's gone senile...\Hey! Get the Dragonballs ready, now!\That was amazing, Kaio- sama! I got right through to him!\Well, sure you did.\I can finally come back to life.\All right. Now, while you're waiting to be brought back to life,\let me do something about those heavy, tattered clothes of yours.\Really? response:	Awesome! They've gotten lighter!
context: Hey! Get the Dragonballs ready, now!\That was amazing, Kaio- sama! I got right through to him!\Well, sure you did.\I can finally come back to life.\All right. Now, while you're waiting to be brought back to life,\let me do something about those heavy, tattered clothes of yours.\Really?\Awesome! They've gotten lighter! response:	They're not just lighter; they're made from a wonderfully hard-wearing fabric.
context: That was amazing, Kaio- sama! I got right through to him!\Well, sure you did.\I can finally come back to life.\All right. Now, while you're waiting to be brought back to life,\let me do something about those heavy, tattered clothes of yours.\Really?\Awesome! They've gotten lighter!\They're not just lighter; they're made from a wonderfully hard-wearing fabric. response:	It will even deflect your more minor attacks.
context: Well, sure you did.\I can finally come back to life.\All right. Now, while you're waiting to be brought back to life,\let me do something about those heavy, tattered clothes of yours.\Really?\Awesome! They've gotten lighter!\They're not just lighter; they're made from a wonderfully hard-wearing fabric.\It will even deflect your more minor attacks. response:	Thank you, Kaio- sama!
context: I can finally come back to life.\All right. Now, while you're waiting to be brought back to life,\let me do something about those heavy, tattered clothes of yours.\Really?\Awesome! They've gotten lighter!\They're not just lighter; they're made from a wonderfully hard-wearing fabric.\It will even deflect your more minor attacks.\Thank you, Kaio- sama! response:	Terrific! The turtle mark is still in its place!
context: All right. Now, while you're waiting to be brought back to life,\let me do something about those heavy, tattered clothes of yours.\Really?\Awesome! They've gotten lighter!\They're not just lighter; they're made from a wonderfully hard-wearing fabric.\It will even deflect your more minor attacks.\Thank you, Kaio- sama!\Terrific! The turtle mark is still in its place! response:	I was worried that my clothes would look ugly, like yours, Kaio- sama!
context: let me do something about those heavy, tattered clothes of yours.\Really?\Awesome! They've gotten lighter!\They're not just lighter; they're made from a wonderfully hard-wearing fabric.\It will even deflect your more minor attacks.\Thank you, Kaio- sama!\Terrific! The turtle mark is still in its place!\I was worried that my clothes would look ugly, like yours, Kaio- sama! response:	Well, excuse me.
