context: Kiss Him, Not Me response:	The Beach! Bathing Suits! Time to Get Serious!
context: I'm pasty and scrawny,\and honestly, I'm not even the outdoors type.\I'm not a fan of the ocean.\I'd rather stay home in the summer!\Maybe I shouldn't have come.\Shinomiya-kun?\Are you okay? You've been in there a while. Do you have a stomachache?\I-I'm okay, no need to worry. response:	Really? Well, that's good to hear.
context: and honestly, I'm not even the outdoors type.\I'm not a fan of the ocean.\I'd rather stay home in the summer!\Maybe I shouldn't have come.\Shinomiya-kun?\Are you okay? You've been in there a while. Do you have a stomachache?\I-I'm okay, no need to worry.\Really? Well, that's good to hear. response:	Hey, you taking a dump? Don't hog the toilet!
context: I'm not a fan of the ocean.\I'd rather stay home in the summer!\Maybe I shouldn't have come.\Shinomiya-kun?\Are you okay? You've been in there a while. Do you have a stomachache?\I-I'm okay, no need to worry.\Really? Well, that's good to hear.\Hey, you taking a dump? Don't hog the toilet! response:	I am not!
context: I'd rather stay home in the summer!\Maybe I shouldn't have come.\Shinomiya-kun?\Are you okay? You've been in there a while. Do you have a stomachache?\I-I'm okay, no need to worry.\Really? Well, that's good to hear.\Hey, you taking a dump? Don't hog the toilet!\I am not! response:	You drop a huge load?
context: Maybe I shouldn't have come.\Shinomiya-kun?\Are you okay? You've been in there a while. Do you have a stomachache?\I-I'm okay, no need to worry.\Really? Well, that's good to hear.\Hey, you taking a dump? Don't hog the toilet!\I am not!\You drop a huge load? response:	As I said, that wasn't it!
context: Shinomiya-kun?\Are you okay? You've been in there a while. Do you have a stomachache?\I-I'm okay, no need to worry.\Really? Well, that's good to hear.\Hey, you taking a dump? Don't hog the toilet!\I am not!\You drop a huge load?\As I said, that wasn't it! response:	Okay, okay. Let's get going.
context: Are you okay? You've been in there a while. Do you have a stomachache?\I-I'm okay, no need to worry.\Really? Well, that's good to hear.\Hey, you taking a dump? Don't hog the toilet!\I am not!\You drop a huge load?\As I said, that wasn't it!\Okay, okay. Let's get going. response:	What is this, kindergarten?
context: I-I'm okay, no need to worry.\Really? Well, that's good to hear.\Hey, you taking a dump? Don't hog the toilet!\I am not!\You drop a huge load?\As I said, that wasn't it!\Okay, okay. Let's get going.\What is this, kindergarten? response:	It's the beach!
context: Really? Well, that's good to hear.\Hey, you taking a dump? Don't hog the toilet!\I am not!\You drop a huge load?\As I said, that wasn't it!\Okay, okay. Let's get going.\What is this, kindergarten?\It's the beach! response:	Mu
context: Hey, you taking a dump? Don't hog the toilet!\I am not!\You drop a huge load?\As I said, that wasn't it!\Okay, okay. Let's get going.\What is this, kindergarten?\It's the beach!\Mu response:	Shi
context: I am not!\You drop a huge load?\As I said, that wasn't it!\Okay, okay. Let's get going.\What is this, kindergarten?\It's the beach!\Mu\Shi response:	Nana
context: You drop a huge load?\As I said, that wasn't it!\Okay, okay. Let's get going.\What is this, kindergarten?\It's the beach!\Mu\Shi\Nana response:	Iga
context: As I said, that wasn't it!\Okay, okay. Let's get going.\What is this, kindergarten?\It's the beach!\Mu\Shi\Nana\Iga response:	S-So cute.
context: Okay, okay. Let's get going.\What is this, kindergarten?\It's the beach!\Mu\Shi\Nana\Iga\S-So cute. response:	Beach! Summer! Thank you!
context: What is this, kindergarten?\It's the beach!\Mu\Shi\Nana\Iga\S-So cute.\Beach! Summer! Thank you! response:	Guys!
context: It's the beach!\Mu\Shi\Nana\Iga\S-So cute.\Beach! Summer! Thank you!\Guys! response:	Wanna try bodyboarding?
context: Mu\Shi\Nana\Iga\S-So cute.\Beach! Summer! Thank you!\Guys!\Wanna try bodyboarding? response:	You can rent boards there.
context: Shi\Nana\Iga\S-So cute.\Beach! Summer! Thank you!\Guys!\Wanna try bodyboarding?\You can rent boards there. response:	Bodyboarding?
context: Nana\Iga\S-So cute.\Beach! Summer! Thank you!\Guys!\Wanna try bodyboarding?\You can rent boards there.\Bodyboarding? response:	Yeah, I like surfing.
context: Iga\S-So cute.\Beach! Summer! Thank you!\Guys!\Wanna try bodyboarding?\You can rent boards there.\Bodyboarding?\Yeah, I like surfing. response:	Same here, it's been a while.
context: S-So cute.\Beach! Summer! Thank you!\Guys!\Wanna try bodyboarding?\You can rent boards there.\Bodyboarding?\Yeah, I like surfing.\Same here, it's been a while. response:	It's over there.
context: Beach! Summer! Thank you!\Guys!\Wanna try bodyboarding?\You can rent boards there.\Bodyboarding?\Yeah, I like surfing.\Same here, it's been a while.\It's over there. response:	Should we bet on who's best?
context: Guys!\Wanna try bodyboarding?\You can rent boards there.\Bodyboarding?\Yeah, I like surfing.\Same here, it's been a while.\It's over there.\Should we bet on who's best? response:	I-I've never done it before.
context: Wanna try bodyboarding?\You can rent boards there.\Bodyboarding?\Yeah, I like surfing.\Same here, it's been a while.\It's over there.\Should we bet on who's best?\I-I've never done it before. response:	Same here.
context: You can rent boards there.\Bodyboarding?\Yeah, I like surfing.\Same here, it's been a while.\It's over there.\Should we bet on who's best?\I-I've never done it before.\Same here. response:	Looks like we're both beginners. Let's work together!
context: Bodyboarding?\Yeah, I like surfing.\Same here, it's been a while.\It's over there.\Should we bet on who's best?\I-I've never done it before.\Same here.\Looks like we're both beginners. Let's work together! response:	Badump
context: Yeah, I like surfing.\Same here, it's been a while.\It's over there.\Should we bet on who's best?\I-I've never done it before.\Same here.\Looks like we're both beginners. Let's work together!\Badump response:	I've never done it, either.
context: Same here, it's been a while.\It's over there.\Should we bet on who's best?\I-I've never done it before.\Same here.\Looks like we're both beginners. Let's work together!\Badump\I've never done it, either. response:	I take it all back.
context: It's over there.\Should we bet on who's best?\I-I've never done it before.\Same here.\Looks like we're both beginners. Let's work together!\Badump\I've never done it, either.\I take it all back. response:	I'm happy I came!
context: Should we bet on who's best?\I-I've never done it before.\Same here.\Looks like we're both beginners. Let's work together!\Badump\I've never done it, either.\I take it all back.\I'm happy I came! response:	Th-Then, since we're both beginners
context: I-I've never done it before.\Same here.\Looks like we're both beginners. Let's work together!\Badump\I've never done it, either.\I take it all back.\I'm happy I came!\Th-Then, since we're both beginners response:	Serinuma-senpai!
context: Same here.\Looks like we're both beginners. Let's work together!\Badump\I've never done it, either.\I take it all back.\I'm happy I came!\Th-Then, since we're both beginners\Serinuma-senpai! response:	Whoa! She's so cool!
context: Looks like we're both beginners. Let's work together!\Badump\I've never done it, either.\I take it all back.\I'm happy I came!\Th-Then, since we're both beginners\Serinuma-senpai!\Whoa! She's so cool! response:	That's so like Shima-chan!
context: Badump\I've never done it, either.\I take it all back.\I'm happy I came!\Th-Then, since we're both beginners\Serinuma-senpai!\Whoa! She's so cool!\That's so like Shima-chan! response:	Y-Yeah, you're right.
context: I've never done it, either.\I take it all back.\I'm happy I came!\Th-Then, since we're both beginners\Serinuma-senpai!\Whoa! She's so cool!\That's so like Shima-chan!\Y-Yeah, you're right. response:	Damn her and her unfair advantages!
context: I take it all back.\I'm happy I came!\Th-Then, since we're both beginners\Serinuma-senpai!\Whoa! She's so cool!\That's so like Shima-chan!\Y-Yeah, you're right.\Damn her and her unfair advantages! response:	W-Well, I'm sure we'll get the hang of it in no time.
context: I'm happy I came!\Th-Then, since we're both beginners\Serinuma-senpai!\Whoa! She's so cool!\That's so like Shima-chan!\Y-Yeah, you're right.\Damn her and her unfair advantages!\W-Well, I'm sure we'll get the hang of it in no time. response:	You th-think so?
context: Th-Then, since we're both beginners\Serinuma-senpai!\Whoa! She's so cool!\That's so like Shima-chan!\Y-Yeah, you're right.\Damn her and her unfair advantages!\W-Well, I'm sure we'll get the hang of it in no time.\You th-think so? response:	We've just got to keep the right posture, and...
context: Serinuma-senpai!\Whoa! She's so cool!\That's so like Shima-chan!\Y-Yeah, you're right.\Damn her and her unfair advantages!\W-Well, I'm sure we'll get the hang of it in no time.\You th-think so?\We've just got to keep the right posture, and... response:	Shinomiya-kun!
context: Whoa! She's so cool!\That's so like Shima-chan!\Y-Yeah, you're right.\Damn her and her unfair advantages!\W-Well, I'm sure we'll get the hang of it in no time.\You th-think so?\We've just got to keep the right posture, and...\Shinomiya-kun! response:	Th-That was so uncool!
context: That's so like Shima-chan!\Y-Yeah, you're right.\Damn her and her unfair advantages!\W-Well, I'm sure we'll get the hang of it in no time.\You th-think so?\We've just got to keep the right posture, and...\Shinomiya-kun!\Th-That was so uncool! response:	Are you oka
context: Y-Yeah, you're right.\Damn her and her unfair advantages!\W-Well, I'm sure we'll get the hang of it in no time.\You th-think so?\We've just got to keep the right posture, and...\Shinomiya-kun!\Th-That was so uncool!\Are you oka response:	Serinuma-senpai!
context: Damn her and her unfair advantages!\W-Well, I'm sure we'll get the hang of it in no time.\You th-think so?\We've just got to keep the right posture, and...\Shinomiya-kun!\Th-That was so uncool!\Are you oka\Serinuma-senpai! response:	Did you swallow any water?
context: W-Well, I'm sure we'll get the hang of it in no time.\You th-think so?\We've just got to keep the right posture, and...\Shinomiya-kun!\Th-That was so uncool!\Are you oka\Serinuma-senpai!\Did you swallow any water? response:	I'm fine. Thanks.
context: You th-think so?\We've just got to keep the right posture, and...\Shinomiya-kun!\Th-That was so uncool!\Are you oka\Serinuma-senpai!\Did you swallow any water?\I'm fine. Thanks. response:	Shinomiya-kun, there's seaweed on your head.
context: We've just got to keep the right posture, and...\Shinomiya-kun!\Th-That was so uncool!\Are you oka\Serinuma-senpai!\Did you swallow any water?\I'm fine. Thanks.\Shinomiya-kun, there's seaweed on your head. response:	You, too.
context: Shinomiya-kun!\Th-That was so uncool!\Are you oka\Serinuma-senpai!\Did you swallow any water?\I'm fine. Thanks.\Shinomiya-kun, there's seaweed on your head.\You, too. response:	We match!
context: Th-That was so uncool!\Are you oka\Serinuma-senpai!\Did you swallow any water?\I'm fine. Thanks.\Shinomiya-kun, there's seaweed on your head.\You, too.\We match! response:	What's this? Everything's going really well!
context: Are you oka\Serinuma-senpai!\Did you swallow any water?\I'm fine. Thanks.\Shinomiya-kun, there's seaweed on your head.\You, too.\We match!\What's this? Everything's going really well! response:	Maybe it was a good thing that I couldn't do it.
context: Serinuma-senpai!\Did you swallow any water?\I'm fine. Thanks.\Shinomiya-kun, there's seaweed on your head.\You, too.\We match!\What's this? Everything's going really well!\Maybe it was a good thing that I couldn't do it. response:	Serinuma-senpai, let's practice tog
context: Did you swallow any water?\I'm fine. Thanks.\Shinomiya-kun, there's seaweed on your head.\You, too.\We match!\What's this? Everything's going really well!\Maybe it was a good thing that I couldn't do it.\Serinuma-senpai, let's practice tog response:	Look at them!
context: I'm fine. Thanks.\Shinomiya-kun, there's seaweed on your head.\You, too.\We match!\What's this? Everything's going really well!\Maybe it was a good thing that I couldn't do it.\Serinuma-senpai, let's practice tog\Look at them! response:	They're so hot!
context: Shinomiya-kun, there's seaweed on your head.\You, too.\We match!\What's this? Everything's going really well!\Maybe it was a good thing that I couldn't do it.\Serinuma-senpai, let's practice tog\Look at them!\They're so hot! response:	Amazing! You guys look like pros!
context: You, too.\We match!\What's this? Everything's going really well!\Maybe it was a good thing that I couldn't do it.\Serinuma-senpai, let's practice tog\Look at them!\They're so hot!\Amazing! You guys look like pros! response:	You're pretty good.
context: We match!\What's this? Everything's going really well!\Maybe it was a good thing that I couldn't do it.\Serinuma-senpai, let's practice tog\Look at them!\They're so hot!\Amazing! You guys look like pros!\You're pretty good. response:	D-Damn!
context: What's this? Everything's going really well!\Maybe it was a good thing that I couldn't do it.\Serinuma-senpai, let's practice tog\Look at them!\They're so hot!\Amazing! You guys look like pros!\You're pretty good.\D-Damn! response:	This is no time for seaweed!
context: Maybe it was a good thing that I couldn't do it.\Serinuma-senpai, let's practice tog\Look at them!\They're so hot!\Amazing! You guys look like pros!\You're pretty good.\D-Damn!\This is no time for seaweed! response:	Nanashima-senpai, lend me your board.
context: Serinuma-senpai, let's practice tog\Look at them!\They're so hot!\Amazing! You guys look like pros!\You're pretty good.\D-Damn!\This is no time for seaweed!\Nanashima-senpai, lend me your board. response:	H-Hey!
context: Look at them!\They're so hot!\Amazing! You guys look like pros!\You're pretty good.\D-Damn!\This is no time for seaweed!\Nanashima-senpai, lend me your board.\H-Hey! response:	I can do this, too.
context: They're so hot!\Amazing! You guys look like pros!\You're pretty good.\D-Damn!\This is no time for seaweed!\Nanashima-senpai, lend me your board.\H-Hey!\I can do this, too. response:	Don't tell me he's gonna try and surf?
context: Amazing! You guys look like pros!\You're pretty good.\D-Damn!\This is no time for seaweed!\Nanashima-senpai, lend me your board.\H-Hey!\I can do this, too.\Don't tell me he's gonna try and surf? response:	Hey! You can't do it without practice!
context: You're pretty good.\D-Damn!\This is no time for seaweed!\Nanashima-senpai, lend me your board.\H-Hey!\I can do this, too.\Don't tell me he's gonna try and surf?\Hey! You can't do it without practice! response:	I'm going to show her how cool I can be.
context: D-Damn!\This is no time for seaweed!\Nanashima-senpai, lend me your board.\H-Hey!\I can do this, too.\Don't tell me he's gonna try and surf?\Hey! You can't do it without practice!\I'm going to show her how cool I can be. response:	Now!
context: This is no time for seaweed!\Nanashima-senpai, lend me your board.\H-Hey!\I can do this, too.\Don't tell me he's gonna try and surf?\Hey! You can't do it without practice!\I'm going to show her how cool I can be.\Now! response:	Clara stood up!
context: Nanashima-senpai, lend me your board.\H-Hey!\I can do this, too.\Don't tell me he's gonna try and surf?\Hey! You can't do it without practice!\I'm going to show her how cool I can be.\Now!\Clara stood up! response:	Amazing, Shinomiya-kun!
context: H-Hey!\I can do this, too.\Don't tell me he's gonna try and surf?\Hey! You can't do it without practice!\I'm going to show her how cool I can be.\Now!\Clara stood up!\Amazing, Shinomiya-kun! response:	You're riding the wave!
context: I can do this, too.\Don't tell me he's gonna try and surf?\Hey! You can't do it without practice!\I'm going to show her how cool I can be.\Now!\Clara stood up!\Amazing, Shinomiya-kun!\You're riding the wave! response:	I did it!
context: Don't tell me he's gonna try and surf?\Hey! You can't do it without practice!\I'm going to show her how cool I can be.\Now!\Clara stood up!\Amazing, Shinomiya-kun!\You're riding the wave!\I did it! response:	Look at me, Serinuma-senpai!
context: Hey! You can't do it without practice!\I'm going to show her how cool I can be.\Now!\Clara stood up!\Amazing, Shinomiya-kun!\You're riding the wave!\I did it!\Look at me, Serinuma-senpai! response:	I did it! I really did it!
context: I'm going to show her how cool I can be.\Now!\Clara stood up!\Amazing, Shinomiya-kun!\You're riding the wave!\I did it!\Look at me, Serinuma-senpai!\I did it! I really did it! response:	Ni
context: Now!\Clara stood up!\Amazing, Shinomiya-kun!\You're riding the wave!\I did it!\Look at me, Serinuma-senpai!\I did it! I really did it!\Ni response:	Nana
context: Clara stood up!\Amazing, Shinomiya-kun!\You're riding the wave!\I did it!\Look at me, Serinuma-senpai!\I did it! I really did it!\Ni\Nana response:	Wha
context: Amazing, Shinomiya-kun!\You're riding the wave!\I did it!\Look at me, Serinuma-senpai!\I did it! I really did it!\Ni\Nana\Wha response:	Iga
context: You're riding the wave!\I did it!\Look at me, Serinuma-senpai!\I did it! I really did it!\Ni\Nana\Wha\Iga response:	Mu
context: I did it!\Look at me, Serinuma-senpai!\I did it! I really did it!\Ni\Nana\Wha\Iga\Mu response:	Y-You ass!
context: Look at me, Serinuma-senpai!\I did it! I really did it!\Ni\Nana\Wha\Iga\Mu\Y-You ass! response:	Get off her!
context: I did it! I really did it!\Ni\Nana\Wha\Iga\Mu\Y-You ass!\Get off her! response:	Shinomiya?!
context: Ni\Nana\Wha\Iga\Mu\Y-You ass!\Get off her!\Shinomiya?! response:	What's wrong? Was there an incident?
context: Nana\Wha\Iga\Mu\Y-You ass!\Get off her!\Shinomiya?!\What's wrong? Was there an incident? response:	Beach House
context: Wha\Iga\Mu\Y-You ass!\Get off her!\Shinomiya?!\What's wrong? Was there an incident?\Beach House response:	Yakisoba with Sauce
context: Iga\Mu\Y-You ass!\Get off her!\Shinomiya?!\What's wrong? Was there an incident?\Beach House\Yakisoba with Sauce response:	Draft Beer
context: Mu\Y-You ass!\Get off her!\Shinomiya?!\What's wrong? Was there an incident?\Beach House\Yakisoba with Sauce\Draft Beer response:	Soft Drinks
context: Y-You ass!\Get off her!\Shinomiya?!\What's wrong? Was there an incident?\Beach House\Yakisoba with Sauce\Draft Beer\Soft Drinks response:	I am terribly sorry about what happened.
context: Get off her!\Shinomiya?!\What's wrong? Was there an incident?\Beach House\Yakisoba with Sauce\Draft Beer\Soft Drinks\I am terribly sorry about what happened. response:	I'm sorry. I'm sorry. I'm sorry. I'm sorry.
context: Shinomiya?!\What's wrong? Was there an incident?\Beach House\Yakisoba with Sauce\Draft Beer\Soft Drinks\I am terribly sorry about what happened.\I'm sorry. I'm sorry. I'm sorry. I'm sorry. response:	Cut the crap.
context: What's wrong? Was there an incident?\Beach House\Yakisoba with Sauce\Draft Beer\Soft Drinks\I am terribly sorry about what happened.\I'm sorry. I'm sorry. I'm sorry. I'm sorry.\Cut the crap. response:	You're practically a groper.
context: Beach House\Yakisoba with Sauce\Draft Beer\Soft Drinks\I am terribly sorry about what happened.\I'm sorry. I'm sorry. I'm sorry. I'm sorry.\Cut the crap.\You're practically a groper. response:	It wasn't on purpose, so just forget about it.
context: Yakisoba with Sauce\Draft Beer\Soft Drinks\I am terribly sorry about what happened.\I'm sorry. I'm sorry. I'm sorry. I'm sorry.\Cut the crap.\You're practically a groper.\It wasn't on purpose, so just forget about it. response:	It's okay. Please don't grovel anymore.
context: Draft Beer\Soft Drinks\I am terribly sorry about what happened.\I'm sorry. I'm sorry. I'm sorry. I'm sorry.\Cut the crap.\You're practically a groper.\It wasn't on purpose, so just forget about it.\It's okay. Please don't grovel anymore. response:	Cheer up and have some lunch.
context: Soft Drinks\I am terribly sorry about what happened.\I'm sorry. I'm sorry. I'm sorry. I'm sorry.\Cut the crap.\You're practically a groper.\It wasn't on purpose, so just forget about it.\It's okay. Please don't grovel anymore.\Cheer up and have some lunch. response:	Mutsumi-san, you're too nice!
context: I am terribly sorry about what happened.\I'm sorry. I'm sorry. I'm sorry. I'm sorry.\Cut the crap.\You're practically a groper.\It wasn't on purpose, so just forget about it.\It's okay. Please don't grovel anymore.\Cheer up and have some lunch.\Mutsumi-san, you're too nice! response:	If Serinuma-san's forgiven him, then nothing needs to be said.
context: I'm sorry. I'm sorry. I'm sorry. I'm sorry.\Cut the crap.\You're practically a groper.\It wasn't on purpose, so just forget about it.\It's okay. Please don't grovel anymore.\Cheer up and have some lunch.\Mutsumi-san, you're too nice!\If Serinuma-san's forgiven him, then nothing needs to be said. response:	Eat up, Shinomiya-kun.
context: Cut the crap.\You're practically a groper.\It wasn't on purpose, so just forget about it.\It's okay. Please don't grovel anymore.\Cheer up and have some lunch.\Mutsumi-san, you're too nice!\If Serinuma-san's forgiven him, then nothing needs to be said.\Eat up, Shinomiya-kun. response:	And then we can all play beach volleyball together.
context: You're practically a groper.\It wasn't on purpose, so just forget about it.\It's okay. Please don't grovel anymore.\Cheer up and have some lunch.\Mutsumi-san, you're too nice!\If Serinuma-san's forgiven him, then nothing needs to be said.\Eat up, Shinomiya-kun.\And then we can all play beach volleyball together. response:	Okay?
context: It wasn't on purpose, so just forget about it.\It's okay. Please don't grovel anymore.\Cheer up and have some lunch.\Mutsumi-san, you're too nice!\If Serinuma-san's forgiven him, then nothing needs to be said.\Eat up, Shinomiya-kun.\And then we can all play beach volleyball together.\Okay? response:	S-Senpai.
