context: Genshiken response:	I woke up and as usual forgot my cell and missed the Express.
context: I can't run fast, though.\I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo! response:	Right now, at this tempo!
context: I'm not that strongly-built.\Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo! response:	Genshiken Right now, at this tempo!
context: Here I go, at my dauntless pace.\Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo! response:	I'd like a receipt, please.
context: Pass away, today's sadness, raining in the sun!\Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\I'd like a receipt, please. response:	Y-Yes sir, made out to whom?
context: Hesitation, repetition, dreaming all night, all night.\Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\I'd like a receipt, please.\Y-Yes sir, made out to whom? response:	The Society for the Study of Modern Visual Culture.
context: Farewell sadness, to outer space you go!\Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\I'd like a receipt, please.\Y-Yes sir, made out to whom?\The Society for the Study of Modern Visual Culture. response:	Visual Culture?
context: Look to the sky and shout at the top of your lungs!\At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\I'd like a receipt, please.\Y-Yes sir, made out to whom?\The Society for the Study of Modern Visual Culture.\Visual Culture? response:	The Society for the Study of Modern Visual Culture.
context: At this tempo!\Right now, at this tempo!\Genshiken Right now, at this tempo!\I'd like a receipt, please.\Y-Yes sir, made out to whom?\The Society for the Study of Modern Visual Culture.\Visual Culture?\The Society for the Study of Modern Visual Culture. response:	Thank you very much!
context: Right now, at this tempo!\Genshiken Right now, at this tempo!\I'd like a receipt, please.\Y-Yes sir, made out to whom?\The Society for the Study of Modern Visual Culture.\Visual Culture?\The Society for the Study of Modern Visual Culture.\Thank you very much! response:	Howza!
context: Genshiken Right now, at this tempo!\I'd like a receipt, please.\Y-Yes sir, made out to whom?\The Society for the Study of Modern Visual Culture.\Visual Culture?\The Society for the Study of Modern Visual Culture.\Thank you very much!\Howza! response:	Yo.
context: I'd like a receipt, please.\Y-Yes sir, made out to whom?\The Society for the Study of Modern Visual Culture.\Visual Culture?\The Society for the Study of Modern Visual Culture.\Thank you very much!\Howza!\Yo. response:	Hi...
context: Y-Yes sir, made out to whom?\The Society for the Study of Modern Visual Culture.\Visual Culture?\The Society for the Study of Modern Visual Culture.\Thank you very much!\Howza!\Yo.\Hi... response:	Where's Kohsaka?
context: The Society for the Study of Modern Visual Culture.\Visual Culture?\The Society for the Study of Modern Visual Culture.\Thank you very much!\Howza!\Yo.\Hi...\Where's Kohsaka? response:	He went home.
context: Visual Culture?\The Society for the Study of Modern Visual Culture.\Thank you very much!\Howza!\Yo.\Hi...\Where's Kohsaka?\He went home. response:	Oh, okay.
context: The Society for the Study of Modern Visual Culture.\Thank you very much!\Howza!\Yo.\Hi...\Where's Kohsaka?\He went home.\Oh, okay. response:	Ah, no wonder I can't relax.
context: Thank you very much!\Howza!\Yo.\Hi...\Where's Kohsaka?\He went home.\Oh, okay.\Ah, no wonder I can't relax. response:	This is the first time it's just been me and Kasukabe alone in the club room.
context: Howza!\Yo.\Hi...\Where's Kohsaka?\He went home.\Oh, okay.\Ah, no wonder I can't relax.\This is the first time it's just been me and Kasukabe alone in the club room. response:	Why am I dwelling on that now that a year's gone by?
context: Yo.\Hi...\Where's Kohsaka?\He went home.\Oh, okay.\Ah, no wonder I can't relax.\This is the first time it's just been me and Kasukabe alone in the club room.\Why am I dwelling on that now that a year's gone by? response:	I should just talk about something.
context: Hi...\Where's Kohsaka?\He went home.\Oh, okay.\Ah, no wonder I can't relax.\This is the first time it's just been me and Kasukabe alone in the club room.\Why am I dwelling on that now that a year's gone by?\I should just talk about something. response:	I was wondering, did you see yesterday's...
context: Where's Kohsaka?\He went home.\Oh, okay.\Ah, no wonder I can't relax.\This is the first time it's just been me and Kasukabe alone in the club room.\Why am I dwelling on that now that a year's gone by?\I should just talk about something.\I was wondering, did you see yesterday's... response:	That Kujiun thing?
context: He went home.\Oh, okay.\Ah, no wonder I can't relax.\This is the first time it's just been me and Kasukabe alone in the club room.\Why am I dwelling on that now that a year's gone by?\I should just talk about something.\I was wondering, did you see yesterday's...\That Kujiun thing? response:	I saw it, or rather it was shown to me.
context: Oh, okay.\Ah, no wonder I can't relax.\This is the first time it's just been me and Kasukabe alone in the club room.\Why am I dwelling on that now that a year's gone by?\I should just talk about something.\I was wondering, did you see yesterday's...\That Kujiun thing?\I saw it, or rather it was shown to me. response:	So what'd you think?
context: Ah, no wonder I can't relax.\This is the first time it's just been me and Kasukabe alone in the club room.\Why am I dwelling on that now that a year's gone by?\I should just talk about something.\I was wondering, did you see yesterday's...\That Kujiun thing?\I saw it, or rather it was shown to me.\So what'd you think? response:	What'd I think?
context: This is the first time it's just been me and Kasukabe alone in the club room.\Why am I dwelling on that now that a year's gone by?\I should just talk about something.\I was wondering, did you see yesterday's...\That Kujiun thing?\I saw it, or rather it was shown to me.\So what'd you think?\What'd I think? response:	I couldn't really tell what's going on.
context: Why am I dwelling on that now that a year's gone by?\I should just talk about something.\I was wondering, did you see yesterday's...\That Kujiun thing?\I saw it, or rather it was shown to me.\So what'd you think?\What'd I think?\I couldn't really tell what's going on. response:	No, no, no, it was well on par, a masterpiece, on a godlike level even.
context: I should just talk about something.\I was wondering, did you see yesterday's...\That Kujiun thing?\I saw it, or rather it was shown to me.\So what'd you think?\What'd I think?\I couldn't really tell what's going on.\No, no, no, it was well on par, a masterpiece, on a godlike level even. response:	I mean, it's Wakada storyboards and Higashino dramatization.
context: I was wondering, did you see yesterday's...\That Kujiun thing?\I saw it, or rather it was shown to me.\So what'd you think?\What'd I think?\I couldn't really tell what's going on.\No, no, no, it was well on par, a masterpiece, on a godlike level even.\I mean, it's Wakada storyboards and Higashino dramatization. response:	There's no chance it won't be good.
context: That Kujiun thing?\I saw it, or rather it was shown to me.\So what'd you think?\What'd I think?\I couldn't really tell what's going on.\No, no, no, it was well on par, a masterpiece, on a godlike level even.\I mean, it's Wakada storyboards and Higashino dramatization.\There's no chance it won't be good. response:	Oh yeah?
context: I saw it, or rather it was shown to me.\So what'd you think?\What'd I think?\I couldn't really tell what's going on.\No, no, no, it was well on par, a masterpiece, on a godlike level even.\I mean, it's Wakada storyboards and Higashino dramatization.\There's no chance it won't be good.\Oh yeah? response:	Let me explain!
context: So what'd you think?\What'd I think?\I couldn't really tell what's going on.\No, no, no, it was well on par, a masterpiece, on a godlike level even.\I mean, it's Wakada storyboards and Higashino dramatization.\There's no chance it won't be good.\Oh yeah?\Let me explain! response:	The anime director's most impressive...
context: What'd I think?\I couldn't really tell what's going on.\No, no, no, it was well on par, a masterpiece, on a godlike level even.\I mean, it's Wakada storyboards and Higashino dramatization.\There's no chance it won't be good.\Oh yeah?\Let me explain!\The anime director's most impressive... response:	The extraordinarily intense devotion to tempo and layout of Wakada...
context: I couldn't really tell what's going on.\No, no, no, it was well on par, a masterpiece, on a godlike level even.\I mean, it's Wakada storyboards and Higashino dramatization.\There's no chance it won't be good.\Oh yeah?\Let me explain!\The anime director's most impressive...\The extraordinarily intense devotion to tempo and layout of Wakada... response:	Select team?
context: No, no, no, it was well on par, a masterpiece, on a godlike level even.\I mean, it's Wakada storyboards and Higashino dramatization.\There's no chance it won't be good.\Oh yeah?\Let me explain!\The anime director's most impressive...\The extraordinarily intense devotion to tempo and layout of Wakada...\Select team? response:	Maybe they don't really trust the studio?
context: I mean, it's Wakada storyboards and Higashino dramatization.\There's no chance it won't be good.\Oh yeah?\Let me explain!\The anime director's most impressive...\The extraordinarily intense devotion to tempo and layout of Wakada...\Select team?\Maybe they don't really trust the studio? response:	The director kind of takes a hands-off approach, too.
context: There's no chance it won't be good.\Oh yeah?\Let me explain!\The anime director's most impressive...\The extraordinarily intense devotion to tempo and layout of Wakada...\Select team?\Maybe they don't really trust the studio?\The director kind of takes a hands-off approach, too. response:	Really.
context: Oh yeah?\Let me explain!\The anime director's most impressive...\The extraordinarily intense devotion to tempo and layout of Wakada...\Select team?\Maybe they don't really trust the studio?\The director kind of takes a hands-off approach, too.\Really. response:	After all, Wakada storyboards are in high demand for original pictures...
context: Let me explain!\The anime director's most impressive...\The extraordinarily intense devotion to tempo and layout of Wakada...\Select team?\Maybe they don't really trust the studio?\The director kind of takes a hands-off approach, too.\Really.\After all, Wakada storyboards are in high demand for original pictures... response:	In that case it's faster for acquaintances to do it, and probably less stress.
context: The anime director's most impressive...\The extraordinarily intense devotion to tempo and layout of Wakada...\Select team?\Maybe they don't really trust the studio?\The director kind of takes a hands-off approach, too.\Really.\After all, Wakada storyboards are in high demand for original pictures...\In that case it's faster for acquaintances to do it, and probably less stress. response:	Now I get it.
context: The extraordinarily intense devotion to tempo and layout of Wakada...\Select team?\Maybe they don't really trust the studio?\The director kind of takes a hands-off approach, too.\Really.\After all, Wakada storyboards are in high demand for original pictures...\In that case it's faster for acquaintances to do it, and probably less stress.\Now I get it. response:	Now, it's no exaggeration to say that...
context: Select team?\Maybe they don't really trust the studio?\The director kind of takes a hands-off approach, too.\Really.\After all, Wakada storyboards are in high demand for original pictures...\In that case it's faster for acquaintances to do it, and probably less stress.\Now I get it.\Now, it's no exaggeration to say that... response:	Oh yeah, the sunlight through the trees scene was pretty.
context: Maybe they don't really trust the studio?\The director kind of takes a hands-off approach, too.\Really.\After all, Wakada storyboards are in high demand for original pictures...\In that case it's faster for acquaintances to do it, and probably less stress.\Now I get it.\Now, it's no exaggeration to say that...\Oh yeah, the sunlight through the trees scene was pretty. response:	Aha, you noticed?
context: The director kind of takes a hands-off approach, too.\Really.\After all, Wakada storyboards are in high demand for original pictures...\In that case it's faster for acquaintances to do it, and probably less stress.\Now I get it.\Now, it's no exaggeration to say that...\Oh yeah, the sunlight through the trees scene was pretty.\Aha, you noticed? response:	That's it, all right!
context: Really.\After all, Wakada storyboards are in high demand for original pictures...\In that case it's faster for acquaintances to do it, and probably less stress.\Now I get it.\Now, it's no exaggeration to say that...\Oh yeah, the sunlight through the trees scene was pretty.\Aha, you noticed?\That's it, all right! response:	For real? Cool!
context: After all, Wakada storyboards are in high demand for original pictures...\In that case it's faster for acquaintances to do it, and probably less stress.\Now I get it.\Now, it's no exaggeration to say that...\Oh yeah, the sunlight through the trees scene was pretty.\Aha, you noticed?\That's it, all right!\For real? Cool! response:	Right, as if!
context: In that case it's faster for acquaintances to do it, and probably less stress.\Now I get it.\Now, it's no exaggeration to say that...\Oh yeah, the sunlight through the trees scene was pretty.\Aha, you noticed?\That's it, all right!\For real? Cool!\Right, as if! response:	Sorry, it's nothing.
context: Now I get it.\Now, it's no exaggeration to say that...\Oh yeah, the sunlight through the trees scene was pretty.\Aha, you noticed?\That's it, all right!\For real? Cool!\Right, as if!\Sorry, it's nothing. response:	What am I getting all delusional about?
context: Now, it's no exaggeration to say that...\Oh yeah, the sunlight through the trees scene was pretty.\Aha, you noticed?\That's it, all right!\For real? Cool!\Right, as if!\Sorry, it's nothing.\What am I getting all delusional about? response:	And what the hell, do I actually want that to happen?
context: Oh yeah, the sunlight through the trees scene was pretty.\Aha, you noticed?\That's it, all right!\For real? Cool!\Right, as if!\Sorry, it's nothing.\What am I getting all delusional about?\And what the hell, do I actually want that to happen? response:	Great, now I'm just being a weirdo...
context: Aha, you noticed?\That's it, all right!\For real? Cool!\Right, as if!\Sorry, it's nothing.\What am I getting all delusional about?\And what the hell, do I actually want that to happen?\Great, now I'm just being a weirdo... response:	Talk about something, something.
context: That's it, all right!\For real? Cool!\Right, as if!\Sorry, it's nothing.\What am I getting all delusional about?\And what the hell, do I actually want that to happen?\Great, now I'm just being a weirdo...\Talk about something, something. response:	That's the Love Letter from Beyond series.
context: For real? Cool!\Right, as if!\Sorry, it's nothing.\What am I getting all delusional about?\And what the hell, do I actually want that to happen?\Great, now I'm just being a weirdo...\Talk about something, something.\That's the Love Letter from Beyond series. response:	Yeah, it's a masterpiece.
context: Right, as if!\Sorry, it's nothing.\What am I getting all delusional about?\And what the hell, do I actually want that to happen?\Great, now I'm just being a weirdo...\Talk about something, something.\That's the Love Letter from Beyond series.\Yeah, it's a masterpiece. response:	But, I wonder if I should share how moving this is.
context: Sorry, it's nothing.\What am I getting all delusional about?\And what the hell, do I actually want that to happen?\Great, now I'm just being a weirdo...\Talk about something, something.\That's the Love Letter from Beyond series.\Yeah, it's a masterpiece.\But, I wonder if I should share how moving this is. response:	That'd be nice. Leave it be.
context: What am I getting all delusional about?\And what the hell, do I actually want that to happen?\Great, now I'm just being a weirdo...\Talk about something, something.\That's the Love Letter from Beyond series.\Yeah, it's a masterpiece.\But, I wonder if I should share how moving this is.\That'd be nice. Leave it be. response:	I'm so inflexible.
context: And what the hell, do I actually want that to happen?\Great, now I'm just being a weirdo...\Talk about something, something.\That's the Love Letter from Beyond series.\Yeah, it's a masterpiece.\But, I wonder if I should share how moving this is.\That'd be nice. Leave it be.\I'm so inflexible. response:	I know full well that reality can't just be divided up into choices like that.
context: Great, now I'm just being a weirdo...\Talk about something, something.\That's the Love Letter from Beyond series.\Yeah, it's a masterpiece.\But, I wonder if I should share how moving this is.\That'd be nice. Leave it be.\I'm so inflexible.\I know full well that reality can't just be divided up into choices like that. response:	Well, I'll keep it simple.
context: Talk about something, something.\That's the Love Letter from Beyond series.\Yeah, it's a masterpiece.\But, I wonder if I should share how moving this is.\That'd be nice. Leave it be.\I'm so inflexible.\I know full well that reality can't just be divided up into choices like that.\Well, I'll keep it simple. response:	Good manga, eh?
context: That's the Love Letter from Beyond series.\Yeah, it's a masterpiece.\But, I wonder if I should share how moving this is.\That'd be nice. Leave it be.\I'm so inflexible.\I know full well that reality can't just be divided up into choices like that.\Well, I'll keep it simple.\Good manga, eh? response:	She's ignoring me!
context: Yeah, it's a masterpiece.\But, I wonder if I should share how moving this is.\That'd be nice. Leave it be.\I'm so inflexible.\I know full well that reality can't just be divided up into choices like that.\Well, I'll keep it simple.\Good manga, eh?\She's ignoring me! response:	No, no, even Kasukabe wouldn't do that I don't think.
context: But, I wonder if I should share how moving this is.\That'd be nice. Leave it be.\I'm so inflexible.\I know full well that reality can't just be divided up into choices like that.\Well, I'll keep it simple.\Good manga, eh?\She's ignoring me!\No, no, even Kasukabe wouldn't do that I don't think. response:	Ah, volume 9!
context: That'd be nice. Leave it be.\I'm so inflexible.\I know full well that reality can't just be divided up into choices like that.\Well, I'll keep it simple.\Good manga, eh?\She's ignoring me!\No, no, even Kasukabe wouldn't do that I don't think.\Ah, volume 9! response:	That's an especially good part, where Toki and Shiira are finally reunited.
context: I'm so inflexible.\I know full well that reality can't just be divided up into choices like that.\Well, I'll keep it simple.\Good manga, eh?\She's ignoring me!\No, no, even Kasukabe wouldn't do that I don't think.\Ah, volume 9!\That's an especially good part, where Toki and Shiira are finally reunited. response:	She's engrossed.
context: I know full well that reality can't just be divided up into choices like that.\Well, I'll keep it simple.\Good manga, eh?\She's ignoring me!\No, no, even Kasukabe wouldn't do that I don't think.\Ah, volume 9!\That's an especially good part, where Toki and Shiira are finally reunited.\She's engrossed. response:	Well, that makes me happy in a way.
context: Well, I'll keep it simple.\Good manga, eh?\She's ignoring me!\No, no, even Kasukabe wouldn't do that I don't think.\Ah, volume 9!\That's an especially good part, where Toki and Shiira are finally reunited.\She's engrossed.\Well, that makes me happy in a way. response:	Madarame: Good manga, eh?
context: Good manga, eh?\She's ignoring me!\No, no, even Kasukabe wouldn't do that I don't think.\Ah, volume 9!\That's an especially good part, where Toki and Shiira are finally reunited.\She's engrossed.\Well, that makes me happy in a way.\Madarame: Good manga, eh? response:	Whisper of the Flying God is good too. Keep quiet.
context: She's ignoring me!\No, no, even Kasukabe wouldn't do that I don't think.\Ah, volume 9!\That's an especially good part, where Toki and Shiira are finally reunited.\She's engrossed.\Well, that makes me happy in a way.\Madarame: Good manga, eh?\Whisper of the Flying God is good too. Keep quiet. response:	No! If I don't start doing something I'll look suspicious.
context: No, no, even Kasukabe wouldn't do that I don't think.\Ah, volume 9!\That's an especially good part, where Toki and Shiira are finally reunited.\She's engrossed.\Well, that makes me happy in a way.\Madarame: Good manga, eh?\Whisper of the Flying God is good too. Keep quiet.\No! If I don't start doing something I'll look suspicious. response:	EEEk!
context: Ah, volume 9!\That's an especially good part, where Toki and Shiira are finally reunited.\She's engrossed.\Well, that makes me happy in a way.\Madarame: Good manga, eh?\Whisper of the Flying God is good too. Keep quiet.\No! If I don't start doing something I'll look suspicious.\EEEk! response:	No, no, no! That must never happen!
context: That's an especially good part, where Toki and Shiira are finally reunited.\She's engrossed.\Well, that makes me happy in a way.\Madarame: Good manga, eh?\Whisper of the Flying God is good too. Keep quiet.\No! If I don't start doing something I'll look suspicious.\EEEk!\No, no, no! That must never happen! response:	I'm no one-man comedy troupe!
context: She's engrossed.\Well, that makes me happy in a way.\Madarame: Good manga, eh?\Whisper of the Flying God is good too. Keep quiet.\No! If I don't start doing something I'll look suspicious.\EEEk!\No, no, no! That must never happen!\I'm no one-man comedy troupe! response:	No way can I take this out in here!
context: Well, that makes me happy in a way.\Madarame: Good manga, eh?\Whisper of the Flying God is good too. Keep quiet.\No! If I don't start doing something I'll look suspicious.\EEEk!\No, no, no! That must never happen!\I'm no one-man comedy troupe!\No way can I take this out in here! response:	M-Mind if I turn on the TV?
context: Madarame: Good manga, eh?\Whisper of the Flying God is good too. Keep quiet.\No! If I don't start doing something I'll look suspicious.\EEEk!\No, no, no! That must never happen!\I'm no one-man comedy troupe!\No way can I take this out in here!\M-Mind if I turn on the TV? response:	Nah.
context: Whisper of the Flying God is good too. Keep quiet.\No! If I don't start doing something I'll look suspicious.\EEEk!\No, no, no! That must never happen!\I'm no one-man comedy troupe!\No way can I take this out in here!\M-Mind if I turn on the TV?\Nah. response:	Thank you...
context: No! If I don't start doing something I'll look suspicious.\EEEk!\No, no, no! That must never happen!\I'm no one-man comedy troupe!\No way can I take this out in here!\M-Mind if I turn on the TV?\Nah.\Thank you... response:	Wait, why am I thanking her?
context: EEEk!\No, no, no! That must never happen!\I'm no one-man comedy troupe!\No way can I take this out in here!\M-Mind if I turn on the TV?\Nah.\Thank you...\Wait, why am I thanking her? response:	Oh, excuse me.
context: No, no, no! That must never happen!\I'm no one-man comedy troupe!\No way can I take this out in here!\M-Mind if I turn on the TV?\Nah.\Thank you...\Wait, why am I thanking her?\Oh, excuse me. response:	Do aliens use the bathroom a lot?
context: I'm no one-man comedy troupe!\No way can I take this out in here!\M-Mind if I turn on the TV?\Nah.\Thank you...\Wait, why am I thanking her?\Oh, excuse me.\Do aliens use the bathroom a lot? response:	When visiting the planet Eldo, women especially should beware of constipation.
context: No way can I take this out in here!\M-Mind if I turn on the TV?\Nah.\Thank you...\Wait, why am I thanking her?\Oh, excuse me.\Do aliens use the bathroom a lot?\When visiting the planet Eldo, women especially should beware of constipation. response:	Say what?
context: M-Mind if I turn on the TV?\Nah.\Thank you...\Wait, why am I thanking her?\Oh, excuse me.\Do aliens use the bathroom a lot?\When visiting the planet Eldo, women especially should beware of constipation.\Say what? response:	I've got it! Say what?
context: Nah.\Thank you...\Wait, why am I thanking her?\Oh, excuse me.\Do aliens use the bathroom a lot?\When visiting the planet Eldo, women especially should beware of constipation.\Say what?\I've got it! Say what? response:	I found the aliens' weakness!
context: Thank you...\Wait, why am I thanking her?\Oh, excuse me.\Do aliens use the bathroom a lot?\When visiting the planet Eldo, women especially should beware of constipation.\Say what?\I've got it! Say what?\I found the aliens' weakness! response:	There are actually three female aliens!
context: Wait, why am I thanking her?\Oh, excuse me.\Do aliens use the bathroom a lot?\When visiting the planet Eldo, women especially should beware of constipation.\Say what?\I've got it! Say what?\I found the aliens' weakness!\There are actually three female aliens! response:	But there's always two of them...
context: Oh, excuse me.\Do aliens use the bathroom a lot?\When visiting the planet Eldo, women especially should beware of constipation.\Say what?\I've got it! Say what?\I found the aliens' weakness!\There are actually three female aliens!\But there's always two of them... response:	They look the same so we didn't notice, but they constantly swap places.
context: Do aliens use the bathroom a lot?\When visiting the planet Eldo, women especially should beware of constipation.\Say what?\I've got it! Say what?\I found the aliens' weakness!\There are actually three female aliens!\But there's always two of them...\They look the same so we didn't notice, but they constantly swap places. response:	You know, even Kujiun has its share of issues.
context: When visiting the planet Eldo, women especially should beware of constipation.\Say what?\I've got it! Say what?\I found the aliens' weakness!\There are actually three female aliens!\But there's always two of them...\They look the same so we didn't notice, but they constantly swap places.\You know, even Kujiun has its share of issues. response:	Even when it's for a gag, I don't like it when they resort to dirty jokes.
context: Say what?\I've got it! Say what?\I found the aliens' weakness!\There are actually three female aliens!\But there's always two of them...\They look the same so we didn't notice, but they constantly swap places.\You know, even Kujiun has its share of issues.\Even when it's for a gag, I don't like it when they resort to dirty jokes. response:	The fans eat it up, though.
context: I've got it! Say what?\I found the aliens' weakness!\There are actually three female aliens!\But there's always two of them...\They look the same so we didn't notice, but they constantly swap places.\You know, even Kujiun has its share of issues.\Even when it's for a gag, I don't like it when they resort to dirty jokes.\The fans eat it up, though. response:	Maybe the problem is that until now they've for the most part stayed true...
context: I found the aliens' weakness!\There are actually three female aliens!\But there's always two of them...\They look the same so we didn't notice, but they constantly swap places.\You know, even Kujiun has its share of issues.\Even when it's for a gag, I don't like it when they resort to dirty jokes.\The fans eat it up, though.\Maybe the problem is that until now they've for the most part stayed true... response:	Get set.
context: There are actually three female aliens!\But there's always two of them...\They look the same so we didn't notice, but they constantly swap places.\You know, even Kujiun has its share of issues.\Even when it's for a gag, I don't like it when they resort to dirty jokes.\The fans eat it up, though.\Maybe the problem is that until now they've for the most part stayed true...\Get set. response:	I'm sorry, I slipped up.
context: But there's always two of them...\They look the same so we didn't notice, but they constantly swap places.\You know, even Kujiun has its share of issues.\Even when it's for a gag, I don't like it when they resort to dirty jokes.\The fans eat it up, though.\Maybe the problem is that until now they've for the most part stayed true...\Get set.\I'm sorry, I slipped up. response:	On your marks.
context: They look the same so we didn't notice, but they constantly swap places.\You know, even Kujiun has its share of issues.\Even when it's for a gag, I don't like it when they resort to dirty jokes.\The fans eat it up, though.\Maybe the problem is that until now they've for the most part stayed true...\Get set.\I'm sorry, I slipped up.\On your marks. response:	Get set.
context: You know, even Kujiun has its share of issues.\Even when it's for a gag, I don't like it when they resort to dirty jokes.\The fans eat it up, though.\Maybe the problem is that until now they've for the most part stayed true...\Get set.\I'm sorry, I slipped up.\On your marks.\Get set. response:	I'm sorry, that time I jumped the gun...
context: Even when it's for a gag, I don't like it when they resort to dirty jokes.\The fans eat it up, though.\Maybe the problem is that until now they've for the most part stayed true...\Get set.\I'm sorry, I slipped up.\On your marks.\Get set.\I'm sorry, that time I jumped the gun... response:	Well...
context: The fans eat it up, though.\Maybe the problem is that until now they've for the most part stayed true...\Get set.\I'm sorry, I slipped up.\On your marks.\Get set.\I'm sorry, that time I jumped the gun...\Well... response:	How should I put it?
context: Maybe the problem is that until now they've for the most part stayed true...\Get set.\I'm sorry, I slipped up.\On your marks.\Get set.\I'm sorry, that time I jumped the gun...\Well...\How should I put it? response:	I'm getting swept away!
context: Get set.\I'm sorry, I slipped up.\On your marks.\Get set.\I'm sorry, that time I jumped the gun...\Well...\How should I put it?\I'm getting swept away! response:	Get set.
context: I'm sorry, I slipped up.\On your marks.\Get set.\I'm sorry, that time I jumped the gun...\Well...\How should I put it?\I'm getting swept away!\Get set. response:	S-Should I turn it off?
context: On your marks.\Get set.\I'm sorry, that time I jumped the gun...\Well...\How should I put it?\I'm getting swept away!\Get set.\S-Should I turn it off? response:	It'd be best if I did, it's so noisy.
context: Get set.\I'm sorry, that time I jumped the gun...\Well...\How should I put it?\I'm getting swept away!\Get set.\S-Should I turn it off?\It'd be best if I did, it's so noisy. response:	Ah, um...
context: I'm sorry, that time I jumped the gun...\Well...\How should I put it?\I'm getting swept away!\Get set.\S-Should I turn it off?\It'd be best if I did, it's so noisy.\Ah, um... response:	Uh...
context: Well...\How should I put it?\I'm getting swept away!\Get set.\S-Should I turn it off?\It'd be best if I did, it's so noisy.\Ah, um...\Uh... response:	That's weird...
context: How should I put it?\I'm getting swept away!\Get set.\S-Should I turn it off?\It'd be best if I did, it's so noisy.\Ah, um...\Uh...\That's weird... response:	Oh geez.
context: I'm getting swept away!\Get set.\S-Should I turn it off?\It'd be best if I did, it's so noisy.\Ah, um...\Uh...\That's weird...\Oh geez. response:	That's funny, where'd it go?
context: Get set.\S-Should I turn it off?\It'd be best if I did, it's so noisy.\Ah, um...\Uh...\That's weird...\Oh geez.\That's funny, where'd it go? response:	Uh... Hmmm...
context: S-Should I turn it off?\It'd be best if I did, it's so noisy.\Ah, um...\Uh...\That's weird...\Oh geez.\That's funny, where'd it go?\Uh... Hmmm... response:	Ah man, ummm.
