context: Wendy and Carla joined our guild, response:	and things have gotten lively again!
context: Salamander and that new brat both have one...\So why am I the only Dragon Slayer without a cat!?\Earthland!\Do you still have any figures of Gajeel left?\Oh, you must be a real hard-core fan...\Yes, we have some, most definitely...\It's even got a stand for the cat, just in case!\Whoa! Totally gnarly! response:	Well, we designed it with the future in mind, see...
context: So why am I the only Dragon Slayer without a cat!?\Earthland!\Do you still have any figures of Gajeel left?\Oh, you must be a real hard-core fan...\Yes, we have some, most definitely...\It's even got a stand for the cat, just in case!\Whoa! Totally gnarly!\Well, we designed it with the future in mind, see... response:	Hey, hey! It's only noon, would you pipe down?
context: Earthland!\Do you still have any figures of Gajeel left?\Oh, you must be a real hard-core fan...\Yes, we have some, most definitely...\It's even got a stand for the cat, just in case!\Whoa! Totally gnarly!\Well, we designed it with the future in mind, see...\Hey, hey! It's only noon, would you pipe down? response:	You're one to talk, when you're already drinking at noon...
context: Do you still have any figures of Gajeel left?\Oh, you must be a real hard-core fan...\Yes, we have some, most definitely...\It's even got a stand for the cat, just in case!\Whoa! Totally gnarly!\Well, we designed it with the future in mind, see...\Hey, hey! It's only noon, would you pipe down?\You're one to talk, when you're already drinking at noon... response:	Seriously, man... God knows what you're doing to your stomach...
context: Oh, you must be a real hard-core fan...\Yes, we have some, most definitely...\It's even got a stand for the cat, just in case!\Whoa! Totally gnarly!\Well, we designed it with the future in mind, see...\Hey, hey! It's only noon, would you pipe down?\You're one to talk, when you're already drinking at noon...\Seriously, man... God knows what you're doing to your stomach... response:	Shut it, you!
context: Yes, we have some, most definitely...\It's even got a stand for the cat, just in case!\Whoa! Totally gnarly!\Well, we designed it with the future in mind, see...\Hey, hey! It's only noon, would you pipe down?\You're one to talk, when you're already drinking at noon...\Seriously, man... God knows what you're doing to your stomach...\Shut it, you! response:	I'm not bothering anyone, am I?
context: It's even got a stand for the cat, just in case!\Whoa! Totally gnarly!\Well, we designed it with the future in mind, see...\Hey, hey! It's only noon, would you pipe down?\You're one to talk, when you're already drinking at noon...\Seriously, man... God knows what you're doing to your stomach...\Shut it, you!\I'm not bothering anyone, am I? response:	W-We're sorry...
context: Whoa! Totally gnarly!\Well, we designed it with the future in mind, see...\Hey, hey! It's only noon, would you pipe down?\You're one to talk, when you're already drinking at noon...\Seriously, man... God knows what you're doing to your stomach...\Shut it, you!\I'm not bothering anyone, am I?\W-We're sorry... response:	This is difficult...
context: Well, we designed it with the future in mind, see...\Hey, hey! It's only noon, would you pipe down?\You're one to talk, when you're already drinking at noon...\Seriously, man... God knows what you're doing to your stomach...\Shut it, you!\I'm not bothering anyone, am I?\W-We're sorry...\This is difficult... response:	What are you reading?
context: Hey, hey! It's only noon, would you pipe down?\You're one to talk, when you're already drinking at noon...\Seriously, man... God knows what you're doing to your stomach...\Shut it, you!\I'm not bothering anyone, am I?\W-We're sorry...\This is difficult...\What are you reading? response:	A book of poetry written in ancient Harukan.
context: You're one to talk, when you're already drinking at noon...\Seriously, man... God knows what you're doing to your stomach...\Shut it, you!\I'm not bothering anyone, am I?\W-We're sorry...\This is difficult...\What are you reading?\A book of poetry written in ancient Harukan. response:	Ancient Harukan... Do you mean it's written in some ancient language?
context: Seriously, man... God knows what you're doing to your stomach...\Shut it, you!\I'm not bothering anyone, am I?\W-We're sorry...\This is difficult...\What are you reading?\A book of poetry written in ancient Harukan.\Ancient Harukan... Do you mean it's written in some ancient language? response:	That's right. What about it?
context: Shut it, you!\I'm not bothering anyone, am I?\W-We're sorry...\This is difficult...\What are you reading?\A book of poetry written in ancient Harukan.\Ancient Harukan... Do you mean it's written in some ancient language?\That's right. What about it? response:	Levy, you're so awesome!
context: I'm not bothering anyone, am I?\W-We're sorry...\This is difficult...\What are you reading?\A book of poetry written in ancient Harukan.\Ancient Harukan... Do you mean it's written in some ancient language?\That's right. What about it?\Levy, you're so awesome! response:	July 7th, 777...
context: W-We're sorry...\This is difficult...\What are you reading?\A book of poetry written in ancient Harukan.\Ancient Harukan... Do you mean it's written in some ancient language?\That's right. What about it?\Levy, you're so awesome!\July 7th, 777... response:	The dragons that taught Natsu-san and me Dragon Slayer magic
context: This is difficult...\What are you reading?\A book of poetry written in ancient Harukan.\Ancient Harukan... Do you mean it's written in some ancient language?\That's right. What about it?\Levy, you're so awesome!\July 7th, 777...\The dragons that taught Natsu-san and me Dragon Slayer magic response:	both disappeared on the same day.
context: What are you reading?\A book of poetry written in ancient Harukan.\Ancient Harukan... Do you mean it's written in some ancient language?\That's right. What about it?\Levy, you're so awesome!\July 7th, 777...\The dragons that taught Natsu-san and me Dragon Slayer magic\both disappeared on the same day. response:	Now that you mention it,
context: A book of poetry written in ancient Harukan.\Ancient Harukan... Do you mean it's written in some ancient language?\That's right. What about it?\Levy, you're so awesome!\July 7th, 777...\The dragons that taught Natsu-san and me Dragon Slayer magic\both disappeared on the same day.\Now that you mention it, response:	Natsu might have mentioned that Gajeel's dragon vanished the same day, too.
context: Ancient Harukan... Do you mean it's written in some ancient language?\That's right. What about it?\Levy, you're so awesome!\July 7th, 777...\The dragons that taught Natsu-san and me Dragon Slayer magic\both disappeared on the same day.\Now that you mention it,\Natsu might have mentioned that Gajeel's dragon vanished the same day, too. response:	What does it mean?
context: That's right. What about it?\Levy, you're so awesome!\July 7th, 777...\The dragons that taught Natsu-san and me Dragon Slayer magic\both disappeared on the same day.\Now that you mention it,\Natsu might have mentioned that Gajeel's dragon vanished the same day, too.\What does it mean? response:	Maybe they all went camping?
context: Levy, you're so awesome!\July 7th, 777...\The dragons that taught Natsu-san and me Dragon Slayer magic\both disappeared on the same day.\Now that you mention it,\Natsu might have mentioned that Gajeel's dragon vanished the same day, too.\What does it mean?\Maybe they all went camping? response:	Lucy-san, you say some strange things sometimes...
context: July 7th, 777...\The dragons that taught Natsu-san and me Dragon Slayer magic\both disappeared on the same day.\Now that you mention it,\Natsu might have mentioned that Gajeel's dragon vanished the same day, too.\What does it mean?\Maybe they all went camping?\Lucy-san, you say some strange things sometimes... response:	All set...
context: The dragons that taught Natsu-san and me Dragon Slayer magic\both disappeared on the same day.\Now that you mention it,\Natsu might have mentioned that Gajeel's dragon vanished the same day, too.\What does it mean?\Maybe they all went camping?\Lucy-san, you say some strange things sometimes...\All set... response:	The Fire Dragon Igneel, the Iron Dragon Metalicana, and the Sky Dragon Grandine...
context: both disappeared on the same day.\Now that you mention it,\Natsu might have mentioned that Gajeel's dragon vanished the same day, too.\What does it mean?\Maybe they all went camping?\Lucy-san, you say some strange things sometimes...\All set...\The Fire Dragon Igneel, the Iron Dragon Metalicana, and the Sky Dragon Grandine... response:	I wonder where they all are now?
context: Now that you mention it,\Natsu might have mentioned that Gajeel's dragon vanished the same day, too.\What does it mean?\Maybe they all went camping?\Lucy-san, you say some strange things sometimes...\All set...\The Fire Dragon Igneel, the Iron Dragon Metalicana, and the Sky Dragon Grandine...\I wonder where they all are now? response:	Aye!
context: Natsu might have mentioned that Gajeel's dragon vanished the same day, too.\What does it mean?\Maybe they all went camping?\Lucy-san, you say some strange things sometimes...\All set...\The Fire Dragon Igneel, the Iron Dragon Metalicana, and the Sky Dragon Grandine...\I wonder where they all are now?\Aye! response:	Carla!
context: What does it mean?\Maybe they all went camping?\Lucy-san, you say some strange things sometimes...\All set...\The Fire Dragon Igneel, the Iron Dragon Metalicana, and the Sky Dragon Grandine...\I wonder where they all are now?\Aye!\Carla! response:	This is a fish I caught!
context: Maybe they all went camping?\Lucy-san, you say some strange things sometimes...\All set...\The Fire Dragon Igneel, the Iron Dragon Metalicana, and the Sky Dragon Grandine...\I wonder where they all are now?\Aye!\Carla!\This is a fish I caught! response:	I was thinking I could give it to you, Carla...
context: Lucy-san, you say some strange things sometimes...\All set...\The Fire Dragon Igneel, the Iron Dragon Metalicana, and the Sky Dragon Grandine...\I wonder where they all are now?\Aye!\Carla!\This is a fish I caught!\I was thinking I could give it to you, Carla... response:	I don't want it.
context: All set...\The Fire Dragon Igneel, the Iron Dragon Metalicana, and the Sky Dragon Grandine...\I wonder where they all are now?\Aye!\Carla!\This is a fish I caught!\I was thinking I could give it to you, Carla...\I don't want it. response:	I hate fish.
context: The Fire Dragon Igneel, the Iron Dragon Metalicana, and the Sky Dragon Grandine...\I wonder where they all are now?\Aye!\Carla!\This is a fish I caught!\I was thinking I could give it to you, Carla...\I don't want it.\I hate fish. response:	I see... Then, what do you like? Next time, I'll...
context: I wonder where they all are now?\Aye!\Carla!\This is a fish I caught!\I was thinking I could give it to you, Carla...\I don't want it.\I hate fish.\I see... Then, what do you like? Next time, I'll... response:	Be quiet!
context: Aye!\Carla!\This is a fish I caught!\I was thinking I could give it to you, Carla...\I don't want it.\I hate fish.\I see... Then, what do you like? Next time, I'll...\Be quiet! response:	Stop hanging around me!
context: Carla!\This is a fish I caught!\I was thinking I could give it to you, Carla...\I don't want it.\I hate fish.\I see... Then, what do you like? Next time, I'll...\Be quiet!\Stop hanging around me! response:	Hey, Carla...
context: This is a fish I caught!\I was thinking I could give it to you, Carla...\I don't want it.\I hate fish.\I see... Then, what do you like? Next time, I'll...\Be quiet!\Stop hanging around me!\Hey, Carla... response:	You didn't have to go that far...
context: I was thinking I could give it to you, Carla...\I don't want it.\I hate fish.\I see... Then, what do you like? Next time, I'll...\Be quiet!\Stop hanging around me!\Hey, Carla...\You didn't have to go that far... response:	Right, Happy?
context: I don't want it.\I hate fish.\I see... Then, what do you like? Next time, I'll...\Be quiet!\Stop hanging around me!\Hey, Carla...\You didn't have to go that far...\Right, Happy? response:	Carla! Don't you think that was mean?
context: I hate fish.\I see... Then, what do you like? Next time, I'll...\Be quiet!\Stop hanging around me!\Hey, Carla...\You didn't have to go that far...\Right, Happy?\Carla! Don't you think that was mean? response:	Happy, yeah, right... What's happy about this?
context: I see... Then, what do you like? Next time, I'll...\Be quiet!\Stop hanging around me!\Hey, Carla...\You didn't have to go that far...\Right, Happy?\Carla! Don't you think that was mean?\Happy, yeah, right... What's happy about this? response:	He doesn't know a damn thing!
context: Be quiet!\Stop hanging around me!\Hey, Carla...\You didn't have to go that far...\Right, Happy?\Carla! Don't you think that was mean?\Happy, yeah, right... What's happy about this?\He doesn't know a damn thing! response:	Wait, Carla!
context: Stop hanging around me!\Hey, Carla...\You didn't have to go that far...\Right, Happy?\Carla! Don't you think that was mean?\Happy, yeah, right... What's happy about this?\He doesn't know a damn thing!\Wait, Carla! response:	Don't you think Carla is oddly cold to Happy?
context: Hey, Carla...\You didn't have to go that far...\Right, Happy?\Carla! Don't you think that was mean?\Happy, yeah, right... What's happy about this?\He doesn't know a damn thing!\Wait, Carla!\Don't you think Carla is oddly cold to Happy? response:	I wonder why...
context: You didn't have to go that far...\Right, Happy?\Carla! Don't you think that was mean?\Happy, yeah, right... What's happy about this?\He doesn't know a damn thing!\Wait, Carla!\Don't you think Carla is oddly cold to Happy?\I wonder why... response:	Carla!
context: Right, Happy?\Carla! Don't you think that was mean?\Happy, yeah, right... What's happy about this?\He doesn't know a damn thing!\Wait, Carla!\Don't you think Carla is oddly cold to Happy?\I wonder why...\Carla! response:	What? I thought I told you to stop hanging around me.
context: Carla! Don't you think that was mean?\Happy, yeah, right... What's happy about this?\He doesn't know a damn thing!\Wait, Carla!\Don't you think Carla is oddly cold to Happy?\I wonder why...\Carla!\What? I thought I told you to stop hanging around me. response:	Did I, maybe, do something wrong to you?
context: Happy, yeah, right... What's happy about this?\He doesn't know a damn thing!\Wait, Carla!\Don't you think Carla is oddly cold to Happy?\I wonder why...\Carla!\What? I thought I told you to stop hanging around me.\Did I, maybe, do something wrong to you? response:	No, that's not it...
context: He doesn't know a damn thing!\Wait, Carla!\Don't you think Carla is oddly cold to Happy?\I wonder why...\Carla!\What? I thought I told you to stop hanging around me.\Did I, maybe, do something wrong to you?\No, that's not it... response:	You can't protect Natsu.
context: Wait, Carla!\Don't you think Carla is oddly cold to Happy?\I wonder why...\Carla!\What? I thought I told you to stop hanging around me.\Did I, maybe, do something wrong to you?\No, that's not it...\You can't protect Natsu. response:	I will protect Wendy.
context: Don't you think Carla is oddly cold to Happy?\I wonder why...\Carla!\What? I thought I told you to stop hanging around me.\Did I, maybe, do something wrong to you?\No, that's not it...\You can't protect Natsu.\I will protect Wendy. response:	No matter what happens, I will protect Wendy, I swear!
context: I wonder why...\Carla!\What? I thought I told you to stop hanging around me.\Did I, maybe, do something wrong to you?\No, that's not it...\You can't protect Natsu.\I will protect Wendy.\No matter what happens, I will protect Wendy, I swear! response:	I can protect Natsu, too!
context: Carla!\What? I thought I told you to stop hanging around me.\Did I, maybe, do something wrong to you?\No, that's not it...\You can't protect Natsu.\I will protect Wendy.\No matter what happens, I will protect Wendy, I swear!\I can protect Natsu, too! response:	Natsu calls me his partner!
context: What? I thought I told you to stop hanging around me.\Did I, maybe, do something wrong to you?\No, that's not it...\You can't protect Natsu.\I will protect Wendy.\No matter what happens, I will protect Wendy, I swear!\I can protect Natsu, too!\Natsu calls me his partner! response:	No, you can't.
context: Did I, maybe, do something wrong to you?\No, that's not it...\You can't protect Natsu.\I will protect Wendy.\No matter what happens, I will protect Wendy, I swear!\I can protect Natsu, too!\Natsu calls me his partner!\No, you can't. response:	A cat who doesn't even know what he is, like you...
context: No, that's not it...\You can't protect Natsu.\I will protect Wendy.\No matter what happens, I will protect Wendy, I swear!\I can protect Natsu, too!\Natsu calls me his partner!\No, you can't.\A cat who doesn't even know what he is, like you... response:	What... I am?
context: You can't protect Natsu.\I will protect Wendy.\No matter what happens, I will protect Wendy, I swear!\I can protect Natsu, too!\Natsu calls me his partner!\No, you can't.\A cat who doesn't even know what he is, like you...\What... I am? response:	What's with the scratches?
context: I will protect Wendy.\No matter what happens, I will protect Wendy, I swear!\I can protect Natsu, too!\Natsu calls me his partner!\No, you can't.\A cat who doesn't even know what he is, like you...\What... I am?\What's with the scratches? response:	Shut yer trap!
context: No matter what happens, I will protect Wendy, I swear!\I can protect Natsu, too!\Natsu calls me his partner!\No, you can't.\A cat who doesn't even know what he is, like you...\What... I am?\What's with the scratches?\Shut yer trap! response:	Carla!
context: I can protect Natsu, too!\Natsu calls me his partner!\No, you can't.\A cat who doesn't even know what he is, like you...\What... I am?\What's with the scratches?\Shut yer trap!\Carla! response:	Carla!
context: Natsu calls me his partner!\No, you can't.\A cat who doesn't even know what he is, like you...\What... I am?\What's with the scratches?\Shut yer trap!\Carla!\Carla! response:	Where are you?
context: No, you can't.\A cat who doesn't even know what he is, like you...\What... I am?\What's with the scratches?\Shut yer trap!\Carla!\Carla!\Where are you? response:	Carla, I finally found you.
context: A cat who doesn't even know what he is, like you...\What... I am?\What's with the scratches?\Shut yer trap!\Carla!\Carla!\Where are you?\Carla, I finally found you. response:	Wendy...
context: What... I am?\What's with the scratches?\Shut yer trap!\Carla!\Carla!\Where are you?\Carla, I finally found you.\Wendy... response:	You'll catch a cold without an umbrella like that.
context: What's with the scratches?\Shut yer trap!\Carla!\Carla!\Where are you?\Carla, I finally found you.\Wendy...\You'll catch a cold without an umbrella like that. response:	So will you, Carla.
context: Shut yer trap!\Carla!\Carla!\Where are you?\Carla, I finally found you.\Wendy...\You'll catch a cold without an umbrella like that.\So will you, Carla. response:	Carla, it hasn't been that long since we joined this guild,
context: Carla!\Carla!\Where are you?\Carla, I finally found you.\Wendy...\You'll catch a cold without an umbrella like that.\So will you, Carla.\Carla, it hasn't been that long since we joined this guild, response:	so I think you have to try and get along more with everyone.
context: Carla!\Where are you?\Carla, I finally found you.\Wendy...\You'll catch a cold without an umbrella like that.\So will you, Carla.\Carla, it hasn't been that long since we joined this guild,\so I think you have to try and get along more with everyone. response:	There's no need.
context: Where are you?\Carla, I finally found you.\Wendy...\You'll catch a cold without an umbrella like that.\So will you, Carla.\Carla, it hasn't been that long since we joined this guild,\so I think you have to try and get along more with everyone.\There's no need. response:	As long as you're here, that's enough for me.
context: Carla, I finally found you.\Wendy...\You'll catch a cold without an umbrella like that.\So will you, Carla.\Carla, it hasn't been that long since we joined this guild,\so I think you have to try and get along more with everyone.\There's no need.\As long as you're here, that's enough for me. response:	Why do you always have to be this way?
context: Wendy...\You'll catch a cold without an umbrella like that.\So will you, Carla.\Carla, it hasn't been that long since we joined this guild,\so I think you have to try and get along more with everyone.\There's no need.\As long as you're here, that's enough for me.\Why do you always have to be this way? response:	Who's that?
context: You'll catch a cold without an umbrella like that.\So will you, Carla.\Carla, it hasn't been that long since we joined this guild,\so I think you have to try and get along more with everyone.\There's no need.\As long as you're here, that's enough for me.\Why do you always have to be this way?\Who's that? response:	Wendy...
context: So will you, Carla.\Carla, it hasn't been that long since we joined this guild,\so I think you have to try and get along more with everyone.\There's no need.\As long as you're here, that's enough for me.\Why do you always have to be this way?\Who's that?\Wendy... response:	That voice...
context: Carla, it hasn't been that long since we joined this guild,\so I think you have to try and get along more with everyone.\There's no need.\As long as you're here, that's enough for me.\Why do you always have to be this way?\Who's that?\Wendy...\That voice... response:	I never would have thought you would come to this guild.
context: so I think you have to try and get along more with everyone.\There's no need.\As long as you're here, that's enough for me.\Why do you always have to be this way?\Who's that?\Wendy...\That voice...\I never would have thought you would come to this guild. response:	Jellal!
context: There's no need.\As long as you're here, that's enough for me.\Why do you always have to be this way?\Who's that?\Wendy...\That voice...\I never would have thought you would come to this guild.\Jellal! response:	W-What's the meaning of this? I thought you were captured!
context: As long as you're here, that's enough for me.\Why do you always have to be this way?\Who's that?\Wendy...\That voice...\I never would have thought you would come to this guild.\Jellal!\W-What's the meaning of this? I thought you were captured! response:	That was a different person than me.
context: Why do you always have to be this way?\Who's that?\Wendy...\That voice...\I never would have thought you would come to this guild.\Jellal!\W-What's the meaning of this? I thought you were captured!\That was a different person than me. response:	But...
context: Who's that?\Wendy...\That voice...\I never would have thought you would come to this guild.\Jellal!\W-What's the meaning of this? I thought you were captured!\That was a different person than me.\But... response:	I mean, you're clearly Jellal!
context: Wendy...\That voice...\I never would have thought you would come to this guild.\Jellal!\W-What's the meaning of this? I thought you were captured!\That was a different person than me.\But...\I mean, you're clearly Jellal! response:	I am Mystogan, a member of Fairy Tail.
context: That voice...\I never would have thought you would come to this guild.\Jellal!\W-What's the meaning of this? I thought you were captured!\That was a different person than me.\But...\I mean, you're clearly Jellal!\I am Mystogan, a member of Fairy Tail. response:	Seven years ago...
context: I never would have thought you would come to this guild.\Jellal!\W-What's the meaning of this? I thought you were captured!\That was a different person than me.\But...\I mean, you're clearly Jellal!\I am Mystogan, a member of Fairy Tail.\Seven years ago... response:	While I knew hardly anything about this world, I gave my name to you as Jellal...
context: Jellal!\W-What's the meaning of this? I thought you were captured!\That was a different person than me.\But...\I mean, you're clearly Jellal!\I am Mystogan, a member of Fairy Tail.\Seven years ago...\While I knew hardly anything about this world, I gave my name to you as Jellal... response:	This world?
context: W-What's the meaning of this? I thought you were captured!\That was a different person than me.\But...\I mean, you're clearly Jellal!\I am Mystogan, a member of Fairy Tail.\Seven years ago...\While I knew hardly anything about this world, I gave my name to you as Jellal...\This world? response:	You don't mean...
context: That was a different person than me.\But...\I mean, you're clearly Jellal!\I am Mystogan, a member of Fairy Tail.\Seven years ago...\While I knew hardly anything about this world, I gave my name to you as Jellal...\This world?\You don't mean... response:	You're the one from seven years ago?
context: But...\I mean, you're clearly Jellal!\I am Mystogan, a member of Fairy Tail.\Seven years ago...\While I knew hardly anything about this world, I gave my name to you as Jellal...\This world?\You don't mean...\You're the one from seven years ago? response:	You're the Jellal from back then?
context: I mean, you're clearly Jellal!\I am Mystogan, a member of Fairy Tail.\Seven years ago...\While I knew hardly anything about this world, I gave my name to you as Jellal...\This world?\You don't mean...\You're the one from seven years ago?\You're the Jellal from back then? response:	I've missed you so much!
context: I am Mystogan, a member of Fairy Tail.\Seven years ago...\While I knew hardly anything about this world, I gave my name to you as Jellal...\This world?\You don't mean...\You're the one from seven years ago?\You're the Jellal from back then?\I've missed you so much! response:	I'm sorry I wasn't able to see you.
context: Seven years ago...\While I knew hardly anything about this world, I gave my name to you as Jellal...\This world?\You don't mean...\You're the one from seven years ago?\You're the Jellal from back then?\I've missed you so much!\I'm sorry I wasn't able to see you. response:	But... Now is not the time for happy reunions...
context: While I knew hardly anything about this world, I gave my name to you as Jellal...\This world?\You don't mean...\You're the one from seven years ago?\You're the Jellal from back then?\I've missed you so much!\I'm sorry I wasn't able to see you.\But... Now is not the time for happy reunions... response:	Without delay...
context: This world?\You don't mean...\You're the one from seven years ago?\You're the Jellal from back then?\I've missed you so much!\I'm sorry I wasn't able to see you.\But... Now is not the time for happy reunions...\Without delay... response:	Get away from this city, without delay!
context: You don't mean...\You're the one from seven years ago?\You're the Jellal from back then?\I've missed you so much!\I'm sorry I wasn't able to see you.\But... Now is not the time for happy reunions...\Without delay...\Get away from this city, without delay! response:	Jellal!
context: You're the one from seven years ago?\You're the Jellal from back then?\I've missed you so much!\I'm sorry I wasn't able to see you.\But... Now is not the time for happy reunions...\Without delay...\Get away from this city, without delay!\Jellal! response:	I have failed in my mission...
context: You're the Jellal from back then?\I've missed you so much!\I'm sorry I wasn't able to see you.\But... Now is not the time for happy reunions...\Without delay...\Get away from this city, without delay!\Jellal!\I have failed in my mission... response:	Anima!
context: I've missed you so much!\I'm sorry I wasn't able to see you.\But... Now is not the time for happy reunions...\Without delay...\Get away from this city, without delay!\Jellal!\I have failed in my mission...\Anima! response:	What?
context: I'm sorry I wasn't able to see you.\But... Now is not the time for happy reunions...\Without delay...\Get away from this city, without delay!\Jellal!\I have failed in my mission...\Anima!\What? response:	What's wrong?
context: But... Now is not the time for happy reunions...\Without delay...\Get away from this city, without delay!\Jellal!\I have failed in my mission...\Anima!\What?\What's wrong? response:	No! I'm coming with you!
context: Without delay...\Get away from this city, without delay!\Jellal!\I have failed in my mission...\Anima!\What?\What's wrong?\No! I'm coming with you! response:	You can't. It'll be dangerous to come with me.
context: Get away from this city, without delay!\Jellal!\I have failed in my mission...\Anima!\What?\What's wrong?\No! I'm coming with you!\You can't. It'll be dangerous to come with me. response:	Anima has grown too large for my power alone to suppress it!
context: Jellal!\I have failed in my mission...\Anima!\What?\What's wrong?\No! I'm coming with you!\You can't. It'll be dangerous to come with me.\Anima has grown too large for my power alone to suppress it! response:	Before long, Magnolia will be wiped out...
context: I have failed in my mission...\Anima!\What?\What's wrong?\No! I'm coming with you!\You can't. It'll be dangerous to come with me.\Anima has grown too large for my power alone to suppress it!\Before long, Magnolia will be wiped out... response:	W-What do you mean?
context: Anima!\What?\What's wrong?\No! I'm coming with you!\You can't. It'll be dangerous to come with me.\Anima has grown too large for my power alone to suppress it!\Before long, Magnolia will be wiped out...\W-What do you mean? response:	I don't know what you're saying at all!
context: What?\What's wrong?\No! I'm coming with you!\You can't. It'll be dangerous to come with me.\Anima has grown too large for my power alone to suppress it!\Before long, Magnolia will be wiped out...\W-What do you mean?\I don't know what you're saying at all! response:	It's over. The destruction is already certain...
context: What's wrong?\No! I'm coming with you!\You can't. It'll be dangerous to come with me.\Anima has grown too large for my power alone to suppress it!\Before long, Magnolia will be wiped out...\W-What do you mean?\I don't know what you're saying at all!\It's over. The destruction is already certain... response:	At the very least, you could...
context: No! I'm coming with you!\You can't. It'll be dangerous to come with me.\Anima has grown too large for my power alone to suppress it!\Before long, Magnolia will be wiped out...\W-What do you mean?\I don't know what you're saying at all!\It's over. The destruction is already certain...\At the very least, you could... response:	What about Fairy Tail?
context: You can't. It'll be dangerous to come with me.\Anima has grown too large for my power alone to suppress it!\Before long, Magnolia will be wiped out...\W-What do you mean?\I don't know what you're saying at all!\It's over. The destruction is already certain...\At the very least, you could...\What about Fairy Tail? response:	What about everyone in the guild?
context: Anima has grown too large for my power alone to suppress it!\Before long, Magnolia will be wiped out...\W-What do you mean?\I don't know what you're saying at all!\It's over. The destruction is already certain...\At the very least, you could...\What about Fairy Tail?\What about everyone in the guild? response:	This rain just isn't stopping...
context: Before long, Magnolia will be wiped out...\W-What do you mean?\I don't know what you're saying at all!\It's over. The destruction is already certain...\At the very least, you could...\What about Fairy Tail?\What about everyone in the guild?\This rain just isn't stopping... response:	You know?
context: W-What do you mean?\I don't know what you're saying at all!\It's over. The destruction is already certain...\At the very least, you could...\What about Fairy Tail?\What about everyone in the guild?\This rain just isn't stopping...\You know? response:	I do not think it is Juvia's fault.
context: I don't know what you're saying at all!\It's over. The destruction is already certain...\At the very least, you could...\What about Fairy Tail?\What about everyone in the guild?\This rain just isn't stopping...\You know?\I do not think it is Juvia's fault. response:	Nobody was blaming you.
