context: You are what you eat! response:	Home Delivery Vegetables Tanaka Farms Fresh Vegetables Set Veggies Good Enough to Be the Main Dish!
context: Yeah, sorry about that. He's all hyped up now.\No, it's no problem at all.\Since you're with us, we should have gone out to eat.\Like pizza...\Oh, but I'm always by myself,\so it makes me happy to be able to eat a home-cooked meal with others like this.\Ebina-chan...\It's finished! response:	I cooked some white rice in the earthenware pot.
context: No, it's no problem at all.\Since you're with us, we should have gone out to eat.\Like pizza...\Oh, but I'm always by myself,\so it makes me happy to be able to eat a home-cooked meal with others like this.\Ebina-chan...\It's finished!\I cooked some white rice in the earthenware pot. response:	And I chose side dishes that should go well with white rice.
context: Since you're with us, we should have gone out to eat.\Like pizza...\Oh, but I'm always by myself,\so it makes me happy to be able to eat a home-cooked meal with others like this.\Ebina-chan...\It's finished!\I cooked some white rice in the earthenware pot.\And I chose side dishes that should go well with white rice. response:	Wow!
context: Like pizza...\Oh, but I'm always by myself,\so it makes me happy to be able to eat a home-cooked meal with others like this.\Ebina-chan...\It's finished!\I cooked some white rice in the earthenware pot.\And I chose side dishes that should go well with white rice.\Wow! response:	Too many vegetables.
context: Oh, but I'm always by myself,\so it makes me happy to be able to eat a home-cooked meal with others like this.\Ebina-chan...\It's finished!\I cooked some white rice in the earthenware pot.\And I chose side dishes that should go well with white rice.\Wow!\Too many vegetables. response:	All right, lunch time! Let's eat!
context: so it makes me happy to be able to eat a home-cooked meal with others like this.\Ebina-chan...\It's finished!\I cooked some white rice in the earthenware pot.\And I chose side dishes that should go well with white rice.\Wow!\Too many vegetables.\All right, lunch time! Let's eat! response:	Yes, let's eat.
context: Ebina-chan...\It's finished!\I cooked some white rice in the earthenware pot.\And I chose side dishes that should go well with white rice.\Wow!\Too many vegetables.\All right, lunch time! Let's eat!\Yes, let's eat. response:	But I wanted pizza...
context: It's finished!\I cooked some white rice in the earthenware pot.\And I chose side dishes that should go well with white rice.\Wow!\Too many vegetables.\All right, lunch time! Let's eat!\Yes, let's eat.\But I wanted pizza... response:	It's delicious!
context: I cooked some white rice in the earthenware pot.\And I chose side dishes that should go well with white rice.\Wow!\Too many vegetables.\All right, lunch time! Let's eat!\Yes, let's eat.\But I wanted pizza...\It's delicious! response:	I guess rice from Akita really is different!
context: And I chose side dishes that should go well with white rice.\Wow!\Too many vegetables.\All right, lunch time! Let's eat!\Yes, let's eat.\But I wanted pizza...\It's delicious!\I guess rice from Akita really is different! response:	Delish.
context: Wow!\Too many vegetables.\All right, lunch time! Let's eat!\Yes, let's eat.\But I wanted pizza...\It's delicious!\I guess rice from Akita really is different!\Delish. response:	I'm sorry! My dialect slipped out!
context: Too many vegetables.\All right, lunch time! Let's eat!\Yes, let's eat.\But I wanted pizza...\It's delicious!\I guess rice from Akita really is different!\Delish.\I'm sorry! My dialect slipped out! response:	Oh, no, it's fine.
context: All right, lunch time! Let's eat!\Yes, let's eat.\But I wanted pizza...\It's delicious!\I guess rice from Akita really is different!\Delish.\I'm sorry! My dialect slipped out!\Oh, no, it's fine. response:	That means you like it, right?
context: Yes, let's eat.\But I wanted pizza...\It's delicious!\I guess rice from Akita really is different!\Delish.\I'm sorry! My dialect slipped out!\Oh, no, it's fine.\That means you like it, right? response:	Ah, ayup.
context: But I wanted pizza...\It's delicious!\I guess rice from Akita really is different!\Delish.\I'm sorry! My dialect slipped out!\Oh, no, it's fine.\That means you like it, right?\Ah, ayup. response:	Ayup?
context: It's delicious!\I guess rice from Akita really is different!\Delish.\I'm sorry! My dialect slipped out!\Oh, no, it's fine.\That means you like it, right?\Ah, ayup.\Ayup? response:	Thank you for the meal.
context: I guess rice from Akita really is different!\Delish.\I'm sorry! My dialect slipped out!\Oh, no, it's fine.\That means you like it, right?\Ah, ayup.\Ayup?\Thank you for the meal. response:	The rice from Akita was great.
context: Delish.\I'm sorry! My dialect slipped out!\Oh, no, it's fine.\That means you like it, right?\Ah, ayup.\Ayup?\Thank you for the meal.\The rice from Akita was great. response:	Um... Thanks for inviting me for lunch.
context: I'm sorry! My dialect slipped out!\Oh, no, it's fine.\That means you like it, right?\Ah, ayup.\Ayup?\Thank you for the meal.\The rice from Akita was great.\Um... Thanks for inviting me for lunch. response:	No problem. Come by anytime.
context: Oh, no, it's fine.\That means you like it, right?\Ah, ayup.\Ayup?\Thank you for the meal.\The rice from Akita was great.\Um... Thanks for inviting me for lunch.\No problem. Come by anytime. response:	Okay!
context: That means you like it, right?\Ah, ayup.\Ayup?\Thank you for the meal.\The rice from Akita was great.\Um... Thanks for inviting me for lunch.\No problem. Come by anytime.\Okay! response:	Didn't have enough?
context: Ah, ayup.\Ayup?\Thank you for the meal.\The rice from Akita was great.\Um... Thanks for inviting me for lunch.\No problem. Come by anytime.\Okay!\Didn't have enough? response:	N-No, th-that's not it!
context: Ayup?\Thank you for the meal.\The rice from Akita was great.\Um... Thanks for inviting me for lunch.\No problem. Come by anytime.\Okay!\Didn't have enough?\N-No, th-that's not it! response:	Oh, I guess she's posing like that to try to keep her tummy quiet.
context: Thank you for the meal.\The rice from Akita was great.\Um... Thanks for inviting me for lunch.\No problem. Come by anytime.\Okay!\Didn't have enough?\N-No, th-that's not it!\Oh, I guess she's posing like that to try to keep her tummy quiet. response:	Why don't we order some pizza, then, Onii-chan?
context: The rice from Akita was great.\Um... Thanks for inviting me for lunch.\No problem. Come by anytime.\Okay!\Didn't have enough?\N-No, th-that's not it!\Oh, I guess she's posing like that to try to keep her tummy quiet.\Why don't we order some pizza, then, Onii-chan? response:	Pizza? But pizza would be kind of...
context: Um... Thanks for inviting me for lunch.\No problem. Come by anytime.\Okay!\Didn't have enough?\N-No, th-that's not it!\Oh, I guess she's posing like that to try to keep her tummy quiet.\Why don't we order some pizza, then, Onii-chan?\Pizza? But pizza would be kind of... response:	Um... Then maybe we can order a half-size.
context: No problem. Come by anytime.\Okay!\Didn't have enough?\N-No, th-that's not it!\Oh, I guess she's posing like that to try to keep her tummy quiet.\Why don't we order some pizza, then, Onii-chan?\Pizza? But pizza would be kind of...\Um... Then maybe we can order a half-size. response:	We're ordering one?
context: Okay!\Didn't have enough?\N-No, th-that's not it!\Oh, I guess she's posing like that to try to keep her tummy quiet.\Why don't we order some pizza, then, Onii-chan?\Pizza? But pizza would be kind of...\Um... Then maybe we can order a half-size.\We're ordering one? response:	Another meeting? What a pain.
context: Didn't have enough?\N-No, th-that's not it!\Oh, I guess she's posing like that to try to keep her tummy quiet.\Why don't we order some pizza, then, Onii-chan?\Pizza? But pizza would be kind of...\Um... Then maybe we can order a half-size.\We're ordering one?\Another meeting? What a pain. response:	No proposal from our team has ever passed one of these meetings.
context: N-No, th-that's not it!\Oh, I guess she's posing like that to try to keep her tummy quiet.\Why don't we order some pizza, then, Onii-chan?\Pizza? But pizza would be kind of...\Um... Then maybe we can order a half-size.\We're ordering one?\Another meeting? What a pain.\No proposal from our team has ever passed one of these meetings. response:	Proposal Meeting
context: Oh, I guess she's posing like that to try to keep her tummy quiet.\Why don't we order some pizza, then, Onii-chan?\Pizza? But pizza would be kind of...\Um... Then maybe we can order a half-size.\We're ordering one?\Another meeting? What a pain.\No proposal from our team has ever passed one of these meetings.\Proposal Meeting response:	The best way for an organization to convey its ideals is through meetings.
context: Why don't we order some pizza, then, Onii-chan?\Pizza? But pizza would be kind of...\Um... Then maybe we can order a half-size.\We're ordering one?\Another meeting? What a pain.\No proposal from our team has ever passed one of these meetings.\Proposal Meeting\The best way for an organization to convey its ideals is through meetings. response:	Therefore, we have all of our employees in attendance when we present any proposals.
context: Pizza? But pizza would be kind of...\Um... Then maybe we can order a half-size.\We're ordering one?\Another meeting? What a pain.\No proposal from our team has ever passed one of these meetings.\Proposal Meeting\The best way for an organization to convey its ideals is through meetings.\Therefore, we have all of our employees in attendance when we present any proposals. response:	This is because it is impossible to reach the best solution with the power of one alone.
context: Um... Then maybe we can order a half-size.\We're ordering one?\Another meeting? What a pain.\No proposal from our team has ever passed one of these meetings.\Proposal Meeting\The best way for an organization to convey its ideals is through meetings.\Therefore, we have all of our employees in attendance when we present any proposals.\This is because it is impossible to reach the best solution with the power of one alone. response:	Now, then... What snacks should I buy?
context: We're ordering one?\Another meeting? What a pain.\No proposal from our team has ever passed one of these meetings.\Proposal Meeting\The best way for an organization to convey its ideals is through meetings.\Therefore, we have all of our employees in attendance when we present any proposals.\This is because it is impossible to reach the best solution with the power of one alone.\Now, then... What snacks should I buy? response:	Should I prioritize sweetness... No, maybe salty?
context: Another meeting? What a pain.\No proposal from our team has ever passed one of these meetings.\Proposal Meeting\The best way for an organization to convey its ideals is through meetings.\Therefore, we have all of our employees in attendance when we present any proposals.\This is because it is impossible to reach the best solution with the power of one alone.\Now, then... What snacks should I buy?\Should I prioritize sweetness... No, maybe salty? response:	Then again, the breads are appealing, too.
context: No proposal from our team has ever passed one of these meetings.\Proposal Meeting\The best way for an organization to convey its ideals is through meetings.\Therefore, we have all of our employees in attendance when we present any proposals.\This is because it is impossible to reach the best solution with the power of one alone.\Now, then... What snacks should I buy?\Should I prioritize sweetness... No, maybe salty?\Then again, the breads are appealing, too. response:	Ugh! This is taking too long!
context: Proposal Meeting\The best way for an organization to convey its ideals is through meetings.\Therefore, we have all of our employees in attendance when we present any proposals.\This is because it is impossible to reach the best solution with the power of one alone.\Now, then... What snacks should I buy?\Should I prioritize sweetness... No, maybe salty?\Then again, the breads are appealing, too.\Ugh! This is taking too long! response:	Nothing says snacks like potato chips!
context: The best way for an organization to convey its ideals is through meetings.\Therefore, we have all of our employees in attendance when we present any proposals.\This is because it is impossible to reach the best solution with the power of one alone.\Now, then... What snacks should I buy?\Should I prioritize sweetness... No, maybe salty?\Then again, the breads are appealing, too.\Ugh! This is taking too long!\Nothing says snacks like potato chips! response:	This is a staple, and the most obvious choice!
context: Therefore, we have all of our employees in attendance when we present any proposals.\This is because it is impossible to reach the best solution with the power of one alone.\Now, then... What snacks should I buy?\Should I prioritize sweetness... No, maybe salty?\Then again, the breads are appealing, too.\Ugh! This is taking too long!\Nothing says snacks like potato chips!\This is a staple, and the most obvious choice! response:	This is why you can't rely on old people.
context: This is because it is impossible to reach the best solution with the power of one alone.\Now, then... What snacks should I buy?\Should I prioritize sweetness... No, maybe salty?\Then again, the breads are appealing, too.\Ugh! This is taking too long!\Nothing says snacks like potato chips!\This is a staple, and the most obvious choice!\This is why you can't rely on old people. response:	What?
context: Now, then... What snacks should I buy?\Should I prioritize sweetness... No, maybe salty?\Then again, the breads are appealing, too.\Ugh! This is taking too long!\Nothing says snacks like potato chips!\This is a staple, and the most obvious choice!\This is why you can't rely on old people.\What? response:	We should throw out such antiquated ideas.
context: Should I prioritize sweetness... No, maybe salty?\Then again, the breads are appealing, too.\Ugh! This is taking too long!\Nothing says snacks like potato chips!\This is a staple, and the most obvious choice!\This is why you can't rely on old people.\What?\We should throw out such antiquated ideas. response:	Did we always have an Umaru like that?
context: Then again, the breads are appealing, too.\Ugh! This is taking too long!\Nothing says snacks like potato chips!\This is a staple, and the most obvious choice!\This is why you can't rely on old people.\What?\We should throw out such antiquated ideas.\Did we always have an Umaru like that? response:	Yeah, you know, when the personality that's sort of fake-like comes out?
context: Ugh! This is taking too long!\Nothing says snacks like potato chips!\This is a staple, and the most obvious choice!\This is why you can't rely on old people.\What?\We should throw out such antiquated ideas.\Did we always have an Umaru like that?\Yeah, you know, when the personality that's sort of fake-like comes out? response:	Then what do you think we should get, Umaru?
context: Nothing says snacks like potato chips!\This is a staple, and the most obvious choice!\This is why you can't rely on old people.\What?\We should throw out such antiquated ideas.\Did we always have an Umaru like that?\Yeah, you know, when the personality that's sort of fake-like comes out?\Then what do you think we should get, Umaru? response:	From now on, we should expand our horizons when choosing snacks.
context: This is a staple, and the most obvious choice!\This is why you can't rely on old people.\What?\We should throw out such antiquated ideas.\Did we always have an Umaru like that?\Yeah, you know, when the personality that's sort of fake-like comes out?\Then what do you think we should get, Umaru?\From now on, we should expand our horizons when choosing snacks. response:	Cucumber Crackers Intense Cucumber Flavor
context: This is why you can't rely on old people.\What?\We should throw out such antiquated ideas.\Did we always have an Umaru like that?\Yeah, you know, when the personality that's sort of fake-like comes out?\Then what do you think we should get, Umaru?\From now on, we should expand our horizons when choosing snacks.\Cucumber Crackers Intense Cucumber Flavor response:	This is a new product.
context: What?\We should throw out such antiquated ideas.\Did we always have an Umaru like that?\Yeah, you know, when the personality that's sort of fake-like comes out?\Then what do you think we should get, Umaru?\From now on, we should expand our horizons when choosing snacks.\Cucumber Crackers Intense Cucumber Flavor\This is a new product. response:	Cucumber-flavored crackers.
context: We should throw out such antiquated ideas.\Did we always have an Umaru like that?\Yeah, you know, when the personality that's sort of fake-like comes out?\Then what do you think we should get, Umaru?\From now on, we should expand our horizons when choosing snacks.\Cucumber Crackers Intense Cucumber Flavor\This is a new product.\Cucumber-flavored crackers. response:	I'm sure you're curious as to what they taste like.
context: Did we always have an Umaru like that?\Yeah, you know, when the personality that's sort of fake-like comes out?\Then what do you think we should get, Umaru?\From now on, we should expand our horizons when choosing snacks.\Cucumber Crackers Intense Cucumber Flavor\This is a new product.\Cucumber-flavored crackers.\I'm sure you're curious as to what they taste like. response:	This Taste is a New Discovery!
context: Yeah, you know, when the personality that's sort of fake-like comes out?\Then what do you think we should get, Umaru?\From now on, we should expand our horizons when choosing snacks.\Cucumber Crackers Intense Cucumber Flavor\This is a new product.\Cucumber-flavored crackers.\I'm sure you're curious as to what they taste like.\This Taste is a New Discovery! response:	If that's the case, I prefer chocolate.
context: Then what do you think we should get, Umaru?\From now on, we should expand our horizons when choosing snacks.\Cucumber Crackers Intense Cucumber Flavor\This is a new product.\Cucumber-flavored crackers.\I'm sure you're curious as to what they taste like.\This Taste is a New Discovery!\If that's the case, I prefer chocolate. response:	I know, right? I want Chocolate Mushroom Fields!
context: From now on, we should expand our horizons when choosing snacks.\Cucumber Crackers Intense Cucumber Flavor\This is a new product.\Cucumber-flavored crackers.\I'm sure you're curious as to what they taste like.\This Taste is a New Discovery!\If that's the case, I prefer chocolate.\I know, right? I want Chocolate Mushroom Fields! response:	What?! When did you convert to mushrooms, Umaru?!
context: Cucumber Crackers Intense Cucumber Flavor\This is a new product.\Cucumber-flavored crackers.\I'm sure you're curious as to what they taste like.\This Taste is a New Discovery!\If that's the case, I prefer chocolate.\I know, right? I want Chocolate Mushroom Fields!\What?! When did you convert to mushrooms, Umaru?! response:	Chocolate Bamboo Shoot Mountains are best!
context: This is a new product.\Cucumber-flavored crackers.\I'm sure you're curious as to what they taste like.\This Taste is a New Discovery!\If that's the case, I prefer chocolate.\I know, right? I want Chocolate Mushroom Fields!\What?! When did you convert to mushrooms, Umaru?!\Chocolate Bamboo Shoot Mountains are best! response:	I've always liked chocolate mushrooms better!
context: Cucumber-flavored crackers.\I'm sure you're curious as to what they taste like.\This Taste is a New Discovery!\If that's the case, I prefer chocolate.\I know, right? I want Chocolate Mushroom Fields!\What?! When did you convert to mushrooms, Umaru?!\Chocolate Bamboo Shoot Mountains are best!\I've always liked chocolate mushrooms better! response:	Hey! Stop fighting over something so trivial!
context: I'm sure you're curious as to what they taste like.\This Taste is a New Discovery!\If that's the case, I prefer chocolate.\I know, right? I want Chocolate Mushroom Fields!\What?! When did you convert to mushrooms, Umaru?!\Chocolate Bamboo Shoot Mountains are best!\I've always liked chocolate mushrooms better!\Hey! Stop fighting over something so trivial! response:	You know nothing beats Suginoko's Town!
context: This Taste is a New Discovery!\If that's the case, I prefer chocolate.\I know, right? I want Chocolate Mushroom Fields!\What?! When did you convert to mushrooms, Umaru?!\Chocolate Bamboo Shoot Mountains are best!\I've always liked chocolate mushrooms better!\Hey! Stop fighting over something so trivial!\You know nothing beats Suginoko's Town! response:	Everyone, how about some cake?
context: If that's the case, I prefer chocolate.\I know, right? I want Chocolate Mushroom Fields!\What?! When did you convert to mushrooms, Umaru?!\Chocolate Bamboo Shoot Mountains are best!\I've always liked chocolate mushrooms better!\Hey! Stop fighting over something so trivial!\You know nothing beats Suginoko's Town!\Everyone, how about some cake? response:	Nah, cake is out.
context: I know, right? I want Chocolate Mushroom Fields!\What?! When did you convert to mushrooms, Umaru?!\Chocolate Bamboo Shoot Mountains are best!\I've always liked chocolate mushrooms better!\Hey! Stop fighting over something so trivial!\You know nothing beats Suginoko's Town!\Everyone, how about some cake?\Nah, cake is out. response:	Yeah, totally.
context: What?! When did you convert to mushrooms, Umaru?!\Chocolate Bamboo Shoot Mountains are best!\I've always liked chocolate mushrooms better!\Hey! Stop fighting over something so trivial!\You know nothing beats Suginoko's Town!\Everyone, how about some cake?\Nah, cake is out.\Yeah, totally. response:	Yep.
context: Chocolate Bamboo Shoot Mountains are best!\I've always liked chocolate mushrooms better!\Hey! Stop fighting over something so trivial!\You know nothing beats Suginoko's Town!\Everyone, how about some cake?\Nah, cake is out.\Yeah, totally.\Yep. response:	B-But, I mean, you never know...
context: I've always liked chocolate mushrooms better!\Hey! Stop fighting over something so trivial!\You know nothing beats Suginoko's Town!\Everyone, how about some cake?\Nah, cake is out.\Yeah, totally.\Yep.\B-But, I mean, you never know... response:	If we choose cake, there'll be a lot of trouble.
context: Hey! Stop fighting over something so trivial!\You know nothing beats Suginoko's Town!\Everyone, how about some cake?\Nah, cake is out.\Yeah, totally.\Yep.\B-But, I mean, you never know...\If we choose cake, there'll be a lot of trouble. response:	Argh! How many times must I tell you we have to go with Tontacos?!
context: You know nothing beats Suginoko's Town!\Everyone, how about some cake?\Nah, cake is out.\Yeah, totally.\Yep.\B-But, I mean, you never know...\If we choose cake, there'll be a lot of trouble.\Argh! How many times must I tell you we have to go with Tontacos?! response:	Nay! We must go with beef jerky!
context: Everyone, how about some cake?\Nah, cake is out.\Yeah, totally.\Yep.\B-But, I mean, you never know...\If we choose cake, there'll be a lot of trouble.\Argh! How many times must I tell you we have to go with Tontacos?!\Nay! We must go with beef jerky! response:	Who is that Umaru?!
context: Nah, cake is out.\Yeah, totally.\Yep.\B-But, I mean, you never know...\If we choose cake, there'll be a lot of trouble.\Argh! How many times must I tell you we have to go with Tontacos?!\Nay! We must go with beef jerky!\Who is that Umaru?! response:	I-It's no use! We can't decide this alone!
