context: Kakarrot... response:	Yow-ow-ow-ow!
context: A- all right.\Gohan, we're going to release our Ki toward that thing.\Right.\All right...\Kienzan!!\Masenko!!\Stop that! If you do that, you're going to destroy the Dragon Ball!\B- but... response:	What are you doing!? Clumsy, clumsy, clumsy!
context: Gohan, we're going to release our Ki toward that thing.\Right.\All right...\Kienzan!!\Masenko!!\Stop that! If you do that, you're going to destroy the Dragon Ball!\B- but...\What are you doing!? Clumsy, clumsy, clumsy! response:	Stay away! Stay away! Stay away!
context: Right.\All right...\Kienzan!!\Masenko!!\Stop that! If you do that, you're going to destroy the Dragon Ball!\B- but...\What are you doing!? Clumsy, clumsy, clumsy!\Stay away! Stay away! Stay away! response:	This is why I said I didn't want to come to Planet Namek!
context: All right...\Kienzan!!\Masenko!!\Stop that! If you do that, you're going to destroy the Dragon Ball!\B- but...\What are you doing!? Clumsy, clumsy, clumsy!\Stay away! Stay away! Stay away!\This is why I said I didn't want to come to Planet Namek! response:	Bulma- san!
context: Kienzan!!\Masenko!!\Stop that! If you do that, you're going to destroy the Dragon Ball!\B- but...\What are you doing!? Clumsy, clumsy, clumsy!\Stay away! Stay away! Stay away!\This is why I said I didn't want to come to Planet Namek!\Bulma- san! response:	This is why I said I couldn't go from the start, you know!
context: Masenko!!\Stop that! If you do that, you're going to destroy the Dragon Ball!\B- but...\What are you doing!? Clumsy, clumsy, clumsy!\Stay away! Stay away! Stay away!\This is why I said I didn't want to come to Planet Namek!\Bulma- san!\This is why I said I couldn't go from the start, you know! response:	There's no way a delicate young lady like myself can go looking for Dragon Balls!
context: Stop that! If you do that, you're going to destroy the Dragon Ball!\B- but...\What are you doing!? Clumsy, clumsy, clumsy!\Stay away! Stay away! Stay away!\This is why I said I didn't want to come to Planet Namek!\Bulma- san!\This is why I said I couldn't go from the start, you know!\There's no way a delicate young lady like myself can go looking for Dragon Balls! response:	You're not serious!
context: B- but...\What are you doing!? Clumsy, clumsy, clumsy!\Stay away! Stay away! Stay away!\This is why I said I didn't want to come to Planet Namek!\Bulma- san!\This is why I said I couldn't go from the start, you know!\There's no way a delicate young lady like myself can go looking for Dragon Balls!\You're not serious! response:	Without that Dragon Ball, Piccolo-san won't be coming back to life.
context: What are you doing!? Clumsy, clumsy, clumsy!\Stay away! Stay away! Stay away!\This is why I said I didn't want to come to Planet Namek!\Bulma- san!\This is why I said I couldn't go from the start, you know!\There's no way a delicate young lady like myself can go looking for Dragon Balls!\You're not serious!\Without that Dragon Ball, Piccolo-san won't be coming back to life. response:	There it is!
context: Stay away! Stay away! Stay away!\This is why I said I didn't want to come to Planet Namek!\Bulma- san!\This is why I said I couldn't go from the start, you know!\There's no way a delicate young lady like myself can go looking for Dragon Balls!\You're not serious!\Without that Dragon Ball, Piccolo-san won't be coming back to life.\There it is! response:	I did it!
context: This is why I said I didn't want to come to Planet Namek!\Bulma- san!\This is why I said I couldn't go from the start, you know!\There's no way a delicate young lady like myself can go looking for Dragon Balls!\You're not serious!\Without that Dragon Ball, Piccolo-san won't be coming back to life.\There it is!\I did it! response:	All right...
context: Bulma- san!\This is why I said I couldn't go from the start, you know!\There's no way a delicate young lady like myself can go looking for Dragon Balls!\You're not serious!\Without that Dragon Ball, Piccolo-san won't be coming back to life.\There it is!\I did it!\All right... response:	Masenko!!
context: This is why I said I couldn't go from the start, you know!\There's no way a delicate young lady like myself can go looking for Dragon Balls!\You're not serious!\Without that Dragon Ball, Piccolo-san won't be coming back to life.\There it is!\I did it!\All right...\Masenko!! response:	Gohan!
context: There's no way a delicate young lady like myself can go looking for Dragon Balls!\You're not serious!\Without that Dragon Ball, Piccolo-san won't be coming back to life.\There it is!\I did it!\All right...\Masenko!!\Gohan! response:	Gohan- kun!
context: You're not serious!\Without that Dragon Ball, Piccolo-san won't be coming back to life.\There it is!\I did it!\All right...\Masenko!!\Gohan!\Gohan- kun! response:	I got it out.
context: Without that Dragon Ball, Piccolo-san won't be coming back to life.\There it is!\I did it!\All right...\Masenko!!\Gohan!\Gohan- kun!\I got it out. response:	You did it!
context: There it is!\I did it!\All right...\Masenko!!\Gohan!\Gohan- kun!\I got it out.\You did it! response:	Yahoo! That makes four of them! You did it!
context: I did it!\All right...\Masenko!!\Gohan!\Gohan- kun!\I got it out.\You did it!\Yahoo! That makes four of them! You did it! response:	Sure enough, this is the best outfit for me!
context: All right...\Masenko!!\Gohan!\Gohan- kun!\I got it out.\You did it!\Yahoo! That makes four of them! You did it!\Sure enough, this is the best outfit for me! response:	This one is that way, no doubt about it.
context: Masenko!!\Gohan!\Gohan- kun!\I got it out.\You did it!\Yahoo! That makes four of them! You did it!\Sure enough, this is the best outfit for me!\This one is that way, no doubt about it. response:	It sure is dark. I can't see a thing.
context: Gohan!\Gohan- kun!\I got it out.\You did it!\Yahoo! That makes four of them! You did it!\Sure enough, this is the best outfit for me!\This one is that way, no doubt about it.\It sure is dark. I can't see a thing. response:	Shall I make us a torch?
context: Gohan- kun!\I got it out.\You did it!\Yahoo! That makes four of them! You did it!\Sure enough, this is the best outfit for me!\This one is that way, no doubt about it.\It sure is dark. I can't see a thing.\Shall I make us a torch? response:	W- what was that just now?
context: I got it out.\You did it!\Yahoo! That makes four of them! You did it!\Sure enough, this is the best outfit for me!\This one is that way, no doubt about it.\It sure is dark. I can't see a thing.\Shall I make us a torch?\W- what was that just now? response:	This isn't a forest, it's a bird!
context: You did it!\Yahoo! That makes four of them! You did it!\Sure enough, this is the best outfit for me!\This one is that way, no doubt about it.\It sure is dark. I can't see a thing.\Shall I make us a torch?\W- what was that just now?\This isn't a forest, it's a bird! response:	Aah! Help!
context: Yahoo! That makes four of them! You did it!\Sure enough, this is the best outfit for me!\This one is that way, no doubt about it.\It sure is dark. I can't see a thing.\Shall I make us a torch?\W- what was that just now?\This isn't a forest, it's a bird!\Aah! Help! response:	Look at that incredible castle!
context: Sure enough, this is the best outfit for me!\This one is that way, no doubt about it.\It sure is dark. I can't see a thing.\Shall I make us a torch?\W- what was that just now?\This isn't a forest, it's a bird!\Aah! Help!\Look at that incredible castle! response:	We've got no choice but to jump off!
context: This one is that way, no doubt about it.\It sure is dark. I can't see a thing.\Shall I make us a torch?\W- what was that just now?\This isn't a forest, it's a bird!\Aah! Help!\Look at that incredible castle!\We've got no choice but to jump off! response:	It does look like that's the only thing we can do.
context: It sure is dark. I can't see a thing.\Shall I make us a torch?\W- what was that just now?\This isn't a forest, it's a bird!\Aah! Help!\Look at that incredible castle!\We've got no choice but to jump off!\It does look like that's the only thing we can do. response:	Y- you're kidding, right!?
context: Shall I make us a torch?\W- what was that just now?\This isn't a forest, it's a bird!\Aah! Help!\Look at that incredible castle!\We've got no choice but to jump off!\It does look like that's the only thing we can do.\Y- you're kidding, right!? response:	If we don't act fast, we're going to become bird food.
context: W- what was that just now?\This isn't a forest, it's a bird!\Aah! Help!\Look at that incredible castle!\We've got no choice but to jump off!\It does look like that's the only thing we can do.\Y- you're kidding, right!?\If we don't act fast, we're going to become bird food. response:	All right! All right, already. But you guys are responsible for catching me!
context: This isn't a forest, it's a bird!\Aah! Help!\Look at that incredible castle!\We've got no choice but to jump off!\It does look like that's the only thing we can do.\Y- you're kidding, right!?\If we don't act fast, we're going to become bird food.\All right! All right, already. But you guys are responsible for catching me! response:	We know.
context: Aah! Help!\Look at that incredible castle!\We've got no choice but to jump off!\It does look like that's the only thing we can do.\Y- you're kidding, right!?\If we don't act fast, we're going to become bird food.\All right! All right, already. But you guys are responsible for catching me!\We know. response:	Remember this well, you trash... There aren't going to be any more miracles...
context: Look at that incredible castle!\We've got no choice but to jump off!\It does look like that's the only thing we can do.\Y- you're kidding, right!?\If we don't act fast, we're going to become bird food.\All right! All right, already. But you guys are responsible for catching me!\We know.\Remember this well, you trash... There aren't going to be any more miracles... response:	Be sure to enjoy yourselves until then...
context: We've got no choice but to jump off!\It does look like that's the only thing we can do.\Y- you're kidding, right!?\If we don't act fast, we're going to become bird food.\All right! All right, already. But you guys are responsible for catching me!\We know.\Remember this well, you trash... There aren't going to be any more miracles...\Be sure to enjoy yourselves until then... response:	I can't beat that Saiyan like this.
context: It does look like that's the only thing we can do.\Y- you're kidding, right!?\If we don't act fast, we're going to become bird food.\All right! All right, already. But you guys are responsible for catching me!\We know.\Remember this well, you trash... There aren't going to be any more miracles...\Be sure to enjoy yourselves until then...\I can't beat that Saiyan like this. response:	Say, the Dragon Ball is right nearby.
context: Y- you're kidding, right!?\If we don't act fast, we're going to become bird food.\All right! All right, already. But you guys are responsible for catching me!\We know.\Remember this well, you trash... There aren't going to be any more miracles...\Be sure to enjoy yourselves until then...\I can't beat that Saiyan like this.\Say, the Dragon Ball is right nearby. response:	Okay, Bulma- san, you keep a lookout, if you please.
context: If we don't act fast, we're going to become bird food.\All right! All right, already. But you guys are responsible for catching me!\We know.\Remember this well, you trash... There aren't going to be any more miracles...\Be sure to enjoy yourselves until then...\I can't beat that Saiyan like this.\Say, the Dragon Ball is right nearby.\Okay, Bulma- san, you keep a lookout, if you please. response:	I- it'll be okay, right? He's sound asleep, after all.
context: All right! All right, already. But you guys are responsible for catching me!\We know.\Remember this well, you trash... There aren't going to be any more miracles...\Be sure to enjoy yourselves until then...\I can't beat that Saiyan like this.\Say, the Dragon Ball is right nearby.\Okay, Bulma- san, you keep a lookout, if you please.\I- it'll be okay, right? He's sound asleep, after all. response:	Kuririn- san, have you found it?
context: We know.\Remember this well, you trash... There aren't going to be any more miracles...\Be sure to enjoy yourselves until then...\I can't beat that Saiyan like this.\Say, the Dragon Ball is right nearby.\Okay, Bulma- san, you keep a lookout, if you please.\I- it'll be okay, right? He's sound asleep, after all.\Kuririn- san, have you found it? response:	No, not yet. What about you, Zarkuro- san?
context: Remember this well, you trash... There aren't going to be any more miracles...\Be sure to enjoy yourselves until then...\I can't beat that Saiyan like this.\Say, the Dragon Ball is right nearby.\Okay, Bulma- san, you keep a lookout, if you please.\I- it'll be okay, right? He's sound asleep, after all.\Kuririn- san, have you found it?\No, not yet. What about you, Zarkuro- san? response:	I haven't found it.
context: Be sure to enjoy yourselves until then...\I can't beat that Saiyan like this.\Say, the Dragon Ball is right nearby.\Okay, Bulma- san, you keep a lookout, if you please.\I- it'll be okay, right? He's sound asleep, after all.\Kuririn- san, have you found it?\No, not yet. What about you, Zarkuro- san?\I haven't found it. response:	Geez, where exactly have you hidden it?
context: I can't beat that Saiyan like this.\Say, the Dragon Ball is right nearby.\Okay, Bulma- san, you keep a lookout, if you please.\I- it'll be okay, right? He's sound asleep, after all.\Kuririn- san, have you found it?\No, not yet. What about you, Zarkuro- san?\I haven't found it.\Geez, where exactly have you hidden it? response:	There it is!
context: Say, the Dragon Ball is right nearby.\Okay, Bulma- san, you keep a lookout, if you please.\I- it'll be okay, right? He's sound asleep, after all.\Kuririn- san, have you found it?\No, not yet. What about you, Zarkuro- san?\I haven't found it.\Geez, where exactly have you hidden it?\There it is! response:	Here goes.
context: Okay, Bulma- san, you keep a lookout, if you please.\I- it'll be okay, right? He's sound asleep, after all.\Kuririn- san, have you found it?\No, not yet. What about you, Zarkuro- san?\I haven't found it.\Geez, where exactly have you hidden it?\There it is!\Here goes. response:	Ready, set...
context: I- it'll be okay, right? He's sound asleep, after all.\Kuririn- san, have you found it?\No, not yet. What about you, Zarkuro- san?\I haven't found it.\Geez, where exactly have you hidden it?\There it is!\Here goes.\Ready, set... response:	Ready, set...
context: Kuririn- san, have you found it?\No, not yet. What about you, Zarkuro- san?\I haven't found it.\Geez, where exactly have you hidden it?\There it is!\Here goes.\Ready, set...\Ready, set... response:	Safe!
context: No, not yet. What about you, Zarkuro- san?\I haven't found it.\Geez, where exactly have you hidden it?\There it is!\Here goes.\Ready, set...\Ready, set...\Safe! response:	Okay, let's get back, quickly.
context: I haven't found it.\Geez, where exactly have you hidden it?\There it is!\Here goes.\Ready, set...\Ready, set...\Safe!\Okay, let's get back, quickly. response:	I've looked everywhere I can think of, but I have absolutely no idea where he went.
context: Geez, where exactly have you hidden it?\There it is!\Here goes.\Ready, set...\Ready, set...\Safe!\Okay, let's get back, quickly.\I've looked everywhere I can think of, but I have absolutely no idea where he went. response:	Good grief! My darlin' Gohan- chan is off strugglin' hard on a distant planet,
context: There it is!\Here goes.\Ready, set...\Ready, set...\Safe!\Okay, let's get back, quickly.\I've looked everywhere I can think of, but I have absolutely no idea where he went.\Good grief! My darlin' Gohan- chan is off strugglin' hard on a distant planet, response:	and what is his father, Goku- sa, doin'!? He never does anythin' a parent should!
context: Here goes.\Ready, set...\Ready, set...\Safe!\Okay, let's get back, quickly.\I've looked everywhere I can think of, but I have absolutely no idea where he went.\Good grief! My darlin' Gohan- chan is off strugglin' hard on a distant planet,\and what is his father, Goku- sa, doin'!? He never does anythin' a parent should! response:	N- now, now, Chichi, you don't need to get so worked up...
context: Ready, set...\Ready, set...\Safe!\Okay, let's get back, quickly.\I've looked everywhere I can think of, but I have absolutely no idea where he went.\Good grief! My darlin' Gohan- chan is off strugglin' hard on a distant planet,\and what is his father, Goku- sa, doin'!? He never does anythin' a parent should!\N- now, now, Chichi, you don't need to get so worked up... response:	Goku must have felt terrible that he couldn't do anything, all here on his own.
context: Ready, set...\Safe!\Okay, let's get back, quickly.\I've looked everywhere I can think of, but I have absolutely no idea where he went.\Good grief! My darlin' Gohan- chan is off strugglin' hard on a distant planet,\and what is his father, Goku- sa, doin'!? He never does anythin' a parent should!\N- now, now, Chichi, you don't need to get so worked up...\Goku must have felt terrible that he couldn't do anything, all here on his own. response:	No, he's not gettin' away with it! Makin' others worry about him like this...
context: Safe!\Okay, let's get back, quickly.\I've looked everywhere I can think of, but I have absolutely no idea where he went.\Good grief! My darlin' Gohan- chan is off strugglin' hard on a distant planet,\and what is his father, Goku- sa, doin'!? He never does anythin' a parent should!\N- now, now, Chichi, you don't need to get so worked up...\Goku must have felt terrible that he couldn't do anything, all here on his own.\No, he's not gettin' away with it! Makin' others worry about him like this... response:	If he doesn't get back here soon, I'm goin' to turn this sweater into hankies!
context: Okay, let's get back, quickly.\I've looked everywhere I can think of, but I have absolutely no idea where he went.\Good grief! My darlin' Gohan- chan is off strugglin' hard on a distant planet,\and what is his father, Goku- sa, doin'!? He never does anythin' a parent should!\N- now, now, Chichi, you don't need to get so worked up...\Goku must have felt terrible that he couldn't do anything, all here on his own.\No, he's not gettin' away with it! Makin' others worry about him like this...\If he doesn't get back here soon, I'm goin' to turn this sweater into hankies! response:	You won't get away from me!
context: I've looked everywhere I can think of, but I have absolutely no idea where he went.\Good grief! My darlin' Gohan- chan is off strugglin' hard on a distant planet,\and what is his father, Goku- sa, doin'!? He never does anythin' a parent should!\N- now, now, Chichi, you don't need to get so worked up...\Goku must have felt terrible that he couldn't do anything, all here on his own.\No, he's not gettin' away with it! Makin' others worry about him like this...\If he doesn't get back here soon, I'm goin' to turn this sweater into hankies!\You won't get away from me! response:	Bulma- san, are you sure this toy can fly?
context: Good grief! My darlin' Gohan- chan is off strugglin' hard on a distant planet,\and what is his father, Goku- sa, doin'!? He never does anythin' a parent should!\N- now, now, Chichi, you don't need to get so worked up...\Goku must have felt terrible that he couldn't do anything, all here on his own.\No, he's not gettin' away with it! Makin' others worry about him like this...\If he doesn't get back here soon, I'm goin' to turn this sweater into hankies!\You won't get away from me!\Bulma- san, are you sure this toy can fly? response:	You just hush! If I say it will fly, then it will fly!
context: and what is his father, Goku- sa, doin'!? He never does anythin' a parent should!\N- now, now, Chichi, you don't need to get so worked up...\Goku must have felt terrible that he couldn't do anything, all here on his own.\No, he's not gettin' away with it! Makin' others worry about him like this...\If he doesn't get back here soon, I'm goin' to turn this sweater into hankies!\You won't get away from me!\Bulma- san, are you sure this toy can fly?\You just hush! If I say it will fly, then it will fly! response:	I told you, we should have run away down the stairs.
context: N- now, now, Chichi, you don't need to get so worked up...\Goku must have felt terrible that he couldn't do anything, all here on his own.\No, he's not gettin' away with it! Makin' others worry about him like this...\If he doesn't get back here soon, I'm goin' to turn this sweater into hankies!\You won't get away from me!\Bulma- san, are you sure this toy can fly?\You just hush! If I say it will fly, then it will fly!\I told you, we should have run away down the stairs. response:	Stop all of your complaining and do something about that guy, now!
context: Goku must have felt terrible that he couldn't do anything, all here on his own.\No, he's not gettin' away with it! Makin' others worry about him like this...\If he doesn't get back here soon, I'm goin' to turn this sweater into hankies!\You won't get away from me!\Bulma- san, are you sure this toy can fly?\You just hush! If I say it will fly, then it will fly!\I told you, we should have run away down the stairs.\Stop all of your complaining and do something about that guy, now! response:	I guess we've got no choice.
context: No, he's not gettin' away with it! Makin' others worry about him like this...\If he doesn't get back here soon, I'm goin' to turn this sweater into hankies!\You won't get away from me!\Bulma- san, are you sure this toy can fly?\You just hush! If I say it will fly, then it will fly!\I told you, we should have run away down the stairs.\Stop all of your complaining and do something about that guy, now!\I guess we've got no choice. response:	-All right, Gohan, let's go! -Right!
context: If he doesn't get back here soon, I'm goin' to turn this sweater into hankies!\You won't get away from me!\Bulma- san, are you sure this toy can fly?\You just hush! If I say it will fly, then it will fly!\I told you, we should have run away down the stairs.\Stop all of your complaining and do something about that guy, now!\I guess we've got no choice.\-All right, Gohan, let's go! -Right! response:	Hold it, hold it, hold it!
context: You won't get away from me!\Bulma- san, are you sure this toy can fly?\You just hush! If I say it will fly, then it will fly!\I told you, we should have run away down the stairs.\Stop all of your complaining and do something about that guy, now!\I guess we've got no choice.\-All right, Gohan, let's go! -Right!\Hold it, hold it, hold it! response:	Oh, man! Enough, already!
context: Bulma- san, are you sure this toy can fly?\You just hush! If I say it will fly, then it will fly!\I told you, we should have run away down the stairs.\Stop all of your complaining and do something about that guy, now!\I guess we've got no choice.\-All right, Gohan, let's go! -Right!\Hold it, hold it, hold it!\Oh, man! Enough, already! response:	I did it! I really am a mechanical genius! Amazing!
context: You just hush! If I say it will fly, then it will fly!\I told you, we should have run away down the stairs.\Stop all of your complaining and do something about that guy, now!\I guess we've got no choice.\-All right, Gohan, let's go! -Right!\Hold it, hold it, hold it!\Oh, man! Enough, already!\I did it! I really am a mechanical genius! Amazing! response:	Kienzan!!
context: I told you, we should have run away down the stairs.\Stop all of your complaining and do something about that guy, now!\I guess we've got no choice.\-All right, Gohan, let's go! -Right!\Hold it, hold it, hold it!\Oh, man! Enough, already!\I did it! I really am a mechanical genius! Amazing!\Kienzan!! response:	Masenko!!
context: Stop all of your complaining and do something about that guy, now!\I guess we've got no choice.\-All right, Gohan, let's go! -Right!\Hold it, hold it, hold it!\Oh, man! Enough, already!\I did it! I really am a mechanical genius! Amazing!\Kienzan!!\Masenko!! response:	We got him!
context: I guess we've got no choice.\-All right, Gohan, let's go! -Right!\Hold it, hold it, hold it!\Oh, man! Enough, already!\I did it! I really am a mechanical genius! Amazing!\Kienzan!!\Masenko!!\We got him! response:	We're saved!
context: -All right, Gohan, let's go! -Right!\Hold it, hold it, hold it!\Oh, man! Enough, already!\I did it! I really am a mechanical genius! Amazing!\Kienzan!!\Masenko!!\We got him!\We're saved! response:	For goodness' sake, you guys are nothing but trouble for me!
context: Hold it, hold it, hold it!\Oh, man! Enough, already!\I did it! I really am a mechanical genius! Amazing!\Kienzan!!\Masenko!!\We got him!\We're saved!\For goodness' sake, you guys are nothing but trouble for me! response:	If I weren't around, we wouldn't have gotten a single Dragon Ball. You're hopeless.
context: Oh, man! Enough, already!\I did it! I really am a mechanical genius! Amazing!\Kienzan!!\Masenko!!\We got him!\We're saved!\For goodness' sake, you guys are nothing but trouble for me!\If I weren't around, we wouldn't have gotten a single Dragon Ball. You're hopeless. response:	You don't say...
context: I did it! I really am a mechanical genius! Amazing!\Kienzan!!\Masenko!!\We got him!\We're saved!\For goodness' sake, you guys are nothing but trouble for me!\If I weren't around, we wouldn't have gotten a single Dragon Ball. You're hopeless.\You don't say... response:	Now there's only two left.
context: Kienzan!!\Masenko!!\We got him!\We're saved!\For goodness' sake, you guys are nothing but trouble for me!\If I weren't around, we wouldn't have gotten a single Dragon Ball. You're hopeless.\You don't say...\Now there's only two left. response:	At this rate, we should be able to go back to Earth soon, huh?
context: Masenko!!\We got him!\We're saved!\For goodness' sake, you guys are nothing but trouble for me!\If I weren't around, we wouldn't have gotten a single Dragon Ball. You're hopeless.\You don't say...\Now there's only two left.\At this rate, we should be able to go back to Earth soon, huh? response:	That would be nice...
context: We got him!\We're saved!\For goodness' sake, you guys are nothing but trouble for me!\If I weren't around, we wouldn't have gotten a single Dragon Ball. You're hopeless.\You don't say...\Now there's only two left.\At this rate, we should be able to go back to Earth soon, huh?\That would be nice... response:	Huh!?
context: We're saved!\For goodness' sake, you guys are nothing but trouble for me!\If I weren't around, we wouldn't have gotten a single Dragon Ball. You're hopeless.\You don't say...\Now there's only two left.\At this rate, we should be able to go back to Earth soon, huh?\That would be nice...\Huh!? response:	It's almost time...
context: For goodness' sake, you guys are nothing but trouble for me!\If I weren't around, we wouldn't have gotten a single Dragon Ball. You're hopeless.\You don't say...\Now there's only two left.\At this rate, we should be able to go back to Earth soon, huh?\That would be nice...\Huh!?\It's almost time... response:	All right.
context: If I weren't around, we wouldn't have gotten a single Dragon Ball. You're hopeless.\You don't say...\Now there's only two left.\At this rate, we should be able to go back to Earth soon, huh?\That would be nice...\Huh!?\It's almost time...\All right. response:	You are now healed. You may open your eyes.
