context: Hey, part-timer! response:	Take care of the front.
context: Okay, let it down slowly.\I know.\Kurisu-chan!\Sorry to come by so suddenly again.\You can come whenever you want.\You're a lab member.\Yesterday, she was saying she'd never come back.\You change your mind quite easily, don't you? response:	I'm not here because I want to be!
context: I know.\Kurisu-chan!\Sorry to come by so suddenly again.\You can come whenever you want.\You're a lab member.\Yesterday, she was saying she'd never come back.\You change your mind quite easily, don't you?\I'm not here because I want to be! response:	You asked me for help.
context: Kurisu-chan!\Sorry to come by so suddenly again.\You can come whenever you want.\You're a lab member.\Yesterday, she was saying she'd never come back.\You change your mind quite easily, don't you?\I'm not here because I want to be!\You asked me for help. response:	So you don't want to come here?
context: Sorry to come by so suddenly again.\You can come whenever you want.\You're a lab member.\Yesterday, she was saying she'd never come back.\You change your mind quite easily, don't you?\I'm not here because I want to be!\You asked me for help.\So you don't want to come here? response:	No, that isn't it. It's not that I don't like this place...
context: You can come whenever you want.\You're a lab member.\Yesterday, she was saying she'd never come back.\You change your mind quite easily, don't you?\I'm not here because I want to be!\You asked me for help.\So you don't want to come here?\No, that isn't it. It's not that I don't like this place... response:	So what's in the box?
context: You're a lab member.\Yesterday, she was saying she'd never come back.\You change your mind quite easily, don't you?\I'm not here because I want to be!\You asked me for help.\So you don't want to come here?\No, that isn't it. It's not that I don't like this place...\So what's in the box? response:	You want to know?
context: Yesterday, she was saying she'd never come back.\You change your mind quite easily, don't you?\I'm not here because I want to be!\You asked me for help.\So you don't want to come here?\No, that isn't it. It's not that I don't like this place...\So what's in the box?\You want to know? response:	Normally, it would be...
context: You change your mind quite easily, don't you?\I'm not here because I want to be!\You asked me for help.\So you don't want to come here?\No, that isn't it. It's not that I don't like this place...\So what's in the box?\You want to know?\Normally, it would be... response:	An IBN 5100.
context: I'm not here because I want to be!\You asked me for help.\So you don't want to come here?\No, that isn't it. It's not that I don't like this place...\So what's in the box?\You want to know?\Normally, it would be...\An IBN 5100. response:	Seriously? Wow!
context: You asked me for help.\So you don't want to come here?\No, that isn't it. It's not that I don't like this place...\So what's in the box?\You want to know?\Normally, it would be...\An IBN 5100.\Seriously? Wow! response:	Way to go, Okarin!
context: So you don't want to come here?\No, that isn't it. It's not that I don't like this place...\So what's in the box?\You want to know?\Normally, it would be...\An IBN 5100.\Seriously? Wow!\Way to go, Okarin! response:	He does all the things an Okarin can!
context: No, that isn't it. It's not that I don't like this place...\So what's in the box?\You want to know?\Normally, it would be...\An IBN 5100.\Seriously? Wow!\Way to go, Okarin!\He does all the things an Okarin can! response:	And that's why we love him
context: So what's in the box?\You want to know?\Normally, it would be...\An IBN 5100.\Seriously? Wow!\Way to go, Okarin!\He does all the things an Okarin can!\And that's why we love him response:	I don't admire him, though.
context: You want to know?\Normally, it would be...\An IBN 5100.\Seriously? Wow!\Way to go, Okarin!\He does all the things an Okarin can!\And that's why we love him\I don't admire him, though. response:	A-Anyway, boot it up!
context: Normally, it would be...\An IBN 5100.\Seriously? Wow!\Way to go, Okarin!\He does all the things an Okarin can!\And that's why we love him\I don't admire him, though.\A-Anyway, boot it up! response:	We found it thanks to Mayushii.
context: An IBN 5100.\Seriously? Wow!\Way to go, Okarin!\He does all the things an Okarin can!\And that's why we love him\I don't admire him, though.\A-Anyway, boot it up!\We found it thanks to Mayushii. response:	Yeah.
context: Seriously? Wow!\Way to go, Okarin!\He does all the things an Okarin can!\And that's why we love him\I don't admire him, though.\A-Anyway, boot it up!\We found it thanks to Mayushii.\Yeah. response:	The glory for this goes to you.
context: Way to go, Okarin!\He does all the things an Okarin can!\And that's why we love him\I don't admire him, though.\A-Anyway, boot it up!\We found it thanks to Mayushii.\Yeah.\The glory for this goes to you. response:	It turned on.
context: He does all the things an Okarin can!\And that's why we love him\I don't admire him, though.\A-Anyway, boot it up!\We found it thanks to Mayushii.\Yeah.\The glory for this goes to you.\It turned on. response:	Now you can analyze that program code, right?
context: And that's why we love him\I don't admire him, though.\A-Anyway, boot it up!\We found it thanks to Mayushii.\Yeah.\The glory for this goes to you.\It turned on.\Now you can analyze that program code, right? response:	It's not that simple...
context: I don't admire him, though.\A-Anyway, boot it up!\We found it thanks to Mayushii.\Yeah.\The glory for this goes to you.\It turned on.\Now you can analyze that program code, right?\It's not that simple... response:	I don't know how to use this.
context: A-Anyway, boot it up!\We found it thanks to Mayushii.\Yeah.\The glory for this goes to you.\It turned on.\Now you can analyze that program code, right?\It's not that simple...\I don't know how to use this. response:	It predates the internet,
context: We found it thanks to Mayushii.\Yeah.\The glory for this goes to you.\It turned on.\Now you can analyze that program code, right?\It's not that simple...\I don't know how to use this.\It predates the internet, response:	so I can't hook it up to anything.
context: Yeah.\The glory for this goes to you.\It turned on.\Now you can analyze that program code, right?\It's not that simple...\I don't know how to use this.\It predates the internet,\so I can't hook it up to anything. response:	For now, I'll need these parts.
context: The glory for this goes to you.\It turned on.\Now you can analyze that program code, right?\It's not that simple...\I don't know how to use this.\It predates the internet,\so I can't hook it up to anything.\For now, I'll need these parts. response:	You heard the man.
context: It turned on.\Now you can analyze that program code, right?\It's not that simple...\I don't know how to use this.\It predates the internet,\so I can't hook it up to anything.\For now, I'll need these parts.\You heard the man. response:	Take care of it, assistant.
context: Now you can analyze that program code, right?\It's not that simple...\I don't know how to use this.\It predates the internet,\so I can't hook it up to anything.\For now, I'll need these parts.\You heard the man.\Take care of it, assistant. response:	I'd like you to stop talking to me like that.
context: It's not that simple...\I don't know how to use this.\It predates the internet,\so I can't hook it up to anything.\For now, I'll need these parts.\You heard the man.\Take care of it, assistant.\I'd like you to stop talking to me like that. response:	You're my assistant.
context: I don't know how to use this.\It predates the internet,\so I can't hook it up to anything.\For now, I'll need these parts.\You heard the man.\Take care of it, assistant.\I'd like you to stop talking to me like that.\You're my assistant. response:	No, I'm not!
context: It predates the internet,\so I can't hook it up to anything.\For now, I'll need these parts.\You heard the man.\Take care of it, assistant.\I'd like you to stop talking to me like that.\You're my assistant.\No, I'm not! response:	Okarin, you go.
context: so I can't hook it up to anything.\For now, I'll need these parts.\You heard the man.\Take care of it, assistant.\I'd like you to stop talking to me like that.\You're my assistant.\No, I'm not!\Okarin, you go. response:	Miss Makise probably doesn't know Akiba.
context: For now, I'll need these parts.\You heard the man.\Take care of it, assistant.\I'd like you to stop talking to me like that.\You're my assistant.\No, I'm not!\Okarin, you go.\Miss Makise probably doesn't know Akiba. response:	Very well.
context: You heard the man.\Take care of it, assistant.\I'd like you to stop talking to me like that.\You're my assistant.\No, I'm not!\Okarin, you go.\Miss Makise probably doesn't know Akiba.\Very well. response:	Mayuri, let's go!
context: Take care of it, assistant.\I'd like you to stop talking to me like that.\You're my assistant.\No, I'm not!\Okarin, you go.\Miss Makise probably doesn't know Akiba.\Very well.\Mayuri, let's go! response:	Mayushii will do her best to show Kurisu-chan around the lab,
context: I'd like you to stop talking to me like that.\You're my assistant.\No, I'm not!\Okarin, you go.\Miss Makise probably doesn't know Akiba.\Very well.\Mayuri, let's go!\Mayushii will do her best to show Kurisu-chan around the lab, response:	so she'll like it!
context: You're my assistant.\No, I'm not!\Okarin, you go.\Miss Makise probably doesn't know Akiba.\Very well.\Mayuri, let's go!\Mayushii will do her best to show Kurisu-chan around the lab,\so she'll like it! response:	So, I'll stay here.
context: No, I'm not!\Okarin, you go.\Miss Makise probably doesn't know Akiba.\Very well.\Mayuri, let's go!\Mayushii will do her best to show Kurisu-chan around the lab,\so she'll like it!\So, I'll stay here. response:	Christina, you...
context: Okarin, you go.\Miss Makise probably doesn't know Akiba.\Very well.\Mayuri, let's go!\Mayushii will do her best to show Kurisu-chan around the lab,\so she'll like it!\So, I'll stay here.\Christina, you... response:	You couldn't have entrapped Mayuri with your wiles, as well
context: Miss Makise probably doesn't know Akiba.\Very well.\Mayuri, let's go!\Mayushii will do her best to show Kurisu-chan around the lab,\so she'll like it!\So, I'll stay here.\Christina, you...\You couldn't have entrapped Mayuri with your wiles, as well response:	I did no such thing!
context: Very well.\Mayuri, let's go!\Mayushii will do her best to show Kurisu-chan around the lab,\so she'll like it!\So, I'll stay here.\Christina, you...\You couldn't have entrapped Mayuri with your wiles, as well\I did no such thing! response:	Miss Makise seducing Mayuri...
context: Mayuri, let's go!\Mayushii will do her best to show Kurisu-chan around the lab,\so she'll like it!\So, I'll stay here.\Christina, you...\You couldn't have entrapped Mayuri with your wiles, as well\I did no such thing!\Miss Makise seducing Mayuri... response:	Yuri is in the air...
