context: Jintan. response:	Please grant...
context: Are you here?\Or in here?\Where are you? Let me see you.\I blurted out everything about Menma in the heat of the moment,\but I didn't expect him to accept everything so easily.\Are you over there?\Menma.\Menma! response:	It's hopeless.
context: Or in here?\Where are you? Let me see you.\I blurted out everything about Menma in the heat of the moment,\but I didn't expect him to accept everything so easily.\Are you over there?\Menma.\Menma!\It's hopeless. response:	I can't see her.
context: Where are you? Let me see you.\I blurted out everything about Menma in the heat of the moment,\but I didn't expect him to accept everything so easily.\Are you over there?\Menma.\Menma!\It's hopeless.\I can't see her. response:	Like I told you, she's just my...
context: I blurted out everything about Menma in the heat of the moment,\but I didn't expect him to accept everything so easily.\Are you over there?\Menma.\Menma!\It's hopeless.\I can't see her.\Like I told you, she's just my... response:	You're pretty awesome man.
context: but I didn't expect him to accept everything so easily.\Are you over there?\Menma.\Menma!\It's hopeless.\I can't see her.\Like I told you, she's just my...\You're pretty awesome man. response:	Huh?
context: Are you over there?\Menma.\Menma!\It's hopeless.\I can't see her.\Like I told you, she's just my...\You're pretty awesome man.\Huh? response:	It's nothing.
context: Menma.\Menma!\It's hopeless.\I can't see her.\Like I told you, she's just my...\You're pretty awesome man.\Huh?\It's nothing. response:	So you've been using this secret fort?
context: Menma!\It's hopeless.\I can't see her.\Like I told you, she's just my...\You're pretty awesome man.\Huh?\It's nothing.\So you've been using this secret fort? response:	Yeah, but only when I'm in Japan.
context: It's hopeless.\I can't see her.\Like I told you, she's just my...\You're pretty awesome man.\Huh?\It's nothing.\So you've been using this secret fort?\Yeah, but only when I'm in Japan. response:	In Japan?
context: I can't see her.\Like I told you, she's just my...\You're pretty awesome man.\Huh?\It's nothing.\So you've been using this secret fort?\Yeah, but only when I'm in Japan.\In Japan? response:	Yup. All of those red circles mark places that I've visited.
context: Like I told you, she's just my...\You're pretty awesome man.\Huh?\It's nothing.\So you've been using this secret fort?\Yeah, but only when I'm in Japan.\In Japan?\Yup. All of those red circles mark places that I've visited. response:	I wanted to see all kinds of different places in the world.
context: You're pretty awesome man.\Huh?\It's nothing.\So you've been using this secret fort?\Yeah, but only when I'm in Japan.\In Japan?\Yup. All of those red circles mark places that I've visited.\I wanted to see all kinds of different places in the world. response:	So I've been traveling using the money I saved from my part-time job.
context: Huh?\It's nothing.\So you've been using this secret fort?\Yeah, but only when I'm in Japan.\In Japan?\Yup. All of those red circles mark places that I've visited.\I wanted to see all kinds of different places in the world.\So I've been traveling using the money I saved from my part-time job. response:	What about high school?
context: It's nothing.\So you've been using this secret fort?\Yeah, but only when I'm in Japan.\In Japan?\Yup. All of those red circles mark places that I've visited.\I wanted to see all kinds of different places in the world.\So I've been traveling using the money I saved from my part-time job.\What about high school? response:	I don't have time for that.
context: So you've been using this secret fort?\Yeah, but only when I'm in Japan.\In Japan?\Yup. All of those red circles mark places that I've visited.\I wanted to see all kinds of different places in the world.\So I've been traveling using the money I saved from my part-time job.\What about high school?\I don't have time for that. response:	On my last trip I went to Southeast Asia.
context: Yeah, but only when I'm in Japan.\In Japan?\Yup. All of those red circles mark places that I've visited.\I wanted to see all kinds of different places in the world.\So I've been traveling using the money I saved from my part-time job.\What about high school?\I don't have time for that.\On my last trip I went to Southeast Asia. response:	Vietnamese chicks are so hot!
context: In Japan?\Yup. All of those red circles mark places that I've visited.\I wanted to see all kinds of different places in the world.\So I've been traveling using the money I saved from my part-time job.\What about high school?\I don't have time for that.\On my last trip I went to Southeast Asia.\Vietnamese chicks are so hot! response:	Jintan, you're awesome!
context: Yup. All of those red circles mark places that I've visited.\I wanted to see all kinds of different places in the world.\So I've been traveling using the money I saved from my part-time job.\What about high school?\I don't have time for that.\On my last trip I went to Southeast Asia.\Vietnamese chicks are so hot!\Jintan, you're awesome! response:	He used to be tiny, and now he's gotten so huge.
context: I wanted to see all kinds of different places in the world.\So I've been traveling using the money I saved from my part-time job.\What about high school?\I don't have time for that.\On my last trip I went to Southeast Asia.\Vietnamese chicks are so hot!\Jintan, you're awesome!\He used to be tiny, and now he's gotten so huge. response:	And like this, and like that.
context: So I've been traveling using the money I saved from my part-time job.\What about high school?\I don't have time for that.\On my last trip I went to Southeast Asia.\Vietnamese chicks are so hot!\Jintan, you're awesome!\He used to be tiny, and now he's gotten so huge.\And like this, and like that. response:	But...
context: What about high school?\I don't have time for that.\On my last trip I went to Southeast Asia.\Vietnamese chicks are so hot!\Jintan, you're awesome!\He used to be tiny, and now he's gotten so huge.\And like this, and like that.\But... response:	They're so cute!
context: I don't have time for that.\On my last trip I went to Southeast Asia.\Vietnamese chicks are so hot!\Jintan, you're awesome!\He used to be tiny, and now he's gotten so huge.\And like this, and like that.\But...\They're so cute! response:	You haven't changed, have you.
context: On my last trip I went to Southeast Asia.\Vietnamese chicks are so hot!\Jintan, you're awesome!\He used to be tiny, and now he's gotten so huge.\And like this, and like that.\But...\They're so cute!\You haven't changed, have you. response:	What's that?
context: Vietnamese chicks are so hot!\Jintan, you're awesome!\He used to be tiny, and now he's gotten so huge.\And like this, and like that.\But...\They're so cute!\You haven't changed, have you.\What's that? response:	I've changed plenty.
context: Jintan, you're awesome!\He used to be tiny, and now he's gotten so huge.\And like this, and like that.\But...\They're so cute!\You haven't changed, have you.\What's that?\I've changed plenty. response:	Wanna take a cruise down to my jungle?
context: He used to be tiny, and now he's gotten so huge.\And like this, and like that.\But...\They're so cute!\You haven't changed, have you.\What's that?\I've changed plenty.\Wanna take a cruise down to my jungle? response:	I wonder what's going to pop out...
context: And like this, and like that.\But...\They're so cute!\You haven't changed, have you.\What's that?\I've changed plenty.\Wanna take a cruise down to my jungle?\I wonder what's going to pop out... response:	I'll pass.
context: But...\They're so cute!\You haven't changed, have you.\What's that?\I've changed plenty.\Wanna take a cruise down to my jungle?\I wonder what's going to pop out...\I'll pass. response:	Right, we're getting way off topic.
context: They're so cute!\You haven't changed, have you.\What's that?\I've changed plenty.\Wanna take a cruise down to my jungle?\I wonder what's going to pop out...\I'll pass.\Right, we're getting way off topic. response:	We were talking about Menma.
context: You haven't changed, have you.\What's that?\I've changed plenty.\Wanna take a cruise down to my jungle?\I wonder what's going to pop out...\I'll pass.\Right, we're getting way off topic.\We were talking about Menma. response:	Did you make her some kind of promise?
context: What's that?\I've changed plenty.\Wanna take a cruise down to my jungle?\I wonder what's going to pop out...\I'll pass.\Right, we're getting way off topic.\We were talking about Menma.\Did you make her some kind of promise? response:	I don't remember anything like that.
context: I've changed plenty.\Wanna take a cruise down to my jungle?\I wonder what's going to pop out...\I'll pass.\Right, we're getting way off topic.\We were talking about Menma.\Did you make her some kind of promise?\I don't remember anything like that. response:	Didn't she mention she wanted Desu Yo.'s autograph?
context: Wanna take a cruise down to my jungle?\I wonder what's going to pop out...\I'll pass.\Right, we're getting way off topic.\We were talking about Menma.\Did you make her some kind of promise?\I don't remember anything like that.\Didn't she mention she wanted Desu Yo.'s autograph? response:	Do you really think she'd rise from the grave for Desu Yo.?
context: I wonder what's going to pop out...\I'll pass.\Right, we're getting way off topic.\We were talking about Menma.\Did you make her some kind of promise?\I don't remember anything like that.\Didn't she mention she wanted Desu Yo.'s autograph?\Do you really think she'd rise from the grave for Desu Yo.? response:	You know, maybe it was...
context: I'll pass.\Right, we're getting way off topic.\We were talking about Menma.\Did you make her some kind of promise?\I don't remember anything like that.\Didn't she mention she wanted Desu Yo.'s autograph?\Do you really think she'd rise from the grave for Desu Yo.?\You know, maybe it was... response:	What's wrong with you, Kurimaru?
context: Right, we're getting way off topic.\We were talking about Menma.\Did you make her some kind of promise?\I don't remember anything like that.\Didn't she mention she wanted Desu Yo.'s autograph?\Do you really think she'd rise from the grave for Desu Yo.?\You know, maybe it was...\What's wrong with you, Kurimaru? response:	I'll give you some yogurt when we get home. Yogurt!
context: We were talking about Menma.\Did you make her some kind of promise?\I don't remember anything like that.\Didn't she mention she wanted Desu Yo.'s autograph?\Do you really think she'd rise from the grave for Desu Yo.?\You know, maybe it was...\What's wrong with you, Kurimaru?\I'll give you some yogurt when we get home. Yogurt! response:	Home.
context: Did you make her some kind of promise?\I don't remember anything like that.\Didn't she mention she wanted Desu Yo.'s autograph?\Do you really think she'd rise from the grave for Desu Yo.?\You know, maybe it was...\What's wrong with you, Kurimaru?\I'll give you some yogurt when we get home. Yogurt!\Home. response:	So Naruko, did you really go over to Yadomi's house?
context: I don't remember anything like that.\Didn't she mention she wanted Desu Yo.'s autograph?\Do you really think she'd rise from the grave for Desu Yo.?\You know, maybe it was...\What's wrong with you, Kurimaru?\I'll give you some yogurt when we get home. Yogurt!\Home.\So Naruko, did you really go over to Yadomi's house? response:	Well, yeah, I did.
context: Didn't she mention she wanted Desu Yo.'s autograph?\Do you really think she'd rise from the grave for Desu Yo.?\You know, maybe it was...\What's wrong with you, Kurimaru?\I'll give you some yogurt when we get home. Yogurt!\Home.\So Naruko, did you really go over to Yadomi's house?\Well, yeah, I did. response:	Having to deal with a hikikomori must suck.
context: Do you really think she'd rise from the grave for Desu Yo.?\You know, maybe it was...\What's wrong with you, Kurimaru?\I'll give you some yogurt when we get home. Yogurt!\Home.\So Naruko, did you really go over to Yadomi's house?\Well, yeah, I did.\Having to deal with a hikikomori must suck. response:	But, don't you feel that way sometimes?
context: You know, maybe it was...\What's wrong with you, Kurimaru?\I'll give you some yogurt when we get home. Yogurt!\Home.\So Naruko, did you really go over to Yadomi's house?\Well, yeah, I did.\Having to deal with a hikikomori must suck.\But, don't you feel that way sometimes? response:	Huh?
context: What's wrong with you, Kurimaru?\I'll give you some yogurt when we get home. Yogurt!\Home.\So Naruko, did you really go over to Yadomi's house?\Well, yeah, I did.\Having to deal with a hikikomori must suck.\But, don't you feel that way sometimes?\Huh? response:	You know, feeling like you don't want to do anything, not wanting to get out of bed in the morning.
context: I'll give you some yogurt when we get home. Yogurt!\Home.\So Naruko, did you really go over to Yadomi's house?\Well, yeah, I did.\Having to deal with a hikikomori must suck.\But, don't you feel that way sometimes?\Huh?\You know, feeling like you don't want to do anything, not wanting to get out of bed in the morning. response:	Sometimes, I... actually, I often feel like that.
context: Home.\So Naruko, did you really go over to Yadomi's house?\Well, yeah, I did.\Having to deal with a hikikomori must suck.\But, don't you feel that way sometimes?\Huh?\You know, feeling like you don't want to do anything, not wanting to get out of bed in the morning.\Sometimes, I... actually, I often feel like that. response:	Yeah, I know what you mean. But I don't want to be compared to that loser.
context: So Naruko, did you really go over to Yadomi's house?\Well, yeah, I did.\Having to deal with a hikikomori must suck.\But, don't you feel that way sometimes?\Huh?\You know, feeling like you don't want to do anything, not wanting to get out of bed in the morning.\Sometimes, I... actually, I often feel like that.\Yeah, I know what you mean. But I don't want to be compared to that loser. response:	He's probably having a wet dream about you right now.
context: Well, yeah, I did.\Having to deal with a hikikomori must suck.\But, don't you feel that way sometimes?\Huh?\You know, feeling like you don't want to do anything, not wanting to get out of bed in the morning.\Sometimes, I... actually, I often feel like that.\Yeah, I know what you mean. But I don't want to be compared to that loser.\He's probably having a wet dream about you right now. response:	That's so believable.
context: Having to deal with a hikikomori must suck.\But, don't you feel that way sometimes?\Huh?\You know, feeling like you don't want to do anything, not wanting to get out of bed in the morning.\Sometimes, I... actually, I often feel like that.\Yeah, I know what you mean. But I don't want to be compared to that loser.\He's probably having a wet dream about you right now.\That's so believable. response:	How creepy!
context: But, don't you feel that way sometimes?\Huh?\You know, feeling like you don't want to do anything, not wanting to get out of bed in the morning.\Sometimes, I... actually, I often feel like that.\Yeah, I know what you mean. But I don't want to be compared to that loser.\He's probably having a wet dream about you right now.\That's so believable.\How creepy! response:	What's up with her?
context: Huh?\You know, feeling like you don't want to do anything, not wanting to get out of bed in the morning.\Sometimes, I... actually, I often feel like that.\Yeah, I know what you mean. But I don't want to be compared to that loser.\He's probably having a wet dream about you right now.\That's so believable.\How creepy!\What's up with her? response:	Looks like she's an Oodai student.
context: You know, feeling like you don't want to do anything, not wanting to get out of bed in the morning.\Sometimes, I... actually, I often feel like that.\Yeah, I know what you mean. But I don't want to be compared to that loser.\He's probably having a wet dream about you right now.\That's so believable.\How creepy!\What's up with her?\Looks like she's an Oodai student. response:	What a bitch.
context: Sometimes, I... actually, I often feel like that.\Yeah, I know what you mean. But I don't want to be compared to that loser.\He's probably having a wet dream about you right now.\That's so believable.\How creepy!\What's up with her?\Looks like she's an Oodai student.\What a bitch. response:	Tsuruko?
context: Yeah, I know what you mean. But I don't want to be compared to that loser.\He's probably having a wet dream about you right now.\That's so believable.\How creepy!\What's up with her?\Looks like she's an Oodai student.\What a bitch.\Tsuruko? response:	What's wrong?
context: He's probably having a wet dream about you right now.\That's so believable.\How creepy!\What's up with her?\Looks like she's an Oodai student.\What a bitch.\Tsuruko?\What's wrong? response:	I'll be back.
context: That's so believable.\How creepy!\What's up with her?\Looks like she's an Oodai student.\What a bitch.\Tsuruko?\What's wrong?\I'll be back. response:	Thank you for coming.
context: How creepy!\What's up with her?\Looks like she's an Oodai student.\What a bitch.\Tsuruko?\What's wrong?\I'll be back.\Thank you for coming. response:	Tsuru...
context: What's up with her?\Looks like she's an Oodai student.\What a bitch.\Tsuruko?\What's wrong?\I'll be back.\Thank you for coming.\Tsuru... response:	Tsurumi.
context: Looks like she's an Oodai student.\What a bitch.\Tsuruko?\What's wrong?\I'll be back.\Thank you for coming.\Tsuru...\Tsurumi. response:	Wait a second! You forgot something.
context: What a bitch.\Tsuruko?\What's wrong?\I'll be back.\Thank you for coming.\Tsuru...\Tsurumi.\Wait a second! You forgot something. response:	Umm...
context: Tsuruko?\What's wrong?\I'll be back.\Thank you for coming.\Tsuru...\Tsurumi.\Wait a second! You forgot something.\Umm... response:	You should just ignore me during situations like these.
context: What's wrong?\I'll be back.\Thank you for coming.\Tsuru...\Tsurumi.\Wait a second! You forgot something.\Umm...\You should just ignore me during situations like these. response:	I'd be embarrassed if anyone saw me talking to a girl from Mido High.
context: I'll be back.\Thank you for coming.\Tsuru...\Tsurumi.\Wait a second! You forgot something.\Umm...\You should just ignore me during situations like these.\I'd be embarrassed if anyone saw me talking to a girl from Mido High. response:	What do you mean by that?
context: Thank you for coming.\Tsuru...\Tsurumi.\Wait a second! You forgot something.\Umm...\You should just ignore me during situations like these.\I'd be embarrassed if anyone saw me talking to a girl from Mido High.\What do you mean by that? response:	Wait!
context: Tsuru...\Tsurumi.\Wait a second! You forgot something.\Umm...\You should just ignore me during situations like these.\I'd be embarrassed if anyone saw me talking to a girl from Mido High.\What do you mean by that?\Wait! response:	I went out of my way to bring that to you!
context: Tsurumi.\Wait a second! You forgot something.\Umm...\You should just ignore me during situations like these.\I'd be embarrassed if anyone saw me talking to a girl from Mido High.\What do you mean by that?\Wait!\I went out of my way to bring that to you! response:	I didn't ask you to.
context: Wait a second! You forgot something.\Umm...\You should just ignore me during situations like these.\I'd be embarrassed if anyone saw me talking to a girl from Mido High.\What do you mean by that?\Wait!\I went out of my way to bring that to you!\I didn't ask you to. response:	Stop it! Stop it you two!
context: Umm...\You should just ignore me during situations like these.\I'd be embarrassed if anyone saw me talking to a girl from Mido High.\What do you mean by that?\Wait!\I went out of my way to bring that to you!\I didn't ask you to.\Stop it! Stop it you two! response:	Anaru, Tsuruko, don't fight!
context: You should just ignore me during situations like these.\I'd be embarrassed if anyone saw me talking to a girl from Mido High.\What do you mean by that?\Wait!\I went out of my way to bring that to you!\I didn't ask you to.\Stop it! Stop it you two!\Anaru, Tsuruko, don't fight! response:	Since when were you so full of yourself?
context: I'd be embarrassed if anyone saw me talking to a girl from Mido High.\What do you mean by that?\Wait!\I went out of my way to bring that to you!\I didn't ask you to.\Stop it! Stop it you two!\Anaru, Tsuruko, don't fight!\Since when were you so full of yourself? response:	You were always so timid as a kid.
context: What do you mean by that?\Wait!\I went out of my way to bring that to you!\I didn't ask you to.\Stop it! Stop it you two!\Anaru, Tsuruko, don't fight!\Since when were you so full of yourself?\You were always so timid as a kid. response:	And you haven't changed at all.
context: Wait!\I went out of my way to bring that to you!\I didn't ask you to.\Stop it! Stop it you two!\Anaru, Tsuruko, don't fight!\Since when were you so full of yourself?\You were always so timid as a kid.\And you haven't changed at all. response:	You were always easily influenced by others.
context: I went out of my way to bring that to you!\I didn't ask you to.\Stop it! Stop it you two!\Anaru, Tsuruko, don't fight!\Since when were you so full of yourself?\You were always so timid as a kid.\And you haven't changed at all.\You were always easily influenced by others. response:	Those girls look like they can't keep their legs shut and you fit right in.
context: I didn't ask you to.\Stop it! Stop it you two!\Anaru, Tsuruko, don't fight!\Since when were you so full of yourself?\You were always so timid as a kid.\And you haven't changed at all.\You were always easily influenced by others.\Those girls look like they can't keep their legs shut and you fit right in. response:	Their legs?
context: Stop it! Stop it you two!\Anaru, Tsuruko, don't fight!\Since when were you so full of yourself?\You were always so timid as a kid.\And you haven't changed at all.\You were always easily influenced by others.\Those girls look like they can't keep their legs shut and you fit right in.\Their legs? response:	Even though you always used to imitate Meiko Honma.
context: Anaru, Tsuruko, don't fight!\Since when were you so full of yourself?\You were always so timid as a kid.\And you haven't changed at all.\You were always easily influenced by others.\Those girls look like they can't keep their legs shut and you fit right in.\Their legs?\Even though you always used to imitate Meiko Honma. response:	Don't use a dead girl's name so lightly!
context: Since when were you so full of yourself?\You were always so timid as a kid.\And you haven't changed at all.\You were always easily influenced by others.\Those girls look like they can't keep their legs shut and you fit right in.\Their legs?\Even though you always used to imitate Meiko Honma.\Don't use a dead girl's name so lightly! response:	Anaru.
context: You were always so timid as a kid.\And you haven't changed at all.\You were always easily influenced by others.\Those girls look like they can't keep their legs shut and you fit right in.\Their legs?\Even though you always used to imitate Meiko Honma.\Don't use a dead girl's name so lightly!\Anaru. response:	You still get upset when you say it yourself. You're so hopeless.
context: And you haven't changed at all.\You were always easily influenced by others.\Those girls look like they can't keep their legs shut and you fit right in.\Their legs?\Even though you always used to imitate Meiko Honma.\Don't use a dead girl's name so lightly!\Anaru.\You still get upset when you say it yourself. You're so hopeless. response:	Just like Yukiatsu.
context: You were always easily influenced by others.\Those girls look like they can't keep their legs shut and you fit right in.\Their legs?\Even though you always used to imitate Meiko Honma.\Don't use a dead girl's name so lightly!\Anaru.\You still get upset when you say it yourself. You're so hopeless.\Just like Yukiatsu. response:	See ya.
context: Those girls look like they can't keep their legs shut and you fit right in.\Their legs?\Even though you always used to imitate Meiko Honma.\Don't use a dead girl's name so lightly!\Anaru.\You still get upset when you say it yourself. You're so hopeless.\Just like Yukiatsu.\See ya. response:	Tsuruko.
context: Their legs?\Even though you always used to imitate Meiko Honma.\Don't use a dead girl's name so lightly!\Anaru.\You still get upset when you say it yourself. You're so hopeless.\Just like Yukiatsu.\See ya.\Tsuruko. response:	Menma.
context: Even though you always used to imitate Meiko Honma.\Don't use a dead girl's name so lightly!\Anaru.\You still get upset when you say it yourself. You're so hopeless.\Just like Yukiatsu.\See ya.\Tsuruko.\Menma. response:	I wanted...
context: Don't use a dead girl's name so lightly!\Anaru.\You still get upset when you say it yourself. You're so hopeless.\Just like Yukiatsu.\See ya.\Tsuruko.\Menma.\I wanted... response:	To be like Menma.
context: Anaru.\You still get upset when you say it yourself. You're so hopeless.\Just like Yukiatsu.\See ya.\Tsuruko.\Menma.\I wanted...\To be like Menma. response:	On that day.
context: You still get upset when you say it yourself. You're so hopeless.\Just like Yukiatsu.\See ya.\Tsuruko.\Menma.\I wanted...\To be like Menma.\On that day. response:	Hey, Jintan.
context: Just like Yukiatsu.\See ya.\Tsuruko.\Menma.\I wanted...\To be like Menma.\On that day.\Hey, Jintan. response:	Huh?
context: See ya.\Tsuruko.\Menma.\I wanted...\To be like Menma.\On that day.\Hey, Jintan.\Huh? response:	You like Menma, don't you?
context: Tsuruko.\Menma.\I wanted...\To be like Menma.\On that day.\Hey, Jintan.\Huh?\You like Menma, don't you? response:	If only I hadn't spurred them on like that.
context: Menma.\I wanted...\To be like Menma.\On that day.\Hey, Jintan.\Huh?\You like Menma, don't you?\If only I hadn't spurred them on like that. response:	Who...
context: I wanted...\To be like Menma.\On that day.\Hey, Jintan.\Huh?\You like Menma, don't you?\If only I hadn't spurred them on like that.\Who... response:	Who'd like an ugly girl like...
context: To be like Menma.\On that day.\Hey, Jintan.\Huh?\You like Menma, don't you?\If only I hadn't spurred them on like that.\Who...\Who'd like an ugly girl like... response:	Wait, Jintan!
context: On that day.\Hey, Jintan.\Huh?\You like Menma, don't you?\If only I hadn't spurred them on like that.\Who...\Who'd like an ugly girl like...\Wait, Jintan! response:	Jintan!
context: Hey, Jintan.\Huh?\You like Menma, don't you?\If only I hadn't spurred them on like that.\Who...\Who'd like an ugly girl like...\Wait, Jintan!\Jintan! response:	If I hadn't, then things wouldn't have gone like that...
context: Huh?\You like Menma, don't you?\If only I hadn't spurred them on like that.\Who...\Who'd like an ugly girl like...\Wait, Jintan!\Jintan!\If I hadn't, then things wouldn't have gone like that... response:	Oh, crap!
context: You like Menma, don't you?\If only I hadn't spurred them on like that.\Who...\Who'd like an ugly girl like...\Wait, Jintan!\Jintan!\If I hadn't, then things wouldn't have gone like that...\Oh, crap! response:	Anaru.
context: If only I hadn't spurred them on like that.\Who...\Who'd like an ugly girl like...\Wait, Jintan!\Jintan!\If I hadn't, then things wouldn't have gone like that...\Oh, crap!\Anaru. response:	When the froggie croaks, it's time to go back.
context: Who...\Who'd like an ugly girl like...\Wait, Jintan!\Jintan!\If I hadn't, then things wouldn't have gone like that...\Oh, crap!\Anaru.\When the froggie croaks, it's time to go back. response:	When the froggie croaks...
context: Who'd like an ugly girl like...\Wait, Jintan!\Jintan!\If I hadn't, then things wouldn't have gone like that...\Oh, crap!\Anaru.\When the froggie croaks, it's time to go back.\When the froggie croaks... response:	Where should I go?
context: Wait, Jintan!\Jintan!\If I hadn't, then things wouldn't have gone like that...\Oh, crap!\Anaru.\When the froggie croaks, it's time to go back.\When the froggie croaks...\Where should I go? response:	Are you looking for something?
context: Jintan!\If I hadn't, then things wouldn't have gone like that...\Oh, crap!\Anaru.\When the froggie croaks, it's time to go back.\When the froggie croaks...\Where should I go?\Are you looking for something? response:	Umm..
context: If I hadn't, then things wouldn't have gone like that...\Oh, crap!\Anaru.\When the froggie croaks, it's time to go back.\When the froggie croaks...\Where should I go?\Are you looking for something?\Umm.. response:	Well...
context: Oh, crap!\Anaru.\When the froggie croaks, it's time to go back.\When the froggie croaks...\Where should I go?\Are you looking for something?\Umm..\Well... response:	Sorry I'm later.
context: Anaru.\When the froggie croaks, it's time to go back.\When the froggie croaks...\Where should I go?\Are you looking for something?\Umm..\Well...\Sorry I'm later. response:	Yo.
context: When the froggie croaks, it's time to go back.\When the froggie croaks...\Where should I go?\Are you looking for something?\Umm..\Well...\Sorry I'm later.\Yo. response:	What? Nokemon?
context: When the froggie croaks...\Where should I go?\Are you looking for something?\Umm..\Well...\Sorry I'm later.\Yo.\What? Nokemon? response:	Are you going to criticize a customer for what he buys?
context: Where should I go?\Are you looking for something?\Umm..\Well...\Sorry I'm later.\Yo.\What? Nokemon?\Are you going to criticize a customer for what he buys? response:	Which Nokemon do you want? Opal? Emerald?
context: Are you looking for something?\Umm..\Well...\Sorry I'm later.\Yo.\What? Nokemon?\Are you going to criticize a customer for what he buys?\Which Nokemon do you want? Opal? Emerald? response:	Gold.
context: Umm..\Well...\Sorry I'm later.\Yo.\What? Nokemon?\Are you going to criticize a customer for what he buys?\Which Nokemon do you want? Opal? Emerald?\Gold. response:	Whaaa?
context: Well...\Sorry I'm later.\Yo.\What? Nokemon?\Are you going to criticize a customer for what he buys?\Which Nokemon do you want? Opal? Emerald?\Gold.\Whaaa? response:	Nokemon Gold?
context: Sorry I'm later.\Yo.\What? Nokemon?\Are you going to criticize a customer for what he buys?\Which Nokemon do you want? Opal? Emerald?\Gold.\Whaaa?\Nokemon Gold? response:	How many years ago did that come out?
context: Yo.\What? Nokemon?\Are you going to criticize a customer for what he buys?\Which Nokemon do you want? Opal? Emerald?\Gold.\Whaaa?\Nokemon Gold?\How many years ago did that come out? response:	Please sell it to me if you have it.
context: What? Nokemon?\Are you going to criticize a customer for what he buys?\Which Nokemon do you want? Opal? Emerald?\Gold.\Whaaa?\Nokemon Gold?\How many years ago did that come out?\Please sell it to me if you have it. response:	I mean, sell it to me already!
context: Are you going to criticize a customer for what he buys?\Which Nokemon do you want? Opal? Emerald?\Gold.\Whaaa?\Nokemon Gold?\How many years ago did that come out?\Please sell it to me if you have it.\I mean, sell it to me already! response:	What? A rare Nokemon?
context: Which Nokemon do you want? Opal? Emerald?\Gold.\Whaaa?\Nokemon Gold?\How many years ago did that come out?\Please sell it to me if you have it.\I mean, sell it to me already!\What? A rare Nokemon? response:	That's right! Menma really wanted it.
