context: Back in those days, to travel meant to risk your life. response:	You could get lost or robbed.
context: Oh? My, my.\Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything response:	But even now, I'm so serious
context: Party is over\But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious response:	Ah... I still have time to make it
context: But I still wanna dance\I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it response:	Ah... but I'm gonna burn it up, baby
context: I can't even sleep\Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby response:	Sorry darling, it's not that easy
context: Someday, one day my passion's fire will\From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy response:	But surely it's not that bad either
context: From the beginning I knew\One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either response:	Give me fire
context: One day the flames would die out\Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: Hey, I thought I didn't need anything\But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	Party is over
context: But even now, I'm so serious\Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... I still have time to make it\Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it response:	Sorry darling Hurry up Ah... I still have time to make it
context: Ah... but I'm gonna burn it up, baby\Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it response:	Give me fire
context: Sorry darling, it's not that easy\But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire response:	Light it up, baby. I'm gonna burn it up, yeah
context: But surely it's not that bad either\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah response:	2 The story of Bandai
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\2 The story of Bandai response:	You can see. I knew it.
context: Light it up, baby. I'm gonna burn it up, yeah\Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\2 The story of Bandai\You can see. I knew it. response:	You can see, right?
context: Party is over\Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\2 The story of Bandai\You can see. I knew it.\You can see, right? response:	How else could you fight a monster like you just did?
context: Sorry darling Hurry up Ah... I still have time to make it\Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\2 The story of Bandai\You can see. I knew it.\You can see, right?\How else could you fight a monster like you just did? response:	You were so cool. You shouldn't let it go to waste.
context: Sorry darling Hurry up Ah... I still have time to make it\Give me fire\Light it up, baby. I'm gonna burn it up, yeah\2 The story of Bandai\You can see. I knew it.\You can see, right?\How else could you fight a monster like you just did?\You were so cool. You shouldn't let it go to waste. response:	You could...
context: Give me fire\Light it up, baby. I'm gonna burn it up, yeah\2 The story of Bandai\You can see. I knew it.\You can see, right?\How else could you fight a monster like you just did?\You were so cool. You shouldn't let it go to waste.\You could... response:	Hey, are you listening?
context: Light it up, baby. I'm gonna burn it up, yeah\2 The story of Bandai\You can see. I knew it.\You can see, right?\How else could you fight a monster like you just did?\You were so cool. You shouldn't let it go to waste.\You could...\Hey, are you listening? response:	Do you go around slaying monsters?
context: 2 The story of Bandai\You can see. I knew it.\You can see, right?\How else could you fight a monster like you just did?\You were so cool. You shouldn't let it go to waste.\You could...\Hey, are you listening?\Do you go around slaying monsters? response:	How is that sword fixed to your arm?
context: You can see. I knew it.\You can see, right?\How else could you fight a monster like you just did?\You were so cool. You shouldn't let it go to waste.\You could...\Hey, are you listening?\Do you go around slaying monsters?\How is that sword fixed to your arm? response:	And this.
context: You can see, right?\How else could you fight a monster like you just did?\You were so cool. You shouldn't let it go to waste.\You could...\Hey, are you listening?\Do you go around slaying monsters?\How is that sword fixed to your arm?\And this. response:	It fell off your face, and some new skin grew.
context: How else could you fight a monster like you just did?\You were so cool. You shouldn't let it go to waste.\You could...\Hey, are you listening?\Do you go around slaying monsters?\How is that sword fixed to your arm?\And this.\It fell off your face, and some new skin grew. response:	This thing is fake,
context: You were so cool. You shouldn't let it go to waste.\You could...\Hey, are you listening?\Do you go around slaying monsters?\How is that sword fixed to your arm?\And this.\It fell off your face, and some new skin grew.\This thing is fake, response:	but your new skin is real, isn't it?
context: You could...\Hey, are you listening?\Do you go around slaying monsters?\How is that sword fixed to your arm?\And this.\It fell off your face, and some new skin grew.\This thing is fake,\but your new skin is real, isn't it? response:	How'd you do that?
context: Hey, are you listening?\Do you go around slaying monsters?\How is that sword fixed to your arm?\And this.\It fell off your face, and some new skin grew.\This thing is fake,\but your new skin is real, isn't it?\How'd you do that? response:	Hey, you listening?
context: Do you go around slaying monsters?\How is that sword fixed to your arm?\And this.\It fell off your face, and some new skin grew.\This thing is fake,\but your new skin is real, isn't it?\How'd you do that?\Hey, you listening? response:	I knew you could see.
context: How is that sword fixed to your arm?\And this.\It fell off your face, and some new skin grew.\This thing is fake,\but your new skin is real, isn't it?\How'd you do that?\Hey, you listening?\I knew you could see. response:	What, you don't want to talk to me?
context: And this.\It fell off your face, and some new skin grew.\This thing is fake,\but your new skin is real, isn't it?\How'd you do that?\Hey, you listening?\I knew you could see.\What, you don't want to talk to me? response:	Why...
context: It fell off your face, and some new skin grew.\This thing is fake,\but your new skin is real, isn't it?\How'd you do that?\Hey, you listening?\I knew you could see.\What, you don't want to talk to me?\Why... response:	Woah! I'm sorry, I'll get off your case.
context: This thing is fake,\but your new skin is real, isn't it?\How'd you do that?\Hey, you listening?\I knew you could see.\What, you don't want to talk to me?\Why...\Woah! I'm sorry, I'll get off your case. response:	Wow.
context: but your new skin is real, isn't it?\How'd you do that?\Hey, you listening?\I knew you could see.\What, you don't want to talk to me?\Why...\Woah! I'm sorry, I'll get off your case.\Wow. response:	Woah! Stop, stop.
context: How'd you do that?\Hey, you listening?\I knew you could see.\What, you don't want to talk to me?\Why...\Woah! I'm sorry, I'll get off your case.\Wow.\Woah! Stop, stop. response:	You shouldn't eat it raw. Wait a sec.
context: Hey, you listening?\I knew you could see.\What, you don't want to talk to me?\Why...\Woah! I'm sorry, I'll get off your case.\Wow.\Woah! Stop, stop.\You shouldn't eat it raw. Wait a sec. response:	How about it? Smells good, huh?
context: I knew you could see.\What, you don't want to talk to me?\Why...\Woah! I'm sorry, I'll get off your case.\Wow.\Woah! Stop, stop.\You shouldn't eat it raw. Wait a sec.\How about it? Smells good, huh? response:	It'd be even better with salt.
context: What, you don't want to talk to me?\Why...\Woah! I'm sorry, I'll get off your case.\Wow.\Woah! Stop, stop.\You shouldn't eat it raw. Wait a sec.\How about it? Smells good, huh?\It'd be even better with salt. response:	But this'll do. Here ya go.
context: Why...\Woah! I'm sorry, I'll get off your case.\Wow.\Woah! Stop, stop.\You shouldn't eat it raw. Wait a sec.\How about it? Smells good, huh?\It'd be even better with salt.\But this'll do. Here ya go. response:	Sometimes it seems like you really can't see.
context: Woah! I'm sorry, I'll get off your case.\Wow.\Woah! Stop, stop.\You shouldn't eat it raw. Wait a sec.\How about it? Smells good, huh?\It'd be even better with salt.\But this'll do. Here ya go.\Sometimes it seems like you really can't see. response:	You can't hear or talk, either.
context: Wow.\Woah! Stop, stop.\You shouldn't eat it raw. Wait a sec.\How about it? Smells good, huh?\It'd be even better with salt.\But this'll do. Here ya go.\Sometimes it seems like you really can't see.\You can't hear or talk, either. response:	You're so strange, you know that?
context: Woah! Stop, stop.\You shouldn't eat it raw. Wait a sec.\How about it? Smells good, huh?\It'd be even better with salt.\But this'll do. Here ya go.\Sometimes it seems like you really can't see.\You can't hear or talk, either.\You're so strange, you know that? response:	Oh well.
context: You shouldn't eat it raw. Wait a sec.\How about it? Smells good, huh?\It'd be even better with salt.\But this'll do. Here ya go.\Sometimes it seems like you really can't see.\You can't hear or talk, either.\You're so strange, you know that?\Oh well. response:	Don't you want to make some money?
context: How about it? Smells good, huh?\It'd be even better with salt.\But this'll do. Here ya go.\Sometimes it seems like you really can't see.\You can't hear or talk, either.\You're so strange, you know that?\Oh well.\Don't you want to make some money? response:	Leave it to me, and I'll make you rich. You could even be a millionaire.
context: It'd be even better with salt.\But this'll do. Here ya go.\Sometimes it seems like you really can't see.\You can't hear or talk, either.\You're so strange, you know that?\Oh well.\Don't you want to make some money?\Leave it to me, and I'll make you rich. You could even be a millionaire. response:	You think so too, that's why you don't shoo me away.
context: But this'll do. Here ya go.\Sometimes it seems like you really can't see.\You can't hear or talk, either.\You're so strange, you know that?\Oh well.\Don't you want to make some money?\Leave it to me, and I'll make you rich. You could even be a millionaire.\You think so too, that's why you don't shoo me away. response:	Hyakkimaru could not see nor hear Dororo.
context: Sometimes it seems like you really can't see.\You can't hear or talk, either.\You're so strange, you know that?\Oh well.\Don't you want to make some money?\Leave it to me, and I'll make you rich. You could even be a millionaire.\You think so too, that's why you don't shoo me away.\Hyakkimaru could not see nor hear Dororo. response:	But there was something he could see ever since he was born.
context: You can't hear or talk, either.\You're so strange, you know that?\Oh well.\Don't you want to make some money?\Leave it to me, and I'll make you rich. You could even be a millionaire.\You think so too, that's why you don't shoo me away.\Hyakkimaru could not see nor hear Dororo.\But there was something he could see ever since he was born. response:	The fire of the soul, shall we say.
context: You're so strange, you know that?\Oh well.\Don't you want to make some money?\Leave it to me, and I'll make you rich. You could even be a millionaire.\You think so too, that's why you don't shoo me away.\Hyakkimaru could not see nor hear Dororo.\But there was something he could see ever since he was born.\The fire of the soul, shall we say. response:	The key was the color.
context: Oh well.\Don't you want to make some money?\Leave it to me, and I'll make you rich. You could even be a millionaire.\You think so too, that's why you don't shoo me away.\Hyakkimaru could not see nor hear Dororo.\But there was something he could see ever since he was born.\The fire of the soul, shall we say.\The key was the color. response:	Hostility, hatred, and beings not of this world.
context: Don't you want to make some money?\Leave it to me, and I'll make you rich. You could even be a millionaire.\You think so too, that's why you don't shoo me away.\Hyakkimaru could not see nor hear Dororo.\But there was something he could see ever since he was born.\The fire of the soul, shall we say.\The key was the color.\Hostility, hatred, and beings not of this world. response:	Hyakkimaru detected such dangers by their colors.
context: Leave it to me, and I'll make you rich. You could even be a millionaire.\You think so too, that's why you don't shoo me away.\Hyakkimaru could not see nor hear Dororo.\But there was something he could see ever since he was born.\The fire of the soul, shall we say.\The key was the color.\Hostility, hatred, and beings not of this world.\Hyakkimaru detected such dangers by their colors. response:	As well as this power, he also possessed superhuman senses and strength.
context: You think so too, that's why you don't shoo me away.\Hyakkimaru could not see nor hear Dororo.\But there was something he could see ever since he was born.\The fire of the soul, shall we say.\The key was the color.\Hostility, hatred, and beings not of this world.\Hyakkimaru detected such dangers by their colors.\As well as this power, he also possessed superhuman senses and strength. response:	This was how he survived the darkness in which he lived.
context: Hyakkimaru could not see nor hear Dororo.\But there was something he could see ever since he was born.\The fire of the soul, shall we say.\The key was the color.\Hostility, hatred, and beings not of this world.\Hyakkimaru detected such dangers by their colors.\As well as this power, he also possessed superhuman senses and strength.\This was how he survived the darkness in which he lived. response:	Hyakkimaru let Dororo stay close,
context: But there was something he could see ever since he was born.\The fire of the soul, shall we say.\The key was the color.\Hostility, hatred, and beings not of this world.\Hyakkimaru detected such dangers by their colors.\As well as this power, he also possessed superhuman senses and strength.\This was how he survived the darkness in which he lived.\Hyakkimaru let Dororo stay close, response:	only because the color of his soul did not indicate danger.
context: The fire of the soul, shall we say.\The key was the color.\Hostility, hatred, and beings not of this world.\Hyakkimaru detected such dangers by their colors.\As well as this power, he also possessed superhuman senses and strength.\This was how he survived the darkness in which he lived.\Hyakkimaru let Dororo stay close,\only because the color of his soul did not indicate danger. response:	Even so...
context: The key was the color.\Hostility, hatred, and beings not of this world.\Hyakkimaru detected such dangers by their colors.\As well as this power, he also possessed superhuman senses and strength.\This was how he survived the darkness in which he lived.\Hyakkimaru let Dororo stay close,\only because the color of his soul did not indicate danger.\Even so... response:	Here. This small one's for me because I cooked it for you.
context: Hostility, hatred, and beings not of this world.\Hyakkimaru detected such dangers by their colors.\As well as this power, he also possessed superhuman senses and strength.\This was how he survived the darkness in which he lived.\Hyakkimaru let Dororo stay close,\only because the color of his soul did not indicate danger.\Even so...\Here. This small one's for me because I cooked it for you. response:	This soul didn't pass him by, but remained close.
context: Hyakkimaru detected such dangers by their colors.\As well as this power, he also possessed superhuman senses and strength.\This was how he survived the darkness in which he lived.\Hyakkimaru let Dororo stay close,\only because the color of his soul did not indicate danger.\Even so...\Here. This small one's for me because I cooked it for you.\This soul didn't pass him by, but remained close. response:	It was the second soul to do so.
context: As well as this power, he also possessed superhuman senses and strength.\This was how he survived the darkness in which he lived.\Hyakkimaru let Dororo stay close,\only because the color of his soul did not indicate danger.\Even so...\Here. This small one's for me because I cooked it for you.\This soul didn't pass him by, but remained close.\It was the second soul to do so. response:	Stop...
context: This was how he survived the darkness in which he lived.\Hyakkimaru let Dororo stay close,\only because the color of his soul did not indicate danger.\Even so...\Here. This small one's for me because I cooked it for you.\This soul didn't pass him by, but remained close.\It was the second soul to do so.\Stop... response:	Don't...
context: Hyakkimaru let Dororo stay close,\only because the color of his soul did not indicate danger.\Even so...\Here. This small one's for me because I cooked it for you.\This soul didn't pass him by, but remained close.\It was the second soul to do so.\Stop...\Don't... response:	Mama!
context: only because the color of his soul did not indicate danger.\Even so...\Here. This small one's for me because I cooked it for you.\This soul didn't pass him by, but remained close.\It was the second soul to do so.\Stop...\Don't...\Mama! response:	Did I say something in my sleep?
context: Even so...\Here. This small one's for me because I cooked it for you.\This soul didn't pass him by, but remained close.\It was the second soul to do so.\Stop...\Don't...\Mama!\Did I say something in my sleep? response:	Oh yeah.
context: Here. This small one's for me because I cooked it for you.\This soul didn't pass him by, but remained close.\It was the second soul to do so.\Stop...\Don't...\Mama!\Did I say something in my sleep?\Oh yeah. response:	You can't hear me.
context: This soul didn't pass him by, but remained close.\It was the second soul to do so.\Stop...\Don't...\Mama!\Did I say something in my sleep?\Oh yeah.\You can't hear me. response:	Can't you at least tell me your name?
context: It was the second soul to do so.\Stop...\Don't...\Mama!\Did I say something in my sleep?\Oh yeah.\You can't hear me.\Can't you at least tell me your name? response:	I'm Dororo. Do-ro-ro.
context: Stop...\Don't...\Mama!\Did I say something in my sleep?\Oh yeah.\You can't hear me.\Can't you at least tell me your name?\I'm Dororo. Do-ro-ro. response:	You?
context: Don't...\Mama!\Did I say something in my sleep?\Oh yeah.\You can't hear me.\Can't you at least tell me your name?\I'm Dororo. Do-ro-ro.\You? response:	Guess not. You're Mr. No-name then.
context: Mama!\Did I say something in my sleep?\Oh yeah.\You can't hear me.\Can't you at least tell me your name?\I'm Dororo. Do-ro-ro.\You?\Guess not. You're Mr. No-name then. response:	Goodnight.
context: Did I say something in my sleep?\Oh yeah.\You can't hear me.\Can't you at least tell me your name?\I'm Dororo. Do-ro-ro.\You?\Guess not. You're Mr. No-name then.\Goodnight. response:	Hey!
context: Oh yeah.\You can't hear me.\Can't you at least tell me your name?\I'm Dororo. Do-ro-ro.\You?\Guess not. You're Mr. No-name then.\Goodnight.\Hey! response:	Listen up!
context: You can't hear me.\Can't you at least tell me your name?\I'm Dororo. Do-ro-ro.\You?\Guess not. You're Mr. No-name then.\Goodnight.\Hey!\Listen up! response:	I just heard about something that we could make money with.
context: Can't you at least tell me your name?\I'm Dororo. Do-ro-ro.\You?\Guess not. You're Mr. No-name then.\Goodnight.\Hey!\Listen up!\I just heard about something that we could make money with. response:	It seems like there's a monster haunting a village.
context: I'm Dororo. Do-ro-ro.\You?\Guess not. You're Mr. No-name then.\Goodnight.\Hey!\Listen up!\I just heard about something that we could make money with.\It seems like there's a monster haunting a village. response:	Villagers and travelers who stop by disappear now and then.
context: You?\Guess not. You're Mr. No-name then.\Goodnight.\Hey!\Listen up!\I just heard about something that we could make money with.\It seems like there's a monster haunting a village.\Villagers and travelers who stop by disappear now and then. response:	You're going to beat it like you did before and get a reward.
context: Guess not. You're Mr. No-name then.\Goodnight.\Hey!\Listen up!\I just heard about something that we could make money with.\It seems like there's a monster haunting a village.\Villagers and travelers who stop by disappear now and then.\You're going to beat it like you did before and get a reward. response:	We save people and get money doing it. Great, huh?
context: Goodnight.\Hey!\Listen up!\I just heard about something that we could make money with.\It seems like there's a monster haunting a village.\Villagers and travelers who stop by disappear now and then.\You're going to beat it like you did before and get a reward.\We save people and get money doing it. Great, huh? response:	Seems like a pretty rich village.
context: Hey!\Listen up!\I just heard about something that we could make money with.\It seems like there's a monster haunting a village.\Villagers and travelers who stop by disappear now and then.\You're going to beat it like you did before and get a reward.\We save people and get money doing it. Great, huh?\Seems like a pretty rich village. response:	There's really a monster here?
context: Listen up!\I just heard about something that we could make money with.\It seems like there's a monster haunting a village.\Villagers and travelers who stop by disappear now and then.\You're going to beat it like you did before and get a reward.\We save people and get money doing it. Great, huh?\Seems like a pretty rich village.\There's really a monster here? response:	Did somebody say monster?
context: I just heard about something that we could make money with.\It seems like there's a monster haunting a village.\Villagers and travelers who stop by disappear now and then.\You're going to beat it like you did before and get a reward.\We save people and get money doing it. Great, huh?\Seems like a pretty rich village.\There's really a monster here?\Did somebody say monster? response:	What about a monster?
context: It seems like there's a monster haunting a village.\Villagers and travelers who stop by disappear now and then.\You're going to beat it like you did before and get a reward.\We save people and get money doing it. Great, huh?\Seems like a pretty rich village.\There's really a monster here?\Did somebody say monster?\What about a monster? response:	Don't assume I don't know.
context: Villagers and travelers who stop by disappear now and then.\You're going to beat it like you did before and get a reward.\We save people and get money doing it. Great, huh?\Seems like a pretty rich village.\There's really a monster here?\Did somebody say monster?\What about a monster?\Don't assume I don't know. response:	We heard you're in trouble.
context: You're going to beat it like you did before and get a reward.\We save people and get money doing it. Great, huh?\Seems like a pretty rich village.\There's really a monster here?\Did somebody say monster?\What about a monster?\Don't assume I don't know.\We heard you're in trouble. response:	Got some great news for ya.
context: We save people and get money doing it. Great, huh?\Seems like a pretty rich village.\There's really a monster here?\Did somebody say monster?\What about a monster?\Don't assume I don't know.\We heard you're in trouble.\Got some great news for ya. response:	This guy right here is the best at slaying monsters.
context: Seems like a pretty rich village.\There's really a monster here?\Did somebody say monster?\What about a monster?\Don't assume I don't know.\We heard you're in trouble.\Got some great news for ya.\This guy right here is the best at slaying monsters. response:	How about it?
context: There's really a monster here?\Did somebody say monster?\What about a monster?\Don't assume I don't know.\We heard you're in trouble.\Got some great news for ya.\This guy right here is the best at slaying monsters.\How about it? response:	Can he really do it?
context: Did somebody say monster?\What about a monster?\Don't assume I don't know.\We heard you're in trouble.\Got some great news for ya.\This guy right here is the best at slaying monsters.\How about it?\Can he really do it? response:	As sure as anything.
context: What about a monster?\Don't assume I don't know.\We heard you're in trouble.\Got some great news for ya.\This guy right here is the best at slaying monsters.\How about it?\Can he really do it?\As sure as anything. response:	Just the other day, he beat up this huge monster into little bits.
context: Don't assume I don't know.\We heard you're in trouble.\Got some great news for ya.\This guy right here is the best at slaying monsters.\How about it?\Can he really do it?\As sure as anything.\Just the other day, he beat up this huge monster into little bits. response:	I saw it with my own eyes.
context: We heard you're in trouble.\Got some great news for ya.\This guy right here is the best at slaying monsters.\How about it?\Can he really do it?\As sure as anything.\Just the other day, he beat up this huge monster into little bits.\I saw it with my own eyes. response:	So how about it? Can't hurt to give us a shot.
context: Got some great news for ya.\This guy right here is the best at slaying monsters.\How about it?\Can he really do it?\As sure as anything.\Just the other day, he beat up this huge monster into little bits.\I saw it with my own eyes.\So how about it? Can't hurt to give us a shot. response:	Got nothing to lose, right?
context: This guy right here is the best at slaying monsters.\How about it?\Can he really do it?\As sure as anything.\Just the other day, he beat up this huge monster into little bits.\I saw it with my own eyes.\So how about it? Can't hurt to give us a shot.\Got nothing to lose, right? response:	How fortunate that you came.
context: How about it?\Can he really do it?\As sure as anything.\Just the other day, he beat up this huge monster into little bits.\I saw it with my own eyes.\So how about it? Can't hurt to give us a shot.\Got nothing to lose, right?\How fortunate that you came. response:	If you'll slay it for us, the village will do much to repay you.
context: Can he really do it?\As sure as anything.\Just the other day, he beat up this huge monster into little bits.\I saw it with my own eyes.\So how about it? Can't hurt to give us a shot.\Got nothing to lose, right?\How fortunate that you came.\If you'll slay it for us, the village will do much to repay you. response:	Right, everyone?
context: As sure as anything.\Just the other day, he beat up this huge monster into little bits.\I saw it with my own eyes.\So how about it? Can't hurt to give us a shot.\Got nothing to lose, right?\How fortunate that you came.\If you'll slay it for us, the village will do much to repay you.\Right, everyone? response:	I like the way you talk, Chief.
context: Just the other day, he beat up this huge monster into little bits.\I saw it with my own eyes.\So how about it? Can't hurt to give us a shot.\Got nothing to lose, right?\How fortunate that you came.\If you'll slay it for us, the village will do much to repay you.\Right, everyone?\I like the way you talk, Chief. response:	I'm just filling in for the chief. My name is Denkichi.
context: I saw it with my own eyes.\So how about it? Can't hurt to give us a shot.\Got nothing to lose, right?\How fortunate that you came.\If you'll slay it for us, the village will do much to repay you.\Right, everyone?\I like the way you talk, Chief.\I'm just filling in for the chief. My name is Denkichi. response:	Our chief's name is Bandai.
context: So how about it? Can't hurt to give us a shot.\Got nothing to lose, right?\How fortunate that you came.\If you'll slay it for us, the village will do much to repay you.\Right, everyone?\I like the way you talk, Chief.\I'm just filling in for the chief. My name is Denkichi.\Our chief's name is Bandai. response:	She has injured her legs and can't move.
context: Got nothing to lose, right?\How fortunate that you came.\If you'll slay it for us, the village will do much to repay you.\Right, everyone?\I like the way you talk, Chief.\I'm just filling in for the chief. My name is Denkichi.\Our chief's name is Bandai.\She has injured her legs and can't move. response:	Anyways, please feel free to stay at my home.
context: How fortunate that you came.\If you'll slay it for us, the village will do much to repay you.\Right, everyone?\I like the way you talk, Chief.\I'm just filling in for the chief. My name is Denkichi.\Our chief's name is Bandai.\She has injured her legs and can't move.\Anyways, please feel free to stay at my home. response:	I don't have much to offer, but would you like some supper?
context: If you'll slay it for us, the village will do much to repay you.\Right, everyone?\I like the way you talk, Chief.\I'm just filling in for the chief. My name is Denkichi.\Our chief's name is Bandai.\She has injured her legs and can't move.\Anyways, please feel free to stay at my home.\I don't have much to offer, but would you like some supper? response:	I really like the way you talk.
context: Right, everyone?\I like the way you talk, Chief.\I'm just filling in for the chief. My name is Denkichi.\Our chief's name is Bandai.\She has injured her legs and can't move.\Anyways, please feel free to stay at my home.\I don't have much to offer, but would you like some supper?\I really like the way you talk. response:	Come this way.
context: I like the way you talk, Chief.\I'm just filling in for the chief. My name is Denkichi.\Our chief's name is Bandai.\She has injured her legs and can't move.\Anyways, please feel free to stay at my home.\I don't have much to offer, but would you like some supper?\I really like the way you talk.\Come this way. response:	This is like paradise.
context: I'm just filling in for the chief. My name is Denkichi.\Our chief's name is Bandai.\She has injured her legs and can't move.\Anyways, please feel free to stay at my home.\I don't have much to offer, but would you like some supper?\I really like the way you talk.\Come this way.\This is like paradise. response:	I haven't eaten so much for ages.
context: Our chief's name is Bandai.\She has injured her legs and can't move.\Anyways, please feel free to stay at my home.\I don't have much to offer, but would you like some supper?\I really like the way you talk.\Come this way.\This is like paradise.\I haven't eaten so much for ages. response:	But they're pretty flashy for a village troubled by a monster.
context: She has injured her legs and can't move.\Anyways, please feel free to stay at my home.\I don't have much to offer, but would you like some supper?\I really like the way you talk.\Come this way.\This is like paradise.\I haven't eaten so much for ages.\But they're pretty flashy for a village troubled by a monster. response:	They don't have a lot of rice paddies, either.
context: Anyways, please feel free to stay at my home.\I don't have much to offer, but would you like some supper?\I really like the way you talk.\Come this way.\This is like paradise.\I haven't eaten so much for ages.\But they're pretty flashy for a village troubled by a monster.\They don't have a lot of rice paddies, either. response:	How do they make so much money?
context: I don't have much to offer, but would you like some supper?\I really like the way you talk.\Come this way.\This is like paradise.\I haven't eaten so much for ages.\But they're pretty flashy for a village troubled by a monster.\They don't have a lot of rice paddies, either.\How do they make so much money? response:	Monster!
context: I really like the way you talk.\Come this way.\This is like paradise.\I haven't eaten so much for ages.\But they're pretty flashy for a village troubled by a monster.\They don't have a lot of rice paddies, either.\How do they make so much money?\Monster! response:	Monster, right over there!
