context: What is this, my lord? response:	Evans/Person of the Land Pursall/Person of the Land
context: The fifty-four People of the Land who fell asleep are being kept at the guild hall.\The same phenomenon occurred in Maihama.\Lord Sergiatte is still asleep and won't wake up.\Silver Sword says Susukino is safe.\Then only People of the Land fall asleep?\Yes.\Belna/Person of the Land\Their MP falls to zero and doesn't recover fast enough naturally. response:	Belna/Person of the Land
context: The same phenomenon occurred in Maihama.\Lord Sergiatte is still asleep and won't wake up.\Silver Sword says Susukino is safe.\Then only People of the Land fall asleep?\Yes.\Belna/Person of the Land\Their MP falls to zero and doesn't recover fast enough naturally.\Belna/Person of the Land response:	So their MP is being continually drained?
context: Lord Sergiatte is still asleep and won't wake up.\Silver Sword says Susukino is safe.\Then only People of the Land fall asleep?\Yes.\Belna/Person of the Land\Their MP falls to zero and doesn't recover fast enough naturally.\Belna/Person of the Land\So their MP is being continually drained? response:	Eyewitnesses suggest it's due to a moth-like monster with shining wings.
context: Silver Sword says Susukino is safe.\Then only People of the Land fall asleep?\Yes.\Belna/Person of the Land\Their MP falls to zero and doesn't recover fast enough naturally.\Belna/Person of the Land\So their MP is being continually drained?\Eyewitnesses suggest it's due to a moth-like monster with shining wings. response:	A moth spirit, probably...
context: Then only People of the Land fall asleep?\Yes.\Belna/Person of the Land\Their MP falls to zero and doesn't recover fast enough naturally.\Belna/Person of the Land\So their MP is being continually drained?\Eyewitnesses suggest it's due to a moth-like monster with shining wings.\A moth spirit, probably... response:	There wasn't any monster like that in the game.
context: Yes.\Belna/Person of the Land\Their MP falls to zero and doesn't recover fast enough naturally.\Belna/Person of the Land\So their MP is being continually drained?\Eyewitnesses suggest it's due to a moth-like monster with shining wings.\A moth spirit, probably...\There wasn't any monster like that in the game. response:	For now, it appears our best move
context: Belna/Person of the Land\Their MP falls to zero and doesn't recover fast enough naturally.\Belna/Person of the Land\So their MP is being continually drained?\Eyewitnesses suggest it's due to a moth-like monster with shining wings.\A moth spirit, probably...\There wasn't any monster like that in the game.\For now, it appears our best move response:	is to keep investigating and to strengthen our defenses.
context: Their MP falls to zero and doesn't recover fast enough naturally.\Belna/Person of the Land\So their MP is being continually drained?\Eyewitnesses suggest it's due to a moth-like monster with shining wings.\A moth spirit, probably...\There wasn't any monster like that in the game.\For now, it appears our best move\is to keep investigating and to strengthen our defenses. response:	What about Shibuya?
context: Belna/Person of the Land\So their MP is being continually drained?\Eyewitnesses suggest it's due to a moth-like monster with shining wings.\A moth spirit, probably...\There wasn't any monster like that in the game.\For now, it appears our best move\is to keep investigating and to strengthen our defenses.\What about Shibuya? response:	Shibuya?
context: So their MP is being continually drained?\Eyewitnesses suggest it's due to a moth-like monster with shining wings.\A moth spirit, probably...\There wasn't any monster like that in the game.\For now, it appears our best move\is to keep investigating and to strengthen our defenses.\What about Shibuya?\Shibuya? response:	Regan told us that the remains of the
context: Eyewitnesses suggest it's due to a moth-like monster with shining wings.\A moth spirit, probably...\There wasn't any monster like that in the game.\For now, it appears our best move\is to keep investigating and to strengthen our defenses.\What about Shibuya?\Shibuya?\Regan told us that the remains of the response:	broadcasting station in Shibuya may still be functional.
context: A moth spirit, probably...\There wasn't any monster like that in the game.\For now, it appears our best move\is to keep investigating and to strengthen our defenses.\What about Shibuya?\Shibuya?\Regan told us that the remains of the\broadcasting station in Shibuya may still be functional. response:	Shouldn't we investigate that immediately?
context: There wasn't any monster like that in the game.\For now, it appears our best move\is to keep investigating and to strengthen our defenses.\What about Shibuya?\Shibuya?\Regan told us that the remains of the\broadcasting station in Shibuya may still be functional.\Shouldn't we investigate that immediately? response:	And ignore the moth spirit?
context: For now, it appears our best move\is to keep investigating and to strengthen our defenses.\What about Shibuya?\Shibuya?\Regan told us that the remains of the\broadcasting station in Shibuya may still be functional.\Shouldn't we investigate that immediately?\And ignore the moth spirit? response:	It may seem cold, but if only People of the Land are falling asleep
context: is to keep investigating and to strengthen our defenses.\What about Shibuya?\Shibuya?\Regan told us that the remains of the\broadcasting station in Shibuya may still be functional.\Shouldn't we investigate that immediately?\And ignore the moth spirit?\It may seem cold, but if only People of the Land are falling asleep response:	No way!
context: What about Shibuya?\Shibuya?\Regan told us that the remains of the\broadcasting station in Shibuya may still be functional.\Shouldn't we investigate that immediately?\And ignore the moth spirit?\It may seem cold, but if only People of the Land are falling asleep\No way! response:	That's just how much stress the adventurers are under right now!
context: Shibuya?\Regan told us that the remains of the\broadcasting station in Shibuya may still be functional.\Shouldn't we investigate that immediately?\And ignore the moth spirit?\It may seem cold, but if only People of the Land are falling asleep\No way!\That's just how much stress the adventurers are under right now! response:	The Royal Guard's rampage.
context: Regan told us that the remains of the\broadcasting station in Shibuya may still be functional.\Shouldn't we investigate that immediately?\And ignore the moth spirit?\It may seem cold, but if only People of the Land are falling asleep\No way!\That's just how much stress the adventurers are under right now!\The Royal Guard's rampage. response:	The flavor text coming true.
context: broadcasting station in Shibuya may still be functional.\Shouldn't we investigate that immediately?\And ignore the moth spirit?\It may seem cold, but if only People of the Land are falling asleep\No way!\That's just how much stress the adventurers are under right now!\The Royal Guard's rampage.\The flavor text coming true. response:	And now this...
context: Shouldn't we investigate that immediately?\And ignore the moth spirit?\It may seem cold, but if only People of the Land are falling asleep\No way!\That's just how much stress the adventurers are under right now!\The Royal Guard's rampage.\The flavor text coming true.\And now this... response:	And there are signs of impending war with People of the Land.
context: And ignore the moth spirit?\It may seem cold, but if only People of the Land are falling asleep\No way!\That's just how much stress the adventurers are under right now!\The Royal Guard's rampage.\The flavor text coming true.\And now this...\And there are signs of impending war with People of the Land. response:	We don't have the energy to spend on anything else.
context: It may seem cold, but if only People of the Land are falling asleep\No way!\That's just how much stress the adventurers are under right now!\The Royal Guard's rampage.\The flavor text coming true.\And now this...\And there are signs of impending war with People of the Land.\We don't have the energy to spend on anything else. response:	I do understand how you feel, but...
context: No way!\That's just how much stress the adventurers are under right now!\The Royal Guard's rampage.\The flavor text coming true.\And now this...\And there are signs of impending war with People of the Land.\We don't have the energy to spend on anything else.\I do understand how you feel, but... response:	Yeah. Even if we can go home, it's not going to happen right away.
context: That's just how much stress the adventurers are under right now!\The Royal Guard's rampage.\The flavor text coming true.\And now this...\And there are signs of impending war with People of the Land.\We don't have the energy to spend on anything else.\I do understand how you feel, but...\Yeah. Even if we can go home, it's not going to happen right away. response:	Right, Shiroe?
context: The Royal Guard's rampage.\The flavor text coming true.\And now this...\And there are signs of impending war with People of the Land.\We don't have the energy to spend on anything else.\I do understand how you feel, but...\Yeah. Even if we can go home, it's not going to happen right away.\Right, Shiroe? response:	Yes...
context: The flavor text coming true.\And now this...\And there are signs of impending war with People of the Land.\We don't have the energy to spend on anything else.\I do understand how you feel, but...\Yeah. Even if we can go home, it's not going to happen right away.\Right, Shiroe?\Yes... response:	But that doesn't mean we can do nothing.
context: And now this...\And there are signs of impending war with People of the Land.\We don't have the energy to spend on anything else.\I do understand how you feel, but...\Yeah. Even if we can go home, it's not going to happen right away.\Right, Shiroe?\Yes...\But that doesn't mean we can do nothing. response:	Let's keep an eye on the situation and see what we can do.
context: And there are signs of impending war with People of the Land.\We don't have the energy to spend on anything else.\I do understand how you feel, but...\Yeah. Even if we can go home, it's not going to happen right away.\Right, Shiroe?\Yes...\But that doesn't mean we can do nothing.\Let's keep an eye on the situation and see what we can do. response:	Sleep of the Eternal Moth
context: We don't have the energy to spend on anything else.\I do understand how you feel, but...\Yeah. Even if we can go home, it's not going to happen right away.\Right, Shiroe?\Yes...\But that doesn't mean we can do nothing.\Let's keep an eye on the situation and see what we can do.\Sleep of the Eternal Moth response:	Sleep of the Eternal Moth.
context: I do understand how you feel, but...\Yeah. Even if we can go home, it's not going to happen right away.\Right, Shiroe?\Yes...\But that doesn't mean we can do nothing.\Let's keep an eye on the situation and see what we can do.\Sleep of the Eternal Moth\Sleep of the Eternal Moth. response:	There aren't many people today.
context: Yeah. Even if we can go home, it's not going to happen right away.\Right, Shiroe?\Yes...\But that doesn't mean we can do nothing.\Let's keep an eye on the situation and see what we can do.\Sleep of the Eternal Moth\Sleep of the Eternal Moth.\There aren't many people today. response:	Yeah, with the moth spirit running around...
context: Right, Shiroe?\Yes...\But that doesn't mean we can do nothing.\Let's keep an eye on the situation and see what we can do.\Sleep of the Eternal Moth\Sleep of the Eternal Moth.\There aren't many people today.\Yeah, with the moth spirit running around... response:	Tohya.
context: Yes...\But that doesn't mean we can do nothing.\Let's keep an eye on the situation and see what we can do.\Sleep of the Eternal Moth\Sleep of the Eternal Moth.\There aren't many people today.\Yeah, with the moth spirit running around...\Tohya. response:	What did Chief Nyanta say?
context: But that doesn't mean we can do nothing.\Let's keep an eye on the situation and see what we can do.\Sleep of the Eternal Moth\Sleep of the Eternal Moth.\There aren't many people today.\Yeah, with the moth spirit running around...\Tohya.\What did Chief Nyanta say? response:	He's going to patrol with us tonight.
context: Let's keep an eye on the situation and see what we can do.\Sleep of the Eternal Moth\Sleep of the Eternal Moth.\There aren't many people today.\Yeah, with the moth spirit running around...\Tohya.\What did Chief Nyanta say?\He's going to patrol with us tonight. response:	All right.
context: Sleep of the Eternal Moth\Sleep of the Eternal Moth.\There aren't many people today.\Yeah, with the moth spirit running around...\Tohya.\What did Chief Nyanta say?\He's going to patrol with us tonight.\All right. response:	The People of the Land who fell asleep show no signs of waking up yet.
context: Sleep of the Eternal Moth.\There aren't many people today.\Yeah, with the moth spirit running around...\Tohya.\What did Chief Nyanta say?\He's going to patrol with us tonight.\All right.\The People of the Land who fell asleep show no signs of waking up yet. response:	I'm worried about them.
context: There aren't many people today.\Yeah, with the moth spirit running around...\Tohya.\What did Chief Nyanta say?\He's going to patrol with us tonight.\All right.\The People of the Land who fell asleep show no signs of waking up yet.\I'm worried about them. response:	I'm going home.
context: Yeah, with the moth spirit running around...\Tohya.\What did Chief Nyanta say?\He's going to patrol with us tonight.\All right.\The People of the Land who fell asleep show no signs of waking up yet.\I'm worried about them.\I'm going home. response:	Are you thinking about your home?
context: Tohya.\What did Chief Nyanta say?\He's going to patrol with us tonight.\All right.\The People of the Land who fell asleep show no signs of waking up yet.\I'm worried about them.\I'm going home.\Are you thinking about your home? response:	Rudy?
context: What did Chief Nyanta say?\He's going to patrol with us tonight.\All right.\The People of the Land who fell asleep show no signs of waking up yet.\I'm worried about them.\I'm going home.\Are you thinking about your home?\Rudy? response:	Even if we're apart, I don't think our relationship will change.
context: He's going to patrol with us tonight.\All right.\The People of the Land who fell asleep show no signs of waking up yet.\I'm worried about them.\I'm going home.\Are you thinking about your home?\Rudy?\Even if we're apart, I don't think our relationship will change. response:	I might not be able to see you anymore.
context: All right.\The People of the Land who fell asleep show no signs of waking up yet.\I'm worried about them.\I'm going home.\Are you thinking about your home?\Rudy?\Even if we're apart, I don't think our relationship will change.\I might not be able to see you anymore. response:	Even so, if you have a place to go home to, you should.
context: The People of the Land who fell asleep show no signs of waking up yet.\I'm worried about them.\I'm going home.\Are you thinking about your home?\Rudy?\Even if we're apart, I don't think our relationship will change.\I might not be able to see you anymore.\Even so, if you have a place to go home to, you should. response:	There are some people who can't, even if they want to.
context: I'm worried about them.\I'm going home.\Are you thinking about your home?\Rudy?\Even if we're apart, I don't think our relationship will change.\I might not be able to see you anymore.\Even so, if you have a place to go home to, you should.\There are some people who can't, even if they want to. response:	Rudy...
context: I'm going home.\Are you thinking about your home?\Rudy?\Even if we're apart, I don't think our relationship will change.\I might not be able to see you anymore.\Even so, if you have a place to go home to, you should.\There are some people who can't, even if they want to.\Rudy... response:	Okay, we're going to head out on patrol.
context: Are you thinking about your home?\Rudy?\Even if we're apart, I don't think our relationship will change.\I might not be able to see you anymore.\Even so, if you have a place to go home to, you should.\There are some people who can't, even if they want to.\Rudy...\Okay, we're going to head out on patrol. response:	Yeah.
context: Rudy?\Even if we're apart, I don't think our relationship will change.\I might not be able to see you anymore.\Even so, if you have a place to go home to, you should.\There are some people who can't, even if they want to.\Rudy...\Okay, we're going to head out on patrol.\Yeah. response:	Chief, take care of them.
context: Even if we're apart, I don't think our relationship will change.\I might not be able to see you anymore.\Even so, if you have a place to go home to, you should.\There are some people who can't, even if they want to.\Rudy...\Okay, we're going to head out on patrol.\Yeah.\Chief, take care of them. response:	Shiro!
context: I might not be able to see you anymore.\Even so, if you have a place to go home to, you should.\There are some people who can't, even if they want to.\Rudy...\Okay, we're going to head out on patrol.\Yeah.\Chief, take care of them.\Shiro! response:	Shiroe! Look!
context: Even so, if you have a place to go home to, you should.\There are some people who can't, even if they want to.\Rudy...\Okay, we're going to head out on patrol.\Yeah.\Chief, take care of them.\Shiro!\Shiroe! Look! response:	They're here! They're here!
context: There are some people who can't, even if they want to.\Rudy...\Okay, we're going to head out on patrol.\Yeah.\Chief, take care of them.\Shiro!\Shiroe! Look!\They're here! They're here! response:	A whole swarm of moths!
context: Rudy...\Okay, we're going to head out on patrol.\Yeah.\Chief, take care of them.\Shiro!\Shiroe! Look!\They're here! They're here!\A whole swarm of moths! response:	Eternal Moth
context: Okay, we're going to head out on patrol.\Yeah.\Chief, take care of them.\Shiro!\Shiroe! Look!\They're here! They're here!\A whole swarm of moths!\Eternal Moth response:	Eternal moths?
context: Yeah.\Chief, take care of them.\Shiro!\Shiroe! Look!\They're here! They're here!\A whole swarm of moths!\Eternal Moth\Eternal moths? response:	So many of them!
context: Chief, take care of them.\Shiro!\Shiroe! Look!\They're here! They're here!\A whole swarm of moths!\Eternal Moth\Eternal moths?\So many of them! response:	This is bad.
context: Shiro!\Shiroe! Look!\They're here! They're here!\A whole swarm of moths!\Eternal Moth\Eternal moths?\So many of them!\This is bad. response:	Could this be...
context: Shiroe! Look!\They're here! They're here!\A whole swarm of moths!\Eternal Moth\Eternal moths?\So many of them!\This is bad.\Could this be... response:	I hate bugs!
context: They're here! They're here!\A whole swarm of moths!\Eternal Moth\Eternal moths?\So many of them!\This is bad.\Could this be...\I hate bugs! response:	What the hell is this?
context: A whole swarm of moths!\Eternal Moth\Eternal moths?\So many of them!\This is bad.\Could this be...\I hate bugs!\What the hell is this? response:	The shed scales are passing through the city's defense magic?
context: Eternal Moth\Eternal moths?\So many of them!\This is bad.\Could this be...\I hate bugs!\What the hell is this?\The shed scales are passing through the city's defense magic? response:	Just draw their attention!
context: Eternal moths?\So many of them!\This is bad.\Could this be...\I hate bugs!\What the hell is this?\The shed scales are passing through the city's defense magic?\Just draw their attention! response:	Push them outside the walls!
context: So many of them!\This is bad.\Could this be...\I hate bugs!\What the hell is this?\The shed scales are passing through the city's defense magic?\Just draw their attention!\Push them outside the walls! response:	The southwest side's about to be breached...
context: This is bad.\Could this be...\I hate bugs!\What the hell is this?\The shed scales are passing through the city's defense magic?\Just draw their attention!\Push them outside the walls!\The southwest side's about to be breached... response:	Team 2, cover them!
context: Could this be...\I hate bugs!\What the hell is this?\The shed scales are passing through the city's defense magic?\Just draw their attention!\Push them outside the walls!\The southwest side's about to be breached...\Team 2, cover them! response:	Roger!
context: I hate bugs!\What the hell is this?\The shed scales are passing through the city's defense magic?\Just draw their attention!\Push them outside the walls!\The southwest side's about to be breached...\Team 2, cover them!\Roger! response:	Don't you have to go to your wife, Demi?
context: What the hell is this?\The shed scales are passing through the city's defense magic?\Just draw their attention!\Push them outside the walls!\The southwest side's about to be breached...\Team 2, cover them!\Roger!\Don't you have to go to your wife, Demi? response:	I'm having her lead People of the Land to safety.
context: The shed scales are passing through the city's defense magic?\Just draw their attention!\Push them outside the walls!\The southwest side's about to be breached...\Team 2, cover them!\Roger!\Don't you have to go to your wife, Demi?\I'm having her lead People of the Land to safety. response:	I won't let a single one of them into our town!
context: Just draw their attention!\Push them outside the walls!\The southwest side's about to be breached...\Team 2, cover them!\Roger!\Don't you have to go to your wife, Demi?\I'm having her lead People of the Land to safety.\I won't let a single one of them into our town! response:	All the Royal Guards fell asleep?
context: Push them outside the walls!\The southwest side's about to be breached...\Team 2, cover them!\Roger!\Don't you have to go to your wife, Demi?\I'm having her lead People of the Land to safety.\I won't let a single one of them into our town!\All the Royal Guards fell asleep? response:	That was unexpected.
context: The southwest side's about to be breached...\Team 2, cover them!\Roger!\Don't you have to go to your wife, Demi?\I'm having her lead People of the Land to safety.\I won't let a single one of them into our town!\All the Royal Guards fell asleep?\That was unexpected. response:	An attack from outside the zone...
context: Team 2, cover them!\Roger!\Don't you have to go to your wife, Demi?\I'm having her lead People of the Land to safety.\I won't let a single one of them into our town!\All the Royal Guards fell asleep?\That was unexpected.\An attack from outside the zone... response:	Get the People of the Land to safety!
context: Roger!\Don't you have to go to your wife, Demi?\I'm having her lead People of the Land to safety.\I won't let a single one of them into our town!\All the Royal Guards fell asleep?\That was unexpected.\An attack from outside the zone...\Get the People of the Land to safety! response:	Right!
context: Don't you have to go to your wife, Demi?\I'm having her lead People of the Land to safety.\I won't let a single one of them into our town!\All the Royal Guards fell asleep?\That was unexpected.\An attack from outside the zone...\Get the People of the Land to safety!\Right! response:	This is going to be bad.
context: I'm having her lead People of the Land to safety.\I won't let a single one of them into our town!\All the Royal Guards fell asleep?\That was unexpected.\An attack from outside the zone...\Get the People of the Land to safety!\Right!\This is going to be bad. response:	Marielle, there are more here!
context: I won't let a single one of them into our town!\All the Royal Guards fell asleep?\That was unexpected.\An attack from outside the zone...\Get the People of the Land to safety!\Right!\This is going to be bad.\Marielle, there are more here! response:	This is bad!
context: All the Royal Guards fell asleep?\That was unexpected.\An attack from outside the zone...\Get the People of the Land to safety!\Right!\This is going to be bad.\Marielle, there are more here!\This is bad! response:	Bibiko/Adventurer Tarosa/Adventurer Juggler/Adventurer Stacy/Adventurer
context: That was unexpected.\An attack from outside the zone...\Get the People of the Land to safety!\Right!\This is going to be bad.\Marielle, there are more here!\This is bad!\Bibiko/Adventurer Tarosa/Adventurer Juggler/Adventurer Stacy/Adventurer response:	Even adventurers?
context: An attack from outside the zone...\Get the People of the Land to safety!\Right!\This is going to be bad.\Marielle, there are more here!\This is bad!\Bibiko/Adventurer Tarosa/Adventurer Juggler/Adventurer Stacy/Adventurer\Even adventurers? response:	It isn't only People of the Land?
context: Get the People of the Land to safety!\Right!\This is going to be bad.\Marielle, there are more here!\This is bad!\Bibiko/Adventurer Tarosa/Adventurer Juggler/Adventurer Stacy/Adventurer\Even adventurers?\It isn't only People of the Land? response:	It's dangerous to be outside!
context: Right!\This is going to be bad.\Marielle, there are more here!\This is bad!\Bibiko/Adventurer Tarosa/Adventurer Juggler/Adventurer Stacy/Adventurer\Even adventurers?\It isn't only People of the Land?\It's dangerous to be outside! response:	Everyone, get inside the guild building!
context: This is going to be bad.\Marielle, there are more here!\This is bad!\Bibiko/Adventurer Tarosa/Adventurer Juggler/Adventurer Stacy/Adventurer\Even adventurers?\It isn't only People of the Land?\It's dangerous to be outside!\Everyone, get inside the guild building! response:	At last, adventurers have also started to fall, huh?
context: Marielle, there are more here!\This is bad!\Bibiko/Adventurer Tarosa/Adventurer Juggler/Adventurer Stacy/Adventurer\Even adventurers?\It isn't only People of the Land?\It's dangerous to be outside!\Everyone, get inside the guild building!\At last, adventurers have also started to fall, huh? response:	It seems that if shed scales get on you, you fall asleep.
context: This is bad!\Bibiko/Adventurer Tarosa/Adventurer Juggler/Adventurer Stacy/Adventurer\Even adventurers?\It isn't only People of the Land?\It's dangerous to be outside!\Everyone, get inside the guild building!\At last, adventurers have also started to fall, huh?\It seems that if shed scales get on you, you fall asleep. response:	It may be that your Psyche, your MP, is drained from your body.
context: Bibiko/Adventurer Tarosa/Adventurer Juggler/Adventurer Stacy/Adventurer\Even adventurers?\It isn't only People of the Land?\It's dangerous to be outside!\Everyone, get inside the guild building!\At last, adventurers have also started to fall, huh?\It seems that if shed scales get on you, you fall asleep.\It may be that your Psyche, your MP, is drained from your body. response:	Psyche
context: Even adventurers?\It isn't only People of the Land?\It's dangerous to be outside!\Everyone, get inside the guild building!\At last, adventurers have also started to fall, huh?\It seems that if shed scales get on you, you fall asleep.\It may be that your Psyche, your MP, is drained from your body.\Psyche response:	Perhaps we should call it Missing Psyche Disease.
context: It isn't only People of the Land?\It's dangerous to be outside!\Everyone, get inside the guild building!\At last, adventurers have also started to fall, huh?\It seems that if shed scales get on you, you fall asleep.\It may be that your Psyche, your MP, is drained from your body.\Psyche\Perhaps we should call it Missing Psyche Disease. response:	Missing Psyche Disease
context: It's dangerous to be outside!\Everyone, get inside the guild building!\At last, adventurers have also started to fall, huh?\It seems that if shed scales get on you, you fall asleep.\It may be that your Psyche, your MP, is drained from your body.\Psyche\Perhaps we should call it Missing Psyche Disease.\Missing Psyche Disease response:	But some people are fine.
context: Everyone, get inside the guild building!\At last, adventurers have also started to fall, huh?\It seems that if shed scales get on you, you fall asleep.\It may be that your Psyche, your MP, is drained from your body.\Psyche\Perhaps we should call it Missing Psyche Disease.\Missing Psyche Disease\But some people are fine. response:	We don't know the difference between those who fall asleep and those who don't, but...
context: At last, adventurers have also started to fall, huh?\It seems that if shed scales get on you, you fall asleep.\It may be that your Psyche, your MP, is drained from your body.\Psyche\Perhaps we should call it Missing Psyche Disease.\Missing Psyche Disease\But some people are fine.\We don't know the difference between those who fall asleep and those who don't, but... response:	You don't die, do you?
context: It seems that if shed scales get on you, you fall asleep.\It may be that your Psyche, your MP, is drained from your body.\Psyche\Perhaps we should call it Missing Psyche Disease.\Missing Psyche Disease\But some people are fine.\We don't know the difference between those who fall asleep and those who don't, but...\You don't die, do you? response:	Right.
context: It may be that your Psyche, your MP, is drained from your body.\Psyche\Perhaps we should call it Missing Psyche Disease.\Missing Psyche Disease\But some people are fine.\We don't know the difference between those who fall asleep and those who don't, but...\You don't die, do you?\Right. response:	If you die, you can revive at the Cathedral.
context: Psyche\Perhaps we should call it Missing Psyche Disease.\Missing Psyche Disease\But some people are fine.\We don't know the difference between those who fall asleep and those who don't, but...\You don't die, do you?\Right.\If you die, you can revive at the Cathedral. response:	But once you fall asleep...
context: Perhaps we should call it Missing Psyche Disease.\Missing Psyche Disease\But some people are fine.\We don't know the difference between those who fall asleep and those who don't, but...\You don't die, do you?\Right.\If you die, you can revive at the Cathedral.\But once you fall asleep... response:	How did it go?
context: Missing Psyche Disease\But some people are fine.\We don't know the difference between those who fall asleep and those who don't, but...\You don't die, do you?\Right.\If you die, you can revive at the Cathedral.\But once you fall asleep...\How did it go? response:	I've found the eternal moths' nest, Shiro.
context: But some people are fine.\We don't know the difference between those who fall asleep and those who don't, but...\You don't die, do you?\Right.\If you die, you can revive at the Cathedral.\But once you fall asleep...\How did it go?\I've found the eternal moths' nest, Shiro. response:	Where is it?
context: We don't know the difference between those who fall asleep and those who don't, but...\You don't die, do you?\Right.\If you die, you can revive at the Cathedral.\But once you fall asleep...\How did it go?\I've found the eternal moths' nest, Shiro.\Where is it? response:	Town of Shibuya Japan Server Shibuya City/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None
context: You don't die, do you?\Right.\If you die, you can revive at the Cathedral.\But once you fall asleep...\How did it go?\I've found the eternal moths' nest, Shiro.\Where is it?\Town of Shibuya Japan Server Shibuya City/ Monsters Present PVP Permitted Skill Use Permitted Entry Restrictions/ None Exit Restrictions/ None response:	In Shibuya.
