context: Oni? response:	Something's coming oni.
context: Be that as it may, it looks like he's a lot faster this time oni -\Aaa oni!!\Uncle Piccolo is awesome!\Well, with this many of us members here, I'm not at all afraid of those Saiyans.\I can't wait to see what kind of training Kami- sama puts us through.\Thanks to my eating that fruit, I've already come this far in a flash.\What's that?\I wonder if this is Kaio- sama's residence. response:	What is this!? What is this!?
context: Aaa oni!!\Uncle Piccolo is awesome!\Well, with this many of us members here, I'm not at all afraid of those Saiyans.\I can't wait to see what kind of training Kami- sama puts us through.\Thanks to my eating that fruit, I've already come this far in a flash.\What's that?\I wonder if this is Kaio- sama's residence.\What is this!? What is this!? response:	Snake Princess- sama, we have a visitor.
context: Uncle Piccolo is awesome!\Well, with this many of us members here, I'm not at all afraid of those Saiyans.\I can't wait to see what kind of training Kami- sama puts us through.\Thanks to my eating that fruit, I've already come this far in a flash.\What's that?\I wonder if this is Kaio- sama's residence.\What is this!? What is this!?\Snake Princess- sama, we have a visitor. response:	What? A visitor?
context: Well, with this many of us members here, I'm not at all afraid of those Saiyans.\I can't wait to see what kind of training Kami- sama puts us through.\Thanks to my eating that fruit, I've already come this far in a flash.\What's that?\I wonder if this is Kaio- sama's residence.\What is this!? What is this!?\Snake Princess- sama, we have a visitor.\What? A visitor? response:	My!
context: I can't wait to see what kind of training Kami- sama puts us through.\Thanks to my eating that fruit, I've already come this far in a flash.\What's that?\I wonder if this is Kaio- sama's residence.\What is this!? What is this!?\Snake Princess- sama, we have a visitor.\What? A visitor?\My! response:	Such a handsome gentleman! He's just my type!
context: Thanks to my eating that fruit, I've already come this far in a flash.\What's that?\I wonder if this is Kaio- sama's residence.\What is this!? What is this!?\Snake Princess- sama, we have a visitor.\What? A visitor?\My!\Such a handsome gentleman! He's just my type! response:	The Snake Princess- sama approaches!
context: What's that?\I wonder if this is Kaio- sama's residence.\What is this!? What is this!?\Snake Princess- sama, we have a visitor.\What? A visitor?\My!\Such a handsome gentleman! He's just my type!\The Snake Princess- sama approaches! response:	Then Kaio- sama, you're...
context: I wonder if this is Kaio- sama's residence.\What is this!? What is this!?\Snake Princess- sama, we have a visitor.\What? A visitor?\My!\Such a handsome gentleman! He's just my type!\The Snake Princess- sama approaches!\Then Kaio- sama, you're... response:	Cute, you say?
context: What is this!? What is this!?\Snake Princess- sama, we have a visitor.\What? A visitor?\My!\Such a handsome gentleman! He's just my type!\The Snake Princess- sama approaches!\Then Kaio- sama, you're...\Cute, you say? response:	Such a gallant gentleman! For some reason, my heart is all a-flutter!
context: Snake Princess- sama, we have a visitor.\What? A visitor?\My!\Such a handsome gentleman! He's just my type!\The Snake Princess- sama approaches!\Then Kaio- sama, you're...\Cute, you say?\Such a gallant gentleman! For some reason, my heart is all a-flutter! response:	The Snake Princess- sama hasn't been this worked up
context: What? A visitor?\My!\Such a handsome gentleman! He's just my type!\The Snake Princess- sama approaches!\Then Kaio- sama, you're...\Cute, you say?\Such a gallant gentleman! For some reason, my heart is all a-flutter!\The Snake Princess- sama hasn't been this worked up response:	since Great King Yama- sama, has she?
context: My!\Such a handsome gentleman! He's just my type!\The Snake Princess- sama approaches!\Then Kaio- sama, you're...\Cute, you say?\Such a gallant gentleman! For some reason, my heart is all a-flutter!\The Snake Princess- sama hasn't been this worked up\since Great King Yama- sama, has she? response:	Yes! He was quite handsome too!
context: Such a handsome gentleman! He's just my type!\The Snake Princess- sama approaches!\Then Kaio- sama, you're...\Cute, you say?\Such a gallant gentleman! For some reason, my heart is all a-flutter!\The Snake Princess- sama hasn't been this worked up\since Great King Yama- sama, has she?\Yes! He was quite handsome too! response:	It's been nearly five hundred years, I'll bet.
context: The Snake Princess- sama approaches!\Then Kaio- sama, you're...\Cute, you say?\Such a gallant gentleman! For some reason, my heart is all a-flutter!\The Snake Princess- sama hasn't been this worked up\since Great King Yama- sama, has she?\Yes! He was quite handsome too!\It's been nearly five hundred years, I'll bet. response:	F- five hundred years!?
context: Then Kaio- sama, you're...\Cute, you say?\Such a gallant gentleman! For some reason, my heart is all a-flutter!\The Snake Princess- sama hasn't been this worked up\since Great King Yama- sama, has she?\Yes! He was quite handsome too!\It's been nearly five hundred years, I'll bet.\F- five hundred years!? response:	Well, no matter. Never mind that, Kaio- sama, teach me some martial arts.
context: Cute, you say?\Such a gallant gentleman! For some reason, my heart is all a-flutter!\The Snake Princess- sama hasn't been this worked up\since Great King Yama- sama, has she?\Yes! He was quite handsome too!\It's been nearly five hundred years, I'll bet.\F- five hundred years!?\Well, no matter. Never mind that, Kaio- sama, teach me some martial arts. response:	M- martial arts?
context: Such a gallant gentleman! For some reason, my heart is all a-flutter!\The Snake Princess- sama hasn't been this worked up\since Great King Yama- sama, has she?\Yes! He was quite handsome too!\It's been nearly five hundred years, I'll bet.\F- five hundred years!?\Well, no matter. Never mind that, Kaio- sama, teach me some martial arts.\M- martial arts? response:	How about instead, we dance the tango?
context: The Snake Princess- sama hasn't been this worked up\since Great King Yama- sama, has she?\Yes! He was quite handsome too!\It's been nearly five hundred years, I'll bet.\F- five hundred years!?\Well, no matter. Never mind that, Kaio- sama, teach me some martial arts.\M- martial arts?\How about instead, we dance the tango? response:	This is so romantic! Surely we were destined to come together.
context: since Great King Yama- sama, has she?\Yes! He was quite handsome too!\It's been nearly five hundred years, I'll bet.\F- five hundred years!?\Well, no matter. Never mind that, Kaio- sama, teach me some martial arts.\M- martial arts?\How about instead, we dance the tango?\This is so romantic! Surely we were destined to come together. response:	The tango is a lot like the dance we did at my wedding.
context: Yes! He was quite handsome too!\It's been nearly five hundred years, I'll bet.\F- five hundred years!?\Well, no matter. Never mind that, Kaio- sama, teach me some martial arts.\M- martial arts?\How about instead, we dance the tango?\This is so romantic! Surely we were destined to come together.\The tango is a lot like the dance we did at my wedding. response:	So this is Kaio-sama's martial arts technique.
context: It's been nearly five hundred years, I'll bet.\F- five hundred years!?\Well, no matter. Never mind that, Kaio- sama, teach me some martial arts.\M- martial arts?\How about instead, we dance the tango?\This is so romantic! Surely we were destined to come together.\The tango is a lot like the dance we did at my wedding.\So this is Kaio-sama's martial arts technique. response:	I get it! This is a technique to get your opponent off their guard,
context: F- five hundred years!?\Well, no matter. Never mind that, Kaio- sama, teach me some martial arts.\M- martial arts?\How about instead, we dance the tango?\This is so romantic! Surely we were destined to come together.\The tango is a lot like the dance we did at my wedding.\So this is Kaio-sama's martial arts technique.\I get it! This is a technique to get your opponent off their guard, response:	then clobber them!
context: Well, no matter. Never mind that, Kaio- sama, teach me some martial arts.\M- martial arts?\How about instead, we dance the tango?\This is so romantic! Surely we were destined to come together.\The tango is a lot like the dance we did at my wedding.\So this is Kaio-sama's martial arts technique.\I get it! This is a technique to get your opponent off their guard,\then clobber them! response:	-Ee-yow! -Kaio- sama is a lot weaker than I thought...
context: M- martial arts?\How about instead, we dance the tango?\This is so romantic! Surely we were destined to come together.\The tango is a lot like the dance we did at my wedding.\So this is Kaio-sama's martial arts technique.\I get it! This is a technique to get your opponent off their guard,\then clobber them!\-Ee-yow! -Kaio- sama is a lot weaker than I thought... response:	What are you doing!? She is not Kaio- sama!
context: How about instead, we dance the tango?\This is so romantic! Surely we were destined to come together.\The tango is a lot like the dance we did at my wedding.\So this is Kaio-sama's martial arts technique.\I get it! This is a technique to get your opponent off their guard,\then clobber them!\-Ee-yow! -Kaio- sama is a lot weaker than I thought...\What are you doing!? She is not Kaio- sama! response:	This is the Snake Princess- sama,
context: This is so romantic! Surely we were destined to come together.\The tango is a lot like the dance we did at my wedding.\So this is Kaio-sama's martial arts technique.\I get it! This is a technique to get your opponent off their guard,\then clobber them!\-Ee-yow! -Kaio- sama is a lot weaker than I thought...\What are you doing!? She is not Kaio- sama!\This is the Snake Princess- sama, response:	who shone in the glory of victory at the Other World Beauty Contest!
context: The tango is a lot like the dance we did at my wedding.\So this is Kaio-sama's martial arts technique.\I get it! This is a technique to get your opponent off their guard,\then clobber them!\-Ee-yow! -Kaio- sama is a lot weaker than I thought...\What are you doing!? She is not Kaio- sama!\This is the Snake Princess- sama,\who shone in the glory of victory at the Other World Beauty Contest! response:	What? You ain't Kaio- sama? I'm leaving.
context: So this is Kaio-sama's martial arts technique.\I get it! This is a technique to get your opponent off their guard,\then clobber them!\-Ee-yow! -Kaio- sama is a lot weaker than I thought...\What are you doing!? She is not Kaio- sama!\This is the Snake Princess- sama,\who shone in the glory of victory at the Other World Beauty Contest!\What? You ain't Kaio- sama? I'm leaving. response:	G- goodness, no!
context: I get it! This is a technique to get your opponent off their guard,\then clobber them!\-Ee-yow! -Kaio- sama is a lot weaker than I thought...\What are you doing!? She is not Kaio- sama!\This is the Snake Princess- sama,\who shone in the glory of victory at the Other World Beauty Contest!\What? You ain't Kaio- sama? I'm leaving.\G- goodness, no! response:	Please wait!
context: then clobber them!\-Ee-yow! -Kaio- sama is a lot weaker than I thought...\What are you doing!? She is not Kaio- sama!\This is the Snake Princess- sama,\who shone in the glory of victory at the Other World Beauty Contest!\What? You ain't Kaio- sama? I'm leaving.\G- goodness, no!\Please wait! response:	I'm in a hurry!
context: -Ee-yow! -Kaio- sama is a lot weaker than I thought...\What are you doing!? She is not Kaio- sama!\This is the Snake Princess- sama,\who shone in the glory of victory at the Other World Beauty Contest!\What? You ain't Kaio- sama? I'm leaving.\G- goodness, no!\Please wait!\I'm in a hurry! response:	A- at least have dinner before you go.
context: What are you doing!? She is not Kaio- sama!\This is the Snake Princess- sama,\who shone in the glory of victory at the Other World Beauty Contest!\What? You ain't Kaio- sama? I'm leaving.\G- goodness, no!\Please wait!\I'm in a hurry!\A- at least have dinner before you go. response:	D- dinner? Come to think of it...
context: This is the Snake Princess- sama,\who shone in the glory of victory at the Other World Beauty Contest!\What? You ain't Kaio- sama? I'm leaving.\G- goodness, no!\Please wait!\I'm in a hurry!\A- at least have dinner before you go.\D- dinner? Come to think of it... response:	I'm so happy! Okay, okay, you guys, quickly prepare something for dinner!
context: who shone in the glory of victory at the Other World Beauty Contest!\What? You ain't Kaio- sama? I'm leaving.\G- goodness, no!\Please wait!\I'm in a hurry!\A- at least have dinner before you go.\D- dinner? Come to think of it...\I'm so happy! Okay, okay, you guys, quickly prepare something for dinner! response:	-Right! -Right!
context: What? You ain't Kaio- sama? I'm leaving.\G- goodness, no!\Please wait!\I'm in a hurry!\A- at least have dinner before you go.\D- dinner? Come to think of it...\I'm so happy! Okay, okay, you guys, quickly prepare something for dinner!\-Right! -Right! response:	You guys understand, right? We'll do whatever it takes to keep that man here!
context: G- goodness, no!\Please wait!\I'm in a hurry!\A- at least have dinner before you go.\D- dinner? Come to think of it...\I'm so happy! Okay, okay, you guys, quickly prepare something for dinner!\-Right! -Right!\You guys understand, right? We'll do whatever it takes to keep that man here! response:	After all, he's the kind of nice man we haven't had for five hundred years.
context: Please wait!\I'm in a hurry!\A- at least have dinner before you go.\D- dinner? Come to think of it...\I'm so happy! Okay, okay, you guys, quickly prepare something for dinner!\-Right! -Right!\You guys understand, right? We'll do whatever it takes to keep that man here!\After all, he's the kind of nice man we haven't had for five hundred years. response:	I won't have him get away from us!
context: I'm in a hurry!\A- at least have dinner before you go.\D- dinner? Come to think of it...\I'm so happy! Okay, okay, you guys, quickly prepare something for dinner!\-Right! -Right!\You guys understand, right? We'll do whatever it takes to keep that man here!\After all, he's the kind of nice man we haven't had for five hundred years.\I won't have him get away from us! response:	Snake Princess- sama, if I mix this sleeping potion in with the cooking,
context: A- at least have dinner before you go.\D- dinner? Come to think of it...\I'm so happy! Okay, okay, you guys, quickly prepare something for dinner!\-Right! -Right!\You guys understand, right? We'll do whatever it takes to keep that man here!\After all, he's the kind of nice man we haven't had for five hundred years.\I won't have him get away from us!\Snake Princess- sama, if I mix this sleeping potion in with the cooking, response:	it will bring on an irresistible urge to sleep,
context: D- dinner? Come to think of it...\I'm so happy! Okay, okay, you guys, quickly prepare something for dinner!\-Right! -Right!\You guys understand, right? We'll do whatever it takes to keep that man here!\After all, he's the kind of nice man we haven't had for five hundred years.\I won't have him get away from us!\Snake Princess- sama, if I mix this sleeping potion in with the cooking,\it will bring on an irresistible urge to sleep, response:	he'll doze off, and won't leave here!
context: I'm so happy! Okay, okay, you guys, quickly prepare something for dinner!\-Right! -Right!\You guys understand, right? We'll do whatever it takes to keep that man here!\After all, he's the kind of nice man we haven't had for five hundred years.\I won't have him get away from us!\Snake Princess- sama, if I mix this sleeping potion in with the cooking,\it will bring on an irresistible urge to sleep,\he'll doze off, and won't leave here! response:	Well, it's not a very elegant method, but what choice do we have?
context: -Right! -Right!\You guys understand, right? We'll do whatever it takes to keep that man here!\After all, he's the kind of nice man we haven't had for five hundred years.\I won't have him get away from us!\Snake Princess- sama, if I mix this sleeping potion in with the cooking,\it will bring on an irresistible urge to sleep,\he'll doze off, and won't leave here!\Well, it's not a very elegant method, but what choice do we have? response:	Sorry to keep you waiting.
context: You guys understand, right? We'll do whatever it takes to keep that man here!\After all, he's the kind of nice man we haven't had for five hundred years.\I won't have him get away from us!\Snake Princess- sama, if I mix this sleeping potion in with the cooking,\it will bring on an irresistible urge to sleep,\he'll doze off, and won't leave here!\Well, it's not a very elegant method, but what choice do we have?\Sorry to keep you waiting. response:	We have foie gras, made from the bird of paradise,
context: After all, he's the kind of nice man we haven't had for five hundred years.\I won't have him get away from us!\Snake Princess- sama, if I mix this sleeping potion in with the cooking,\it will bring on an irresistible urge to sleep,\he'll doze off, and won't leave here!\Well, it's not a very elegant method, but what choice do we have?\Sorry to keep you waiting.\We have foie gras, made from the bird of paradise, response:	saute of bear's paw, from Needle Mountain,
context: I won't have him get away from us!\Snake Princess- sama, if I mix this sleeping potion in with the cooking,\it will bring on an irresistible urge to sleep,\he'll doze off, and won't leave here!\Well, it's not a very elegant method, but what choice do we have?\Sorry to keep you waiting.\We have foie gras, made from the bird of paradise,\saute of bear's paw, from Needle Mountain, response:	baked crocodile, taken from the River Sanzu, and mussels au gratin.
context: Snake Princess- sama, if I mix this sleeping potion in with the cooking,\it will bring on an irresistible urge to sleep,\he'll doze off, and won't leave here!\Well, it's not a very elegant method, but what choice do we have?\Sorry to keep you waiting.\We have foie gras, made from the bird of paradise,\saute of bear's paw, from Needle Mountain,\baked crocodile, taken from the River Sanzu, and mussels au gratin. response:	Let's dig in!
context: it will bring on an irresistible urge to sleep,\he'll doze off, and won't leave here!\Well, it's not a very elegant method, but what choice do we have?\Sorry to keep you waiting.\We have foie gras, made from the bird of paradise,\saute of bear's paw, from Needle Mountain,\baked crocodile, taken from the River Sanzu, and mussels au gratin.\Let's dig in! response:	Yes, yes, be my guest! Help yourself to as much as you like.
context: he'll doze off, and won't leave here!\Well, it's not a very elegant method, but what choice do we have?\Sorry to keep you waiting.\We have foie gras, made from the bird of paradise,\saute of bear's paw, from Needle Mountain,\baked crocodile, taken from the River Sanzu, and mussels au gratin.\Let's dig in!\Yes, yes, be my guest! Help yourself to as much as you like. response:	All right, I'm eating!
context: Well, it's not a very elegant method, but what choice do we have?\Sorry to keep you waiting.\We have foie gras, made from the bird of paradise,\saute of bear's paw, from Needle Mountain,\baked crocodile, taken from the River Sanzu, and mussels au gratin.\Let's dig in!\Yes, yes, be my guest! Help yourself to as much as you like.\All right, I'm eating! response:	I- if you like, help yourself to my serving as well.
context: Sorry to keep you waiting.\We have foie gras, made from the bird of paradise,\saute of bear's paw, from Needle Mountain,\baked crocodile, taken from the River Sanzu, and mussels au gratin.\Let's dig in!\Yes, yes, be my guest! Help yourself to as much as you like.\All right, I'm eating!\I- if you like, help yourself to my serving as well. response:	Really? Thanks!
context: We have foie gras, made from the bird of paradise,\saute of bear's paw, from Needle Mountain,\baked crocodile, taken from the River Sanzu, and mussels au gratin.\Let's dig in!\Yes, yes, be my guest! Help yourself to as much as you like.\All right, I'm eating!\I- if you like, help yourself to my serving as well.\Really? Thanks! response:	Okay, then... I'll take it...
context: saute of bear's paw, from Needle Mountain,\baked crocodile, taken from the River Sanzu, and mussels au gratin.\Let's dig in!\Yes, yes, be my guest! Help yourself to as much as you like.\All right, I'm eating!\I- if you like, help yourself to my serving as well.\Really? Thanks!\Okay, then... I'll take it... response:	I'm full, I'm full!
context: baked crocodile, taken from the River Sanzu, and mussels au gratin.\Let's dig in!\Yes, yes, be my guest! Help yourself to as much as you like.\All right, I'm eating!\I- if you like, help yourself to my serving as well.\Really? Thanks!\Okay, then... I'll take it...\I'm full, I'm full! response:	Well then, I guess I should go.
context: Let's dig in!\Yes, yes, be my guest! Help yourself to as much as you like.\All right, I'm eating!\I- if you like, help yourself to my serving as well.\Really? Thanks!\Okay, then... I'll take it...\I'm full, I'm full!\Well then, I guess I should go. response:	Please, wait! Are you not sleepy?
context: Yes, yes, be my guest! Help yourself to as much as you like.\All right, I'm eating!\I- if you like, help yourself to my serving as well.\Really? Thanks!\Okay, then... I'll take it...\I'm full, I'm full!\Well then, I guess I should go.\Please, wait! Are you not sleepy? response:	I ain't got time to sleep. I've got to go meet Kaio- sama and everything.
context: All right, I'm eating!\I- if you like, help yourself to my serving as well.\Really? Thanks!\Okay, then... I'll take it...\I'm full, I'm full!\Well then, I guess I should go.\Please, wait! Are you not sleepy?\I ain't got time to sleep. I've got to go meet Kaio- sama and everything. response:	You're sure you put the sleeping stuff in, right?
context: I- if you like, help yourself to my serving as well.\Really? Thanks!\Okay, then... I'll take it...\I'm full, I'm full!\Well then, I guess I should go.\Please, wait! Are you not sleepy?\I ain't got time to sleep. I've got to go meet Kaio- sama and everything.\You're sure you put the sleeping stuff in, right? response:	Yes, plenty of it.
context: Really? Thanks!\Okay, then... I'll take it...\I'm full, I'm full!\Well then, I guess I should go.\Please, wait! Are you not sleepy?\I ain't got time to sleep. I've got to go meet Kaio- sama and everything.\You're sure you put the sleeping stuff in, right?\Yes, plenty of it. response:	Thanks for dinner. Okay then, I'm going.
context: Okay, then... I'll take it...\I'm full, I'm full!\Well then, I guess I should go.\Please, wait! Are you not sleepy?\I ain't got time to sleep. I've got to go meet Kaio- sama and everything.\You're sure you put the sleeping stuff in, right?\Yes, plenty of it.\Thanks for dinner. Okay then, I'm going. response:	You guys!
context: I'm full, I'm full!\Well then, I guess I should go.\Please, wait! Are you not sleepy?\I ain't got time to sleep. I've got to go meet Kaio- sama and everything.\You're sure you put the sleeping stuff in, right?\Yes, plenty of it.\Thanks for dinner. Okay then, I'm going.\You guys! response:	Please, wait. We have a bath warmed up. How about if you took a bath before going?
context: Well then, I guess I should go.\Please, wait! Are you not sleepy?\I ain't got time to sleep. I've got to go meet Kaio- sama and everything.\You're sure you put the sleeping stuff in, right?\Yes, plenty of it.\Thanks for dinner. Okay then, I'm going.\You guys!\Please, wait. We have a bath warmed up. How about if you took a bath before going? response:	Kaio- sama dislikes dirty people.
context: Please, wait! Are you not sleepy?\I ain't got time to sleep. I've got to go meet Kaio- sama and everything.\You're sure you put the sleeping stuff in, right?\Yes, plenty of it.\Thanks for dinner. Okay then, I'm going.\You guys!\Please, wait. We have a bath warmed up. How about if you took a bath before going?\Kaio- sama dislikes dirty people. response:	Yeah, maybe I am a little sweaty. Maybe I should freshen up before I go.
context: I ain't got time to sleep. I've got to go meet Kaio- sama and everything.\You're sure you put the sleeping stuff in, right?\Yes, plenty of it.\Thanks for dinner. Okay then, I'm going.\You guys!\Please, wait. We have a bath warmed up. How about if you took a bath before going?\Kaio- sama dislikes dirty people.\Yeah, maybe I am a little sweaty. Maybe I should freshen up before I go. response:	-Yes, yes! -Yes, yes!
context: You're sure you put the sleeping stuff in, right?\Yes, plenty of it.\Thanks for dinner. Okay then, I'm going.\You guys!\Please, wait. We have a bath warmed up. How about if you took a bath before going?\Kaio- sama dislikes dirty people.\Yeah, maybe I am a little sweaty. Maybe I should freshen up before I go.\-Yes, yes! -Yes, yes! response:	This feels great.
context: Yes, plenty of it.\Thanks for dinner. Okay then, I'm going.\You guys!\Please, wait. We have a bath warmed up. How about if you took a bath before going?\Kaio- sama dislikes dirty people.\Yeah, maybe I am a little sweaty. Maybe I should freshen up before I go.\-Yes, yes! -Yes, yes!\This feels great. response:	How is the water?
context: Thanks for dinner. Okay then, I'm going.\You guys!\Please, wait. We have a bath warmed up. How about if you took a bath before going?\Kaio- sama dislikes dirty people.\Yeah, maybe I am a little sweaty. Maybe I should freshen up before I go.\-Yes, yes! -Yes, yes!\This feels great.\How is the water? response:	Fine. It's a little bit hot, but it's okay.
context: You guys!\Please, wait. We have a bath warmed up. How about if you took a bath before going?\Kaio- sama dislikes dirty people.\Yeah, maybe I am a little sweaty. Maybe I should freshen up before I go.\-Yes, yes! -Yes, yes!\This feels great.\How is the water?\Fine. It's a little bit hot, but it's okay. response:	This originally comes from the steam baths of hell.
context: Please, wait. We have a bath warmed up. How about if you took a bath before going?\Kaio- sama dislikes dirty people.\Yeah, maybe I am a little sweaty. Maybe I should freshen up before I go.\-Yes, yes! -Yes, yes!\This feels great.\How is the water?\Fine. It's a little bit hot, but it's okay.\This originally comes from the steam baths of hell. response:	He should be warmed clear through to the bone!
context: Kaio- sama dislikes dirty people.\Yeah, maybe I am a little sweaty. Maybe I should freshen up before I go.\-Yes, yes! -Yes, yes!\This feels great.\How is the water?\Fine. It's a little bit hot, but it's okay.\This originally comes from the steam baths of hell.\He should be warmed clear through to the bone! response:	Okay.
context: Yeah, maybe I am a little sweaty. Maybe I should freshen up before I go.\-Yes, yes! -Yes, yes!\This feels great.\How is the water?\Fine. It's a little bit hot, but it's okay.\This originally comes from the steam baths of hell.\He should be warmed clear through to the bone!\Okay. response:	Huh? Suddenly it's become night.
context: -Yes, yes! -Yes, yes!\This feels great.\How is the water?\Fine. It's a little bit hot, but it's okay.\This originally comes from the steam baths of hell.\He should be warmed clear through to the bone!\Okay.\Huh? Suddenly it's become night. response:	Goku- sama, there are so many stars.
context: This feels great.\How is the water?\Fine. It's a little bit hot, but it's okay.\This originally comes from the steam baths of hell.\He should be warmed clear through to the bone!\Okay.\Huh? Suddenly it's become night.\Goku- sama, there are so many stars. response:	To think that I should be together with you on such a wonderful evening, Goku- sama,
context: How is the water?\Fine. It's a little bit hot, but it's okay.\This originally comes from the steam baths of hell.\He should be warmed clear through to the bone!\Okay.\Huh? Suddenly it's become night.\Goku- sama, there are so many stars.\To think that I should be together with you on such a wonderful evening, Goku- sama, response:	it makes the Snake Princess so happy...
context: Fine. It's a little bit hot, but it's okay.\This originally comes from the steam baths of hell.\He should be warmed clear through to the bone!\Okay.\Huh? Suddenly it's become night.\Goku- sama, there are so many stars.\To think that I should be together with you on such a wonderful evening, Goku- sama,\it makes the Snake Princess so happy... response:	Say there, Goku- sama?
context: This originally comes from the steam baths of hell.\He should be warmed clear through to the bone!\Okay.\Huh? Suddenly it's become night.\Goku- sama, there are so many stars.\To think that I should be together with you on such a wonderful evening, Goku- sama,\it makes the Snake Princess so happy...\Say there, Goku- sama? response:	Goku- sama?
context: He should be warmed clear through to the bone!\Okay.\Huh? Suddenly it's become night.\Goku- sama, there are so many stars.\To think that I should be together with you on such a wonderful evening, Goku- sama,\it makes the Snake Princess so happy...\Say there, Goku- sama?\Goku- sama? response:	Oh, my...
context: Okay.\Huh? Suddenly it's become night.\Goku- sama, there are so many stars.\To think that I should be together with you on such a wonderful evening, Goku- sama,\it makes the Snake Princess so happy...\Say there, Goku- sama?\Goku- sama?\Oh, my... response:	T- this is terrible! He's been boiled alive!
context: Huh? Suddenly it's become night.\Goku- sama, there are so many stars.\To think that I should be together with you on such a wonderful evening, Goku- sama,\it makes the Snake Princess so happy...\Say there, Goku- sama?\Goku- sama?\Oh, my...\T- this is terrible! He's been boiled alive! response:	98... 99... 100!
context: Goku- sama, there are so many stars.\To think that I should be together with you on such a wonderful evening, Goku- sama,\it makes the Snake Princess so happy...\Say there, Goku- sama?\Goku- sama?\Oh, my...\T- this is terrible! He's been boiled alive!\98... 99... 100! response:	Oh, that's refreshing!
context: To think that I should be together with you on such a wonderful evening, Goku- sama,\it makes the Snake Princess so happy...\Say there, Goku- sama?\Goku- sama?\Oh, my...\T- this is terrible! He's been boiled alive!\98... 99... 100!\Oh, that's refreshing! response:	How embarrassing! But still, what a manly figure he has.
context: it makes the Snake Princess so happy...\Say there, Goku- sama?\Goku- sama?\Oh, my...\T- this is terrible! He's been boiled alive!\98... 99... 100!\Oh, that's refreshing!\How embarrassing! But still, what a manly figure he has. response:	Wow, that was revitalizing! Okay then, I'll be going.
context: Say there, Goku- sama?\Goku- sama?\Oh, my...\T- this is terrible! He's been boiled alive!\98... 99... 100!\Oh, that's refreshing!\How embarrassing! But still, what a manly figure he has.\Wow, that was revitalizing! Okay then, I'll be going. response:	Ah, wait!
context: Goku- sama?\Oh, my...\T- this is terrible! He's been boiled alive!\98... 99... 100!\Oh, that's refreshing!\How embarrassing! But still, what a manly figure he has.\Wow, that was revitalizing! Okay then, I'll be going.\Ah, wait! response:	Hey you guys, stop him!
context: Oh, my...\T- this is terrible! He's been boiled alive!\98... 99... 100!\Oh, that's refreshing!\How embarrassing! But still, what a manly figure he has.\Wow, that was revitalizing! Okay then, I'll be going.\Ah, wait!\Hey you guys, stop him! response:	-Just a moment! -What is it? I'm in a hurry!
context: T- this is terrible! He's been boiled alive!\98... 99... 100!\Oh, that's refreshing!\How embarrassing! But still, what a manly figure he has.\Wow, that was revitalizing! Okay then, I'll be going.\Ah, wait!\Hey you guys, stop him!\-Just a moment! -What is it? I'm in a hurry! response:	I have to hurry and see Kaio- sama, and learn martial arts from him!
