context: What unbelievable luck! response:	If that coffee hadn't spilled this morning...
context: It can't be...\You bastard!\If you just coincidentally have the same name as him,\I can fix your wounds at any time.\H-He's Yoshikage Kira?\Th-That's impossible... You brat!\H-How could this be?\I need to undo Bites the Dust and protect myself! response:	Return, Deadly Queen!
context: You bastard!\If you just coincidentally have the same name as him,\I can fix your wounds at any time.\H-He's Yoshikage Kira?\Th-That's impossible... You brat!\H-How could this be?\I need to undo Bites the Dust and protect myself!\Return, Deadly Queen! response:	Cold... The rain is going down my back.
context: If you just coincidentally have the same name as him,\I can fix your wounds at any time.\H-He's Yoshikage Kira?\Th-That's impossible... You brat!\H-How could this be?\I need to undo Bites the Dust and protect myself!\Return, Deadly Queen!\Cold... The rain is going down my back. response:	Honestly, does no one show up on time?
context: I can fix your wounds at any time.\H-He's Yoshikage Kira?\Th-That's impossible... You brat!\H-How could this be?\I need to undo Bites the Dust and protect myself!\Return, Deadly Queen!\Cold... The rain is going down my back.\Honestly, does no one show up on time? response:	Oh?
context: H-He's Yoshikage Kira?\Th-That's impossible... You brat!\H-How could this be?\I need to undo Bites the Dust and protect myself!\Return, Deadly Queen!\Cold... The rain is going down my back.\Honestly, does no one show up on time?\Oh? response:	That's Koichi and Jotaro.
context: Th-That's impossible... You brat!\H-How could this be?\I need to undo Bites the Dust and protect myself!\Return, Deadly Queen!\Cold... The rain is going down my back.\Honestly, does no one show up on time?\Oh?\That's Koichi and Jotaro. response:	Yes! I made it in time! I won against fate!
context: H-How could this be?\I need to undo Bites the Dust and protect myself!\Return, Deadly Queen!\Cold... The rain is going down my back.\Honestly, does no one show up on time?\Oh?\That's Koichi and Jotaro.\Yes! I made it in time! I won against fate! response:	I don't need any intense joy.
context: I need to undo Bites the Dust and protect myself!\Return, Deadly Queen!\Cold... The rain is going down my back.\Honestly, does no one show up on time?\Oh?\That's Koichi and Jotaro.\Yes! I made it in time! I won against fate!\I don't need any intense joy. response:	But I didn't want any deep despair, either...
context: Return, Deadly Queen!\Cold... The rain is going down my back.\Honestly, does no one show up on time?\Oh?\That's Koichi and Jotaro.\Yes! I made it in time! I won against fate!\I don't need any intense joy.\But I didn't want any deep despair, either... response:	My goal was to live a peaceful life, like a plant.
context: Cold... The rain is going down my back.\Honestly, does no one show up on time?\Oh?\That's Koichi and Jotaro.\Yes! I made it in time! I won against fate!\I don't need any intense joy.\But I didn't want any deep despair, either...\My goal was to live a peaceful life, like a plant. response:	You've shown yourself!
context: Honestly, does no one show up on time?\Oh?\That's Koichi and Jotaro.\Yes! I made it in time! I won against fate!\I don't need any intense joy.\But I didn't want any deep despair, either...\My goal was to live a peaceful life, like a plant.\You've shown yourself! response:	Now I'll make sure your face doesn't look so peaceful.
context: Oh?\That's Koichi and Jotaro.\Yes! I made it in time! I won against fate!\I don't need any intense joy.\But I didn't want any deep despair, either...\My goal was to live a peaceful life, like a plant.\You've shown yourself!\Now I'll make sure your face doesn't look so peaceful. response:	I guess this picture that Rohan took was an instant jackpot.
context: That's Koichi and Jotaro.\Yes! I made it in time! I won against fate!\I don't need any intense joy.\But I didn't want any deep despair, either...\My goal was to live a peaceful life, like a plant.\You've shown yourself!\Now I'll make sure your face doesn't look so peaceful.\I guess this picture that Rohan took was an instant jackpot. response:	Looks like it wasn't coincidence that we ran into him, Okuyasu.
context: Yes! I made it in time! I won against fate!\I don't need any intense joy.\But I didn't want any deep despair, either...\My goal was to live a peaceful life, like a plant.\You've shown yourself!\Now I'll make sure your face doesn't look so peaceful.\I guess this picture that Rohan took was an instant jackpot.\Looks like it wasn't coincidence that we ran into him, Okuyasu. response:	I don't know the details,
context: I don't need any intense joy.\But I didn't want any deep despair, either...\My goal was to live a peaceful life, like a plant.\You've shown yourself!\Now I'll make sure your face doesn't look so peaceful.\I guess this picture that Rohan took was an instant jackpot.\Looks like it wasn't coincidence that we ran into him, Okuyasu.\I don't know the details, response:	but since he gave his real name to Hayato Kawajiri,
context: But I didn't want any deep despair, either...\My goal was to live a peaceful life, like a plant.\You've shown yourself!\Now I'll make sure your face doesn't look so peaceful.\I guess this picture that Rohan took was an instant jackpot.\Looks like it wasn't coincidence that we ran into him, Okuyasu.\I don't know the details,\but since he gave his real name to Hayato Kawajiri, response:	we may have gotten here just in the nick of time.
context: My goal was to live a peaceful life, like a plant.\You've shown yourself!\Now I'll make sure your face doesn't look so peaceful.\I guess this picture that Rohan took was an instant jackpot.\Looks like it wasn't coincidence that we ran into him, Okuyasu.\I don't know the details,\but since he gave his real name to Hayato Kawajiri,\we may have gotten here just in the nick of time. response:	Just so you know, I wasn't running away from you.
context: You've shown yourself!\Now I'll make sure your face doesn't look so peaceful.\I guess this picture that Rohan took was an instant jackpot.\Looks like it wasn't coincidence that we ran into him, Okuyasu.\I don't know the details,\but since he gave his real name to Hayato Kawajiri,\we may have gotten here just in the nick of time.\Just so you know, I wasn't running away from you. response:	If I wanted to kill you all, I could have done so at any time.
context: Now I'll make sure your face doesn't look so peaceful.\I guess this picture that Rohan took was an instant jackpot.\Looks like it wasn't coincidence that we ran into him, Okuyasu.\I don't know the details,\but since he gave his real name to Hayato Kawajiri,\we may have gotten here just in the nick of time.\Just so you know, I wasn't running away from you.\If I wanted to kill you all, I could have done so at any time. response:	The reason I didn't was just because I don't like fighting.
context: I guess this picture that Rohan took was an instant jackpot.\Looks like it wasn't coincidence that we ran into him, Okuyasu.\I don't know the details,\but since he gave his real name to Hayato Kawajiri,\we may have gotten here just in the nick of time.\Just so you know, I wasn't running away from you.\If I wanted to kill you all, I could have done so at any time.\The reason I didn't was just because I don't like fighting. response:	Strife is the exact opposite
context: Looks like it wasn't coincidence that we ran into him, Okuyasu.\I don't know the details,\but since he gave his real name to Hayato Kawajiri,\we may have gotten here just in the nick of time.\Just so you know, I wasn't running away from you.\If I wanted to kill you all, I could have done so at any time.\The reason I didn't was just because I don't like fighting.\Strife is the exact opposite response:	of the peaceful life that I aim for, so I hate it.
context: I don't know the details,\but since he gave his real name to Hayato Kawajiri,\we may have gotten here just in the nick of time.\Just so you know, I wasn't running away from you.\If I wanted to kill you all, I could have done so at any time.\The reason I didn't was just because I don't like fighting.\Strife is the exact opposite\of the peaceful life that I aim for, so I hate it. response:	It's easy to win one battle,
context: but since he gave his real name to Hayato Kawajiri,\we may have gotten here just in the nick of time.\Just so you know, I wasn't running away from you.\If I wanted to kill you all, I could have done so at any time.\The reason I didn't was just because I don't like fighting.\Strife is the exact opposite\of the peaceful life that I aim for, so I hate it.\It's easy to win one battle, response:	but then you accumulate stress for your next battle.
context: we may have gotten here just in the nick of time.\Just so you know, I wasn't running away from you.\If I wanted to kill you all, I could have done so at any time.\The reason I didn't was just because I don't like fighting.\Strife is the exact opposite\of the peaceful life that I aim for, so I hate it.\It's easy to win one battle,\but then you accumulate stress for your next battle. response:	It's a foolish thing to do.
context: Just so you know, I wasn't running away from you.\If I wanted to kill you all, I could have done so at any time.\The reason I didn't was just because I don't like fighting.\Strife is the exact opposite\of the peaceful life that I aim for, so I hate it.\It's easy to win one battle,\but then you accumulate stress for your next battle.\It's a foolish thing to do. response:	Fighting with others is a sad and endless process.
context: If I wanted to kill you all, I could have done so at any time.\The reason I didn't was just because I don't like fighting.\Strife is the exact opposite\of the peaceful life that I aim for, so I hate it.\It's easy to win one battle,\but then you accumulate stress for your next battle.\It's a foolish thing to do.\Fighting with others is a sad and endless process. response:	We were coming after you because you killed Shigechi, you dumbass!
context: The reason I didn't was just because I don't like fighting.\Strife is the exact opposite\of the peaceful life that I aim for, so I hate it.\It's easy to win one battle,\but then you accumulate stress for your next battle.\It's a foolish thing to do.\Fighting with others is a sad and endless process.\We were coming after you because you killed Shigechi, you dumbass! response:	A pig bastard like you whose hobby is to kill people
context: Strife is the exact opposite\of the peaceful life that I aim for, so I hate it.\It's easy to win one battle,\but then you accumulate stress for your next battle.\It's a foolish thing to do.\Fighting with others is a sad and endless process.\We were coming after you because you killed Shigechi, you dumbass!\A pig bastard like you whose hobby is to kill people response:	doesn't have the right to talk about what he wants to do, you dipshit!
context: of the peaceful life that I aim for, so I hate it.\It's easy to win one battle,\but then you accumulate stress for your next battle.\It's a foolish thing to do.\Fighting with others is a sad and endless process.\We were coming after you because you killed Shigechi, you dumbass!\A pig bastard like you whose hobby is to kill people\doesn't have the right to talk about what he wants to do, you dipshit! response:	Be careful, Josuke!
context: It's easy to win one battle,\but then you accumulate stress for your next battle.\It's a foolish thing to do.\Fighting with others is a sad and endless process.\We were coming after you because you killed Shigechi, you dumbass!\A pig bastard like you whose hobby is to kill people\doesn't have the right to talk about what he wants to do, you dipshit!\Be careful, Josuke! response:	Don't touch that shitbag Deadly Queen's hand.
context: but then you accumulate stress for your next battle.\It's a foolish thing to do.\Fighting with others is a sad and endless process.\We were coming after you because you killed Shigechi, you dumbass!\A pig bastard like you whose hobby is to kill people\doesn't have the right to talk about what he wants to do, you dipshit!\Be careful, Josuke!\Don't touch that shitbag Deadly Queen's hand. response:	That's the only reason I didn't dispose of you all.
context: It's a foolish thing to do.\Fighting with others is a sad and endless process.\We were coming after you because you killed Shigechi, you dumbass!\A pig bastard like you whose hobby is to kill people\doesn't have the right to talk about what he wants to do, you dipshit!\Be careful, Josuke!\Don't touch that shitbag Deadly Queen's hand.\That's the only reason I didn't dispose of you all. response:	You're the only three destroying my peace right now.
context: Fighting with others is a sad and endless process.\We were coming after you because you killed Shigechi, you dumbass!\A pig bastard like you whose hobby is to kill people\doesn't have the right to talk about what he wants to do, you dipshit!\Be careful, Josuke!\Don't touch that shitbag Deadly Queen's hand.\That's the only reason I didn't dispose of you all.\You're the only three destroying my peace right now. response:	I have no choice but to fight the ones who find out my identity.
context: We were coming after you because you killed Shigechi, you dumbass!\A pig bastard like you whose hobby is to kill people\doesn't have the right to talk about what he wants to do, you dipshit!\Be careful, Josuke!\Don't touch that shitbag Deadly Queen's hand.\That's the only reason I didn't dispose of you all.\You're the only three destroying my peace right now.\I have no choice but to fight the ones who find out my identity. response:	Hey, get behind us, Hayato Kawajiri.
context: A pig bastard like you whose hobby is to kill people\doesn't have the right to talk about what he wants to do, you dipshit!\Be careful, Josuke!\Don't touch that shitbag Deadly Queen's hand.\That's the only reason I didn't dispose of you all.\You're the only three destroying my peace right now.\I have no choice but to fight the ones who find out my identity.\Hey, get behind us, Hayato Kawajiri. response:	Shining Diamond's range is 1-2 meters,
context: doesn't have the right to talk about what he wants to do, you dipshit!\Be careful, Josuke!\Don't touch that shitbag Deadly Queen's hand.\That's the only reason I didn't dispose of you all.\You're the only three destroying my peace right now.\I have no choice but to fight the ones who find out my identity.\Hey, get behind us, Hayato Kawajiri.\Shining Diamond's range is 1-2 meters, response:	and it has the ability to fix anything that's been destroyed.
context: Be careful, Josuke!\Don't touch that shitbag Deadly Queen's hand.\That's the only reason I didn't dispose of you all.\You're the only three destroying my peace right now.\I have no choice but to fight the ones who find out my identity.\Hey, get behind us, Hayato Kawajiri.\Shining Diamond's range is 1-2 meters,\and it has the ability to fix anything that's been destroyed. response:	I won't need to use that ability against you!
