context: Over a hundred years ago, response:	humanity suddenly found itself faced with a new predator.
context: There, they enjoyed a century of peace.\However...\That Day The Fall of Zhiganshina (2)\For till then I was a soul in misery, alienate\From God, and covetous of all earthly things;\Now, as thou seest,\here punish'd for my doting.\Such cleansing from the taint of avarice response:	Do spirits, converted, need.
context: However...\That Day The Fall of Zhiganshina (2)\For till then I was a soul in misery, alienate\From God, and covetous of all earthly things;\Now, as thou seest,\here punish'd for my doting.\Such cleansing from the taint of avarice\Do spirits, converted, need. response:	This mount inflicts
context: That Day The Fall of Zhiganshina (2)\For till then I was a soul in misery, alienate\From God, and covetous of all earthly things;\Now, as thou seest,\here punish'd for my doting.\Such cleansing from the taint of avarice\Do spirits, converted, need.\This mount inflicts response:	No direr penalty.
context: For till then I was a soul in misery, alienate\From God, and covetous of all earthly things;\Now, as thou seest,\here punish'd for my doting.\Such cleansing from the taint of avarice\Do spirits, converted, need.\This mount inflicts\No direr penalty. response:	No!
context: From God, and covetous of all earthly things;\Now, as thou seest,\here punish'd for my doting.\Such cleansing from the taint of avarice\Do spirits, converted, need.\This mount inflicts\No direr penalty.\No! response:	Let me go!
context: Now, as thou seest,\here punish'd for my doting.\Such cleansing from the taint of avarice\Do spirits, converted, need.\This mount inflicts\No direr penalty.\No!\Let me go! response:	O avarice!
context: here punish'd for my doting.\Such cleansing from the taint of avarice\Do spirits, converted, need.\This mount inflicts\No direr penalty.\No!\Let me go!\O avarice! response:	What canst thou more, who hast subdued our blood
context: Such cleansing from the taint of avarice\Do spirits, converted, need.\This mount inflicts\No direr penalty.\No!\Let me go!\O avarice!\What canst thou more, who hast subdued our blood response:	So wholly to thyself, they feel no care
context: Do spirits, converted, need.\This mount inflicts\No direr penalty.\No!\Let me go!\O avarice!\What canst thou more, who hast subdued our blood\So wholly to thyself, they feel no care response:	Of their own flesh?
context: This mount inflicts\No direr penalty.\No!\Let me go!\O avarice!\What canst thou more, who hast subdued our blood\So wholly to thyself, they feel no care\Of their own flesh? response:	O avarice!
context: No direr penalty.\No!\Let me go!\O avarice!\What canst thou more, who hast subdued our blood\So wholly to thyself, they feel no care\Of their own flesh?\O avarice! response:	What canst thou more, who hast
context: No!\Let me go!\O avarice!\What canst thou more, who hast subdued our blood\So wholly to thyself, they feel no care\Of their own flesh?\O avarice!\What canst thou more, who hast response:	Eren, what are you doing?
context: Let me go!\O avarice!\What canst thou more, who hast subdued our blood\So wholly to thyself, they feel no care\Of their own flesh?\O avarice!\What canst thou more, who hast\Eren, what are you doing? response:	We were so close to saving my mom...
context: O avarice!\What canst thou more, who hast subdued our blood\So wholly to thyself, they feel no care\Of their own flesh?\O avarice!\What canst thou more, who hast\Eren, what are you doing?\We were so close to saving my mom... response:	Why did you do that?!
context: What canst thou more, who hast subdued our blood\So wholly to thyself, they feel no care\Of their own flesh?\O avarice!\What canst thou more, who hast\Eren, what are you doing?\We were so close to saving my mom...\Why did you do that?! response:	We almost saved my mom!
context: So wholly to thyself, they feel no care\Of their own flesh?\O avarice!\What canst thou more, who hast\Eren, what are you doing?\We were so close to saving my mom...\Why did you do that?!\We almost saved my mom! response:	Get a hold of yourself!
context: Of their own flesh?\O avarice!\What canst thou more, who hast\Eren, what are you doing?\We were so close to saving my mom...\Why did you do that?!\We almost saved my mom!\Get a hold of yourself! response:	Eren!
context: O avarice!\What canst thou more, who hast\Eren, what are you doing?\We were so close to saving my mom...\Why did you do that?!\We almost saved my mom!\Get a hold of yourself!\Eren! response:	Eren...
context: What canst thou more, who hast\Eren, what are you doing?\We were so close to saving my mom...\Why did you do that?!\We almost saved my mom!\Get a hold of yourself!\Eren!\Eren... response:	The reason you couldn't save your mother
context: Eren, what are you doing?\We were so close to saving my mom...\Why did you do that?!\We almost saved my mom!\Get a hold of yourself!\Eren!\Eren...\The reason you couldn't save your mother response:	is that you lacked the strength.
context: We were so close to saving my mom...\Why did you do that?!\We almost saved my mom!\Get a hold of yourself!\Eren!\Eren...\The reason you couldn't save your mother\is that you lacked the strength. response:	The reason...
context: Why did you do that?!\We almost saved my mom!\Get a hold of yourself!\Eren!\Eren...\The reason you couldn't save your mother\is that you lacked the strength.\The reason... response:	The reason I didn't fight the Titan
context: We almost saved my mom!\Get a hold of yourself!\Eren!\Eren...\The reason you couldn't save your mother\is that you lacked the strength.\The reason...\The reason I didn't fight the Titan response:	was that I lacked the courage!
context: Get a hold of yourself!\Eren!\Eren...\The reason you couldn't save your mother\is that you lacked the strength.\The reason...\The reason I didn't fight the Titan\was that I lacked the courage! response:	I'm sorry.
context: Eren!\Eren...\The reason you couldn't save your mother\is that you lacked the strength.\The reason...\The reason I didn't fight the Titan\was that I lacked the courage!\I'm sorry. response:	Ah, it's happening again.
context: Eren...\The reason you couldn't save your mother\is that you lacked the strength.\The reason...\The reason I didn't fight the Titan\was that I lacked the courage!\I'm sorry.\Ah, it's happening again. response:	Hurry!
context: The reason you couldn't save your mother\is that you lacked the strength.\The reason...\The reason I didn't fight the Titan\was that I lacked the courage!\I'm sorry.\Ah, it's happening again.\Hurry! response:	To the inner gate!
context: is that you lacked the strength.\The reason...\The reason I didn't fight the Titan\was that I lacked the courage!\I'm sorry.\Ah, it's happening again.\Hurry!\To the inner gate! response:	Use all ships at the pier for Zhiganshina's evacuation!
context: The reason...\The reason I didn't fight the Titan\was that I lacked the courage!\I'm sorry.\Ah, it's happening again.\Hurry!\To the inner gate!\Use all ships at the pier for Zhiganshina's evacuation! response:	Hurry! They'll eat you!
context: The reason I didn't fight the Titan\was that I lacked the courage!\I'm sorry.\Ah, it's happening again.\Hurry!\To the inner gate!\Use all ships at the pier for Zhiganshina's evacuation!\Hurry! They'll eat you! response:	There are small areas that protrude,
context: was that I lacked the courage!\I'm sorry.\Ah, it's happening again.\Hurry!\To the inner gate!\Use all ships at the pier for Zhiganshina's evacuation!\Hurry! They'll eat you!\There are small areas that protrude, response:	like Zhiganshina, all around the wall.
context: I'm sorry.\Ah, it's happening again.\Hurry!\To the inner gate!\Use all ships at the pier for Zhiganshina's evacuation!\Hurry! They'll eat you!\There are small areas that protrude,\like Zhiganshina, all around the wall. response:	Their purpose is to attract the Titans,
context: Ah, it's happening again.\Hurry!\To the inner gate!\Use all ships at the pier for Zhiganshina's evacuation!\Hurry! They'll eat you!\There are small areas that protrude,\like Zhiganshina, all around the wall.\Their purpose is to attract the Titans, response:	thus reducing the cost and manpower of defending the walls.
context: Hurry!\To the inner gate!\Use all ships at the pier for Zhiganshina's evacuation!\Hurry! They'll eat you!\There are small areas that protrude,\like Zhiganshina, all around the wall.\Their purpose is to attract the Titans,\thus reducing the cost and manpower of defending the walls. response:	After the people of
context: To the inner gate!\Use all ships at the pier for Zhiganshina's evacuation!\Hurry! They'll eat you!\There are small areas that protrude,\like Zhiganshina, all around the wall.\Their purpose is to attract the Titans,\thus reducing the cost and manpower of defending the walls.\After the people of response:	Zhiganshina had fulfilled their function, by drawing the Titans to them,
context: Use all ships at the pier for Zhiganshina's evacuation!\Hurry! They'll eat you!\There are small areas that protrude,\like Zhiganshina, all around the wall.\Their purpose is to attract the Titans,\thus reducing the cost and manpower of defending the walls.\After the people of\Zhiganshina had fulfilled their function, by drawing the Titans to them, response:	they were forced to evacuate by a single gate.
context: Hurry! They'll eat you!\There are small areas that protrude,\like Zhiganshina, all around the wall.\Their purpose is to attract the Titans,\thus reducing the cost and manpower of defending the walls.\After the people of\Zhiganshina had fulfilled their function, by drawing the Titans to them,\they were forced to evacuate by a single gate. response:	Don't bring anything aboard!
context: There are small areas that protrude,\like Zhiganshina, all around the wall.\Their purpose is to attract the Titans,\thus reducing the cost and manpower of defending the walls.\After the people of\Zhiganshina had fulfilled their function, by drawing the Titans to them,\they were forced to evacuate by a single gate.\Don't bring anything aboard! response:	We're taking as many people as we can!
context: like Zhiganshina, all around the wall.\Their purpose is to attract the Titans,\thus reducing the cost and manpower of defending the walls.\After the people of\Zhiganshina had fulfilled their function, by drawing the Titans to them,\they were forced to evacuate by a single gate.\Don't bring anything aboard!\We're taking as many people as we can! response:	Armin, sit...
context: Their purpose is to attract the Titans,\thus reducing the cost and manpower of defending the walls.\After the people of\Zhiganshina had fulfilled their function, by drawing the Titans to them,\they were forced to evacuate by a single gate.\Don't bring anything aboard!\We're taking as many people as we can!\Armin, sit... response:	But...
context: thus reducing the cost and manpower of defending the walls.\After the people of\Zhiganshina had fulfilled their function, by drawing the Titans to them,\they were forced to evacuate by a single gate.\Don't bring anything aboard!\We're taking as many people as we can!\Armin, sit...\But... response:	Eren and Mikasa aren't here yet.
context: After the people of\Zhiganshina had fulfilled their function, by drawing the Titans to them,\they were forced to evacuate by a single gate.\Don't bring anything aboard!\We're taking as many people as we can!\Armin, sit...\But...\Eren and Mikasa aren't here yet. response:	There they are!
context: Zhiganshina had fulfilled their function, by drawing the Titans to them,\they were forced to evacuate by a single gate.\Don't bring anything aboard!\We're taking as many people as we can!\Armin, sit...\But...\Eren and Mikasa aren't here yet.\There they are! response:	Eren?
context: they were forced to evacuate by a single gate.\Don't bring anything aboard!\We're taking as many people as we can!\Armin, sit...\But...\Eren and Mikasa aren't here yet.\There they are!\Eren? response:	Don't talk to them just now.
context: Don't bring anything aboard!\We're taking as many people as we can!\Armin, sit...\But...\Eren and Mikasa aren't here yet.\There they are!\Eren?\Don't talk to them just now. response:	Poor kids... Going by appearances, it must've been bad.
context: We're taking as many people as we can!\Armin, sit...\But...\Eren and Mikasa aren't here yet.\There they are!\Eren?\Don't talk to them just now.\Poor kids... Going by appearances, it must've been bad. response:	Why are you just standing there?
context: Armin, sit...\But...\Eren and Mikasa aren't here yet.\There they are!\Eren?\Don't talk to them just now.\Poor kids... Going by appearances, it must've been bad.\Why are you just standing there? response:	Hurry!
context: But...\Eren and Mikasa aren't here yet.\There they are!\Eren?\Don't talk to them just now.\Poor kids... Going by appearances, it must've been bad.\Why are you just standing there?\Hurry! response:	Where are those cannon shells?!
context: Eren and Mikasa aren't here yet.\There they are!\Eren?\Don't talk to them just now.\Poor kids... Going by appearances, it must've been bad.\Why are you just standing there?\Hurry!\Where are those cannon shells?! response:	Hurry!
context: There they are!\Eren?\Don't talk to them just now.\Poor kids... Going by appearances, it must've been bad.\Why are you just standing there?\Hurry!\Where are those cannon shells?!\Hurry! response:	They're right in front of us!
context: Eren?\Don't talk to them just now.\Poor kids... Going by appearances, it must've been bad.\Why are you just standing there?\Hurry!\Where are those cannon shells?!\Hurry!\They're right in front of us! response:	This just can't be happening...
context: Don't talk to them just now.\Poor kids... Going by appearances, it must've been bad.\Why are you just standing there?\Hurry!\Where are those cannon shells?!\Hurry!\They're right in front of us!\This just can't be happening... response:	Oh God, oh God, oh God...
context: Poor kids... Going by appearances, it must've been bad.\Why are you just standing there?\Hurry!\Where are those cannon shells?!\Hurry!\They're right in front of us!\This just can't be happening...\Oh God, oh God, oh God... response:	Hey! What the hell?!
context: Why are you just standing there?\Hurry!\Where are those cannon shells?!\Hurry!\They're right in front of us!\This just can't be happening...\Oh God, oh God, oh God...\Hey! What the hell?! response:	Wait!
context: Hurry!\Where are those cannon shells?!\Hurry!\They're right in front of us!\This just can't be happening...\Oh God, oh God, oh God...\Hey! What the hell?!\Wait! response:	Hey, what are you doing?
context: Where are those cannon shells?!\Hurry!\They're right in front of us!\This just can't be happening...\Oh God, oh God, oh God...\Hey! What the hell?!\Wait!\Hey, what are you doing? response:	The ship's full!
context: Hurry!\They're right in front of us!\This just can't be happening...\Oh God, oh God, oh God...\Hey! What the hell?!\Wait!\Hey, what are you doing?\The ship's full! response:	It's leaving!
context: They're right in front of us!\This just can't be happening...\Oh God, oh God, oh God...\Hey! What the hell?!\Wait!\Hey, what are you doing?\The ship's full!\It's leaving! response:	Please!
context: This just can't be happening...\Oh God, oh God, oh God...\Hey! What the hell?!\Wait!\Hey, what are you doing?\The ship's full!\It's leaving!\Please! response:	Please, at least take my child!
context: Oh God, oh God, oh God...\Hey! What the hell?!\Wait!\Hey, what are you doing?\The ship's full!\It's leaving!\Please!\Please, at least take my child! response:	I'm sorry, but I can't!
context: Hey! What the hell?!\Wait!\Hey, what are you doing?\The ship's full!\It's leaving!\Please!\Please, at least take my child!\I'm sorry, but I can't! response:	Go!
context: Wait!\Hey, what are you doing?\The ship's full!\It's leaving!\Please!\Please, at least take my child!\I'm sorry, but I can't!\Go! response:	Let him on!
context: Hey, what are you doing?\The ship's full!\It's leaving!\Please!\Please, at least take my child!\I'm sorry, but I can't!\Go!\Let him on! response:	Let us on!
context: The ship's full!\It's leaving!\Please!\Please, at least take my child!\I'm sorry, but I can't!\Go!\Let him on!\Let us on! response:	You fool...
context: It's leaving!\Please!\Please, at least take my child!\I'm sorry, but I can't!\Go!\Let him on!\Let us on!\You fool... response:	Where are you aiming?
context: Please!\Please, at least take my child!\I'm sorry, but I can't!\Go!\Let him on!\Let us on!\You fool...\Where are you aiming? response:	B-But this thing doesn't have that kind of accuracy!
context: Please, at least take my child!\I'm sorry, but I can't!\Go!\Let him on!\Let us on!\You fool...\Where are you aiming?\B-But this thing doesn't have that kind of accuracy! response:	Right now, I don't give a crap...
context: I'm sorry, but I can't!\Go!\Let him on!\Let us on!\You fool...\Where are you aiming?\B-But this thing doesn't have that kind of accuracy!\Right now, I don't give a crap... response:	Just load the next shell!
context: Go!\Let him on!\Let us on!\You fool...\Where are you aiming?\B-But this thing doesn't have that kind of accuracy!\Right now, I don't give a crap...\Just load the next shell! response:	It's hopeless!
context: Let him on!\Let us on!\You fool...\Where are you aiming?\B-But this thing doesn't have that kind of accuracy!\Right now, I don't give a crap...\Just load the next shell!\It's hopeless! response:	The gate...
context: Let us on!\You fool...\Where are you aiming?\B-But this thing doesn't have that kind of accuracy!\Right now, I don't give a crap...\Just load the next shell!\It's hopeless!\The gate... response:	It's closing!
context: You fool...\Where are you aiming?\B-But this thing doesn't have that kind of accuracy!\Right now, I don't give a crap...\Just load the next shell!\It's hopeless!\The gate...\It's closing! response:	We need to retreat.
context: Where are you aiming?\B-But this thing doesn't have that kind of accuracy!\Right now, I don't give a crap...\Just load the next shell!\It's hopeless!\The gate...\It's closing!\We need to retreat. response:	We'll be left behind!
context: B-But this thing doesn't have that kind of accuracy!\Right now, I don't give a crap...\Just load the next shell!\It's hopeless!\The gate...\It's closing!\We need to retreat.\We'll be left behind! response:	Hey!
context: Right now, I don't give a crap...\Just load the next shell!\It's hopeless!\The gate...\It's closing!\We need to retreat.\We'll be left behind!\Hey! response:	Don't close it yet...
context: Just load the next shell!\It's hopeless!\The gate...\It's closing!\We need to retreat.\We'll be left behind!\Hey!\Don't close it yet... response:	Wait a little more!
context: It's hopeless!\The gate...\It's closing!\We need to retreat.\We'll be left behind!\Hey!\Don't close it yet...\Wait a little more! response:	Many people are still in the city!
context: The gate...\It's closing!\We need to retreat.\We'll be left behind!\Hey!\Don't close it yet...\Wait a little more!\Many people are still in the city! response:	If they break through this gate,
context: It's closing!\We need to retreat.\We'll be left behind!\Hey!\Don't close it yet...\Wait a little more!\Many people are still in the city!\If they break through this gate, response:	we'll lose more than a single city to the Titans!
context: We need to retreat.\We'll be left behind!\Hey!\Don't close it yet...\Wait a little more!\Many people are still in the city!\If they break through this gate,\we'll lose more than a single city to the Titans! response:	We'll lose the entire territory within this wall!
context: We'll be left behind!\Hey!\Don't close it yet...\Wait a little more!\Many people are still in the city!\If they break through this gate,\we'll lose more than a single city to the Titans!\We'll lose the entire territory within this wall! response:	But that doesn't mean we can let these people die!
context: Hey!\Don't close it yet...\Wait a little more!\Many people are still in the city!\If they break through this gate,\we'll lose more than a single city to the Titans!\We'll lose the entire territory within this wall!\But that doesn't mean we can let these people die! response:	Close the gate!
context: Don't close it yet...\Wait a little more!\Many people are still in the city!\If they break through this gate,\we'll lose more than a single city to the Titans!\We'll lose the entire territory within this wall!\But that doesn't mean we can let these people die!\Close the gate! response:	The Titans are coming!
context: Wait a little more!\Many people are still in the city!\If they break through this gate,\we'll lose more than a single city to the Titans!\We'll lose the entire territory within this wall!\But that doesn't mean we can let these people die!\Close the gate!\The Titans are coming! response:	Get that gate shut!
context: Many people are still in the city!\If they break through this gate,\we'll lose more than a single city to the Titans!\We'll lose the entire territory within this wall!\But that doesn't mean we can let these people die!\Close the gate!\The Titans are coming!\Get that gate shut! response:	Don't do it!
context: If they break through this gate,\we'll lose more than a single city to the Titans!\We'll lose the entire territory within this wall!\But that doesn't mean we can let these people die!\Close the gate!\The Titans are coming!\Get that gate shut!\Don't do it! response:	Hey!
context: we'll lose more than a single city to the Titans!\We'll lose the entire territory within this wall!\But that doesn't mean we can let these people die!\Close the gate!\The Titans are coming!\Get that gate shut!\Don't do it!\Hey! response:	What
context: We'll lose the entire territory within this wall!\But that doesn't mean we can let these people die!\Close the gate!\The Titans are coming!\Get that gate shut!\Don't do it!\Hey!\What response:	is that thing?
context: But that doesn't mean we can let these people die!\Close the gate!\The Titans are coming!\Get that gate shut!\Don't do it!\Hey!\What\is that thing? response:	Fire!
context: Close the gate!\The Titans are coming!\Get that gate shut!\Don't do it!\Hey!\What\is that thing?\Fire! response:	It's not working!
context: The Titans are coming!\Get that gate shut!\Don't do it!\Hey!\What\is that thing?\Fire!\It's not working! response:	What is that thing?
context: Get that gate shut!\Don't do it!\Hey!\What\is that thing?\Fire!\It's not working!\What is that thing? response:	It's coming! Run!
context: Don't do it!\Hey!\What\is that thing?\Fire!\It's not working!\What is that thing?\It's coming! Run! response:	The Titan's coming! It's going to ram the wall!
context: Hey!\What\is that thing?\Fire!\It's not working!\What is that thing?\It's coming! Run!\The Titan's coming! It's going to ram the wall! response:	Close the gate!
context: What\is that thing?\Fire!\It's not working!\What is that thing?\It's coming! Run!\The Titan's coming! It's going to ram the wall!\Close the gate! response:	The gate...
context: is that thing?\Fire!\It's not working!\What is that thing?\It's coming! Run!\The Titan's coming! It's going to ram the wall!\Close the gate!\The gate... response:	Information We Can Share So Far: Rough Diagram of Human Territory (1) Diagram (see original work) broadly depicts area still inhabited by humans. Area outside Wall Maria remains a mystery.
context: Fire!\It's not working!\What is that thing?\It's coming! Run!\The Titan's coming! It's going to ram the wall!\Close the gate!\The gate...\Information We Can Share So Far: Rough Diagram of Human Territory (1) Diagram (see original work) broadly depicts area still inhabited by humans. Area outside Wall Maria remains a mystery. response:	Information We Can Share So Far: Rough Diagram of Human Territory (2) Elevation increases with relative proximity to the center of human territory. Territory is rich in natural resources, such as water, minerals, and natural gas.
context: It's not working!\What is that thing?\It's coming! Run!\The Titan's coming! It's going to ram the wall!\Close the gate!\The gate...\Information We Can Share So Far: Rough Diagram of Human Territory (1) Diagram (see original work) broadly depicts area still inhabited by humans. Area outside Wall Maria remains a mystery.\Information We Can Share So Far: Rough Diagram of Human Territory (2) Elevation increases with relative proximity to the center of human territory. Territory is rich in natural resources, such as water, minerals, and natural gas. response:	Several hours after Zhiganshina's fall on Wall Maria's south side,
context: What is that thing?\It's coming! Run!\The Titan's coming! It's going to ram the wall!\Close the gate!\The gate...\Information We Can Share So Far: Rough Diagram of Human Territory (1) Diagram (see original work) broadly depicts area still inhabited by humans. Area outside Wall Maria remains a mystery.\Information We Can Share So Far: Rough Diagram of Human Territory (2) Elevation increases with relative proximity to the center of human territory. Territory is rich in natural resources, such as water, minerals, and natural gas.\Several hours after Zhiganshina's fall on Wall Maria's south side, response:	the news had spread throughout
context: It's coming! Run!\The Titan's coming! It's going to ram the wall!\Close the gate!\The gate...\Information We Can Share So Far: Rough Diagram of Human Territory (1) Diagram (see original work) broadly depicts area still inhabited by humans. Area outside Wall Maria remains a mystery.\Information We Can Share So Far: Rough Diagram of Human Territory (2) Elevation increases with relative proximity to the center of human territory. Territory is rich in natural resources, such as water, minerals, and natural gas.\Several hours after Zhiganshina's fall on Wall Maria's south side,\the news had spread throughout response:	the entire human territory.
context: The Titan's coming! It's going to ram the wall!\Close the gate!\The gate...\Information We Can Share So Far: Rough Diagram of Human Territory (1) Diagram (see original work) broadly depicts area still inhabited by humans. Area outside Wall Maria remains a mystery.\Information We Can Share So Far: Rough Diagram of Human Territory (2) Elevation increases with relative proximity to the center of human territory. Territory is rich in natural resources, such as water, minerals, and natural gas.\Several hours after Zhiganshina's fall on Wall Maria's south side,\the news had spread throughout\the entire human territory. response:	Is it true?
context: Close the gate!\The gate...\Information We Can Share So Far: Rough Diagram of Human Territory (1) Diagram (see original work) broadly depicts area still inhabited by humans. Area outside Wall Maria remains a mystery.\Information We Can Share So Far: Rough Diagram of Human Territory (2) Elevation increases with relative proximity to the center of human territory. Territory is rich in natural resources, such as water, minerals, and natural gas.\Several hours after Zhiganshina's fall on Wall Maria's south side,\the news had spread throughout\the entire human territory.\Is it true? response:	Wall Rose, South Side Trost District
context: The gate...\Information We Can Share So Far: Rough Diagram of Human Territory (1) Diagram (see original work) broadly depicts area still inhabited by humans. Area outside Wall Maria remains a mystery.\Information We Can Share So Far: Rough Diagram of Human Territory (2) Elevation increases with relative proximity to the center of human territory. Territory is rich in natural resources, such as water, minerals, and natural gas.\Several hours after Zhiganshina's fall on Wall Maria's south side,\the news had spread throughout\the entire human territory.\Is it true?\Wall Rose, South Side Trost District response:	Have Titans entered Zhiganshina?
context: Information We Can Share So Far: Rough Diagram of Human Territory (1) Diagram (see original work) broadly depicts area still inhabited by humans. Area outside Wall Maria remains a mystery.\Information We Can Share So Far: Rough Diagram of Human Territory (2) Elevation increases with relative proximity to the center of human territory. Territory is rich in natural resources, such as water, minerals, and natural gas.\Several hours after Zhiganshina's fall on Wall Maria's south side,\the news had spread throughout\the entire human territory.\Is it true?\Wall Rose, South Side Trost District\Have Titans entered Zhiganshina? response:	I can't believe it...
context: Information We Can Share So Far: Rough Diagram of Human Territory (2) Elevation increases with relative proximity to the center of human territory. Territory is rich in natural resources, such as water, minerals, and natural gas.\Several hours after Zhiganshina's fall on Wall Maria's south side,\the news had spread throughout\the entire human territory.\Is it true?\Wall Rose, South Side Trost District\Have Titans entered Zhiganshina?\I can't believe it... response:	Why would walls that have lasted a century fall now?
context: Several hours after Zhiganshina's fall on Wall Maria's south side,\the news had spread throughout\the entire human territory.\Is it true?\Wall Rose, South Side Trost District\Have Titans entered Zhiganshina?\I can't believe it...\Why would walls that have lasted a century fall now? response:	Whether you believe it or not,
context: the news had spread throughout\the entire human territory.\Is it true?\Wall Rose, South Side Trost District\Have Titans entered Zhiganshina?\I can't believe it...\Why would walls that have lasted a century fall now?\Whether you believe it or not, response:	there are people out there who escaped by ship.
context: the entire human territory.\Is it true?\Wall Rose, South Side Trost District\Have Titans entered Zhiganshina?\I can't believe it...\Why would walls that have lasted a century fall now?\Whether you believe it or not,\there are people out there who escaped by ship. response:	At least five hundred, I'm told.
context: Is it true?\Wall Rose, South Side Trost District\Have Titans entered Zhiganshina?\I can't believe it...\Why would walls that have lasted a century fall now?\Whether you believe it or not,\there are people out there who escaped by ship.\At least five hundred, I'm told. response:	The question is if we've lost Zhiganshina alone.
context: Wall Rose, South Side Trost District\Have Titans entered Zhiganshina?\I can't believe it...\Why would walls that have lasted a century fall now?\Whether you believe it or not,\there are people out there who escaped by ship.\At least five hundred, I'm told.\The question is if we've lost Zhiganshina alone. response:	But they would certainly never penetrate Wall Maria, would they?
context: Have Titans entered Zhiganshina?\I can't believe it...\Why would walls that have lasted a century fall now?\Whether you believe it or not,\there are people out there who escaped by ship.\At least five hundred, I'm told.\The question is if we've lost Zhiganshina alone.\But they would certainly never penetrate Wall Maria, would they? response:	At the moment,
context: I can't believe it...\Why would walls that have lasted a century fall now?\Whether you believe it or not,\there are people out there who escaped by ship.\At least five hundred, I'm told.\The question is if we've lost Zhiganshina alone.\But they would certainly never penetrate Wall Maria, would they?\At the moment, response:	we should contact the central government and await orders.
context: Why would walls that have lasted a century fall now?\Whether you believe it or not,\there are people out there who escaped by ship.\At least five hundred, I'm told.\The question is if we've lost Zhiganshina alone.\But they would certainly never penetrate Wall Maria, would they?\At the moment,\we should contact the central government and await orders. response:	We cannot handle
context: Whether you believe it or not,\there are people out there who escaped by ship.\At least five hundred, I'm told.\The question is if we've lost Zhiganshina alone.\But they would certainly never penetrate Wall Maria, would they?\At the moment,\we should contact the central government and await orders.\We cannot handle response:	an emergency such as this on our own.
context: there are people out there who escaped by ship.\At least five hundred, I'm told.\The question is if we've lost Zhiganshina alone.\But they would certainly never penetrate Wall Maria, would they?\At the moment,\we should contact the central government and await orders.\We cannot handle\an emergency such as this on our own. response:	E-Excuse me!
context: At least five hundred, I'm told.\The question is if we've lost Zhiganshina alone.\But they would certainly never penetrate Wall Maria, would they?\At the moment,\we should contact the central government and await orders.\We cannot handle\an emergency such as this on our own.\E-Excuse me! response:	A messenger just arrived!
context: The question is if we've lost Zhiganshina alone.\But they would certainly never penetrate Wall Maria, would they?\At the moment,\we should contact the central government and await orders.\We cannot handle\an emergency such as this on our own.\E-Excuse me!\A messenger just arrived! response:	They say Wall Maria has been breached! The Titans are invading!
context: But they would certainly never penetrate Wall Maria, would they?\At the moment,\we should contact the central government and await orders.\We cannot handle\an emergency such as this on our own.\E-Excuse me!\A messenger just arrived!\They say Wall Maria has been breached! The Titans are invading! response:	It's over...
context: At the moment,\we should contact the central government and await orders.\We cannot handle\an emergency such as this on our own.\E-Excuse me!\A messenger just arrived!\They say Wall Maria has been breached! The Titans are invading!\It's over... response:	It's over.
