context: Ilulu. response:	Ilulu.
context: I don't know what Ilulu hopes to get out of me,\but I need to keep a clear head.\K-Kanna-chan?!\Good morning, Kobayashi.\What's wrong?\I thought you'd be cold in the morning.\I-I'm awake already, okay?\At this point, I have no idea what might happen. response:	I'll need to keep some distance from the others.
context: but I need to keep a clear head.\K-Kanna-chan?!\Good morning, Kobayashi.\What's wrong?\I thought you'd be cold in the morning.\I-I'm awake already, okay?\At this point, I have no idea what might happen.\I'll need to keep some distance from the others. response:	I wonder if Tohru could fix this.
context: K-Kanna-chan?!\Good morning, Kobayashi.\What's wrong?\I thought you'd be cold in the morning.\I-I'm awake already, okay?\At this point, I have no idea what might happen.\I'll need to keep some distance from the others.\I wonder if Tohru could fix this. response:	Huh?! Miss Kobayashi's become a male?!
context: Good morning, Kobayashi.\What's wrong?\I thought you'd be cold in the morning.\I-I'm awake already, okay?\At this point, I have no idea what might happen.\I'll need to keep some distance from the others.\I wonder if Tohru could fix this.\Huh?! Miss Kobayashi's become a male?! response:	Let's do it, then!
context: What's wrong?\I thought you'd be cold in the morning.\I-I'm awake already, okay?\At this point, I have no idea what might happen.\I'll need to keep some distance from the others.\I wonder if Tohru could fix this.\Huh?! Miss Kobayashi's become a male?!\Let's do it, then! response:	Let's get on with preserving our species!
context: I thought you'd be cold in the morning.\I-I'm awake already, okay?\At this point, I have no idea what might happen.\I'll need to keep some distance from the others.\I wonder if Tohru could fix this.\Huh?! Miss Kobayashi's become a male?!\Let's do it, then!\Let's get on with preserving our species! response:	That's dangerous.
context: I-I'm awake already, okay?\At this point, I have no idea what might happen.\I'll need to keep some distance from the others.\I wonder if Tohru could fix this.\Huh?! Miss Kobayashi's become a male?!\Let's do it, then!\Let's get on with preserving our species!\That's dangerous. response:	Okay, let's ride the canoe to adventure!
context: At this point, I have no idea what might happen.\I'll need to keep some distance from the others.\I wonder if Tohru could fix this.\Huh?! Miss Kobayashi's become a male?!\Let's do it, then!\Let's get on with preserving our species!\That's dangerous.\Okay, let's ride the canoe to adventure! response:	What are you watching?
context: I'll need to keep some distance from the others.\I wonder if Tohru could fix this.\Huh?! Miss Kobayashi's become a male?!\Let's do it, then!\Let's get on with preserving our species!\That's dangerous.\Okay, let's ride the canoe to adventure!\What are you watching? response:	Everyone watching at home come along with us, too!
context: I wonder if Tohru could fix this.\Huh?! Miss Kobayashi's become a male?!\Let's do it, then!\Let's get on with preserving our species!\That's dangerous.\Okay, let's ride the canoe to adventure!\What are you watching?\Everyone watching at home come along with us, too! response:	Clinky Clang.
context: Huh?! Miss Kobayashi's become a male?!\Let's do it, then!\Let's get on with preserving our species!\That's dangerous.\Okay, let's ride the canoe to adventure!\What are you watching?\Everyone watching at home come along with us, too!\Clinky Clang. response:	Oh!
context: Let's do it, then!\Let's get on with preserving our species!\That's dangerous.\Okay, let's ride the canoe to adventure!\What are you watching?\Everyone watching at home come along with us, too!\Clinky Clang.\Oh! response:	Are you all ready?
context: Let's get on with preserving our species!\That's dangerous.\Okay, let's ride the canoe to adventure!\What are you watching?\Everyone watching at home come along with us, too!\Clinky Clang.\Oh!\Are you all ready? response:	Let's go!
context: That's dangerous.\Okay, let's ride the canoe to adventure!\What are you watching?\Everyone watching at home come along with us, too!\Clinky Clang.\Oh!\Are you all ready?\Let's go! response:	Go!
context: Okay, let's ride the canoe to adventure!\What are you watching?\Everyone watching at home come along with us, too!\Clinky Clang.\Oh!\Are you all ready?\Let's go!\Go! response:	Oh!
context: What are you watching?\Everyone watching at home come along with us, too!\Clinky Clang.\Oh!\Are you all ready?\Let's go!\Go!\Oh! response:	Oh?
context: Everyone watching at home come along with us, too!\Clinky Clang.\Oh!\Are you all ready?\Let's go!\Go!\Oh!\Oh? response:	Now, paddle, paddle!
context: Clinky Clang.\Oh!\Are you all ready?\Let's go!\Go!\Oh!\Oh?\Now, paddle, paddle! response:	Yeah!
context: Oh!\Are you all ready?\Let's go!\Go!\Oh!\Oh?\Now, paddle, paddle!\Yeah! response:	It's a waterfall! Everyone, huddle up!
context: Are you all ready?\Let's go!\Go!\Oh!\Oh?\Now, paddle, paddle!\Yeah!\It's a waterfall! Everyone, huddle up! response:	This is normal between women.
context: Let's go!\Go!\Oh!\Oh?\Now, paddle, paddle!\Yeah!\It's a waterfall! Everyone, huddle up!\This is normal between women. response:	I-I can take it.
context: Go!\Oh!\Oh?\Now, paddle, paddle!\Yeah!\It's a waterfall! Everyone, huddle up!\This is normal between women.\I-I can take it. response:	I won't be controlled by some crazy instincts.
context: Oh!\Oh?\Now, paddle, paddle!\Yeah!\It's a waterfall! Everyone, huddle up!\This is normal between women.\I-I can take it.\I won't be controlled by some crazy instincts. response:	Miss Kobayashi!
context: Oh?\Now, paddle, paddle!\Yeah!\It's a waterfall! Everyone, huddle up!\This is normal between women.\I-I can take it.\I won't be controlled by some crazy instincts.\Miss Kobayashi! response:	Don't hug me for no reason!
context: Now, paddle, paddle!\Yeah!\It's a waterfall! Everyone, huddle up!\This is normal between women.\I-I can take it.\I won't be controlled by some crazy instincts.\Miss Kobayashi!\Don't hug me for no reason! response:	Kobayashi!
context: Yeah!\It's a waterfall! Everyone, huddle up!\This is normal between women.\I-I can take it.\I won't be controlled by some crazy instincts.\Miss Kobayashi!\Don't hug me for no reason!\Kobayashi! response:	Don't frolic on me!
context: It's a waterfall! Everyone, huddle up!\This is normal between women.\I-I can take it.\I won't be controlled by some crazy instincts.\Miss Kobayashi!\Don't hug me for no reason!\Kobayashi!\Don't frolic on me! response:	Miss Kobayashi!
context: This is normal between women.\I-I can take it.\I won't be controlled by some crazy instincts.\Miss Kobayashi!\Don't hug me for no reason!\Kobayashi!\Don't frolic on me!\Miss Kobayashi! response:	I said, don't hug me for no reason!
context: I-I can take it.\I won't be controlled by some crazy instincts.\Miss Kobayashi!\Don't hug me for no reason!\Kobayashi!\Don't frolic on me!\Miss Kobayashi!\I said, don't hug me for no reason! response:	Miss Kobayashi!
context: I won't be controlled by some crazy instincts.\Miss Kobayashi!\Don't hug me for no reason!\Kobayashi!\Don't frolic on me!\Miss Kobayashi!\I said, don't hug me for no reason!\Miss Kobayashi! response:	No!
context: Miss Kobayashi!\Don't hug me for no reason!\Kobayashi!\Don't frolic on me!\Miss Kobayashi!\I said, don't hug me for no reason!\Miss Kobayashi!\No! response:	Was her contact always this intense?
context: Don't hug me for no reason!\Kobayashi!\Don't frolic on me!\Miss Kobayashi!\I said, don't hug me for no reason!\Miss Kobayashi!\No!\Was her contact always this intense? response:	Phew.
context: Kobayashi!\Don't frolic on me!\Miss Kobayashi!\I said, don't hug me for no reason!\Miss Kobayashi!\No!\Was her contact always this intense?\Phew. response:	Thank goodness, it's gotten smaller.
context: Don't frolic on me!\Miss Kobayashi!\I said, don't hug me for no reason!\Miss Kobayashi!\No!\Was her contact always this intense?\Phew.\Thank goodness, it's gotten smaller. response:	I knew Ilulu had to be weakened after her battle with Tohru.
context: Miss Kobayashi!\I said, don't hug me for no reason!\Miss Kobayashi!\No!\Was her contact always this intense?\Phew.\Thank goodness, it's gotten smaller.\I knew Ilulu had to be weakened after her battle with Tohru. response:	The factions of dragons from Tohru's world...
context: I said, don't hug me for no reason!\Miss Kobayashi!\No!\Was her contact always this intense?\Phew.\Thank goodness, it's gotten smaller.\I knew Ilulu had to be weakened after her battle with Tohru.\The factions of dragons from Tohru's world... response:	The chaos faction, right?
context: Miss Kobayashi!\No!\Was her contact always this intense?\Phew.\Thank goodness, it's gotten smaller.\I knew Ilulu had to be weakened after her battle with Tohru.\The factions of dragons from Tohru's world...\The chaos faction, right? response:	They hate humans and teach their children the same.
context: No!\Was her contact always this intense?\Phew.\Thank goodness, it's gotten smaller.\I knew Ilulu had to be weakened after her battle with Tohru.\The factions of dragons from Tohru's world...\The chaos faction, right?\They hate humans and teach their children the same. response:	Ilulu was raised that way,
context: Was her contact always this intense?\Phew.\Thank goodness, it's gotten smaller.\I knew Ilulu had to be weakened after her battle with Tohru.\The factions of dragons from Tohru's world...\The chaos faction, right?\They hate humans and teach their children the same.\Ilulu was raised that way, response:	so she lives that way
context: Phew.\Thank goodness, it's gotten smaller.\I knew Ilulu had to be weakened after her battle with Tohru.\The factions of dragons from Tohru's world...\The chaos faction, right?\They hate humans and teach their children the same.\Ilulu was raised that way,\so she lives that way response:	and thinks like that, too.
context: Thank goodness, it's gotten smaller.\I knew Ilulu had to be weakened after her battle with Tohru.\The factions of dragons from Tohru's world...\The chaos faction, right?\They hate humans and teach their children the same.\Ilulu was raised that way,\so she lives that way\and thinks like that, too. response:	Miss Kobayashi! Miss Kobayashi!
context: I knew Ilulu had to be weakened after her battle with Tohru.\The factions of dragons from Tohru's world...\The chaos faction, right?\They hate humans and teach their children the same.\Ilulu was raised that way,\so she lives that way\and thinks like that, too.\Miss Kobayashi! Miss Kobayashi! response:	Kanna's asleep, so how about some evening liquor?
context: The factions of dragons from Tohru's world...\The chaos faction, right?\They hate humans and teach their children the same.\Ilulu was raised that way,\so she lives that way\and thinks like that, too.\Miss Kobayashi! Miss Kobayashi!\Kanna's asleep, so how about some evening liquor? response:	Mmm.
context: The chaos faction, right?\They hate humans and teach their children the same.\Ilulu was raised that way,\so she lives that way\and thinks like that, too.\Miss Kobayashi! Miss Kobayashi!\Kanna's asleep, so how about some evening liquor?\Mmm. response:	It's good.
context: They hate humans and teach their children the same.\Ilulu was raised that way,\so she lives that way\and thinks like that, too.\Miss Kobayashi! Miss Kobayashi!\Kanna's asleep, so how about some evening liquor?\Mmm.\It's good. response:	I'm done thinking about it today.
context: Ilulu was raised that way,\so she lives that way\and thinks like that, too.\Miss Kobayashi! Miss Kobayashi!\Kanna's asleep, so how about some evening liquor?\Mmm.\It's good.\I'm done thinking about it today. response:	Huh? This happened before, too.
context: so she lives that way\and thinks like that, too.\Miss Kobayashi! Miss Kobayashi!\Kanna's asleep, so how about some evening liquor?\Mmm.\It's good.\I'm done thinking about it today.\Huh? This happened before, too. response:	The love potion?!
context: and thinks like that, too.\Miss Kobayashi! Miss Kobayashi!\Kanna's asleep, so how about some evening liquor?\Mmm.\It's good.\I'm done thinking about it today.\Huh? This happened before, too.\The love potion?! response:	I noticed partway through.
context: Miss Kobayashi! Miss Kobayashi!\Kanna's asleep, so how about some evening liquor?\Mmm.\It's good.\I'm done thinking about it today.\Huh? This happened before, too.\The love potion?!\I noticed partway through. response:	Right now, you...
context: Kanna's asleep, so how about some evening liquor?\Mmm.\It's good.\I'm done thinking about it today.\Huh? This happened before, too.\The love potion?!\I noticed partway through.\Right now, you... response:	have one of those!
context: Mmm.\It's good.\I'm done thinking about it today.\Huh? This happened before, too.\The love potion?!\I noticed partway through.\Right now, you...\have one of those! response:	Ilulu must have gotten to you, huh?
context: It's good.\I'm done thinking about it today.\Huh? This happened before, too.\The love potion?!\I noticed partway through.\Right now, you...\have one of those!\Ilulu must have gotten to you, huh? response:	Poor Miss Kobayashi.
context: I'm done thinking about it today.\Huh? This happened before, too.\The love potion?!\I noticed partway through.\Right now, you...\have one of those!\Ilulu must have gotten to you, huh?\Poor Miss Kobayashi. response:	I'll fix you right up.
context: Huh? This happened before, too.\The love potion?!\I noticed partway through.\Right now, you...\have one of those!\Ilulu must have gotten to you, huh?\Poor Miss Kobayashi.\I'll fix you right up. response:	But before that!
context: The love potion?!\I noticed partway through.\Right now, you...\have one of those!\Ilulu must have gotten to you, huh?\Poor Miss Kobayashi.\I'll fix you right up.\But before that! response:	I'll seize my opportunity!
context: I noticed partway through.\Right now, you...\have one of those!\Ilulu must have gotten to you, huh?\Poor Miss Kobayashi.\I'll fix you right up.\But before that!\I'll seize my opportunity! response:	Now that our hearts are united, that just leaves our bodies.
context: Right now, you...\have one of those!\Ilulu must have gotten to you, huh?\Poor Miss Kobayashi.\I'll fix you right up.\But before that!\I'll seize my opportunity!\Now that our hearts are united, that just leaves our bodies. response:	Now, Miss Kobayashi, give it all to me.
context: have one of those!\Ilulu must have gotten to you, huh?\Poor Miss Kobayashi.\I'll fix you right up.\But before that!\I'll seize my opportunity!\Now that our hearts are united, that just leaves our bodies.\Now, Miss Kobayashi, give it all to me. response:	Why are you completely turned off?!
context: Ilulu must have gotten to you, huh?\Poor Miss Kobayashi.\I'll fix you right up.\But before that!\I'll seize my opportunity!\Now that our hearts are united, that just leaves our bodies.\Now, Miss Kobayashi, give it all to me.\Why are you completely turned off?! response:	You took off your maid outfit.
context: Poor Miss Kobayashi.\I'll fix you right up.\But before that!\I'll seize my opportunity!\Now that our hearts are united, that just leaves our bodies.\Now, Miss Kobayashi, give it all to me.\Why are you completely turned off?!\You took off your maid outfit. response:	How could you?
context: I'll fix you right up.\But before that!\I'll seize my opportunity!\Now that our hearts are united, that just leaves our bodies.\Now, Miss Kobayashi, give it all to me.\Why are you completely turned off?!\You took off your maid outfit.\How could you? response:	Huh?
context: But before that!\I'll seize my opportunity!\Now that our hearts are united, that just leaves our bodies.\Now, Miss Kobayashi, give it all to me.\Why are you completely turned off?!\You took off your maid outfit.\How could you?\Huh? response:	Tohru, I'm going to tell you all the things that make a maid great
context: I'll seize my opportunity!\Now that our hearts are united, that just leaves our bodies.\Now, Miss Kobayashi, give it all to me.\Why are you completely turned off?!\You took off your maid outfit.\How could you?\Huh?\Tohru, I'm going to tell you all the things that make a maid great response:	from the male perspective.
context: Now that our hearts are united, that just leaves our bodies.\Now, Miss Kobayashi, give it all to me.\Why are you completely turned off?!\You took off your maid outfit.\How could you?\Huh?\Tohru, I'm going to tell you all the things that make a maid great\from the male perspective. response:	Good.
context: Now, Miss Kobayashi, give it all to me.\Why are you completely turned off?!\You took off your maid outfit.\How could you?\Huh?\Tohru, I'm going to tell you all the things that make a maid great\from the male perspective.\Good. response:	I made it through that.
context: Why are you completely turned off?!\You took off your maid outfit.\How could you?\Huh?\Tohru, I'm going to tell you all the things that make a maid great\from the male perspective.\Good.\I made it through that. response:	What will you do next, Ilulu?
context: You took off your maid outfit.\How could you?\Huh?\Tohru, I'm going to tell you all the things that make a maid great\from the male perspective.\Good.\I made it through that.\What will you do next, Ilulu? response:	It's displayed nicely, Miss.
context: How could you?\Huh?\Tohru, I'm going to tell you all the things that make a maid great\from the male perspective.\Good.\I made it through that.\What will you do next, Ilulu?\It's displayed nicely, Miss. response:	Something's not right, though.
context: Huh?\Tohru, I'm going to tell you all the things that make a maid great\from the male perspective.\Good.\I made it through that.\What will you do next, Ilulu?\It's displayed nicely, Miss.\Something's not right, though. response:	That does it!
context: Tohru, I'm going to tell you all the things that make a maid great\from the male perspective.\Good.\I made it through that.\What will you do next, Ilulu?\It's displayed nicely, Miss.\Something's not right, though.\That does it! response:	I see!
context: from the male perspective.\Good.\I made it through that.\What will you do next, Ilulu?\It's displayed nicely, Miss.\Something's not right, though.\That does it!\I see! response:	Episode 2
context: Good.\I made it through that.\What will you do next, Ilulu?\It's displayed nicely, Miss.\Something's not right, though.\That does it!\I see!\Episode 2 response:	Hot Guy Kobayashi! (In Many Senses)
context: I made it through that.\What will you do next, Ilulu?\It's displayed nicely, Miss.\Something's not right, though.\That does it!\I see!\Episode 2\Hot Guy Kobayashi! (In Many Senses) response:	Stop. Don't run.
context: What will you do next, Ilulu?\It's displayed nicely, Miss.\Something's not right, though.\That does it!\I see!\Episode 2\Hot Guy Kobayashi! (In Many Senses)\Stop. Don't run. response:	You followed me here, harmony bastard?!
context: It's displayed nicely, Miss.\Something's not right, though.\That does it!\I see!\Episode 2\Hot Guy Kobayashi! (In Many Senses)\Stop. Don't run.\You followed me here, harmony bastard?! response:	I'm Cremene of the dragon-slaying camp.
context: Something's not right, though.\That does it!\I see!\Episode 2\Hot Guy Kobayashi! (In Many Senses)\Stop. Don't run.\You followed me here, harmony bastard?!\I'm Cremene of the dragon-slaying camp. response:	Give my name to the judge in the underworld after you die.
context: That does it!\I see!\Episode 2\Hot Guy Kobayashi! (In Many Senses)\Stop. Don't run.\You followed me here, harmony bastard?!\I'm Cremene of the dragon-slaying camp.\Give my name to the judge in the underworld after you die. response:	I want the credit.
context: I see!\Episode 2\Hot Guy Kobayashi! (In Many Senses)\Stop. Don't run.\You followed me here, harmony bastard?!\I'm Cremene of the dragon-slaying camp.\Give my name to the judge in the underworld after you die.\I want the credit. response:	Now...
context: Episode 2\Hot Guy Kobayashi! (In Many Senses)\Stop. Don't run.\You followed me here, harmony bastard?!\I'm Cremene of the dragon-slaying camp.\Give my name to the judge in the underworld after you die.\I want the credit.\Now... response:	Ilulu always appears when I'm alone,
context: Hot Guy Kobayashi! (In Many Senses)\Stop. Don't run.\You followed me here, harmony bastard?!\I'm Cremene of the dragon-slaying camp.\Give my name to the judge in the underworld after you die.\I want the credit.\Now...\Ilulu always appears when I'm alone, response:	so maybe I can see her if I wait here?
context: Stop. Don't run.\You followed me here, harmony bastard?!\I'm Cremene of the dragon-slaying camp.\Give my name to the judge in the underworld after you die.\I want the credit.\Now...\Ilulu always appears when I'm alone,\so maybe I can see her if I wait here? response:	I wonder why I'm
context: You followed me here, harmony bastard?!\I'm Cremene of the dragon-slaying camp.\Give my name to the judge in the underworld after you die.\I want the credit.\Now...\Ilulu always appears when I'm alone,\so maybe I can see her if I wait here?\I wonder why I'm response:	focusing on Ilulu so much?
context: I'm Cremene of the dragon-slaying camp.\Give my name to the judge in the underworld after you die.\I want the credit.\Now...\Ilulu always appears when I'm alone,\so maybe I can see her if I wait here?\I wonder why I'm\focusing on Ilulu so much? response:	Maybe it's because I feel like we could get along?
context: Give my name to the judge in the underworld after you die.\I want the credit.\Now...\Ilulu always appears when I'm alone,\so maybe I can see her if I wait here?\I wonder why I'm\focusing on Ilulu so much?\Maybe it's because I feel like we could get along? response:	All the others I've met from another world
context: I want the credit.\Now...\Ilulu always appears when I'm alone,\so maybe I can see her if I wait here?\I wonder why I'm\focusing on Ilulu so much?\Maybe it's because I feel like we could get along?\All the others I've met from another world response:	have been friendly.
