context: Vivian, the Sex Pistols, Seven Star cigarettes, response:	coffee with milk, cake with a strawberry on top.
context: Huh? He's your guarantor?\What about your parents?\- Here's the list, Yasu. - That was fast.\Oh, I get it! You ran away from home!\You seem like the type.\And what type is that?\You're really from a posh family\and your parents were against you being in a rock band! response:	Nana from a posh family?
context: What about your parents?\- Here's the list, Yasu. - That was fast.\Oh, I get it! You ran away from home!\You seem like the type.\And what type is that?\You're really from a posh family\and your parents were against you being in a rock band!\Nana from a posh family? response:	She isn't?
context: - Here's the list, Yasu. - That was fast.\Oh, I get it! You ran away from home!\You seem like the type.\And what type is that?\You're really from a posh family\and your parents were against you being in a rock band!\Nana from a posh family?\She isn't? response:	What are you laughing at?!
context: Oh, I get it! You ran away from home!\You seem like the type.\And what type is that?\You're really from a posh family\and your parents were against you being in a rock band!\Nana from a posh family?\She isn't?\What are you laughing at?! response:	Let me see, three boxes and... is that it?
context: You seem like the type.\And what type is that?\You're really from a posh family\and your parents were against you being in a rock band!\Nana from a posh family?\She isn't?\What are you laughing at?!\Let me see, three boxes and... is that it? response:	It's not even worth the trouble sending.
context: And what type is that?\You're really from a posh family\and your parents were against you being in a rock band!\Nana from a posh family?\She isn't?\What are you laughing at?!\Let me see, three boxes and... is that it?\It's not even worth the trouble sending. response:	Don't change the subject!
context: You're really from a posh family\and your parents were against you being in a rock band!\Nana from a posh family?\She isn't?\What are you laughing at?!\Let me see, three boxes and... is that it?\It's not even worth the trouble sending.\Don't change the subject! response:	What about the other apartment? Are you going to leave it as is?
context: and your parents were against you being in a rock band!\Nana from a posh family?\She isn't?\What are you laughing at?!\Let me see, three boxes and... is that it?\It's not even worth the trouble sending.\Don't change the subject!\What about the other apartment? Are you going to leave it as is? response:	Don't ask me. That's not my apartment.
context: Nana from a posh family?\She isn't?\What are you laughing at?!\Let me see, three boxes and... is that it?\It's not even worth the trouble sending.\Don't change the subject!\What about the other apartment? Are you going to leave it as is?\Don't ask me. That's not my apartment. response:	Why don't you ask him?
context: She isn't?\What are you laughing at?!\Let me see, three boxes and... is that it?\It's not even worth the trouble sending.\Don't change the subject!\What about the other apartment? Are you going to leave it as is?\Don't ask me. That's not my apartment.\Why don't you ask him? response:	But he's so busy,
context: What are you laughing at?!\Let me see, three boxes and... is that it?\It's not even worth the trouble sending.\Don't change the subject!\What about the other apartment? Are you going to leave it as is?\Don't ask me. That's not my apartment.\Why don't you ask him?\But he's so busy, response:	it's almost impossible to get a hold of him.
context: Let me see, three boxes and... is that it?\It's not even worth the trouble sending.\Don't change the subject!\What about the other apartment? Are you going to leave it as is?\Don't ask me. That's not my apartment.\Why don't you ask him?\But he's so busy,\it's almost impossible to get a hold of him. response:	Then leave it alone.
context: It's not even worth the trouble sending.\Don't change the subject!\What about the other apartment? Are you going to leave it as is?\Don't ask me. That's not my apartment.\Why don't you ask him?\But he's so busy,\it's almost impossible to get a hold of him.\Then leave it alone. response:	He's the one that keeps paying the rent.
context: Don't change the subject!\What about the other apartment? Are you going to leave it as is?\Don't ask me. That's not my apartment.\Why don't you ask him?\But he's so busy,\it's almost impossible to get a hold of him.\Then leave it alone.\He's the one that keeps paying the rent. response:	But that was for you...
context: What about the other apartment? Are you going to leave it as is?\Don't ask me. That's not my apartment.\Why don't you ask him?\But he's so busy,\it's almost impossible to get a hold of him.\Then leave it alone.\He's the one that keeps paying the rent.\But that was for you... response:	I never asked him to. I was planning to pay my own rent.
context: Don't ask me. That's not my apartment.\Why don't you ask him?\But he's so busy,\it's almost impossible to get a hold of him.\Then leave it alone.\He's the one that keeps paying the rent.\But that was for you...\I never asked him to. I was planning to pay my own rent. response:	Though I admit it was helpful until now.
context: Why don't you ask him?\But he's so busy,\it's almost impossible to get a hold of him.\Then leave it alone.\He's the one that keeps paying the rent.\But that was for you...\I never asked him to. I was planning to pay my own rent.\Though I admit it was helpful until now. response:	Hey, what are you guys talking about?
context: But he's so busy,\it's almost impossible to get a hold of him.\Then leave it alone.\He's the one that keeps paying the rent.\But that was for you...\I never asked him to. I was planning to pay my own rent.\Though I admit it was helpful until now.\Hey, what are you guys talking about? response:	Just stuff like, you can never figure out what rich people are up to.
context: it's almost impossible to get a hold of him.\Then leave it alone.\He's the one that keeps paying the rent.\But that was for you...\I never asked him to. I was planning to pay my own rent.\Though I admit it was helpful until now.\Hey, what are you guys talking about?\Just stuff like, you can never figure out what rich people are up to. response:	Hey, that's not nice.
context: Then leave it alone.\He's the one that keeps paying the rent.\But that was for you...\I never asked him to. I was planning to pay my own rent.\Though I admit it was helpful until now.\Hey, what are you guys talking about?\Just stuff like, you can never figure out what rich people are up to.\Hey, that's not nice. response:	Well then, I guess it's time for us poor folk
context: He's the one that keeps paying the rent.\But that was for you...\I never asked him to. I was planning to pay my own rent.\Though I admit it was helpful until now.\Hey, what are you guys talking about?\Just stuff like, you can never figure out what rich people are up to.\Hey, that's not nice.\Well then, I guess it's time for us poor folk response:	to go out shopping for bare necessities.
context: But that was for you...\I never asked him to. I was planning to pay my own rent.\Though I admit it was helpful until now.\Hey, what are you guys talking about?\Just stuff like, you can never figure out what rich people are up to.\Hey, that's not nice.\Well then, I guess it's time for us poor folk\to go out shopping for bare necessities. response:	Yes! We'll first need an air conditioner.
context: I never asked him to. I was planning to pay my own rent.\Though I admit it was helpful until now.\Hey, what are you guys talking about?\Just stuff like, you can never figure out what rich people are up to.\Hey, that's not nice.\Well then, I guess it's time for us poor folk\to go out shopping for bare necessities.\Yes! We'll first need an air conditioner. response:	A space heater will do us just fine.
context: Though I admit it was helpful until now.\Hey, what are you guys talking about?\Just stuff like, you can never figure out what rich people are up to.\Hey, that's not nice.\Well then, I guess it's time for us poor folk\to go out shopping for bare necessities.\Yes! We'll first need an air conditioner.\A space heater will do us just fine. response:	Well, I guess I'll be going then.
context: Hey, what are you guys talking about?\Just stuff like, you can never figure out what rich people are up to.\Hey, that's not nice.\Well then, I guess it's time for us poor folk\to go out shopping for bare necessities.\Yes! We'll first need an air conditioner.\A space heater will do us just fine.\Well, I guess I'll be going then. response:	Huh?! You leaving so soon? Why don't you stay a night?
context: Just stuff like, you can never figure out what rich people are up to.\Hey, that's not nice.\Well then, I guess it's time for us poor folk\to go out shopping for bare necessities.\Yes! We'll first need an air conditioner.\A space heater will do us just fine.\Well, I guess I'll be going then.\Huh?! You leaving so soon? Why don't you stay a night? response:	By all means. Please stay.
context: Hey, that's not nice.\Well then, I guess it's time for us poor folk\to go out shopping for bare necessities.\Yes! We'll first need an air conditioner.\A space heater will do us just fine.\Well, I guess I'll be going then.\Huh?! You leaving so soon? Why don't you stay a night?\By all means. Please stay. response:	Although we can't provide much hospitality.
context: Well then, I guess it's time for us poor folk\to go out shopping for bare necessities.\Yes! We'll first need an air conditioner.\A space heater will do us just fine.\Well, I guess I'll be going then.\Huh?! You leaving so soon? Why don't you stay a night?\By all means. Please stay.\Although we can't provide much hospitality. response:	Thanks. I'd really love to,
context: to go out shopping for bare necessities.\Yes! We'll first need an air conditioner.\A space heater will do us just fine.\Well, I guess I'll be going then.\Huh?! You leaving so soon? Why don't you stay a night?\By all means. Please stay.\Although we can't provide much hospitality.\Thanks. I'd really love to, response:	but I've got a lot of work piled up.
context: Yes! We'll first need an air conditioner.\A space heater will do us just fine.\Well, I guess I'll be going then.\Huh?! You leaving so soon? Why don't you stay a night?\By all means. Please stay.\Although we can't provide much hospitality.\Thanks. I'd really love to,\but I've got a lot of work piled up. response:	Oh right. You are a lawyer, after all.
context: A space heater will do us just fine.\Well, I guess I'll be going then.\Huh?! You leaving so soon? Why don't you stay a night?\By all means. Please stay.\Although we can't provide much hospitality.\Thanks. I'd really love to,\but I've got a lot of work piled up.\Oh right. You are a lawyer, after all. response:	We'll see you off at the station on our way out shopping.
context: Well, I guess I'll be going then.\Huh?! You leaving so soon? Why don't you stay a night?\By all means. Please stay.\Although we can't provide much hospitality.\Thanks. I'd really love to,\but I've got a lot of work piled up.\Oh right. You are a lawyer, after all.\We'll see you off at the station on our way out shopping. response:	No, that's okay. I'll get a cab to the airport.
context: Huh?! You leaving so soon? Why don't you stay a night?\By all means. Please stay.\Although we can't provide much hospitality.\Thanks. I'd really love to,\but I've got a lot of work piled up.\Oh right. You are a lawyer, after all.\We'll see you off at the station on our way out shopping.\No, that's okay. I'll get a cab to the airport. response:	Suit yourself.
context: By all means. Please stay.\Although we can't provide much hospitality.\Thanks. I'd really love to,\but I've got a lot of work piled up.\Oh right. You are a lawyer, after all.\We'll see you off at the station on our way out shopping.\No, that's okay. I'll get a cab to the airport.\Suit yourself. response:	Nana, why don't you go see him off at the airport?
context: Although we can't provide much hospitality.\Thanks. I'd really love to,\but I've got a lot of work piled up.\Oh right. You are a lawyer, after all.\We'll see you off at the station on our way out shopping.\No, that's okay. I'll get a cab to the airport.\Suit yourself.\Nana, why don't you go see him off at the airport? response:	I'll do the shopping.
context: Thanks. I'd really love to,\but I've got a lot of work piled up.\Oh right. You are a lawyer, after all.\We'll see you off at the station on our way out shopping.\No, that's okay. I'll get a cab to the airport.\Suit yourself.\Nana, why don't you go see him off at the airport?\I'll do the shopping. response:	Don't worry about seeing me off.
context: but I've got a lot of work piled up.\Oh right. You are a lawyer, after all.\We'll see you off at the station on our way out shopping.\No, that's okay. I'll get a cab to the airport.\Suit yourself.\Nana, why don't you go see him off at the airport?\I'll do the shopping.\Don't worry about seeing me off. response:	Well then. Hang in there.
context: Oh right. You are a lawyer, after all.\We'll see you off at the station on our way out shopping.\No, that's okay. I'll get a cab to the airport.\Suit yourself.\Nana, why don't you go see him off at the airport?\I'll do the shopping.\Don't worry about seeing me off.\Well then. Hang in there. response:	Thanks a lot for everything, Yasu.
context: We'll see you off at the station on our way out shopping.\No, that's okay. I'll get a cab to the airport.\Suit yourself.\Nana, why don't you go see him off at the airport?\I'll do the shopping.\Don't worry about seeing me off.\Well then. Hang in there.\Thanks a lot for everything, Yasu. response:	Call me if you need any help. I'll be here in a flash.
context: No, that's okay. I'll get a cab to the airport.\Suit yourself.\Nana, why don't you go see him off at the airport?\I'll do the shopping.\Don't worry about seeing me off.\Well then. Hang in there.\Thanks a lot for everything, Yasu.\Call me if you need any help. I'll be here in a flash. response:	I was sure that skinhead lawyer Nana calls Yasu
context: Suit yourself.\Nana, why don't you go see him off at the airport?\I'll do the shopping.\Don't worry about seeing me off.\Well then. Hang in there.\Thanks a lot for everything, Yasu.\Call me if you need any help. I'll be here in a flash.\I was sure that skinhead lawyer Nana calls Yasu response:	was her boyfriend or something, but Nana was sure quick to deny that.
context: Nana, why don't you go see him off at the airport?\I'll do the shopping.\Don't worry about seeing me off.\Well then. Hang in there.\Thanks a lot for everything, Yasu.\Call me if you need any help. I'll be here in a flash.\I was sure that skinhead lawyer Nana calls Yasu\was her boyfriend or something, but Nana was sure quick to deny that. response:	Yasu was a member of the band I was in back home.
context: I'll do the shopping.\Don't worry about seeing me off.\Well then. Hang in there.\Thanks a lot for everything, Yasu.\Call me if you need any help. I'll be here in a flash.\I was sure that skinhead lawyer Nana calls Yasu\was her boyfriend or something, but Nana was sure quick to deny that.\Yasu was a member of the band I was in back home. response:	He was the leader and easy to rely on.
context: Don't worry about seeing me off.\Well then. Hang in there.\Thanks a lot for everything, Yasu.\Call me if you need any help. I'll be here in a flash.\I was sure that skinhead lawyer Nana calls Yasu\was her boyfriend or something, but Nana was sure quick to deny that.\Yasu was a member of the band I was in back home.\He was the leader and easy to rely on. response:	So I guess he's kind of like an older brother to me.
context: Well then. Hang in there.\Thanks a lot for everything, Yasu.\Call me if you need any help. I'll be here in a flash.\I was sure that skinhead lawyer Nana calls Yasu\was her boyfriend or something, but Nana was sure quick to deny that.\Yasu was a member of the band I was in back home.\He was the leader and easy to rely on.\So I guess he's kind of like an older brother to me. response:	But, he came all the way to Tokyo to sign a piece of paper.
context: Thanks a lot for everything, Yasu.\Call me if you need any help. I'll be here in a flash.\I was sure that skinhead lawyer Nana calls Yasu\was her boyfriend or something, but Nana was sure quick to deny that.\Yasu was a member of the band I was in back home.\He was the leader and easy to rely on.\So I guess he's kind of like an older brother to me.\But, he came all the way to Tokyo to sign a piece of paper. response:	To me that spells love.
context: Call me if you need any help. I'll be here in a flash.\I was sure that skinhead lawyer Nana calls Yasu\was her boyfriend or something, but Nana was sure quick to deny that.\Yasu was a member of the band I was in back home.\He was the leader and easy to rely on.\So I guess he's kind of like an older brother to me.\But, he came all the way to Tokyo to sign a piece of paper.\To me that spells love. response:	That spells love?
context: I was sure that skinhead lawyer Nana calls Yasu\was her boyfriend or something, but Nana was sure quick to deny that.\Yasu was a member of the band I was in back home.\He was the leader and easy to rely on.\So I guess he's kind of like an older brother to me.\But, he came all the way to Tokyo to sign a piece of paper.\To me that spells love.\That spells love? response:	Yasu's like that with anyone.
context: was her boyfriend or something, but Nana was sure quick to deny that.\Yasu was a member of the band I was in back home.\He was the leader and easy to rely on.\So I guess he's kind of like an older brother to me.\But, he came all the way to Tokyo to sign a piece of paper.\To me that spells love.\That spells love?\Yasu's like that with anyone. response:	Helping others along is second nature to him.
context: Yasu was a member of the band I was in back home.\He was the leader and easy to rely on.\So I guess he's kind of like an older brother to me.\But, he came all the way to Tokyo to sign a piece of paper.\To me that spells love.\That spells love?\Yasu's like that with anyone.\Helping others along is second nature to him. response:	I think he was born to be a lawyer.
context: He was the leader and easy to rely on.\So I guess he's kind of like an older brother to me.\But, he came all the way to Tokyo to sign a piece of paper.\To me that spells love.\That spells love?\Yasu's like that with anyone.\Helping others along is second nature to him.\I think he was born to be a lawyer. response:	Then do you have another boyfriend?
context: So I guess he's kind of like an older brother to me.\But, he came all the way to Tokyo to sign a piece of paper.\To me that spells love.\That spells love?\Yasu's like that with anyone.\Helping others along is second nature to him.\I think he was born to be a lawyer.\Then do you have another boyfriend? response:	Hey there's a dollar store. Let's get a bunch of stuff here.
context: But, he came all the way to Tokyo to sign a piece of paper.\To me that spells love.\That spells love?\Yasu's like that with anyone.\Helping others along is second nature to him.\I think he was born to be a lawyer.\Then do you have another boyfriend?\Hey there's a dollar store. Let's get a bunch of stuff here. response:	Let's find a shop that has cute stuff.
context: To me that spells love.\That spells love?\Yasu's like that with anyone.\Helping others along is second nature to him.\I think he was born to be a lawyer.\Then do you have another boyfriend?\Hey there's a dollar store. Let's get a bunch of stuff here.\Let's find a shop that has cute stuff. response:	Then we'll go our separate ways.
context: That spells love?\Yasu's like that with anyone.\Helping others along is second nature to him.\I think he was born to be a lawyer.\Then do you have another boyfriend?\Hey there's a dollar store. Let's get a bunch of stuff here.\Let's find a shop that has cute stuff.\Then we'll go our separate ways. response:	W-Wait!
context: Yasu's like that with anyone.\Helping others along is second nature to him.\I think he was born to be a lawyer.\Then do you have another boyfriend?\Hey there's a dollar store. Let's get a bunch of stuff here.\Let's find a shop that has cute stuff.\Then we'll go our separate ways.\W-Wait! response:	Hey Nana, don't you think these cups are super cute?
context: Helping others along is second nature to him.\I think he was born to be a lawyer.\Then do you have another boyfriend?\Hey there's a dollar store. Let's get a bunch of stuff here.\Let's find a shop that has cute stuff.\Then we'll go our separate ways.\W-Wait!\Hey Nana, don't you think these cups are super cute? response:	You'd never imagine they're only a dollar each.
context: I think he was born to be a lawyer.\Then do you have another boyfriend?\Hey there's a dollar store. Let's get a bunch of stuff here.\Let's find a shop that has cute stuff.\Then we'll go our separate ways.\W-Wait!\Hey Nana, don't you think these cups are super cute?\You'd never imagine they're only a dollar each. response:	Strawberries?
context: Then do you have another boyfriend?\Hey there's a dollar store. Let's get a bunch of stuff here.\Let's find a shop that has cute stuff.\Then we'll go our separate ways.\W-Wait!\Hey Nana, don't you think these cups are super cute?\You'd never imagine they're only a dollar each.\Strawberries? response:	No?
context: Hey there's a dollar store. Let's get a bunch of stuff here.\Let's find a shop that has cute stuff.\Then we'll go our separate ways.\W-Wait!\Hey Nana, don't you think these cups are super cute?\You'd never imagine they're only a dollar each.\Strawberries?\No? response:	If you want it, go ahead and buy it.
context: Let's find a shop that has cute stuff.\Then we'll go our separate ways.\W-Wait!\Hey Nana, don't you think these cups are super cute?\You'd never imagine they're only a dollar each.\Strawberries?\No?\If you want it, go ahead and buy it. response:	Forget it then.
context: Then we'll go our separate ways.\W-Wait!\Hey Nana, don't you think these cups are super cute?\You'd never imagine they're only a dollar each.\Strawberries?\No?\If you want it, go ahead and buy it.\Forget it then. response:	Why?!
context: W-Wait!\Hey Nana, don't you think these cups are super cute?\You'd never imagine they're only a dollar each.\Strawberries?\No?\If you want it, go ahead and buy it.\Forget it then.\Why?! response:	Because. If you're not interested, I don't want it either.
context: Hey Nana, don't you think these cups are super cute?\You'd never imagine they're only a dollar each.\Strawberries?\No?\If you want it, go ahead and buy it.\Forget it then.\Why?!\Because. If you're not interested, I don't want it either. response:	I wanna use the same things you do.
context: You'd never imagine they're only a dollar each.\Strawberries?\No?\If you want it, go ahead and buy it.\Forget it then.\Why?!\Because. If you're not interested, I don't want it either.\I wanna use the same things you do. response:	I don't care what we use. Let's just get the shopping done.
context: Strawberries?\No?\If you want it, go ahead and buy it.\Forget it then.\Why?!\Because. If you're not interested, I don't want it either.\I wanna use the same things you do.\I don't care what we use. Let's just get the shopping done. response:	But you don't like this, do you? The strawberries.
context: No?\If you want it, go ahead and buy it.\Forget it then.\Why?!\Because. If you're not interested, I don't want it either.\I wanna use the same things you do.\I don't care what we use. Let's just get the shopping done.\But you don't like this, do you? The strawberries. response:	Ah, sure I love strawberries...
context: If you want it, go ahead and buy it.\Forget it then.\Why?!\Because. If you're not interested, I don't want it either.\I wanna use the same things you do.\I don't care what we use. Let's just get the shopping done.\But you don't like this, do you? The strawberries.\Ah, sure I love strawberries... response:	Then I'm getting these.
context: Forget it then.\Why?!\Because. If you're not interested, I don't want it either.\I wanna use the same things you do.\I don't care what we use. Let's just get the shopping done.\But you don't like this, do you? The strawberries.\Ah, sure I love strawberries...\Then I'm getting these. response:	I feel for Shoji.
context: Why?!\Because. If you're not interested, I don't want it either.\I wanna use the same things you do.\I don't care what we use. Let's just get the shopping done.\But you don't like this, do you? The strawberries.\Ah, sure I love strawberries...\Then I'm getting these.\I feel for Shoji. response:	What's that supposed to mean?
context: Because. If you're not interested, I don't want it either.\I wanna use the same things you do.\I don't care what we use. Let's just get the shopping done.\But you don't like this, do you? The strawberries.\Ah, sure I love strawberries...\Then I'm getting these.\I feel for Shoji.\What's that supposed to mean? response:	Well, you're like... you know.
context: I wanna use the same things you do.\I don't care what we use. Let's just get the shopping done.\But you don't like this, do you? The strawberries.\Ah, sure I love strawberries...\Then I'm getting these.\I feel for Shoji.\What's that supposed to mean?\Well, you're like... you know. response:	Kinda like a dog.
context: I don't care what we use. Let's just get the shopping done.\But you don't like this, do you? The strawberries.\Ah, sure I love strawberries...\Then I'm getting these.\I feel for Shoji.\What's that supposed to mean?\Well, you're like... you know.\Kinda like a dog. response:	I am?
context: But you don't like this, do you? The strawberries.\Ah, sure I love strawberries...\Then I'm getting these.\I feel for Shoji.\What's that supposed to mean?\Well, you're like... you know.\Kinda like a dog.\I am? response:	You kinda stick around friendly-like and you're real sincere,
