context: You're kidding... response:	Was this designed to be impossible?
context: They'll be impossible.\Winning a raid will become impossible.\What were we working so hard for?\We trained, got good equipment, and worked together.\We failed and tried again...\When it worked, it felt great.\I felt like I'd grown.\That's all gone now. response:	Yeah.
context: Winning a raid will become impossible.\What were we working so hard for?\We trained, got good equipment, and worked together.\We failed and tried again...\When it worked, it felt great.\I felt like I'd grown.\That's all gone now.\Yeah. response:	There's no point.
context: What were we working so hard for?\We trained, got good equipment, and worked together.\We failed and tried again...\When it worked, it felt great.\I felt like I'd grown.\That's all gone now.\Yeah.\There's no point. response:	No point in doing anything.
context: We trained, got good equipment, and worked together.\We failed and tried again...\When it worked, it felt great.\I felt like I'd grown.\That's all gone now.\Yeah.\There's no point.\No point in doing anything. response:	The game has abandoned us.
context: We failed and tried again...\When it worked, it felt great.\I felt like I'd grown.\That's all gone now.\Yeah.\There's no point.\No point in doing anything.\The game has abandoned us. response:	Elder Tale has abandoned us.
context: When it worked, it felt great.\I felt like I'd grown.\That's all gone now.\Yeah.\There's no point.\No point in doing anything.\The game has abandoned us.\Elder Tale has abandoned us. response:	So what is this good for, anyway?
context: I felt like I'd grown.\That's all gone now.\Yeah.\There's no point.\No point in doing anything.\The game has abandoned us.\Elder Tale has abandoned us.\So what is this good for, anyway? response:	A game, huh?
context: That's all gone now.\Yeah.\There's no point.\No point in doing anything.\The game has abandoned us.\Elder Tale has abandoned us.\So what is this good for, anyway?\A game, huh? response:	A PC game in this day and age? Aren't social games good enough?
context: Yeah.\There's no point.\No point in doing anything.\The game has abandoned us.\Elder Tale has abandoned us.\So what is this good for, anyway?\A game, huh?\A PC game in this day and age? Aren't social games good enough? response:	You stay at home on weekends?
context: There's no point.\No point in doing anything.\The game has abandoned us.\Elder Tale has abandoned us.\So what is this good for, anyway?\A game, huh?\A PC game in this day and age? Aren't social games good enough?\You stay at home on weekends? response:	Screw it.
context: No point in doing anything.\The game has abandoned us.\Elder Tale has abandoned us.\So what is this good for, anyway?\A game, huh?\A PC game in this day and age? Aren't social games good enough?\You stay at home on weekends?\Screw it. response:	I bet no one ever invites you to karaoke.
context: The game has abandoned us.\Elder Tale has abandoned us.\So what is this good for, anyway?\A game, huh?\A PC game in this day and age? Aren't social games good enough?\You stay at home on weekends?\Screw it.\I bet no one ever invites you to karaoke. response:	Then you talk to your PC, right?
context: Elder Tale has abandoned us.\So what is this good for, anyway?\A game, huh?\A PC game in this day and age? Aren't social games good enough?\You stay at home on weekends?\Screw it.\I bet no one ever invites you to karaoke.\Then you talk to your PC, right? response:	Why not get a hobby that'll be more useful to your future?
context: So what is this good for, anyway?\A game, huh?\A PC game in this day and age? Aren't social games good enough?\You stay at home on weekends?\Screw it.\I bet no one ever invites you to karaoke.\Then you talk to your PC, right?\Why not get a hobby that'll be more useful to your future? response:	Well, there are some people like that, right?
context: A game, huh?\A PC game in this day and age? Aren't social games good enough?\You stay at home on weekends?\Screw it.\I bet no one ever invites you to karaoke.\Then you talk to your PC, right?\Why not get a hobby that'll be more useful to your future?\Well, there are some people like that, right? response:	I guess it's fine.
context: A PC game in this day and age? Aren't social games good enough?\You stay at home on weekends?\Screw it.\I bet no one ever invites you to karaoke.\Then you talk to your PC, right?\Why not get a hobby that'll be more useful to your future?\Well, there are some people like that, right?\I guess it's fine. response:	Screw it!
context: You stay at home on weekends?\Screw it.\I bet no one ever invites you to karaoke.\Then you talk to your PC, right?\Why not get a hobby that'll be more useful to your future?\Well, there are some people like that, right?\I guess it's fine.\Screw it! response:	What am I supposed to say?
context: Screw it.\I bet no one ever invites you to karaoke.\Then you talk to your PC, right?\Why not get a hobby that'll be more useful to your future?\Well, there are some people like that, right?\I guess it's fine.\Screw it!\What am I supposed to say? response:	We can win next time, so let's do our best?
context: I bet no one ever invites you to karaoke.\Then you talk to your PC, right?\Why not get a hobby that'll be more useful to your future?\Well, there are some people like that, right?\I guess it's fine.\Screw it!\What am I supposed to say?\We can win next time, so let's do our best? response:	The other raid zones will be okay?
context: Then you talk to your PC, right?\Why not get a hobby that'll be more useful to your future?\Well, there are some people like that, right?\I guess it's fine.\Screw it!\What am I supposed to say?\We can win next time, so let's do our best?\The other raid zones will be okay? response:	Those are lies.
context: Why not get a hobby that'll be more useful to your future?\Well, there are some people like that, right?\I guess it's fine.\Screw it!\What am I supposed to say?\We can win next time, so let's do our best?\The other raid zones will be okay?\Those are lies. response:	I can't say them.
context: Well, there are some people like that, right?\I guess it's fine.\Screw it!\What am I supposed to say?\We can win next time, so let's do our best?\The other raid zones will be okay?\Those are lies.\I can't say them. response:	Wait a second.
context: I guess it's fine.\Screw it!\What am I supposed to say?\We can win next time, so let's do our best?\The other raid zones will be okay?\Those are lies.\I can't say them.\Wait a second. response:	Then what does this mean?
context: Screw it!\What am I supposed to say?\We can win next time, so let's do our best?\The other raid zones will be okay?\Those are lies.\I can't say them.\Wait a second.\Then what does this mean? response:	Does this mean we're
context: What am I supposed to say?\We can win next time, so let's do our best?\The other raid zones will be okay?\Those are lies.\I can't say them.\Wait a second.\Then what does this mean?\Does this mean we're response:	We're finished.
context: We can win next time, so let's do our best?\The other raid zones will be okay?\Those are lies.\I can't say them.\Wait a second.\Then what does this mean?\Does this mean we're\We're finished. response:	I guess we can go back to Susukino,
context: The other raid zones will be okay?\Those are lies.\I can't say them.\Wait a second.\Then what does this mean?\Does this mean we're\We're finished.\I guess we can go back to Susukino, response:	and be a good peacekeeping guild.
context: Those are lies.\I can't say them.\Wait a second.\Then what does this mean?\Does this mean we're\We're finished.\I guess we can go back to Susukino,\and be a good peacekeeping guild. response:	That might not be so bad.
context: I can't say them.\Wait a second.\Then what does this mean?\Does this mean we're\We're finished.\I guess we can go back to Susukino,\and be a good peacekeeping guild.\That might not be so bad. response:	Ezzo has a lot of monsters.
context: Wait a second.\Then what does this mean?\Does this mean we're\We're finished.\I guess we can go back to Susukino,\and be a good peacekeeping guild.\That might not be so bad.\Ezzo has a lot of monsters. response:	The People of the Land will thank us.
context: Then what does this mean?\Does this mean we're\We're finished.\I guess we can go back to Susukino,\and be a good peacekeeping guild.\That might not be so bad.\Ezzo has a lot of monsters.\The People of the Land will thank us. response:	Maybe I can get one of them to be my girlfriend.
context: Does this mean we're\We're finished.\I guess we can go back to Susukino,\and be a good peacekeeping guild.\That might not be so bad.\Ezzo has a lot of monsters.\The People of the Land will thank us.\Maybe I can get one of them to be my girlfriend. response:	That might be the smart way to live...
context: We're finished.\I guess we can go back to Susukino,\and be a good peacekeeping guild.\That might not be so bad.\Ezzo has a lot of monsters.\The People of the Land will thank us.\Maybe I can get one of them to be my girlfriend.\That might be the smart way to live... response:	Maybe.
context: I guess we can go back to Susukino,\and be a good peacekeeping guild.\That might not be so bad.\Ezzo has a lot of monsters.\The People of the Land will thank us.\Maybe I can get one of them to be my girlfriend.\That might be the smart way to live...\Maybe. response:	But doesn't that
context: and be a good peacekeeping guild.\That might not be so bad.\Ezzo has a lot of monsters.\The People of the Land will thank us.\Maybe I can get one of them to be my girlfriend.\That might be the smart way to live...\Maybe.\But doesn't that response:	make us no different from them?
context: That might not be so bad.\Ezzo has a lot of monsters.\The People of the Land will thank us.\Maybe I can get one of them to be my girlfriend.\That might be the smart way to live...\Maybe.\But doesn't that\make us no different from them? response:	Those bastards who acted like they knew it all
context: Ezzo has a lot of monsters.\The People of the Land will thank us.\Maybe I can get one of them to be my girlfriend.\That might be the smart way to live...\Maybe.\But doesn't that\make us no different from them?\Those bastards who acted like they knew it all response:	while they gave us advice we were supposed to be so thankful for?
context: The People of the Land will thank us.\Maybe I can get one of them to be my girlfriend.\That might be the smart way to live...\Maybe.\But doesn't that\make us no different from them?\Those bastards who acted like they knew it all\while they gave us advice we were supposed to be so thankful for? response:	Yeah, maybe.
context: Maybe I can get one of them to be my girlfriend.\That might be the smart way to live...\Maybe.\But doesn't that\make us no different from them?\Those bastards who acted like they knew it all\while they gave us advice we were supposed to be so thankful for?\Yeah, maybe. response:	I think you're right.
context: That might be the smart way to live...\Maybe.\But doesn't that\make us no different from them?\Those bastards who acted like they knew it all\while they gave us advice we were supposed to be so thankful for?\Yeah, maybe.\I think you're right. response:	But what of it?
context: Maybe.\But doesn't that\make us no different from them?\Those bastards who acted like they knew it all\while they gave us advice we were supposed to be so thankful for?\Yeah, maybe.\I think you're right.\But what of it? response:	Screw it!
context: But doesn't that\make us no different from them?\Those bastards who acted like they knew it all\while they gave us advice we were supposed to be so thankful for?\Yeah, maybe.\I think you're right.\But what of it?\Screw it! response:	William?
context: make us no different from them?\Those bastards who acted like they knew it all\while they gave us advice we were supposed to be so thankful for?\Yeah, maybe.\I think you're right.\But what of it?\Screw it!\William? response:	We lost.
context: Those bastards who acted like they knew it all\while they gave us advice we were supposed to be so thankful for?\Yeah, maybe.\I think you're right.\But what of it?\Screw it!\William?\We lost. response:	We got wiped out.
context: while they gave us advice we were supposed to be so thankful for?\Yeah, maybe.\I think you're right.\But what of it?\Screw it!\William?\We lost.\We got wiped out. response:	We may be finished.
context: Yeah, maybe.\I think you're right.\But what of it?\Screw it!\William?\We lost.\We got wiped out.\We may be finished. response:	Maybe it was all a waste.
context: I think you're right.\But what of it?\Screw it!\William?\We lost.\We got wiped out.\We may be finished.\Maybe it was all a waste. response:	Like they always said...
context: But what of it?\Screw it!\William?\We lost.\We got wiped out.\We may be finished.\Maybe it was all a waste.\Like they always said... response:	We're idiots who've wasted our time on something as pointless as games.
context: Screw it!\William?\We lost.\We got wiped out.\We may be finished.\Maybe it was all a waste.\Like they always said...\We're idiots who've wasted our time on something as pointless as games. response:	Game junkies who never leave their houses.
context: William?\We lost.\We got wiped out.\We may be finished.\Maybe it was all a waste.\Like they always said...\We're idiots who've wasted our time on something as pointless as games.\Game junkies who never leave their houses. response:	Vegetables.
context: We lost.\We got wiped out.\We may be finished.\Maybe it was all a waste.\Like they always said...\We're idiots who've wasted our time on something as pointless as games.\Game junkies who never leave their houses.\Vegetables. response:	But who cares?
context: We got wiped out.\We may be finished.\Maybe it was all a waste.\Like they always said...\We're idiots who've wasted our time on something as pointless as games.\Game junkies who never leave their houses.\Vegetables.\But who cares? response:	We knew that all along.
context: We may be finished.\Maybe it was all a waste.\Like they always said...\We're idiots who've wasted our time on something as pointless as games.\Game junkies who never leave their houses.\Vegetables.\But who cares?\We knew that all along. response:	We knew it, and we do it anyway.
context: Maybe it was all a waste.\Like they always said...\We're idiots who've wasted our time on something as pointless as games.\Game junkies who never leave their houses.\Vegetables.\But who cares?\We knew that all along.\We knew it, and we do it anyway. response:	But we love games.
context: Like they always said...\We're idiots who've wasted our time on something as pointless as games.\Game junkies who never leave their houses.\Vegetables.\But who cares?\We knew that all along.\We knew it, and we do it anyway.\But we love games. response:	We chose this.
context: We're idiots who've wasted our time on something as pointless as games.\Game junkies who never leave their houses.\Vegetables.\But who cares?\We knew that all along.\We knew it, and we do it anyway.\But we love games.\We chose this. response:	I don't care if this is the end.
context: Game junkies who never leave their houses.\Vegetables.\But who cares?\We knew that all along.\We knew it, and we do it anyway.\But we love games.\We chose this.\I don't care if this is the end. response:	But I won't give this up.
context: Vegetables.\But who cares?\We knew that all along.\We knew it, and we do it anyway.\But we love games.\We chose this.\I don't care if this is the end.\But I won't give this up. response:	There are some things you just can't give up.
context: But who cares?\We knew that all along.\We knew it, and we do it anyway.\But we love games.\We chose this.\I don't care if this is the end.\But I won't give this up.\There are some things you just can't give up. response:	It's no big deal.
context: We knew that all along.\We knew it, and we do it anyway.\But we love games.\We chose this.\I don't care if this is the end.\But I won't give this up.\There are some things you just can't give up.\It's no big deal. response:	All we did was lose in a raid.
context: We knew it, and we do it anyway.\But we love games.\We chose this.\I don't care if this is the end.\But I won't give this up.\There are some things you just can't give up.\It's no big deal.\All we did was lose in a raid. response:	That happens all the time.
context: But we love games.\We chose this.\I don't care if this is the end.\But I won't give this up.\There are some things you just can't give up.\It's no big deal.\All we did was lose in a raid.\That happens all the time. response:	There's no need to be shocked.
context: We chose this.\I don't care if this is the end.\But I won't give this up.\There are some things you just can't give up.\It's no big deal.\All we did was lose in a raid.\That happens all the time.\There's no need to be shocked. response:	All it means is that another bit of win-loss data
context: I don't care if this is the end.\But I won't give this up.\There are some things you just can't give up.\It's no big deal.\All we did was lose in a raid.\That happens all the time.\There's no need to be shocked.\All it means is that another bit of win-loss data response:	is recorded on the server.
context: But I won't give this up.\There are some things you just can't give up.\It's no big deal.\All we did was lose in a raid.\That happens all the time.\There's no need to be shocked.\All it means is that another bit of win-loss data\is recorded on the server. response:	Games are what children play.
context: There are some things you just can't give up.\It's no big deal.\All we did was lose in a raid.\That happens all the time.\There's no need to be shocked.\All it means is that another bit of win-loss data\is recorded on the server.\Games are what children play. response:	No...
context: It's no big deal.\All we did was lose in a raid.\That happens all the time.\There's no need to be shocked.\All it means is that another bit of win-loss data\is recorded on the server.\Games are what children play.\No... response:	They were special to me.
context: All we did was lose in a raid.\That happens all the time.\There's no need to be shocked.\All it means is that another bit of win-loss data\is recorded on the server.\Games are what children play.\No...\They were special to me. response:	I won't tell you it's time to grow up and head back to town.
context: That happens all the time.\There's no need to be shocked.\All it means is that another bit of win-loss data\is recorded on the server.\Games are what children play.\No...\They were special to me.\I won't tell you it's time to grow up and head back to town. response:	I won't let anyone else say it, either.
context: There's no need to be shocked.\All it means is that another bit of win-loss data\is recorded on the server.\Games are what children play.\No...\They were special to me.\I won't tell you it's time to grow up and head back to town.\I won't let anyone else say it, either. response:	We may be maggots, losers who got beat...
context: All it means is that another bit of win-loss data\is recorded on the server.\Games are what children play.\No...\They were special to me.\I won't tell you it's time to grow up and head back to town.\I won't let anyone else say it, either.\We may be maggots, losers who got beat... response:	But I won't let anyone, not even God, tell me it was a waste.
context: is recorded on the server.\Games are what children play.\No...\They were special to me.\I won't tell you it's time to grow up and head back to town.\I won't let anyone else say it, either.\We may be maggots, losers who got beat...\But I won't let anyone, not even God, tell me it was a waste. response:	That's right.
context: Games are what children play.\No...\They were special to me.\I won't tell you it's time to grow up and head back to town.\I won't let anyone else say it, either.\We may be maggots, losers who got beat...\But I won't let anyone, not even God, tell me it was a waste.\That's right. response:	For me, they were the center of the universe!
context: No...\They were special to me.\I won't tell you it's time to grow up and head back to town.\I won't let anyone else say it, either.\We may be maggots, losers who got beat...\But I won't let anyone, not even God, tell me it was a waste.\That's right.\For me, they were the center of the universe! response:	What do the bits recorded on the server matter?
context: They were special to me.\I won't tell you it's time to grow up and head back to town.\I won't let anyone else say it, either.\We may be maggots, losers who got beat...\But I won't let anyone, not even God, tell me it was a waste.\That's right.\For me, they were the center of the universe!\What do the bits recorded on the server matter? response:	They matter.
context: I won't tell you it's time to grow up and head back to town.\I won't let anyone else say it, either.\We may be maggots, losers who got beat...\But I won't let anyone, not even God, tell me it was a waste.\That's right.\For me, they were the center of the universe!\What do the bits recorded on the server matter?\They matter. response:	I've decided they matter.
context: I won't let anyone else say it, either.\We may be maggots, losers who got beat...\But I won't let anyone, not even God, tell me it was a waste.\That's right.\For me, they were the center of the universe!\What do the bits recorded on the server matter?\They matter.\I've decided they matter. response:	And I've decided that they're wonderful, glorious things!
context: We may be maggots, losers who got beat...\But I won't let anyone, not even God, tell me it was a waste.\That's right.\For me, they were the center of the universe!\What do the bits recorded on the server matter?\They matter.\I've decided they matter.\And I've decided that they're wonderful, glorious things! response:	The idiots who believe that God has decided exactly what matters,
context: But I won't let anyone, not even God, tell me it was a waste.\That's right.\For me, they were the center of the universe!\What do the bits recorded on the server matter?\They matter.\I've decided they matter.\And I've decided that they're wonderful, glorious things!\The idiots who believe that God has decided exactly what matters, response:	and that it applies to every single person, won't understand.
context: That's right.\For me, they were the center of the universe!\What do the bits recorded on the server matter?\They matter.\I've decided they matter.\And I've decided that they're wonderful, glorious things!\The idiots who believe that God has decided exactly what matters,\and that it applies to every single person, won't understand. response:	No matter how stupid it looks,
context: For me, they were the center of the universe!\What do the bits recorded on the server matter?\They matter.\I've decided they matter.\And I've decided that they're wonderful, glorious things!\The idiots who believe that God has decided exactly what matters,\and that it applies to every single person, won't understand.\No matter how stupid it looks, response:	no matter how fake and gilded it is,
context: What do the bits recorded on the server matter?\They matter.\I've decided they matter.\And I've decided that they're wonderful, glorious things!\The idiots who believe that God has decided exactly what matters,\and that it applies to every single person, won't understand.\No matter how stupid it looks,\no matter how fake and gilded it is, response:	if Iif wedecide it's amazing,
context: They matter.\I've decided they matter.\And I've decided that they're wonderful, glorious things!\The idiots who believe that God has decided exactly what matters,\and that it applies to every single person, won't understand.\No matter how stupid it looks,\no matter how fake and gilded it is,\if Iif wedecide it's amazing, response:	then it is!
context: I've decided they matter.\And I've decided that they're wonderful, glorious things!\The idiots who believe that God has decided exactly what matters,\and that it applies to every single person, won't understand.\No matter how stupid it looks,\no matter how fake and gilded it is,\if Iif wedecide it's amazing,\then it is! response:	Isn't that what it means to choose?
context: And I've decided that they're wonderful, glorious things!\The idiots who believe that God has decided exactly what matters,\and that it applies to every single person, won't understand.\No matter how stupid it looks,\no matter how fake and gilded it is,\if Iif wedecide it's amazing,\then it is!\Isn't that what it means to choose? response:	We chose to be here!
context: The idiots who believe that God has decided exactly what matters,\and that it applies to every single person, won't understand.\No matter how stupid it looks,\no matter how fake and gilded it is,\if Iif wedecide it's amazing,\then it is!\Isn't that what it means to choose?\We chose to be here! response:	I won't let anyone insult that.
context: and that it applies to every single person, won't understand.\No matter how stupid it looks,\no matter how fake and gilded it is,\if Iif wedecide it's amazing,\then it is!\Isn't that what it means to choose?\We chose to be here!\I won't let anyone insult that. response:	We've spent a lot of time in Elder Tale...
context: No matter how stupid it looks,\no matter how fake and gilded it is,\if Iif wedecide it's amazing,\then it is!\Isn't that what it means to choose?\We chose to be here!\I won't let anyone insult that.\We've spent a lot of time in Elder Tale... response:	A very long time.
context: no matter how fake and gilded it is,\if Iif wedecide it's amazing,\then it is!\Isn't that what it means to choose?\We chose to be here!\I won't let anyone insult that.\We've spent a lot of time in Elder Tale...\A very long time. response:	A powerful foe has appeared here,
context: if Iif wedecide it's amazing,\then it is!\Isn't that what it means to choose?\We chose to be here!\I won't let anyone insult that.\We've spent a lot of time in Elder Tale...\A very long time.\A powerful foe has appeared here, response:	and we'll take swords or bows or whatever we've got, and charge at it.
context: then it is!\Isn't that what it means to choose?\We chose to be here!\I won't let anyone insult that.\We've spent a lot of time in Elder Tale...\A very long time.\A powerful foe has appeared here,\and we'll take swords or bows or whatever we've got, and charge at it. response:	We'll scream and charge at it like children!
context: Isn't that what it means to choose?\We chose to be here!\I won't let anyone insult that.\We've spent a lot of time in Elder Tale...\A very long time.\A powerful foe has appeared here,\and we'll take swords or bows or whatever we've got, and charge at it.\We'll scream and charge at it like children! response:	And sometimes we'll win, and sometimes we'll lose.
context: We chose to be here!\I won't let anyone insult that.\We've spent a lot of time in Elder Tale...\A very long time.\A powerful foe has appeared here,\and we'll take swords or bows or whatever we've got, and charge at it.\We'll scream and charge at it like children!\And sometimes we'll win, and sometimes we'll lose. response:	Sure, it's all a bunch of bits on a server, switching between one and zero.
context: I won't let anyone insult that.\We've spent a lot of time in Elder Tale...\A very long time.\A powerful foe has appeared here,\and we'll take swords or bows or whatever we've got, and charge at it.\We'll scream and charge at it like children!\And sometimes we'll win, and sometimes we'll lose.\Sure, it's all a bunch of bits on a server, switching between one and zero. response:	So what?
context: We've spent a lot of time in Elder Tale...\A very long time.\A powerful foe has appeared here,\and we'll take swords or bows or whatever we've got, and charge at it.\We'll scream and charge at it like children!\And sometimes we'll win, and sometimes we'll lose.\Sure, it's all a bunch of bits on a server, switching between one and zero.\So what? response:	We've dedicated our lives to it.
context: A very long time.\A powerful foe has appeared here,\and we'll take swords or bows or whatever we've got, and charge at it.\We'll scream and charge at it like children!\And sometimes we'll win, and sometimes we'll lose.\Sure, it's all a bunch of bits on a server, switching between one and zero.\So what?\We've dedicated our lives to it. response:	And that's amazing!
context: A powerful foe has appeared here,\and we'll take swords or bows or whatever we've got, and charge at it.\We'll scream and charge at it like children!\And sometimes we'll win, and sometimes we'll lose.\Sure, it's all a bunch of bits on a server, switching between one and zero.\So what?\We've dedicated our lives to it.\And that's amazing! response:	If we win, we'll have a huge victory party.
context: and we'll take swords or bows or whatever we've got, and charge at it.\We'll scream and charge at it like children!\And sometimes we'll win, and sometimes we'll lose.\Sure, it's all a bunch of bits on a server, switching between one and zero.\So what?\We've dedicated our lives to it.\And that's amazing!\If we win, we'll have a huge victory party. response:	We'll each take our share of the phantasmals and have a toast.
context: We'll scream and charge at it like children!\And sometimes we'll win, and sometimes we'll lose.\Sure, it's all a bunch of bits on a server, switching between one and zero.\So what?\We've dedicated our lives to it.\And that's amazing!\If we win, we'll have a huge victory party.\We'll each take our share of the phantasmals and have a toast. response:	If we lose, we'll get upset,
context: And sometimes we'll win, and sometimes we'll lose.\Sure, it's all a bunch of bits on a server, switching between one and zero.\So what?\We've dedicated our lives to it.\And that's amazing!\If we win, we'll have a huge victory party.\We'll each take our share of the phantasmals and have a toast.\If we lose, we'll get upset, response:	and spend the whole day talking about what we did wrong.
context: Sure, it's all a bunch of bits on a server, switching between one and zero.\So what?\We've dedicated our lives to it.\And that's amazing!\If we win, we'll have a huge victory party.\We'll each take our share of the phantasmals and have a toast.\If we lose, we'll get upset,\and spend the whole day talking about what we did wrong. response:	If you want to say it's stupid, go ahead.
context: So what?\We've dedicated our lives to it.\And that's amazing!\If we win, we'll have a huge victory party.\We'll each take our share of the phantasmals and have a toast.\If we lose, we'll get upset,\and spend the whole day talking about what we did wrong.\If you want to say it's stupid, go ahead. response:	It doesn't matter if it's a toy, or if it's all fake.
context: We've dedicated our lives to it.\And that's amazing!\If we win, we'll have a huge victory party.\We'll each take our share of the phantasmals and have a toast.\If we lose, we'll get upset,\and spend the whole day talking about what we did wrong.\If you want to say it's stupid, go ahead.\It doesn't matter if it's a toy, or if it's all fake. response:	We think it's amazing.
context: And that's amazing!\If we win, we'll have a huge victory party.\We'll each take our share of the phantasmals and have a toast.\If we lose, we'll get upset,\and spend the whole day talking about what we did wrong.\If you want to say it's stupid, go ahead.\It doesn't matter if it's a toy, or if it's all fake.\We think it's amazing. response:	We've decided to spend our time on it.
context: If we win, we'll have a huge victory party.\We'll each take our share of the phantasmals and have a toast.\If we lose, we'll get upset,\and spend the whole day talking about what we did wrong.\If you want to say it's stupid, go ahead.\It doesn't matter if it's a toy, or if it's all fake.\We think it's amazing.\We've decided to spend our time on it. response:	So it's real!
context: We'll each take our share of the phantasmals and have a toast.\If we lose, we'll get upset,\and spend the whole day talking about what we did wrong.\If you want to say it's stupid, go ahead.\It doesn't matter if it's a toy, or if it's all fake.\We think it's amazing.\We've decided to spend our time on it.\So it's real! response:	So we lost the raid...
context: If we lose, we'll get upset,\and spend the whole day talking about what we did wrong.\If you want to say it's stupid, go ahead.\It doesn't matter if it's a toy, or if it's all fake.\We think it's amazing.\We've decided to spend our time on it.\So it's real!\So we lost the raid... response:	Something sacred and inviolate.
context: and spend the whole day talking about what we did wrong.\If you want to say it's stupid, go ahead.\It doesn't matter if it's a toy, or if it's all fake.\We think it's amazing.\We've decided to spend our time on it.\So it's real!\So we lost the raid...\Something sacred and inviolate. response:	Then what do we do?
context: If you want to say it's stupid, go ahead.\It doesn't matter if it's a toy, or if it's all fake.\We think it's amazing.\We've decided to spend our time on it.\So it's real!\So we lost the raid...\Something sacred and inviolate.\Then what do we do? response:	What...
context: It doesn't matter if it's a toy, or if it's all fake.\We think it's amazing.\We've decided to spend our time on it.\So it's real!\So we lost the raid...\Something sacred and inviolate.\Then what do we do?\What... response:	What do I say to them?
context: We think it's amazing.\We've decided to spend our time on it.\So it's real!\So we lost the raid...\Something sacred and inviolate.\Then what do we do?\What...\What do I say to them? response:	What can I say?
context: We've decided to spend our time on it.\So it's real!\So we lost the raid...\Something sacred and inviolate.\Then what do we do?\What...\What do I say to them?\What can I say? response:	Because that's what we are, right?
context: So it's real!\So we lost the raid...\Something sacred and inviolate.\Then what do we do?\What...\What do I say to them?\What can I say?\Because that's what we are, right? response:	That's who we are!
context: So we lost the raid...\Something sacred and inviolate.\Then what do we do?\What...\What do I say to them?\What can I say?\Because that's what we are, right?\That's who we are! response:	I don't care about the people who have everything.
context: Something sacred and inviolate.\Then what do we do?\What...\What do I say to them?\What can I say?\Because that's what we are, right?\That's who we are!\I don't care about the people who have everything. response:	What is this?
context: Then what do we do?\What...\What do I say to them?\What can I say?\Because that's what we are, right?\That's who we are!\I don't care about the people who have everything.\What is this? response:	What am I saying?
context: What...\What do I say to them?\What can I say?\Because that's what we are, right?\That's who we are!\I don't care about the people who have everything.\What is this?\What am I saying? response:	People who know how to live in harmony with others
context: What do I say to them?\What can I say?\Because that's what we are, right?\That's who we are!\I don't care about the people who have everything.\What is this?\What am I saying?\People who know how to live in harmony with others response:	can have anything,
