context: (yeah that's worded pretty much like a cliche, edit as you want) response:	I'm sorry.
context: Today, we are stopping by Ai-chan's as well!\Alright, let's go then.\Honestly...\Shinichirou, lend me your English dictionary.\Alright, it's in my locker.\Then I'm taking it.\Wa-Wait a second, Nobuse!\What the hell's this? response:	Hold it, Nobuse!
context: Alright, let's go then.\Honestly...\Shinichirou, lend me your English dictionary.\Alright, it's in my locker.\Then I'm taking it.\Wa-Wait a second, Nobuse!\What the hell's this?\Hold it, Nobuse! response:	What's... wrong?
context: Honestly...\Shinichirou, lend me your English dictionary.\Alright, it's in my locker.\Then I'm taking it.\Wa-Wait a second, Nobuse!\What the hell's this?\Hold it, Nobuse!\What's... wrong? response:	Well...
context: Shinichirou, lend me your English dictionary.\Alright, it's in my locker.\Then I'm taking it.\Wa-Wait a second, Nobuse!\What the hell's this?\Hold it, Nobuse!\What's... wrong?\Well... response:	This example here is one of the basics of functions,
context: Alright, it's in my locker.\Then I'm taking it.\Wa-Wait a second, Nobuse!\What the hell's this?\Hold it, Nobuse!\What's... wrong?\Well...\This example here is one of the basics of functions, response:	I'd hope that everyone here is able to solve these in a quick manner, so memorize them well.
context: Then I'm taking it.\Wa-Wait a second, Nobuse!\What the hell's this?\Hold it, Nobuse!\What's... wrong?\Well...\This example here is one of the basics of functions,\I'd hope that everyone here is able to solve these in a quick manner, so memorize them well. response:	Is it Isurugi Noe that gave you those red seeds?
context: Wa-Wait a second, Nobuse!\What the hell's this?\Hold it, Nobuse!\What's... wrong?\Well...\This example here is one of the basics of functions,\I'd hope that everyone here is able to solve these in a quick manner, so memorize them well.\Is it Isurugi Noe that gave you those red seeds? response:	Yeah.
context: What the hell's this?\Hold it, Nobuse!\What's... wrong?\Well...\This example here is one of the basics of functions,\I'd hope that everyone here is able to solve these in a quick manner, so memorize them well.\Is it Isurugi Noe that gave you those red seeds?\Yeah. response:	That's what you call love, right?
context: Hold it, Nobuse!\What's... wrong?\Well...\This example here is one of the basics of functions,\I'd hope that everyone here is able to solve these in a quick manner, so memorize them well.\Is it Isurugi Noe that gave you those red seeds?\Yeah.\That's what you call love, right? response:	She's just showing how much she loves you with those red seeds!
context: What's... wrong?\Well...\This example here is one of the basics of functions,\I'd hope that everyone here is able to solve these in a quick manner, so memorize them well.\Is it Isurugi Noe that gave you those red seeds?\Yeah.\That's what you call love, right?\She's just showing how much she loves you with those red seeds! response:	I think I'm just cursed.
context: Well...\This example here is one of the basics of functions,\I'd hope that everyone here is able to solve these in a quick manner, so memorize them well.\Is it Isurugi Noe that gave you those red seeds?\Yeah.\That's what you call love, right?\She's just showing how much she loves you with those red seeds!\I think I'm just cursed. response:	You're the cursed one!?was Is that so?
context: This example here is one of the basics of functions,\I'd hope that everyone here is able to solve these in a quick manner, so memorize them well.\Is it Isurugi Noe that gave you those red seeds?\Yeah.\That's what you call love, right?\She's just showing how much she loves you with those red seeds!\I think I'm just cursed.\You're the cursed one!?was Is that so? response:	Oh! The roots of the curse.
context: I'd hope that everyone here is able to solve these in a quick manner, so memorize them well.\Is it Isurugi Noe that gave you those red seeds?\Yeah.\That's what you call love, right?\She's just showing how much she loves you with those red seeds!\I think I'm just cursed.\You're the cursed one!?was Is that so?\Oh! The roots of the curse. response:	You go first.
context: Is it Isurugi Noe that gave you those red seeds?\Yeah.\That's what you call love, right?\She's just showing how much she loves you with those red seeds!\I think I'm just cursed.\You're the cursed one!?was Is that so?\Oh! The roots of the curse.\You go first. response:	Oh, wonderful. A date after school is it?
context: Yeah.\That's what you call love, right?\She's just showing how much she loves you with those red seeds!\I think I'm just cursed.\You're the cursed one!?was Is that so?\Oh! The roots of the curse.\You go first.\Oh, wonderful. A date after school is it? response:	Just a few words of complaint.
context: That's what you call love, right?\She's just showing how much she loves you with those red seeds!\I think I'm just cursed.\You're the cursed one!?was Is that so?\Oh! The roots of the curse.\You go first.\Oh, wonderful. A date after school is it?\Just a few words of complaint. response:	Be careful not to get eaten up!
context: She's just showing how much she loves you with those red seeds!\I think I'm just cursed.\You're the cursed one!?was Is that so?\Oh! The roots of the curse.\You go first.\Oh, wonderful. A date after school is it?\Just a few words of complaint.\Be careful not to get eaten up! response:	Idiot!
context: I think I'm just cursed.\You're the cursed one!?was Is that so?\Oh! The roots of the curse.\You go first.\Oh, wonderful. A date after school is it?\Just a few words of complaint.\Be careful not to get eaten up!\Idiot! response:	What's wrong with her? Why is she running that fast? (Edit - What's wrong with her)
context: You're the cursed one!?was Is that so?\Oh! The roots of the curse.\You go first.\Oh, wonderful. A date after school is it?\Just a few words of complaint.\Be careful not to get eaten up!\Idiot!\What's wrong with her? Why is she running that fast? (Edit - What's wrong with her) response:	Isn't that Isurugi Noe?
context: Oh! The roots of the curse.\You go first.\Oh, wonderful. A date after school is it?\Just a few words of complaint.\Be careful not to get eaten up!\Idiot!\What's wrong with her? Why is she running that fast? (Edit - What's wrong with her)\Isn't that Isurugi Noe? response:	He's picking her up on a bike...
context: You go first.\Oh, wonderful. A date after school is it?\Just a few words of complaint.\Be careful not to get eaten up!\Idiot!\What's wrong with her? Why is she running that fast? (Edit - What's wrong with her)\Isn't that Isurugi Noe?\He's picking her up on a bike... response:	He's so old...
context: Oh, wonderful. A date after school is it?\Just a few words of complaint.\Be careful not to get eaten up!\Idiot!\What's wrong with her? Why is she running that fast? (Edit - What's wrong with her)\Isn't that Isurugi Noe?\He's picking her up on a bike...\He's so old... response:	Ai-chan!
context: Just a few words of complaint.\Be careful not to get eaten up!\Idiot!\What's wrong with her? Why is she running that fast? (Edit - What's wrong with her)\Isn't that Isurugi Noe?\He's picking her up on a bike...\He's so old...\Ai-chan! response:	Huh? Where's Shinichirou?
context: Be careful not to get eaten up!\Idiot!\What's wrong with her? Why is she running that fast? (Edit - What's wrong with her)\Isn't that Isurugi Noe?\He's picking her up on a bike...\He's so old...\Ai-chan!\Huh? Where's Shinichirou? response:	Oh, he said he will come over in a moment.
context: Idiot!\What's wrong with her? Why is she running that fast? (Edit - What's wrong with her)\Isn't that Isurugi Noe?\He's picking her up on a bike...\He's so old...\Ai-chan!\Huh? Where's Shinichirou?\Oh, he said he will come over in a moment. response:	What are you doing here?
context: What's wrong with her? Why is she running that fast? (Edit - What's wrong with her)\Isn't that Isurugi Noe?\He's picking her up on a bike...\He's so old...\Ai-chan!\Huh? Where's Shinichirou?\Oh, he said he will come over in a moment.\What are you doing here? response:	These are treats for the local community school.
context: Isn't that Isurugi Noe?\He's picking her up on a bike...\He's so old...\Ai-chan!\Huh? Where's Shinichirou?\Oh, he said he will come over in a moment.\What are you doing here?\These are treats for the local community school. response:	Seems to me they are really delicious! Here!
context: He's picking her up on a bike...\He's so old...\Ai-chan!\Huh? Where's Shinichirou?\Oh, he said he will come over in a moment.\What are you doing here?\These are treats for the local community school.\Seems to me they are really delicious! Here! response:	What are you doing?
context: He's so old...\Ai-chan!\Huh? Where's Shinichirou?\Oh, he said he will come over in a moment.\What are you doing here?\These are treats for the local community school.\Seems to me they are really delicious! Here!\What are you doing? response:	Come on, it's fine!
context: Ai-chan!\Huh? Where's Shinichirou?\Oh, he said he will come over in a moment.\What are you doing here?\These are treats for the local community school.\Seems to me they are really delicious! Here!\What are you doing?\Come on, it's fine! response:	Why am I depressed?
context: Huh? Where's Shinichirou?\Oh, he said he will come over in a moment.\What are you doing here?\These are treats for the local community school.\Seems to me they are really delicious! Here!\What are you doing?\Come on, it's fine!\Why am I depressed? response:	I wonder...
context: Oh, he said he will come over in a moment.\What are you doing here?\These are treats for the local community school.\Seems to me they are really delicious! Here!\What are you doing?\Come on, it's fine!\Why am I depressed?\I wonder... response:	What are you two doing?
context: What are you doing here?\These are treats for the local community school.\Seems to me they are really delicious! Here!\What are you doing?\Come on, it's fine!\Why am I depressed?\I wonder...\What are you two doing? response:	He's just tasting.
context: These are treats for the local community school.\Seems to me they are really delicious! Here!\What are you doing?\Come on, it's fine!\Why am I depressed?\I wonder...\What are you two doing?\He's just tasting. response:	Come on.
context: Seems to me they are really delicious! Here!\What are you doing?\Come on, it's fine!\Why am I depressed?\I wonder...\What are you two doing?\He's just tasting.\Come on. response:	Hurry up.
context: What are you doing?\Come on, it's fine!\Why am I depressed?\I wonder...\What are you two doing?\He's just tasting.\Come on.\Hurry up. response:	Come closer...
context: Come on, it's fine!\Why am I depressed?\I wonder...\What are you two doing?\He's just tasting.\Come on.\Hurry up.\Come closer... response:	Like this?
context: Why am I depressed?\I wonder...\What are you two doing?\He's just tasting.\Come on.\Hurry up.\Come closer...\Like this? response:	Delicious.
context: I wonder...\What are you two doing?\He's just tasting.\Come on.\Hurry up.\Come closer...\Like this?\Delicious. response:	I'll go get you two some drinks...
context: What are you two doing?\He's just tasting.\Come on.\Hurry up.\Come closer...\Like this?\Delicious.\I'll go get you two some drinks... response:	You know, you really do like dropped food.
context: He's just tasting.\Come on.\Hurry up.\Come closer...\Like this?\Delicious.\I'll go get you two some drinks...\You know, you really do like dropped food. response:	I will eat any food fallen on the ground, as long as it's made by Ai-chan!
context: Come on.\Hurry up.\Come closer...\Like this?\Delicious.\I'll go get you two some drinks...\You know, you really do like dropped food.\I will eat any food fallen on the ground, as long as it's made by Ai-chan! response:	Sooner or later you'll get a stomach ache!
context: Hurry up.\Come closer...\Like this?\Delicious.\I'll go get you two some drinks...\You know, you really do like dropped food.\I will eat any food fallen on the ground, as long as it's made by Ai-chan!\Sooner or later you'll get a stomach ache! response:	I have no regrets from that since it's Ai-chan's cooking that I ate!
context: Come closer...\Like this?\Delicious.\I'll go get you two some drinks...\You know, you really do like dropped food.\I will eat any food fallen on the ground, as long as it's made by Ai-chan!\Sooner or later you'll get a stomach ache!\I have no regrets from that since it's Ai-chan's cooking that I ate! response:	Isurugi Noe has a boyfriend?
context: Like this?\Delicious.\I'll go get you two some drinks...\You know, you really do like dropped food.\I will eat any food fallen on the ground, as long as it's made by Ai-chan!\Sooner or later you'll get a stomach ache!\I have no regrets from that since it's Ai-chan's cooking that I ate!\Isurugi Noe has a boyfriend? response:	Are you serious?
context: Delicious.\I'll go get you two some drinks...\You know, you really do like dropped food.\I will eat any food fallen on the ground, as long as it's made by Ai-chan!\Sooner or later you'll get a stomach ache!\I have no regrets from that since it's Ai-chan's cooking that I ate!\Isurugi Noe has a boyfriend?\Are you serious? response:	Yeah.
context: I'll go get you two some drinks...\You know, you really do like dropped food.\I will eat any food fallen on the ground, as long as it's made by Ai-chan!\Sooner or later you'll get a stomach ache!\I have no regrets from that since it's Ai-chan's cooking that I ate!\Isurugi Noe has a boyfriend?\Are you serious?\Yeah. response:	Then why is she reaching out to you?
context: You know, you really do like dropped food.\I will eat any food fallen on the ground, as long as it's made by Ai-chan!\Sooner or later you'll get a stomach ache!\I have no regrets from that since it's Ai-chan's cooking that I ate!\Isurugi Noe has a boyfriend?\Are you serious?\Yeah.\Then why is she reaching out to you? response:	She's just using me as a replacement for Raigou-maru.
context: I will eat any food fallen on the ground, as long as it's made by Ai-chan!\Sooner or later you'll get a stomach ache!\I have no regrets from that since it's Ai-chan's cooking that I ate!\Isurugi Noe has a boyfriend?\Are you serious?\Yeah.\Then why is she reaching out to you?\She's just using me as a replacement for Raigou-maru. response:	Raigou-maru?
context: Sooner or later you'll get a stomach ache!\I have no regrets from that since it's Ai-chan's cooking that I ate!\Isurugi Noe has a boyfriend?\Are you serious?\Yeah.\Then why is she reaching out to you?\She's just using me as a replacement for Raigou-maru.\Raigou-maru? response:	A chicken in the school's backyard...
context: I have no regrets from that since it's Ai-chan's cooking that I ate!\Isurugi Noe has a boyfriend?\Are you serious?\Yeah.\Then why is she reaching out to you?\She's just using me as a replacement for Raigou-maru.\Raigou-maru?\A chicken in the school's backyard... response:	So that means, those red seeds are...
context: Isurugi Noe has a boyfriend?\Are you serious?\Yeah.\Then why is she reaching out to you?\She's just using me as a replacement for Raigou-maru.\Raigou-maru?\A chicken in the school's backyard...\So that means, those red seeds are... response:	Chicken feed.
context: Are you serious?\Yeah.\Then why is she reaching out to you?\She's just using me as a replacement for Raigou-maru.\Raigou-maru?\A chicken in the school's backyard...\So that means, those red seeds are...\Chicken feed. response:	That means she sees you as a chicken, huh?
context: Yeah.\Then why is she reaching out to you?\She's just using me as a replacement for Raigou-maru.\Raigou-maru?\A chicken in the school's backyard...\So that means, those red seeds are...\Chicken feed.\That means she sees you as a chicken, huh? response:	She doesn't see me that way.
context: Then why is she reaching out to you?\She's just using me as a replacement for Raigou-maru.\Raigou-maru?\A chicken in the school's backyard...\So that means, those red seeds are...\Chicken feed.\That means she sees you as a chicken, huh?\She doesn't see me that way. response:	Shinichirou, it's time.
context: She's just using me as a replacement for Raigou-maru.\Raigou-maru?\A chicken in the school's backyard...\So that means, those red seeds are...\Chicken feed.\That means she sees you as a chicken, huh?\She doesn't see me that way.\Shinichirou, it's time. response:	Oh crap! I've got to go home!
context: Raigou-maru?\A chicken in the school's backyard...\So that means, those red seeds are...\Chicken feed.\That means she sees you as a chicken, huh?\She doesn't see me that way.\Shinichirou, it's time.\Oh crap! I've got to go home! response:	We'll take this shortcut since we're a bit late.
context: A chicken in the school's backyard...\So that means, those red seeds are...\Chicken feed.\That means she sees you as a chicken, huh?\She doesn't see me that way.\Shinichirou, it's time.\Oh crap! I've got to go home!\We'll take this shortcut since we're a bit late. response:	What's wrong?
context: So that means, those red seeds are...\Chicken feed.\That means she sees you as a chicken, huh?\She doesn't see me that way.\Shinichirou, it's time.\Oh crap! I've got to go home!\We'll take this shortcut since we're a bit late.\What's wrong? response:	How did it go? What we talked about the other day...
context: Chicken feed.\That means she sees you as a chicken, huh?\She doesn't see me that way.\Shinichirou, it's time.\Oh crap! I've got to go home!\We'll take this shortcut since we're a bit late.\What's wrong?\How did it go? What we talked about the other day... response:	Eh?
context: That means she sees you as a chicken, huh?\She doesn't see me that way.\Shinichirou, it's time.\Oh crap! I've got to go home!\We'll take this shortcut since we're a bit late.\What's wrong?\How did it go? What we talked about the other day...\Eh? response:	You know, about Hiromi-chan.
context: She doesn't see me that way.\Shinichirou, it's time.\Oh crap! I've got to go home!\We'll take this shortcut since we're a bit late.\What's wrong?\How did it go? What we talked about the other day...\Eh?\You know, about Hiromi-chan. response:	Who did you hear that from?
context: Shinichirou, it's time.\Oh crap! I've got to go home!\We'll take this shortcut since we're a bit late.\What's wrong?\How did it go? What we talked about the other day...\Eh?\You know, about Hiromi-chan.\Who did you hear that from? response:	I found it out myself!
context: Oh crap! I've got to go home!\We'll take this shortcut since we're a bit late.\What's wrong?\How did it go? What we talked about the other day...\Eh?\You know, about Hiromi-chan.\Who did you hear that from?\I found it out myself! response:	Well...
context: We'll take this shortcut since we're a bit late.\What's wrong?\How did it go? What we talked about the other day...\Eh?\You know, about Hiromi-chan.\Who did you hear that from?\I found it out myself!\Well... response:	She told me she wants to be a friend of Noe's.
context: What's wrong?\How did it go? What we talked about the other day...\Eh?\You know, about Hiromi-chan.\Who did you hear that from?\I found it out myself!\Well...\She told me she wants to be a friend of Noe's. response:	But in truth, that's not the case, is it?
context: How did it go? What we talked about the other day...\Eh?\You know, about Hiromi-chan.\Who did you hear that from?\I found it out myself!\Well...\She told me she wants to be a friend of Noe's.\But in truth, that's not the case, is it? response:	Seems so.
context: Eh?\You know, about Hiromi-chan.\Who did you hear that from?\I found it out myself!\Well...\She told me she wants to be a friend of Noe's.\But in truth, that's not the case, is it?\Seems so. response:	I seem to understand...
context: You know, about Hiromi-chan.\Who did you hear that from?\I found it out myself!\Well...\She told me she wants to be a friend of Noe's.\But in truth, that's not the case, is it?\Seems so.\I seem to understand... response:	But, I am not telling you.
context: Who did you hear that from?\I found it out myself!\Well...\She told me she wants to be a friend of Noe's.\But in truth, that's not the case, is it?\Seems so.\I seem to understand...\But, I am not telling you. response:	Hey! What's up with that?
context: I found it out myself!\Well...\She told me she wants to be a friend of Noe's.\But in truth, that's not the case, is it?\Seems so.\I seem to understand...\But, I am not telling you.\Hey! What's up with that? response:	You're hurting me...
context: Well...\She told me she wants to be a friend of Noe's.\But in truth, that's not the case, is it?\Seems so.\I seem to understand...\But, I am not telling you.\Hey! What's up with that?\You're hurting me... response:	I-I'm sorry! Well...
context: She told me she wants to be a friend of Noe's.\But in truth, that's not the case, is it?\Seems so.\I seem to understand...\But, I am not telling you.\Hey! What's up with that?\You're hurting me...\I-I'm sorry! Well... response:	That trunk's heavy, right? Let me take care of it.
context: But in truth, that's not the case, is it?\Seems so.\I seem to understand...\But, I am not telling you.\Hey! What's up with that?\You're hurting me...\I-I'm sorry! Well...\That trunk's heavy, right? Let me take care of it. response:	A person...
context: Seems so.\I seem to understand...\But, I am not telling you.\Hey! What's up with that?\You're hurting me...\I-I'm sorry! Well...\That trunk's heavy, right? Let me take care of it.\A person... response:	One person can only get close to another person when she's in love with him, right?
context: I seem to understand...\But, I am not telling you.\Hey! What's up with that?\You're hurting me...\I-I'm sorry! Well...\That trunk's heavy, right? Let me take care of it.\A person...\One person can only get close to another person when she's in love with him, right? response:	What if, you want to get close to that person, but at the same time, that couldn't happen?
context: But, I am not telling you.\Hey! What's up with that?\You're hurting me...\I-I'm sorry! Well...\That trunk's heavy, right? Let me take care of it.\A person...\One person can only get close to another person when she's in love with him, right?\What if, you want to get close to that person, but at the same time, that couldn't happen? response:	Since someone's already beside him...
context: Hey! What's up with that?\You're hurting me...\I-I'm sorry! Well...\That trunk's heavy, right? Let me take care of it.\A person...\One person can only get close to another person when she's in love with him, right?\What if, you want to get close to that person, but at the same time, that couldn't happen?\Since someone's already beside him... response:	Who are you talking about?
context: You're hurting me...\I-I'm sorry! Well...\That trunk's heavy, right? Let me take care of it.\A person...\One person can only get close to another person when she's in love with him, right?\What if, you want to get close to that person, but at the same time, that couldn't happen?\Since someone's already beside him...\Who are you talking about? response:	It must be a pain in the butt for the girls that fall in love with you.
context: I-I'm sorry! Well...\That trunk's heavy, right? Let me take care of it.\A person...\One person can only get close to another person when she's in love with him, right?\What if, you want to get close to that person, but at the same time, that couldn't happen?\Since someone's already beside him...\Who are you talking about?\It must be a pain in the butt for the girls that fall in love with you. response:	Ow- Ow- Oww!
context: That trunk's heavy, right? Let me take care of it.\A person...\One person can only get close to another person when she's in love with him, right?\What if, you want to get close to that person, but at the same time, that couldn't happen?\Since someone's already beside him...\Who are you talking about?\It must be a pain in the butt for the girls that fall in love with you.\Ow- Ow- Oww! response:	For example, if Hiromi fell in love with someone,
context: A person...\One person can only get close to another person when she's in love with him, right?\What if, you want to get close to that person, but at the same time, that couldn't happen?\Since someone's already beside him...\Who are you talking about?\It must be a pain in the butt for the girls that fall in love with you.\Ow- Ow- Oww!\For example, if Hiromi fell in love with someone, response:	and close to that person is Noe...
context: One person can only get close to another person when she's in love with him, right?\What if, you want to get close to that person, but at the same time, that couldn't happen?\Since someone's already beside him...\Who are you talking about?\It must be a pain in the butt for the girls that fall in love with you.\Ow- Ow- Oww!\For example, if Hiromi fell in love with someone,\and close to that person is Noe... response:	Who would that be?
context: What if, you want to get close to that person, but at the same time, that couldn't happen?\Since someone's already beside him...\Who are you talking about?\It must be a pain in the butt for the girls that fall in love with you.\Ow- Ow- Oww!\For example, if Hiromi fell in love with someone,\and close to that person is Noe...\Who would that be? response:	Let's see... Boys around Noe...
context: Since someone's already beside him...\Who are you talking about?\It must be a pain in the butt for the girls that fall in love with you.\Ow- Ow- Oww!\For example, if Hiromi fell in love with someone,\and close to that person is Noe...\Who would that be?\Let's see... Boys around Noe... response:	Could it be me?
context: Who are you talking about?\It must be a pain in the butt for the girls that fall in love with you.\Ow- Ow- Oww!\For example, if Hiromi fell in love with someone,\and close to that person is Noe...\Who would that be?\Let's see... Boys around Noe...\Could it be me? response:	Like that could happen.
context: It must be a pain in the butt for the girls that fall in love with you.\Ow- Ow- Oww!\For example, if Hiromi fell in love with someone,\and close to that person is Noe...\Who would that be?\Let's see... Boys around Noe...\Could it be me?\Like that could happen. response:	But... there's no one else!
context: Ow- Ow- Oww!\For example, if Hiromi fell in love with someone,\and close to that person is Noe...\Who would that be?\Let's see... Boys around Noe...\Could it be me?\Like that could happen.\But... there's no one else! response:	Is that how it is?
context: For example, if Hiromi fell in love with someone,\and close to that person is Noe...\Who would that be?\Let's see... Boys around Noe...\Could it be me?\Like that could happen.\But... there's no one else!\Is that how it is? response:	Wait, that can't be it.
context: and close to that person is Noe...\Who would that be?\Let's see... Boys around Noe...\Could it be me?\Like that could happen.\But... there's no one else!\Is that how it is?\Wait, that can't be it. response:	But, perhaps...
context: Who would that be?\Let's see... Boys around Noe...\Could it be me?\Like that could happen.\But... there's no one else!\Is that how it is?\Wait, that can't be it.\But, perhaps... response:	Good evening!
context: Let's see... Boys around Noe...\Could it be me?\Like that could happen.\But... there's no one else!\Is that how it is?\Wait, that can't be it.\But, perhaps...\Good evening! response:	Kid, lower your waist!
context: Could it be me?\Like that could happen.\But... there's no one else!\Is that how it is?\Wait, that can't be it.\But, perhaps...\Good evening!\Kid, lower your waist! response:	Understood!
context: Like that could happen.\But... there's no one else!\Is that how it is?\Wait, that can't be it.\But, perhaps...\Good evening!\Kid, lower your waist!\Understood! response:	I'm home!
context: But... there's no one else!\Is that how it is?\Wait, that can't be it.\But, perhaps...\Good evening!\Kid, lower your waist!\Understood!\I'm home! response:	Huh?
context: Is that how it is?\Wait, that can't be it.\But, perhaps...\Good evening!\Kid, lower your waist!\Understood!\I'm home!\Huh? response:	What?
context: Wait, that can't be it.\But, perhaps...\Good evening!\Kid, lower your waist!\Understood!\I'm home!\Huh?\What? response:	Seems like you're quite happy.
context: But, perhaps...\Good evening!\Kid, lower your waist!\Understood!\I'm home!\Huh?\What?\Seems like you're quite happy. response:	Oh... err... it's actually facial exercises.
context: Good evening!\Kid, lower your waist!\Understood!\I'm home!\Huh?\What?\Seems like you're quite happy.\Oh... err... it's actually facial exercises. response:	I heard it improves your health by shifting it to the sides.
context: Kid, lower your waist!\Understood!\I'm home!\Huh?\What?\Seems like you're quite happy.\Oh... err... it's actually facial exercises.\I heard it improves your health by shifting it to the sides. response:	Facial exercises...
context: Understood!\I'm home!\Huh?\What?\Seems like you're quite happy.\Oh... err... it's actually facial exercises.\I heard it improves your health by shifting it to the sides.\Facial exercises... response:	Facial exercises, huh? Oww!
context: I'm home!\Huh?\What?\Seems like you're quite happy.\Oh... err... it's actually facial exercises.\I heard it improves your health by shifting it to the sides.\Facial exercises...\Facial exercises, huh? Oww! response:	I'm counting on you.
context: Huh?\What?\Seems like you're quite happy.\Oh... err... it's actually facial exercises.\I heard it improves your health by shifting it to the sides.\Facial exercises...\Facial exercises, huh? Oww!\I'm counting on you. response:	I need you to deliver this.
context: What?\Seems like you're quite happy.\Oh... err... it's actually facial exercises.\I heard it improves your health by shifting it to the sides.\Facial exercises...\Facial exercises, huh? Oww!\I'm counting on you.\I need you to deliver this. response:	But you continue to behave rudely.
context: Seems like you're quite happy.\Oh... err... it's actually facial exercises.\I heard it improves your health by shifting it to the sides.\Facial exercises...\Facial exercises, huh? Oww!\I'm counting on you.\I need you to deliver this.\But you continue to behave rudely. response:	You understand, right?
context: Oh... err... it's actually facial exercises.\I heard it improves your health by shifting it to the sides.\Facial exercises...\Facial exercises, huh? Oww!\I'm counting on you.\I need you to deliver this.\But you continue to behave rudely.\You understand, right? response:	I'm home.
context: I heard it improves your health by shifting it to the sides.\Facial exercises...\Facial exercises, huh? Oww!\I'm counting on you.\I need you to deliver this.\But you continue to behave rudely.\You understand, right?\I'm home. response:	Take care of it, okay?
context: Facial exercises...\Facial exercises, huh? Oww!\I'm counting on you.\I need you to deliver this.\But you continue to behave rudely.\You understand, right?\I'm home.\Take care of it, okay? response:	Going somewhere?
context: Facial exercises, huh? Oww!\I'm counting on you.\I need you to deliver this.\But you continue to behave rudely.\You understand, right?\I'm home.\Take care of it, okay?\Going somewhere? response:	It's urgent.
context: I'm counting on you.\I need you to deliver this.\But you continue to behave rudely.\You understand, right?\I'm home.\Take care of it, okay?\Going somewhere?\It's urgent. response:	This is the sake for Amimoto-ojisan's celebration.
context: I need you to deliver this.\But you continue to behave rudely.\You understand, right?\I'm home.\Take care of it, okay?\Going somewhere?\It's urgent.\This is the sake for Amimoto-ojisan's celebration. response:	It's late already! We could deliver that tomorrow!
context: But you continue to behave rudely.\You understand, right?\I'm home.\Take care of it, okay?\Going somewhere?\It's urgent.\This is the sake for Amimoto-ojisan's celebration.\It's late already! We could deliver that tomorrow! response:	We promised that we would deliver it by today.
context: You understand, right?\I'm home.\Take care of it, okay?\Going somewhere?\It's urgent.\This is the sake for Amimoto-ojisan's celebration.\It's late already! We could deliver that tomorrow!\We promised that we would deliver it by today. response:	Then, I will...
