context: Lisanna was good friends with Natsu since they were children, response:	but during one incident, it was thought that she died.
context: What manner of man is he...?\I'll have to give him a good scolding for this later...\Gramps...\Let's fight.\I know there are times when you have to fall back.\Gildarts taught me that.\But this ain't one of those times.\These bastards chose Fairy Tail as their enemy. response:	So we have to make them realize...
context: I'll have to give him a good scolding for this later...\Gramps...\Let's fight.\I know there are times when you have to fall back.\Gildarts taught me that.\But this ain't one of those times.\These bastards chose Fairy Tail as their enemy.\So we have to make them realize... response:	Let's fight...
context: Gramps...\Let's fight.\I know there are times when you have to fall back.\Gildarts taught me that.\But this ain't one of those times.\These bastards chose Fairy Tail as their enemy.\So we have to make them realize...\Let's fight... response:	Gr-Gr...
context: Let's fight.\I know there are times when you have to fall back.\Gildarts taught me that.\But this ain't one of those times.\These bastards chose Fairy Tail as their enemy.\So we have to make them realize...\Let's fight...\Gr-Gr... response:	Natsu!
context: I know there are times when you have to fall back.\Gildarts taught me that.\But this ain't one of those times.\These bastards chose Fairy Tail as their enemy.\So we have to make them realize...\Let's fight...\Gr-Gr...\Natsu! response:	The power of family?
context: Gildarts taught me that.\But this ain't one of those times.\These bastards chose Fairy Tail as their enemy.\So we have to make them realize...\Let's fight...\Gr-Gr...\Natsu!\The power of family? response:	I thought you were going to show that to me.
context: But this ain't one of those times.\These bastards chose Fairy Tail as their enemy.\So we have to make them realize...\Let's fight...\Gr-Gr...\Natsu!\The power of family?\I thought you were going to show that to me. response:	Mira-nee! Use Satan Soul!
context: These bastards chose Fairy Tail as their enemy.\So we have to make them realize...\Let's fight...\Gr-Gr...\Natsu!\The power of family?\I thought you were going to show that to me.\Mira-nee! Use Satan Soul! response:	Satan Soul?
context: So we have to make them realize...\Let's fight...\Gr-Gr...\Natsu!\The power of family?\I thought you were going to show that to me.\Mira-nee! Use Satan Soul!\Satan Soul? response:	That's not magic I can use repeatedly.
context: Let's fight...\Gr-Gr...\Natsu!\The power of family?\I thought you were going to show that to me.\Mira-nee! Use Satan Soul!\Satan Soul?\That's not magic I can use repeatedly. response:	Sisters?
context: Gr-Gr...\Natsu!\The power of family?\I thought you were going to show that to me.\Mira-nee! Use Satan Soul!\Satan Soul?\That's not magic I can use repeatedly.\Sisters? response:	Fairy Tail's Fairy Sisters...
context: Natsu!\The power of family?\I thought you were going to show that to me.\Mira-nee! Use Satan Soul!\Satan Soul?\That's not magic I can use repeatedly.\Sisters?\Fairy Tail's Fairy Sisters... response:	Then... could it be...?
context: The power of family?\I thought you were going to show that to me.\Mira-nee! Use Satan Soul!\Satan Soul?\That's not magic I can use repeatedly.\Sisters?\Fairy Tail's Fairy Sisters...\Then... could it be...? response:	Are you the Demon Mirajane?!
context: I thought you were going to show that to me.\Mira-nee! Use Satan Soul!\Satan Soul?\That's not magic I can use repeatedly.\Sisters?\Fairy Tail's Fairy Sisters...\Then... could it be...?\Are you the Demon Mirajane?! response:	That was a long time ago.
context: Mira-nee! Use Satan Soul!\Satan Soul?\That's not magic I can use repeatedly.\Sisters?\Fairy Tail's Fairy Sisters...\Then... could it be...?\Are you the Demon Mirajane?!\That was a long time ago. response:	When Mira-nee gets serious, she's mega-strong!
context: Satan Soul?\That's not magic I can use repeatedly.\Sisters?\Fairy Tail's Fairy Sisters...\Then... could it be...?\Are you the Demon Mirajane?!\That was a long time ago.\When Mira-nee gets serious, she's mega-strong! response:	I see... Well, I would like to have a bout with a serious demon.
context: That's not magic I can use repeatedly.\Sisters?\Fairy Tail's Fairy Sisters...\Then... could it be...?\Are you the Demon Mirajane?!\That was a long time ago.\When Mira-nee gets serious, she's mega-strong!\I see... Well, I would like to have a bout with a serious demon. response:	What's wrong? You can't take this seriously?
context: Sisters?\Fairy Tail's Fairy Sisters...\Then... could it be...?\Are you the Demon Mirajane?!\That was a long time ago.\When Mira-nee gets serious, she's mega-strong!\I see... Well, I would like to have a bout with a serious demon.\What's wrong? You can't take this seriously? response:	My magic is more than enough to take you down!
context: Fairy Tail's Fairy Sisters...\Then... could it be...?\Are you the Demon Mirajane?!\That was a long time ago.\When Mira-nee gets serious, she's mega-strong!\I see... Well, I would like to have a bout with a serious demon.\What's wrong? You can't take this seriously?\My magic is more than enough to take you down! response:	No, Lisanna!
context: Then... could it be...?\Are you the Demon Mirajane?!\That was a long time ago.\When Mira-nee gets serious, she's mega-strong!\I see... Well, I would like to have a bout with a serious demon.\What's wrong? You can't take this seriously?\My magic is more than enough to take you down!\No, Lisanna! response:	I want you to get away!
context: Are you the Demon Mirajane?!\That was a long time ago.\When Mira-nee gets serious, she's mega-strong!\I see... Well, I would like to have a bout with a serious demon.\What's wrong? You can't take this seriously?\My magic is more than enough to take you down!\No, Lisanna!\I want you to get away! response:	This man... is extremely strong.
context: That was a long time ago.\When Mira-nee gets serious, she's mega-strong!\I see... Well, I would like to have a bout with a serious demon.\What's wrong? You can't take this seriously?\My magic is more than enough to take you down!\No, Lisanna!\I want you to get away!\This man... is extremely strong. response:	I would really rather not do this, but...
context: When Mira-nee gets serious, she's mega-strong!\I see... Well, I would like to have a bout with a serious demon.\What's wrong? You can't take this seriously?\My magic is more than enough to take you down!\No, Lisanna!\I want you to get away!\This man... is extremely strong.\I would really rather not do this, but... response:	What is this?!
context: I see... Well, I would like to have a bout with a serious demon.\What's wrong? You can't take this seriously?\My magic is more than enough to take you down!\No, Lisanna!\I want you to get away!\This man... is extremely strong.\I would really rather not do this, but...\What is this?! response:	Lisanna!
context: What's wrong? You can't take this seriously?\My magic is more than enough to take you down!\No, Lisanna!\I want you to get away!\This man... is extremely strong.\I would really rather not do this, but...\What is this?!\Lisanna! response:	In three minutes, that will explode.
context: My magic is more than enough to take you down!\No, Lisanna!\I want you to get away!\This man... is extremely strong.\I would really rather not do this, but...\What is this?!\Lisanna!\In three minutes, that will explode. response:	Hold it. I wouldn't put any more pressure on it if I were you.
context: No, Lisanna!\I want you to get away!\This man... is extremely strong.\I would really rather not do this, but...\What is this?!\Lisanna!\In three minutes, that will explode.\Hold it. I wouldn't put any more pressure on it if I were you. response:	If you want to set her free, you'll have to defeat me.
context: I want you to get away!\This man... is extremely strong.\I would really rather not do this, but...\What is this?!\Lisanna!\In three minutes, that will explode.\Hold it. I wouldn't put any more pressure on it if I were you.\If you want to set her free, you'll have to defeat me. response:	I can't... get free!
context: This man... is extremely strong.\I would really rather not do this, but...\What is this?!\Lisanna!\In three minutes, that will explode.\Hold it. I wouldn't put any more pressure on it if I were you.\If you want to set her free, you'll have to defeat me.\I can't... get free! response:	You fiend!
context: I would really rather not do this, but...\What is this?!\Lisanna!\In three minutes, that will explode.\Hold it. I wouldn't put any more pressure on it if I were you.\If you want to set her free, you'll have to defeat me.\I can't... get free!\You fiend! response:	I'll do anything in order to fight that demon.
context: What is this?!\Lisanna!\In three minutes, that will explode.\Hold it. I wouldn't put any more pressure on it if I were you.\If you want to set her free, you'll have to defeat me.\I can't... get free!\You fiend!\I'll do anything in order to fight that demon. response:	Mira-nee!
context: Lisanna!\In three minutes, that will explode.\Hold it. I wouldn't put any more pressure on it if I were you.\If you want to set her free, you'll have to defeat me.\I can't... get free!\You fiend!\I'll do anything in order to fight that demon.\Mira-nee! response:	It doesn't feel like my magic power will last long...
context: In three minutes, that will explode.\Hold it. I wouldn't put any more pressure on it if I were you.\If you want to set her free, you'll have to defeat me.\I can't... get free!\You fiend!\I'll do anything in order to fight that demon.\Mira-nee!\It doesn't feel like my magic power will last long... response:	This is it! This sensation!
context: Hold it. I wouldn't put any more pressure on it if I were you.\If you want to set her free, you'll have to defeat me.\I can't... get free!\You fiend!\I'll do anything in order to fight that demon.\Mira-nee!\It doesn't feel like my magic power will last long...\This is it! This sensation! response:	Wonderful!
context: If you want to set her free, you'll have to defeat me.\I can't... get free!\You fiend!\I'll do anything in order to fight that demon.\Mira-nee!\It doesn't feel like my magic power will last long...\This is it! This sensation!\Wonderful! response:	Mira-nee!
context: I can't... get free!\You fiend!\I'll do anything in order to fight that demon.\Mira-nee!\It doesn't feel like my magic power will last long...\This is it! This sensation!\Wonderful!\Mira-nee! response:	Don't worry about me! Just focus!
context: You fiend!\I'll do anything in order to fight that demon.\Mira-nee!\It doesn't feel like my magic power will last long...\This is it! This sensation!\Wonderful!\Mira-nee!\Don't worry about me! Just focus! response:	Chain Burst!
context: I'll do anything in order to fight that demon.\Mira-nee!\It doesn't feel like my magic power will last long...\This is it! This sensation!\Wonderful!\Mira-nee!\Don't worry about me! Just focus!\Chain Burst! response:	You're strong...
context: Mira-nee!\It doesn't feel like my magic power will last long...\This is it! This sensation!\Wonderful!\Mira-nee!\Don't worry about me! Just focus!\Chain Burst!\You're strong... response:	Let Lisanna go!
context: It doesn't feel like my magic power will last long...\This is it! This sensation!\Wonderful!\Mira-nee!\Don't worry about me! Just focus!\Chain Burst!\You're strong...\Let Lisanna go! response:	I knew you'd be strong!
context: This is it! This sensation!\Wonderful!\Mira-nee!\Don't worry about me! Just focus!\Chain Burst!\You're strong...\Let Lisanna go!\I knew you'd be strong! response:	I haven't felt this high in a long time!
context: Wonderful!\Mira-nee!\Don't worry about me! Just focus!\Chain Burst!\You're strong...\Let Lisanna go!\I knew you'd be strong!\I haven't felt this high in a long time! response:	What are you looking at?!
context: Mira-nee!\Don't worry about me! Just focus!\Chain Burst!\You're strong...\Let Lisanna go!\I knew you'd be strong!\I haven't felt this high in a long time!\What are you looking at?! response:	Burst Claw!
context: Don't worry about me! Just focus!\Chain Burst!\You're strong...\Let Lisanna go!\I knew you'd be strong!\I haven't felt this high in a long time!\What are you looking at?!\Burst Claw! response:	Mira-nee!
context: Chain Burst!\You're strong...\Let Lisanna go!\I knew you'd be strong!\I haven't felt this high in a long time!\What are you looking at?!\Burst Claw!\Mira-nee! response:	Evil Explosion!
context: You're strong...\Let Lisanna go!\I knew you'd be strong!\I haven't felt this high in a long time!\What are you looking at?!\Burst Claw!\Mira-nee!\Evil Explosion! response:	I knew this would be good...
context: Let Lisanna go!\I knew you'd be strong!\I haven't felt this high in a long time!\What are you looking at?!\Burst Claw!\Mira-nee!\Evil Explosion!\I knew this would be good... response:	Let's have more fun, Mirajane!
context: I knew you'd be strong!\I haven't felt this high in a long time!\What are you looking at?!\Burst Claw!\Mira-nee!\Evil Explosion!\I knew this would be good...\Let's have more fun, Mirajane! response:	No good... He's too strong!
context: I haven't felt this high in a long time!\What are you looking at?!\Burst Claw!\Mira-nee!\Evil Explosion!\I knew this would be good...\Let's have more fun, Mirajane!\No good... He's too strong! response:	If my magic power wasn't depleted...
context: What are you looking at?!\Burst Claw!\Mira-nee!\Evil Explosion!\I knew this would be good...\Let's have more fun, Mirajane!\No good... He's too strong!\If my magic power wasn't depleted... response:	Mira-nee!
context: Burst Claw!\Mira-nee!\Evil Explosion!\I knew this would be good...\Let's have more fun, Mirajane!\No good... He's too strong!\If my magic power wasn't depleted...\Mira-nee! response:	What do you think you're doing?!
context: Mira-nee!\Evil Explosion!\I knew this would be good...\Let's have more fun, Mirajane!\No good... He's too strong!\If my magic power wasn't depleted...\Mira-nee!\What do you think you're doing?! response:	Pointless!
context: Evil Explosion!\I knew this would be good...\Let's have more fun, Mirajane!\No good... He's too strong!\If my magic power wasn't depleted...\Mira-nee!\What do you think you're doing?!\Pointless! response:	The only way to stop the countdown is by beating me!
context: I knew this would be good...\Let's have more fun, Mirajane!\No good... He's too strong!\If my magic power wasn't depleted...\Mira-nee!\What do you think you're doing?!\Pointless!\The only way to stop the countdown is by beating me! response:	Come on! There's no time!
context: Let's have more fun, Mirajane!\No good... He's too strong!\If my magic power wasn't depleted...\Mira-nee!\What do you think you're doing?!\Pointless!\The only way to stop the countdown is by beating me!\Come on! There's no time! response:	Show me your true strength!
context: No good... He's too strong!\If my magic power wasn't depleted...\Mira-nee!\What do you think you're doing?!\Pointless!\The only way to stop the countdown is by beating me!\Come on! There's no time!\Show me your true strength! response:	I'm sorry...
context: If my magic power wasn't depleted...\Mira-nee!\What do you think you're doing?!\Pointless!\The only way to stop the countdown is by beating me!\Come on! There's no time!\Show me your true strength!\I'm sorry... response:	It's frustrating, but I don't have enough magic power left to take him down.
context: Mira-nee!\What do you think you're doing?!\Pointless!\The only way to stop the countdown is by beating me!\Come on! There's no time!\Show me your true strength!\I'm sorry...\It's frustrating, but I don't have enough magic power left to take him down. response:	Right now, that's impossible for me.
context: What do you think you're doing?!\Pointless!\The only way to stop the countdown is by beating me!\Come on! There's no time!\Show me your true strength!\I'm sorry...\It's frustrating, but I don't have enough magic power left to take him down.\Right now, that's impossible for me. response:	Mira-nee...
context: Pointless!\The only way to stop the countdown is by beating me!\Come on! There's no time!\Show me your true strength!\I'm sorry...\It's frustrating, but I don't have enough magic power left to take him down.\Right now, that's impossible for me.\Mira-nee... response:	But I have faith...
context: The only way to stop the countdown is by beating me!\Come on! There's no time!\Show me your true strength!\I'm sorry...\It's frustrating, but I don't have enough magic power left to take him down.\Right now, that's impossible for me.\Mira-nee...\But I have faith... response:	I have faith that someone in the guild can beat him...
context: Come on! There's no time!\Show me your true strength!\I'm sorry...\It's frustrating, but I don't have enough magic power left to take him down.\Right now, that's impossible for me.\Mira-nee...\But I have faith...\I have faith that someone in the guild can beat him... response:	What are you... saying, Mira-nee?
context: Show me your true strength!\I'm sorry...\It's frustrating, but I don't have enough magic power left to take him down.\Right now, that's impossible for me.\Mira-nee...\But I have faith...\I have faith that someone in the guild can beat him...\What are you... saying, Mira-nee? response:	So I'm... giving up...
context: I'm sorry...\It's frustrating, but I don't have enough magic power left to take him down.\Right now, that's impossible for me.\Mira-nee...\But I have faith...\I have faith that someone in the guild can beat him...\What are you... saying, Mira-nee?\So I'm... giving up... response:	I won't let you die again.
context: It's frustrating, but I don't have enough magic power left to take him down.\Right now, that's impossible for me.\Mira-nee...\But I have faith...\I have faith that someone in the guild can beat him...\What are you... saying, Mira-nee?\So I'm... giving up...\I won't let you die again. response:	Mira... nee...
context: Right now, that's impossible for me.\Mira-nee...\But I have faith...\I have faith that someone in the guild can beat him...\What are you... saying, Mira-nee?\So I'm... giving up...\I won't let you die again.\Mira... nee... response:	Mira-nee!
context: Mira-nee...\But I have faith...\I have faith that someone in the guild can beat him...\What are you... saying, Mira-nee?\So I'm... giving up...\I won't let you die again.\Mira... nee...\Mira-nee! response:	No!
context: But I have faith...\I have faith that someone in the guild can beat him...\What are you... saying, Mira-nee?\So I'm... giving up...\I won't let you die again.\Mira... nee...\Mira-nee!\No! response:	Come on, wake up!
context: I have faith that someone in the guild can beat him...\What are you... saying, Mira-nee?\So I'm... giving up...\I won't let you die again.\Mira... nee...\Mira-nee!\No!\Come on, wake up! response:	Mira-nee!
context: What are you... saying, Mira-nee?\So I'm... giving up...\I won't let you die again.\Mira... nee...\Mira-nee!\No!\Come on, wake up!\Mira-nee! response:	Mira-nee!!!
context: So I'm... giving up...\I won't let you die again.\Mira... nee...\Mira-nee!\No!\Come on, wake up!\Mira-nee!\Mira-nee!!! response:	The path to Zeref...
context: I won't let you die again.\Mira... nee...\Mira-nee!\No!\Come on, wake up!\Mira-nee!\Mira-nee!!!\The path to Zeref... response:	Too long for me...
context: Mira... nee...\Mira-nee!\No!\Come on, wake up!\Mira-nee!\Mira-nee!!!\The path to Zeref...\Too long for me... response:	But today, finally, my dream will come true.
context: Mira-nee!\No!\Come on, wake up!\Mira-nee!\Mira-nee!!!\The path to Zeref...\Too long for me...\But today, finally, my dream will come true. response:	Once I have Zeref in my hands, I'll be saved.
context: No!\Come on, wake up!\Mira-nee!\Mira-nee!!!\The path to Zeref...\Too long for me...\But today, finally, my dream will come true.\Once I have Zeref in my hands, I'll be saved. response:	Who's there?!
context: Come on, wake up!\Mira-nee!\Mira-nee!!!\The path to Zeref...\Too long for me...\But today, finally, my dream will come true.\Once I have Zeref in my hands, I'll be saved.\Who's there?! response:	Are you looking for me?
context: Mira-nee!\Mira-nee!!!\The path to Zeref...\Too long for me...\But today, finally, my dream will come true.\Once I have Zeref in my hands, I'll be saved.\Who's there?!\Are you looking for me? response:	I see... You people are the seeds of conflict.
context: Mira-nee!!!\The path to Zeref...\Too long for me...\But today, finally, my dream will come true.\Once I have Zeref in my hands, I'll be saved.\Who's there?!\Are you looking for me?\I see... You people are the seeds of conflict. response:	It's so sad...
context: The path to Zeref...\Too long for me...\But today, finally, my dream will come true.\Once I have Zeref in my hands, I'll be saved.\Who's there?!\Are you looking for me?\I see... You people are the seeds of conflict.\It's so sad... response:	Are you okay, Wendy?
context: Too long for me...\But today, finally, my dream will come true.\Once I have Zeref in my hands, I'll be saved.\Who's there?!\Are you looking for me?\I see... You people are the seeds of conflict.\It's so sad...\Are you okay, Wendy? response:	I'm fine. But why won't my healing magic work on these two?
context: But today, finally, my dream will come true.\Once I have Zeref in my hands, I'll be saved.\Who's there?!\Are you looking for me?\I see... You people are the seeds of conflict.\It's so sad...\Are you okay, Wendy?\I'm fine. But why won't my healing magic work on these two? response:	It looks like the Master's wounds are too deep.
context: Once I have Zeref in my hands, I'll be saved.\Who's there?!\Are you looking for me?\I see... You people are the seeds of conflict.\It's so sad...\Are you okay, Wendy?\I'm fine. But why won't my healing magic work on these two?\It looks like the Master's wounds are too deep. response:	With these injuries, no matter how much Sky Magic you use...
context: Who's there?!\Are you looking for me?\I see... You people are the seeds of conflict.\It's so sad...\Are you okay, Wendy?\I'm fine. But why won't my healing magic work on these two?\It looks like the Master's wounds are too deep.\With these injuries, no matter how much Sky Magic you use... response:	What about Natsu?
context: Are you looking for me?\I see... You people are the seeds of conflict.\It's so sad...\Are you okay, Wendy?\I'm fine. But why won't my healing magic work on these two?\It looks like the Master's wounds are too deep.\With these injuries, no matter how much Sky Magic you use...\What about Natsu? response:	I don't know why it doesn't work on Natsu.
context: I see... You people are the seeds of conflict.\It's so sad...\Are you okay, Wendy?\I'm fine. But why won't my healing magic work on these two?\It looks like the Master's wounds are too deep.\With these injuries, no matter how much Sky Magic you use...\What about Natsu?\I don't know why it doesn't work on Natsu. response:	The only thing I can think of is that something is blocking the treatment.
context: It's so sad...\Are you okay, Wendy?\I'm fine. But why won't my healing magic work on these two?\It looks like the Master's wounds are too deep.\With these injuries, no matter how much Sky Magic you use...\What about Natsu?\I don't know why it doesn't work on Natsu.\The only thing I can think of is that something is blocking the treatment. response:	Natsu... Master...
context: Are you okay, Wendy?\I'm fine. But why won't my healing magic work on these two?\It looks like the Master's wounds are too deep.\With these injuries, no matter how much Sky Magic you use...\What about Natsu?\I don't know why it doesn't work on Natsu.\The only thing I can think of is that something is blocking the treatment.\Natsu... Master... response:	Wendy...
context: I'm fine. But why won't my healing magic work on these two?\It looks like the Master's wounds are too deep.\With these injuries, no matter how much Sky Magic you use...\What about Natsu?\I don't know why it doesn't work on Natsu.\The only thing I can think of is that something is blocking the treatment.\Natsu... Master...\Wendy... response:	Master!
context: It looks like the Master's wounds are too deep.\With these injuries, no matter how much Sky Magic you use...\What about Natsu?\I don't know why it doesn't work on Natsu.\The only thing I can think of is that something is blocking the treatment.\Natsu... Master...\Wendy...\Master! response:	You found us...?
context: With these injuries, no matter how much Sky Magic you use...\What about Natsu?\I don't know why it doesn't work on Natsu.\The only thing I can think of is that something is blocking the treatment.\Natsu... Master...\Wendy...\Master!\You found us...? response:	Yes!
context: What about Natsu?\I don't know why it doesn't work on Natsu.\The only thing I can think of is that something is blocking the treatment.\Natsu... Master...\Wendy...\Master!\You found us...?\Yes! response:	Don't worry... about me...
context: I don't know why it doesn't work on Natsu.\The only thing I can think of is that something is blocking the treatment.\Natsu... Master...\Wendy...\Master!\You found us...?\Yes!\Don't worry... about me... response:	Take care... of Natsu...
context: The only thing I can think of is that something is blocking the treatment.\Natsu... Master...\Wendy...\Master!\You found us...?\Yes!\Don't worry... about me...\Take care... of Natsu... response:	No! I promise! I promise that I'll do something!
context: Natsu... Master...\Wendy...\Master!\You found us...?\Yes!\Don't worry... about me...\Take care... of Natsu...\No! I promise! I promise that I'll do something! response:	I promise that I'll help you both!
context: Wendy...\Master!\You found us...?\Yes!\Don't worry... about me...\Take care... of Natsu...\No! I promise! I promise that I'll do something!\I promise that I'll help you both! response:	Natsu's... scarf...
context: Master!\You found us...?\Yes!\Don't worry... about me...\Take care... of Natsu...\No! I promise! I promise that I'll do something!\I promise that I'll help you both!\Natsu's... scarf... response:	Can you put it back... to the way it was?
context: You found us...?\Yes!\Don't worry... about me...\Take care... of Natsu...\No! I promise! I promise that I'll do something!\I promise that I'll help you both!\Natsu's... scarf...\Can you put it back... to the way it was? response:	His scarf?
