context: I felt like such a fool for not noticing until now. response:	For example, the number of piercings they each had, and the way they talked.
context: Say, aren't these nice?\Y-Yes, but we've been looking forward to this concert\so shouldn't we dress up a bit?\You're meeting Ren for the first time in two years!\You're the one who's been looking forward to this.\Why should I also hafta dress up?\It's only a Trapnest concert.\First of all, if she wears those sunglasses, response:	Ren might not recognize her.
context: Y-Yes, but we've been looking forward to this concert\so shouldn't we dress up a bit?\You're meeting Ren for the first time in two years!\You're the one who's been looking forward to this.\Why should I also hafta dress up?\It's only a Trapnest concert.\First of all, if she wears those sunglasses,\Ren might not recognize her. response:	Is she doing this on purpose?
context: so shouldn't we dress up a bit?\You're meeting Ren for the first time in two years!\You're the one who's been looking forward to this.\Why should I also hafta dress up?\It's only a Trapnest concert.\First of all, if she wears those sunglasses,\Ren might not recognize her.\Is she doing this on purpose? response:	Damn, there are a ton of things I want to ask and say to her.
context: You're meeting Ren for the first time in two years!\You're the one who's been looking forward to this.\Why should I also hafta dress up?\It's only a Trapnest concert.\First of all, if she wears those sunglasses,\Ren might not recognize her.\Is she doing this on purpose?\Damn, there are a ton of things I want to ask and say to her. response:	Is this ok?
context: You're the one who's been looking forward to this.\Why should I also hafta dress up?\It's only a Trapnest concert.\First of all, if she wears those sunglasses,\Ren might not recognize her.\Is she doing this on purpose?\Damn, there are a ton of things I want to ask and say to her.\Is this ok? response:	However, right now my top priority is getting Nana to the concert.
context: Why should I also hafta dress up?\It's only a Trapnest concert.\First of all, if she wears those sunglasses,\Ren might not recognize her.\Is she doing this on purpose?\Damn, there are a ton of things I want to ask and say to her.\Is this ok?\However, right now my top priority is getting Nana to the concert. response:	I should be careful not to be too demanding.
context: It's only a Trapnest concert.\First of all, if she wears those sunglasses,\Ren might not recognize her.\Is she doing this on purpose?\Damn, there are a ton of things I want to ask and say to her.\Is this ok?\However, right now my top priority is getting Nana to the concert.\I should be careful not to be too demanding. response:	Want another sugar for yours?
context: First of all, if she wears those sunglasses,\Ren might not recognize her.\Is she doing this on purpose?\Damn, there are a ton of things I want to ask and say to her.\Is this ok?\However, right now my top priority is getting Nana to the concert.\I should be careful not to be too demanding.\Want another sugar for yours? response:	I won't be using any.
context: Ren might not recognize her.\Is she doing this on purpose?\Damn, there are a ton of things I want to ask and say to her.\Is this ok?\However, right now my top priority is getting Nana to the concert.\I should be careful not to be too demanding.\Want another sugar for yours?\I won't be using any. response:	- N-No, I'm fine. - Okay.
context: Is she doing this on purpose?\Damn, there are a ton of things I want to ask and say to her.\Is this ok?\However, right now my top priority is getting Nana to the concert.\I should be careful not to be too demanding.\Want another sugar for yours?\I won't be using any.\- N-No, I'm fine. - Okay. response:	The distance between Nana and Ren is getting shorter and shorter.
context: Damn, there are a ton of things I want to ask and say to her.\Is this ok?\However, right now my top priority is getting Nana to the concert.\I should be careful not to be too demanding.\Want another sugar for yours?\I won't be using any.\- N-No, I'm fine. - Okay.\The distance between Nana and Ren is getting shorter and shorter. response:	- I can't wait to see them. - Huh?!
context: Is this ok?\However, right now my top priority is getting Nana to the concert.\I should be careful not to be too demanding.\Want another sugar for yours?\I won't be using any.\- N-No, I'm fine. - Okay.\The distance between Nana and Ren is getting shorter and shorter.\- I can't wait to see them. - Huh?! response:	Your family.
context: However, right now my top priority is getting Nana to the concert.\I should be careful not to be too demanding.\Want another sugar for yours?\I won't be using any.\- N-No, I'm fine. - Okay.\The distance between Nana and Ren is getting shorter and shorter.\- I can't wait to see them. - Huh?!\Your family. response:	Especially Natsuko. I'm a big fan of hers.
context: I should be careful not to be too demanding.\Want another sugar for yours?\I won't be using any.\- N-No, I'm fine. - Okay.\The distance between Nana and Ren is getting shorter and shorter.\- I can't wait to see them. - Huh?!\Your family.\Especially Natsuko. I'm a big fan of hers. response:	I'm not too comfortable about having you meet them.
context: Want another sugar for yours?\I won't be using any.\- N-No, I'm fine. - Okay.\The distance between Nana and Ren is getting shorter and shorter.\- I can't wait to see them. - Huh?!\Your family.\Especially Natsuko. I'm a big fan of hers.\I'm not too comfortable about having you meet them. response:	My parents are no more than your typical countryside man and woman.
context: I won't be using any.\- N-No, I'm fine. - Okay.\The distance between Nana and Ren is getting shorter and shorter.\- I can't wait to see them. - Huh?!\Your family.\Especially Natsuko. I'm a big fan of hers.\I'm not too comfortable about having you meet them.\My parents are no more than your typical countryside man and woman. response:	My younger sister still wears that dark makeup...
context: - N-No, I'm fine. - Okay.\The distance between Nana and Ren is getting shorter and shorter.\- I can't wait to see them. - Huh?!\Your family.\Especially Natsuko. I'm a big fan of hers.\I'm not too comfortable about having you meet them.\My parents are no more than your typical countryside man and woman.\My younger sister still wears that dark makeup... response:	And my elder sister...
context: The distance between Nana and Ren is getting shorter and shorter.\- I can't wait to see them. - Huh?!\Your family.\Especially Natsuko. I'm a big fan of hers.\I'm not too comfortable about having you meet them.\My parents are no more than your typical countryside man and woman.\My younger sister still wears that dark makeup...\And my elder sister... response:	Nana!
context: - I can't wait to see them. - Huh?!\Your family.\Especially Natsuko. I'm a big fan of hers.\I'm not too comfortable about having you meet them.\My parents are no more than your typical countryside man and woman.\My younger sister still wears that dark makeup...\And my elder sister...\Nana! response:	She's gained even more weight.
context: Your family.\Especially Natsuko. I'm a big fan of hers.\I'm not too comfortable about having you meet them.\My parents are no more than your typical countryside man and woman.\My younger sister still wears that dark makeup...\And my elder sister...\Nana!\She's gained even more weight. response:	They're identical.
context: Especially Natsuko. I'm a big fan of hers.\I'm not too comfortable about having you meet them.\My parents are no more than your typical countryside man and woman.\My younger sister still wears that dark makeup...\And my elder sister...\Nana!\She's gained even more weight.\They're identical. response:	Sorry for making you go through the trouble of picking us up.
context: I'm not too comfortable about having you meet them.\My parents are no more than your typical countryside man and woman.\My younger sister still wears that dark makeup...\And my elder sister...\Nana!\She's gained even more weight.\They're identical.\Sorry for making you go through the trouble of picking us up. response:	Go through the trouble?
context: My parents are no more than your typical countryside man and woman.\My younger sister still wears that dark makeup...\And my elder sister...\Nana!\She's gained even more weight.\They're identical.\Sorry for making you go through the trouble of picking us up.\Go through the trouble? response:	Don't mention it. My workplace is closed today, so I was available.
context: My younger sister still wears that dark makeup...\And my elder sister...\Nana!\She's gained even more weight.\They're identical.\Sorry for making you go through the trouble of picking us up.\Go through the trouble?\Don't mention it. My workplace is closed today, so I was available. response:	In this area you cannot get anywhere without a car.
context: And my elder sister...\Nana!\She's gained even more weight.\They're identical.\Sorry for making you go through the trouble of picking us up.\Go through the trouble?\Don't mention it. My workplace is closed today, so I was available.\In this area you cannot get anywhere without a car. response:	By the way, Nao, could you drive us to the concert?
context: Nana!\She's gained even more weight.\They're identical.\Sorry for making you go through the trouble of picking us up.\Go through the trouble?\Don't mention it. My workplace is closed today, so I was available.\In this area you cannot get anywhere without a car.\By the way, Nao, could you drive us to the concert? response:	Sure. Where is it?
context: She's gained even more weight.\They're identical.\Sorry for making you go through the trouble of picking us up.\Go through the trouble?\Don't mention it. My workplace is closed today, so I was available.\In this area you cannot get anywhere without a car.\By the way, Nao, could you drive us to the concert?\Sure. Where is it? response:	At the Idea Hall. I wanna be there around six.
context: They're identical.\Sorry for making you go through the trouble of picking us up.\Go through the trouble?\Don't mention it. My workplace is closed today, so I was available.\In this area you cannot get anywhere without a car.\By the way, Nao, could you drive us to the concert?\Sure. Where is it?\At the Idea Hall. I wanna be there around six. response:	Then we should leave at around 5:30.
context: Sorry for making you go through the trouble of picking us up.\Go through the trouble?\Don't mention it. My workplace is closed today, so I was available.\In this area you cannot get anywhere without a car.\By the way, Nao, could you drive us to the concert?\Sure. Where is it?\At the Idea Hall. I wanna be there around six.\Then we should leave at around 5:30. response:	Yes! Thank you! I love you, Nao!
context: Go through the trouble?\Don't mention it. My workplace is closed today, so I was available.\In this area you cannot get anywhere without a car.\By the way, Nao, could you drive us to the concert?\Sure. Where is it?\At the Idea Hall. I wanna be there around six.\Then we should leave at around 5:30.\Yes! Thank you! I love you, Nao! response:	Nana, look!
context: Don't mention it. My workplace is closed today, so I was available.\In this area you cannot get anywhere without a car.\By the way, Nao, could you drive us to the concert?\Sure. Where is it?\At the Idea Hall. I wanna be there around six.\Then we should leave at around 5:30.\Yes! Thank you! I love you, Nao!\Nana, look! response:	It's my old specialty college!
context: In this area you cannot get anywhere without a car.\By the way, Nao, could you drive us to the concert?\Sure. Where is it?\At the Idea Hall. I wanna be there around six.\Then we should leave at around 5:30.\Yes! Thank you! I love you, Nao!\Nana, look!\It's my old specialty college! response:	That brings back memories.
context: By the way, Nao, could you drive us to the concert?\Sure. Where is it?\At the Idea Hall. I wanna be there around six.\Then we should leave at around 5:30.\Yes! Thank you! I love you, Nao!\Nana, look!\It's my old specialty college!\That brings back memories. response:	Brings back memories?
context: Sure. Where is it?\At the Idea Hall. I wanna be there around six.\Then we should leave at around 5:30.\Yes! Thank you! I love you, Nao!\Nana, look!\It's my old specialty college!\That brings back memories.\Brings back memories? response:	But you commuted there until only a year ago, right?
context: At the Idea Hall. I wanna be there around six.\Then we should leave at around 5:30.\Yes! Thank you! I love you, Nao!\Nana, look!\It's my old specialty college!\That brings back memories.\Brings back memories?\But you commuted there until only a year ago, right? response:	Oh right. But it seems like ten years ago.
context: Then we should leave at around 5:30.\Yes! Thank you! I love you, Nao!\Nana, look!\It's my old specialty college!\That brings back memories.\Brings back memories?\But you commuted there until only a year ago, right?\Oh right. But it seems like ten years ago. response:	What are you saying?
context: Yes! Thank you! I love you, Nao!\Nana, look!\It's my old specialty college!\That brings back memories.\Brings back memories?\But you commuted there until only a year ago, right?\Oh right. But it seems like ten years ago.\What are you saying? response:	Art school, right? Was it fun?
context: Nana, look!\It's my old specialty college!\That brings back memories.\Brings back memories?\But you commuted there until only a year ago, right?\Oh right. But it seems like ten years ago.\What are you saying?\Art school, right? Was it fun? response:	Mhm. I knew I didn't have much talent in that area,
context: It's my old specialty college!\That brings back memories.\Brings back memories?\But you commuted there until only a year ago, right?\Oh right. But it seems like ten years ago.\What are you saying?\Art school, right? Was it fun?\Mhm. I knew I didn't have much talent in that area, response:	but everyday was so much fun. With Jun-chan and Kyosuke and...
context: That brings back memories.\Brings back memories?\But you commuted there until only a year ago, right?\Oh right. But it seems like ten years ago.\What are you saying?\Art school, right? Was it fun?\Mhm. I knew I didn't have much talent in that area,\but everyday was so much fun. With Jun-chan and Kyosuke and... response:	We hung out together, everyday.
context: Brings back memories?\But you commuted there until only a year ago, right?\Oh right. But it seems like ten years ago.\What are you saying?\Art school, right? Was it fun?\Mhm. I knew I didn't have much talent in that area,\but everyday was so much fun. With Jun-chan and Kyosuke and...\We hung out together, everyday. response:	Oh, Nana. You know, Nami was telling me...
context: But you commuted there until only a year ago, right?\Oh right. But it seems like ten years ago.\What are you saying?\Art school, right? Was it fun?\Mhm. I knew I didn't have much talent in that area,\but everyday was so much fun. With Jun-chan and Kyosuke and...\We hung out together, everyday.\Oh, Nana. You know, Nami was telling me... response:	Are you really living with your boyfriend?
context: Oh right. But it seems like ten years ago.\What are you saying?\Art school, right? Was it fun?\Mhm. I knew I didn't have much talent in that area,\but everyday was so much fun. With Jun-chan and Kyosuke and...\We hung out together, everyday.\Oh, Nana. You know, Nami was telling me...\Are you really living with your boyfriend? response:	It's that guy, right?
context: What are you saying?\Art school, right? Was it fun?\Mhm. I knew I didn't have much talent in that area,\but everyday was so much fun. With Jun-chan and Kyosuke and...\We hung out together, everyday.\Oh, Nana. You know, Nami was telling me...\Are you really living with your boyfriend?\It's that guy, right? response:	The guy who often came by the house while you were in art school... Shoji.
context: Art school, right? Was it fun?\Mhm. I knew I didn't have much talent in that area,\but everyday was so much fun. With Jun-chan and Kyosuke and...\We hung out together, everyday.\Oh, Nana. You know, Nami was telling me...\Are you really living with your boyfriend?\It's that guy, right?\The guy who often came by the house while you were in art school... Shoji. response:	- No! - I believe you're misunderstanding.
context: Mhm. I knew I didn't have much talent in that area,\but everyday was so much fun. With Jun-chan and Kyosuke and...\We hung out together, everyday.\Oh, Nana. You know, Nami was telling me...\Are you really living with your boyfriend?\It's that guy, right?\The guy who often came by the house while you were in art school... Shoji.\- No! - I believe you're misunderstanding. response:	I am Nana's roommate.
context: but everyday was so much fun. With Jun-chan and Kyosuke and...\We hung out together, everyday.\Oh, Nana. You know, Nami was telling me...\Are you really living with your boyfriend?\It's that guy, right?\The guy who often came by the house while you were in art school... Shoji.\- No! - I believe you're misunderstanding.\I am Nana's roommate. response:	Oh? Really?
context: We hung out together, everyday.\Oh, Nana. You know, Nami was telling me...\Are you really living with your boyfriend?\It's that guy, right?\The guy who often came by the house while you were in art school... Shoji.\- No! - I believe you're misunderstanding.\I am Nana's roommate.\Oh? Really? response:	You know, why don't you all come and visit us sometime?
context: Oh, Nana. You know, Nami was telling me...\Are you really living with your boyfriend?\It's that guy, right?\The guy who often came by the house while you were in art school... Shoji.\- No! - I believe you're misunderstanding.\I am Nana's roommate.\Oh? Really?\You know, why don't you all come and visit us sometime? response:	If you see, you'll understand.
context: Are you really living with your boyfriend?\It's that guy, right?\The guy who often came by the house while you were in art school... Shoji.\- No! - I believe you're misunderstanding.\I am Nana's roommate.\Oh? Really?\You know, why don't you all come and visit us sometime?\If you see, you'll understand. response:	What? That Nami, going around spreading rumors again.
context: It's that guy, right?\The guy who often came by the house while you were in art school... Shoji.\- No! - I believe you're misunderstanding.\I am Nana's roommate.\Oh? Really?\You know, why don't you all come and visit us sometime?\If you see, you'll understand.\What? That Nami, going around spreading rumors again. response:	She's gotta be more careful.
context: The guy who often came by the house while you were in art school... Shoji.\- No! - I believe you're misunderstanding.\I am Nana's roommate.\Oh? Really?\You know, why don't you all come and visit us sometime?\If you see, you'll understand.\What? That Nami, going around spreading rumors again.\She's gotta be more careful. response:	I'm glad Nana's with me.
context: - No! - I believe you're misunderstanding.\I am Nana's roommate.\Oh? Really?\You know, why don't you all come and visit us sometime?\If you see, you'll understand.\What? That Nami, going around spreading rumors again.\She's gotta be more careful.\I'm glad Nana's with me. response:	This place has too many memories for me to visit alone.
context: I am Nana's roommate.\Oh? Really?\You know, why don't you all come and visit us sometime?\If you see, you'll understand.\What? That Nami, going around spreading rumors again.\She's gotta be more careful.\I'm glad Nana's with me.\This place has too many memories for me to visit alone. response:	We're back! Mom! Nana's here!
context: Oh? Really?\You know, why don't you all come and visit us sometime?\If you see, you'll understand.\What? That Nami, going around spreading rumors again.\She's gotta be more careful.\I'm glad Nana's with me.\This place has too many memories for me to visit alone.\We're back! Mom! Nana's here! response:	Wow, what a grand house! You're quite the princess.
context: You know, why don't you all come and visit us sometime?\If you see, you'll understand.\What? That Nami, going around spreading rumors again.\She's gotta be more careful.\I'm glad Nana's with me.\This place has too many memories for me to visit alone.\We're back! Mom! Nana's here!\Wow, what a grand house! You're quite the princess. response:	Not really. This is normal. Land is really cheap around here.
