context: Another unusable batch retrieved from Vega. response:	The warp transport deteriorated the Rare Iguras. They're completely ruined.
context: What does that mean? You think you know how she thinks?\Wait, are you and Mikono...\You bet we are!\Goodbye, my first love...\Of course she would...\She's so pretty, there's no way she'd be single.\She's been timid since we were children.\Since you were children. response:	I bet you're engaged or something. That's so romantic...
context: Wait, are you and Mikono...\You bet we are!\Goodbye, my first love...\Of course she would...\She's so pretty, there's no way she'd be single.\She's been timid since we were children.\Since you were children.\I bet you're engaged or something. That's so romantic... response:	Almost everyone in the Suzushiro bloodline is an Element.
context: You bet we are!\Goodbye, my first love...\Of course she would...\She's so pretty, there's no way she'd be single.\She's been timid since we were children.\Since you were children.\I bet you're engaged or something. That's so romantic...\Almost everyone in the Suzushiro bloodline is an Element. response:	I am. Our parents were.
context: Goodbye, my first love...\Of course she would...\She's so pretty, there's no way she'd be single.\She's been timid since we were children.\Since you were children.\I bet you're engaged or something. That's so romantic...\Almost everyone in the Suzushiro bloodline is an Element.\I am. Our parents were. response:	And a noble bloodline! You're perfect for each other.
context: Of course she would...\She's so pretty, there's no way she'd be single.\She's been timid since we were children.\Since you were children.\I bet you're engaged or something. That's so romantic...\Almost everyone in the Suzushiro bloodline is an Element.\I am. Our parents were.\And a noble bloodline! You're perfect for each other. response:	But only my sister, Mikono, never developed any powers.
context: She's so pretty, there's no way she'd be single.\She's been timid since we were children.\Since you were children.\I bet you're engaged or something. That's so romantic...\Almost everyone in the Suzushiro bloodline is an Element.\I am. Our parents were.\And a noble bloodline! You're perfect for each other.\But only my sister, Mikono, never developed any powers. response:	And your sister, to b
context: She's been timid since we were children.\Since you were children.\I bet you're engaged or something. That's so romantic...\Almost everyone in the Suzushiro bloodline is an Element.\I am. Our parents were.\And a noble bloodline! You're perfect for each other.\But only my sister, Mikono, never developed any powers.\And your sister, to b response:	Your SISTER?
context: Since you were children.\I bet you're engaged or something. That's so romantic...\Almost everyone in the Suzushiro bloodline is an Element.\I am. Our parents were.\And a noble bloodline! You're perfect for each other.\But only my sister, Mikono, never developed any powers.\And your sister, to b\Your SISTER? response:	Her lack of power made her timid and shy.
context: I bet you're engaged or something. That's so romantic...\Almost everyone in the Suzushiro bloodline is an Element.\I am. Our parents were.\And a noble bloodline! You're perfect for each other.\But only my sister, Mikono, never developed any powers.\And your sister, to b\Your SISTER?\Her lack of power made her timid and shy. response:	She was so afraid of the Abductors, she wouldn't even leave the house without me.
context: Almost everyone in the Suzushiro bloodline is an Element.\I am. Our parents were.\And a noble bloodline! You're perfect for each other.\But only my sister, Mikono, never developed any powers.\And your sister, to b\Your SISTER?\Her lack of power made her timid and shy.\She was so afraid of the Abductors, she wouldn't even leave the house without me. response:	You're kidding. But she told me...
context: I am. Our parents were.\And a noble bloodline! You're perfect for each other.\But only my sister, Mikono, never developed any powers.\And your sister, to b\Your SISTER?\Her lack of power made her timid and shy.\She was so afraid of the Abductors, she wouldn't even leave the house without me.\You're kidding. But she told me... response:	I can't stand being cooped up at home.
context: And a noble bloodline! You're perfect for each other.\But only my sister, Mikono, never developed any powers.\And your sister, to b\Your SISTER?\Her lack of power made her timid and shy.\She was so afraid of the Abductors, she wouldn't even leave the house without me.\You're kidding. But she told me...\I can't stand being cooped up at home. response:	I have to get some sun!
context: But only my sister, Mikono, never developed any powers.\And your sister, to b\Your SISTER?\Her lack of power made her timid and shy.\She was so afraid of the Abductors, she wouldn't even leave the house without me.\You're kidding. But she told me...\I can't stand being cooped up at home.\I have to get some sun! response:	Mikono wouldn't get into an Aquaria on her own.
context: And your sister, to b\Your SISTER?\Her lack of power made her timid and shy.\She was so afraid of the Abductors, she wouldn't even leave the house without me.\You're kidding. But she told me...\I can't stand being cooped up at home.\I have to get some sun!\Mikono wouldn't get into an Aquaria on her own. response:	She's been a coward since birth.
context: Your SISTER?\Her lack of power made her timid and shy.\She was so afraid of the Abductors, she wouldn't even leave the house without me.\You're kidding. But she told me...\I can't stand being cooped up at home.\I have to get some sun!\Mikono wouldn't get into an Aquaria on her own.\She's been a coward since birth. response:	I realize I haven't known her for very long,
context: Her lack of power made her timid and shy.\She was so afraid of the Abductors, she wouldn't even leave the house without me.\You're kidding. But she told me...\I can't stand being cooped up at home.\I have to get some sun!\Mikono wouldn't get into an Aquaria on her own.\She's been a coward since birth.\I realize I haven't known her for very long, response:	but I think she's changed since then.
context: She was so afraid of the Abductors, she wouldn't even leave the house without me.\You're kidding. But she told me...\I can't stand being cooped up at home.\I have to get some sun!\Mikono wouldn't get into an Aquaria on her own.\She's been a coward since birth.\I realize I haven't known her for very long,\but I think she's changed since then. response:	What?
context: You're kidding. But she told me...\I can't stand being cooped up at home.\I have to get some sun!\Mikono wouldn't get into an Aquaria on her own.\She's been a coward since birth.\I realize I haven't known her for very long,\but I think she's changed since then.\What? response:	Mikono is really trying to change herself!
context: I can't stand being cooped up at home.\I have to get some sun!\Mikono wouldn't get into an Aquaria on her own.\She's been a coward since birth.\I realize I haven't known her for very long,\but I think she's changed since then.\What?\Mikono is really trying to change herself! response:	I mean, that's... what I think... kinda?
context: I have to get some sun!\Mikono wouldn't get into an Aquaria on her own.\She's been a coward since birth.\I realize I haven't known her for very long,\but I think she's changed since then.\What?\Mikono is really trying to change herself!\I mean, that's... what I think... kinda? response:	How's it sound to you, Mr. Mikono's Older Brother?
context: Mikono wouldn't get into an Aquaria on her own.\She's been a coward since birth.\I realize I haven't known her for very long,\but I think she's changed since then.\What?\Mikono is really trying to change herself!\I mean, that's... what I think... kinda?\How's it sound to you, Mr. Mikono's Older Brother? response:	How dare you!
context: She's been a coward since birth.\I realize I haven't known her for very long,\but I think she's changed since then.\What?\Mikono is really trying to change herself!\I mean, that's... what I think... kinda?\How's it sound to you, Mr. Mikono's Older Brother?\How dare you! response:	Hey!
context: I realize I haven't known her for very long,\but I think she's changed since then.\What?\Mikono is really trying to change herself!\I mean, that's... what I think... kinda?\How's it sound to you, Mr. Mikono's Older Brother?\How dare you!\Hey! response:	Keep the noise down on school grounds,
context: but I think she's changed since then.\What?\Mikono is really trying to change herself!\I mean, that's... what I think... kinda?\How's it sound to you, Mr. Mikono's Older Brother?\How dare you!\Hey!\Keep the noise down on school grounds, response:	or I'll twist you like spaghetti.
context: What?\Mikono is really trying to change herself!\I mean, that's... what I think... kinda?\How's it sound to you, Mr. Mikono's Older Brother?\How dare you!\Hey!\Keep the noise down on school grounds,\or I'll twist you like spaghetti. response:	Professor Donar!
context: Mikono is really trying to change herself!\I mean, that's... what I think... kinda?\How's it sound to you, Mr. Mikono's Older Brother?\How dare you!\Hey!\Keep the noise down on school grounds,\or I'll twist you like spaghetti.\Professor Donar! response:	Professor?!
context: I mean, that's... what I think... kinda?\How's it sound to you, Mr. Mikono's Older Brother?\How dare you!\Hey!\Keep the noise down on school grounds,\or I'll twist you like spaghetti.\Professor Donar!\Professor?! response:	Listen, redhead.
context: How's it sound to you, Mr. Mikono's Older Brother?\How dare you!\Hey!\Keep the noise down on school grounds,\or I'll twist you like spaghetti.\Professor Donar!\Professor?!\Listen, redhead. response:	We're gonna be testing you this afternoon.
context: How dare you!\Hey!\Keep the noise down on school grounds,\or I'll twist you like spaghetti.\Professor Donar!\Professor?!\Listen, redhead.\We're gonna be testing you this afternoon. response:	You'd better eat up.
context: Hey!\Keep the noise down on school grounds,\or I'll twist you like spaghetti.\Professor Donar!\Professor?!\Listen, redhead.\We're gonna be testing you this afternoon.\You'd better eat up. response:	This test is going to determine whether we're keeping you here or not.
context: Keep the noise down on school grounds,\or I'll twist you like spaghetti.\Professor Donar!\Professor?!\Listen, redhead.\We're gonna be testing you this afternoon.\You'd better eat up.\This test is going to determine whether we're keeping you here or not. response:	As an Element pilot.
context: or I'll twist you like spaghetti.\Professor Donar!\Professor?!\Listen, redhead.\We're gonna be testing you this afternoon.\You'd better eat up.\This test is going to determine whether we're keeping you here or not.\As an Element pilot. response:	You're making me an Element pilot for one of the Aquarias?
context: Professor Donar!\Professor?!\Listen, redhead.\We're gonna be testing you this afternoon.\You'd better eat up.\This test is going to determine whether we're keeping you here or not.\As an Element pilot.\You're making me an Element pilot for one of the Aquarias? response:	No. Not an Aquaria.
context: Professor?!\Listen, redhead.\We're gonna be testing you this afternoon.\You'd better eat up.\This test is going to determine whether we're keeping you here or not.\As an Element pilot.\You're making me an Element pilot for one of the Aquarias?\No. Not an Aquaria. response:	You've gone and undone the seal.
context: Listen, redhead.\We're gonna be testing you this afternoon.\You'd better eat up.\This test is going to determine whether we're keeping you here or not.\As an Element pilot.\You're making me an Element pilot for one of the Aquarias?\No. Not an Aquaria.\You've gone and undone the seal. response:	You're gonna pilot Aquarion.
context: We're gonna be testing you this afternoon.\You'd better eat up.\This test is going to determine whether we're keeping you here or not.\As an Element pilot.\You're making me an Element pilot for one of the Aquarias?\No. Not an Aquaria.\You've gone and undone the seal.\You're gonna pilot Aquarion. response:	Currently, there's nothing particularly wrong with his body.
context: You'd better eat up.\This test is going to determine whether we're keeping you here or not.\As an Element pilot.\You're making me an Element pilot for one of the Aquarias?\No. Not an Aquaria.\You've gone and undone the seal.\You're gonna pilot Aquarion.\Currently, there's nothing particularly wrong with his body. response:	It looks like his Element power is antigravity.
context: This test is going to determine whether we're keeping you here or not.\As an Element pilot.\You're making me an Element pilot for one of the Aquarias?\No. Not an Aquaria.\You've gone and undone the seal.\You're gonna pilot Aquarion.\Currently, there's nothing particularly wrong with his body.\It looks like his Element power is antigravity. response:	Whenever he experiences a sudden surge in emotion, his body floats upwards.
context: As an Element pilot.\You're making me an Element pilot for one of the Aquarias?\No. Not an Aquaria.\You've gone and undone the seal.\You're gonna pilot Aquarion.\Currently, there's nothing particularly wrong with his body.\It looks like his Element power is antigravity.\Whenever he experiences a sudden surge in emotion, his body floats upwards. response:	Tooo muuuch!
context: You're making me an Element pilot for one of the Aquarias?\No. Not an Aquaria.\You've gone and undone the seal.\You're gonna pilot Aquarion.\Currently, there's nothing particularly wrong with his body.\It looks like his Element power is antigravity.\Whenever he experiences a sudden surge in emotion, his body floats upwards.\Tooo muuuch! response:	So you could say he's anything but down to earth.
context: No. Not an Aquaria.\You've gone and undone the seal.\You're gonna pilot Aquarion.\Currently, there's nothing particularly wrong with his body.\It looks like his Element power is antigravity.\Whenever he experiences a sudden surge in emotion, his body floats upwards.\Tooo muuuch!\So you could say he's anything but down to earth. response:	But flying doesn't explain how he broke the Guize Stones' barrier.
context: You've gone and undone the seal.\You're gonna pilot Aquarion.\Currently, there's nothing particularly wrong with his body.\It looks like his Element power is antigravity.\Whenever he experiences a sudden surge in emotion, his body floats upwards.\Tooo muuuch!\So you could say he's anything but down to earth.\But flying doesn't explain how he broke the Guize Stones' barrier. response:	There must be a reason other than his Element power.
context: You're gonna pilot Aquarion.\Currently, there's nothing particularly wrong with his body.\It looks like his Element power is antigravity.\Whenever he experiences a sudden surge in emotion, his body floats upwards.\Tooo muuuch!\So you could say he's anything but down to earth.\But flying doesn't explain how he broke the Guize Stones' barrier.\There must be a reason other than his Element power. response:	It doesn't matter.
context: Currently, there's nothing particularly wrong with his body.\It looks like his Element power is antigravity.\Whenever he experiences a sudden surge in emotion, his body floats upwards.\Tooo muuuch!\So you could say he's anything but down to earth.\But flying doesn't explain how he broke the Guize Stones' barrier.\There must be a reason other than his Element power.\It doesn't matter. response:	That forbidden Aquarion is all we have to combat such powerful foes.
context: It looks like his Element power is antigravity.\Whenever he experiences a sudden surge in emotion, his body floats upwards.\Tooo muuuch!\So you could say he's anything but down to earth.\But flying doesn't explain how he broke the Guize Stones' barrier.\There must be a reason other than his Element power.\It doesn't matter.\That forbidden Aquarion is all we have to combat such powerful foes. response:	I'm afraid I can't agree, Principal.
context: Whenever he experiences a sudden surge in emotion, his body floats upwards.\Tooo muuuch!\So you could say he's anything but down to earth.\But flying doesn't explain how he broke the Guize Stones' barrier.\There must be a reason other than his Element power.\It doesn't matter.\That forbidden Aquarion is all we have to combat such powerful foes.\I'm afraid I can't agree, Principal. response:	We would only cause the disaster to repeat itself!
context: Tooo muuuch!\So you could say he's anything but down to earth.\But flying doesn't explain how he broke the Guize Stones' barrier.\There must be a reason other than his Element power.\It doesn't matter.\That forbidden Aquarion is all we have to combat such powerful foes.\I'm afraid I can't agree, Principal.\We would only cause the disaster to repeat itself! response:	What disaster?
context: So you could say he's anything but down to earth.\But flying doesn't explain how he broke the Guize Stones' barrier.\There must be a reason other than his Element power.\It doesn't matter.\That forbidden Aquarion is all we have to combat such powerful foes.\I'm afraid I can't agree, Principal.\We would only cause the disaster to repeat itself!\What disaster? response:	Excuse me, but what is this?
context: But flying doesn't explain how he broke the Guize Stones' barrier.\There must be a reason other than his Element power.\It doesn't matter.\That forbidden Aquarion is all we have to combat such powerful foes.\I'm afraid I can't agree, Principal.\We would only cause the disaster to repeat itself!\What disaster?\Excuse me, but what is this? response:	Just relax and accept whatever you see.
context: There must be a reason other than his Element power.\It doesn't matter.\That forbidden Aquarion is all we have to combat such powerful foes.\I'm afraid I can't agree, Principal.\We would only cause the disaster to repeat itself!\What disaster?\Excuse me, but what is this?\Just relax and accept whatever you see. response:	He called out Aquarion's true name,
context: It doesn't matter.\That forbidden Aquarion is all we have to combat such powerful foes.\I'm afraid I can't agree, Principal.\We would only cause the disaster to repeat itself!\What disaster?\Excuse me, but what is this?\Just relax and accept whatever you see.\He called out Aquarion's true name, response:	controlled Evol, an unknown machine, in his first combat,
