context: Yo, pay your rent, dumbass! Scum! response:	Korai House Landlord Daihatsu Meika
context: You know how the air's been really dry lately?\That's why you screamed like that?\Yeah, it's refreshing to scream.\That's why...\Huh, it sounded like a beast's roar.\Of course not!\We can't have pets in Korai House, right?\Hey! What was it that time? response:	Man, I'm itchy!
context: That's why you screamed like that?\Yeah, it's refreshing to scream.\That's why...\Huh, it sounded like a beast's roar.\Of course not!\We can't have pets in Korai House, right?\Hey! What was it that time?\Man, I'm itchy! response:	I'm so itchy...
context: Yeah, it's refreshing to scream.\That's why...\Huh, it sounded like a beast's roar.\Of course not!\We can't have pets in Korai House, right?\Hey! What was it that time?\Man, I'm itchy!\I'm so itchy... response:	Wait, you're telling me that sound was you scratching yourself?
context: That's why...\Huh, it sounded like a beast's roar.\Of course not!\We can't have pets in Korai House, right?\Hey! What was it that time?\Man, I'm itchy!\I'm so itchy...\Wait, you're telling me that sound was you scratching yourself? response:	I have dry skin.
context: Huh, it sounded like a beast's roar.\Of course not!\We can't have pets in Korai House, right?\Hey! What was it that time?\Man, I'm itchy!\I'm so itchy...\Wait, you're telling me that sound was you scratching yourself?\I have dry skin. response:	Hold up!
context: Of course not!\We can't have pets in Korai House, right?\Hey! What was it that time?\Man, I'm itchy!\I'm so itchy...\Wait, you're telling me that sound was you scratching yourself?\I have dry skin.\Hold up! response:	You're scratching way too much!
context: We can't have pets in Korai House, right?\Hey! What was it that time?\Man, I'm itchy!\I'm so itchy...\Wait, you're telling me that sound was you scratching yourself?\I have dry skin.\Hold up!\You're scratching way too much! response:	I just picked a scab.
context: Hey! What was it that time?\Man, I'm itchy!\I'm so itchy...\Wait, you're telling me that sound was you scratching yourself?\I have dry skin.\Hold up!\You're scratching way too much!\I just picked a scab. response:	That's a huge scab.
context: Man, I'm itchy!\I'm so itchy...\Wait, you're telling me that sound was you scratching yourself?\I have dry skin.\Hold up!\You're scratching way too much!\I just picked a scab.\That's a huge scab. response:	There's an ahem bug caught in my throat.
context: I'm so itchy...\Wait, you're telling me that sound was you scratching yourself?\I have dry skin.\Hold up!\You're scratching way too much!\I just picked a scab.\That's a huge scab.\There's an ahem bug caught in my throat. response:	Are you seriously okay?
context: Wait, you're telling me that sound was you scratching yourself?\I have dry skin.\Hold up!\You're scratching way too much!\I just picked a scab.\That's a huge scab.\There's an ahem bug caught in my throat.\Are you seriously okay? response:	Um, yeah, I'm fine. I'm good now.
context: I have dry skin.\Hold up!\You're scratching way too much!\I just picked a scab.\That's a huge scab.\There's an ahem bug caught in my throat.\Are you seriously okay?\Um, yeah, I'm fine. I'm good now. response:	I don't know what's going on, but you should go to the hospital.
context: Hold up!\You're scratching way too much!\I just picked a scab.\That's a huge scab.\There's an ahem bug caught in my throat.\Are you seriously okay?\Um, yeah, I'm fine. I'm good now.\I don't know what's going on, but you should go to the hospital. response:	Later.
context: You're scratching way too much!\I just picked a scab.\That's a huge scab.\There's an ahem bug caught in my throat.\Are you seriously okay?\Um, yeah, I'm fine. I'm good now.\I don't know what's going on, but you should go to the hospital.\Later. response:	The Lace of Compassion
context: I just picked a scab.\That's a huge scab.\There's an ahem bug caught in my throat.\Are you seriously okay?\Um, yeah, I'm fine. I'm good now.\I don't know what's going on, but you should go to the hospital.\Later.\The Lace of Compassion response:	Right now, you're like a baby sucking on a breast.
context: That's a huge scab.\There's an ahem bug caught in my throat.\Are you seriously okay?\Um, yeah, I'm fine. I'm good now.\I don't know what's going on, but you should go to the hospital.\Later.\The Lace of Compassion\Right now, you're like a baby sucking on a breast. response:	No one knows when you'll wake up to suck on the breast,
context: There's an ahem bug caught in my throat.\Are you seriously okay?\Um, yeah, I'm fine. I'm good now.\I don't know what's going on, but you should go to the hospital.\Later.\The Lace of Compassion\Right now, you're like a baby sucking on a breast.\No one knows when you'll wake up to suck on the breast, response:	and no one knows when you'll finish sucking on the breast
context: Are you seriously okay?\Um, yeah, I'm fine. I'm good now.\I don't know what's going on, but you should go to the hospital.\Later.\The Lace of Compassion\Right now, you're like a baby sucking on a breast.\No one knows when you'll wake up to suck on the breast,\and no one knows when you'll finish sucking on the breast response:	and go back to sleep.
context: Um, yeah, I'm fine. I'm good now.\I don't know what's going on, but you should go to the hospital.\Later.\The Lace of Compassion\Right now, you're like a baby sucking on a breast.\No one knows when you'll wake up to suck on the breast,\and no one knows when you'll finish sucking on the breast\and go back to sleep. response:	You just want an excuse to say breast, don't you?
context: I don't know what's going on, but you should go to the hospital.\Later.\The Lace of Compassion\Right now, you're like a baby sucking on a breast.\No one knows when you'll wake up to suck on the breast,\and no one knows when you'll finish sucking on the breast\and go back to sleep.\You just want an excuse to say breast, don't you? response:	The point is, a newly disembodied spirit's moment of awakening is erratic.
context: Later.\The Lace of Compassion\Right now, you're like a baby sucking on a breast.\No one knows when you'll wake up to suck on the breast,\and no one knows when you'll finish sucking on the breast\and go back to sleep.\You just want an excuse to say breast, don't you?\The point is, a newly disembodied spirit's moment of awakening is erratic. response:	The bus hijacking was on the 21st, and today's the 23rd.
context: The Lace of Compassion\Right now, you're like a baby sucking on a breast.\No one knows when you'll wake up to suck on the breast,\and no one knows when you'll finish sucking on the breast\and go back to sleep.\You just want an excuse to say breast, don't you?\The point is, a newly disembodied spirit's moment of awakening is erratic.\The bus hijacking was on the 21st, and today's the 23rd. response:	Is that why I missed a day?
context: Right now, you're like a baby sucking on a breast.\No one knows when you'll wake up to suck on the breast,\and no one knows when you'll finish sucking on the breast\and go back to sleep.\You just want an excuse to say breast, don't you?\The point is, a newly disembodied spirit's moment of awakening is erratic.\The bus hijacking was on the 21st, and today's the 23rd.\Is that why I missed a day? response:	Yes.
context: No one knows when you'll wake up to suck on the breast,\and no one knows when you'll finish sucking on the breast\and go back to sleep.\You just want an excuse to say breast, don't you?\The point is, a newly disembodied spirit's moment of awakening is erratic.\The bus hijacking was on the 21st, and today's the 23rd.\Is that why I missed a day?\Yes. response:	Then I could go back in time like before
context: and no one knows when you'll finish sucking on the breast\and go back to sleep.\You just want an excuse to say breast, don't you?\The point is, a newly disembodied spirit's moment of awakening is erratic.\The bus hijacking was on the 21st, and today's the 23rd.\Is that why I missed a day?\Yes.\Then I could go back in time like before response:	No, you can't.
context: and go back to sleep.\You just want an excuse to say breast, don't you?\The point is, a newly disembodied spirit's moment of awakening is erratic.\The bus hijacking was on the 21st, and today's the 23rd.\Is that why I missed a day?\Yes.\Then I could go back in time like before\No, you can't. response:	At your current level,
context: You just want an excuse to say breast, don't you?\The point is, a newly disembodied spirit's moment of awakening is erratic.\The bus hijacking was on the 21st, and today's the 23rd.\Is that why I missed a day?\Yes.\Then I could go back in time like before\No, you can't.\At your current level, response:	you can only land at the bottom of the Space-Time Valley.
context: The point is, a newly disembodied spirit's moment of awakening is erratic.\The bus hijacking was on the 21st, and today's the 23rd.\Is that why I missed a day?\Yes.\Then I could go back in time like before\No, you can't.\At your current level,\you can only land at the bottom of the Space-Time Valley. response:	What the heck is a Space-Time Valley?
context: The bus hijacking was on the 21st, and today's the 23rd.\Is that why I missed a day?\Yes.\Then I could go back in time like before\No, you can't.\At your current level,\you can only land at the bottom of the Space-Time Valley.\What the heck is a Space-Time Valley? response:	The valley between the countless breasts spread across space-time.
context: Is that why I missed a day?\Yes.\Then I could go back in time like before\No, you can't.\At your current level,\you can only land at the bottom of the Space-Time Valley.\What the heck is a Space-Time Valley?\The valley between the countless breasts spread across space-time. response:	You can call it the Boobies Valley if you want.
context: Yes.\Then I could go back in time like before\No, you can't.\At your current level,\you can only land at the bottom of the Space-Time Valley.\What the heck is a Space-Time Valley?\The valley between the countless breasts spread across space-time.\You can call it the Boobies Valley if you want. response:	No way.
context: Then I could go back in time like before\No, you can't.\At your current level,\you can only land at the bottom of the Space-Time Valley.\What the heck is a Space-Time Valley?\The valley between the countless breasts spread across space-time.\You can call it the Boobies Valley if you want.\No way. response:	With a low spirit power level, even if you land near a nipple,
context: No, you can't.\At your current level,\you can only land at the bottom of the Space-Time Valley.\What the heck is a Space-Time Valley?\The valley between the countless breasts spread across space-time.\You can call it the Boobies Valley if you want.\No way.\With a low spirit power level, even if you land near a nipple, response:	you'll slip towards the bottom of the valley.
context: At your current level,\you can only land at the bottom of the Space-Time Valley.\What the heck is a Space-Time Valley?\The valley between the countless breasts spread across space-time.\You can call it the Boobies Valley if you want.\No way.\With a low spirit power level, even if you land near a nipple,\you'll slip towards the bottom of the valley. response:	Do you have to use boob analogies to explain everything?!
context: you can only land at the bottom of the Space-Time Valley.\What the heck is a Space-Time Valley?\The valley between the countless breasts spread across space-time.\You can call it the Boobies Valley if you want.\No way.\With a low spirit power level, even if you land near a nipple,\you'll slip towards the bottom of the valley.\Do you have to use boob analogies to explain everything?! response:	Just look at this.
context: What the heck is a Space-Time Valley?\The valley between the countless breasts spread across space-time.\You can call it the Boobies Valley if you want.\No way.\With a low spirit power level, even if you land near a nipple,\you'll slip towards the bottom of the valley.\Do you have to use boob analogies to explain everything?!\Just look at this. response:	Dude, seriously, what's up with that?!
context: The valley between the countless breasts spread across space-time.\You can call it the Boobies Valley if you want.\No way.\With a low spirit power level, even if you land near a nipple,\you'll slip towards the bottom of the valley.\Do you have to use boob analogies to explain everything?!\Just look at this.\Dude, seriously, what's up with that?! response:	You let me see those on purpose, don't you?
context: You can call it the Boobies Valley if you want.\No way.\With a low spirit power level, even if you land near a nipple,\you'll slip towards the bottom of the valley.\Do you have to use boob analogies to explain everything?!\Just look at this.\Dude, seriously, what's up with that?!\You let me see those on purpose, don't you? response:	What the hell is he doing?
context: No way.\With a low spirit power level, even if you land near a nipple,\you'll slip towards the bottom of the valley.\Do you have to use boob analogies to explain everything?!\Just look at this.\Dude, seriously, what's up with that?!\You let me see those on purpose, don't you?\What the hell is he doing? response:	There must be something suspicious in that box.
context: With a low spirit power level, even if you land near a nipple,\you'll slip towards the bottom of the valley.\Do you have to use boob analogies to explain everything?!\Just look at this.\Dude, seriously, what's up with that?!\You let me see those on purpose, don't you?\What the hell is he doing?\There must be something suspicious in that box. response:	But who took my body, anyway?
context: you'll slip towards the bottom of the valley.\Do you have to use boob analogies to explain everything?!\Just look at this.\Dude, seriously, what's up with that?!\You let me see those on purpose, don't you?\What the hell is he doing?\There must be something suspicious in that box.\But who took my body, anyway? response:	It's definitely a spirit entity.
context: Do you have to use boob analogies to explain everything?!\Just look at this.\Dude, seriously, what's up with that?!\You let me see those on purpose, don't you?\What the hell is he doing?\There must be something suspicious in that box.\But who took my body, anyway?\It's definitely a spirit entity. response:	Otherwise, it couldn't possess you.
context: Just look at this.\Dude, seriously, what's up with that?!\You let me see those on purpose, don't you?\What the hell is he doing?\There must be something suspicious in that box.\But who took my body, anyway?\It's definitely a spirit entity.\Otherwise, it couldn't possess you. response:	For now, I'll have to focus on finding the Nandala Gandala.
context: Dude, seriously, what's up with that?!\You let me see those on purpose, don't you?\What the hell is he doing?\There must be something suspicious in that box.\But who took my body, anyway?\It's definitely a spirit entity.\Otherwise, it couldn't possess you.\For now, I'll have to focus on finding the Nandala Gandala. response:	Then I can get a grip on all my problems.
context: You let me see those on purpose, don't you?\What the hell is he doing?\There must be something suspicious in that box.\But who took my body, anyway?\It's definitely a spirit entity.\Otherwise, it couldn't possess you.\For now, I'll have to focus on finding the Nandala Gandala.\Then I can get a grip on all my problems. response:	Like a pair of boobies.
context: What the hell is he doing?\There must be something suspicious in that box.\But who took my body, anyway?\It's definitely a spirit entity.\Otherwise, it couldn't possess you.\For now, I'll have to focus on finding the Nandala Gandala.\Then I can get a grip on all my problems.\Like a pair of boobies. response:	Enough!
context: There must be something suspicious in that box.\But who took my body, anyway?\It's definitely a spirit entity.\Otherwise, it couldn't possess you.\For now, I'll have to focus on finding the Nandala Gandala.\Then I can get a grip on all my problems.\Like a pair of boobies.\Enough! response:	Oh, what's wrong, Miyako-chan? You look upset.
context: But who took my body, anyway?\It's definitely a spirit entity.\Otherwise, it couldn't possess you.\For now, I'll have to focus on finding the Nandala Gandala.\Then I can get a grip on all my problems.\Like a pair of boobies.\Enough!\Oh, what's wrong, Miyako-chan? You look upset. response:	Doctor, my friend's had her heart broken.
context: It's definitely a spirit entity.\Otherwise, it couldn't possess you.\For now, I'll have to focus on finding the Nandala Gandala.\Then I can get a grip on all my problems.\Like a pair of boobies.\Enough!\Oh, what's wrong, Miyako-chan? You look upset.\Doctor, my friend's had her heart broken. response:	She's really depressed.
context: Otherwise, it couldn't possess you.\For now, I'll have to focus on finding the Nandala Gandala.\Then I can get a grip on all my problems.\Like a pair of boobies.\Enough!\Oh, what's wrong, Miyako-chan? You look upset.\Doctor, my friend's had her heart broken.\She's really depressed. response:	Then you need Cheermancy.
context: For now, I'll have to focus on finding the Nandala Gandala.\Then I can get a grip on all my problems.\Like a pair of boobies.\Enough!\Oh, what's wrong, Miyako-chan? You look upset.\Doctor, my friend's had her heart broken.\She's really depressed.\Then you need Cheermancy. response:	Cheermancy
context: Then I can get a grip on all my problems.\Like a pair of boobies.\Enough!\Oh, what's wrong, Miyako-chan? You look upset.\Doctor, my friend's had her heart broken.\She's really depressed.\Then you need Cheermancy.\Cheermancy response:	Make him smile again!
context: Like a pair of boobies.\Enough!\Oh, what's wrong, Miyako-chan? You look upset.\Doctor, my friend's had her heart broken.\She's really depressed.\Then you need Cheermancy.\Cheermancy\Make him smile again! response:	Cheermancy?
context: Enough!\Oh, what's wrong, Miyako-chan? You look upset.\Doctor, my friend's had her heart broken.\She's really depressed.\Then you need Cheermancy.\Cheermancy\Make him smile again!\Cheermancy? response:	Written with happiness and cheer. Cheermancy.
context: Oh, what's wrong, Miyako-chan? You look upset.\Doctor, my friend's had her heart broken.\She's really depressed.\Then you need Cheermancy.\Cheermancy\Make him smile again!\Cheermancy?\Written with happiness and cheer. Cheermancy. response:	With this technique developed by NASA,
context: Doctor, my friend's had her heart broken.\She's really depressed.\Then you need Cheermancy.\Cheermancy\Make him smile again!\Cheermancy?\Written with happiness and cheer. Cheermancy.\With this technique developed by NASA, response:	you can be rid of all your woes in the blink of an eye!
context: She's really depressed.\Then you need Cheermancy.\Cheermancy\Make him smile again!\Cheermancy?\Written with happiness and cheer. Cheermancy.\With this technique developed by NASA,\you can be rid of all your woes in the blink of an eye! response:	My, how wonderful!
context: Then you need Cheermancy.\Cheermancy\Make him smile again!\Cheermancy?\Written with happiness and cheer. Cheermancy.\With this technique developed by NASA,\you can be rid of all your woes in the blink of an eye!\My, how wonderful! response:	Now, let's have the doctor teach us how it works.
context: Cheermancy\Make him smile again!\Cheermancy?\Written with happiness and cheer. Cheermancy.\With this technique developed by NASA,\you can be rid of all your woes in the blink of an eye!\My, how wonderful!\Now, let's have the doctor teach us how it works. response:	* Please prepare the included Mask 1.
context: Make him smile again!\Cheermancy?\Written with happiness and cheer. Cheermancy.\With this technique developed by NASA,\you can be rid of all your woes in the blink of an eye!\My, how wonderful!\Now, let's have the doctor teach us how it works.\* Please prepare the included Mask 1. response:	Turtle, turtle.
context: Cheermancy?\Written with happiness and cheer. Cheermancy.\With this technique developed by NASA,\you can be rid of all your woes in the blink of an eye!\My, how wonderful!\Now, let's have the doctor teach us how it works.\* Please prepare the included Mask 1.\Turtle, turtle. response:	Are you an exorcist, Rabura-san?
context: Written with happiness and cheer. Cheermancy.\With this technique developed by NASA,\you can be rid of all your woes in the blink of an eye!\My, how wonderful!\Now, let's have the doctor teach us how it works.\* Please prepare the included Mask 1.\Turtle, turtle.\Are you an exorcist, Rabura-san? response:	Gliese
context: With this technique developed by NASA,\you can be rid of all your woes in the blink of an eye!\My, how wonderful!\Now, let's have the doctor teach us how it works.\* Please prepare the included Mask 1.\Turtle, turtle.\Are you an exorcist, Rabura-san?\Gliese response:	Yes, sort of...
context: you can be rid of all your woes in the blink of an eye!\My, how wonderful!\Now, let's have the doctor teach us how it works.\* Please prepare the included Mask 1.\Turtle, turtle.\Are you an exorcist, Rabura-san?\Gliese\Yes, sort of... response:	What a great occupation!
context: My, how wonderful!\Now, let's have the doctor teach us how it works.\* Please prepare the included Mask 1.\Turtle, turtle.\Are you an exorcist, Rabura-san?\Gliese\Yes, sort of...\What a great occupation! response:	It's mysterious and charming!
context: Now, let's have the doctor teach us how it works.\* Please prepare the included Mask 1.\Turtle, turtle.\Are you an exorcist, Rabura-san?\Gliese\Yes, sort of...\What a great occupation!\It's mysterious and charming! response:	I'd like to speak with you sometime.
context: * Please prepare the included Mask 1.\Turtle, turtle.\Are you an exorcist, Rabura-san?\Gliese\Yes, sort of...\What a great occupation!\It's mysterious and charming!\I'd like to speak with you sometime. response:	Please meet with me in person.
context: Turtle, turtle.\Are you an exorcist, Rabura-san?\Gliese\Yes, sort of...\What a great occupation!\It's mysterious and charming!\I'd like to speak with you sometime.\Please meet with me in person. response:	What should I do?
context: Are you an exorcist, Rabura-san?\Gliese\Yes, sort of...\What a great occupation!\It's mysterious and charming!\I'd like to speak with you sometime.\Please meet with me in person.\What should I do? response:	He might hate me if he finds out I'm a fake exorcist.
context: Gliese\Yes, sort of...\What a great occupation!\It's mysterious and charming!\I'd like to speak with you sometime.\Please meet with me in person.\What should I do?\He might hate me if he finds out I'm a fake exorcist. response:	Oh, man.
context: Yes, sort of...\What a great occupation!\It's mysterious and charming!\I'd like to speak with you sometime.\Please meet with me in person.\What should I do?\He might hate me if he finds out I'm a fake exorcist.\Oh, man. response:	An IT venture CEO, my ass. He's so full of himself.
context: What a great occupation!\It's mysterious and charming!\I'd like to speak with you sometime.\Please meet with me in person.\What should I do?\He might hate me if he finds out I'm a fake exorcist.\Oh, man.\An IT venture CEO, my ass. He's so full of himself. response:	Rejected again?
context: It's mysterious and charming!\I'd like to speak with you sometime.\Please meet with me in person.\What should I do?\He might hate me if he finds out I'm a fake exorcist.\Oh, man.\An IT venture CEO, my ass. He's so full of himself.\Rejected again? response:	Don't say again !
context: I'd like to speak with you sometime.\Please meet with me in person.\What should I do?\He might hate me if he finds out I'm a fake exorcist.\Oh, man.\An IT venture CEO, my ass. He's so full of himself.\Rejected again?\Don't say again ! response:	Besides, it's not like I got rejected.
context: Please meet with me in person.\What should I do?\He might hate me if he finds out I'm a fake exorcist.\Oh, man.\An IT venture CEO, my ass. He's so full of himself.\Rejected again?\Don't say again !\Besides, it's not like I got rejected. response:	What was it, then?
context: What should I do?\He might hate me if he finds out I'm a fake exorcist.\Oh, man.\An IT venture CEO, my ass. He's so full of himself.\Rejected again?\Don't say again !\Besides, it's not like I got rejected.\What was it, then? response:	I saw him walking with a girl.
context: He might hate me if he finds out I'm a fake exorcist.\Oh, man.\An IT venture CEO, my ass. He's so full of himself.\Rejected again?\Don't say again !\Besides, it's not like I got rejected.\What was it, then?\I saw him walking with a girl. response:	That's it?
context: Oh, man.\An IT venture CEO, my ass. He's so full of himself.\Rejected again?\Don't say again !\Besides, it's not like I got rejected.\What was it, then?\I saw him walking with a girl.\That's it? response:	They were holding hands.
context: An IT venture CEO, my ass. He's so full of himself.\Rejected again?\Don't say again !\Besides, it's not like I got rejected.\What was it, then?\I saw him walking with a girl.\That's it?\They were holding hands. response:	Not like this, but like this.
context: Rejected again?\Don't say again !\Besides, it's not like I got rejected.\What was it, then?\I saw him walking with a girl.\That's it?\They were holding hands.\Not like this, but like this. response:	Rabura, are you a virgin?
context: Don't say again !\Besides, it's not like I got rejected.\What was it, then?\I saw him walking with a girl.\That's it?\They were holding hands.\Not like this, but like this.\Rabura, are you a virgin? response:	H-Huh?!
context: Besides, it's not like I got rejected.\What was it, then?\I saw him walking with a girl.\That's it?\They were holding hands.\Not like this, but like this.\Rabura, are you a virgin?\H-Huh?! response:	I'm not a v-virgin!
context: What was it, then?\I saw him walking with a girl.\That's it?\They were holding hands.\Not like this, but like this.\Rabura, are you a virgin?\H-Huh?!\I'm not a v-virgin! response:	I heard from my sister.
context: I saw him walking with a girl.\That's it?\They were holding hands.\Not like this, but like this.\Rabura, are you a virgin?\H-Huh?!\I'm not a v-virgin!\I heard from my sister. response:	You've never dated anyone before?
