context: Somehow, I... response:	No, sometime during summer vacation I'll write an interesting name.
context: I don't really like the idea of you and Miyoshi being there alone.\Saikou, in that respect, you've got the wrong idea.\Miyoshi's presence wasn't the reason why I couldn't write a name.\It was the other way around.\The other way around?\Yeah, I thought that if I got serious with Miyoshi, it would definitely make me want to sell even more.\I also thought it might even be a good idea not to meet until our dreams come true, like with you and Azuki.\Love comes in many forms. response:	At first, I wasn't doing this for a girl, but now I think I'm the same as you.
context: Saikou, in that respect, you've got the wrong idea.\Miyoshi's presence wasn't the reason why I couldn't write a name.\It was the other way around.\The other way around?\Yeah, I thought that if I got serious with Miyoshi, it would definitely make me want to sell even more.\I also thought it might even be a good idea not to meet until our dreams come true, like with you and Azuki.\Love comes in many forms.\At first, I wasn't doing this for a girl, but now I think I'm the same as you. response:	Really?
context: Miyoshi's presence wasn't the reason why I couldn't write a name.\It was the other way around.\The other way around?\Yeah, I thought that if I got serious with Miyoshi, it would definitely make me want to sell even more.\I also thought it might even be a good idea not to meet until our dreams come true, like with you and Azuki.\Love comes in many forms.\At first, I wasn't doing this for a girl, but now I think I'm the same as you.\Really? response:	Then I guess I did have that part wrong...
context: It was the other way around.\The other way around?\Yeah, I thought that if I got serious with Miyoshi, it would definitely make me want to sell even more.\I also thought it might even be a good idea not to meet until our dreams come true, like with you and Azuki.\Love comes in many forms.\At first, I wasn't doing this for a girl, but now I think I'm the same as you.\Really?\Then I guess I did have that part wrong... response:	Sorry.
context: The other way around?\Yeah, I thought that if I got serious with Miyoshi, it would definitely make me want to sell even more.\I also thought it might even be a good idea not to meet until our dreams come true, like with you and Azuki.\Love comes in many forms.\At first, I wasn't doing this for a girl, but now I think I'm the same as you.\Really?\Then I guess I did have that part wrong...\Sorry. response:	But in that case, you really can't be late.
context: Yeah, I thought that if I got serious with Miyoshi, it would definitely make me want to sell even more.\I also thought it might even be a good idea not to meet until our dreams come true, like with you and Azuki.\Love comes in many forms.\At first, I wasn't doing this for a girl, but now I think I'm the same as you.\Really?\Then I guess I did have that part wrong...\Sorry.\But in that case, you really can't be late. response:	Yeah.
context: I also thought it might even be a good idea not to meet until our dreams come true, like with you and Azuki.\Love comes in many forms.\At first, I wasn't doing this for a girl, but now I think I'm the same as you.\Really?\Then I guess I did have that part wrong...\Sorry.\But in that case, you really can't be late.\Yeah. response:	I'm definitely gonna be the original story author of a manga.
context: Love comes in many forms.\At first, I wasn't doing this for a girl, but now I think I'm the same as you.\Really?\Then I guess I did have that part wrong...\Sorry.\But in that case, you really can't be late.\Yeah.\I'm definitely gonna be the original story author of a manga. response:	Even if I need to pair up with someone besides you, Saikou.
context: At first, I wasn't doing this for a girl, but now I think I'm the same as you.\Really?\Then I guess I did have that part wrong...\Sorry.\But in that case, you really can't be late.\Yeah.\I'm definitely gonna be the original story author of a manga.\Even if I need to pair up with someone besides you, Saikou. response:	The artwork in your names really sucks, Shuujin, so tell me when you finish and I'll do a good copy for you.
context: Really?\Then I guess I did have that part wrong...\Sorry.\But in that case, you really can't be late.\Yeah.\I'm definitely gonna be the original story author of a manga.\Even if I need to pair up with someone besides you, Saikou.\The artwork in your names really sucks, Shuujin, so tell me when you finish and I'll do a good copy for you. response:	If you give it to somebody else, they won't have a clue what's going on in it.
context: Then I guess I did have that part wrong...\Sorry.\But in that case, you really can't be late.\Yeah.\I'm definitely gonna be the original story author of a manga.\Even if I need to pair up with someone besides you, Saikou.\The artwork in your names really sucks, Shuujin, so tell me when you finish and I'll do a good copy for you.\If you give it to somebody else, they won't have a clue what's going on in it. response:	Seriously?
context: Sorry.\But in that case, you really can't be late.\Yeah.\I'm definitely gonna be the original story author of a manga.\Even if I need to pair up with someone besides you, Saikou.\The artwork in your names really sucks, Shuujin, so tell me when you finish and I'll do a good copy for you.\If you give it to somebody else, they won't have a clue what's going on in it.\Seriously? response:	But I'll charge you 100 yen a page.
context: But in that case, you really can't be late.\Yeah.\I'm definitely gonna be the original story author of a manga.\Even if I need to pair up with someone besides you, Saikou.\The artwork in your names really sucks, Shuujin, so tell me when you finish and I'll do a good copy for you.\If you give it to somebody else, they won't have a clue what's going on in it.\Seriously?\But I'll charge you 100 yen a page. response:	Okay, thanks.
context: Yeah.\I'm definitely gonna be the original story author of a manga.\Even if I need to pair up with someone besides you, Saikou.\The artwork in your names really sucks, Shuujin, so tell me when you finish and I'll do a good copy for you.\If you give it to somebody else, they won't have a clue what's going on in it.\Seriously?\But I'll charge you 100 yen a page.\Okay, thanks. response:	Also, if I do something alone, is it okay for me to change the pen name from Ashirogi Muto to Ashiro Muto?
context: I'm definitely gonna be the original story author of a manga.\Even if I need to pair up with someone besides you, Saikou.\The artwork in your names really sucks, Shuujin, so tell me when you finish and I'll do a good copy for you.\If you give it to somebody else, they won't have a clue what's going on in it.\Seriously?\But I'll charge you 100 yen a page.\Okay, thanks.\Also, if I do something alone, is it okay for me to change the pen name from Ashirogi Muto to Ashiro Muto? response:	Is it okay?
context: Even if I need to pair up with someone besides you, Saikou.\The artwork in your names really sucks, Shuujin, so tell me when you finish and I'll do a good copy for you.\If you give it to somebody else, they won't have a clue what's going on in it.\Seriously?\But I'll charge you 100 yen a page.\Okay, thanks.\Also, if I do something alone, is it okay for me to change the pen name from Ashirogi Muto to Ashiro Muto?\Is it okay? response:	If you're writing alone, then just use Mashiro Moritaka.
context: The artwork in your names really sucks, Shuujin, so tell me when you finish and I'll do a good copy for you.\If you give it to somebody else, they won't have a clue what's going on in it.\Seriously?\But I'll charge you 100 yen a page.\Okay, thanks.\Also, if I do something alone, is it okay for me to change the pen name from Ashirogi Muto to Ashiro Muto?\Is it okay?\If you're writing alone, then just use Mashiro Moritaka. response:	No...
context: If you give it to somebody else, they won't have a clue what's going on in it.\Seriously?\But I'll charge you 100 yen a page.\Okay, thanks.\Also, if I do something alone, is it okay for me to change the pen name from Ashirogi Muto to Ashiro Muto?\Is it okay?\If you're writing alone, then just use Mashiro Moritaka.\No... response:	Okay, I'm fine with it then...
context: Seriously?\But I'll charge you 100 yen a page.\Okay, thanks.\Also, if I do something alone, is it okay for me to change the pen name from Ashirogi Muto to Ashiro Muto?\Is it okay?\If you're writing alone, then just use Mashiro Moritaka.\No...\Okay, I'm fine with it then... response:	What're you two doing?!
context: But I'll charge you 100 yen a page.\Okay, thanks.\Also, if I do something alone, is it okay for me to change the pen name from Ashirogi Muto to Ashiro Muto?\Is it okay?\If you're writing alone, then just use Mashiro Moritaka.\No...\Okay, I'm fine with it then...\What're you two doing?! response:	The new term's opening ceremony is starting soon!
context: Okay, thanks.\Also, if I do something alone, is it okay for me to change the pen name from Ashirogi Muto to Ashiro Muto?\Is it okay?\If you're writing alone, then just use Mashiro Moritaka.\No...\Okay, I'm fine with it then...\What're you two doing?!\The new term's opening ceremony is starting soon! response:	Well, why are you here?
context: Also, if I do something alone, is it okay for me to change the pen name from Ashirogi Muto to Ashiro Muto?\Is it okay?\If you're writing alone, then just use Mashiro Moritaka.\No...\Okay, I'm fine with it then...\What're you two doing?!\The new term's opening ceremony is starting soon!\Well, why are you here? response:	I was up so late thinking that I overslept!
context: Is it okay?\If you're writing alone, then just use Mashiro Moritaka.\No...\Okay, I'm fine with it then...\What're you two doing?!\The new term's opening ceremony is starting soon!\Well, why are you here?\I was up so late thinking that I overslept! response:	Man, that's lame.
context: If you're writing alone, then just use Mashiro Moritaka.\No...\Okay, I'm fine with it then...\What're you two doing?!\The new term's opening ceremony is starting soon!\Well, why are you here?\I was up so late thinking that I overslept!\Man, that's lame. response:	See ya Saikou, let's both do our best.
context: No...\Okay, I'm fine with it then...\What're you two doing?!\The new term's opening ceremony is starting soon!\Well, why are you here?\I was up so late thinking that I overslept!\Man, that's lame.\See ya Saikou, let's both do our best. response:	Y-Yeah.
context: Okay, I'm fine with it then...\What're you two doing?!\The new term's opening ceremony is starting soon!\Well, why are you here?\I was up so late thinking that I overslept!\Man, that's lame.\See ya Saikou, let's both do our best.\Y-Yeah. response:	What about Mashiro?
context: What're you two doing?!\The new term's opening ceremony is starting soon!\Well, why are you here?\I was up so late thinking that I overslept!\Man, that's lame.\See ya Saikou, let's both do our best.\Y-Yeah.\What about Mashiro? response:	He's fine, let's just go.
context: The new term's opening ceremony is starting soon!\Well, why are you here?\I was up so late thinking that I overslept!\Man, that's lame.\See ya Saikou, let's both do our best.\Y-Yeah.\What about Mashiro?\He's fine, let's just go. response:	Eh?! That's not good at all!
context: Well, why are you here?\I was up so late thinking that I overslept!\Man, that's lame.\See ya Saikou, let's both do our best.\Y-Yeah.\What about Mashiro?\He's fine, let's just go.\Eh?! That's not good at all! response:	It's my fault for not honoring my deadline, so it can't be helped.
context: I was up so late thinking that I overslept!\Man, that's lame.\See ya Saikou, let's both do our best.\Y-Yeah.\What about Mashiro?\He's fine, let's just go.\Eh?! That's not good at all!\It's my fault for not honoring my deadline, so it can't be helped. response:	Is it my fault?
context: Man, that's lame.\See ya Saikou, let's both do our best.\Y-Yeah.\What about Mashiro?\He's fine, let's just go.\Eh?! That's not good at all!\It's my fault for not honoring my deadline, so it can't be helped.\Is it my fault? response:	No!
context: See ya Saikou, let's both do our best.\Y-Yeah.\What about Mashiro?\He's fine, let's just go.\Eh?! That's not good at all!\It's my fault for not honoring my deadline, so it can't be helped.\Is it my fault?\No! response:	It is, isn't it? Because you were spending so much time with me over summer vacation...
context: Y-Yeah.\What about Mashiro?\He's fine, let's just go.\Eh?! That's not good at all!\It's my fault for not honoring my deadline, so it can't be helped.\Is it my fault?\No!\It is, isn't it? Because you were spending so much time with me over summer vacation... response:	I'm telling you, that's not why!
context: What about Mashiro?\He's fine, let's just go.\Eh?! That's not good at all!\It's my fault for not honoring my deadline, so it can't be helped.\Is it my fault?\No!\It is, isn't it? Because you were spending so much time with me over summer vacation...\I'm telling you, that's not why! response:	We may have been together, but I was thinking of the scenario for the manga the whole time.
context: He's fine, let's just go.\Eh?! That's not good at all!\It's my fault for not honoring my deadline, so it can't be helped.\Is it my fault?\No!\It is, isn't it? Because you were spending so much time with me over summer vacation...\I'm telling you, that's not why!\We may have been together, but I was thinking of the scenario for the manga the whole time. response:	But then if you just explain it to Mashiro like that, I'm sure he'll understand!
context: Eh?! That's not good at all!\It's my fault for not honoring my deadline, so it can't be helped.\Is it my fault?\No!\It is, isn't it? Because you were spending so much time with me over summer vacation...\I'm telling you, that's not why!\We may have been together, but I was thinking of the scenario for the manga the whole time.\But then if you just explain it to Mashiro like that, I'm sure he'll understand! response:	I'll go tell him that
context: It's my fault for not honoring my deadline, so it can't be helped.\Is it my fault?\No!\It is, isn't it? Because you were spending so much time with me over summer vacation...\I'm telling you, that's not why!\We may have been together, but I was thinking of the scenario for the manga the whole time.\But then if you just explain it to Mashiro like that, I'm sure he'll understand!\I'll go tell him that response:	Stop it!
context: Is it my fault?\No!\It is, isn't it? Because you were spending so much time with me over summer vacation...\I'm telling you, that's not why!\We may have been together, but I was thinking of the scenario for the manga the whole time.\But then if you just explain it to Mashiro like that, I'm sure he'll understand!\I'll go tell him that\Stop it! response:	Don't go making excuses to Mashiro for me!
context: No!\It is, isn't it? Because you were spending so much time with me over summer vacation...\I'm telling you, that's not why!\We may have been together, but I was thinking of the scenario for the manga the whole time.\But then if you just explain it to Mashiro like that, I'm sure he'll understand!\I'll go tell him that\Stop it!\Don't go making excuses to Mashiro for me! response:	And not to Azuki either!
context: It is, isn't it? Because you were spending so much time with me over summer vacation...\I'm telling you, that's not why!\We may have been together, but I was thinking of the scenario for the manga the whole time.\But then if you just explain it to Mashiro like that, I'm sure he'll understand!\I'll go tell him that\Stop it!\Don't go making excuses to Mashiro for me!\And not to Azuki either! response:	It's my fault, so don't go butting in.
context: I'm telling you, that's not why!\We may have been together, but I was thinking of the scenario for the manga the whole time.\But then if you just explain it to Mashiro like that, I'm sure he'll understand!\I'll go tell him that\Stop it!\Don't go making excuses to Mashiro for me!\And not to Azuki either!\It's my fault, so don't go butting in. response:	I can't!
context: We may have been together, but I was thinking of the scenario for the manga the whole time.\But then if you just explain it to Mashiro like that, I'm sure he'll understand!\I'll go tell him that\Stop it!\Don't go making excuses to Mashiro for me!\And not to Azuki either!\It's my fault, so don't go butting in.\I can't! response:	Saikou knows it wasn't your fault!
context: But then if you just explain it to Mashiro like that, I'm sure he'll understand!\I'll go tell him that\Stop it!\Don't go making excuses to Mashiro for me!\And not to Azuki either!\It's my fault, so don't go butting in.\I can't!\Saikou knows it wasn't your fault! response:	But it's not like it's all over!
context: I'll go tell him that\Stop it!\Don't go making excuses to Mashiro for me!\And not to Azuki either!\It's my fault, so don't go butting in.\I can't!\Saikou knows it wasn't your fault!\But it's not like it's all over! response:	I'm still gonna be an original manga story author!
context: Stop it!\Don't go making excuses to Mashiro for me!\And not to Azuki either!\It's my fault, so don't go butting in.\I can't!\Saikou knows it wasn't your fault!\But it's not like it's all over!\I'm still gonna be an original manga story author! response:	And Saikou's still gonna be a mangaka!
context: Don't go making excuses to Mashiro for me!\And not to Azuki either!\It's my fault, so don't go butting in.\I can't!\Saikou knows it wasn't your fault!\But it's not like it's all over!\I'm still gonna be an original manga story author!\And Saikou's still gonna be a mangaka! response:	I like you, so I'm gonna keep working hard. I still can!
context: And not to Azuki either!\It's my fault, so don't go butting in.\I can't!\Saikou knows it wasn't your fault!\But it's not like it's all over!\I'm still gonna be an original manga story author!\And Saikou's still gonna be a mangaka!\I like you, so I'm gonna keep working hard. I still can! response:	When I said that, even Saikou understood.
context: It's my fault, so don't go butting in.\I can't!\Saikou knows it wasn't your fault!\But it's not like it's all over!\I'm still gonna be an original manga story author!\And Saikou's still gonna be a mangaka!\I like you, so I'm gonna keep working hard. I still can!\When I said that, even Saikou understood. response:	Because you like me?
context: I can't!\Saikou knows it wasn't your fault!\But it's not like it's all over!\I'm still gonna be an original manga story author!\And Saikou's still gonna be a mangaka!\I like you, so I'm gonna keep working hard. I still can!\When I said that, even Saikou understood.\Because you like me? response:	Yeah.
context: Saikou knows it wasn't your fault!\But it's not like it's all over!\I'm still gonna be an original manga story author!\And Saikou's still gonna be a mangaka!\I like you, so I'm gonna keep working hard. I still can!\When I said that, even Saikou understood.\Because you like me?\Yeah. response:	I'm going to keep doing my best for your sake.
context: But it's not like it's all over!\I'm still gonna be an original manga story author!\And Saikou's still gonna be a mangaka!\I like you, so I'm gonna keep working hard. I still can!\When I said that, even Saikou understood.\Because you like me?\Yeah.\I'm going to keep doing my best for your sake. response:	But if you say something unnecessary to Saikou or Azuki, I'm sure I won't like you anymore.
context: I'm still gonna be an original manga story author!\And Saikou's still gonna be a mangaka!\I like you, so I'm gonna keep working hard. I still can!\When I said that, even Saikou understood.\Because you like me?\Yeah.\I'm going to keep doing my best for your sake.\But if you say something unnecessary to Saikou or Azuki, I'm sure I won't like you anymore. response:	But...
context: And Saikou's still gonna be a mangaka!\I like you, so I'm gonna keep working hard. I still can!\When I said that, even Saikou understood.\Because you like me?\Yeah.\I'm going to keep doing my best for your sake.\But if you say something unnecessary to Saikou or Azuki, I'm sure I won't like you anymore.\But... response:	You want to do it alone?
context: I like you, so I'm gonna keep working hard. I still can!\When I said that, even Saikou understood.\Because you like me?\Yeah.\I'm going to keep doing my best for your sake.\But if you say something unnecessary to Saikou or Azuki, I'm sure I won't like you anymore.\But...\You want to do it alone? response:	Did you two have a fight or something?
context: When I said that, even Saikou understood.\Because you like me?\Yeah.\I'm going to keep doing my best for your sake.\But if you say something unnecessary to Saikou or Azuki, I'm sure I won't like you anymore.\But...\You want to do it alone?\Did you two have a fight or something? response:	We're not little kids.
context: Because you like me?\Yeah.\I'm going to keep doing my best for your sake.\But if you say something unnecessary to Saikou or Azuki, I'm sure I won't like you anymore.\But...\You want to do it alone?\Did you two have a fight or something?\We're not little kids. response:	It's not a name, just a plan for the setup.
context: Yeah.\I'm going to keep doing my best for your sake.\But if you say something unnecessary to Saikou or Azuki, I'm sure I won't like you anymore.\But...\You want to do it alone?\Did you two have a fight or something?\We're not little kids.\It's not a name, just a plan for the setup. response:	Here.
context: I'm going to keep doing my best for your sake.\But if you say something unnecessary to Saikou or Azuki, I'm sure I won't like you anymore.\But...\You want to do it alone?\Did you two have a fight or something?\We're not little kids.\It's not a name, just a plan for the setup.\Here. response:	A con man and a detective...
context: But if you say something unnecessary to Saikou or Azuki, I'm sure I won't like you anymore.\But...\You want to do it alone?\Did you two have a fight or something?\We're not little kids.\It's not a name, just a plan for the setup.\Here.\A con man and a detective... response:	He sets traps for the culprits in order to bring out the truth, huh?
context: But...\You want to do it alone?\Did you two have a fight or something?\We're not little kids.\It's not a name, just a plan for the setup.\Here.\A con man and a detective...\He sets traps for the culprits in order to bring out the truth, huh? response:	If you do this kind of mystery story right, it really will be interesting.
context: You want to do it alone?\Did you two have a fight or something?\We're not little kids.\It's not a name, just a plan for the setup.\Here.\A con man and a detective...\He sets traps for the culprits in order to bring out the truth, huh?\If you do this kind of mystery story right, it really will be interesting. response:	No, for this kind of story in particular, we really need Takagi-kun's power, don't we?
context: Did you two have a fight or something?\We're not little kids.\It's not a name, just a plan for the setup.\Here.\A con man and a detective...\He sets traps for the culprits in order to bring out the truth, huh?\If you do this kind of mystery story right, it really will be interesting.\No, for this kind of story in particular, we really need Takagi-kun's power, don't we? response:	Have you given up on doing a mainstream battle manga?
context: We're not little kids.\It's not a name, just a plan for the setup.\Here.\A con man and a detective...\He sets traps for the culprits in order to bring out the truth, huh?\If you do this kind of mystery story right, it really will be interesting.\No, for this kind of story in particular, we really need Takagi-kun's power, don't we?\Have you given up on doing a mainstream battle manga? response:	I think that's a kind of mainstream story too.
context: It's not a name, just a plan for the setup.\Here.\A con man and a detective...\He sets traps for the culprits in order to bring out the truth, huh?\If you do this kind of mystery story right, it really will be interesting.\No, for this kind of story in particular, we really need Takagi-kun's power, don't we?\Have you given up on doing a mainstream battle manga?\I think that's a kind of mainstream story too. response:	Yeah.
context: Here.\A con man and a detective...\He sets traps for the culprits in order to bring out the truth, huh?\If you do this kind of mystery story right, it really will be interesting.\No, for this kind of story in particular, we really need Takagi-kun's power, don't we?\Have you given up on doing a mainstream battle manga?\I think that's a kind of mainstream story too.\Yeah. response:	It certainly is mainstream, and a kind that Ashirogi Muto is more suited to.
context: A con man and a detective...\He sets traps for the culprits in order to bring out the truth, huh?\If you do this kind of mystery story right, it really will be interesting.\No, for this kind of story in particular, we really need Takagi-kun's power, don't we?\Have you given up on doing a mainstream battle manga?\I think that's a kind of mainstream story too.\Yeah.\It certainly is mainstream, and a kind that Ashirogi Muto is more suited to. response:	I drank a little too much coffee.
context: He sets traps for the culprits in order to bring out the truth, huh?\If you do this kind of mystery story right, it really will be interesting.\No, for this kind of story in particular, we really need Takagi-kun's power, don't we?\Have you given up on doing a mainstream battle manga?\I think that's a kind of mainstream story too.\Yeah.\It certainly is mainstream, and a kind that Ashirogi Muto is more suited to.\I drank a little too much coffee. response:	I'm going to the bathroom.
context: If you do this kind of mystery story right, it really will be interesting.\No, for this kind of story in particular, we really need Takagi-kun's power, don't we?\Have you given up on doing a mainstream battle manga?\I think that's a kind of mainstream story too.\Yeah.\It certainly is mainstream, and a kind that Ashirogi Muto is more suited to.\I drank a little too much coffee.\I'm going to the bathroom. response:	Okay.
context: No, for this kind of story in particular, we really need Takagi-kun's power, don't we?\Have you given up on doing a mainstream battle manga?\I think that's a kind of mainstream story too.\Yeah.\It certainly is mainstream, and a kind that Ashirogi Muto is more suited to.\I drank a little too much coffee.\I'm going to the bathroom.\Okay. response:	Takagi-kun, it's Hattori.
context: Have you given up on doing a mainstream battle manga?\I think that's a kind of mainstream story too.\Yeah.\It certainly is mainstream, and a kind that Ashirogi Muto is more suited to.\I drank a little too much coffee.\I'm going to the bathroom.\Okay.\Takagi-kun, it's Hattori. response:	Why'd you break up your team?
context: I think that's a kind of mainstream story too.\Yeah.\It certainly is mainstream, and a kind that Ashirogi Muto is more suited to.\I drank a little too much coffee.\I'm going to the bathroom.\Okay.\Takagi-kun, it's Hattori.\Why'd you break up your team? response:	Mashiro-kun wouldn't say.
context: Yeah.\It certainly is mainstream, and a kind that Ashirogi Muto is more suited to.\I drank a little too much coffee.\I'm going to the bathroom.\Okay.\Takagi-kun, it's Hattori.\Why'd you break up your team?\Mashiro-kun wouldn't say. response:	It's my fault.
context: It certainly is mainstream, and a kind that Ashirogi Muto is more suited to.\I drank a little too much coffee.\I'm going to the bathroom.\Okay.\Takagi-kun, it's Hattori.\Why'd you break up your team?\Mashiro-kun wouldn't say.\It's my fault. response:	I couldn't keep my promise to write a name by the end of summer vacation.
context: I drank a little too much coffee.\I'm going to the bathroom.\Okay.\Takagi-kun, it's Hattori.\Why'd you break up your team?\Mashiro-kun wouldn't say.\It's my fault.\I couldn't keep my promise to write a name by the end of summer vacation. response:	Is that the only reason?
context: I'm going to the bathroom.\Okay.\Takagi-kun, it's Hattori.\Why'd you break up your team?\Mashiro-kun wouldn't say.\It's my fault.\I couldn't keep my promise to write a name by the end of summer vacation.\Is that the only reason? response:	Mashiro-kun sure is strict.
context: Okay.\Takagi-kun, it's Hattori.\Why'd you break up your team?\Mashiro-kun wouldn't say.\It's my fault.\I couldn't keep my promise to write a name by the end of summer vacation.\Is that the only reason?\Mashiro-kun sure is strict. response:	That's just how serious he is.
context: Takagi-kun, it's Hattori.\Why'd you break up your team?\Mashiro-kun wouldn't say.\It's my fault.\I couldn't keep my promise to write a name by the end of summer vacation.\Is that the only reason?\Mashiro-kun sure is strict.\That's just how serious he is. response:	And I didn't think I was suited to battle manga from the beginning,
context: Why'd you break up your team?\Mashiro-kun wouldn't say.\It's my fault.\I couldn't keep my promise to write a name by the end of summer vacation.\Is that the only reason?\Mashiro-kun sure is strict.\That's just how serious he is.\And I didn't think I was suited to battle manga from the beginning, response:	but Mashiro was fixated on doing a battle story, so we had that conflict of opinions too.
context: Mashiro-kun wouldn't say.\It's my fault.\I couldn't keep my promise to write a name by the end of summer vacation.\Is that the only reason?\Mashiro-kun sure is strict.\That's just how serious he is.\And I didn't think I was suited to battle manga from the beginning,\but Mashiro was fixated on doing a battle story, so we had that conflict of opinions too. response:	So this time, I'm writing a mystery story.
context: It's my fault.\I couldn't keep my promise to write a name by the end of summer vacation.\Is that the only reason?\Mashiro-kun sure is strict.\That's just how serious he is.\And I didn't think I was suited to battle manga from the beginning,\but Mashiro was fixated on doing a battle story, so we had that conflict of opinions too.\So this time, I'm writing a mystery story. response:	A mystery story?
