context: We have reports of crustal movement and abnormal weather all over the world! response:	The breaking of the seal on the Legendary Aquarion is affecting the whole planet.
context: Reverse!\Sir Izumo!\Go reverse out of my sight!\I'll crush you!\Stop!\That robot!\You!\Aquarion Gepard! response:	Looks like we butted right into a fight.
context: Sir Izumo!\Go reverse out of my sight!\I'll crush you!\Stop!\That robot!\You!\Aquarion Gepard!\Looks like we butted right into a fight. response:	Two Abductors and the Legendary Aquarion...
context: Go reverse out of my sight!\I'll crush you!\Stop!\That robot!\You!\Aquarion Gepard!\Looks like we butted right into a fight.\Two Abductors and the Legendary Aquarion... response:	Who are the pilots?
context: I'll crush you!\Stop!\That robot!\You!\Aquarion Gepard!\Looks like we butted right into a fight.\Two Abductors and the Legendary Aquarion...\Who are the pilots? response:	Cayenne! Is that you, Cayenne?
context: Stop!\That robot!\You!\Aquarion Gepard!\Looks like we butted right into a fight.\Two Abductors and the Legendary Aquarion...\Who are the pilots?\Cayenne! Is that you, Cayenne? response:	Mikono! What are you doing with him?
context: That robot!\You!\Aquarion Gepard!\Looks like we butted right into a fight.\Two Abductors and the Legendary Aquarion...\Who are the pilots?\Cayenne! Is that you, Cayenne?\Mikono! What are you doing with him? response:	Mix!
context: You!\Aquarion Gepard!\Looks like we butted right into a fight.\Two Abductors and the Legendary Aquarion...\Who are the pilots?\Cayenne! Is that you, Cayenne?\Mikono! What are you doing with him?\Mix! response:	That's Mix's machine!
context: Aquarion Gepard!\Looks like we butted right into a fight.\Two Abductors and the Legendary Aquarion...\Who are the pilots?\Cayenne! Is that you, Cayenne?\Mikono! What are you doing with him?\Mix!\That's Mix's machine! response:	What the hell's going on?
context: Looks like we butted right into a fight.\Two Abductors and the Legendary Aquarion...\Who are the pilots?\Cayenne! Is that you, Cayenne?\Mikono! What are you doing with him?\Mix!\That's Mix's machine!\What the hell's going on? response:	Those two Abductors are trying to get Mikono!
context: Two Abductors and the Legendary Aquarion...\Who are the pilots?\Cayenne! Is that you, Cayenne?\Mikono! What are you doing with him?\Mix!\That's Mix's machine!\What the hell's going on?\Those two Abductors are trying to get Mikono! response:	Where are Amata and Shrade?
context: Who are the pilots?\Cayenne! Is that you, Cayenne?\Mikono! What are you doing with him?\Mix!\That's Mix's machine!\What the hell's going on?\Those two Abductors are trying to get Mikono!\Where are Amata and Shrade? response:	We lost Amata.
context: Cayenne! Is that you, Cayenne?\Mikono! What are you doing with him?\Mix!\That's Mix's machine!\What the hell's going on?\Those two Abductors are trying to get Mikono!\Where are Amata and Shrade?\We lost Amata. response:	Shrade... is dead.
context: Mikono! What are you doing with him?\Mix!\That's Mix's machine!\What the hell's going on?\Those two Abductors are trying to get Mikono!\Where are Amata and Shrade?\We lost Amata.\Shrade... is dead. response:	He played out his final song in the dimensional rift.
context: Mix!\That's Mix's machine!\What the hell's going on?\Those two Abductors are trying to get Mikono!\Where are Amata and Shrade?\We lost Amata.\Shrade... is dead.\He played out his final song in the dimensional rift. response:	So that's what it was...
context: That's Mix's machine!\What the hell's going on?\Those two Abductors are trying to get Mikono!\Where are Amata and Shrade?\We lost Amata.\Shrade... is dead.\He played out his final song in the dimensional rift.\So that's what it was... response:	Shrade...
context: What the hell's going on?\Those two Abductors are trying to get Mikono!\Where are Amata and Shrade?\We lost Amata.\Shrade... is dead.\He played out his final song in the dimensional rift.\So that's what it was...\Shrade... response:	You dare oppose Sir Izumo as well?
context: Those two Abductors are trying to get Mikono!\Where are Amata and Shrade?\We lost Amata.\Shrade... is dead.\He played out his final song in the dimensional rift.\So that's what it was...\Shrade...\You dare oppose Sir Izumo as well? response:	Wrong, Mix! I'm only here to take you back!
context: Where are Amata and Shrade?\We lost Amata.\Shrade... is dead.\He played out his final song in the dimensional rift.\So that's what it was...\Shrade...\You dare oppose Sir Izumo as well?\Wrong, Mix! I'm only here to take you back! response:	Take me back where?
context: We lost Amata.\Shrade... is dead.\He played out his final song in the dimensional rift.\So that's what it was...\Shrade...\You dare oppose Sir Izumo as well?\Wrong, Mix! I'm only here to take you back!\Take me back where? response:	Don't you remember, Andy?
context: Shrade... is dead.\He played out his final song in the dimensional rift.\So that's what it was...\Shrade...\You dare oppose Sir Izumo as well?\Wrong, Mix! I'm only here to take you back!\Take me back where?\Don't you remember, Andy? response:	It's me! Andy W. Hol!
context: He played out his final song in the dimensional rift.\So that's what it was...\Shrade...\You dare oppose Sir Izumo as well?\Wrong, Mix! I'm only here to take you back!\Take me back where?\Don't you remember, Andy?\It's me! Andy W. Hol! response:	Stop! I can't stand it!
context: So that's what it was...\Shrade...\You dare oppose Sir Izumo as well?\Wrong, Mix! I'm only here to take you back!\Take me back where?\Don't you remember, Andy?\It's me! Andy W. Hol!\Stop! I can't stand it! response:	Mix!
context: Shrade...\You dare oppose Sir Izumo as well?\Wrong, Mix! I'm only here to take you back!\Take me back where?\Don't you remember, Andy?\It's me! Andy W. Hol!\Stop! I can't stand it!\Mix! response:	Can't you see, Kagura? Don't you care about Altair?
context: You dare oppose Sir Izumo as well?\Wrong, Mix! I'm only here to take you back!\Take me back where?\Don't you remember, Andy?\It's me! Andy W. Hol!\Stop! I can't stand it!\Mix!\Can't you see, Kagura? Don't you care about Altair? response:	Not a bit!
context: Wrong, Mix! I'm only here to take you back!\Take me back where?\Don't you remember, Andy?\It's me! Andy W. Hol!\Stop! I can't stand it!\Mix!\Can't you see, Kagura? Don't you care about Altair?\Not a bit! response:	This planet can go to hell. I just want my smelly wench!
context: Take me back where?\Don't you remember, Andy?\It's me! Andy W. Hol!\Stop! I can't stand it!\Mix!\Can't you see, Kagura? Don't you care about Altair?\Not a bit!\This planet can go to hell. I just want my smelly wench! response:	I'll fight the whole world before I give her up!
context: Don't you remember, Andy?\It's me! Andy W. Hol!\Stop! I can't stand it!\Mix!\Can't you see, Kagura? Don't you care about Altair?\Not a bit!\This planet can go to hell. I just want my smelly wench!\I'll fight the whole world before I give her up! response:	Mix! Mix!
context: It's me! Andy W. Hol!\Stop! I can't stand it!\Mix!\Can't you see, Kagura? Don't you care about Altair?\Not a bit!\This planet can go to hell. I just want my smelly wench!\I'll fight the whole world before I give her up!\Mix! Mix! response:	All for a single Igura, a single woman...
context: Stop! I can't stand it!\Mix!\Can't you see, Kagura? Don't you care about Altair?\Not a bit!\This planet can go to hell. I just want my smelly wench!\I'll fight the whole world before I give her up!\Mix! Mix!\All for a single Igura, a single woman... response:	Alicia...
context: Mix!\Can't you see, Kagura? Don't you care about Altair?\Not a bit!\This planet can go to hell. I just want my smelly wench!\I'll fight the whole world before I give her up!\Mix! Mix!\All for a single Igura, a single woman...\Alicia... response:	This is where that voice is calling me from.
context: Can't you see, Kagura? Don't you care about Altair?\Not a bit!\This planet can go to hell. I just want my smelly wench!\I'll fight the whole world before I give her up!\Mix! Mix!\All for a single Igura, a single woman...\Alicia...\This is where that voice is calling me from. response:	Amata...
context: Not a bit!\This planet can go to hell. I just want my smelly wench!\I'll fight the whole world before I give her up!\Mix! Mix!\All for a single Igura, a single woman...\Alicia...\This is where that voice is calling me from.\Amata... response:	Mom!
context: This planet can go to hell. I just want my smelly wench!\I'll fight the whole world before I give her up!\Mix! Mix!\All for a single Igura, a single woman...\Alicia...\This is where that voice is calling me from.\Amata...\Mom! response:	Amata.
context: I'll fight the whole world before I give her up!\Mix! Mix!\All for a single Igura, a single woman...\Alicia...\This is where that voice is calling me from.\Amata...\Mom!\Amata. response:	The planet. The land. The life sleeping within.
context: Mix! Mix!\All for a single Igura, a single woman...\Alicia...\This is where that voice is calling me from.\Amata...\Mom!\Amata.\The planet. The land. The life sleeping within. response:	All are about to awaken.
context: All for a single Igura, a single woman...\Alicia...\This is where that voice is calling me from.\Amata...\Mom!\Amata.\The planet. The land. The life sleeping within.\All are about to awaken. response:	The rebirth of the Wings of the Sun was a double-edged sword.
context: Alicia...\This is where that voice is calling me from.\Amata...\Mom!\Amata.\The planet. The land. The life sleeping within.\All are about to awaken.\The rebirth of the Wings of the Sun was a double-edged sword. response:	Will it divide the world, or reunite it?
context: This is where that voice is calling me from.\Amata...\Mom!\Amata.\The planet. The land. The life sleeping within.\All are about to awaken.\The rebirth of the Wings of the Sun was a double-edged sword.\Will it divide the world, or reunite it? response:	Come back to me, Mix!
context: Amata...\Mom!\Amata.\The planet. The land. The life sleeping within.\All are about to awaken.\The rebirth of the Wings of the Sun was a double-edged sword.\Will it divide the world, or reunite it?\Come back to me, Mix! response:	Spatial Augmentation!
context: Mom!\Amata.\The planet. The land. The life sleeping within.\All are about to awaken.\The rebirth of the Wings of the Sun was a double-edged sword.\Will it divide the world, or reunite it?\Come back to me, Mix!\Spatial Augmentation! response:	Not again!
context: Amata.\The planet. The land. The life sleeping within.\All are about to awaken.\The rebirth of the Wings of the Sun was a double-edged sword.\Will it divide the world, or reunite it?\Come back to me, Mix!\Spatial Augmentation!\Not again! response:	How long are you going to keep this up?
context: The planet. The land. The life sleeping within.\All are about to awaken.\The rebirth of the Wings of the Sun was a double-edged sword.\Will it divide the world, or reunite it?\Come back to me, Mix!\Spatial Augmentation!\Not again!\How long are you going to keep this up? response:	I'll do this for as long as it takes!
context: All are about to awaken.\The rebirth of the Wings of the Sun was a double-edged sword.\Will it divide the world, or reunite it?\Come back to me, Mix!\Spatial Augmentation!\Not again!\How long are you going to keep this up?\I'll do this for as long as it takes! response:	I'll make the holes, and Mix'll fill them!
context: The rebirth of the Wings of the Sun was a double-edged sword.\Will it divide the world, or reunite it?\Come back to me, Mix!\Spatial Augmentation!\Not again!\How long are you going to keep this up?\I'll do this for as long as it takes!\I'll make the holes, and Mix'll fill them! response:	That's how we came to know each other!
context: Will it divide the world, or reunite it?\Come back to me, Mix!\Spatial Augmentation!\Not again!\How long are you going to keep this up?\I'll do this for as long as it takes!\I'll make the holes, and Mix'll fill them!\That's how we came to know each other! response:	Why does he keep doing the same pointless move?
context: Come back to me, Mix!\Spatial Augmentation!\Not again!\How long are you going to keep this up?\I'll do this for as long as it takes!\I'll make the holes, and Mix'll fill them!\That's how we came to know each other!\Why does he keep doing the same pointless move? response:	And why does it feel so familiar?
context: Spatial Augmentation!\Not again!\How long are you going to keep this up?\I'll do this for as long as it takes!\I'll make the holes, and Mix'll fill them!\That's how we came to know each other!\Why does he keep doing the same pointless move?\And why does it feel so familiar? response:	Amata, I've been waiting so long to see you again.
context: Not again!\How long are you going to keep this up?\I'll do this for as long as it takes!\I'll make the holes, and Mix'll fill them!\That's how we came to know each other!\Why does he keep doing the same pointless move?\And why does it feel so familiar?\Amata, I've been waiting so long to see you again. response:	You've grown.
context: How long are you going to keep this up?\I'll do this for as long as it takes!\I'll make the holes, and Mix'll fill them!\That's how we came to know each other!\Why does he keep doing the same pointless move?\And why does it feel so familiar?\Amata, I've been waiting so long to see you again.\You've grown. response:	It's too late for that now! After you left me behind!
context: I'll do this for as long as it takes!\I'll make the holes, and Mix'll fill them!\That's how we came to know each other!\Why does he keep doing the same pointless move?\And why does it feel so familiar?\Amata, I've been waiting so long to see you again.\You've grown.\It's too late for that now! After you left me behind! response:	Do you know how I've felt all these years?
context: I'll make the holes, and Mix'll fill them!\That's how we came to know each other!\Why does he keep doing the same pointless move?\And why does it feel so familiar?\Amata, I've been waiting so long to see you again.\You've grown.\It's too late for that now! After you left me behind!\Do you know how I've felt all these years? response:	And after all this time, you call me...
