context: The Third Plate response:	Seventeen
context: You should at least look like you're having fun.\I didn't join Central to have fun.\I joined Central...\What do you mean by that\That's none of your business.\Stop bothering me.\This match is only a checkpoint for me.\Food Wars response:	The Third Plate
context: I didn't join Central to have fun.\I joined Central...\What do you mean by that\That's none of your business.\Stop bothering me.\This match is only a checkpoint for me.\Food Wars\The Third Plate response:	Totsuki Train Arc
context: I joined Central...\What do you mean by that\That's none of your business.\Stop bothering me.\This match is only a checkpoint for me.\Food Wars\The Third Plate\Totsuki Train Arc response:	Baths
context: What do you mean by that\That's none of your business.\Stop bothering me.\This match is only a checkpoint for me.\Food Wars\The Third Plate\Totsuki Train Arc\Baths response:	Men
context: That's none of your business.\Stop bothering me.\This match is only a checkpoint for me.\Food Wars\The Third Plate\Totsuki Train Arc\Baths\Men response:	The Umami Tightrope
context: Stop bothering me.\This match is only a checkpoint for me.\Food Wars\The Third Plate\Totsuki Train Arc\Baths\Men\The Umami Tightrope response:	Hey, Yukihira-chin!
context: This match is only a checkpoint for me.\Food Wars\The Third Plate\Totsuki Train Arc\Baths\Men\The Umami Tightrope\Hey, Yukihira-chin! response:	Why'd you come back with your tail between your legs?
context: Food Wars\The Third Plate\Totsuki Train Arc\Baths\Men\The Umami Tightrope\Hey, Yukihira-chin!\Why'd you come back with your tail between your legs? response:	That was your chance to challenge him to a Shokugeki!
context: The Third Plate\Totsuki Train Arc\Baths\Men\The Umami Tightrope\Hey, Yukihira-chin!\Why'd you come back with your tail between your legs?\That was your chance to challenge him to a Shokugeki! response:	It's so easy!
context: Totsuki Train Arc\Baths\Men\The Umami Tightrope\Hey, Yukihira-chin!\Why'd you come back with your tail between your legs?\That was your chance to challenge him to a Shokugeki!\It's so easy! response:	Let's do a Shokugeki at this exam!
context: Baths\Men\The Umami Tightrope\Hey, Yukihira-chin!\Why'd you come back with your tail between your legs?\That was your chance to challenge him to a Shokugeki!\It's so easy!\Let's do a Shokugeki at this exam! response:	That's all you had to say!
context: Men\The Umami Tightrope\Hey, Yukihira-chin!\Why'd you come back with your tail between your legs?\That was your chance to challenge him to a Shokugeki!\It's so easy!\Let's do a Shokugeki at this exam!\That's all you had to say! response:	You wanna crush Hayama, don't you?
context: The Umami Tightrope\Hey, Yukihira-chin!\Why'd you come back with your tail between your legs?\That was your chance to challenge him to a Shokugeki!\It's so easy!\Let's do a Shokugeki at this exam!\That's all you had to say!\You wanna crush Hayama, don't you? response:	Well, sure, but...
context: Hey, Yukihira-chin!\Why'd you come back with your tail between your legs?\That was your chance to challenge him to a Shokugeki!\It's so easy!\Let's do a Shokugeki at this exam!\That's all you had to say!\You wanna crush Hayama, don't you?\Well, sure, but... response:	Hm?
context: Why'd you come back with your tail between your legs?\That was your chance to challenge him to a Shokugeki!\It's so easy!\Let's do a Shokugeki at this exam!\That's all you had to say!\You wanna crush Hayama, don't you?\Well, sure, but...\Hm? response:	Hm?
context: That was your chance to challenge him to a Shokugeki!\It's so easy!\Let's do a Shokugeki at this exam!\That's all you had to say!\You wanna crush Hayama, don't you?\Well, sure, but...\Hm?\Hm? response:	Dojima-senpai...
context: It's so easy!\Let's do a Shokugeki at this exam!\That's all you had to say!\You wanna crush Hayama, don't you?\Well, sure, but...\Hm?\Hm?\Dojima-senpai... response:	What's wrong, Yukihira?
context: Let's do a Shokugeki at this exam!\That's all you had to say!\You wanna crush Hayama, don't you?\Well, sure, but...\Hm?\Hm?\Dojima-senpai...\What's wrong, Yukihira? response:	You look like something's on your mind.
context: That's all you had to say!\You wanna crush Hayama, don't you?\Well, sure, but...\Hm?\Hm?\Dojima-senpai...\What's wrong, Yukihira?\You look like something's on your mind. response:	How the Shiomi Research Group was shut down?
context: You wanna crush Hayama, don't you?\Well, sure, but...\Hm?\Hm?\Dojima-senpai...\What's wrong, Yukihira?\You look like something's on your mind.\How the Shiomi Research Group was shut down? response:	Yeah.
context: Well, sure, but...\Hm?\Hm?\Dojima-senpai...\What's wrong, Yukihira?\You look like something's on your mind.\How the Shiomi Research Group was shut down?\Yeah. response:	Do you know how it happened, Dojima-senpai?
context: Hm?\Hm?\Dojima-senpai...\What's wrong, Yukihira?\You look like something's on your mind.\How the Shiomi Research Group was shut down?\Yeah.\Do you know how it happened, Dojima-senpai? response:	Did Hayama not challenge Central to a Shokugeki for the research group's survival?
context: Hm?\Dojima-senpai...\What's wrong, Yukihira?\You look like something's on your mind.\How the Shiomi Research Group was shut down?\Yeah.\Do you know how it happened, Dojima-senpai?\Did Hayama not challenge Central to a Shokugeki for the research group's survival? response:	What's any of this got to do with you, Yukihira-chin?
context: Dojima-senpai...\What's wrong, Yukihira?\You look like something's on your mind.\How the Shiomi Research Group was shut down?\Yeah.\Do you know how it happened, Dojima-senpai?\Did Hayama not challenge Central to a Shokugeki for the research group's survival?\What's any of this got to do with you, Yukihira-chin? response:	Who cares about a loser who's become the Azami administration's lap dog?
context: What's wrong, Yukihira?\You look like something's on your mind.\How the Shiomi Research Group was shut down?\Yeah.\Do you know how it happened, Dojima-senpai?\Did Hayama not challenge Central to a Shokugeki for the research group's survival?\What's any of this got to do with you, Yukihira-chin?\Who cares about a loser who's become the Azami administration's lap dog? response:	Well, I just have a hard time imagining someone like Hayama taking orders
context: You look like something's on your mind.\How the Shiomi Research Group was shut down?\Yeah.\Do you know how it happened, Dojima-senpai?\Did Hayama not challenge Central to a Shokugeki for the research group's survival?\What's any of this got to do with you, Yukihira-chin?\Who cares about a loser who's become the Azami administration's lap dog?\Well, I just have a hard time imagining someone like Hayama taking orders response:	from an enemy without a reason.
context: How the Shiomi Research Group was shut down?\Yeah.\Do you know how it happened, Dojima-senpai?\Did Hayama not challenge Central to a Shokugeki for the research group's survival?\What's any of this got to do with you, Yukihira-chin?\Who cares about a loser who's become the Azami administration's lap dog?\Well, I just have a hard time imagining someone like Hayama taking orders\from an enemy without a reason. response:	As you'd guessed, that wasn't his plan.
context: Yeah.\Do you know how it happened, Dojima-senpai?\Did Hayama not challenge Central to a Shokugeki for the research group's survival?\What's any of this got to do with you, Yukihira-chin?\Who cares about a loser who's become the Azami administration's lap dog?\Well, I just have a hard time imagining someone like Hayama taking orders\from an enemy without a reason.\As you'd guessed, that wasn't his plan. response:	At least, not at first.
context: Do you know how it happened, Dojima-senpai?\Did Hayama not challenge Central to a Shokugeki for the research group's survival?\What's any of this got to do with you, Yukihira-chin?\Who cares about a loser who's become the Azami administration's lap dog?\Well, I just have a hard time imagining someone like Hayama taking orders\from an enemy without a reason.\As you'd guessed, that wasn't his plan.\At least, not at first. response:	Hayama-kun!
context: Did Hayama not challenge Central to a Shokugeki for the research group's survival?\What's any of this got to do with you, Yukihira-chin?\Who cares about a loser who's become the Azami administration's lap dog?\Well, I just have a hard time imagining someone like Hayama taking orders\from an enemy without a reason.\As you'd guessed, that wasn't his plan.\At least, not at first.\Hayama-kun! response:	Shiomi Research Group Creative Curry Laboratory
context: What's any of this got to do with you, Yukihira-chin?\Who cares about a loser who's become the Azami administration's lap dog?\Well, I just have a hard time imagining someone like Hayama taking orders\from an enemy without a reason.\As you'd guessed, that wasn't his plan.\At least, not at first.\Hayama-kun!\Shiomi Research Group Creative Curry Laboratory response:	We did it!
context: Who cares about a loser who's become the Azami administration's lap dog?\Well, I just have a hard time imagining someone like Hayama taking orders\from an enemy without a reason.\As you'd guessed, that wasn't his plan.\At least, not at first.\Hayama-kun!\Shiomi Research Group Creative Curry Laboratory\We did it! response:	A lot of corporate reps just came over
context: Well, I just have a hard time imagining someone like Hayama taking orders\from an enemy without a reason.\As you'd guessed, that wasn't his plan.\At least, not at first.\Hayama-kun!\Shiomi Research Group Creative Curry Laboratory\We did it!\A lot of corporate reps just came over response:	and said they'll increase the budget for our joint projectsall of them!
context: from an enemy without a reason.\As you'd guessed, that wasn't his plan.\At least, not at first.\Hayama-kun!\Shiomi Research Group Creative Curry Laboratory\We did it!\A lot of corporate reps just came over\and said they'll increase the budget for our joint projectsall of them! response:	Huh.
context: As you'd guessed, that wasn't his plan.\At least, not at first.\Hayama-kun!\Shiomi Research Group Creative Curry Laboratory\We did it!\A lot of corporate reps just came over\and said they'll increase the budget for our joint projectsall of them!\Huh. response:	Well, that's no surprise given all your accomplishments.
context: At least, not at first.\Hayama-kun!\Shiomi Research Group Creative Curry Laboratory\We did it!\A lot of corporate reps just came over\and said they'll increase the budget for our joint projectsall of them!\Huh.\Well, that's no surprise given all your accomplishments. response:	You may not look it, but you used to be in the Elite Ten.
context: Hayama-kun!\Shiomi Research Group Creative Curry Laboratory\We did it!\A lot of corporate reps just came over\and said they'll increase the budget for our joint projectsall of them!\Huh.\Well, that's no surprise given all your accomplishments.\You may not look it, but you used to be in the Elite Ten. response:	What's that supposed to mean?!
context: Shiomi Research Group Creative Curry Laboratory\We did it!\A lot of corporate reps just came over\and said they'll increase the budget for our joint projectsall of them!\Huh.\Well, that's no surprise given all your accomplishments.\You may not look it, but you used to be in the Elite Ten.\What's that supposed to mean?! response:	Shiomi Research Group Creative Curry Laboratory
context: We did it!\A lot of corporate reps just came over\and said they'll increase the budget for our joint projectsall of them!\Huh.\Well, that's no surprise given all your accomplishments.\You may not look it, but you used to be in the Elite Ten.\What's that supposed to mean?!\Shiomi Research Group Creative Curry Laboratory response:	Hey, are you listening to me, Hayama-kun? Hey!
context: A lot of corporate reps just came over\and said they'll increase the budget for our joint projectsall of them!\Huh.\Well, that's no surprise given all your accomplishments.\You may not look it, but you used to be in the Elite Ten.\What's that supposed to mean?!\Shiomi Research Group Creative Curry Laboratory\Hey, are you listening to me, Hayama-kun? Hey! response:	I guess we'll be neck deep in research again...
context: and said they'll increase the budget for our joint projectsall of them!\Huh.\Well, that's no surprise given all your accomplishments.\You may not look it, but you used to be in the Elite Ten.\What's that supposed to mean?!\Shiomi Research Group Creative Curry Laboratory\Hey, are you listening to me, Hayama-kun? Hey!\I guess we'll be neck deep in research again... response:	What do you mean, you want to terminate the business partnership?
context: Huh.\Well, that's no surprise given all your accomplishments.\You may not look it, but you used to be in the Elite Ten.\What's that supposed to mean?!\Shiomi Research Group Creative Curry Laboratory\Hey, are you listening to me, Hayama-kun? Hey!\I guess we'll be neck deep in research again...\What do you mean, you want to terminate the business partnership? response:	Big Curry Products Business Development Division
context: Well, that's no surprise given all your accomplishments.\You may not look it, but you used to be in the Elite Ten.\What's that supposed to mean?!\Shiomi Research Group Creative Curry Laboratory\Hey, are you listening to me, Hayama-kun? Hey!\I guess we'll be neck deep in research again...\What do you mean, you want to terminate the business partnership?\Big Curry Products Business Development Division response:	We do apologize for the inconvenience.
context: You may not look it, but you used to be in the Elite Ten.\What's that supposed to mean?!\Shiomi Research Group Creative Curry Laboratory\Hey, are you listening to me, Hayama-kun? Hey!\I guess we'll be neck deep in research again...\What do you mean, you want to terminate the business partnership?\Big Curry Products Business Development Division\We do apologize for the inconvenience. response:	The details will be specified in the letter.
context: What's that supposed to mean?!\Shiomi Research Group Creative Curry Laboratory\Hey, are you listening to me, Hayama-kun? Hey!\I guess we'll be neck deep in research again...\What do you mean, you want to terminate the business partnership?\Big Curry Products Business Development Division\We do apologize for the inconvenience.\The details will be specified in the letter. response:	Hey, wait...
context: Shiomi Research Group Creative Curry Laboratory\Hey, are you listening to me, Hayama-kun? Hey!\I guess we'll be neck deep in research again...\What do you mean, you want to terminate the business partnership?\Big Curry Products Business Development Division\We do apologize for the inconvenience.\The details will be specified in the letter.\Hey, wait... response:	We do apologize. Please consider the contract null and void.
context: Hey, are you listening to me, Hayama-kun? Hey!\I guess we'll be neck deep in research again...\What do you mean, you want to terminate the business partnership?\Big Curry Products Business Development Division\We do apologize for the inconvenience.\The details will be specified in the letter.\Hey, wait...\We do apologize. Please consider the contract null and void. response:	We understand it's a major inconvenience,
context: I guess we'll be neck deep in research again...\What do you mean, you want to terminate the business partnership?\Big Curry Products Business Development Division\We do apologize for the inconvenience.\The details will be specified in the letter.\Hey, wait...\We do apologize. Please consider the contract null and void.\We understand it's a major inconvenience, response:	but we are withdrawing our sponsorship effective immediately.
context: What do you mean, you want to terminate the business partnership?\Big Curry Products Business Development Division\We do apologize for the inconvenience.\The details will be specified in the letter.\Hey, wait...\We do apologize. Please consider the contract null and void.\We understand it's a major inconvenience,\but we are withdrawing our sponsorship effective immediately. response:	Why?!
context: Big Curry Products Business Development Division\We do apologize for the inconvenience.\The details will be specified in the letter.\Hey, wait...\We do apologize. Please consider the contract null and void.\We understand it's a major inconvenience,\but we are withdrawing our sponsorship effective immediately.\Why?! response:	Tell us why!
context: We do apologize for the inconvenience.\The details will be specified in the letter.\Hey, wait...\We do apologize. Please consider the contract null and void.\We understand it's a major inconvenience,\but we are withdrawing our sponsorship effective immediately.\Why?!\Tell us why! response:	Because all autonomous groups in Totsuki Academy will be disbanded.
context: The details will be specified in the letter.\Hey, wait...\We do apologize. Please consider the contract null and void.\We understand it's a major inconvenience,\but we are withdrawing our sponsorship effective immediately.\Why?!\Tell us why!\Because all autonomous groups in Totsuki Academy will be disbanded. response:	Central will be the only public face of Totsuki.
context: Hey, wait...\We do apologize. Please consider the contract null and void.\We understand it's a major inconvenience,\but we are withdrawing our sponsorship effective immediately.\Why?!\Tell us why!\Because all autonomous groups in Totsuki Academy will be disbanded.\Central will be the only public face of Totsuki. response:	Your culinary sensitivities are
context: We do apologize. Please consider the contract null and void.\We understand it's a major inconvenience,\but we are withdrawing our sponsorship effective immediately.\Why?!\Tell us why!\Because all autonomous groups in Totsuki Academy will be disbanded.\Central will be the only public face of Totsuki.\Your culinary sensitivities are response:	worthy of inclusion in the world of true gourmet food I envision.
context: We understand it's a major inconvenience,\but we are withdrawing our sponsorship effective immediately.\Why?!\Tell us why!\Because all autonomous groups in Totsuki Academy will be disbanded.\Central will be the only public face of Totsuki.\Your culinary sensitivities are\worthy of inclusion in the world of true gourmet food I envision. response:	I want you to join Central.
context: but we are withdrawing our sponsorship effective immediately.\Why?!\Tell us why!\Because all autonomous groups in Totsuki Academy will be disbanded.\Central will be the only public face of Totsuki.\Your culinary sensitivities are\worthy of inclusion in the world of true gourmet food I envision.\I want you to join Central. response:	I'll give you an entire laboratory facility for your personal use.
context: Why?!\Tell us why!\Because all autonomous groups in Totsuki Academy will be disbanded.\Central will be the only public face of Totsuki.\Your culinary sensitivities are\worthy of inclusion in the world of true gourmet food I envision.\I want you to join Central.\I'll give you an entire laboratory facility for your personal use. response:	That is, if you'll accept the disbanding of the research group
context: Tell us why!\Because all autonomous groups in Totsuki Academy will be disbanded.\Central will be the only public face of Totsuki.\Your culinary sensitivities are\worthy of inclusion in the world of true gourmet food I envision.\I want you to join Central.\I'll give you an entire laboratory facility for your personal use.\That is, if you'll accept the disbanding of the research group response:	and swear fealty to me.
context: Because all autonomous groups in Totsuki Academy will be disbanded.\Central will be the only public face of Totsuki.\Your culinary sensitivities are\worthy of inclusion in the world of true gourmet food I envision.\I want you to join Central.\I'll give you an entire laboratory facility for your personal use.\That is, if you'll accept the disbanding of the research group\and swear fealty to me. response:	This is stupid, old man.
context: Central will be the only public face of Totsuki.\Your culinary sensitivities are\worthy of inclusion in the world of true gourmet food I envision.\I want you to join Central.\I'll give you an entire laboratory facility for your personal use.\That is, if you'll accept the disbanding of the research group\and swear fealty to me.\This is stupid, old man. response:	I'll never let you shut down Shiomi Research Group
context: Your culinary sensitivities are\worthy of inclusion in the world of true gourmet food I envision.\I want you to join Central.\I'll give you an entire laboratory facility for your personal use.\That is, if you'll accept the disbanding of the research group\and swear fealty to me.\This is stupid, old man.\I'll never let you shut down Shiomi Research Group response:	That research group has no future as long as I'm here.
context: worthy of inclusion in the world of true gourmet food I envision.\I want you to join Central.\I'll give you an entire laboratory facility for your personal use.\That is, if you'll accept the disbanding of the research group\and swear fealty to me.\This is stupid, old man.\I'll never let you shut down Shiomi Research Group\That research group has no future as long as I'm here. response:	Data Oct-Nov'12
context: I want you to join Central.\I'll give you an entire laboratory facility for your personal use.\That is, if you'll accept the disbanding of the research group\and swear fealty to me.\This is stupid, old man.\I'll never let you shut down Shiomi Research Group\That research group has no future as long as I'm here.\Data Oct-Nov'12 response:	Neither do these, in fact.
context: I'll give you an entire laboratory facility for your personal use.\That is, if you'll accept the disbanding of the research group\and swear fealty to me.\This is stupid, old man.\I'll never let you shut down Shiomi Research Group\That research group has no future as long as I'm here.\Data Oct-Nov'12\Neither do these, in fact. response:	Give them back!
context: That is, if you'll accept the disbanding of the research group\and swear fealty to me.\This is stupid, old man.\I'll never let you shut down Shiomi Research Group\That research group has no future as long as I'm here.\Data Oct-Nov'12\Neither do these, in fact.\Give them back! response:	You have no right to them!
context: and swear fealty to me.\This is stupid, old man.\I'll never let you shut down Shiomi Research Group\That research group has no future as long as I'm here.\Data Oct-Nov'12\Neither do these, in fact.\Give them back!\You have no right to them! response:	That's ourthe research group'sresearch data!
context: This is stupid, old man.\I'll never let you shut down Shiomi Research Group\That research group has no future as long as I'm here.\Data Oct-Nov'12\Neither do these, in fact.\Give them back!\You have no right to them!\That's ourthe research group'sresearch data! response:	This is where we begin negotiations.
context: I'll never let you shut down Shiomi Research Group\That research group has no future as long as I'm here.\Data Oct-Nov'12\Neither do these, in fact.\Give them back!\You have no right to them!\That's ourthe research group'sresearch data!\This is where we begin negotiations. response:	If you'll do as I say,
context: That research group has no future as long as I'm here.\Data Oct-Nov'12\Neither do these, in fact.\Give them back!\You have no right to them!\That's ourthe research group'sresearch data!\This is where we begin negotiations.\If you'll do as I say, response:	I'll allow you to add Professor Shiomi to your research facility.
context: Data Oct-Nov'12\Neither do these, in fact.\Give them back!\You have no right to them!\That's ourthe research group'sresearch data!\This is where we begin negotiations.\If you'll do as I say,\I'll allow you to add Professor Shiomi to your research facility. response:	You can choose to engage in a Shokugeki for the
context: Neither do these, in fact.\Give them back!\You have no right to them!\That's ourthe research group'sresearch data!\This is where we begin negotiations.\If you'll do as I say,\I'll allow you to add Professor Shiomi to your research facility.\You can choose to engage in a Shokugeki for the response:	continued existence of your research group,
context: Give them back!\You have no right to them!\That's ourthe research group'sresearch data!\This is where we begin negotiations.\If you'll do as I say,\I'll allow you to add Professor Shiomi to your research facility.\You can choose to engage in a Shokugeki for the\continued existence of your research group, response:	but even if you win, your corporate partnerships are long gone.
context: You have no right to them!\That's ourthe research group'sresearch data!\This is where we begin negotiations.\If you'll do as I say,\I'll allow you to add Professor Shiomi to your research facility.\You can choose to engage in a Shokugeki for the\continued existence of your research group,\but even if you win, your corporate partnerships are long gone. response:	Professor Shiomi's activities will most likely be restricted, too.
context: That's ourthe research group'sresearch data!\This is where we begin negotiations.\If you'll do as I say,\I'll allow you to add Professor Shiomi to your research facility.\You can choose to engage in a Shokugeki for the\continued existence of your research group,\but even if you win, your corporate partnerships are long gone.\Professor Shiomi's activities will most likely be restricted, too. response:	In the coming days, there will be a battle royale to fill the vacant Elite Ten seats.
context: This is where we begin negotiations.\If you'll do as I say,\I'll allow you to add Professor Shiomi to your research facility.\You can choose to engage in a Shokugeki for the\continued existence of your research group,\but even if you win, your corporate partnerships are long gone.\Professor Shiomi's activities will most likely be restricted, too.\In the coming days, there will be a battle royale to fill the vacant Elite Ten seats. response:	I do hope to see you there.
context: If you'll do as I say,\I'll allow you to add Professor Shiomi to your research facility.\You can choose to engage in a Shokugeki for the\continued existence of your research group,\but even if you win, your corporate partnerships are long gone.\Professor Shiomi's activities will most likely be restricted, too.\In the coming days, there will be a battle royale to fill the vacant Elite Ten seats.\I do hope to see you there. response:	Hayama participated in the battle royale and became the ninth seat.
context: I'll allow you to add Professor Shiomi to your research facility.\You can choose to engage in a Shokugeki for the\continued existence of your research group,\but even if you win, your corporate partnerships are long gone.\Professor Shiomi's activities will most likely be restricted, too.\In the coming days, there will be a battle royale to fill the vacant Elite Ten seats.\I do hope to see you there.\Hayama participated in the battle royale and became the ninth seat. response:	That is all I've heard.
context: You can choose to engage in a Shokugeki for the\continued existence of your research group,\but even if you win, your corporate partnerships are long gone.\Professor Shiomi's activities will most likely be restricted, too.\In the coming days, there will be a battle royale to fill the vacant Elite Ten seats.\I do hope to see you there.\Hayama participated in the battle royale and became the ninth seat.\That is all I've heard. response:	It's likely that forcing Hayama Akira to
context: continued existence of your research group,\but even if you win, your corporate partnerships are long gone.\Professor Shiomi's activities will most likely be restricted, too.\In the coming days, there will be a battle royale to fill the vacant Elite Ten seats.\I do hope to see you there.\Hayama participated in the battle royale and became the ninth seat.\That is all I've heard.\It's likely that forcing Hayama Akira to response:	become an ally was Nakiri Azami's objective from the very start.
context: but even if you win, your corporate partnerships are long gone.\Professor Shiomi's activities will most likely be restricted, too.\In the coming days, there will be a battle royale to fill the vacant Elite Ten seats.\I do hope to see you there.\Hayama participated in the battle royale and became the ninth seat.\That is all I've heard.\It's likely that forcing Hayama Akira to\become an ally was Nakiri Azami's objective from the very start. response:	Azami's such a bastard!
context: Professor Shiomi's activities will most likely be restricted, too.\In the coming days, there will be a battle royale to fill the vacant Elite Ten seats.\I do hope to see you there.\Hayama participated in the battle royale and became the ninth seat.\That is all I've heard.\It's likely that forcing Hayama Akira to\become an ally was Nakiri Azami's objective from the very start.\Azami's such a bastard! response:	Unbelievable!
context: In the coming days, there will be a battle royale to fill the vacant Elite Ten seats.\I do hope to see you there.\Hayama participated in the battle royale and became the ninth seat.\That is all I've heard.\It's likely that forcing Hayama Akira to\become an ally was Nakiri Azami's objective from the very start.\Azami's such a bastard!\Unbelievable! response:	Seriously?! I feel really bad for Hayama-chin!
context: I do hope to see you there.\Hayama participated in the battle royale and became the ninth seat.\That is all I've heard.\It's likely that forcing Hayama Akira to\become an ally was Nakiri Azami's objective from the very start.\Azami's such a bastard!\Unbelievable!\Seriously?! I feel really bad for Hayama-chin! response:	Hayama must defeat you in order to reach his goal.
context: Hayama participated in the battle royale and became the ninth seat.\That is all I've heard.\It's likely that forcing Hayama Akira to\become an ally was Nakiri Azami's objective from the very start.\Azami's such a bastard!\Unbelievable!\Seriously?! I feel really bad for Hayama-chin!\Hayama must defeat you in order to reach his goal. response:	I see.
context: That is all I've heard.\It's likely that forcing Hayama Akira to\become an ally was Nakiri Azami's objective from the very start.\Azami's such a bastard!\Unbelievable!\Seriously?! I feel really bad for Hayama-chin!\Hayama must defeat you in order to reach his goal.\I see. response:	So that's why he said it's a checkpoint.
context: It's likely that forcing Hayama Akira to\become an ally was Nakiri Azami's objective from the very start.\Azami's such a bastard!\Unbelievable!\Seriously?! I feel really bad for Hayama-chin!\Hayama must defeat you in order to reach his goal.\I see.\So that's why he said it's a checkpoint. response:	Hey, Yukihira-chin?
context: become an ally was Nakiri Azami's objective from the very start.\Azami's such a bastard!\Unbelievable!\Seriously?! I feel really bad for Hayama-chin!\Hayama must defeat you in order to reach his goal.\I see.\So that's why he said it's a checkpoint.\Hey, Yukihira-chin? response:	Hayama!
context: Azami's such a bastard!\Unbelievable!\Seriously?! I feel really bad for Hayama-chin!\Hayama must defeat you in order to reach his goal.\I see.\So that's why he said it's a checkpoint.\Hey, Yukihira-chin?\Hayama! response:	Hayama!
context: Unbelievable!\Seriously?! I feel really bad for Hayama-chin!\Hayama must defeat you in order to reach his goal.\I see.\So that's why he said it's a checkpoint.\Hey, Yukihira-chin?\Hayama!\Hayama! response:	Hayama!
context: Seriously?! I feel really bad for Hayama-chin!\Hayama must defeat you in order to reach his goal.\I see.\So that's why he said it's a checkpoint.\Hey, Yukihira-chin?\Hayama!\Hayama!\Hayama! response:	Hayama!
context: Hayama must defeat you in order to reach his goal.\I see.\So that's why he said it's a checkpoint.\Hey, Yukihira-chin?\Hayama!\Hayama!\Hayama!\Hayama! response:	Hayama!
context: I see.\So that's why he said it's a checkpoint.\Hey, Yukihira-chin?\Hayama!\Hayama!\Hayama!\Hayama!\Hayama! response:	Hayama!
context: So that's why he said it's a checkpoint.\Hey, Yukihira-chin?\Hayama!\Hayama!\Hayama!\Hayama!\Hayama!\Hayama! response:	Hayama, I heard what burden you're carrying.
context: Hey, Yukihira-chin?\Hayama!\Hayama!\Hayama!\Hayama!\Hayama!\Hayama!\Hayama, I heard what burden you're carrying. response:	If you can beat me in the advancement exam,
context: Hayama!\Hayama!\Hayama!\Hayama!\Hayama!\Hayama!\Hayama, I heard what burden you're carrying.\If you can beat me in the advancement exam, response:	you can keep on doing what you want to do.
context: Hayama!\Hayama!\Hayama!\Hayama!\Hayama!\Hayama, I heard what burden you're carrying.\If you can beat me in the advancement exam,\you can keep on doing what you want to do. response:	So this match is just a checkpoint for that, right?
context: Hayama!\Hayama!\Hayama!\Hayama!\Hayama, I heard what burden you're carrying.\If you can beat me in the advancement exam,\you can keep on doing what you want to do.\So this match is just a checkpoint for that, right? response:	Sounds about right.
context: Hayama!\Hayama!\Hayama!\Hayama, I heard what burden you're carrying.\If you can beat me in the advancement exam,\you can keep on doing what you want to do.\So this match is just a checkpoint for that, right?\Sounds about right. response:	You should really stop underestimating me.
context: Hayama!\Hayama!\Hayama, I heard what burden you're carrying.\If you can beat me in the advancement exam,\you can keep on doing what you want to do.\So this match is just a checkpoint for that, right?\Sounds about right.\You should really stop underestimating me. response:	I'm here to redeem myself.
