context: There is no way a monster that plays response:	with an innocent girl's emotions would...
context: Tuxedo Mask!\Moon Tiara Action!\Fire Soul!\Good-bye, sailor warriors!\He's so dreamy!\I have found Sailor Moon's weakness!\Nephrite, Queen Beryl is calling for you.\Nephrite, it seems the collection of human energy response:	is not proceeding very well.
context: Moon Tiara Action!\Fire Soul!\Good-bye, sailor warriors!\He's so dreamy!\I have found Sailor Moon's weakness!\Nephrite, Queen Beryl is calling for you.\Nephrite, it seems the collection of human energy\is not proceeding very well. response:	The universe was not created overnight.
context: Fire Soul!\Good-bye, sailor warriors!\He's so dreamy!\I have found Sailor Moon's weakness!\Nephrite, Queen Beryl is calling for you.\Nephrite, it seems the collection of human energy\is not proceeding very well.\The universe was not created overnight. response:	Do not talk back to me!
context: Good-bye, sailor warriors!\He's so dreamy!\I have found Sailor Moon's weakness!\Nephrite, Queen Beryl is calling for you.\Nephrite, it seems the collection of human energy\is not proceeding very well.\The universe was not created overnight.\Do not talk back to me! response:	If you cannot defeat Sailor Moon and the others,
context: He's so dreamy!\I have found Sailor Moon's weakness!\Nephrite, Queen Beryl is calling for you.\Nephrite, it seems the collection of human energy\is not proceeding very well.\The universe was not created overnight.\Do not talk back to me!\If you cannot defeat Sailor Moon and the others, response:	I will sentence you to Eternal Sleep, just like Jadeite!
context: I have found Sailor Moon's weakness!\Nephrite, Queen Beryl is calling for you.\Nephrite, it seems the collection of human energy\is not proceeding very well.\The universe was not created overnight.\Do not talk back to me!\If you cannot defeat Sailor Moon and the others,\I will sentence you to Eternal Sleep, just like Jadeite! response:	Such a terrible punishment.
context: Nephrite, Queen Beryl is calling for you.\Nephrite, it seems the collection of human energy\is not proceeding very well.\The universe was not created overnight.\Do not talk back to me!\If you cannot defeat Sailor Moon and the others,\I will sentence you to Eternal Sleep, just like Jadeite!\Such a terrible punishment. response:	I am one of the Great Four of the Dark Kingdom, Nephrite!
context: Nephrite, it seems the collection of human energy\is not proceeding very well.\The universe was not created overnight.\Do not talk back to me!\If you cannot defeat Sailor Moon and the others,\I will sentence you to Eternal Sleep, just like Jadeite!\Such a terrible punishment.\I am one of the Great Four of the Dark Kingdom, Nephrite! response:	I do not need others to order me around.
context: is not proceeding very well.\The universe was not created overnight.\Do not talk back to me!\If you cannot defeat Sailor Moon and the others,\I will sentence you to Eternal Sleep, just like Jadeite!\Such a terrible punishment.\I am one of the Great Four of the Dark Kingdom, Nephrite!\I do not need others to order me around. response:	I am already thinking of a way to defeat Sailor Moon and the rest.
context: The universe was not created overnight.\Do not talk back to me!\If you cannot defeat Sailor Moon and the others,\I will sentence you to Eternal Sleep, just like Jadeite!\Such a terrible punishment.\I am one of the Great Four of the Dark Kingdom, Nephrite!\I do not need others to order me around.\I am already thinking of a way to defeat Sailor Moon and the rest. response:	I remember Jadeite used to say the same thing... I wonder if you can...
context: Do not talk back to me!\If you cannot defeat Sailor Moon and the others,\I will sentence you to Eternal Sleep, just like Jadeite!\Such a terrible punishment.\I am one of the Great Four of the Dark Kingdom, Nephrite!\I do not need others to order me around.\I am already thinking of a way to defeat Sailor Moon and the rest.\I remember Jadeite used to say the same thing... I wonder if you can... response:	I swear that I will lure Sailor Moon out and kill her, without fail.
context: If you cannot defeat Sailor Moon and the others,\I will sentence you to Eternal Sleep, just like Jadeite!\Such a terrible punishment.\I am one of the Great Four of the Dark Kingdom, Nephrite!\I do not need others to order me around.\I am already thinking of a way to defeat Sailor Moon and the rest.\I remember Jadeite used to say the same thing... I wonder if you can...\I swear that I will lure Sailor Moon out and kill her, without fail. response:	Very well.
context: I will sentence you to Eternal Sleep, just like Jadeite!\Such a terrible punishment.\I am one of the Great Four of the Dark Kingdom, Nephrite!\I do not need others to order me around.\I am already thinking of a way to defeat Sailor Moon and the rest.\I remember Jadeite used to say the same thing... I wonder if you can...\I swear that I will lure Sailor Moon out and kill her, without fail.\Very well. response:	And I already have a plan.
context: Such a terrible punishment.\I am one of the Great Four of the Dark Kingdom, Nephrite!\I do not need others to order me around.\I am already thinking of a way to defeat Sailor Moon and the rest.\I remember Jadeite used to say the same thing... I wonder if you can...\I swear that I will lure Sailor Moon out and kill her, without fail.\Very well.\And I already have a plan. response:	Oh?
context: I am one of the Great Four of the Dark Kingdom, Nephrite!\I do not need others to order me around.\I am already thinking of a way to defeat Sailor Moon and the rest.\I remember Jadeite used to say the same thing... I wonder if you can...\I swear that I will lure Sailor Moon out and kill her, without fail.\Very well.\And I already have a plan.\Oh? response:	Miss Usagi Tsukino Oh?
context: I do not need others to order me around.\I am already thinking of a way to defeat Sailor Moon and the rest.\I remember Jadeite used to say the same thing... I wonder if you can...\I swear that I will lure Sailor Moon out and kill her, without fail.\Very well.\And I already have a plan.\Oh?\Miss Usagi Tsukino Oh? response:	Oh?
context: I am already thinking of a way to defeat Sailor Moon and the rest.\I remember Jadeite used to say the same thing... I wonder if you can...\I swear that I will lure Sailor Moon out and kill her, without fail.\Very well.\And I already have a plan.\Oh?\Miss Usagi Tsukino Oh?\Oh? response:	Why?! Why?! Why?!
context: I remember Jadeite used to say the same thing... I wonder if you can...\I swear that I will lure Sailor Moon out and kill her, without fail.\Very well.\And I already have a plan.\Oh?\Miss Usagi Tsukino Oh?\Oh?\Why?! Why?! Why?! response:	From Tuxedo Mask Why?! Why?! Why?!
context: I swear that I will lure Sailor Moon out and kill her, without fail.\Very well.\And I already have a plan.\Oh?\Miss Usagi Tsukino Oh?\Oh?\Why?! Why?! Why?!\From Tuxedo Mask Why?! Why?! Why?! response:	From Tuxedo Mask It's from Tuxedo Mask.
context: Very well.\And I already have a plan.\Oh?\Miss Usagi Tsukino Oh?\Oh?\Why?! Why?! Why?!\From Tuxedo Mask Why?! Why?! Why?!\From Tuxedo Mask It's from Tuxedo Mask. response:	From Tuxedo Mask
context: And I already have a plan.\Oh?\Miss Usagi Tsukino Oh?\Oh?\Why?! Why?! Why?!\From Tuxedo Mask Why?! Why?! Why?!\From Tuxedo Mask It's from Tuxedo Mask.\From Tuxedo Mask response:	I love you more than anyone else.
context: Oh?\Miss Usagi Tsukino Oh?\Oh?\Why?! Why?! Why?!\From Tuxedo Mask Why?! Why?! Why?!\From Tuxedo Mask It's from Tuxedo Mask.\From Tuxedo Mask\I love you more than anyone else. response:	Please meet me at the MS Department Store in Shinjuku tomorrow night.
context: Miss Usagi Tsukino Oh?\Oh?\Why?! Why?! Why?!\From Tuxedo Mask Why?! Why?! Why?!\From Tuxedo Mask It's from Tuxedo Mask.\From Tuxedo Mask\I love you more than anyone else.\Please meet me at the MS Department Store in Shinjuku tomorrow night. response:	Wow! All right!
context: Oh?\Why?! Why?! Why?!\From Tuxedo Mask Why?! Why?! Why?!\From Tuxedo Mask It's from Tuxedo Mask.\From Tuxedo Mask\I love you more than anyone else.\Please meet me at the MS Department Store in Shinjuku tomorrow night.\Wow! All right! response:	Why the heck would Tuxedo Mask send you a love letter?
context: Why?! Why?! Why?!\From Tuxedo Mask Why?! Why?! Why?!\From Tuxedo Mask It's from Tuxedo Mask.\From Tuxedo Mask\I love you more than anyone else.\Please meet me at the MS Department Store in Shinjuku tomorrow night.\Wow! All right!\Why the heck would Tuxedo Mask send you a love letter? response:	You know why! Because...
context: From Tuxedo Mask Why?! Why?! Why?!\From Tuxedo Mask It's from Tuxedo Mask.\From Tuxedo Mask\I love you more than anyone else.\Please meet me at the MS Department Store in Shinjuku tomorrow night.\Wow! All right!\Why the heck would Tuxedo Mask send you a love letter?\You know why! Because... response:	He loves me!
context: From Tuxedo Mask It's from Tuxedo Mask.\From Tuxedo Mask\I love you more than anyone else.\Please meet me at the MS Department Store in Shinjuku tomorrow night.\Wow! All right!\Why the heck would Tuxedo Mask send you a love letter?\You know why! Because...\He loves me! response:	But that's not right. How come he knows you're Sailor Moon?
context: From Tuxedo Mask\I love you more than anyone else.\Please meet me at the MS Department Store in Shinjuku tomorrow night.\Wow! All right!\Why the heck would Tuxedo Mask send you a love letter?\You know why! Because...\He loves me!\But that's not right. How come he knows you're Sailor Moon? response:	Love conquers all!
context: I love you more than anyone else.\Please meet me at the MS Department Store in Shinjuku tomorrow night.\Wow! All right!\Why the heck would Tuxedo Mask send you a love letter?\You know why! Because...\He loves me!\But that's not right. How come he knows you're Sailor Moon?\Love conquers all! response:	The power of love can solve all mysteries.
context: Please meet me at the MS Department Store in Shinjuku tomorrow night.\Wow! All right!\Why the heck would Tuxedo Mask send you a love letter?\You know why! Because...\He loves me!\But that's not right. How come he knows you're Sailor Moon?\Love conquers all!\The power of love can solve all mysteries. response:	In short, Tuxedo Mask's love is so strong, he saw through my secret!
context: Wow! All right!\Why the heck would Tuxedo Mask send you a love letter?\You know why! Because...\He loves me!\But that's not right. How come he knows you're Sailor Moon?\Love conquers all!\The power of love can solve all mysteries.\In short, Tuxedo Mask's love is so strong, he saw through my secret! response:	Tuxedo Mask has always helped you,
context: Why the heck would Tuxedo Mask send you a love letter?\You know why! Because...\He loves me!\But that's not right. How come he knows you're Sailor Moon?\Love conquers all!\The power of love can solve all mysteries.\In short, Tuxedo Mask's love is so strong, he saw through my secret!\Tuxedo Mask has always helped you, response:	but we still don't know if he's on our side or not.
context: You know why! Because...\He loves me!\But that's not right. How come he knows you're Sailor Moon?\Love conquers all!\The power of love can solve all mysteries.\In short, Tuxedo Mask's love is so strong, he saw through my secret!\Tuxedo Mask has always helped you,\but we still don't know if he's on our side or not. response:	You have to be careful!
context: He loves me!\But that's not right. How come he knows you're Sailor Moon?\Love conquers all!\The power of love can solve all mysteries.\In short, Tuxedo Mask's love is so strong, he saw through my secret!\Tuxedo Mask has always helped you,\but we still don't know if he's on our side or not.\You have to be careful! response:	Miss Usagi Tsukino
context: But that's not right. How come he knows you're Sailor Moon?\Love conquers all!\The power of love can solve all mysteries.\In short, Tuxedo Mask's love is so strong, he saw through my secret!\Tuxedo Mask has always helped you,\but we still don't know if he's on our side or not.\You have to be careful!\Miss Usagi Tsukino response:	Junban Municipal Junior High School
context: Love conquers all!\The power of love can solve all mysteries.\In short, Tuxedo Mask's love is so strong, he saw through my secret!\Tuxedo Mask has always helped you,\but we still don't know if he's on our side or not.\You have to be careful!\Miss Usagi Tsukino\Junban Municipal Junior High School response:	Junban Municipal Junior High School No! Thatcan't betrue!
context: The power of love can solve all mysteries.\In short, Tuxedo Mask's love is so strong, he saw through my secret!\Tuxedo Mask has always helped you,\but we still don't know if he's on our side or not.\You have to be careful!\Miss Usagi Tsukino\Junban Municipal Junior High School\Junban Municipal Junior High School No! Thatcan't betrue! response:	But it is. I also got a love letter from someone named Tuxedo Mask.
context: In short, Tuxedo Mask's love is so strong, he saw through my secret!\Tuxedo Mask has always helped you,\but we still don't know if he's on our side or not.\You have to be careful!\Miss Usagi Tsukino\Junban Municipal Junior High School\Junban Municipal Junior High School No! Thatcan't betrue!\But it is. I also got a love letter from someone named Tuxedo Mask. response:	Me, too.
context: Tuxedo Mask has always helped you,\but we still don't know if he's on our side or not.\You have to be careful!\Miss Usagi Tsukino\Junban Municipal Junior High School\Junban Municipal Junior High School No! Thatcan't betrue!\But it is. I also got a love letter from someone named Tuxedo Mask.\Me, too. response:	Me, too.
context: but we still don't know if he's on our side or not.\You have to be careful!\Miss Usagi Tsukino\Junban Municipal Junior High School\Junban Municipal Junior High School No! Thatcan't betrue!\But it is. I also got a love letter from someone named Tuxedo Mask.\Me, too.\Me, too. response:	Me, too. Me, too.
context: You have to be careful!\Miss Usagi Tsukino\Junban Municipal Junior High School\Junban Municipal Junior High School No! Thatcan't betrue!\But it is. I also got a love letter from someone named Tuxedo Mask.\Me, too.\Me, too.\Me, too. Me, too. response:	Me, too.
context: Miss Usagi Tsukino\Junban Municipal Junior High School\Junban Municipal Junior High School No! Thatcan't betrue!\But it is. I also got a love letter from someone named Tuxedo Mask.\Me, too.\Me, too.\Me, too. Me, too.\Me, too. response:	Me, too. Me, too.
context: Junban Municipal Junior High School\Junban Municipal Junior High School No! Thatcan't betrue!\But it is. I also got a love letter from someone named Tuxedo Mask.\Me, too.\Me, too.\Me, too. Me, too.\Me, too.\Me, too. Me, too. response:	Me, too. Me, too.
context: Junban Municipal Junior High School No! Thatcan't betrue!\But it is. I also got a love letter from someone named Tuxedo Mask.\Me, too.\Me, too.\Me, too. Me, too.\Me, too.\Me, too. Me, too.\Me, too. Me, too. response:	Me, too.
context: But it is. I also got a love letter from someone named Tuxedo Mask.\Me, too.\Me, too.\Me, too. Me, too.\Me, too.\Me, too. Me, too.\Me, too. Me, too.\Me, too. response:	Who is this Tuxedo Mask? Me, too.
context: Me, too.\Me, too.\Me, too. Me, too.\Me, too.\Me, too. Me, too.\Me, too. Me, too.\Me, too.\Who is this Tuxedo Mask? Me, too. response:	Who is this Tuxedo Mask?
context: Me, too.\Me, too. Me, too.\Me, too.\Me, too. Me, too.\Me, too. Me, too.\Me, too.\Who is this Tuxedo Mask? Me, too.\Who is this Tuxedo Mask? response:	I have no idea.
context: Me, too. Me, too.\Me, too.\Me, too. Me, too.\Me, too. Me, too.\Me, too.\Who is this Tuxedo Mask? Me, too.\Who is this Tuxedo Mask?\I have no idea. response:	Miss Naru Osaka I have no idea.
context: Me, too.\Me, too. Me, too.\Me, too. Me, too.\Me, too.\Who is this Tuxedo Mask? Me, too.\Who is this Tuxedo Mask?\I have no idea.\Miss Naru Osaka I have no idea. response:	Miss Naru Osaka I wish this love letter was from that person.
context: Me, too. Me, too.\Me, too. Me, too.\Me, too.\Who is this Tuxedo Mask? Me, too.\Who is this Tuxedo Mask?\I have no idea.\Miss Naru Osaka I have no idea.\Miss Naru Osaka I wish this love letter was from that person. response:	From Tuxedo Mask I wish this love letter was from that person.
context: Me, too. Me, too.\Me, too.\Who is this Tuxedo Mask? Me, too.\Who is this Tuxedo Mask?\I have no idea.\Miss Naru Osaka I have no idea.\Miss Naru Osaka I wish this love letter was from that person.\From Tuxedo Mask I wish this love letter was from that person. response:	Everyone, you must not be tricked by the prank love letters!
context: Me, too.\Who is this Tuxedo Mask? Me, too.\Who is this Tuxedo Mask?\I have no idea.\Miss Naru Osaka I have no idea.\Miss Naru Osaka I wish this love letter was from that person.\From Tuxedo Mask I wish this love letter was from that person.\Everyone, you must not be tricked by the prank love letters! response:	Ladies should always be modest. Do you understand?
context: Who is this Tuxedo Mask? Me, too.\Who is this Tuxedo Mask?\I have no idea.\Miss Naru Osaka I have no idea.\Miss Naru Osaka I wish this love letter was from that person.\From Tuxedo Mask I wish this love letter was from that person.\Everyone, you must not be tricked by the prank love letters!\Ladies should always be modest. Do you understand? response:	Yes!
context: Who is this Tuxedo Mask?\I have no idea.\Miss Naru Osaka I have no idea.\Miss Naru Osaka I wish this love letter was from that person.\From Tuxedo Mask I wish this love letter was from that person.\Everyone, you must not be tricked by the prank love letters!\Ladies should always be modest. Do you understand?\Yes! response:	That letter may have been sent by somebody vicious to tempt you.
context: I have no idea.\Miss Naru Osaka I have no idea.\Miss Naru Osaka I wish this love letter was from that person.\From Tuxedo Mask I wish this love letter was from that person.\Everyone, you must not be tricked by the prank love letters!\Ladies should always be modest. Do you understand?\Yes!\That letter may have been sent by somebody vicious to tempt you. response:	Do not go to the MS Department Store in Shinjuku. Do you understand?
context: Miss Naru Osaka I have no idea.\Miss Naru Osaka I wish this love letter was from that person.\From Tuxedo Mask I wish this love letter was from that person.\Everyone, you must not be tricked by the prank love letters!\Ladies should always be modest. Do you understand?\Yes!\That letter may have been sent by somebody vicious to tempt you.\Do not go to the MS Department Store in Shinjuku. Do you understand? response:	Yes, Ma'am!
context: Miss Naru Osaka I wish this love letter was from that person.\From Tuxedo Mask I wish this love letter was from that person.\Everyone, you must not be tricked by the prank love letters!\Ladies should always be modest. Do you understand?\Yes!\That letter may have been sent by somebody vicious to tempt you.\Do not go to the MS Department Store in Shinjuku. Do you understand?\Yes, Ma'am! response:	Good!
context: From Tuxedo Mask I wish this love letter was from that person.\Everyone, you must not be tricked by the prank love letters!\Ladies should always be modest. Do you understand?\Yes!\That letter may have been sent by somebody vicious to tempt you.\Do not go to the MS Department Store in Shinjuku. Do you understand?\Yes, Ma'am!\Good! response:	It's outrageous! Why didn't I get a love letter, too?!
context: Everyone, you must not be tricked by the prank love letters!\Ladies should always be modest. Do you understand?\Yes!\That letter may have been sent by somebody vicious to tempt you.\Do not go to the MS Department Store in Shinjuku. Do you understand?\Yes, Ma'am!\Good!\It's outrageous! Why didn't I get a love letter, too?! response:	See?
context: Ladies should always be modest. Do you understand?\Yes!\That letter may have been sent by somebody vicious to tempt you.\Do not go to the MS Department Store in Shinjuku. Do you understand?\Yes, Ma'am!\Good!\It's outrageous! Why didn't I get a love letter, too?!\See? response:	Don't you think something is fishy?
context: Yes!\That letter may have been sent by somebody vicious to tempt you.\Do not go to the MS Department Store in Shinjuku. Do you understand?\Yes, Ma'am!\Good!\It's outrageous! Why didn't I get a love letter, too?!\See?\Don't you think something is fishy? response:	That's true. We should probably talk to Rei about this as well.
context: That letter may have been sent by somebody vicious to tempt you.\Do not go to the MS Department Store in Shinjuku. Do you understand?\Yes, Ma'am!\Good!\It's outrageous! Why didn't I get a love letter, too?!\See?\Don't you think something is fishy?\That's true. We should probably talk to Rei about this as well. response:	So, someone named Tuxedo Mask is sending love letters? Oh! So close!
context: Do not go to the MS Department Store in Shinjuku. Do you understand?\Yes, Ma'am!\Good!\It's outrageous! Why didn't I get a love letter, too?!\See?\Don't you think something is fishy?\That's true. We should probably talk to Rei about this as well.\So, someone named Tuxedo Mask is sending love letters? Oh! So close! response:	It seems like lots of girls got one.
context: Yes, Ma'am!\Good!\It's outrageous! Why didn't I get a love letter, too?!\See?\Don't you think something is fishy?\That's true. We should probably talk to Rei about this as well.\So, someone named Tuxedo Mask is sending love letters? Oh! So close!\It seems like lots of girls got one. response:	I wonder if it's some kind of promotion?
