context: The Third Plate response:	Seven
context: New Director Nakiri Azami Inaugural Speech\Greetings, students.\I am Nakiri Azami.\New Director Nakiri Azami Inaugural Speech\Greetings, students.\I am Nakiri Azami.\So this is Erina-cchi's...\The Crumbling Academy response:	Yeah, her shithead father!
context: Greetings, students.\I am Nakiri Azami.\New Director Nakiri Azami Inaugural Speech\Greetings, students.\I am Nakiri Azami.\So this is Erina-cchi's...\The Crumbling Academy\Yeah, her shithead father! response:	He was a former Elite Ten member, too.
context: I am Nakiri Azami.\New Director Nakiri Azami Inaugural Speech\Greetings, students.\I am Nakiri Azami.\So this is Erina-cchi's...\The Crumbling Academy\Yeah, her shithead father!\He was a former Elite Ten member, too. response:	I will now speak with you
context: New Director Nakiri Azami Inaugural Speech\Greetings, students.\I am Nakiri Azami.\So this is Erina-cchi's...\The Crumbling Academy\Yeah, her shithead father!\He was a former Elite Ten member, too.\I will now speak with you response:	about the revolution I have planned to achieve my ideal vision for Totsuki Academy.
context: Greetings, students.\I am Nakiri Azami.\So this is Erina-cchi's...\The Crumbling Academy\Yeah, her shithead father!\He was a former Elite Ten member, too.\I will now speak with you\about the revolution I have planned to achieve my ideal vision for Totsuki Academy. response:	First, with regard to our culinary courses,
context: I am Nakiri Azami.\So this is Erina-cchi's...\The Crumbling Academy\Yeah, her shithead father!\He was a former Elite Ten member, too.\I will now speak with you\about the revolution I have planned to achieve my ideal vision for Totsuki Academy.\First, with regard to our culinary courses, response:	research groups, research societies, and clubs,
context: So this is Erina-cchi's...\The Crumbling Academy\Yeah, her shithead father!\He was a former Elite Ten member, too.\I will now speak with you\about the revolution I have planned to achieve my ideal vision for Totsuki Academy.\First, with regard to our culinary courses,\research groups, research societies, and clubs, response:	all such autonomous entities will be disbanded.
context: The Crumbling Academy\Yeah, her shithead father!\He was a former Elite Ten member, too.\I will now speak with you\about the revolution I have planned to achieve my ideal vision for Totsuki Academy.\First, with regard to our culinary courses,\research groups, research societies, and clubs,\all such autonomous entities will be disbanded. response:	What?!
context: Yeah, her shithead father!\He was a former Elite Ten member, too.\I will now speak with you\about the revolution I have planned to achieve my ideal vision for Totsuki Academy.\First, with regard to our culinary courses,\research groups, research societies, and clubs,\all such autonomous entities will be disbanded.\What?! response:	Disbanded?!
context: He was a former Elite Ten member, too.\I will now speak with you\about the revolution I have planned to achieve my ideal vision for Totsuki Academy.\First, with regard to our culinary courses,\research groups, research societies, and clubs,\all such autonomous entities will be disbanded.\What?!\Disbanded?! response:	They will all cease to exist with no exceptions.
context: I will now speak with you\about the revolution I have planned to achieve my ideal vision for Totsuki Academy.\First, with regard to our culinary courses,\research groups, research societies, and clubs,\all such autonomous entities will be disbanded.\What?!\Disbanded?!\They will all cease to exist with no exceptions. response:	What?!
context: about the revolution I have planned to achieve my ideal vision for Totsuki Academy.\First, with regard to our culinary courses,\research groups, research societies, and clubs,\all such autonomous entities will be disbanded.\What?!\Disbanded?!\They will all cease to exist with no exceptions.\What?! response:	Wh-Wh-What is going on?!
context: First, with regard to our culinary courses,\research groups, research societies, and clubs,\all such autonomous entities will be disbanded.\What?!\Disbanded?!\They will all cease to exist with no exceptions.\What?!\Wh-Wh-What is going on?! response:	Second, I will establish a new entity on campus.
context: research groups, research societies, and clubs,\all such autonomous entities will be disbanded.\What?!\Disbanded?!\They will all cease to exist with no exceptions.\What?!\Wh-Wh-What is going on?!\Second, I will establish a new entity on campus. response:	With the director and the Elite Ten Council as its leaders,
context: all such autonomous entities will be disbanded.\What?!\Disbanded?!\They will all cease to exist with no exceptions.\What?!\Wh-Wh-What is going on?!\Second, I will establish a new entity on campus.\With the director and the Elite Ten Council as its leaders, response:	and my handpicked students as its members,
context: What?!\Disbanded?!\They will all cease to exist with no exceptions.\What?!\Wh-Wh-What is going on?!\Second, I will establish a new entity on campus.\With the director and the Elite Ten Council as its leaders,\and my handpicked students as its members, response:	it will be an organization of elites that pursue a new vision of gourmet dining.
context: Disbanded?!\They will all cease to exist with no exceptions.\What?!\Wh-Wh-What is going on?!\Second, I will establish a new entity on campus.\With the director and the Elite Ten Council as its leaders,\and my handpicked students as its members,\it will be an organization of elites that pursue a new vision of gourmet dining. response:	It will be a divine world where all gourmet dining will be shared.
context: They will all cease to exist with no exceptions.\What?!\Wh-Wh-What is going on?!\Second, I will establish a new entity on campus.\With the director and the Elite Ten Council as its leaders,\and my handpicked students as its members,\it will be an organization of elites that pursue a new vision of gourmet dining.\It will be a divine world where all gourmet dining will be shared. response:	Its name shall be Central.
context: What?!\Wh-Wh-What is going on?!\Second, I will establish a new entity on campus.\With the director and the Elite Ten Council as its leaders,\and my handpicked students as its members,\it will be an organization of elites that pursue a new vision of gourmet dining.\It will be a divine world where all gourmet dining will be shared.\Its name shall be Central. response:	Central...
context: Wh-Wh-What is going on?!\Second, I will establish a new entity on campus.\With the director and the Elite Ten Council as its leaders,\and my handpicked students as its members,\it will be an organization of elites that pursue a new vision of gourmet dining.\It will be a divine world where all gourmet dining will be shared.\Its name shall be Central.\Central... response:	All of your cooking will be determined by Central members.
context: Second, I will establish a new entity on campus.\With the director and the Elite Ten Council as its leaders,\and my handpicked students as its members,\it will be an organization of elites that pursue a new vision of gourmet dining.\It will be a divine world where all gourmet dining will be shared.\Its name shall be Central.\Central...\All of your cooking will be determined by Central members. response:	You will no longer have to create your own dishes.
context: With the director and the Elite Ten Council as its leaders,\and my handpicked students as its members,\it will be an organization of elites that pursue a new vision of gourmet dining.\It will be a divine world where all gourmet dining will be shared.\Its name shall be Central.\Central...\All of your cooking will be determined by Central members.\You will no longer have to create your own dishes. response:	It is most unfortunate, but anyone who disobeys
context: and my handpicked students as its members,\it will be an organization of elites that pursue a new vision of gourmet dining.\It will be a divine world where all gourmet dining will be shared.\Its name shall be Central.\Central...\All of your cooking will be determined by Central members.\You will no longer have to create your own dishes.\It is most unfortunate, but anyone who disobeys response:	this edict will have to leave the academy.
context: it will be an organization of elites that pursue a new vision of gourmet dining.\It will be a divine world where all gourmet dining will be shared.\Its name shall be Central.\Central...\All of your cooking will be determined by Central members.\You will no longer have to create your own dishes.\It is most unfortunate, but anyone who disobeys\this edict will have to leave the academy. response:	That's ridiculous!
context: It will be a divine world where all gourmet dining will be shared.\Its name shall be Central.\Central...\All of your cooking will be determined by Central members.\You will no longer have to create your own dishes.\It is most unfortunate, but anyone who disobeys\this edict will have to leave the academy.\That's ridiculous! response:	Who'd go along with something like this?!
context: Its name shall be Central.\Central...\All of your cooking will be determined by Central members.\You will no longer have to create your own dishes.\It is most unfortunate, but anyone who disobeys\this edict will have to leave the academy.\That's ridiculous!\Who'd go along with something like this?! response:	It makes no sense!
context: Central...\All of your cooking will be determined by Central members.\You will no longer have to create your own dishes.\It is most unfortunate, but anyone who disobeys\this edict will have to leave the academy.\That's ridiculous!\Who'd go along with something like this?!\It makes no sense! response:	Think about it.
context: All of your cooking will be determined by Central members.\You will no longer have to create your own dishes.\It is most unfortunate, but anyone who disobeys\this edict will have to leave the academy.\That's ridiculous!\Who'd go along with something like this?!\It makes no sense!\Think about it. response:	There is far greater injustice in the existing system.
context: You will no longer have to create your own dishes.\It is most unfortunate, but anyone who disobeys\this edict will have to leave the academy.\That's ridiculous!\Who'd go along with something like this?!\It makes no sense!\Think about it.\There is far greater injustice in the existing system. response:	With meritocracy as an excuse,
context: It is most unfortunate, but anyone who disobeys\this edict will have to leave the academy.\That's ridiculous!\Who'd go along with something like this?!\It makes no sense!\Think about it.\There is far greater injustice in the existing system.\With meritocracy as an excuse, response:	those who fail are cast aside
context: this edict will have to leave the academy.\That's ridiculous!\Who'd go along with something like this?!\It makes no sense!\Think about it.\There is far greater injustice in the existing system.\With meritocracy as an excuse,\those who fail are cast aside response:	despite the fact that different individuals will learn at different speeds.
context: That's ridiculous!\Who'd go along with something like this?!\It makes no sense!\Think about it.\There is far greater injustice in the existing system.\With meritocracy as an excuse,\those who fail are cast aside\despite the fact that different individuals will learn at different speeds. response:	Don't you find that barbaric?
context: Who'd go along with something like this?!\It makes no sense!\Think about it.\There is far greater injustice in the existing system.\With meritocracy as an excuse,\those who fail are cast aside\despite the fact that different individuals will learn at different speeds.\Don't you find that barbaric? response:	All culinary classes will become a means of conveying Central's teachings.
context: It makes no sense!\Think about it.\There is far greater injustice in the existing system.\With meritocracy as an excuse,\those who fail are cast aside\despite the fact that different individuals will learn at different speeds.\Don't you find that barbaric?\All culinary classes will become a means of conveying Central's teachings. response:	All students will benefit equally from them.
context: Think about it.\There is far greater injustice in the existing system.\With meritocracy as an excuse,\those who fail are cast aside\despite the fact that different individuals will learn at different speeds.\Don't you find that barbaric?\All culinary classes will become a means of conveying Central's teachings.\All students will benefit equally from them. response:	By that, I mean the skills, ideas, and recipes worthy of the Elite Ten
context: There is far greater injustice in the existing system.\With meritocracy as an excuse,\those who fail are cast aside\despite the fact that different individuals will learn at different speeds.\Don't you find that barbaric?\All culinary classes will become a means of conveying Central's teachings.\All students will benefit equally from them.\By that, I mean the skills, ideas, and recipes worthy of the Elite Ten response:	will eventually be acquired by all of you here.
context: With meritocracy as an excuse,\those who fail are cast aside\despite the fact that different individuals will learn at different speeds.\Don't you find that barbaric?\All culinary classes will become a means of conveying Central's teachings.\All students will benefit equally from them.\By that, I mean the skills, ideas, and recipes worthy of the Elite Ten\will eventually be acquired by all of you here. response:	Cooking worthy of the Elite Ten...
context: those who fail are cast aside\despite the fact that different individuals will learn at different speeds.\Don't you find that barbaric?\All culinary classes will become a means of conveying Central's teachings.\All students will benefit equally from them.\By that, I mean the skills, ideas, and recipes worthy of the Elite Ten\will eventually be acquired by all of you here.\Cooking worthy of the Elite Ten... response:	What I propose is a world where unnecessary conflict will no longer be necessary.
context: despite the fact that different individuals will learn at different speeds.\Don't you find that barbaric?\All culinary classes will become a means of conveying Central's teachings.\All students will benefit equally from them.\By that, I mean the skills, ideas, and recipes worthy of the Elite Ten\will eventually be acquired by all of you here.\Cooking worthy of the Elite Ten...\What I propose is a world where unnecessary conflict will no longer be necessary. response:	No more unnecessary expulsions!
context: Don't you find that barbaric?\All culinary classes will become a means of conveying Central's teachings.\All students will benefit equally from them.\By that, I mean the skills, ideas, and recipes worthy of the Elite Ten\will eventually be acquired by all of you here.\Cooking worthy of the Elite Ten...\What I propose is a world where unnecessary conflict will no longer be necessary.\No more unnecessary expulsions! response:	No more unnecessary selections!
context: All culinary classes will become a means of conveying Central's teachings.\All students will benefit equally from them.\By that, I mean the skills, ideas, and recipes worthy of the Elite Ten\will eventually be acquired by all of you here.\Cooking worthy of the Elite Ten...\What I propose is a world where unnecessary conflict will no longer be necessary.\No more unnecessary expulsions!\No more unnecessary selections! response:	No more unnecessary competitions!
context: All students will benefit equally from them.\By that, I mean the skills, ideas, and recipes worthy of the Elite Ten\will eventually be acquired by all of you here.\Cooking worthy of the Elite Ten...\What I propose is a world where unnecessary conflict will no longer be necessary.\No more unnecessary expulsions!\No more unnecessary selections!\No more unnecessary competitions! response:	You will all be free of them.
context: By that, I mean the skills, ideas, and recipes worthy of the Elite Ten\will eventually be acquired by all of you here.\Cooking worthy of the Elite Ten...\What I propose is a world where unnecessary conflict will no longer be necessary.\No more unnecessary expulsions!\No more unnecessary selections!\No more unnecessary competitions!\You will all be free of them. response:	Listen, you are not cannon fodder.
context: will eventually be acquired by all of you here.\Cooking worthy of the Elite Ten...\What I propose is a world where unnecessary conflict will no longer be necessary.\No more unnecessary expulsions!\No more unnecessary selections!\No more unnecessary competitions!\You will all be free of them.\Listen, you are not cannon fodder. response:	You are an important force who will build Totsuki's future.
context: Cooking worthy of the Elite Ten...\What I propose is a world where unnecessary conflict will no longer be necessary.\No more unnecessary expulsions!\No more unnecessary selections!\No more unnecessary competitions!\You will all be free of them.\Listen, you are not cannon fodder.\You are an important force who will build Totsuki's future. response:	Work with me to advance this nation's gourmet dining.
context: What I propose is a world where unnecessary conflict will no longer be necessary.\No more unnecessary expulsions!\No more unnecessary selections!\No more unnecessary competitions!\You will all be free of them.\Listen, you are not cannon fodder.\You are an important force who will build Totsuki's future.\Work with me to advance this nation's gourmet dining. response:	This is preposterous!
context: No more unnecessary expulsions!\No more unnecessary selections!\No more unnecessary competitions!\You will all be free of them.\Listen, you are not cannon fodder.\You are an important force who will build Totsuki's future.\Work with me to advance this nation's gourmet dining.\This is preposterous! response:	Kabutoyama Tetsuji Chief of Skewer Research Society
context: No more unnecessary selections!\No more unnecessary competitions!\You will all be free of them.\Listen, you are not cannon fodder.\You are an important force who will build Totsuki's future.\Work with me to advance this nation's gourmet dining.\This is preposterous!\Kabutoyama Tetsuji Chief of Skewer Research Society response:	We cannot condone such tyranny!
context: No more unnecessary competitions!\You will all be free of them.\Listen, you are not cannon fodder.\You are an important force who will build Totsuki's future.\Work with me to advance this nation's gourmet dining.\This is preposterous!\Kabutoyama Tetsuji Chief of Skewer Research Society\We cannot condone such tyranny! response:	B-But it'd mean we can get a small piece of what the Elite Ten's got.
context: You will all be free of them.\Listen, you are not cannon fodder.\You are an important force who will build Totsuki's future.\Work with me to advance this nation's gourmet dining.\This is preposterous!\Kabutoyama Tetsuji Chief of Skewer Research Society\We cannot condone such tyranny!\B-But it'd mean we can get a small piece of what the Elite Ten's got. response:	Won't that definitely benefit us later on?
context: Listen, you are not cannon fodder.\You are an important force who will build Totsuki's future.\Work with me to advance this nation's gourmet dining.\This is preposterous!\Kabutoyama Tetsuji Chief of Skewer Research Society\We cannot condone such tyranny!\B-But it'd mean we can get a small piece of what the Elite Ten's got.\Won't that definitely benefit us later on? response:	What're you saying?!
context: You are an important force who will build Totsuki's future.\Work with me to advance this nation's gourmet dining.\This is preposterous!\Kabutoyama Tetsuji Chief of Skewer Research Society\We cannot condone such tyranny!\B-But it'd mean we can get a small piece of what the Elite Ten's got.\Won't that definitely benefit us later on?\What're you saying?! response:	We must not bend the knee!
context: Work with me to advance this nation's gourmet dining.\This is preposterous!\Kabutoyama Tetsuji Chief of Skewer Research Society\We cannot condone such tyranny!\B-But it'd mean we can get a small piece of what the Elite Ten's got.\Won't that definitely benefit us later on?\What're you saying?!\We must not bend the knee! response:	You are Kabutoyama Tetsuji, the chief of Skewer Research Society, are you not?
context: This is preposterous!\Kabutoyama Tetsuji Chief of Skewer Research Society\We cannot condone such tyranny!\B-But it'd mean we can get a small piece of what the Elite Ten's got.\Won't that definitely benefit us later on?\What're you saying?!\We must not bend the knee!\You are Kabutoyama Tetsuji, the chief of Skewer Research Society, are you not? response:	We have a message from Central.
context: Kabutoyama Tetsuji Chief of Skewer Research Society\We cannot condone such tyranny!\B-But it'd mean we can get a small piece of what the Elite Ten's got.\Won't that definitely benefit us later on?\What're you saying?!\We must not bend the knee!\You are Kabutoyama Tetsuji, the chief of Skewer Research Society, are you not?\We have a message from Central. response:	Regional Cooking Research Society
context: We cannot condone such tyranny!\B-But it'd mean we can get a small piece of what the Elite Ten's got.\Won't that definitely benefit us later on?\What're you saying?!\We must not bend the knee!\You are Kabutoyama Tetsuji, the chief of Skewer Research Society, are you not?\We have a message from Central.\Regional Cooking Research Society response:	From this day forth, the Regional Cooking Research Society has been disbanded.
context: B-But it'd mean we can get a small piece of what the Elite Ten's got.\Won't that definitely benefit us later on?\What're you saying?!\We must not bend the knee!\You are Kabutoyama Tetsuji, the chief of Skewer Research Society, are you not?\We have a message from Central.\Regional Cooking Research Society\From this day forth, the Regional Cooking Research Society has been disbanded. response:	Vacate these premises.
context: Won't that definitely benefit us later on?\What're you saying?!\We must not bend the knee!\You are Kabutoyama Tetsuji, the chief of Skewer Research Society, are you not?\We have a message from Central.\Regional Cooking Research Society\From this day forth, the Regional Cooking Research Society has been disbanded.\Vacate these premises. response:	Don RS
context: What're you saying?!\We must not bend the knee!\You are Kabutoyama Tetsuji, the chief of Skewer Research Society, are you not?\We have a message from Central.\Regional Cooking Research Society\From this day forth, the Regional Cooking Research Society has been disbanded.\Vacate these premises.\Don RS response:	Y-You bastards!
context: We must not bend the knee!\You are Kabutoyama Tetsuji, the chief of Skewer Research Society, are you not?\We have a message from Central.\Regional Cooking Research Society\From this day forth, the Regional Cooking Research Society has been disbanded.\Vacate these premises.\Don RS\Y-You bastards! response:	Get the hell out if you don't want to get beaten up!
context: You are Kabutoyama Tetsuji, the chief of Skewer Research Society, are you not?\We have a message from Central.\Regional Cooking Research Society\From this day forth, the Regional Cooking Research Society has been disbanded.\Vacate these premises.\Don RS\Y-You bastards!\Get the hell out if you don't want to get beaten up! response:	This matter has already been decided.
context: We have a message from Central.\Regional Cooking Research Society\From this day forth, the Regional Cooking Research Society has been disbanded.\Vacate these premises.\Don RS\Y-You bastards!\Get the hell out if you don't want to get beaten up!\This matter has already been decided. response:	Professor Miyazato, it would be preferred if you consider this matter nonnegotiable.
context: Regional Cooking Research Society\From this day forth, the Regional Cooking Research Society has been disbanded.\Vacate these premises.\Don RS\Y-You bastards!\Get the hell out if you don't want to get beaten up!\This matter has already been decided.\Professor Miyazato, it would be preferred if you consider this matter nonnegotiable. response:	Oh, no!
context: From this day forth, the Regional Cooking Research Society has been disbanded.\Vacate these premises.\Don RS\Y-You bastards!\Get the hell out if you don't want to get beaten up!\This matter has already been decided.\Professor Miyazato, it would be preferred if you consider this matter nonnegotiable.\Oh, no! response:	Professor, is Miyazato Research Group really shutting down?
context: Vacate these premises.\Don RS\Y-You bastards!\Get the hell out if you don't want to get beaten up!\This matter has already been decided.\Professor Miyazato, it would be preferred if you consider this matter nonnegotiable.\Oh, no!\Professor, is Miyazato Research Group really shutting down? response:	Polar Star Dormitory the academy's sole housing facility.
context: Don RS\Y-You bastards!\Get the hell out if you don't want to get beaten up!\This matter has already been decided.\Professor Miyazato, it would be preferred if you consider this matter nonnegotiable.\Oh, no!\Professor, is Miyazato Research Group really shutting down?\Polar Star Dormitory the academy's sole housing facility. response:	Polar Star Dormitory
context: Y-You bastards!\Get the hell out if you don't want to get beaten up!\This matter has already been decided.\Professor Miyazato, it would be preferred if you consider this matter nonnegotiable.\Oh, no!\Professor, is Miyazato Research Group really shutting down?\Polar Star Dormitory the academy's sole housing facility.\Polar Star Dormitory response:	It has always been self-sufficient.
context: Get the hell out if you don't want to get beaten up!\This matter has already been decided.\Professor Miyazato, it would be preferred if you consider this matter nonnegotiable.\Oh, no!\Professor, is Miyazato Research Group really shutting down?\Polar Star Dormitory the academy's sole housing facility.\Polar Star Dormitory\It has always been self-sufficient. response:	There is no doubt that it is also subject to the purge.
context: This matter has already been decided.\Professor Miyazato, it would be preferred if you consider this matter nonnegotiable.\Oh, no!\Professor, is Miyazato Research Group really shutting down?\Polar Star Dormitory the academy's sole housing facility.\Polar Star Dormitory\It has always been self-sufficient.\There is no doubt that it is also subject to the purge. response:	This dormitory will be shut down.
context: Professor Miyazato, it would be preferred if you consider this matter nonnegotiable.\Oh, no!\Professor, is Miyazato Research Group really shutting down?\Polar Star Dormitory the academy's sole housing facility.\Polar Star Dormitory\It has always been self-sufficient.\There is no doubt that it is also subject to the purge.\This dormitory will be shut down. response:	There is no need for it at Totsuki.
context: Oh, no!\Professor, is Miyazato Research Group really shutting down?\Polar Star Dormitory the academy's sole housing facility.\Polar Star Dormitory\It has always been self-sufficient.\There is no doubt that it is also subject to the purge.\This dormitory will be shut down.\There is no need for it at Totsuki. response:	No need?!
context: Professor, is Miyazato Research Group really shutting down?\Polar Star Dormitory the academy's sole housing facility.\Polar Star Dormitory\It has always been self-sufficient.\There is no doubt that it is also subject to the purge.\This dormitory will be shut down.\There is no need for it at Totsuki.\No need?! response:	Shut Polar Star Dormitory down?
context: Polar Star Dormitory the academy's sole housing facility.\Polar Star Dormitory\It has always been self-sufficient.\There is no doubt that it is also subject to the purge.\This dormitory will be shut down.\There is no need for it at Totsuki.\No need?!\Shut Polar Star Dormitory down? response:	The buildings and the property will be confiscated by Central.
context: Polar Star Dormitory\It has always been self-sufficient.\There is no doubt that it is also subject to the purge.\This dormitory will be shut down.\There is no need for it at Totsuki.\No need?!\Shut Polar Star Dormitory down?\The buildings and the property will be confiscated by Central. response:	That basically means none of this will be yours any longer.
context: It has always been self-sufficient.\There is no doubt that it is also subject to the purge.\This dormitory will be shut down.\There is no need for it at Totsuki.\No need?!\Shut Polar Star Dormitory down?\The buildings and the property will be confiscated by Central.\That basically means none of this will be yours any longer. response:	No way in hell!
context: There is no doubt that it is also subject to the purge.\This dormitory will be shut down.\There is no need for it at Totsuki.\No need?!\Shut Polar Star Dormitory down?\The buildings and the property will be confiscated by Central.\That basically means none of this will be yours any longer.\No way in hell! response:	Assholes!
context: This dormitory will be shut down.\There is no need for it at Totsuki.\No need?!\Shut Polar Star Dormitory down?\The buildings and the property will be confiscated by Central.\That basically means none of this will be yours any longer.\No way in hell!\Assholes! response:	What, what?
context: There is no need for it at Totsuki.\No need?!\Shut Polar Star Dormitory down?\The buildings and the property will be confiscated by Central.\That basically means none of this will be yours any longer.\No way in hell!\Assholes!\What, what? response:	Wanna fight?
context: No need?!\Shut Polar Star Dormitory down?\The buildings and the property will be confiscated by Central.\That basically means none of this will be yours any longer.\No way in hell!\Assholes!\What, what?\Wanna fight? response:	Huh, huh?
context: Shut Polar Star Dormitory down?\The buildings and the property will be confiscated by Central.\That basically means none of this will be yours any longer.\No way in hell!\Assholes!\What, what?\Wanna fight?\Huh, huh? response:	Y-Y-Y-Yuki-chan!
context: The buildings and the property will be confiscated by Central.\That basically means none of this will be yours any longer.\No way in hell!\Assholes!\What, what?\Wanna fight?\Huh, huh?\Y-Y-Y-Yuki-chan! response:	Hey, where's Isshiki-senpai?
context: That basically means none of this will be yours any longer.\No way in hell!\Assholes!\What, what?\Wanna fight?\Huh, huh?\Y-Y-Y-Yuki-chan!\Hey, where's Isshiki-senpai? response:	You can't face them alone.
