context: The Lords are all corrupt! response:	They do nothing but battle day and night!
context: The very next day, the Order of the Crest declared holy war on the Imperial Army.\Not only that, but they've positioned themselves to block the path to Eramu.\That can't just be a coincidence, now, can it?\How big is the Papal Force, I wonder?\They have 2,000 holy warriors, and around 3,000 mercenaries.\And they have over 70,000 followers.\However, that includes a great number of women, children, and the elderly.\Holy warriors and mercenaries are one thing, response:	but I have no desire to fight innocent people.
context: Not only that, but they've positioned themselves to block the path to Eramu.\That can't just be a coincidence, now, can it?\How big is the Papal Force, I wonder?\They have 2,000 holy warriors, and around 3,000 mercenaries.\And they have over 70,000 followers.\However, that includes a great number of women, children, and the elderly.\Holy warriors and mercenaries are one thing,\but I have no desire to fight innocent people. response:	I understand how you feel, Sir Theo.
context: That can't just be a coincidence, now, can it?\How big is the Papal Force, I wonder?\They have 2,000 holy warriors, and around 3,000 mercenaries.\And they have over 70,000 followers.\However, that includes a great number of women, children, and the elderly.\Holy warriors and mercenaries are one thing,\but I have no desire to fight innocent people.\I understand how you feel, Sir Theo. response:	After all, you've always fought for the sake of the people.
context: How big is the Papal Force, I wonder?\They have 2,000 holy warriors, and around 3,000 mercenaries.\And they have over 70,000 followers.\However, that includes a great number of women, children, and the elderly.\Holy warriors and mercenaries are one thing,\but I have no desire to fight innocent people.\I understand how you feel, Sir Theo.\After all, you've always fought for the sake of the people. response:	If you can't fight, then I'll fight for you.
context: They have 2,000 holy warriors, and around 3,000 mercenaries.\And they have over 70,000 followers.\However, that includes a great number of women, children, and the elderly.\Holy warriors and mercenaries are one thing,\but I have no desire to fight innocent people.\I understand how you feel, Sir Theo.\After all, you've always fought for the sake of the people.\If you can't fight, then I'll fight for you. response:	It will not come to a battle.
context: And they have over 70,000 followers.\However, that includes a great number of women, children, and the elderly.\Holy warriors and mercenaries are one thing,\but I have no desire to fight innocent people.\I understand how you feel, Sir Theo.\After all, you've always fought for the sake of the people.\If you can't fight, then I'll fight for you.\It will not come to a battle. response:	Because that is not the wish of the One God.
context: However, that includes a great number of women, children, and the elderly.\Holy warriors and mercenaries are one thing,\but I have no desire to fight innocent people.\I understand how you feel, Sir Theo.\After all, you've always fought for the sake of the people.\If you can't fight, then I'll fight for you.\It will not come to a battle.\Because that is not the wish of the One God. response:	Priscilla?
context: Holy warriors and mercenaries are one thing,\but I have no desire to fight innocent people.\I understand how you feel, Sir Theo.\After all, you've always fought for the sake of the people.\If you can't fight, then I'll fight for you.\It will not come to a battle.\Because that is not the wish of the One God.\Priscilla? response:	Let me go see Sir Leone.
context: but I have no desire to fight innocent people.\I understand how you feel, Sir Theo.\After all, you've always fought for the sake of the people.\If you can't fight, then I'll fight for you.\It will not come to a battle.\Because that is not the wish of the One God.\Priscilla?\Let me go see Sir Leone. response:	I shall convince him.
context: I understand how you feel, Sir Theo.\After all, you've always fought for the sake of the people.\If you can't fight, then I'll fight for you.\It will not come to a battle.\Because that is not the wish of the One God.\Priscilla?\Let me go see Sir Leone.\I shall convince him. response:	You would do that for us?
context: After all, you've always fought for the sake of the people.\If you can't fight, then I'll fight for you.\It will not come to a battle.\Because that is not the wish of the One God.\Priscilla?\Let me go see Sir Leone.\I shall convince him.\You would do that for us? response:	Yes.
context: If you can't fight, then I'll fight for you.\It will not come to a battle.\Because that is not the wish of the One God.\Priscilla?\Let me go see Sir Leone.\I shall convince him.\You would do that for us?\Yes. response:	That would be too dangerous!
context: It will not come to a battle.\Because that is not the wish of the One God.\Priscilla?\Let me go see Sir Leone.\I shall convince him.\You would do that for us?\Yes.\That would be too dangerous! response:	The Pope is calling you a fake, claiming that he himself is the Holy Grail.
context: Because that is not the wish of the One God.\Priscilla?\Let me go see Sir Leone.\I shall convince him.\You would do that for us?\Yes.\That would be too dangerous!\The Pope is calling you a fake, claiming that he himself is the Holy Grail. response:	If you went to see a man like that, you could be killed!
context: Priscilla?\Let me go see Sir Leone.\I shall convince him.\You would do that for us?\Yes.\That would be too dangerous!\The Pope is calling you a fake, claiming that he himself is the Holy Grail.\If you went to see a man like that, you could be killed! response:	Nevertheless, I must go.
context: Let me go see Sir Leone.\I shall convince him.\You would do that for us?\Yes.\That would be too dangerous!\The Pope is calling you a fake, claiming that he himself is the Holy Grail.\If you went to see a man like that, you could be killed!\Nevertheless, I must go. response:	It's because that is the duty I must fulfill.
context: I shall convince him.\You would do that for us?\Yes.\That would be too dangerous!\The Pope is calling you a fake, claiming that he himself is the Holy Grail.\If you went to see a man like that, you could be killed!\Nevertheless, I must go.\It's because that is the duty I must fulfill. response:	But still...
context: You would do that for us?\Yes.\That would be too dangerous!\The Pope is calling you a fake, claiming that he himself is the Holy Grail.\If you went to see a man like that, you could be killed!\Nevertheless, I must go.\It's because that is the duty I must fulfill.\But still... response:	Perhaps we should try her way.
context: Yes.\That would be too dangerous!\The Pope is calling you a fake, claiming that he himself is the Holy Grail.\If you went to see a man like that, you could be killed!\Nevertheless, I must go.\It's because that is the duty I must fulfill.\But still...\Perhaps we should try her way. response:	Why would you say such things?
context: That would be too dangerous!\The Pope is calling you a fake, claiming that he himself is the Holy Grail.\If you went to see a man like that, you could be killed!\Nevertheless, I must go.\It's because that is the duty I must fulfill.\But still...\Perhaps we should try her way.\Why would you say such things? response:	Now that the Pope has his followers taking to the battlefield, you cannot fight the Order.
context: The Pope is calling you a fake, claiming that he himself is the Holy Grail.\If you went to see a man like that, you could be killed!\Nevertheless, I must go.\It's because that is the duty I must fulfill.\But still...\Perhaps we should try her way.\Why would you say such things?\Now that the Pope has his followers taking to the battlefield, you cannot fight the Order. response:	That said, we can't sit here with our hands tied,
context: If you went to see a man like that, you could be killed!\Nevertheless, I must go.\It's because that is the duty I must fulfill.\But still...\Perhaps we should try her way.\Why would you say such things?\Now that the Pope has his followers taking to the battlefield, you cannot fight the Order.\That said, we can't sit here with our hands tied, response:	or the Papal Army would eventually attack, shielding itself with those followers.
context: Nevertheless, I must go.\It's because that is the duty I must fulfill.\But still...\Perhaps we should try her way.\Why would you say such things?\Now that the Pope has his followers taking to the battlefield, you cannot fight the Order.\That said, we can't sit here with our hands tied,\or the Papal Army would eventually attack, shielding itself with those followers. response:	Should that comes to pass, there's a chance our forces may be wiped out.
context: It's because that is the duty I must fulfill.\But still...\Perhaps we should try her way.\Why would you say such things?\Now that the Pope has his followers taking to the battlefield, you cannot fight the Order.\That said, we can't sit here with our hands tied,\or the Papal Army would eventually attack, shielding itself with those followers.\Should that comes to pass, there's a chance our forces may be wiped out. response:	Either way, it would be a stalemate.
context: But still...\Perhaps we should try her way.\Why would you say such things?\Now that the Pope has his followers taking to the battlefield, you cannot fight the Order.\That said, we can't sit here with our hands tied,\or the Papal Army would eventually attack, shielding itself with those followers.\Should that comes to pass, there's a chance our forces may be wiped out.\Either way, it would be a stalemate. response:	That's still no reason for me to send her into danger alone!
context: Perhaps we should try her way.\Why would you say such things?\Now that the Pope has his followers taking to the battlefield, you cannot fight the Order.\That said, we can't sit here with our hands tied,\or the Papal Army would eventually attack, shielding itself with those followers.\Should that comes to pass, there's a chance our forces may be wiped out.\Either way, it would be a stalemate.\That's still no reason for me to send her into danger alone! response:	Of course it isn't.
context: Why would you say such things?\Now that the Pope has his followers taking to the battlefield, you cannot fight the Order.\That said, we can't sit here with our hands tied,\or the Papal Army would eventually attack, shielding itself with those followers.\Should that comes to pass, there's a chance our forces may be wiped out.\Either way, it would be a stalemate.\That's still no reason for me to send her into danger alone!\Of course it isn't. response:	That's why I'm going to accompany her.
context: Now that the Pope has his followers taking to the battlefield, you cannot fight the Order.\That said, we can't sit here with our hands tied,\or the Papal Army would eventually attack, shielding itself with those followers.\Should that comes to pass, there's a chance our forces may be wiped out.\Either way, it would be a stalemate.\That's still no reason for me to send her into danger alone!\Of course it isn't.\That's why I'm going to accompany her. response:	So what is the Imperial Army up to?
context: That said, we can't sit here with our hands tied,\or the Papal Army would eventually attack, shielding itself with those followers.\Should that comes to pass, there's a chance our forces may be wiped out.\Either way, it would be a stalemate.\That's still no reason for me to send her into danger alone!\Of course it isn't.\That's why I'm going to accompany her.\So what is the Imperial Army up to? response:	They've positioned themselves on a hill, and have shown no sign of making a move.
context: or the Papal Army would eventually attack, shielding itself with those followers.\Should that comes to pass, there's a chance our forces may be wiped out.\Either way, it would be a stalemate.\That's still no reason for me to send her into danger alone!\Of course it isn't.\That's why I'm going to accompany her.\So what is the Imperial Army up to?\They've positioned themselves on a hill, and have shown no sign of making a move. response:	They must be stricken with fear of the One God and the Pope.
context: Should that comes to pass, there's a chance our forces may be wiped out.\Either way, it would be a stalemate.\That's still no reason for me to send her into danger alone!\Of course it isn't.\That's why I'm going to accompany her.\So what is the Imperial Army up to?\They've positioned themselves on a hill, and have shown no sign of making a move.\They must be stricken with fear of the One God and the Pope. response:	That youngling, Theo Cornaro, will soon prostrate himself before you, and beg for your forgiveness.
context: Either way, it would be a stalemate.\That's still no reason for me to send her into danger alone!\Of course it isn't.\That's why I'm going to accompany her.\So what is the Imperial Army up to?\They've positioned themselves on a hill, and have shown no sign of making a move.\They must be stricken with fear of the One God and the Pope.\That youngling, Theo Cornaro, will soon prostrate himself before you, and beg for your forgiveness. response:	What about my followers?
context: That's still no reason for me to send her into danger alone!\Of course it isn't.\That's why I'm going to accompany her.\So what is the Imperial Army up to?\They've positioned themselves on a hill, and have shown no sign of making a move.\They must be stricken with fear of the One God and the Pope.\That youngling, Theo Cornaro, will soon prostrate himself before you, and beg for your forgiveness.\What about my followers? response:	I'm impressed that they've gathered.
context: Of course it isn't.\That's why I'm going to accompany her.\So what is the Imperial Army up to?\They've positioned themselves on a hill, and have shown no sign of making a move.\They must be stricken with fear of the One God and the Pope.\That youngling, Theo Cornaro, will soon prostrate himself before you, and beg for your forgiveness.\What about my followers?\I'm impressed that they've gathered. response:	However, they also seem hesitant about fighting the hero, Theo Cornaro.
context: That's why I'm going to accompany her.\So what is the Imperial Army up to?\They've positioned themselves on a hill, and have shown no sign of making a move.\They must be stricken with fear of the One God and the Pope.\That youngling, Theo Cornaro, will soon prostrate himself before you, and beg for your forgiveness.\What about my followers?\I'm impressed that they've gathered.\However, they also seem hesitant about fighting the hero, Theo Cornaro. response:	Their morale is not high by any means.
context: So what is the Imperial Army up to?\They've positioned themselves on a hill, and have shown no sign of making a move.\They must be stricken with fear of the One God and the Pope.\That youngling, Theo Cornaro, will soon prostrate himself before you, and beg for your forgiveness.\What about my followers?\I'm impressed that they've gathered.\However, they also seem hesitant about fighting the hero, Theo Cornaro.\Their morale is not high by any means. response:	Well, they know that the Holy Maiden Priscilla serves the emperor.
context: They've positioned themselves on a hill, and have shown no sign of making a move.\They must be stricken with fear of the One God and the Pope.\That youngling, Theo Cornaro, will soon prostrate himself before you, and beg for your forgiveness.\What about my followers?\I'm impressed that they've gathered.\However, they also seem hesitant about fighting the hero, Theo Cornaro.\Their morale is not high by any means.\Well, they know that the Holy Maiden Priscilla serves the emperor. response:	Those in the Holy Maiden faction
context: They must be stricken with fear of the One God and the Pope.\That youngling, Theo Cornaro, will soon prostrate himself before you, and beg for your forgiveness.\What about my followers?\I'm impressed that they've gathered.\However, they also seem hesitant about fighting the hero, Theo Cornaro.\Their morale is not high by any means.\Well, they know that the Holy Maiden Priscilla serves the emperor.\Those in the Holy Maiden faction response:	have been preaching that Theo Cornaro will offer the Grancrest to the Holy Maiden Priscilla,
context: That youngling, Theo Cornaro, will soon prostrate himself before you, and beg for your forgiveness.\What about my followers?\I'm impressed that they've gathered.\However, they also seem hesitant about fighting the hero, Theo Cornaro.\Their morale is not high by any means.\Well, they know that the Holy Maiden Priscilla serves the emperor.\Those in the Holy Maiden faction\have been preaching that Theo Cornaro will offer the Grancrest to the Holy Maiden Priscilla, response:	and the One God will then be revived.
context: What about my followers?\I'm impressed that they've gathered.\However, they also seem hesitant about fighting the hero, Theo Cornaro.\Their morale is not high by any means.\Well, they know that the Holy Maiden Priscilla serves the emperor.\Those in the Holy Maiden faction\have been preaching that Theo Cornaro will offer the Grancrest to the Holy Maiden Priscilla,\and the One God will then be revived. response:	Can we win?
context: I'm impressed that they've gathered.\However, they also seem hesitant about fighting the hero, Theo Cornaro.\Their morale is not high by any means.\Well, they know that the Holy Maiden Priscilla serves the emperor.\Those in the Holy Maiden faction\have been preaching that Theo Cornaro will offer the Grancrest to the Holy Maiden Priscilla,\and the One God will then be revived.\Can we win? response:	We have greater numbers, but in terms of skill and equipment, the Imperial Army is superior.
context: However, they also seem hesitant about fighting the hero, Theo Cornaro.\Their morale is not high by any means.\Well, they know that the Holy Maiden Priscilla serves the emperor.\Those in the Holy Maiden faction\have been preaching that Theo Cornaro will offer the Grancrest to the Holy Maiden Priscilla,\and the One God will then be revived.\Can we win?\We have greater numbers, but in terms of skill and equipment, the Imperial Army is superior. response:	Unfortunately, it will be difficult to defeat them.
context: Their morale is not high by any means.\Well, they know that the Holy Maiden Priscilla serves the emperor.\Those in the Holy Maiden faction\have been preaching that Theo Cornaro will offer the Grancrest to the Holy Maiden Priscilla,\and the One God will then be revived.\Can we win?\We have greater numbers, but in terms of skill and equipment, the Imperial Army is superior.\Unfortunately, it will be difficult to defeat them. response:	What did you say?
context: Well, they know that the Holy Maiden Priscilla serves the emperor.\Those in the Holy Maiden faction\have been preaching that Theo Cornaro will offer the Grancrest to the Holy Maiden Priscilla,\and the One God will then be revived.\Can we win?\We have greater numbers, but in terms of skill and equipment, the Imperial Army is superior.\Unfortunately, it will be difficult to defeat them.\What did you say? response:	Rest assured.
context: Those in the Holy Maiden faction\have been preaching that Theo Cornaro will offer the Grancrest to the Holy Maiden Priscilla,\and the One God will then be revived.\Can we win?\We have greater numbers, but in terms of skill and equipment, the Imperial Army is superior.\Unfortunately, it will be difficult to defeat them.\What did you say?\Rest assured. response:	There's no need to win this battle.
context: have been preaching that Theo Cornaro will offer the Grancrest to the Holy Maiden Priscilla,\and the One God will then be revived.\Can we win?\We have greater numbers, but in terms of skill and equipment, the Imperial Army is superior.\Unfortunately, it will be difficult to defeat them.\What did you say?\Rest assured.\There's no need to win this battle. response:	In fact, it might be better to be royally defeated.
context: and the One God will then be revived.\Can we win?\We have greater numbers, but in terms of skill and equipment, the Imperial Army is superior.\Unfortunately, it will be difficult to defeat them.\What did you say?\Rest assured.\There's no need to win this battle.\In fact, it might be better to be royally defeated. response:	If rumors spread that the Lords massacred followers of the Order,
context: Can we win?\We have greater numbers, but in terms of skill and equipment, the Imperial Army is superior.\Unfortunately, it will be difficult to defeat them.\What did you say?\Rest assured.\There's no need to win this battle.\In fact, it might be better to be royally defeated.\If rumors spread that the Lords massacred followers of the Order, response:	Theo Cornaro's reputation will surely suffer.
context: We have greater numbers, but in terms of skill and equipment, the Imperial Army is superior.\Unfortunately, it will be difficult to defeat them.\What did you say?\Rest assured.\There's no need to win this battle.\In fact, it might be better to be royally defeated.\If rumors spread that the Lords massacred followers of the Order,\Theo Cornaro's reputation will surely suffer. response:	I see.
context: Unfortunately, it will be difficult to defeat them.\What did you say?\Rest assured.\There's no need to win this battle.\In fact, it might be better to be royally defeated.\If rumors spread that the Lords massacred followers of the Order,\Theo Cornaro's reputation will surely suffer.\I see. response:	Captain Gunther, start preparing for your attack on the Imperial Army.
context: What did you say?\Rest assured.\There's no need to win this battle.\In fact, it might be better to be royally defeated.\If rumors spread that the Lords massacred followers of the Order,\Theo Cornaro's reputation will surely suffer.\I see.\Captain Gunther, start preparing for your attack on the Imperial Army. response:	Tomorrow morning, launch an attack with the followers in the vanguard.
context: Rest assured.\There's no need to win this battle.\In fact, it might be better to be royally defeated.\If rumors spread that the Lords massacred followers of the Order,\Theo Cornaro's reputation will surely suffer.\I see.\Captain Gunther, start preparing for your attack on the Imperial Army.\Tomorrow morning, launch an attack with the followers in the vanguard. response:	Keep the holy warriors and the mercenaries in camp.
context: There's no need to win this battle.\In fact, it might be better to be royally defeated.\If rumors spread that the Lords massacred followers of the Order,\Theo Cornaro's reputation will surely suffer.\I see.\Captain Gunther, start preparing for your attack on the Imperial Army.\Tomorrow morning, launch an attack with the followers in the vanguard.\Keep the holy warriors and the mercenaries in camp. response:	Understood.
context: In fact, it might be better to be royally defeated.\If rumors spread that the Lords massacred followers of the Order,\Theo Cornaro's reputation will surely suffer.\I see.\Captain Gunther, start preparing for your attack on the Imperial Army.\Tomorrow morning, launch an attack with the followers in the vanguard.\Keep the holy warriors and the mercenaries in camp.\Understood. response:	Sir Theo, I didn't expect you to see me off personally. Thank you.
context: If rumors spread that the Lords massacred followers of the Order,\Theo Cornaro's reputation will surely suffer.\I see.\Captain Gunther, start preparing for your attack on the Imperial Army.\Tomorrow morning, launch an attack with the followers in the vanguard.\Keep the holy warriors and the mercenaries in camp.\Understood.\Sir Theo, I didn't expect you to see me off personally. Thank you. response:	We'll persuade the Pope no matter what.
context: Theo Cornaro's reputation will surely suffer.\I see.\Captain Gunther, start preparing for your attack on the Imperial Army.\Tomorrow morning, launch an attack with the followers in the vanguard.\Keep the holy warriors and the mercenaries in camp.\Understood.\Sir Theo, I didn't expect you to see me off personally. Thank you.\We'll persuade the Pope no matter what. response:	Please wait for good news.
context: I see.\Captain Gunther, start preparing for your attack on the Imperial Army.\Tomorrow morning, launch an attack with the followers in the vanguard.\Keep the holy warriors and the mercenaries in camp.\Understood.\Sir Theo, I didn't expect you to see me off personally. Thank you.\We'll persuade the Pope no matter what.\Please wait for good news. response:	Please, just come back safely.
context: Captain Gunther, start preparing for your attack on the Imperial Army.\Tomorrow morning, launch an attack with the followers in the vanguard.\Keep the holy warriors and the mercenaries in camp.\Understood.\Sir Theo, I didn't expect you to see me off personally. Thank you.\We'll persuade the Pope no matter what.\Please wait for good news.\Please, just come back safely. response:	That's our intention.
context: Tomorrow morning, launch an attack with the followers in the vanguard.\Keep the holy warriors and the mercenaries in camp.\Understood.\Sir Theo, I didn't expect you to see me off personally. Thank you.\We'll persuade the Pope no matter what.\Please wait for good news.\Please, just come back safely.\That's our intention. response:	What's that broom for?
context: Keep the holy warriors and the mercenaries in camp.\Understood.\Sir Theo, I didn't expect you to see me off personally. Thank you.\We'll persuade the Pope no matter what.\Please wait for good news.\Please, just come back safely.\That's our intention.\What's that broom for? response:	The leader of the White Witches showed me how to make it.
context: Understood.\Sir Theo, I didn't expect you to see me off personally. Thank you.\We'll persuade the Pope no matter what.\Please wait for good news.\Please, just come back safely.\That's our intention.\What's that broom for?\The leader of the White Witches showed me how to make it. response:	It's not as easy to use as a wand, but having it enables me to focus better.
context: Sir Theo, I didn't expect you to see me off personally. Thank you.\We'll persuade the Pope no matter what.\Please wait for good news.\Please, just come back safely.\That's our intention.\What's that broom for?\The leader of the White Witches showed me how to make it.\It's not as easy to use as a wand, but having it enables me to focus better. response:	I see.
context: We'll persuade the Pope no matter what.\Please wait for good news.\Please, just come back safely.\That's our intention.\What's that broom for?\The leader of the White Witches showed me how to make it.\It's not as easy to use as a wand, but having it enables me to focus better.\I see. response:	Irvin. Aishela.
context: Please wait for good news.\Please, just come back safely.\That's our intention.\What's that broom for?\The leader of the White Witches showed me how to make it.\It's not as easy to use as a wand, but having it enables me to focus better.\I see.\Irvin. Aishela. response:	- Please, look after these two. - Of course.
context: Please, just come back safely.\That's our intention.\What's that broom for?\The leader of the White Witches showed me how to make it.\It's not as easy to use as a wand, but having it enables me to focus better.\I see.\Irvin. Aishela.\- Please, look after these two. - Of course. response:	I owe her for saving my life twice. Time to pay her back.
context: That's our intention.\What's that broom for?\The leader of the White Witches showed me how to make it.\It's not as easy to use as a wand, but having it enables me to focus better.\I see.\Irvin. Aishela.\- Please, look after these two. - Of course.\I owe her for saving my life twice. Time to pay her back. response:	All right, then, we'll be on our way.
context: What's that broom for?\The leader of the White Witches showed me how to make it.\It's not as easy to use as a wand, but having it enables me to focus better.\I see.\Irvin. Aishela.\- Please, look after these two. - Of course.\I owe her for saving my life twice. Time to pay her back.\All right, then, we'll be on our way. response:	Let's put our faith in those two.
context: The leader of the White Witches showed me how to make it.\It's not as easy to use as a wand, but having it enables me to focus better.\I see.\Irvin. Aishela.\- Please, look after these two. - Of course.\I owe her for saving my life twice. Time to pay her back.\All right, then, we'll be on our way.\Let's put our faith in those two. response:	Your Grace, we have come today to ask a favor of you.
context: It's not as easy to use as a wand, but having it enables me to focus better.\I see.\Irvin. Aishela.\- Please, look after these two. - Of course.\I owe her for saving my life twice. Time to pay her back.\All right, then, we'll be on our way.\Let's put our faith in those two.\Your Grace, we have come today to ask a favor of you. response:	What would that be?
context: I see.\Irvin. Aishela.\- Please, look after these two. - Of course.\I owe her for saving my life twice. Time to pay her back.\All right, then, we'll be on our way.\Let's put our faith in those two.\Your Grace, we have come today to ask a favor of you.\What would that be? response:	If I may, Your Grace...
context: Irvin. Aishela.\- Please, look after these two. - Of course.\I owe her for saving my life twice. Time to pay her back.\All right, then, we'll be on our way.\Let's put our faith in those two.\Your Grace, we have come today to ask a favor of you.\What would that be?\If I may, Your Grace... response:	Emperor Theo does not wish to engage you in battle.
context: - Please, look after these two. - Of course.\I owe her for saving my life twice. Time to pay her back.\All right, then, we'll be on our way.\Let's put our faith in those two.\Your Grace, we have come today to ask a favor of you.\What would that be?\If I may, Your Grace...\Emperor Theo does not wish to engage you in battle. response:	The Imperial Army's objective is to quell the disturbance in Eramu.
context: I owe her for saving my life twice. Time to pay her back.\All right, then, we'll be on our way.\Let's put our faith in those two.\Your Grace, we have come today to ask a favor of you.\What would that be?\If I may, Your Grace...\Emperor Theo does not wish to engage you in battle.\The Imperial Army's objective is to quell the disturbance in Eramu. response:	That is fine with me. However, I have one condition.
