context: Oborozuka Shopping District response:	Would you stop snarling at each other every time you meet?
context: We didn't start that when we first met.\What was your first meeting like, then?\I heard there might be a civil war soon.\Looks like it.\The royal succession dispute is finally coming to a head.\At this rate the neighboring country's going to capitalize on it.\Hmm, humans are so foolish.\Every time they open their mouths, it's about some conflict. response:	That's mine!
context: What was your first meeting like, then?\I heard there might be a civil war soon.\Looks like it.\The royal succession dispute is finally coming to a head.\At this rate the neighboring country's going to capitalize on it.\Hmm, humans are so foolish.\Every time they open their mouths, it's about some conflict.\That's mine! response:	I found it first!
context: I heard there might be a civil war soon.\Looks like it.\The royal succession dispute is finally coming to a head.\At this rate the neighboring country's going to capitalize on it.\Hmm, humans are so foolish.\Every time they open their mouths, it's about some conflict.\That's mine!\I found it first! response:	Do they have no intention of enjoying their worthless lives?
context: Looks like it.\The royal succession dispute is finally coming to a head.\At this rate the neighboring country's going to capitalize on it.\Hmm, humans are so foolish.\Every time they open their mouths, it's about some conflict.\That's mine!\I found it first!\Do they have no intention of enjoying their worthless lives? response:	She's here!
context: The royal succession dispute is finally coming to a head.\At this rate the neighboring country's going to capitalize on it.\Hmm, humans are so foolish.\Every time they open their mouths, it's about some conflict.\That's mine!\I found it first!\Do they have no intention of enjoying their worthless lives?\She's here! response:	It's the priestess of the holy seas!
context: At this rate the neighboring country's going to capitalize on it.\Hmm, humans are so foolish.\Every time they open their mouths, it's about some conflict.\That's mine!\I found it first!\Do they have no intention of enjoying their worthless lives?\She's here!\It's the priestess of the holy seas! response:	Priestess?
context: Hmm, humans are so foolish.\Every time they open their mouths, it's about some conflict.\That's mine!\I found it first!\Do they have no intention of enjoying their worthless lives?\She's here!\It's the priestess of the holy seas!\Priestess? response:	She's come to our town, too!
context: Every time they open their mouths, it's about some conflict.\That's mine!\I found it first!\Do they have no intention of enjoying their worthless lives?\She's here!\It's the priestess of the holy seas!\Priestess?\She's come to our town, too! response:	Yes, now we're saved!
context: That's mine!\I found it first!\Do they have no intention of enjoying their worthless lives?\She's here!\It's the priestess of the holy seas!\Priestess?\She's come to our town, too!\Yes, now we're saved! response:	Priestess of the holy seas?
context: I found it first!\Do they have no intention of enjoying their worthless lives?\She's here!\It's the priestess of the holy seas!\Priestess?\She's come to our town, too!\Yes, now we're saved!\Priestess of the holy seas? response:	I've heard of her.
context: Do they have no intention of enjoying their worthless lives?\She's here!\It's the priestess of the holy seas!\Priestess?\She's come to our town, too!\Yes, now we're saved!\Priestess of the holy seas?\I've heard of her. response:	Lately she's been intervening in human conflicts and resolving them.
context: She's here!\It's the priestess of the holy seas!\Priestess?\She's come to our town, too!\Yes, now we're saved!\Priestess of the holy seas?\I've heard of her.\Lately she's been intervening in human conflicts and resolving them. response:	If the conflict is over water or food,
context: It's the priestess of the holy seas!\Priestess?\She's come to our town, too!\Yes, now we're saved!\Priestess of the holy seas?\I've heard of her.\Lately she's been intervening in human conflicts and resolving them.\If the conflict is over water or food, response:	she creates lakes and causes abundant harvests.
context: Priestess?\She's come to our town, too!\Yes, now we're saved!\Priestess of the holy seas?\I've heard of her.\Lately she's been intervening in human conflicts and resolving them.\If the conflict is over water or food,\she creates lakes and causes abundant harvests. response:	If they clash, she makes them lose their will to fight with her miraculous power.
context: She's come to our town, too!\Yes, now we're saved!\Priestess of the holy seas?\I've heard of her.\Lately she's been intervening in human conflicts and resolving them.\If the conflict is over water or food,\she creates lakes and causes abundant harvests.\If they clash, she makes them lose their will to fight with her miraculous power. response:	She must be a god or something on par with them...
context: Yes, now we're saved!\Priestess of the holy seas?\I've heard of her.\Lately she's been intervening in human conflicts and resolving them.\If the conflict is over water or food,\she creates lakes and causes abundant harvests.\If they clash, she makes them lose their will to fight with her miraculous power.\She must be a god or something on par with them... response:	Either way, it's against the rules for them to interfere in human society.
context: Priestess of the holy seas?\I've heard of her.\Lately she's been intervening in human conflicts and resolving them.\If the conflict is over water or food,\she creates lakes and causes abundant harvests.\If they clash, she makes them lose their will to fight with her miraculous power.\She must be a god or something on par with them...\Either way, it's against the rules for them to interfere in human society. response:	Well, let's see what she's like.
context: I've heard of her.\Lately she's been intervening in human conflicts and resolving them.\If the conflict is over water or food,\she creates lakes and causes abundant harvests.\If they clash, she makes them lose their will to fight with her miraculous power.\She must be a god or something on par with them...\Either way, it's against the rules for them to interfere in human society.\Well, let's see what she's like. response:	That woman!
context: Lately she's been intervening in human conflicts and resolving them.\If the conflict is over water or food,\she creates lakes and causes abundant harvests.\If they clash, she makes them lose their will to fight with her miraculous power.\She must be a god or something on par with them...\Either way, it's against the rules for them to interfere in human society.\Well, let's see what she's like.\That woman! response:	She's neither god nor divine messenger!
context: If the conflict is over water or food,\she creates lakes and causes abundant harvests.\If they clash, she makes them lose their will to fight with her miraculous power.\She must be a god or something on par with them...\Either way, it's against the rules for them to interfere in human society.\Well, let's see what she's like.\That woman!\She's neither god nor divine messenger! response:	Is she?
context: she creates lakes and causes abundant harvests.\If they clash, she makes them lose their will to fight with her miraculous power.\She must be a god or something on par with them...\Either way, it's against the rules for them to interfere in human society.\Well, let's see what she's like.\That woman!\She's neither god nor divine messenger!\Is she? response:	But if that's the case, is she just fooling around?!
context: If they clash, she makes them lose their will to fight with her miraculous power.\She must be a god or something on par with them...\Either way, it's against the rules for them to interfere in human society.\Well, let's see what she's like.\That woman!\She's neither god nor divine messenger!\Is she?\But if that's the case, is she just fooling around?! response:	What do you think you're doing?
context: She must be a god or something on par with them...\Either way, it's against the rules for them to interfere in human society.\Well, let's see what she's like.\That woman!\She's neither god nor divine messenger!\Is she?\But if that's the case, is she just fooling around?!\What do you think you're doing? response:	A dragon acting as a miraculous priestess?
context: Either way, it's against the rules for them to interfere in human society.\Well, let's see what she's like.\That woman!\She's neither god nor divine messenger!\Is she?\But if that's the case, is she just fooling around?!\What do you think you're doing?\A dragon acting as a miraculous priestess? response:	You make me laugh.
context: Well, let's see what she's like.\That woman!\She's neither god nor divine messenger!\Is she?\But if that's the case, is she just fooling around?!\What do you think you're doing?\A dragon acting as a miraculous priestess?\You make me laugh. response:	I could ask you the same thing.
context: That woman!\She's neither god nor divine messenger!\Is she?\But if that's the case, is she just fooling around?!\What do you think you're doing?\A dragon acting as a miraculous priestess?\You make me laugh.\I could ask you the same thing. response:	What is the Emperor of Demise's daughter doing in a human village?
context: She's neither god nor divine messenger!\Is she?\But if that's the case, is she just fooling around?!\What do you think you're doing?\A dragon acting as a miraculous priestess?\You make me laugh.\I could ask you the same thing.\What is the Emperor of Demise's daughter doing in a human village? response:	Your name is Tohru, if I remember right?
context: Is she?\But if that's the case, is she just fooling around?!\What do you think you're doing?\A dragon acting as a miraculous priestess?\You make me laugh.\I could ask you the same thing.\What is the Emperor of Demise's daughter doing in a human village?\Your name is Tohru, if I remember right? response:	I just believe that humans shouldn't fight each other,
context: But if that's the case, is she just fooling around?!\What do you think you're doing?\A dragon acting as a miraculous priestess?\You make me laugh.\I could ask you the same thing.\What is the Emperor of Demise's daughter doing in a human village?\Your name is Tohru, if I remember right?\I just believe that humans shouldn't fight each other, response:	and it's foolish to spill unnecessary blood.
context: What do you think you're doing?\A dragon acting as a miraculous priestess?\You make me laugh.\I could ask you the same thing.\What is the Emperor of Demise's daughter doing in a human village?\Your name is Tohru, if I remember right?\I just believe that humans shouldn't fight each other,\and it's foolish to spill unnecessary blood. response:	I have the power to stop that, so I do.
context: A dragon acting as a miraculous priestess?\You make me laugh.\I could ask you the same thing.\What is the Emperor of Demise's daughter doing in a human village?\Your name is Tohru, if I remember right?\I just believe that humans shouldn't fight each other,\and it's foolish to spill unnecessary blood.\I have the power to stop that, so I do. response:	So you're actually doing work, unlike the other lazy harmony dragons.
context: You make me laugh.\I could ask you the same thing.\What is the Emperor of Demise's daughter doing in a human village?\Your name is Tohru, if I remember right?\I just believe that humans shouldn't fight each other,\and it's foolish to spill unnecessary blood.\I have the power to stop that, so I do.\So you're actually doing work, unlike the other lazy harmony dragons. response:	I bet you've had quite a few human sacrifices offered to you.
context: I could ask you the same thing.\What is the Emperor of Demise's daughter doing in a human village?\Your name is Tohru, if I remember right?\I just believe that humans shouldn't fight each other,\and it's foolish to spill unnecessary blood.\I have the power to stop that, so I do.\So you're actually doing work, unlike the other lazy harmony dragons.\I bet you've had quite a few human sacrifices offered to you. response:	I don't need any human sacrifices.
context: What is the Emperor of Demise's daughter doing in a human village?\Your name is Tohru, if I remember right?\I just believe that humans shouldn't fight each other,\and it's foolish to spill unnecessary blood.\I have the power to stop that, so I do.\So you're actually doing work, unlike the other lazy harmony dragons.\I bet you've had quite a few human sacrifices offered to you.\I don't need any human sacrifices. response:	What? Why not?
context: Your name is Tohru, if I remember right?\I just believe that humans shouldn't fight each other,\and it's foolish to spill unnecessary blood.\I have the power to stop that, so I do.\So you're actually doing work, unlike the other lazy harmony dragons.\I bet you've had quite a few human sacrifices offered to you.\I don't need any human sacrifices.\What? Why not? response:	Why would anyone say humans are tasty to eat?
context: I just believe that humans shouldn't fight each other,\and it's foolish to spill unnecessary blood.\I have the power to stop that, so I do.\So you're actually doing work, unlike the other lazy harmony dragons.\I bet you've had quite a few human sacrifices offered to you.\I don't need any human sacrifices.\What? Why not?\Why would anyone say humans are tasty to eat? response:	I'm sure there are much tastier things in this world.
context: and it's foolish to spill unnecessary blood.\I have the power to stop that, so I do.\So you're actually doing work, unlike the other lazy harmony dragons.\I bet you've had quite a few human sacrifices offered to you.\I don't need any human sacrifices.\What? Why not?\Why would anyone say humans are tasty to eat?\I'm sure there are much tastier things in this world. response:	It's my belief that humans will create them.
context: I have the power to stop that, so I do.\So you're actually doing work, unlike the other lazy harmony dragons.\I bet you've had quite a few human sacrifices offered to you.\I don't need any human sacrifices.\What? Why not?\Why would anyone say humans are tasty to eat?\I'm sure there are much tastier things in this world.\It's my belief that humans will create them. response:	I see.
context: So you're actually doing work, unlike the other lazy harmony dragons.\I bet you've had quite a few human sacrifices offered to you.\I don't need any human sacrifices.\What? Why not?\Why would anyone say humans are tasty to eat?\I'm sure there are much tastier things in this world.\It's my belief that humans will create them.\I see. response:	She's the oddball Quetzalcoatl mentioned.
context: I bet you've had quite a few human sacrifices offered to you.\I don't need any human sacrifices.\What? Why not?\Why would anyone say humans are tasty to eat?\I'm sure there are much tastier things in this world.\It's my belief that humans will create them.\I see.\She's the oddball Quetzalcoatl mentioned. response:	Are you Elma, then?
context: I don't need any human sacrifices.\What? Why not?\Why would anyone say humans are tasty to eat?\I'm sure there are much tastier things in this world.\It's my belief that humans will create them.\I see.\She's the oddball Quetzalcoatl mentioned.\Are you Elma, then? response:	So what, you ask for food in return?
context: What? Why not?\Why would anyone say humans are tasty to eat?\I'm sure there are much tastier things in this world.\It's my belief that humans will create them.\I see.\She's the oddball Quetzalcoatl mentioned.\Are you Elma, then?\So what, you ask for food in return? response:	You sure you aren't better suited to the chaos faction?
context: Why would anyone say humans are tasty to eat?\I'm sure there are much tastier things in this world.\It's my belief that humans will create them.\I see.\She's the oddball Quetzalcoatl mentioned.\Are you Elma, then?\So what, you ask for food in return?\You sure you aren't better suited to the chaos faction? response:	You sound like a bit of an oddball yourself.
context: I'm sure there are much tastier things in this world.\It's my belief that humans will create them.\I see.\She's the oddball Quetzalcoatl mentioned.\Are you Elma, then?\So what, you ask for food in return?\You sure you aren't better suited to the chaos faction?\You sound like a bit of an oddball yourself. response:	None of the chaos dragons I've met thus far were willing to engage in conversation.
context: It's my belief that humans will create them.\I see.\She's the oddball Quetzalcoatl mentioned.\Are you Elma, then?\So what, you ask for food in return?\You sure you aren't better suited to the chaos faction?\You sound like a bit of an oddball yourself.\None of the chaos dragons I've met thus far were willing to engage in conversation. response:	I just slotted the act of judging you in before destroying you.
context: I see.\She's the oddball Quetzalcoatl mentioned.\Are you Elma, then?\So what, you ask for food in return?\You sure you aren't better suited to the chaos faction?\You sound like a bit of an oddball yourself.\None of the chaos dragons I've met thus far were willing to engage in conversation.\I just slotted the act of judging you in before destroying you. response:	Judging me, huh?
context: She's the oddball Quetzalcoatl mentioned.\Are you Elma, then?\So what, you ask for food in return?\You sure you aren't better suited to the chaos faction?\You sound like a bit of an oddball yourself.\None of the chaos dragons I've met thus far were willing to engage in conversation.\I just slotted the act of judging you in before destroying you.\Judging me, huh? response:	Would you like to accompany me for a while, then?
context: Are you Elma, then?\So what, you ask for food in return?\You sure you aren't better suited to the chaos faction?\You sound like a bit of an oddball yourself.\None of the chaos dragons I've met thus far were willing to engage in conversation.\I just slotted the act of judging you in before destroying you.\Judging me, huh?\Would you like to accompany me for a while, then? response:	What?
context: So what, you ask for food in return?\You sure you aren't better suited to the chaos faction?\You sound like a bit of an oddball yourself.\None of the chaos dragons I've met thus far were willing to engage in conversation.\I just slotted the act of judging you in before destroying you.\Judging me, huh?\Would you like to accompany me for a while, then?\What? response:	Let's both judge the world of humans together.
context: You sure you aren't better suited to the chaos faction?\You sound like a bit of an oddball yourself.\None of the chaos dragons I've met thus far were willing to engage in conversation.\I just slotted the act of judging you in before destroying you.\Judging me, huh?\Would you like to accompany me for a while, then?\What?\Let's both judge the world of humans together. response:	So you two traveled together for a while?
context: You sound like a bit of an oddball yourself.\None of the chaos dragons I've met thus far were willing to engage in conversation.\I just slotted the act of judging you in before destroying you.\Judging me, huh?\Would you like to accompany me for a while, then?\What?\Let's both judge the world of humans together.\So you two traveled together for a while? response:	Yes, well...
context: None of the chaos dragons I've met thus far were willing to engage in conversation.\I just slotted the act of judging you in before destroying you.\Judging me, huh?\Would you like to accompany me for a while, then?\What?\Let's both judge the world of humans together.\So you two traveled together for a while?\Yes, well... response:	I went along with her self-righteousness for a bit.
context: I just slotted the act of judging you in before destroying you.\Judging me, huh?\Would you like to accompany me for a while, then?\What?\Let's both judge the world of humans together.\So you two traveled together for a while?\Yes, well...\I went along with her self-righteousness for a bit. response:	I must have been crazy at the time.
context: Judging me, huh?\Would you like to accompany me for a while, then?\What?\Let's both judge the world of humans together.\So you two traveled together for a while?\Yes, well...\I went along with her self-righteousness for a bit.\I must have been crazy at the time. response:	So you were both feeling each other out, then?
context: Would you like to accompany me for a while, then?\What?\Let's both judge the world of humans together.\So you two traveled together for a while?\Yes, well...\I went along with her self-righteousness for a bit.\I must have been crazy at the time.\So you were both feeling each other out, then? response:	Going around without pushing too hard as two people with different value sets.
context: What?\Let's both judge the world of humans together.\So you two traveled together for a while?\Yes, well...\I went along with her self-righteousness for a bit.\I must have been crazy at the time.\So you were both feeling each other out, then?\Going around without pushing too hard as two people with different value sets. response:	I guess you could say that?
context: Let's both judge the world of humans together.\So you two traveled together for a while?\Yes, well...\I went along with her self-righteousness for a bit.\I must have been crazy at the time.\So you were both feeling each other out, then?\Going around without pushing too hard as two people with different value sets.\I guess you could say that? response:	I was more interested in Elma
context: So you two traveled together for a while?\Yes, well...\I went along with her self-righteousness for a bit.\I must have been crazy at the time.\So you were both feeling each other out, then?\Going around without pushing too hard as two people with different value sets.\I guess you could say that?\I was more interested in Elma response:	than the goals of our species, since she was doing as she pleased.
context: Yes, well...\I went along with her self-righteousness for a bit.\I must have been crazy at the time.\So you were both feeling each other out, then?\Going around without pushing too hard as two people with different value sets.\I guess you could say that?\I was more interested in Elma\than the goals of our species, since she was doing as she pleased. response:	At least, I think that's how it was at the time.
context: I went along with her self-righteousness for a bit.\I must have been crazy at the time.\So you were both feeling each other out, then?\Going around without pushing too hard as two people with different value sets.\I guess you could say that?\I was more interested in Elma\than the goals of our species, since she was doing as she pleased.\At least, I think that's how it was at the time. response:	Mhmm. So then what?
context: I must have been crazy at the time.\So you were both feeling each other out, then?\Going around without pushing too hard as two people with different value sets.\I guess you could say that?\I was more interested in Elma\than the goals of our species, since she was doing as she pleased.\At least, I think that's how it was at the time.\Mhmm. So then what? response:	It's simple.
context: So you were both feeling each other out, then?\Going around without pushing too hard as two people with different value sets.\I guess you could say that?\I was more interested in Elma\than the goals of our species, since she was doing as she pleased.\At least, I think that's how it was at the time.\Mhmm. So then what?\It's simple. response:	We came to understand one another, so...
context: Going around without pushing too hard as two people with different value sets.\I guess you could say that?\I was more interested in Elma\than the goals of our species, since she was doing as she pleased.\At least, I think that's how it was at the time.\Mhmm. So then what?\It's simple.\We came to understand one another, so... response:	We couldn't see eye to eye, so after a few decades naturally we...
context: I guess you could say that?\I was more interested in Elma\than the goals of our species, since she was doing as she pleased.\At least, I think that's how it was at the time.\Mhmm. So then what?\It's simple.\We came to understand one another, so...\We couldn't see eye to eye, so after a few decades naturally we... response:	tried to kill each other.
context: I was more interested in Elma\than the goals of our species, since she was doing as she pleased.\At least, I think that's how it was at the time.\Mhmm. So then what?\It's simple.\We came to understand one another, so...\We couldn't see eye to eye, so after a few decades naturally we...\tried to kill each other. response:	That's not natural at all.
context: than the goals of our species, since she was doing as she pleased.\At least, I think that's how it was at the time.\Mhmm. So then what?\It's simple.\We came to understand one another, so...\We couldn't see eye to eye, so after a few decades naturally we...\tried to kill each other.\That's not natural at all. response:	Why?!
context: At least, I think that's how it was at the time.\Mhmm. So then what?\It's simple.\We came to understand one another, so...\We couldn't see eye to eye, so after a few decades naturally we...\tried to kill each other.\That's not natural at all.\Why?! response:	Why did you destroy the palace?!
context: Mhmm. So then what?\It's simple.\We came to understand one another, so...\We couldn't see eye to eye, so after a few decades naturally we...\tried to kill each other.\That's not natural at all.\Why?!\Why did you destroy the palace?! response:	This was supposed to be a symbol of peace!
context: It's simple.\We came to understand one another, so...\We couldn't see eye to eye, so after a few decades naturally we...\tried to kill each other.\That's not natural at all.\Why?!\Why did you destroy the palace?!\This was supposed to be a symbol of peace! response:	Peace, huh?
context: We came to understand one another, so...\We couldn't see eye to eye, so after a few decades naturally we...\tried to kill each other.\That's not natural at all.\Why?!\Why did you destroy the palace?!\This was supposed to be a symbol of peace!\Peace, huh? response:	The thought of a peace requiring you gave me the chills.
context: We couldn't see eye to eye, so after a few decades naturally we...\tried to kill each other.\That's not natural at all.\Why?!\Why did you destroy the palace?!\This was supposed to be a symbol of peace!\Peace, huh?\The thought of a peace requiring you gave me the chills. response:	What?!
context: tried to kill each other.\That's not natural at all.\Why?!\Why did you destroy the palace?!\This was supposed to be a symbol of peace!\Peace, huh?\The thought of a peace requiring you gave me the chills.\What?! response:	This palace was erected to worship you as a god.
context: That's not natural at all.\Why?!\Why did you destroy the palace?!\This was supposed to be a symbol of peace!\Peace, huh?\The thought of a peace requiring you gave me the chills.\What?!\This palace was erected to worship you as a god. response:	From it, a religion centered around you took root
context: Why?!\Why did you destroy the palace?!\This was supposed to be a symbol of peace!\Peace, huh?\The thought of a peace requiring you gave me the chills.\What?!\This palace was erected to worship you as a god.\From it, a religion centered around you took root response:	and adopted a class-based society full of disparity.
context: Why did you destroy the palace?!\This was supposed to be a symbol of peace!\Peace, huh?\The thought of a peace requiring you gave me the chills.\What?!\This palace was erected to worship you as a god.\From it, a religion centered around you took root\and adopted a class-based society full of disparity. response:	In time there would come to be conflict with those who refused to accept you.
context: This was supposed to be a symbol of peace!\Peace, huh?\The thought of a peace requiring you gave me the chills.\What?!\This palace was erected to worship you as a god.\From it, a religion centered around you took root\and adopted a class-based society full of disparity.\In time there would come to be conflict with those who refused to accept you. response:	I would have forbidden that!
context: Peace, huh?\The thought of a peace requiring you gave me the chills.\What?!\This palace was erected to worship you as a god.\From it, a religion centered around you took root\and adopted a class-based society full of disparity.\In time there would come to be conflict with those who refused to accept you.\I would have forbidden that! response:	You're not listening to what I'm trying to say.
context: The thought of a peace requiring you gave me the chills.\What?!\This palace was erected to worship you as a god.\From it, a religion centered around you took root\and adopted a class-based society full of disparity.\In time there would come to be conflict with those who refused to accept you.\I would have forbidden that!\You're not listening to what I'm trying to say. response:	Did you intend to remain here with these humans for all eternity?
context: What?!\This palace was erected to worship you as a god.\From it, a religion centered around you took root\and adopted a class-based society full of disparity.\In time there would come to be conflict with those who refused to accept you.\I would have forbidden that!\You're not listening to what I'm trying to say.\Did you intend to remain here with these humans for all eternity? response:	Granting the desires of others and acting as a symbol of worship forever?
context: This palace was erected to worship you as a god.\From it, a religion centered around you took root\and adopted a class-based society full of disparity.\In time there would come to be conflict with those who refused to accept you.\I would have forbidden that!\You're not listening to what I'm trying to say.\Did you intend to remain here with these humans for all eternity?\Granting the desires of others and acting as a symbol of worship forever? response:	I'm asking you if you wanted to let yourself get dragged into those humans' framework
context: From it, a religion centered around you took root\and adopted a class-based society full of disparity.\In time there would come to be conflict with those who refused to accept you.\I would have forbidden that!\You're not listening to what I'm trying to say.\Did you intend to remain here with these humans for all eternity?\Granting the desires of others and acting as a symbol of worship forever?\I'm asking you if you wanted to let yourself get dragged into those humans' framework response:	when you thought were operating under your own.
context: and adopted a class-based society full of disparity.\In time there would come to be conflict with those who refused to accept you.\I would have forbidden that!\You're not listening to what I'm trying to say.\Did you intend to remain here with these humans for all eternity?\Granting the desires of others and acting as a symbol of worship forever?\I'm asking you if you wanted to let yourself get dragged into those humans' framework\when you thought were operating under your own. response:	You've diverged from your original intentions, Elma!
context: In time there would come to be conflict with those who refused to accept you.\I would have forbidden that!\You're not listening to what I'm trying to say.\Did you intend to remain here with these humans for all eternity?\Granting the desires of others and acting as a symbol of worship forever?\I'm asking you if you wanted to let yourself get dragged into those humans' framework\when you thought were operating under your own.\You've diverged from your original intentions, Elma! response:	I'm disappointed in you!
context: I would have forbidden that!\You're not listening to what I'm trying to say.\Did you intend to remain here with these humans for all eternity?\Granting the desires of others and acting as a symbol of worship forever?\I'm asking you if you wanted to let yourself get dragged into those humans' framework\when you thought were operating under your own.\You've diverged from your original intentions, Elma!\I'm disappointed in you! response:	I can't stand how disgraceful you've become.
context: You're not listening to what I'm trying to say.\Did you intend to remain here with these humans for all eternity?\Granting the desires of others and acting as a symbol of worship forever?\I'm asking you if you wanted to let yourself get dragged into those humans' framework\when you thought were operating under your own.\You've diverged from your original intentions, Elma!\I'm disappointed in you!\I can't stand how disgraceful you've become. response:	So I'll kill you and wake those humans from their dream.
context: Did you intend to remain here with these humans for all eternity?\Granting the desires of others and acting as a symbol of worship forever?\I'm asking you if you wanted to let yourself get dragged into those humans' framework\when you thought were operating under your own.\You've diverged from your original intentions, Elma!\I'm disappointed in you!\I can't stand how disgraceful you've become.\So I'll kill you and wake those humans from their dream. response:	Now you've said it!
context: Granting the desires of others and acting as a symbol of worship forever?\I'm asking you if you wanted to let yourself get dragged into those humans' framework\when you thought were operating under your own.\You've diverged from your original intentions, Elma!\I'm disappointed in you!\I can't stand how disgraceful you've become.\So I'll kill you and wake those humans from their dream.\Now you've said it! response:	Try to kill me, if you can!
context: I'm asking you if you wanted to let yourself get dragged into those humans' framework\when you thought were operating under your own.\You've diverged from your original intentions, Elma!\I'm disappointed in you!\I can't stand how disgraceful you've become.\So I'll kill you and wake those humans from their dream.\Now you've said it!\Try to kill me, if you can! response:	I knew it, too, you know.
context: when you thought were operating under your own.\You've diverged from your original intentions, Elma!\I'm disappointed in you!\I can't stand how disgraceful you've become.\So I'll kill you and wake those humans from their dream.\Now you've said it!\Try to kill me, if you can!\I knew it, too, you know. response:	This wasn't going in a good direction.
context: You've diverged from your original intentions, Elma!\I'm disappointed in you!\I can't stand how disgraceful you've become.\So I'll kill you and wake those humans from their dream.\Now you've said it!\Try to kill me, if you can!\I knew it, too, you know.\This wasn't going in a good direction. response:	But what else could I do?
context: I'm disappointed in you!\I can't stand how disgraceful you've become.\So I'll kill you and wake those humans from their dream.\Now you've said it!\Try to kill me, if you can!\I knew it, too, you know.\This wasn't going in a good direction.\But what else could I do? response:	The food they brought me was just so delicious!
context: I can't stand how disgraceful you've become.\So I'll kill you and wake those humans from their dream.\Now you've said it!\Try to kill me, if you can!\I knew it, too, you know.\This wasn't going in a good direction.\But what else could I do?\The food they brought me was just so delicious! response:	She's...!
context: So I'll kill you and wake those humans from their dream.\Now you've said it!\Try to kill me, if you can!\I knew it, too, you know.\This wasn't going in a good direction.\But what else could I do?\The food they brought me was just so delicious!\She's...! response:	She's...!
context: Now you've said it!\Try to kill me, if you can!\I knew it, too, you know.\This wasn't going in a good direction.\But what else could I do?\The food they brought me was just so delicious!\She's...!\She's...! response:	Strong!
context: Try to kill me, if you can!\I knew it, too, you know.\This wasn't going in a good direction.\But what else could I do?\The food they brought me was just so delicious!\She's...!\She's...!\Strong! response:	That was how we conclusively broke apart.
context: I knew it, too, you know.\This wasn't going in a good direction.\But what else could I do?\The food they brought me was just so delicious!\She's...!\She's...!\Strong!\That was how we conclusively broke apart. response:	That sounds both grand and petty.
context: This wasn't going in a good direction.\But what else could I do?\The food they brought me was just so delicious!\She's...!\She's...!\Strong!\That was how we conclusively broke apart.\That sounds both grand and petty. response:	In the end, I returned to the harmony faction's base
