context: Open your eyes. You'll get in an accident. response:	Everyone's here.
context: Wait!\Tamagawa? That Tamagawa?\Why\Yeah, that Tamagawa.\Isn't that five kilometers away?\Wow! You're really familiar with the local geography.\Let's go.\Wait, wait, wait! response:	That's five kilometers.
context: Tamagawa? That Tamagawa?\Why\Yeah, that Tamagawa.\Isn't that five kilometers away?\Wow! You're really familiar with the local geography.\Let's go.\Wait, wait, wait!\That's five kilometers. response:	Five kilometers one way means ten kilometers round trip.
context: Why\Yeah, that Tamagawa.\Isn't that five kilometers away?\Wow! You're really familiar with the local geography.\Let's go.\Wait, wait, wait!\That's five kilometers.\Five kilometers one way means ten kilometers round trip. response:	Ten kilometers first thing in the morning?!
context: Yeah, that Tamagawa.\Isn't that five kilometers away?\Wow! You're really familiar with the local geography.\Let's go.\Wait, wait, wait!\That's five kilometers.\Five kilometers one way means ten kilometers round trip.\Ten kilometers first thing in the morning?! response:	If you can shout that much after waking up, you'll make it.
context: Isn't that five kilometers away?\Wow! You're really familiar with the local geography.\Let's go.\Wait, wait, wait!\That's five kilometers.\Five kilometers one way means ten kilometers round trip.\Ten kilometers first thing in the morning?!\If you can shout that much after waking up, you'll make it. response:	Come on.
context: Wow! You're really familiar with the local geography.\Let's go.\Wait, wait, wait!\That's five kilometers.\Five kilometers one way means ten kilometers round trip.\Ten kilometers first thing in the morning?!\If you can shout that much after waking up, you'll make it.\Come on. response:	What?
context: Let's go.\Wait, wait, wait!\That's five kilometers.\Five kilometers one way means ten kilometers round trip.\Ten kilometers first thing in the morning?!\If you can shout that much after waking up, you'll make it.\Come on.\What? response:	He's fast.
context: Wait, wait, wait!\That's five kilometers.\Five kilometers one way means ten kilometers round trip.\Ten kilometers first thing in the morning?!\If you can shout that much after waking up, you'll make it.\Come on.\What?\He's fast. response:	Start at your own pace.
context: That's five kilometers.\Five kilometers one way means ten kilometers round trip.\Ten kilometers first thing in the morning?!\If you can shout that much after waking up, you'll make it.\Come on.\What?\He's fast.\Start at your own pace. response:	Come on. Go.
context: Five kilometers one way means ten kilometers round trip.\Ten kilometers first thing in the morning?!\If you can shout that much after waking up, you'll make it.\Come on.\What?\He's fast.\Start at your own pace.\Come on. Go. response:	Where is your dignity?
context: Ten kilometers first thing in the morning?!\If you can shout that much after waking up, you'll make it.\Come on.\What?\He's fast.\Start at your own pace.\Come on. Go.\Where is your dignity? response:	Where has your human dignity gone?
context: If you can shout that much after waking up, you'll make it.\Come on.\What?\He's fast.\Start at your own pace.\Come on. Go.\Where is your dignity?\Where has your human dignity gone? response:	We're allowing ourselves to be forced to run without objection.
context: Come on.\What?\He's fast.\Start at your own pace.\Come on. Go.\Where is your dignity?\Where has your human dignity gone?\We're allowing ourselves to be forced to run without objection. response:	Can we really call ourselves people?
context: What?\He's fast.\Start at your own pace.\Come on. Go.\Where is your dignity?\Where has your human dignity gone?\We're allowing ourselves to be forced to run without objection.\Can we really call ourselves people? response:	Go.
context: He's fast.\Start at your own pace.\Come on. Go.\Where is your dignity?\Where has your human dignity gone?\We're allowing ourselves to be forced to run without objection.\Can we really call ourselves people?\Go. response:	Run with the Wind
context: Start at your own pace.\Come on. Go.\Where is your dignity?\Where has your human dignity gone?\We're allowing ourselves to be forced to run without objection.\Can we really call ourselves people?\Go.\Run with the Wind response:	Yay. I won.
context: Come on. Go.\Where is your dignity?\Where has your human dignity gone?\We're allowing ourselves to be forced to run without objection.\Can we really call ourselves people?\Go.\Run with the Wind\Yay. I won. response:	What? It was a tie.
context: Where is your dignity?\Where has your human dignity gone?\We're allowing ourselves to be forced to run without objection.\Can we really call ourselves people?\Go.\Run with the Wind\Yay. I won.\What? It was a tie. response:	I beat you by a hair.
context: Where has your human dignity gone?\We're allowing ourselves to be forced to run without objection.\Can we really call ourselves people?\Go.\Run with the Wind\Yay. I won.\What? It was a tie.\I beat you by a hair. response:	I'm impressed.
context: We're allowing ourselves to be forced to run without objection.\Can we really call ourselves people?\Go.\Run with the Wind\Yay. I won.\What? It was a tie.\I beat you by a hair.\I'm impressed. response:	This is the first time I've wanted to go back to my home country.
context: Can we really call ourselves people?\Go.\Run with the Wind\Yay. I won.\What? It was a tie.\I beat you by a hair.\I'm impressed.\This is the first time I've wanted to go back to my home country. response:	The theory will come later.
context: Go.\Run with the Wind\Yay. I won.\What? It was a tie.\I beat you by a hair.\I'm impressed.\This is the first time I've wanted to go back to my home country.\The theory will come later. response:	First, your body needs to experience firsthand how far five kilometers is.
context: Run with the Wind\Yay. I won.\What? It was a tie.\I beat you by a hair.\I'm impressed.\This is the first time I've wanted to go back to my home country.\The theory will come later.\First, your body needs to experience firsthand how far five kilometers is. response:	Then, you'll surely...
context: Yay. I won.\What? It was a tie.\I beat you by a hair.\I'm impressed.\This is the first time I've wanted to go back to my home country.\The theory will come later.\First, your body needs to experience firsthand how far five kilometers is.\Then, you'll surely... response:	B-Butterfly...
context: What? It was a tie.\I beat you by a hair.\I'm impressed.\This is the first time I've wanted to go back to my home country.\The theory will come later.\First, your body needs to experience firsthand how far five kilometers is.\Then, you'll surely...\B-Butterfly... response:	You'll surely be able to run it.
context: I beat you by a hair.\I'm impressed.\This is the first time I've wanted to go back to my home country.\The theory will come later.\First, your body needs to experience firsthand how far five kilometers is.\Then, you'll surely...\B-Butterfly...\You'll surely be able to run it. response:	Okay, let's head back.
context: I'm impressed.\This is the first time I've wanted to go back to my home country.\The theory will come later.\First, your body needs to experience firsthand how far five kilometers is.\Then, you'll surely...\B-Butterfly...\You'll surely be able to run it.\Okay, let's head back. response:	What's wrong? Breakfast is waiting.
context: This is the first time I've wanted to go back to my home country.\The theory will come later.\First, your body needs to experience firsthand how far five kilometers is.\Then, you'll surely...\B-Butterfly...\You'll surely be able to run it.\Okay, let's head back.\What's wrong? Breakfast is waiting. response:	I'm going back as a butterfly.
context: The theory will come later.\First, your body needs to experience firsthand how far five kilometers is.\Then, you'll surely...\B-Butterfly...\You'll surely be able to run it.\Okay, let's head back.\What's wrong? Breakfast is waiting.\I'm going back as a butterfly. response:	What are you talking about? You're not making any sense.
context: First, your body needs to experience firsthand how far five kilometers is.\Then, you'll surely...\B-Butterfly...\You'll surely be able to run it.\Okay, let's head back.\What's wrong? Breakfast is waiting.\I'm going back as a butterfly.\What are you talking about? You're not making any sense. response:	Hey, look.
context: Then, you'll surely...\B-Butterfly...\You'll surely be able to run it.\Okay, let's head back.\What's wrong? Breakfast is waiting.\I'm going back as a butterfly.\What are you talking about? You're not making any sense.\Hey, look. response:	Huh?
context: B-Butterfly...\You'll surely be able to run it.\Okay, let's head back.\What's wrong? Breakfast is waiting.\I'm going back as a butterfly.\What are you talking about? You're not making any sense.\Hey, look.\Huh? response:	It's Kakeru.
context: You'll surely be able to run it.\Okay, let's head back.\What's wrong? Breakfast is waiting.\I'm going back as a butterfly.\What are you talking about? You're not making any sense.\Hey, look.\Huh?\It's Kakeru. response:	Is he ever going to stop running?
context: Okay, let's head back.\What's wrong? Breakfast is waiting.\I'm going back as a butterfly.\What are you talking about? You're not making any sense.\Hey, look.\Huh?\It's Kakeru.\Is he ever going to stop running? response:	Your body gets cold if you just wait.
context: What's wrong? Breakfast is waiting.\I'm going back as a butterfly.\What are you talking about? You're not making any sense.\Hey, look.\Huh?\It's Kakeru.\Is he ever going to stop running?\Your body gets cold if you just wait. response:	Yeah.
context: I'm going back as a butterfly.\What are you talking about? You're not making any sense.\Hey, look.\Huh?\It's Kakeru.\Is he ever going to stop running?\Your body gets cold if you just wait.\Yeah. response:	Do you understand now just how stupid your idea is?
context: What are you talking about? You're not making any sense.\Hey, look.\Huh?\It's Kakeru.\Is he ever going to stop running?\Your body gets cold if you just wait.\Yeah.\Do you understand now just how stupid your idea is? response:	They just ran a mere five kilometers.
context: Hey, look.\Huh?\It's Kakeru.\Is he ever going to stop running?\Your body gets cold if you just wait.\Yeah.\Do you understand now just how stupid your idea is?\They just ran a mere five kilometers. response:	Every section of the Hakone Ekiden is at least 20 kilometers.
context: Huh?\It's Kakeru.\Is he ever going to stop running?\Your body gets cold if you just wait.\Yeah.\Do you understand now just how stupid your idea is?\They just ran a mere five kilometers.\Every section of the Hakone Ekiden is at least 20 kilometers. response:	That's more than quadruple.
context: It's Kakeru.\Is he ever going to stop running?\Your body gets cold if you just wait.\Yeah.\Do you understand now just how stupid your idea is?\They just ran a mere five kilometers.\Every section of the Hakone Ekiden is at least 20 kilometers.\That's more than quadruple. response:	We'll have to race that distance against runners who have endured intense training.
context: Is he ever going to stop running?\Your body gets cold if you just wait.\Yeah.\Do you understand now just how stupid your idea is?\They just ran a mere five kilometers.\Every section of the Hakone Ekiden is at least 20 kilometers.\That's more than quadruple.\We'll have to race that distance against runners who have endured intense training. response:	We could practice for ten years and still be behind.
context: Your body gets cold if you just wait.\Yeah.\Do you understand now just how stupid your idea is?\They just ran a mere five kilometers.\Every section of the Hakone Ekiden is at least 20 kilometers.\That's more than quadruple.\We'll have to race that distance against runners who have endured intense training.\We could practice for ten years and still be behind. response:	Just how insane is his body?
context: Yeah.\Do you understand now just how stupid your idea is?\They just ran a mere five kilometers.\Every section of the Hakone Ekiden is at least 20 kilometers.\That's more than quadruple.\We'll have to race that distance against runners who have endured intense training.\We could practice for ten years and still be behind.\Just how insane is his body? response:	He's not wrong.
context: Do you understand now just how stupid your idea is?\They just ran a mere five kilometers.\Every section of the Hakone Ekiden is at least 20 kilometers.\That's more than quadruple.\We'll have to race that distance against runners who have endured intense training.\We could practice for ten years and still be behind.\Just how insane is his body?\He's not wrong. response:	Don't worry. It won't take ten years.
context: They just ran a mere five kilometers.\Every section of the Hakone Ekiden is at least 20 kilometers.\That's more than quadruple.\We'll have to race that distance against runners who have endured intense training.\We could practice for ten years and still be behind.\Just how insane is his body?\He's not wrong.\Don't worry. It won't take ten years. response:	After all, there's less than ten months until the race.
context: Every section of the Hakone Ekiden is at least 20 kilometers.\That's more than quadruple.\We'll have to race that distance against runners who have endured intense training.\We could practice for ten years and still be behind.\Just how insane is his body?\He's not wrong.\Don't worry. It won't take ten years.\After all, there's less than ten months until the race. response:	A Single Flower
context: That's more than quadruple.\We'll have to race that distance against runners who have endured intense training.\We could practice for ten years and still be behind.\Just how insane is his body?\He's not wrong.\Don't worry. It won't take ten years.\After all, there's less than ten months until the race.\A Single Flower response:	At universities that participate in the Hakone Ekiden,
context: We'll have to race that distance against runners who have endured intense training.\We could practice for ten years and still be behind.\Just how insane is his body?\He's not wrong.\Don't worry. It won't take ten years.\After all, there's less than ten months until the race.\A Single Flower\At universities that participate in the Hakone Ekiden, response:	everyone runs 5,000 meters in less than about 14:30 minutes.
context: We could practice for ten years and still be behind.\Just how insane is his body?\He's not wrong.\Don't worry. It won't take ten years.\After all, there's less than ten months until the race.\A Single Flower\At universities that participate in the Hakone Ekiden,\everyone runs 5,000 meters in less than about 14:30 minutes. response:	We'll consider that one of our goals.
context: Just how insane is his body?\He's not wrong.\Don't worry. It won't take ten years.\After all, there's less than ten months until the race.\A Single Flower\At universities that participate in the Hakone Ekiden,\everyone runs 5,000 meters in less than about 14:30 minutes.\We'll consider that one of our goals. response:	I have no idea what that looks like.
context: He's not wrong.\Don't worry. It won't take ten years.\After all, there's less than ten months until the race.\A Single Flower\At universities that participate in the Hakone Ekiden,\everyone runs 5,000 meters in less than about 14:30 minutes.\We'll consider that one of our goals.\I have no idea what that looks like. response:	The simple calculation is less than three minutes per kilometer.
context: Don't worry. It won't take ten years.\After all, there's less than ten months until the race.\A Single Flower\At universities that participate in the Hakone Ekiden,\everyone runs 5,000 meters in less than about 14:30 minutes.\We'll consider that one of our goals.\I have no idea what that looks like.\The simple calculation is less than three minutes per kilometer. response:	What?!
context: After all, there's less than ten months until the race.\A Single Flower\At universities that participate in the Hakone Ekiden,\everyone runs 5,000 meters in less than about 14:30 minutes.\We'll consider that one of our goals.\I have no idea what that looks like.\The simple calculation is less than three minutes per kilometer.\What?! response:	One kilometer in the time it takes to prepare cup noodles?
context: A Single Flower\At universities that participate in the Hakone Ekiden,\everyone runs 5,000 meters in less than about 14:30 minutes.\We'll consider that one of our goals.\I have no idea what that looks like.\The simple calculation is less than three minutes per kilometer.\What?!\One kilometer in the time it takes to prepare cup noodles? response:	That makes it harder to understand.
context: At universities that participate in the Hakone Ekiden,\everyone runs 5,000 meters in less than about 14:30 minutes.\We'll consider that one of our goals.\I have no idea what that looks like.\The simple calculation is less than three minutes per kilometer.\What?!\One kilometer in the time it takes to prepare cup noodles?\That makes it harder to understand. response:	He means it's inhumanly fast.
context: everyone runs 5,000 meters in less than about 14:30 minutes.\We'll consider that one of our goals.\I have no idea what that looks like.\The simple calculation is less than three minutes per kilometer.\What?!\One kilometer in the time it takes to prepare cup noodles?\That makes it harder to understand.\He means it's inhumanly fast. response:	I bet there are lots of guys like that where you're from, Musa.
context: We'll consider that one of our goals.\I have no idea what that looks like.\The simple calculation is less than three minutes per kilometer.\What?!\One kilometer in the time it takes to prepare cup noodles?\That makes it harder to understand.\He means it's inhumanly fast.\I bet there are lots of guys like that where you're from, Musa. response:	More prejudice.
context: I have no idea what that looks like.\The simple calculation is less than three minutes per kilometer.\What?!\One kilometer in the time it takes to prepare cup noodles?\That makes it harder to understand.\He means it's inhumanly fast.\I bet there are lots of guys like that where you're from, Musa.\More prejudice. response:	My high school's long distance race was only three kilometers.
context: The simple calculation is less than three minutes per kilometer.\What?!\One kilometer in the time it takes to prepare cup noodles?\That makes it harder to understand.\He means it's inhumanly fast.\I bet there are lots of guys like that where you're from, Musa.\More prejudice.\My high school's long distance race was only three kilometers. response:	Well, that's how it is.
context: What?!\One kilometer in the time it takes to prepare cup noodles?\That makes it harder to understand.\He means it's inhumanly fast.\I bet there are lots of guys like that where you're from, Musa.\More prejudice.\My high school's long distance race was only three kilometers.\Well, that's how it is. response:	Thanks for the food.
context: One kilometer in the time it takes to prepare cup noodles?\That makes it harder to understand.\He means it's inhumanly fast.\I bet there are lots of guys like that where you're from, Musa.\More prejudice.\My high school's long distance race was only three kilometers.\Well, that's how it is.\Thanks for the food. response:	You're right that it's not an easy speed to achieve.
context: That makes it harder to understand.\He means it's inhumanly fast.\I bet there are lots of guys like that where you're from, Musa.\More prejudice.\My high school's long distance race was only three kilometers.\Well, that's how it is.\Thanks for the food.\You're right that it's not an easy speed to achieve. response:	But if you don't know what your goals are, you can't aim for them.
context: He means it's inhumanly fast.\I bet there are lots of guys like that where you're from, Musa.\More prejudice.\My high school's long distance race was only three kilometers.\Well, that's how it is.\Thanks for the food.\You're right that it's not an easy speed to achieve.\But if you don't know what your goals are, you can't aim for them. response:	Knowing's not enough.
context: I bet there are lots of guys like that where you're from, Musa.\More prejudice.\My high school's long distance race was only three kilometers.\Well, that's how it is.\Thanks for the food.\You're right that it's not an easy speed to achieve.\But if you don't know what your goals are, you can't aim for them.\Knowing's not enough. response:	If you do the required training, it's different.
context: More prejudice.\My high school's long distance race was only three kilometers.\Well, that's how it is.\Thanks for the food.\You're right that it's not an easy speed to achieve.\But if you don't know what your goals are, you can't aim for them.\Knowing's not enough.\If you do the required training, it's different. response:	We'll limit our focus to Hakone.
context: My high school's long distance race was only three kilometers.\Well, that's how it is.\Thanks for the food.\You're right that it's not an easy speed to achieve.\But if you don't know what your goals are, you can't aim for them.\Knowing's not enough.\If you do the required training, it's different.\We'll limit our focus to Hakone. response:	That dramatically improves our chances.
context: Well, that's how it is.\Thanks for the food.\You're right that it's not an easy speed to achieve.\But if you don't know what your goals are, you can't aim for them.\Knowing's not enough.\If you do the required training, it's different.\We'll limit our focus to Hakone.\That dramatically improves our chances. response:	On what basis?
context: Thanks for the food.\You're right that it's not an easy speed to achieve.\But if you don't know what your goals are, you can't aim for them.\Knowing's not enough.\If you do the required training, it's different.\We'll limit our focus to Hakone.\That dramatically improves our chances.\On what basis? response:	On what basis are you making those claims?
context: You're right that it's not an easy speed to achieve.\But if you don't know what your goals are, you can't aim for them.\Knowing's not enough.\If you do the required training, it's different.\We'll limit our focus to Hakone.\That dramatically improves our chances.\On what basis?\On what basis are you making those claims? response:	You don't want breakfast?
context: But if you don't know what your goals are, you can't aim for them.\Knowing's not enough.\If you do the required training, it's different.\We'll limit our focus to Hakone.\That dramatically improves our chances.\On what basis?\On what basis are you making those claims?\You don't want breakfast? response:	I don't want to owe any favors.
context: Knowing's not enough.\If you do the required training, it's different.\We'll limit our focus to Hakone.\That dramatically improves our chances.\On what basis?\On what basis are you making those claims?\You don't want breakfast?\I don't want to owe any favors. response:	Day 2
context: If you do the required training, it's different.\We'll limit our focus to Hakone.\That dramatically improves our chances.\On what basis?\On what basis are you making those claims?\You don't want breakfast?\I don't want to owe any favors.\Day 2 response:	They ran.
context: We'll limit our focus to Hakone.\That dramatically improves our chances.\On what basis?\On what basis are you making those claims?\You don't want breakfast?\I don't want to owe any favors.\Day 2\They ran. response:	I'm going to wake them.
context: That dramatically improves our chances.\On what basis?\On what basis are you making those claims?\You don't want breakfast?\I don't want to owe any favors.\Day 2\They ran.\I'm going to wake them. response:	Yuki never came home.
context: On what basis?\On what basis are you making those claims?\You don't want breakfast?\I don't want to owe any favors.\Day 2\They ran.\I'm going to wake them.\Yuki never came home. response:	Huh?
context: On what basis are you making those claims?\You don't want breakfast?\I don't want to owe any favors.\Day 2\They ran.\I'm going to wake them.\Yuki never came home.\Huh? response:	He went clubbing as usual.
context: You don't want breakfast?\I don't want to owe any favors.\Day 2\They ran.\I'm going to wake them.\Yuki never came home.\Huh?\He went clubbing as usual. response:	Clubbing sounds nice.
context: I don't want to owe any favors.\Day 2\They ran.\I'm going to wake them.\Yuki never came home.\Huh?\He went clubbing as usual.\Clubbing sounds nice. response:	I bet there are lots of cute girls.
context: Day 2\They ran.\I'm going to wake them.\Yuki never came home.\Huh?\He went clubbing as usual.\Clubbing sounds nice.\I bet there are lots of cute girls. response:	We'll have to ask him to take us with him.
context: They ran.\I'm going to wake them.\Yuki never came home.\Huh?\He went clubbing as usual.\Clubbing sounds nice.\I bet there are lots of cute girls.\We'll have to ask him to take us with him. response:	Give me a minute.
context: I'm going to wake them.\Yuki never came home.\Huh?\He went clubbing as usual.\Clubbing sounds nice.\I bet there are lots of cute girls.\We'll have to ask him to take us with him.\Give me a minute. response:	Huh? Hey!
context: Yuki never came home.\Huh?\He went clubbing as usual.\Clubbing sounds nice.\I bet there are lots of cute girls.\We'll have to ask him to take us with him.\Give me a minute.\Huh? Hey! response:	Kurahara!
context: Huh?\He went clubbing as usual.\Clubbing sounds nice.\I bet there are lots of cute girls.\We'll have to ask him to take us with him.\Give me a minute.\Huh? Hey!\Kurahara! response:	Whoa!
context: He went clubbing as usual.\Clubbing sounds nice.\I bet there are lots of cute girls.\We'll have to ask him to take us with him.\Give me a minute.\Huh? Hey!\Kurahara!\Whoa! response:	Huh?
context: Clubbing sounds nice.\I bet there are lots of cute girls.\We'll have to ask him to take us with him.\Give me a minute.\Huh? Hey!\Kurahara!\Whoa!\Huh? response:	Whoa...
context: I bet there are lots of cute girls.\We'll have to ask him to take us with him.\Give me a minute.\Huh? Hey!\Kurahara!\Whoa!\Huh?\Whoa... response:	Haven't done that since grade school.
context: We'll have to ask him to take us with him.\Give me a minute.\Huh? Hey!\Kurahara!\Whoa!\Huh?\Whoa...\Haven't done that since grade school. response:	Are you a Kansei Uni student?
context: Give me a minute.\Huh? Hey!\Kurahara!\Whoa!\Huh?\Whoa...\Haven't done that since grade school.\Are you a Kansei Uni student? response:	Yeah.
context: Huh? Hey!\Kurahara!\Whoa!\Huh?\Whoa...\Haven't done that since grade school.\Are you a Kansei Uni student?\Yeah. response:	On the Kansei Uni track and field team?
context: Kurahara!\Whoa!\Huh?\Whoa...\Haven't done that since grade school.\Are you a Kansei Uni student?\Yeah.\On the Kansei Uni track and field team? response:	Uh...
context: Whoa!\Huh?\Whoa...\Haven't done that since grade school.\Are you a Kansei Uni student?\Yeah.\On the Kansei Uni track and field team?\Uh... response:	Haiji.
context: Huh?\Whoa...\Haven't done that since grade school.\Are you a Kansei Uni student?\Yeah.\On the Kansei Uni track and field team?\Uh...\Haiji. response:	Are you familiar with Kiyose Haiji?
context: Whoa...\Haven't done that since grade school.\Are you a Kansei Uni student?\Yeah.\On the Kansei Uni track and field team?\Uh...\Haiji.\Are you familiar with Kiyose Haiji? response:	Huh?
context: Haven't done that since grade school.\Are you a Kansei Uni student?\Yeah.\On the Kansei Uni track and field team?\Uh...\Haiji.\Are you familiar with Kiyose Haiji?\Huh? response:	Hey!
context: Are you a Kansei Uni student?\Yeah.\On the Kansei Uni track and field team?\Uh...\Haiji.\Are you familiar with Kiyose Haiji?\Huh?\Hey! response:	Hey.
context: Yeah.\On the Kansei Uni track and field team?\Uh...\Haiji.\Are you familiar with Kiyose Haiji?\Huh?\Hey!\Hey. response:	Haiji!
context: On the Kansei Uni track and field team?\Uh...\Haiji.\Are you familiar with Kiyose Haiji?\Huh?\Hey!\Hey.\Haiji! response:	What about school?
context: Uh...\Haiji.\Are you familiar with Kiyose Haiji?\Huh?\Hey!\Hey.\Haiji!\What about school? response:	After this.
context: Haiji.\Are you familiar with Kiyose Haiji?\Huh?\Hey!\Hey.\Haiji!\What about school?\After this. response:	I came first thing, but no one was here.
context: Are you familiar with Kiyose Haiji?\Huh?\Hey!\Hey.\Haiji!\What about school?\After this.\I came first thing, but no one was here. response:	We're still slow.
context: Huh?\Hey!\Hey.\Haiji!\What about school?\After this.\I came first thing, but no one was here.\We're still slow. response:	Who is that?
context: Hey!\Hey.\Haiji!\What about school?\After this.\I came first thing, but no one was here.\We're still slow.\Who is that? response:	I asked him if he was on the track and field team.
context: Hey.\Haiji!\What about school?\After this.\I came first thing, but no one was here.\We're still slow.\Who is that?\I asked him if he was on the track and field team. response:	I didn't see anyone else who could be.
context: Haiji!\What about school?\After this.\I came first thing, but no one was here.\We're still slow.\Who is that?\I asked him if he was on the track and field team.\I didn't see anyone else who could be. response:	I was right.
context: What about school?\After this.\I came first thing, but no one was here.\We're still slow.\Who is that?\I asked him if he was on the track and field team.\I didn't see anyone else who could be.\I was right. response:	I couldn't ignore her.
context: After this.\I came first thing, but no one was here.\We're still slow.\Who is that?\I asked him if he was on the track and field team.\I didn't see anyone else who could be.\I was right.\I couldn't ignore her. response:	It's the Yaokatsu girl.
context: I came first thing, but no one was here.\We're still slow.\Who is that?\I asked him if he was on the track and field team.\I didn't see anyone else who could be.\I was right.\I couldn't ignore her.\It's the Yaokatsu girl. response:	What?
context: We're still slow.\Who is that?\I asked him if he was on the track and field team.\I didn't see anyone else who could be.\I was right.\I couldn't ignore her.\It's the Yaokatsu girl.\What? response:	Yaokatsu. She's the daughter of the vegetable vendor in the shopping center.
context: Who is that?\I asked him if he was on the track and field team.\I didn't see anyone else who could be.\I was right.\I couldn't ignore her.\It's the Yaokatsu girl.\What?\Yaokatsu. She's the daughter of the vegetable vendor in the shopping center. response:	What? Are they dating?
context: I asked him if he was on the track and field team.\I didn't see anyone else who could be.\I was right.\I couldn't ignore her.\It's the Yaokatsu girl.\What?\Yaokatsu. She's the daughter of the vegetable vendor in the shopping center.\What? Are they dating? response:	I doubt it.
context: I didn't see anyone else who could be.\I was right.\I couldn't ignore her.\It's the Yaokatsu girl.\What?\Yaokatsu. She's the daughter of the vegetable vendor in the shopping center.\What? Are they dating?\I doubt it. response:	A high school girl's a little too young.
context: I was right.\I couldn't ignore her.\It's the Yaokatsu girl.\What?\Yaokatsu. She's the daughter of the vegetable vendor in the shopping center.\What? Are they dating?\I doubt it.\A high school girl's a little too young. response:	Sorry. Let's get back to it.
context: I couldn't ignore her.\It's the Yaokatsu girl.\What?\Yaokatsu. She's the daughter of the vegetable vendor in the shopping center.\What? Are they dating?\I doubt it.\A high school girl's a little too young.\Sorry. Let's get back to it. response:	Guys.
context: It's the Yaokatsu girl.\What?\Yaokatsu. She's the daughter of the vegetable vendor in the shopping center.\What? Are they dating?\I doubt it.\A high school girl's a little too young.\Sorry. Let's get back to it.\Guys. response:	Practice hard.
context: What?\Yaokatsu. She's the daughter of the vegetable vendor in the shopping center.\What? Are they dating?\I doubt it.\A high school girl's a little too young.\Sorry. Let's get back to it.\Guys.\Practice hard. response:	We will!
