context: Sun Mon Tue Wed Thu Fri Sat response:	Training Camp
context: Practice.\And practice.\Save the ball, even if you have to barf.\Yeah.\He barfed already.\Front, front.\Hey, how many does it take for you to get it right?\Concentrate! response:	One more.
context: And practice.\Save the ball, even if you have to barf.\Yeah.\He barfed already.\Front, front.\Hey, how many does it take for you to get it right?\Concentrate!\One more. response:	Here goes.
context: Save the ball, even if you have to barf.\Yeah.\He barfed already.\Front, front.\Hey, how many does it take for you to get it right?\Concentrate!\One more.\Here goes. response:	Nice receive.
context: Yeah.\He barfed already.\Front, front.\Hey, how many does it take for you to get it right?\Concentrate!\One more.\Here goes.\Nice receive. response:	Nice, Yamaguchi.
context: He barfed already.\Front, front.\Hey, how many does it take for you to get it right?\Concentrate!\One more.\Here goes.\Nice receive.\Nice, Yamaguchi. response:	That's five successful receives. Next up.
context: Front, front.\Hey, how many does it take for you to get it right?\Concentrate!\One more.\Here goes.\Nice receive.\Nice, Yamaguchi.\That's five successful receives. Next up. response:	Next!
context: Hey, how many does it take for you to get it right?\Concentrate!\One more.\Here goes.\Nice receive.\Nice, Yamaguchi.\That's five successful receives. Next up.\Next! response:	I'm ready.
context: Concentrate!\One more.\Here goes.\Nice receive.\Nice, Yamaguchi.\That's five successful receives. Next up.\Next!\I'm ready. response:	Good job.
context: One more.\Here goes.\Nice receive.\Nice, Yamaguchi.\That's five successful receives. Next up.\Next!\I'm ready.\Good job. response:	All right. Spiking practice next.
context: Here goes.\Nice receive.\Nice, Yamaguchi.\That's five successful receives. Next up.\Next!\I'm ready.\Good job.\All right. Spiking practice next. response:	Yeah.
context: Nice receive.\Nice, Yamaguchi.\That's five successful receives. Next up.\Next!\I'm ready.\Good job.\All right. Spiking practice next.\Yeah. response:	All right.
context: Nice, Yamaguchi.\That's five successful receives. Next up.\Next!\I'm ready.\Good job.\All right. Spiking practice next.\Yeah.\All right. response:	Nice kill.
context: That's five successful receives. Next up.\Next!\I'm ready.\Good job.\All right. Spiking practice next.\Yeah.\All right.\Nice kill. response:	Nice kill.
context: Next!\I'm ready.\Good job.\All right. Spiking practice next.\Yeah.\All right.\Nice kill.\Nice kill. response:	Looking good.
context: I'm ready.\Good job.\All right. Spiking practice next.\Yeah.\All right.\Nice kill.\Nice kill.\Looking good. response:	May I go next?
context: Good job.\All right. Spiking practice next.\Yeah.\All right.\Nice kill.\Nice kill.\Looking good.\May I go next? response:	Sure, sorry.
context: All right. Spiking practice next.\Yeah.\All right.\Nice kill.\Nice kill.\Looking good.\May I go next?\Sure, sorry. response:	Okay, let's get going.
context: Yeah.\All right.\Nice kill.\Nice kill.\Looking good.\May I go next?\Sure, sorry.\Okay, let's get going. response:	Yeah.
context: All right.\Nice kill.\Nice kill.\Looking good.\May I go next?\Sure, sorry.\Okay, let's get going.\Yeah. response:	Wow! This is where we're staying?
context: Nice kill.\Nice kill.\Looking good.\May I go next?\Sure, sorry.\Okay, let's get going.\Yeah.\Wow! This is where we're staying? response:	You need to calm down.
context: Nice kill.\Looking good.\May I go next?\Sure, sorry.\Okay, let's get going.\Yeah.\Wow! This is where we're staying?\You need to calm down. response:	But this is my first time at training camp.
context: Looking good.\May I go next?\Sure, sorry.\Okay, let's get going.\Yeah.\Wow! This is where we're staying?\You need to calm down.\But this is my first time at training camp. response:	I have to hang all day with this slovenly bunch.
context: May I go next?\Sure, sorry.\Okay, let's get going.\Yeah.\Wow! This is where we're staying?\You need to calm down.\But this is my first time at training camp.\I have to hang all day with this slovenly bunch. response:	What's so fun about that?
context: Sure, sorry.\Okay, let's get going.\Yeah.\Wow! This is where we're staying?\You need to calm down.\But this is my first time at training camp.\I have to hang all day with this slovenly bunch.\What's so fun about that? response:	Tsukishima, you bastard...
context: Okay, let's get going.\Yeah.\Wow! This is where we're staying?\You need to calm down.\But this is my first time at training camp.\I have to hang all day with this slovenly bunch.\What's so fun about that?\Tsukishima, you bastard... response:	Kiyoko-san's within a 500 meter radius of us!
context: Yeah.\Wow! This is where we're staying?\You need to calm down.\But this is my first time at training camp.\I have to hang all day with this slovenly bunch.\What's so fun about that?\Tsukishima, you bastard...\Kiyoko-san's within a 500 meter radius of us! response:	How can that be slovenly?
context: Wow! This is where we're staying?\You need to calm down.\But this is my first time at training camp.\I have to hang all day with this slovenly bunch.\What's so fun about that?\Tsukishima, you bastard...\Kiyoko-san's within a 500 meter radius of us!\How can that be slovenly? response:	How pitiful that you can't understand how refreshing this space is!
context: You need to calm down.\But this is my first time at training camp.\I have to hang all day with this slovenly bunch.\What's so fun about that?\Tsukishima, you bastard...\Kiyoko-san's within a 500 meter radius of us!\How can that be slovenly?\How pitiful that you can't understand how refreshing this space is! response:	It's like this wellspring in the Ou Mountains.
context: But this is my first time at training camp.\I have to hang all day with this slovenly bunch.\What's so fun about that?\Tsukishima, you bastard...\Kiyoko-san's within a 500 meter radius of us!\How can that be slovenly?\How pitiful that you can't understand how refreshing this space is!\It's like this wellspring in the Ou Mountains. response:	Shimizu's home is nearby, so she's not staying here.
context: I have to hang all day with this slovenly bunch.\What's so fun about that?\Tsukishima, you bastard...\Kiyoko-san's within a 500 meter radius of us!\How can that be slovenly?\How pitiful that you can't understand how refreshing this space is!\It's like this wellspring in the Ou Mountains.\Shimizu's home is nearby, so she's not staying here. response:	What are you guys doing?
context: What's so fun about that?\Tsukishima, you bastard...\Kiyoko-san's within a 500 meter radius of us!\How can that be slovenly?\How pitiful that you can't understand how refreshing this space is!\It's like this wellspring in the Ou Mountains.\Shimizu's home is nearby, so she's not staying here.\What are you guys doing? response:	Take-chan...
context: Tsukishima, you bastard...\Kiyoko-san's within a 500 meter radius of us!\How can that be slovenly?\How pitiful that you can't understand how refreshing this space is!\It's like this wellspring in the Ou Mountains.\Shimizu's home is nearby, so she's not staying here.\What are you guys doing?\Take-chan... response:	We can't... go on...
context: Kiyoko-san's within a 500 meter radius of us!\How can that be slovenly?\How pitiful that you can't understand how refreshing this space is!\It's like this wellspring in the Ou Mountains.\Shimizu's home is nearby, so she's not staying here.\What are you guys doing?\Take-chan...\We can't... go on... response:	Thank you for the food.
context: How can that be slovenly?\How pitiful that you can't understand how refreshing this space is!\It's like this wellspring in the Ou Mountains.\Shimizu's home is nearby, so she's not staying here.\What are you guys doing?\Take-chan...\We can't... go on...\Thank you for the food. response:	Seconds, anyone?
context: How pitiful that you can't understand how refreshing this space is!\It's like this wellspring in the Ou Mountains.\Shimizu's home is nearby, so she's not staying here.\What are you guys doing?\Take-chan...\We can't... go on...\Thank you for the food.\Seconds, anyone? response:	Yes, please.
context: It's like this wellspring in the Ou Mountains.\Shimizu's home is nearby, so she's not staying here.\What are you guys doing?\Take-chan...\We can't... go on...\Thank you for the food.\Seconds, anyone?\Yes, please. response:	S-Sure.
context: Shimizu's home is nearby, so she's not staying here.\What are you guys doing?\Take-chan...\We can't... go on...\Thank you for the food.\Seconds, anyone?\Yes, please.\S-Sure. response:	It's first-years' turn to bathe.
context: What are you guys doing?\Take-chan...\We can't... go on...\Thank you for the food.\Seconds, anyone?\Yes, please.\S-Sure.\It's first-years' turn to bathe. response:	What's up, Hinata?
context: Take-chan...\We can't... go on...\Thank you for the food.\Seconds, anyone?\Yes, please.\S-Sure.\It's first-years' turn to bathe.\What's up, Hinata? response:	There...
context: We can't... go on...\Thank you for the food.\Seconds, anyone?\Yes, please.\S-Sure.\It's first-years' turn to bathe.\What's up, Hinata?\There... response:	There's a stranger among us.
context: Thank you for the food.\Seconds, anyone?\Yes, please.\S-Sure.\It's first-years' turn to bathe.\What's up, Hinata?\There...\There's a stranger among us. response:	There shouldn't be.
context: Seconds, anyone?\Yes, please.\S-Sure.\It's first-years' turn to bathe.\What's up, Hinata?\There...\There's a stranger among us.\There shouldn't be. response:	We're the only ones staying here.
context: Yes, please.\S-Sure.\It's first-years' turn to bathe.\What's up, Hinata?\There...\There's a stranger among us.\There shouldn't be.\We're the only ones staying here. response:	It's...
context: S-Sure.\It's first-years' turn to bathe.\What's up, Hinata?\There...\There's a stranger among us.\There shouldn't be.\We're the only ones staying here.\It's... response:	It can't be.
context: It's first-years' turn to bathe.\What's up, Hinata?\There...\There's a stranger among us.\There shouldn't be.\We're the only ones staying here.\It's...\It can't be. response:	You must've seen your reflection in the window or something.
context: What's up, Hinata?\There...\There's a stranger among us.\There shouldn't be.\We're the only ones staying here.\It's...\It can't be.\You must've seen your reflection in the window or something. response:	Maybe.
context: There...\There's a stranger among us.\There shouldn't be.\We're the only ones staying here.\It's...\It can't be.\You must've seen your reflection in the window or something.\Maybe. response:	I must've made a mistake.
context: There's a stranger among us.\There shouldn't be.\We're the only ones staying here.\It's...\It can't be.\You must've seen your reflection in the window or something.\Maybe.\I must've made a mistake. response:	Of course...
context: There shouldn't be.\We're the only ones staying here.\It's...\It can't be.\You must've seen your reflection in the window or something.\Maybe.\I must've made a mistake.\Of course... response:	It was a mistake.
context: We're the only ones staying here.\It's...\It can't be.\You must've seen your reflection in the window or something.\Maybe.\I must've made a mistake.\Of course...\It was a mistake. response:	It was a mistake.
context: It's...\It can't be.\You must've seen your reflection in the window or something.\Maybe.\I must've made a mistake.\Of course...\It was a mistake.\It was a mistake. response:	What are you screaming about?
context: It can't be.\You must've seen your reflection in the window or something.\Maybe.\I must've made a mistake.\Of course...\It was a mistake.\It was a mistake.\What are you screaming about? response:	Daichi-san will get mad.
context: You must've seen your reflection in the window or something.\Maybe.\I must've made a mistake.\Of course...\It was a mistake.\It was a mistake.\What are you screaming about?\Daichi-san will get mad. response:	It was just Noya.
context: Maybe.\I must've made a mistake.\Of course...\It was a mistake.\It was a mistake.\What are you screaming about?\Daichi-san will get mad.\It was just Noya. response:	Noya-san? B-But...
context: I must've made a mistake.\Of course...\It was a mistake.\It was a mistake.\What are you screaming about?\Daichi-san will get mad.\It was just Noya.\Noya-san? B-But... response:	Noya-san grew shorter!
context: Of course...\It was a mistake.\It was a mistake.\What are you screaming about?\Daichi-san will get mad.\It was just Noya.\Noya-san? B-But...\Noya-san grew shorter! response:	That's true. Your hair adds to your height!
context: It was a mistake.\It was a mistake.\What are you screaming about?\Daichi-san will get mad.\It was just Noya.\Noya-san? B-But...\Noya-san grew shorter!\That's true. Your hair adds to your height! response:	Ryu, you bastard!
context: It was a mistake.\What are you screaming about?\Daichi-san will get mad.\It was just Noya.\Noya-san? B-But...\Noya-san grew shorter!\That's true. Your hair adds to your height!\Ryu, you bastard! response:	It's not funny!
context: What are you screaming about?\Daichi-san will get mad.\It was just Noya.\Noya-san? B-But...\Noya-san grew shorter!\That's true. Your hair adds to your height!\Ryu, you bastard!\It's not funny! response:	Don't make so much noise...
context: Daichi-san will get mad.\It was just Noya.\Noya-san? B-But...\Noya-san grew shorter!\That's true. Your hair adds to your height!\Ryu, you bastard!\It's not funny!\Don't make so much noise... response:	Daichi will get mad...
context: It was just Noya.\Noya-san? B-But...\Noya-san grew shorter!\That's true. Your hair adds to your height!\Ryu, you bastard!\It's not funny!\Don't make so much noise...\Daichi will get mad... response:	It's me. It's Asahi.
context: Noya-san? B-But...\Noya-san grew shorter!\That's true. Your hair adds to your height!\Ryu, you bastard!\It's not funny!\Don't make so much noise...\Daichi will get mad...\It's me. It's Asahi. response:	You guys shut up!
context: Noya-san grew shorter!\That's true. Your hair adds to your height!\Ryu, you bastard!\It's not funny!\Don't make so much noise...\Daichi will get mad...\It's me. It's Asahi.\You guys shut up! response:	You're stalling. Don't swing your arms.
context: That's true. Your hair adds to your height!\Ryu, you bastard!\It's not funny!\Don't make so much noise...\Daichi will get mad...\It's me. It's Asahi.\You guys shut up!\You're stalling. Don't swing your arms. response:	Yeah. One more.
context: Ryu, you bastard!\It's not funny!\Don't make so much noise...\Daichi will get mad...\It's me. It's Asahi.\You guys shut up!\You're stalling. Don't swing your arms.\Yeah. One more. response:	Nice, Hinata.
context: It's not funny!\Don't make so much noise...\Daichi will get mad...\It's me. It's Asahi.\You guys shut up!\You're stalling. Don't swing your arms.\Yeah. One more.\Nice, Hinata. response:	That's five successful receives.
context: Don't make so much noise...\Daichi will get mad...\It's me. It's Asahi.\You guys shut up!\You're stalling. Don't swing your arms.\Yeah. One more.\Nice, Hinata.\That's five successful receives. response:	All right. That's the whole rotation.
context: Daichi will get mad...\It's me. It's Asahi.\You guys shut up!\You're stalling. Don't swing your arms.\Yeah. One more.\Nice, Hinata.\That's five successful receives.\All right. That's the whole rotation. response:	Next, running.
context: It's me. It's Asahi.\You guys shut up!\You're stalling. Don't swing your arms.\Yeah. One more.\Nice, Hinata.\That's five successful receives.\All right. That's the whole rotation.\Next, running. response:	Yeah.
context: You guys shut up!\You're stalling. Don't swing your arms.\Yeah. One more.\Nice, Hinata.\That's five successful receives.\All right. That's the whole rotation.\Next, running.\Yeah. response:	Hurry up, moron.
context: You're stalling. Don't swing your arms.\Yeah. One more.\Nice, Hinata.\That's five successful receives.\All right. That's the whole rotation.\Next, running.\Yeah.\Hurry up, moron. response:	They sure have a lot of energy,
context: Yeah. One more.\Nice, Hinata.\That's five successful receives.\All right. That's the whole rotation.\Next, running.\Yeah.\Hurry up, moron.\They sure have a lot of energy, response:	Shut up.
context: Nice, Hinata.\That's five successful receives.\All right. That's the whole rotation.\Next, running.\Yeah.\Hurry up, moron.\They sure have a lot of energy,\Shut up. response:	even though they have to train during summer vacation.
context: That's five successful receives.\All right. That's the whole rotation.\Next, running.\Yeah.\Hurry up, moron.\They sure have a lot of energy,\Shut up.\even though they have to train during summer vacation. response:	I saw Kageyama jogging at dawn.
context: All right. That's the whole rotation.\Next, running.\Yeah.\Hurry up, moron.\They sure have a lot of energy,\Shut up.\even though they have to train during summer vacation.\I saw Kageyama jogging at dawn. response:	Oh, Hinata-kun was, too.
context: Next, running.\Yeah.\Hurry up, moron.\They sure have a lot of energy,\Shut up.\even though they have to train during summer vacation.\I saw Kageyama jogging at dawn.\Oh, Hinata-kun was, too. response:	He said it's because there's no mountain crossing at the lodge.
context: Yeah.\Hurry up, moron.\They sure have a lot of energy,\Shut up.\even though they have to train during summer vacation.\I saw Kageyama jogging at dawn.\Oh, Hinata-kun was, too.\He said it's because there's no mountain crossing at the lodge. response:	Mountain crossing?
context: Hurry up, moron.\They sure have a lot of energy,\Shut up.\even though they have to train during summer vacation.\I saw Kageyama jogging at dawn.\Oh, Hinata-kun was, too.\He said it's because there's no mountain crossing at the lodge.\Mountain crossing? response:	That's why he's got all that stamina.
context: They sure have a lot of energy,\Shut up.\even though they have to train during summer vacation.\I saw Kageyama jogging at dawn.\Oh, Hinata-kun was, too.\He said it's because there's no mountain crossing at the lodge.\Mountain crossing?\That's why he's got all that stamina. response:	Are you...
context: Shut up.\even though they have to train during summer vacation.\I saw Kageyama jogging at dawn.\Oh, Hinata-kun was, too.\He said it's because there's no mountain crossing at the lodge.\Mountain crossing?\That's why he's got all that stamina.\Are you... response:	I'm undecided...
context: even though they have to train during summer vacation.\I saw Kageyama jogging at dawn.\Oh, Hinata-kun was, too.\He said it's because there's no mountain crossing at the lodge.\Mountain crossing?\That's why he's got all that stamina.\Are you...\I'm undecided... response:	In terms of ability, Kageyama is my pick.
context: I saw Kageyama jogging at dawn.\Oh, Hinata-kun was, too.\He said it's because there's no mountain crossing at the lodge.\Mountain crossing?\That's why he's got all that stamina.\Are you...\I'm undecided...\In terms of ability, Kageyama is my pick. response:	Sugawara's is experienced and has played with an ace since his first year.
context: Oh, Hinata-kun was, too.\He said it's because there's no mountain crossing at the lodge.\Mountain crossing?\That's why he's got all that stamina.\Are you...\I'm undecided...\In terms of ability, Kageyama is my pick.\Sugawara's is experienced and has played with an ace since his first year. response:	However, Kageyama is talented enough to surpass all that experience in no time.
context: He said it's because there's no mountain crossing at the lodge.\Mountain crossing?\That's why he's got all that stamina.\Are you...\I'm undecided...\In terms of ability, Kageyama is my pick.\Sugawara's is experienced and has played with an ace since his first year.\However, Kageyama is talented enough to surpass all that experience in no time. response:	Sugawara has been playing all this time.
context: Mountain crossing?\That's why he's got all that stamina.\Are you...\I'm undecided...\In terms of ability, Kageyama is my pick.\Sugawara's is experienced and has played with an ace since his first year.\However, Kageyama is talented enough to surpass all that experience in no time.\Sugawara has been playing all this time. response:	His teammates depend on him.
context: That's why he's got all that stamina.\Are you...\I'm undecided...\In terms of ability, Kageyama is my pick.\Sugawara's is experienced and has played with an ace since his first year.\However, Kageyama is talented enough to surpass all that experience in no time.\Sugawara has been playing all this time.\His teammates depend on him. response:	Perhaps the reason why you can't decide, Ukai-kun,
context: Are you...\I'm undecided...\In terms of ability, Kageyama is my pick.\Sugawara's is experienced and has played with an ace since his first year.\However, Kageyama is talented enough to surpass all that experience in no time.\Sugawara has been playing all this time.\His teammates depend on him.\Perhaps the reason why you can't decide, Ukai-kun, response:	is because Sugawara-kun is in his third year. Is that so?
context: I'm undecided...\In terms of ability, Kageyama is my pick.\Sugawara's is experienced and has played with an ace since his first year.\However, Kageyama is talented enough to surpass all that experience in no time.\Sugawara has been playing all this time.\His teammates depend on him.\Perhaps the reason why you can't decide, Ukai-kun,\is because Sugawara-kun is in his third year. Is that so? response:	The third year is his last year. That's why you're thinking...
context: In terms of ability, Kageyama is my pick.\Sugawara's is experienced and has played with an ace since his first year.\However, Kageyama is talented enough to surpass all that experience in no time.\Sugawara has been playing all this time.\His teammates depend on him.\Perhaps the reason why you can't decide, Ukai-kun,\is because Sugawara-kun is in his third year. Is that so?\The third year is his last year. That's why you're thinking... response:	Oh, I'm sorry. I'm overstepping my bounds.
context: Sugawara's is experienced and has played with an ace since his first year.\However, Kageyama is talented enough to surpass all that experience in no time.\Sugawara has been playing all this time.\His teammates depend on him.\Perhaps the reason why you can't decide, Ukai-kun,\is because Sugawara-kun is in his third year. Is that so?\The third year is his last year. That's why you're thinking...\Oh, I'm sorry. I'm overstepping my bounds. response:	No, I think you're exactly right.
context: However, Kageyama is talented enough to surpass all that experience in no time.\Sugawara has been playing all this time.\His teammates depend on him.\Perhaps the reason why you can't decide, Ukai-kun,\is because Sugawara-kun is in his third year. Is that so?\The third year is his last year. That's why you're thinking...\Oh, I'm sorry. I'm overstepping my bounds.\No, I think you're exactly right. response:	When...
context: Sugawara has been playing all this time.\His teammates depend on him.\Perhaps the reason why you can't decide, Ukai-kun,\is because Sugawara-kun is in his third year. Is that so?\The third year is his last year. That's why you're thinking...\Oh, I'm sorry. I'm overstepping my bounds.\No, I think you're exactly right.\When... response:	I was a starting member only once,
context: His teammates depend on him.\Perhaps the reason why you can't decide, Ukai-kun,\is because Sugawara-kun is in his third year. Is that so?\The third year is his last year. That's why you're thinking...\Oh, I'm sorry. I'm overstepping my bounds.\No, I think you're exactly right.\When...\I was a starting member only once, response:	when our younger official setter couldn't play.
context: Perhaps the reason why you can't decide, Ukai-kun,\is because Sugawara-kun is in his third year. Is that so?\The third year is his last year. That's why you're thinking...\Oh, I'm sorry. I'm overstepping my bounds.\No, I think you're exactly right.\When...\I was a starting member only once,\when our younger official setter couldn't play. response:	I remember the anguish I felt, that I wasn't picked to play.
context: is because Sugawara-kun is in his third year. Is that so?\The third year is his last year. That's why you're thinking...\Oh, I'm sorry. I'm overstepping my bounds.\No, I think you're exactly right.\When...\I was a starting member only once,\when our younger official setter couldn't play.\I remember the anguish I felt, that I wasn't picked to play. response:	But as long as I'm the temporary coach now,
context: The third year is his last year. That's why you're thinking...\Oh, I'm sorry. I'm overstepping my bounds.\No, I think you're exactly right.\When...\I was a starting member only once,\when our younger official setter couldn't play.\I remember the anguish I felt, that I wasn't picked to play.\But as long as I'm the temporary coach now, response:	I can't base my decision on a player's feelings.
context: Oh, I'm sorry. I'm overstepping my bounds.\No, I think you're exactly right.\When...\I was a starting member only once,\when our younger official setter couldn't play.\I remember the anguish I felt, that I wasn't picked to play.\But as long as I'm the temporary coach now,\I can't base my decision on a player's feelings. response:	Hinata.
context: No, I think you're exactly right.\When...\I was a starting member only once,\when our younger official setter couldn't play.\I remember the anguish I felt, that I wasn't picked to play.\But as long as I'm the temporary coach now,\I can't base my decision on a player's feelings.\Hinata. response:	Don't yell unnecessarily. It'll sap your strength.
context: When...\I was a starting member only once,\when our younger official setter couldn't play.\I remember the anguish I felt, that I wasn't picked to play.\But as long as I'm the temporary coach now,\I can't base my decision on a player's feelings.\Hinata.\Don't yell unnecessarily. It'll sap your strength. response:	Hey, where are you going?
context: I was a starting member only once,\when our younger official setter couldn't play.\I remember the anguish I felt, that I wasn't picked to play.\But as long as I'm the temporary coach now,\I can't base my decision on a player's feelings.\Hinata.\Don't yell unnecessarily. It'll sap your strength.\Hey, where are you going? response:	Nobody's coming.
context: when our younger official setter couldn't play.\I remember the anguish I felt, that I wasn't picked to play.\But as long as I'm the temporary coach now,\I can't base my decision on a player's feelings.\Hinata.\Don't yell unnecessarily. It'll sap your strength.\Hey, where are you going?\Nobody's coming. response:	Did I get lost?
context: I remember the anguish I felt, that I wasn't picked to play.\But as long as I'm the temporary coach now,\I can't base my decision on a player's feelings.\Hinata.\Don't yell unnecessarily. It'll sap your strength.\Hey, where are you going?\Nobody's coming.\Did I get lost? response:	A bright red jersey.
context: But as long as I'm the temporary coach now,\I can't base my decision on a player's feelings.\Hinata.\Don't yell unnecessarily. It'll sap your strength.\Hey, where are you going?\Nobody's coming.\Did I get lost?\A bright red jersey. response:	You don't see those around here.
context: I can't base my decision on a player's feelings.\Hinata.\Don't yell unnecessarily. It'll sap your strength.\Hey, where are you going?\Nobody's coming.\Did I get lost?\A bright red jersey.\You don't see those around here. response:	What are you doing?
context: Hinata.\Don't yell unnecessarily. It'll sap your strength.\Hey, where are you going?\Nobody's coming.\Did I get lost?\A bright red jersey.\You don't see those around here.\What are you doing? response:	Um...
context: Don't yell unnecessarily. It'll sap your strength.\Hey, where are you going?\Nobody's coming.\Did I get lost?\A bright red jersey.\You don't see those around here.\What are you doing?\Um... response:	I'm lost.
context: Hey, where are you going?\Nobody's coming.\Did I get lost?\A bright red jersey.\You don't see those around here.\What are you doing?\Um...\I'm lost. response:	You're from out of town?
context: Nobody's coming.\Did I get lost?\A bright red jersey.\You don't see those around here.\What are you doing?\Um...\I'm lost.\You're from out of town? response:	Yeah.
context: Did I get lost?\A bright red jersey.\You don't see those around here.\What are you doing?\Um...\I'm lost.\You're from out of town?\Yeah. response:	Is that thing fun?
context: A bright red jersey.\You don't see those around here.\What are you doing?\Um...\I'm lost.\You're from out of town?\Yeah.\Is that thing fun? response:	Not really.
