context: I've prepared all I can. response:	Now, I just have to do it the way I practiced.
context: Kanda Yuko\Onii-chan, good morning!\How can you be so energetic this early in the morning?\It's you who's not energetic enough!\The Suimei exam is on February 13th, so I'll be staying...\with you the night before.\Okay, okay.\You agreed! You don't usually accept things this easily! response:	You'd show up even if I told you not to.
context: Onii-chan, good morning!\How can you be so energetic this early in the morning?\It's you who's not energetic enough!\The Suimei exam is on February 13th, so I'll be staying...\with you the night before.\Okay, okay.\You agreed! You don't usually accept things this easily!\You'd show up even if I told you not to. response:	I'm hanging up
context: How can you be so energetic this early in the morning?\It's you who's not energetic enough!\The Suimei exam is on February 13th, so I'll be staying...\with you the night before.\Okay, okay.\You agreed! You don't usually accept things this easily!\You'd show up even if I told you not to.\I'm hanging up response:	You're so cold! You're as cold as ever!
context: It's you who's not energetic enough!\The Suimei exam is on February 13th, so I'll be staying...\with you the night before.\Okay, okay.\You agreed! You don't usually accept things this easily!\You'd show up even if I told you not to.\I'm hanging up\You're so cold! You're as cold as ever! response:	Today's an important day for me.
context: The Suimei exam is on February 13th, so I'll be staying...\with you the night before.\Okay, okay.\You agreed! You don't usually accept things this easily!\You'd show up even if I told you not to.\I'm hanging up\You're so cold! You're as cold as ever!\Today's an important day for me. response:	I'm presenting my pitch.
context: with you the night before.\Okay, okay.\You agreed! You don't usually accept things this easily!\You'd show up even if I told you not to.\I'm hanging up\You're so cold! You're as cold as ever!\Today's an important day for me.\I'm presenting my pitch. response:	A pitch?
context: Okay, okay.\You agreed! You don't usually accept things this easily!\You'd show up even if I told you not to.\I'm hanging up\You're so cold! You're as cold as ever!\Today's an important day for me.\I'm presenting my pitch.\A pitch? response:	What's that? Does it taste good?
context: You agreed! You don't usually accept things this easily!\You'd show up even if I told you not to.\I'm hanging up\You're so cold! You're as cold as ever!\Today's an important day for me.\I'm presenting my pitch.\A pitch?\What's that? Does it taste good? response:	Yeah, it's delicious.
context: You'd show up even if I told you not to.\I'm hanging up\You're so cold! You're as cold as ever!\Today's an important day for me.\I'm presenting my pitch.\A pitch?\What's that? Does it taste good?\Yeah, it's delicious. response:	What? Really?
context: I'm hanging up\You're so cold! You're as cold as ever!\Today's an important day for me.\I'm presenting my pitch.\A pitch?\What's that? Does it taste good?\Yeah, it's delicious.\What? Really? response:	Don't take that seriously!
context: You're so cold! You're as cold as ever!\Today's an important day for me.\I'm presenting my pitch.\A pitch?\What's that? Does it taste good?\Yeah, it's delicious.\What? Really?\Don't take that seriously! response:	It's a test, sorta.
context: Today's an important day for me.\I'm presenting my pitch.\A pitch?\What's that? Does it taste good?\Yeah, it's delicious.\What? Really?\Don't take that seriously!\It's a test, sorta. response:	So you've got a test too, huh?
context: I'm presenting my pitch.\A pitch?\What's that? Does it taste good?\Yeah, it's delicious.\What? Really?\Don't take that seriously!\It's a test, sorta.\So you've got a test too, huh? response:	I'll share some of my energy with you.
context: A pitch?\What's that? Does it taste good?\Yeah, it's delicious.\What? Really?\Don't take that seriously!\It's a test, sorta.\So you've got a test too, huh?\I'll share some of my energy with you. response:	You can do it!
context: What's that? Does it taste good?\Yeah, it's delicious.\What? Really?\Don't take that seriously!\It's a test, sorta.\So you've got a test too, huh?\I'll share some of my energy with you.\You can do it! response:	Thanks.
context: Yeah, it's delicious.\What? Really?\Don't take that seriously!\It's a test, sorta.\So you've got a test too, huh?\I'll share some of my energy with you.\You can do it!\Thanks. response:	Kanda-kun, you look pale. Are you okay?
context: What? Really?\Don't take that seriously!\It's a test, sorta.\So you've got a test too, huh?\I'll share some of my energy with you.\You can do it!\Thanks.\Kanda-kun, you look pale. Are you okay? response:	Your presentation's today, isn't it?
context: Don't take that seriously!\It's a test, sorta.\So you've got a test too, huh?\I'll share some of my energy with you.\You can do it!\Thanks.\Kanda-kun, you look pale. Are you okay?\Your presentation's today, isn't it? response:	Huh? Yeah, after school.
context: It's a test, sorta.\So you've got a test too, huh?\I'll share some of my energy with you.\You can do it!\Thanks.\Kanda-kun, you look pale. Are you okay?\Your presentation's today, isn't it?\Huh? Yeah, after school. response:	Sorata.
context: So you've got a test too, huh?\I'll share some of my energy with you.\You can do it!\Thanks.\Kanda-kun, you look pale. Are you okay?\Your presentation's today, isn't it?\Huh? Yeah, after school.\Sorata. response:	You can do it.
context: I'll share some of my energy with you.\You can do it!\Thanks.\Kanda-kun, you look pale. Are you okay?\Your presentation's today, isn't it?\Huh? Yeah, after school.\Sorata.\You can do it. response:	Th-Thanks. I'll give it my best shot!
context: You can do it!\Thanks.\Kanda-kun, you look pale. Are you okay?\Your presentation's today, isn't it?\Huh? Yeah, after school.\Sorata.\You can do it.\Th-Thanks. I'll give it my best shot! response:	Give me a break.
context: Thanks.\Kanda-kun, you look pale. Are you okay?\Your presentation's today, isn't it?\Huh? Yeah, after school.\Sorata.\You can do it.\Th-Thanks. I'll give it my best shot!\Give me a break. response:	Why are you getting so fired up on a cold day like this?
context: Kanda-kun, you look pale. Are you okay?\Your presentation's today, isn't it?\Huh? Yeah, after school.\Sorata.\You can do it.\Th-Thanks. I'll give it my best shot!\Give me a break.\Why are you getting so fired up on a cold day like this? response:	Sensei, good morning.
context: Your presentation's today, isn't it?\Huh? Yeah, after school.\Sorata.\You can do it.\Th-Thanks. I'll give it my best shot!\Give me a break.\Why are you getting so fired up on a cold day like this?\Sensei, good morning. response:	How was Australia?
context: Huh? Yeah, after school.\Sorata.\You can do it.\Th-Thanks. I'll give it my best shot!\Give me a break.\Why are you getting so fired up on a cold day like this?\Sensei, good morning.\How was Australia? response:	Forget about that, Kanda.
context: Sorata.\You can do it.\Th-Thanks. I'll give it my best shot!\Give me a break.\Why are you getting so fired up on a cold day like this?\Sensei, good morning.\How was Australia?\Forget about that, Kanda. response:	You haven't even started yet, and you're stiff as a board, honestly...
context: You can do it.\Th-Thanks. I'll give it my best shot!\Give me a break.\Why are you getting so fired up on a cold day like this?\Sensei, good morning.\How was Australia?\Forget about that, Kanda.\You haven't even started yet, and you're stiff as a board, honestly... response:	Love
context: Th-Thanks. I'll give it my best shot!\Give me a break.\Why are you getting so fired up on a cold day like this?\Sensei, good morning.\How was Australia?\Forget about that, Kanda.\You haven't even started yet, and you're stiff as a board, honestly...\Love response:	Don't worry about being perfect.
context: Give me a break.\Why are you getting so fired up on a cold day like this?\Sensei, good morning.\How was Australia?\Forget about that, Kanda.\You haven't even started yet, and you're stiff as a board, honestly...\Love\Don't worry about being perfect. response:	What? But I need to do my best...
context: Why are you getting so fired up on a cold day like this?\Sensei, good morning.\How was Australia?\Forget about that, Kanda.\You haven't even started yet, and you're stiff as a board, honestly...\Love\Don't worry about being perfect.\What? But I need to do my best... response:	You don't understand.
context: Sensei, good morning.\How was Australia?\Forget about that, Kanda.\You haven't even started yet, and you're stiff as a board, honestly...\Love\Don't worry about being perfect.\What? But I need to do my best...\You don't understand. response:	I'm telling you to not try so hard.
context: How was Australia?\Forget about that, Kanda.\You haven't even started yet, and you're stiff as a board, honestly...\Love\Don't worry about being perfect.\What? But I need to do my best...\You don't understand.\I'm telling you to not try so hard. response:	The new year has begun, but...
context: Forget about that, Kanda.\You haven't even started yet, and you're stiff as a board, honestly...\Love\Don't worry about being perfect.\What? But I need to do my best...\You don't understand.\I'm telling you to not try so hard.\The new year has begun, but... response:	The principal goes on forever.
context: You haven't even started yet, and you're stiff as a board, honestly...\Love\Don't worry about being perfect.\What? But I need to do my best...\You don't understand.\I'm telling you to not try so hard.\The new year has begun, but...\The principal goes on forever. response:	Yeah, forever.
context: Love\Don't worry about being perfect.\What? But I need to do my best...\You don't understand.\I'm telling you to not try so hard.\The new year has begun, but...\The principal goes on forever.\Yeah, forever. response:	Misaki-senpai?
context: Don't worry about being perfect.\What? But I need to do my best...\You don't understand.\I'm telling you to not try so hard.\The new year has begun, but...\The principal goes on forever.\Yeah, forever.\Misaki-senpai? response:	It's you, kouhai-kun.
context: What? But I need to do my best...\You don't understand.\I'm telling you to not try so hard.\The new year has begun, but...\The principal goes on forever.\Yeah, forever.\Misaki-senpai?\It's you, kouhai-kun. response:	What are you doing here?
context: You don't understand.\I'm telling you to not try so hard.\The new year has begun, but...\The principal goes on forever.\Yeah, forever.\Misaki-senpai?\It's you, kouhai-kun.\What are you doing here? response:	Huh? Jin-san...
context: I'm telling you to not try so hard.\The new year has begun, but...\The principal goes on forever.\Yeah, forever.\Misaki-senpai?\It's you, kouhai-kun.\What are you doing here?\Huh? Jin-san... response:	What's up?
context: The new year has begun, but...\The principal goes on forever.\Yeah, forever.\Misaki-senpai?\It's you, kouhai-kun.\What are you doing here?\Huh? Jin-san...\What's up? response:	That's...
context: The principal goes on forever.\Yeah, forever.\Misaki-senpai?\It's you, kouhai-kun.\What are you doing here?\Huh? Jin-san...\What's up?\That's... response:	What are you doing?
context: Yeah, forever.\Misaki-senpai?\It's you, kouhai-kun.\What are you doing here?\Huh? Jin-san...\What's up?\That's...\What are you doing? response:	No one can top my bullfrog impression!
context: Misaki-senpai?\It's you, kouhai-kun.\What are you doing here?\Huh? Jin-san...\What's up?\That's...\What are you doing?\No one can top my bullfrog impression! response:	Don't sound so smug about that!
context: It's you, kouhai-kun.\What are you doing here?\Huh? Jin-san...\What's up?\That's...\What are you doing?\No one can top my bullfrog impression!\Don't sound so smug about that! response:	Come on, Senpai. You want to talk to Jin-san, don't you?
context: What are you doing here?\Huh? Jin-san...\What's up?\That's...\What are you doing?\No one can top my bullfrog impression!\Don't sound so smug about that!\Come on, Senpai. You want to talk to Jin-san, don't you? response:	I'll be right back.
context: Huh? Jin-san...\What's up?\That's...\What are you doing?\No one can top my bullfrog impression!\Don't sound so smug about that!\Come on, Senpai. You want to talk to Jin-san, don't you?\I'll be right back. response:	H-Hey, wait!
context: What's up?\That's...\What are you doing?\No one can top my bullfrog impression!\Don't sound so smug about that!\Come on, Senpai. You want to talk to Jin-san, don't you?\I'll be right back.\H-Hey, wait! response:	Hey.
context: That's...\What are you doing?\No one can top my bullfrog impression!\Don't sound so smug about that!\Come on, Senpai. You want to talk to Jin-san, don't you?\I'll be right back.\H-Hey, wait!\Hey. response:	Jin-san, aren't you coming back to Sakura Hall?
context: What are you doing?\No one can top my bullfrog impression!\Don't sound so smug about that!\Come on, Senpai. You want to talk to Jin-san, don't you?\I'll be right back.\H-Hey, wait!\Hey.\Jin-san, aren't you coming back to Sakura Hall? response:	Nope. I'll be staying at...
context: No one can top my bullfrog impression!\Don't sound so smug about that!\Come on, Senpai. You want to talk to Jin-san, don't you?\I'll be right back.\H-Hey, wait!\Hey.\Jin-san, aren't you coming back to Sakura Hall?\Nope. I'll be staying at... response:	the former Student Council President's place until after the exams.
context: Don't sound so smug about that!\Come on, Senpai. You want to talk to Jin-san, don't you?\I'll be right back.\H-Hey, wait!\Hey.\Jin-san, aren't you coming back to Sakura Hall?\Nope. I'll be staying at...\the former Student Council President's place until after the exams. response:	Hey, nobody told me this!
context: Come on, Senpai. You want to talk to Jin-san, don't you?\I'll be right back.\H-Hey, wait!\Hey.\Jin-san, aren't you coming back to Sakura Hall?\Nope. I'll be staying at...\the former Student Council President's place until after the exams.\Hey, nobody told me this! response:	I just told you. Thanks.
context: I'll be right back.\H-Hey, wait!\Hey.\Jin-san, aren't you coming back to Sakura Hall?\Nope. I'll be staying at...\the former Student Council President's place until after the exams.\Hey, nobody told me this!\I just told you. Thanks. response:	I didn't agree to it!
context: H-Hey, wait!\Hey.\Jin-san, aren't you coming back to Sakura Hall?\Nope. I'll be staying at...\the former Student Council President's place until after the exams.\Hey, nobody told me this!\I just told you. Thanks.\I didn't agree to it! response:	Sorry.
context: Hey.\Jin-san, aren't you coming back to Sakura Hall?\Nope. I'll be staying at...\the former Student Council President's place until after the exams.\Hey, nobody told me this!\I just told you. Thanks.\I didn't agree to it!\Sorry. response:	Sorry to keep you waiting, Soichiro-kun.
context: Jin-san, aren't you coming back to Sakura Hall?\Nope. I'll be staying at...\the former Student Council President's place until after the exams.\Hey, nobody told me this!\I just told you. Thanks.\I didn't agree to it!\Sorry.\Sorry to keep you waiting, Soichiro-kun. response:	Hau-Hau, I see you've only got eyes for Soichiro-kun.
context: Nope. I'll be staying at...\the former Student Council President's place until after the exams.\Hey, nobody told me this!\I just told you. Thanks.\I didn't agree to it!\Sorry.\Sorry to keep you waiting, Soichiro-kun.\Hau-Hau, I see you've only got eyes for Soichiro-kun. response:	Of course. He's my boyfriend.
context: the former Student Council President's place until after the exams.\Hey, nobody told me this!\I just told you. Thanks.\I didn't agree to it!\Sorry.\Sorry to keep you waiting, Soichiro-kun.\Hau-Hau, I see you've only got eyes for Soichiro-kun.\Of course. He's my boyfriend. response:	How innocent.
context: Hey, nobody told me this!\I just told you. Thanks.\I didn't agree to it!\Sorry.\Sorry to keep you waiting, Soichiro-kun.\Hau-Hau, I see you've only got eyes for Soichiro-kun.\Of course. He's my boyfriend.\How innocent. response:	I wish I could have experienced a love like yours.
context: I just told you. Thanks.\I didn't agree to it!\Sorry.\Sorry to keep you waiting, Soichiro-kun.\Hau-Hau, I see you've only got eyes for Soichiro-kun.\Of course. He's my boyfriend.\How innocent.\I wish I could have experienced a love like yours. response:	Don't be ridiculous.
context: I didn't agree to it!\Sorry.\Sorry to keep you waiting, Soichiro-kun.\Hau-Hau, I see you've only got eyes for Soichiro-kun.\Of course. He's my boyfriend.\How innocent.\I wish I could have experienced a love like yours.\Don't be ridiculous. response:	I'm not.
context: Sorry.\Sorry to keep you waiting, Soichiro-kun.\Hau-Hau, I see you've only got eyes for Soichiro-kun.\Of course. He's my boyfriend.\How innocent.\I wish I could have experienced a love like yours.\Don't be ridiculous.\I'm not. response:	Anyway,
context: Sorry to keep you waiting, Soichiro-kun.\Hau-Hau, I see you've only got eyes for Soichiro-kun.\Of course. He's my boyfriend.\How innocent.\I wish I could have experienced a love like yours.\Don't be ridiculous.\I'm not.\Anyway, response:	I wouldn't want to hog the precious little time...
context: Hau-Hau, I see you've only got eyes for Soichiro-kun.\Of course. He's my boyfriend.\How innocent.\I wish I could have experienced a love like yours.\Don't be ridiculous.\I'm not.\Anyway,\I wouldn't want to hog the precious little time... response:	a couple gets together before graduation.
context: Of course. He's my boyfriend.\How innocent.\I wish I could have experienced a love like yours.\Don't be ridiculous.\I'm not.\Anyway,\I wouldn't want to hog the precious little time...\a couple gets together before graduation. response:	Jin-san.
context: How innocent.\I wish I could have experienced a love like yours.\Don't be ridiculous.\I'm not.\Anyway,\I wouldn't want to hog the precious little time...\a couple gets together before graduation.\Jin-san. response:	That's the situation. Let Misaki know for me.
context: I wish I could have experienced a love like yours.\Don't be ridiculous.\I'm not.\Anyway,\I wouldn't want to hog the precious little time...\a couple gets together before graduation.\Jin-san.\That's the situation. Let Misaki know for me. response:	You.
context: Don't be ridiculous.\I'm not.\Anyway,\I wouldn't want to hog the precious little time...\a couple gets together before graduation.\Jin-san.\That's the situation. Let Misaki know for me.\You. response:	If you're done here, do you mind taking that bullfrog with you?
context: I'm not.\Anyway,\I wouldn't want to hog the precious little time...\a couple gets together before graduation.\Jin-san.\That's the situation. Let Misaki know for me.\You.\If you're done here, do you mind taking that bullfrog with you? response:	Oh, sure...
context: Anyway,\I wouldn't want to hog the precious little time...\a couple gets together before graduation.\Jin-san.\That's the situation. Let Misaki know for me.\You.\If you're done here, do you mind taking that bullfrog with you?\Oh, sure... response:	I'm surprised the former Student Council President...
context: I wouldn't want to hog the precious little time...\a couple gets together before graduation.\Jin-san.\That's the situation. Let Misaki know for me.\You.\If you're done here, do you mind taking that bullfrog with you?\Oh, sure...\I'm surprised the former Student Council President... response:	knew that was a bullfrog you were doing.
context: a couple gets together before graduation.\Jin-san.\That's the situation. Let Misaki know for me.\You.\If you're done here, do you mind taking that bullfrog with you?\Oh, sure...\I'm surprised the former Student Council President...\knew that was a bullfrog you were doing. response:	Kouhai-kun, I'll do it.
context: Jin-san.\That's the situation. Let Misaki know for me.\You.\If you're done here, do you mind taking that bullfrog with you?\Oh, sure...\I'm surprised the former Student Council President...\knew that was a bullfrog you were doing.\Kouhai-kun, I'll do it. response:	Huh?
context: That's the situation. Let Misaki know for me.\You.\If you're done here, do you mind taking that bullfrog with you?\Oh, sure...\I'm surprised the former Student Council President...\knew that was a bullfrog you were doing.\Kouhai-kun, I'll do it.\Huh? response:	I want to move forward!
context: You.\If you're done here, do you mind taking that bullfrog with you?\Oh, sure...\I'm surprised the former Student Council President...\knew that was a bullfrog you were doing.\Kouhai-kun, I'll do it.\Huh?\I want to move forward! response:	So you've got to give it your best, too!
context: If you're done here, do you mind taking that bullfrog with you?\Oh, sure...\I'm surprised the former Student Council President...\knew that was a bullfrog you were doing.\Kouhai-kun, I'll do it.\Huh?\I want to move forward!\So you've got to give it your best, too! response:	All right!
context: Oh, sure...\I'm surprised the former Student Council President...\knew that was a bullfrog you were doing.\Kouhai-kun, I'll do it.\Huh?\I want to move forward!\So you've got to give it your best, too!\All right! response:	All I can do is face them with all my energy, anxiety, and insecurity.
context: I'm surprised the former Student Council President...\knew that was a bullfrog you were doing.\Kouhai-kun, I'll do it.\Huh?\I want to move forward!\So you've got to give it your best, too!\All right!\All I can do is face them with all my energy, anxiety, and insecurity. response:	Aoyama Nanami
context: knew that was a bullfrog you were doing.\Kouhai-kun, I'll do it.\Huh?\I want to move forward!\So you've got to give it your best, too!\All right!\All I can do is face them with all my energy, anxiety, and insecurity.\Aoyama Nanami response:	To: Kanda-kun
context: Kouhai-kun, I'll do it.\Huh?\I want to move forward!\So you've got to give it your best, too!\All right!\All I can do is face them with all my energy, anxiety, and insecurity.\Aoyama Nanami\To: Kanda-kun response:	I know this might only put pressure on you,
context: Huh?\I want to move forward!\So you've got to give it your best, too!\All right!\All I can do is face them with all my energy, anxiety, and insecurity.\Aoyama Nanami\To: Kanda-kun\I know this might only put pressure on you, response:	but I still want to say it...
context: I want to move forward!\So you've got to give it your best, too!\All right!\All I can do is face them with all my energy, anxiety, and insecurity.\Aoyama Nanami\To: Kanda-kun\I know this might only put pressure on you,\but I still want to say it... response:	You can do it!
context: So you've got to give it your best, too!\All right!\All I can do is face them with all my energy, anxiety, and insecurity.\Aoyama Nanami\To: Kanda-kun\I know this might only put pressure on you,\but I still want to say it...\You can do it! response:	Leave it to me!
context: All right!\All I can do is face them with all my energy, anxiety, and insecurity.\Aoyama Nanami\To: Kanda-kun\I know this might only put pressure on you,\but I still want to say it...\You can do it!\Leave it to me! response:	Send
