context: Go round, merry-go-round! response:	Go up, pink Ferris wheel!
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared response:	and gave me a peculiar transforming brooch
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch response:	and made me a sailor warrior.
context: We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior. response:	But, she wants me to fight against bad guys.
context: I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys. response:	That makes me really nervous.
context: I'm Usagi Tsukino, 14 years old. I'm in the 8th grade.\I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous. response:	Oh well, I guess everything will be okay.
context: I'm clumsier than others\and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay. response:	Usagi vs. Rei? A Nightmare in Dreamland
context: and a bit of a crybaby. That's about it.\One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\Usagi vs. Rei? A Nightmare in Dreamland response:	Hikawa Shrine
context: One day, a strange black cat, Luna, appeared\and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\Usagi vs. Rei? A Nightmare in Dreamland\Hikawa Shrine response:	When the three of you get together like this, it's so heartening.
context: and gave me a peculiar transforming brooch\and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\Usagi vs. Rei? A Nightmare in Dreamland\Hikawa Shrine\When the three of you get together like this, it's so heartening. response:	But, we shouldn't get overconfident.
context: and made me a sailor warrior.\But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\Usagi vs. Rei? A Nightmare in Dreamland\Hikawa Shrine\When the three of you get together like this, it's so heartening.\But, we shouldn't get overconfident. response:	Our battle is still ahead of us.
context: But, she wants me to fight against bad guys.\That makes me really nervous.\Oh well, I guess everything will be okay.\Usagi vs. Rei? A Nightmare in Dreamland\Hikawa Shrine\When the three of you get together like this, it's so heartening.\But, we shouldn't get overconfident.\Our battle is still ahead of us. response:	Hey! A Sailor V comic book! Our battle is still ahead of us.
context: That makes me really nervous.\Oh well, I guess everything will be okay.\Usagi vs. Rei? A Nightmare in Dreamland\Hikawa Shrine\When the three of you get together like this, it's so heartening.\But, we shouldn't get overconfident.\Our battle is still ahead of us.\Hey! A Sailor V comic book! Our battle is still ahead of us. response:	Hey! A Sailor V comic book!
context: Oh well, I guess everything will be okay.\Usagi vs. Rei? A Nightmare in Dreamland\Hikawa Shrine\When the three of you get together like this, it's so heartening.\But, we shouldn't get overconfident.\Our battle is still ahead of us.\Hey! A Sailor V comic book! Our battle is still ahead of us.\Hey! A Sailor V comic book! response:	No! I haven't finished it yet either!
context: Usagi vs. Rei? A Nightmare in Dreamland\Hikawa Shrine\When the three of you get together like this, it's so heartening.\But, we shouldn't get overconfident.\Our battle is still ahead of us.\Hey! A Sailor V comic book! Our battle is still ahead of us.\Hey! A Sailor V comic book!\No! I haven't finished it yet either! response:	Oh, come on! Cheapskate!
context: Hikawa Shrine\When the three of you get together like this, it's so heartening.\But, we shouldn't get overconfident.\Our battle is still ahead of us.\Hey! A Sailor V comic book! Our battle is still ahead of us.\Hey! A Sailor V comic book!\No! I haven't finished it yet either!\Oh, come on! Cheapskate! response:	Rei, you have a nice encyclopedia. Oh, come on! Cheapskate!
context: When the three of you get together like this, it's so heartening.\But, we shouldn't get overconfident.\Our battle is still ahead of us.\Hey! A Sailor V comic book! Our battle is still ahead of us.\Hey! A Sailor V comic book!\No! I haven't finished it yet either!\Oh, come on! Cheapskate!\Rei, you have a nice encyclopedia. Oh, come on! Cheapskate! response:	Rei, you have a nice encyclopedia.
context: But, we shouldn't get overconfident.\Our battle is still ahead of us.\Hey! A Sailor V comic book! Our battle is still ahead of us.\Hey! A Sailor V comic book!\No! I haven't finished it yet either!\Oh, come on! Cheapskate!\Rei, you have a nice encyclopedia. Oh, come on! Cheapskate!\Rei, you have a nice encyclopedia. response:	Rei, you have a nice encyclopedia. Let me borrow it!
context: Our battle is still ahead of us.\Hey! A Sailor V comic book! Our battle is still ahead of us.\Hey! A Sailor V comic book!\No! I haven't finished it yet either!\Oh, come on! Cheapskate!\Rei, you have a nice encyclopedia. Oh, come on! Cheapskate!\Rei, you have a nice encyclopedia.\Rei, you have a nice encyclopedia. Let me borrow it! response:	In other words...
context: Hey! A Sailor V comic book! Our battle is still ahead of us.\Hey! A Sailor V comic book!\No! I haven't finished it yet either!\Oh, come on! Cheapskate!\Rei, you have a nice encyclopedia. Oh, come on! Cheapskate!\Rei, you have a nice encyclopedia.\Rei, you have a nice encyclopedia. Let me borrow it!\In other words... response:	Rei, don't pull it too much! You'll end up tearing it!
context: Hey! A Sailor V comic book!\No! I haven't finished it yet either!\Oh, come on! Cheapskate!\Rei, you have a nice encyclopedia. Oh, come on! Cheapskate!\Rei, you have a nice encyclopedia.\Rei, you have a nice encyclopedia. Let me borrow it!\In other words...\Rei, don't pull it too much! You'll end up tearing it! response:	Rei, don't pull it too much! You'll end up tearing it! So what I'm trying to say is...
context: No! I haven't finished it yet either!\Oh, come on! Cheapskate!\Rei, you have a nice encyclopedia. Oh, come on! Cheapskate!\Rei, you have a nice encyclopedia.\Rei, you have a nice encyclopedia. Let me borrow it!\In other words...\Rei, don't pull it too much! You'll end up tearing it!\Rei, don't pull it too much! You'll end up tearing it! So what I'm trying to say is... response:	So what I'm trying to say is...
context: Oh, come on! Cheapskate!\Rei, you have a nice encyclopedia. Oh, come on! Cheapskate!\Rei, you have a nice encyclopedia.\Rei, you have a nice encyclopedia. Let me borrow it!\In other words...\Rei, don't pull it too much! You'll end up tearing it!\Rei, don't pull it too much! You'll end up tearing it! So what I'm trying to say is...\So what I'm trying to say is... response:	That's enough!
context: Rei, you have a nice encyclopedia. Oh, come on! Cheapskate!\Rei, you have a nice encyclopedia.\Rei, you have a nice encyclopedia. Let me borrow it!\In other words...\Rei, don't pull it too much! You'll end up tearing it!\Rei, don't pull it too much! You'll end up tearing it! So what I'm trying to say is...\So what I'm trying to say is...\That's enough! response:	Having three of you is meaningless, if you're always like this.
context: Rei, you have a nice encyclopedia.\Rei, you have a nice encyclopedia. Let me borrow it!\In other words...\Rei, don't pull it too much! You'll end up tearing it!\Rei, don't pull it too much! You'll end up tearing it! So what I'm trying to say is...\So what I'm trying to say is...\That's enough!\Having three of you is meaningless, if you're always like this. response:	Be more aware of yourselves as warriors.
context: Rei, you have a nice encyclopedia. Let me borrow it!\In other words...\Rei, don't pull it too much! You'll end up tearing it!\Rei, don't pull it too much! You'll end up tearing it! So what I'm trying to say is...\So what I'm trying to say is...\That's enough!\Having three of you is meaningless, if you're always like this.\Be more aware of yourselves as warriors. response:	I'm sorry.
context: In other words...\Rei, don't pull it too much! You'll end up tearing it!\Rei, don't pull it too much! You'll end up tearing it! So what I'm trying to say is...\So what I'm trying to say is...\That's enough!\Having three of you is meaningless, if you're always like this.\Be more aware of yourselves as warriors.\I'm sorry. response:	Easy for you to say.
context: Rei, don't pull it too much! You'll end up tearing it!\Rei, don't pull it too much! You'll end up tearing it! So what I'm trying to say is...\So what I'm trying to say is...\That's enough!\Having three of you is meaningless, if you're always like this.\Be more aware of yourselves as warriors.\I'm sorry.\Easy for you to say. response:	So, what do you want us to do?
context: Rei, don't pull it too much! You'll end up tearing it! So what I'm trying to say is...\So what I'm trying to say is...\That's enough!\Having three of you is meaningless, if you're always like this.\Be more aware of yourselves as warriors.\I'm sorry.\Easy for you to say.\So, what do you want us to do? response:	Like I've been saying,
context: So what I'm trying to say is...\That's enough!\Having three of you is meaningless, if you're always like this.\Be more aware of yourselves as warriors.\I'm sorry.\Easy for you to say.\So, what do you want us to do?\Like I've been saying, response:	you girls need to work together to find the princess!
context: That's enough!\Having three of you is meaningless, if you're always like this.\Be more aware of yourselves as warriors.\I'm sorry.\Easy for you to say.\So, what do you want us to do?\Like I've been saying,\you girls need to work together to find the princess! response:	How?
context: Having three of you is meaningless, if you're always like this.\Be more aware of yourselves as warriors.\I'm sorry.\Easy for you to say.\So, what do you want us to do?\Like I've been saying,\you girls need to work together to find the princess!\How? response:	She must have a sign hanging on her saying who she is. How?
context: Be more aware of yourselves as warriors.\I'm sorry.\Easy for you to say.\So, what do you want us to do?\Like I've been saying,\you girls need to work together to find the princess!\How?\She must have a sign hanging on her saying who she is. How? response:	She must have a sign hanging on her saying who she is.
context: I'm sorry.\Easy for you to say.\So, what do you want us to do?\Like I've been saying,\you girls need to work together to find the princess!\How?\She must have a sign hanging on her saying who she is. How?\She must have a sign hanging on her saying who she is. response:	Oh, okay!
context: Easy for you to say.\So, what do you want us to do?\Like I've been saying,\you girls need to work together to find the princess!\How?\She must have a sign hanging on her saying who she is. How?\She must have a sign hanging on her saying who she is.\Oh, okay! response:	Come on, you two...
context: So, what do you want us to do?\Like I've been saying,\you girls need to work together to find the princess!\How?\She must have a sign hanging on her saying who she is. How?\She must have a sign hanging on her saying who she is.\Oh, okay!\Come on, you two... response:	She doesn't?!
context: Like I've been saying,\you girls need to work together to find the princess!\How?\She must have a sign hanging on her saying who she is. How?\She must have a sign hanging on her saying who she is.\Oh, okay!\Come on, you two...\She doesn't?! response:	Unbelievable! Then there's no way we can find her.
context: you girls need to work together to find the princess!\How?\She must have a sign hanging on her saying who she is. How?\She must have a sign hanging on her saying who she is.\Oh, okay!\Come on, you two...\She doesn't?!\Unbelievable! Then there's no way we can find her. response:	Then let's do something else until Luna gets information on the princess.
context: How?\She must have a sign hanging on her saying who she is. How?\She must have a sign hanging on her saying who she is.\Oh, okay!\Come on, you two...\She doesn't?!\Unbelievable! Then there's no way we can find her.\Then let's do something else until Luna gets information on the princess. response:	Something else?
context: She must have a sign hanging on her saying who she is. How?\She must have a sign hanging on her saying who she is.\Oh, okay!\Come on, you two...\She doesn't?!\Unbelievable! Then there's no way we can find her.\Then let's do something else until Luna gets information on the princess.\Something else? response:	We'll protect everyone from the eerie enemies that threaten the peace!
context: She must have a sign hanging on her saying who she is.\Oh, okay!\Come on, you two...\She doesn't?!\Unbelievable! Then there's no way we can find her.\Then let's do something else until Luna gets information on the princess.\Something else?\We'll protect everyone from the eerie enemies that threaten the peace! response:	You're the best, Ami!
context: Oh, okay!\Come on, you two...\She doesn't?!\Unbelievable! Then there's no way we can find her.\Then let's do something else until Luna gets information on the princess.\Something else?\We'll protect everyone from the eerie enemies that threaten the peace!\You're the best, Ami! response:	Another Disappearance?! You're the best, Ami!
context: Come on, you two...\She doesn't?!\Unbelievable! Then there's no way we can find her.\Then let's do something else until Luna gets information on the princess.\Something else?\We'll protect everyone from the eerie enemies that threaten the peace!\You're the best, Ami!\Another Disappearance?! You're the best, Ami! response:	Another Disappearance?! Look at this!
context: She doesn't?!\Unbelievable! Then there's no way we can find her.\Then let's do something else until Luna gets information on the princess.\Something else?\We'll protect everyone from the eerie enemies that threaten the peace!\You're the best, Ami!\Another Disappearance?! You're the best, Ami!\Another Disappearance?! Look at this! response:	Look at this!
context: Unbelievable! Then there's no way we can find her.\Then let's do something else until Luna gets information on the princess.\Something else?\We'll protect everyone from the eerie enemies that threaten the peace!\You're the best, Ami!\Another Disappearance?! You're the best, Ami!\Another Disappearance?! Look at this!\Look at this! response:	Oh, this is Dreamland!
context: Then let's do something else until Luna gets information on the princess.\Something else?\We'll protect everyone from the eerie enemies that threaten the peace!\You're the best, Ami!\Another Disappearance?! You're the best, Ami!\Another Disappearance?! Look at this!\Look at this!\Oh, this is Dreamland! response:	Dreamland?
context: Something else?\We'll protect everyone from the eerie enemies that threaten the peace!\You're the best, Ami!\Another Disappearance?! You're the best, Ami!\Another Disappearance?! Look at this!\Look at this!\Oh, this is Dreamland!\Dreamland? response:	Remember? It's a new amusement park.
context: We'll protect everyone from the eerie enemies that threaten the peace!\You're the best, Ami!\Another Disappearance?! You're the best, Ami!\Another Disappearance?! Look at this!\Look at this!\Oh, this is Dreamland!\Dreamland?\Remember? It's a new amusement park. response:	They say something mysterious is going on in Dreamland.
context: You're the best, Ami!\Another Disappearance?! You're the best, Ami!\Another Disappearance?! Look at this!\Look at this!\Oh, this is Dreamland!\Dreamland?\Remember? It's a new amusement park.\They say something mysterious is going on in Dreamland. response:	Something mysterious?
context: Another Disappearance?! You're the best, Ami!\Another Disappearance?! Look at this!\Look at this!\Oh, this is Dreamland!\Dreamland?\Remember? It's a new amusement park.\They say something mysterious is going on in Dreamland.\Something mysterious? response:	Of the people who went to Dreamland in the last week,
context: Another Disappearance?! Look at this!\Look at this!\Oh, this is Dreamland!\Dreamland?\Remember? It's a new amusement park.\They say something mysterious is going on in Dreamland.\Something mysterious?\Of the people who went to Dreamland in the last week, response:	fifty have gone missing.
context: Look at this!\Oh, this is Dreamland!\Dreamland?\Remember? It's a new amusement park.\They say something mysterious is going on in Dreamland.\Something mysterious?\Of the people who went to Dreamland in the last week,\fifty have gone missing. response:	To think you allowed a third sailor warrior to join them...
context: Oh, this is Dreamland!\Dreamland?\Remember? It's a new amusement park.\They say something mysterious is going on in Dreamland.\Something mysterious?\Of the people who went to Dreamland in the last week,\fifty have gone missing.\To think you allowed a third sailor warrior to join them... response:	Jadeite!
context: Dreamland?\Remember? It's a new amusement park.\They say something mysterious is going on in Dreamland.\Something mysterious?\Of the people who went to Dreamland in the last week,\fifty have gone missing.\To think you allowed a third sailor warrior to join them...\Jadeite! response:	Yes, my lady!
context: Remember? It's a new amusement park.\They say something mysterious is going on in Dreamland.\Something mysterious?\Of the people who went to Dreamland in the last week,\fifty have gone missing.\To think you allowed a third sailor warrior to join them...\Jadeite!\Yes, my lady! response:	You do not have many opportunities left to redeem yourself.
context: They say something mysterious is going on in Dreamland.\Something mysterious?\Of the people who went to Dreamland in the last week,\fifty have gone missing.\To think you allowed a third sailor warrior to join them...\Jadeite!\Yes, my lady!\You do not have many opportunities left to redeem yourself. response:	I'm already working on a plan to steal a large amount of energy.
context: Something mysterious?\Of the people who went to Dreamland in the last week,\fifty have gone missing.\To think you allowed a third sailor warrior to join them...\Jadeite!\Yes, my lady!\You do not have many opportunities left to redeem yourself.\I'm already working on a plan to steal a large amount of energy. response:	Really?
context: Of the people who went to Dreamland in the last week,\fifty have gone missing.\To think you allowed a third sailor warrior to join them...\Jadeite!\Yes, my lady!\You do not have many opportunities left to redeem yourself.\I'm already working on a plan to steal a large amount of energy.\Really? response:	I will also kill those three sailor warriors, without fail!
context: fifty have gone missing.\To think you allowed a third sailor warrior to join them...\Jadeite!\Yes, my lady!\You do not have many opportunities left to redeem yourself.\I'm already working on a plan to steal a large amount of energy.\Really?\I will also kill those three sailor warriors, without fail! response:	Do not forget what you have just said!
context: To think you allowed a third sailor warrior to join them...\Jadeite!\Yes, my lady!\You do not have many opportunities left to redeem yourself.\I'm already working on a plan to steal a large amount of energy.\Really?\I will also kill those three sailor warriors, without fail!\Do not forget what you have just said! response:	Remember, I can always replace you!
context: Jadeite!\Yes, my lady!\You do not have many opportunities left to redeem yourself.\I'm already working on a plan to steal a large amount of energy.\Really?\I will also kill those three sailor warriors, without fail!\Do not forget what you have just said!\Remember, I can always replace you! response:	I understand.
context: Yes, my lady!\You do not have many opportunities left to redeem yourself.\I'm already working on a plan to steal a large amount of energy.\Really?\I will also kill those three sailor warriors, without fail!\Do not forget what you have just said!\Remember, I can always replace you!\I understand. response:	Dreamland Management Office Information Desk Park Announcement Office
context: You do not have many opportunities left to redeem yourself.\I'm already working on a plan to steal a large amount of energy.\Really?\I will also kill those three sailor warriors, without fail!\Do not forget what you have just said!\Remember, I can always replace you!\I understand.\Dreamland Management Office Information Desk Park Announcement Office response:	Dreamland Management Office Information Desk Park Announcement Office So, I do not think these incidents have anything to do with Dreamland.
context: I'm already working on a plan to steal a large amount of energy.\Really?\I will also kill those three sailor warriors, without fail!\Do not forget what you have just said!\Remember, I can always replace you!\I understand.\Dreamland Management Office Information Desk Park Announcement Office\Dreamland Management Office Information Desk Park Announcement Office So, I do not think these incidents have anything to do with Dreamland. response:	But the fact is, fifty of your customers have gone missing!
context: Really?\I will also kill those three sailor warriors, without fail!\Do not forget what you have just said!\Remember, I can always replace you!\I understand.\Dreamland Management Office Information Desk Park Announcement Office\Dreamland Management Office Information Desk Park Announcement Office So, I do not think these incidents have anything to do with Dreamland.\But the fact is, fifty of your customers have gone missing! response:	The number of people who came in and who came out of here
context: I will also kill those three sailor warriors, without fail!\Do not forget what you have just said!\Remember, I can always replace you!\I understand.\Dreamland Management Office Information Desk Park Announcement Office\Dreamland Management Office Information Desk Park Announcement Office So, I do not think these incidents have anything to do with Dreamland.\But the fact is, fifty of your customers have gone missing!\The number of people who came in and who came out of here response:	has been the same everyday.
context: Do not forget what you have just said!\Remember, I can always replace you!\I understand.\Dreamland Management Office Information Desk Park Announcement Office\Dreamland Management Office Information Desk Park Announcement Office So, I do not think these incidents have anything to do with Dreamland.\But the fact is, fifty of your customers have gone missing!\The number of people who came in and who came out of here\has been the same everyday. response:	It is not as if those people disappeared here.
context: Remember, I can always replace you!\I understand.\Dreamland Management Office Information Desk Park Announcement Office\Dreamland Management Office Information Desk Park Announcement Office So, I do not think these incidents have anything to do with Dreamland.\But the fact is, fifty of your customers have gone missing!\The number of people who came in and who came out of here\has been the same everyday.\It is not as if those people disappeared here. response:	Now, any more of this will be considered obstructing our business.
context: I understand.\Dreamland Management Office Information Desk Park Announcement Office\Dreamland Management Office Information Desk Park Announcement Office So, I do not think these incidents have anything to do with Dreamland.\But the fact is, fifty of your customers have gone missing!\The number of people who came in and who came out of here\has been the same everyday.\It is not as if those people disappeared here.\Now, any more of this will be considered obstructing our business. response:	Please leave!
context: Dreamland Management Office Information Desk Park Announcement Office\Dreamland Management Office Information Desk Park Announcement Office So, I do not think these incidents have anything to do with Dreamland.\But the fact is, fifty of your customers have gone missing!\The number of people who came in and who came out of here\has been the same everyday.\It is not as if those people disappeared here.\Now, any more of this will be considered obstructing our business.\Please leave! response:	How violent!
context: Dreamland Management Office Information Desk Park Announcement Office So, I do not think these incidents have anything to do with Dreamland.\But the fact is, fifty of your customers have gone missing!\The number of people who came in and who came out of here\has been the same everyday.\It is not as if those people disappeared here.\Now, any more of this will be considered obstructing our business.\Please leave!\How violent! response:	Stupid humans...
context: But the fact is, fifty of your customers have gone missing!\The number of people who came in and who came out of here\has been the same everyday.\It is not as if those people disappeared here.\Now, any more of this will be considered obstructing our business.\Please leave!\How violent!\Stupid humans... response:	If the number matches,
context: The number of people who came in and who came out of here\has been the same everyday.\It is not as if those people disappeared here.\Now, any more of this will be considered obstructing our business.\Please leave!\How violent!\Stupid humans...\If the number matches, response:	did those people disappear on their way home from Dreamland?
context: has been the same everyday.\It is not as if those people disappeared here.\Now, any more of this will be considered obstructing our business.\Please leave!\How violent!\Stupid humans...\If the number matches,\did those people disappear on their way home from Dreamland? response:	But it's strange that only people who come here disappear.
context: It is not as if those people disappeared here.\Now, any more of this will be considered obstructing our business.\Please leave!\How violent!\Stupid humans...\If the number matches,\did those people disappear on their way home from Dreamland?\But it's strange that only people who come here disappear. response:	That's true.
context: Now, any more of this will be considered obstructing our business.\Please leave!\How violent!\Stupid humans...\If the number matches,\did those people disappear on their way home from Dreamland?\But it's strange that only people who come here disappear.\That's true. response:	Oh, where did Usagi go?
context: Please leave!\How violent!\Stupid humans...\If the number matches,\did those people disappear on their way home from Dreamland?\But it's strange that only people who come here disappear.\That's true.\Oh, where did Usagi go? response:	I'm sure she's goofing off somewhere again.
context: How violent!\Stupid humans...\If the number matches,\did those people disappear on their way home from Dreamland?\But it's strange that only people who come here disappear.\That's true.\Oh, where did Usagi go?\I'm sure she's goofing off somewhere again. response:	No way.
context: Stupid humans...\If the number matches,\did those people disappear on their way home from Dreamland?\But it's strange that only people who come here disappear.\That's true.\Oh, where did Usagi go?\I'm sure she's goofing off somewhere again.\No way. response:	Yay! No way.
context: If the number matches,\did those people disappear on their way home from Dreamland?\But it's strange that only people who come here disappear.\That's true.\Oh, where did Usagi go?\I'm sure she's goofing off somewhere again.\No way.\Yay! No way. response:	Yay!
context: did those people disappear on their way home from Dreamland?\But it's strange that only people who come here disappear.\That's true.\Oh, where did Usagi go?\I'm sure she's goofing off somewhere again.\No way.\Yay! No way.\Yay! response:	Yahoo! Yahoo! I'm riding a horsie!
context: But it's strange that only people who come here disappear.\That's true.\Oh, where did Usagi go?\I'm sure she's goofing off somewhere again.\No way.\Yay! No way.\Yay!\Yahoo! Yahoo! I'm riding a horsie! response:	Yeeha! Whoa! Whoa!
context: That's true.\Oh, where did Usagi go?\I'm sure she's goofing off somewhere again.\No way.\Yay! No way.\Yay!\Yahoo! Yahoo! I'm riding a horsie!\Yeeha! Whoa! Whoa! response:	I can't believe you!
context: Oh, where did Usagi go?\I'm sure she's goofing off somewhere again.\No way.\Yay! No way.\Yay!\Yahoo! Yahoo! I'm riding a horsie!\Yeeha! Whoa! Whoa!\I can't believe you! response:	Just what were you thinking, Usagi?
context: I'm sure she's goofing off somewhere again.\No way.\Yay! No way.\Yay!\Yahoo! Yahoo! I'm riding a horsie!\Yeeha! Whoa! Whoa!\I can't believe you!\Just what were you thinking, Usagi? response:	I'm sorry, I was wrong.
context: No way.\Yay! No way.\Yay!\Yahoo! Yahoo! I'm riding a horsie!\Yeeha! Whoa! Whoa!\I can't believe you!\Just what were you thinking, Usagi?\I'm sorry, I was wrong. response:	Be more responsible! And you call yourself a sailor warrior?!
context: Yay! No way.\Yay!\Yahoo! Yahoo! I'm riding a horsie!\Yeeha! Whoa! Whoa!\I can't believe you!\Just what were you thinking, Usagi?\I'm sorry, I was wrong.\Be more responsible! And you call yourself a sailor warrior?! response:	Don't be so bossy!
