context: OP response:	-FINIS-
context: The familiar we just encountered was a fragment of a Witch's body. That's why it didn't have grief seeds.\It wasn't a Witch?\We haven't seen any recently.\We can't afford to take familiars lightly, either.\If it matures, it will become the very Witch it split off from.\Now, let's go.\Have you two thought about your wishes?\Madoka? response:	Well, it might get harder to find the answer the more you think about it.
context: It wasn't a Witch?\We haven't seen any recently.\We can't afford to take familiars lightly, either.\If it matures, it will become the very Witch it split off from.\Now, let's go.\Have you two thought about your wishes?\Madoka?\Well, it might get harder to find the answer the more you think about it. response:	What was your wish like, Mami-san?
context: We haven't seen any recently.\We can't afford to take familiars lightly, either.\If it matures, it will become the very Witch it split off from.\Now, let's go.\Have you two thought about your wishes?\Madoka?\Well, it might get harder to find the answer the more you think about it.\What was your wish like, Mami-san? response:	Oh, of course you don't have to tell us if you don't want to.
context: We can't afford to take familiars lightly, either.\If it matures, it will become the very Witch it split off from.\Now, let's go.\Have you two thought about your wishes?\Madoka?\Well, it might get harder to find the answer the more you think about it.\What was your wish like, Mami-san?\Oh, of course you don't have to tell us if you don't want to. response:	Well, I...
context: If it matures, it will become the very Witch it split off from.\Now, let's go.\Have you two thought about your wishes?\Madoka?\Well, it might get harder to find the answer the more you think about it.\What was your wish like, Mami-san?\Oh, of course you don't have to tell us if you don't want to.\Well, I... response:	I didn't even have time to think.
context: Now, let's go.\Have you two thought about your wishes?\Madoka?\Well, it might get harder to find the answer the more you think about it.\What was your wish like, Mami-san?\Oh, of course you don't have to tell us if you don't want to.\Well, I...\I didn't even have time to think. response:	But I don't regret my decision.
context: Have you two thought about your wishes?\Madoka?\Well, it might get harder to find the answer the more you think about it.\What was your wish like, Mami-san?\Oh, of course you don't have to tell us if you don't want to.\Well, I...\I didn't even have time to think.\But I don't regret my decision. response:	The life I lead now is much better than being dead.
context: Madoka?\Well, it might get harder to find the answer the more you think about it.\What was your wish like, Mami-san?\Oh, of course you don't have to tell us if you don't want to.\Well, I...\I didn't even have time to think.\But I don't regret my decision.\The life I lead now is much better than being dead. response:	However, for those of you who have a choice,
context: Well, it might get harder to find the answer the more you think about it.\What was your wish like, Mami-san?\Oh, of course you don't have to tell us if you don't want to.\Well, I...\I didn't even have time to think.\But I don't regret my decision.\The life I lead now is much better than being dead.\However, for those of you who have a choice, response:	I hope that you will consider your options carefully before making a decision.
context: What was your wish like, Mami-san?\Oh, of course you don't have to tell us if you don't want to.\Well, I...\I didn't even have time to think.\But I don't regret my decision.\The life I lead now is much better than being dead.\However, for those of you who have a choice,\I hope that you will consider your options carefully before making a decision. response:	As that is the very thing that I was unable to do.
context: Oh, of course you don't have to tell us if you don't want to.\Well, I...\I didn't even have time to think.\But I don't regret my decision.\The life I lead now is much better than being dead.\However, for those of you who have a choice,\I hope that you will consider your options carefully before making a decision.\As that is the very thing that I was unable to do. response:	Hey, Mami-san.
context: Well, I...\I didn't even have time to think.\But I don't regret my decision.\The life I lead now is much better than being dead.\However, for those of you who have a choice,\I hope that you will consider your options carefully before making a decision.\As that is the very thing that I was unable to do.\Hey, Mami-san. response:	Are all wishes only for the sake of the ones asking?
context: I didn't even have time to think.\But I don't regret my decision.\The life I lead now is much better than being dead.\However, for those of you who have a choice,\I hope that you will consider your options carefully before making a decision.\As that is the very thing that I was unable to do.\Hey, Mami-san.\Are all wishes only for the sake of the ones asking? response:	For example... Just as an example...
context: But I don't regret my decision.\The life I lead now is much better than being dead.\However, for those of you who have a choice,\I hope that you will consider your options carefully before making a decision.\As that is the very thing that I was unable to do.\Hey, Mami-san.\Are all wishes only for the sake of the ones asking?\For example... Just as an example... response:	If there were someone who needed it more than me, and I used the wish for his sake...
context: The life I lead now is much better than being dead.\However, for those of you who have a choice,\I hope that you will consider your options carefully before making a decision.\As that is the very thing that I was unable to do.\Hey, Mami-san.\Are all wishes only for the sake of the ones asking?\For example... Just as an example...\If there were someone who needed it more than me, and I used the wish for his sake... response:	Are you talking about Kamijou-kun?
context: However, for those of you who have a choice,\I hope that you will consider your options carefully before making a decision.\As that is the very thing that I was unable to do.\Hey, Mami-san.\Are all wishes only for the sake of the ones asking?\For example... Just as an example...\If there were someone who needed it more than me, and I used the wish for his sake...\Are you talking about Kamijou-kun? response:	I said it's only an example!
context: I hope that you will consider your options carefully before making a decision.\As that is the very thing that I was unable to do.\Hey, Mami-san.\Are all wishes only for the sake of the ones asking?\For example... Just as an example...\If there were someone who needed it more than me, and I used the wish for his sake...\Are you talking about Kamijou-kun?\I said it's only an example! response:	There is no rule which states that the receiver of the wish must be the contractor.
context: As that is the very thing that I was unable to do.\Hey, Mami-san.\Are all wishes only for the sake of the ones asking?\For example... Just as an example...\If there were someone who needed it more than me, and I used the wish for his sake...\Are you talking about Kamijou-kun?\I said it's only an example!\There is no rule which states that the receiver of the wish must be the contractor. response:	It's not as though it hasn't happened before.
context: Hey, Mami-san.\Are all wishes only for the sake of the ones asking?\For example... Just as an example...\If there were someone who needed it more than me, and I used the wish for his sake...\Are you talking about Kamijou-kun?\I said it's only an example!\There is no rule which states that the receiver of the wish must be the contractor.\It's not as though it hasn't happened before. response:	However, it's not something to be admired.
context: Are all wishes only for the sake of the ones asking?\For example... Just as an example...\If there were someone who needed it more than me, and I used the wish for his sake...\Are you talking about Kamijou-kun?\I said it's only an example!\There is no rule which states that the receiver of the wish must be the contractor.\It's not as though it hasn't happened before.\However, it's not something to be admired. response:	If you want to fulfill someone else's wish,
context: For example... Just as an example...\If there were someone who needed it more than me, and I used the wish for his sake...\Are you talking about Kamijou-kun?\I said it's only an example!\There is no rule which states that the receiver of the wish must be the contractor.\It's not as though it hasn't happened before.\However, it's not something to be admired.\If you want to fulfill someone else's wish, response:	you must first make your goal clear.
context: If there were someone who needed it more than me, and I used the wish for his sake...\Are you talking about Kamijou-kun?\I said it's only an example!\There is no rule which states that the receiver of the wish must be the contractor.\It's not as though it hasn't happened before.\However, it's not something to be admired.\If you want to fulfill someone else's wish,\you must first make your goal clear. response:	Miki-san, are you hoping that he will help you fulfill your own dreams?
context: Are you talking about Kamijou-kun?\I said it's only an example!\There is no rule which states that the receiver of the wish must be the contractor.\It's not as though it hasn't happened before.\However, it's not something to be admired.\If you want to fulfill someone else's wish,\you must first make your goal clear.\Miki-san, are you hoping that he will help you fulfill your own dreams? response:	Or do you want to show your kindness by fulfilling his dream?
context: I said it's only an example!\There is no rule which states that the receiver of the wish must be the contractor.\It's not as though it hasn't happened before.\However, it's not something to be admired.\If you want to fulfill someone else's wish,\you must first make your goal clear.\Miki-san, are you hoping that he will help you fulfill your own dreams?\Or do you want to show your kindness by fulfilling his dream? response:	Mami-san.
context: There is no rule which states that the receiver of the wish must be the contractor.\It's not as though it hasn't happened before.\However, it's not something to be admired.\If you want to fulfill someone else's wish,\you must first make your goal clear.\Miki-san, are you hoping that he will help you fulfill your own dreams?\Or do you want to show your kindness by fulfilling his dream?\Mami-san. response:	Though they sound similar, they're two very different things.
context: It's not as though it hasn't happened before.\However, it's not something to be admired.\If you want to fulfill someone else's wish,\you must first make your goal clear.\Miki-san, are you hoping that he will help you fulfill your own dreams?\Or do you want to show your kindness by fulfilling his dream?\Mami-san.\Though they sound similar, they're two very different things. response:	That choice...
context: However, it's not something to be admired.\If you want to fulfill someone else's wish,\you must first make your goal clear.\Miki-san, are you hoping that he will help you fulfill your own dreams?\Or do you want to show your kindness by fulfilling his dream?\Mami-san.\Though they sound similar, they're two very different things.\That choice... response:	Don't you think it's too cruel when you put it that way?
context: If you want to fulfill someone else's wish,\you must first make your goal clear.\Miki-san, are you hoping that he will help you fulfill your own dreams?\Or do you want to show your kindness by fulfilling his dream?\Mami-san.\Though they sound similar, they're two very different things.\That choice...\Don't you think it's too cruel when you put it that way? response:	I'm sorry, but I should make this clear now.
context: you must first make your goal clear.\Miki-san, are you hoping that he will help you fulfill your own dreams?\Or do you want to show your kindness by fulfilling his dream?\Mami-san.\Though they sound similar, they're two very different things.\That choice...\Don't you think it's too cruel when you put it that way?\I'm sorry, but I should make this clear now. response:	If you don't get it straight, you will definitely regret your decision.
context: Miki-san, are you hoping that he will help you fulfill your own dreams?\Or do you want to show your kindness by fulfilling his dream?\Mami-san.\Though they sound similar, they're two very different things.\That choice...\Don't you think it's too cruel when you put it that way?\I'm sorry, but I should make this clear now.\If you don't get it straight, you will definitely regret your decision. response:	You're right. I wasn't thinking carefully enough. Sorry.
context: Or do you want to show your kindness by fulfilling his dream?\Mami-san.\Though they sound similar, they're two very different things.\That choice...\Don't you think it's too cruel when you put it that way?\I'm sorry, but I should make this clear now.\If you don't get it straight, you will definitely regret your decision.\You're right. I wasn't thinking carefully enough. Sorry. response:	Making a decision is not a simple thing to do.
context: Mami-san.\Though they sound similar, they're two very different things.\That choice...\Don't you think it's too cruel when you put it that way?\I'm sorry, but I should make this clear now.\If you don't get it straight, you will definitely regret your decision.\You're right. I wasn't thinking carefully enough. Sorry.\Making a decision is not a simple thing to do. response:	Don't rush it resulting in a poor choice.
context: Though they sound similar, they're two very different things.\That choice...\Don't you think it's too cruel when you put it that way?\I'm sorry, but I should make this clear now.\If you don't get it straight, you will definitely regret your decision.\You're right. I wasn't thinking carefully enough. Sorry.\Making a decision is not a simple thing to do.\Don't rush it resulting in a poor choice. response:	On the contrary, I think it's best to choose as soon as possible.
context: That choice...\Don't you think it's too cruel when you put it that way?\I'm sorry, but I should make this clear now.\If you don't get it straight, you will definitely regret your decision.\You're right. I wasn't thinking carefully enough. Sorry.\Making a decision is not a simple thing to do.\Don't rush it resulting in a poor choice.\On the contrary, I think it's best to choose as soon as possible. response:	That's no good. Guys who try to rush things with girls always end up failing.
context: Don't you think it's too cruel when you put it that way?\I'm sorry, but I should make this clear now.\If you don't get it straight, you will definitely regret your decision.\You're right. I wasn't thinking carefully enough. Sorry.\Making a decision is not a simple thing to do.\Don't rush it resulting in a poor choice.\On the contrary, I think it's best to choose as soon as possible.\That's no good. Guys who try to rush things with girls always end up failing. response:	This really isn't a simple choice, is it?
context: I'm sorry, but I should make this clear now.\If you don't get it straight, you will definitely regret your decision.\You're right. I wasn't thinking carefully enough. Sorry.\Making a decision is not a simple thing to do.\Don't rush it resulting in a poor choice.\On the contrary, I think it's best to choose as soon as possible.\That's no good. Guys who try to rush things with girls always end up failing.\This really isn't a simple choice, is it? response:	Even in my situation, I can't rush you.
context: If you don't get it straight, you will definitely regret your decision.\You're right. I wasn't thinking carefully enough. Sorry.\Making a decision is not a simple thing to do.\Don't rush it resulting in a poor choice.\On the contrary, I think it's best to choose as soon as possible.\That's no good. Guys who try to rush things with girls always end up failing.\This really isn't a simple choice, is it?\Even in my situation, I can't rush you. response:	It's prohibited to offer suggestions.
context: You're right. I wasn't thinking carefully enough. Sorry.\Making a decision is not a simple thing to do.\Don't rush it resulting in a poor choice.\On the contrary, I think it's best to choose as soon as possible.\That's no good. Guys who try to rush things with girls always end up failing.\This really isn't a simple choice, is it?\Even in my situation, I can't rush you.\It's prohibited to offer suggestions. response:	Couldn't I just become a Magical Girl?
context: Making a decision is not a simple thing to do.\Don't rush it resulting in a poor choice.\On the contrary, I think it's best to choose as soon as possible.\That's no good. Guys who try to rush things with girls always end up failing.\This really isn't a simple choice, is it?\Even in my situation, I can't rush you.\It's prohibited to offer suggestions.\Couldn't I just become a Magical Girl? response:	Madoka, did you know that despair is a source of power for our bodies?
context: Don't rush it resulting in a poor choice.\On the contrary, I think it's best to choose as soon as possible.\That's no good. Guys who try to rush things with girls always end up failing.\This really isn't a simple choice, is it?\Even in my situation, I can't rush you.\It's prohibited to offer suggestions.\Couldn't I just become a Magical Girl?\Madoka, did you know that despair is a source of power for our bodies? response:	No, I didn't know that.
context: On the contrary, I think it's best to choose as soon as possible.\That's no good. Guys who try to rush things with girls always end up failing.\This really isn't a simple choice, is it?\Even in my situation, I can't rush you.\It's prohibited to offer suggestions.\Couldn't I just become a Magical Girl?\Madoka, did you know that despair is a source of power for our bodies?\No, I didn't know that. response:	But I guess that's right.
context: That's no good. Guys who try to rush things with girls always end up failing.\This really isn't a simple choice, is it?\Even in my situation, I can't rush you.\It's prohibited to offer suggestions.\Couldn't I just become a Magical Girl?\Madoka, did you know that despair is a source of power for our bodies?\No, I didn't know that.\But I guess that's right. response:	I'm really dumb, clumsy, and have no special traits to speak of.
context: This really isn't a simple choice, is it?\Even in my situation, I can't rush you.\It's prohibited to offer suggestions.\Couldn't I just become a Magical Girl?\Madoka, did you know that despair is a source of power for our bodies?\No, I didn't know that.\But I guess that's right.\I'm really dumb, clumsy, and have no special traits to speak of. response:	If I were able to become as cool and pretty as Mami-san,
context: Even in my situation, I can't rush you.\It's prohibited to offer suggestions.\Couldn't I just become a Magical Girl?\Madoka, did you know that despair is a source of power for our bodies?\No, I didn't know that.\But I guess that's right.\I'm really dumb, clumsy, and have no special traits to speak of.\If I were able to become as cool and pretty as Mami-san, response:	that would make me very happy.
context: It's prohibited to offer suggestions.\Couldn't I just become a Magical Girl?\Madoka, did you know that despair is a source of power for our bodies?\No, I didn't know that.\But I guess that's right.\I'm really dumb, clumsy, and have no special traits to speak of.\If I were able to become as cool and pretty as Mami-san,\that would make me very happy. response:	If you become a Magical Girl,
context: Couldn't I just become a Magical Girl?\Madoka, did you know that despair is a source of power for our bodies?\No, I didn't know that.\But I guess that's right.\I'm really dumb, clumsy, and have no special traits to speak of.\If I were able to become as cool and pretty as Mami-san,\that would make me very happy.\If you become a Magical Girl, response:	you would far surpass Mami's beauty.
context: Madoka, did you know that despair is a source of power for our bodies?\No, I didn't know that.\But I guess that's right.\I'm really dumb, clumsy, and have no special traits to speak of.\If I were able to become as cool and pretty as Mami-san,\that would make me very happy.\If you become a Magical Girl,\you would far surpass Mami's beauty. response:	Of course, that all depends on the wish you make to fulfill the contract.
context: No, I didn't know that.\But I guess that's right.\I'm really dumb, clumsy, and have no special traits to speak of.\If I were able to become as cool and pretty as Mami-san,\that would make me very happy.\If you become a Magical Girl,\you would far surpass Mami's beauty.\Of course, that all depends on the wish you make to fulfill the contract. response:	You may even come to create a large Soul Gem.
context: But I guess that's right.\I'm really dumb, clumsy, and have no special traits to speak of.\If I were able to become as cool and pretty as Mami-san,\that would make me very happy.\If you become a Magical Girl,\you would far surpass Mami's beauty.\Of course, that all depends on the wish you make to fulfill the contract.\You may even come to create a large Soul Gem. response:	Even I am unable to predict what will happen.
context: I'm really dumb, clumsy, and have no special traits to speak of.\If I were able to become as cool and pretty as Mami-san,\that would make me very happy.\If you become a Magical Girl,\you would far surpass Mami's beauty.\Of course, that all depends on the wish you make to fulfill the contract.\You may even come to create a large Soul Gem.\Even I am unable to predict what will happen. response:	This is the first time I've met someone with such latent potential.
context: If I were able to become as cool and pretty as Mami-san,\that would make me very happy.\If you become a Magical Girl,\you would far surpass Mami's beauty.\Of course, that all depends on the wish you make to fulfill the contract.\You may even come to create a large Soul Gem.\Even I am unable to predict what will happen.\This is the first time I've met someone with such latent potential. response:	What are you talking about? You must be making that up.
context: that would make me very happy.\If you become a Magical Girl,\you would far surpass Mami's beauty.\Of course, that all depends on the wish you make to fulfill the contract.\You may even come to create a large Soul Gem.\Even I am unable to predict what will happen.\This is the first time I've met someone with such latent potential.\What are you talking about? You must be making that up. response:	I'm not.
context: If you become a Magical Girl,\you would far surpass Mami's beauty.\Of course, that all depends on the wish you make to fulfill the contract.\You may even come to create a large Soul Gem.\Even I am unable to predict what will happen.\This is the first time I've met someone with such latent potential.\What are you talking about? You must be making that up.\I'm not. response:	Madoka, are you still awake?
context: you would far surpass Mami's beauty.\Of course, that all depends on the wish you make to fulfill the contract.\You may even come to create a large Soul Gem.\Even I am unable to predict what will happen.\This is the first time I've met someone with such latent potential.\What are you talking about? You must be making that up.\I'm not.\Madoka, are you still awake? response:	Yeah. What's up?
context: Of course, that all depends on the wish you make to fulfill the contract.\You may even come to create a large Soul Gem.\Even I am unable to predict what will happen.\This is the first time I've met someone with such latent potential.\What are you talking about? You must be making that up.\I'm not.\Madoka, are you still awake?\Yeah. What's up? response:	Oh, again?
context: You may even come to create a large Soul Gem.\Even I am unable to predict what will happen.\This is the first time I've met someone with such latent potential.\What are you talking about? You must be making that up.\I'm not.\Madoka, are you still awake?\Yeah. What's up?\Oh, again? response:	What are we gonna do with you?
context: Even I am unable to predict what will happen.\This is the first time I've met someone with such latent potential.\What are you talking about? You must be making that up.\I'm not.\Madoka, are you still awake?\Yeah. What's up?\Oh, again?\What are we gonna do with you? response:	W-Water.
context: This is the first time I've met someone with such latent potential.\What are you talking about? You must be making that up.\I'm not.\Madoka, are you still awake?\Yeah. What's up?\Oh, again?\What are we gonna do with you?\W-Water. response:	That damn baldy.
context: What are you talking about? You must be making that up.\I'm not.\Madoka, are you still awake?\Yeah. What's up?\Oh, again?\What are we gonna do with you?\W-Water.\That damn baldy. response:	He should just let me drink what I want.
context: I'm not.\Madoka, are you still awake?\Yeah. What's up?\Oh, again?\What are we gonna do with you?\W-Water.\That damn baldy.\He should just let me drink what I want. response:	Thanks for the assist. Would you like some hot choco?
context: Madoka, are you still awake?\Yeah. What's up?\Oh, again?\What are we gonna do with you?\W-Water.\That damn baldy.\He should just let me drink what I want.\Thanks for the assist. Would you like some hot choco? response:	Yes, please.
context: Yeah. What's up?\Oh, again?\What are we gonna do with you?\W-Water.\That damn baldy.\He should just let me drink what I want.\Thanks for the assist. Would you like some hot choco?\Yes, please. response:	Why does Mama like work so much?
context: Oh, again?\What are we gonna do with you?\W-Water.\That damn baldy.\He should just let me drink what I want.\Thanks for the assist. Would you like some hot choco?\Yes, please.\Why does Mama like work so much? response:	Working for that company can't be Mama's dream, right?
context: What are we gonna do with you?\W-Water.\That damn baldy.\He should just let me drink what I want.\Thanks for the assist. Would you like some hot choco?\Yes, please.\Why does Mama like work so much?\Working for that company can't be Mama's dream, right? response:	Mama doesn't like to work, but she likes to do her best.
context: W-Water.\That damn baldy.\He should just let me drink what I want.\Thanks for the assist. Would you like some hot choco?\Yes, please.\Why does Mama like work so much?\Working for that company can't be Mama's dream, right?\Mama doesn't like to work, but she likes to do her best. response:	There are lots of things that are painful and ugly,
context: That damn baldy.\He should just let me drink what I want.\Thanks for the assist. Would you like some hot choco?\Yes, please.\Why does Mama like work so much?\Working for that company can't be Mama's dream, right?\Mama doesn't like to work, but she likes to do her best.\There are lots of things that are painful and ugly, response:	but the satisfying feeling that you get at the end of the day
context: He should just let me drink what I want.\Thanks for the assist. Would you like some hot choco?\Yes, please.\Why does Mama like work so much?\Working for that company can't be Mama's dream, right?\Mama doesn't like to work, but she likes to do her best.\There are lots of things that are painful and ugly,\but the satisfying feeling that you get at the end of the day response:	that is what's important to your Mama.
context: Thanks for the assist. Would you like some hot choco?\Yes, please.\Why does Mama like work so much?\Working for that company can't be Mama's dream, right?\Mama doesn't like to work, but she likes to do her best.\There are lots of things that are painful and ugly,\but the satisfying feeling that you get at the end of the day\that is what's important to your Mama. response:	Although going to work isn't much of a dream,
context: Yes, please.\Why does Mama like work so much?\Working for that company can't be Mama's dream, right?\Mama doesn't like to work, but she likes to do her best.\There are lots of things that are painful and ugly,\but the satisfying feeling that you get at the end of the day\that is what's important to your Mama.\Although going to work isn't much of a dream, response:	she's still living according to her ideals.
context: Why does Mama like work so much?\Working for that company can't be Mama's dream, right?\Mama doesn't like to work, but she likes to do her best.\There are lots of things that are painful and ugly,\but the satisfying feeling that you get at the end of the day\that is what's important to your Mama.\Although going to work isn't much of a dream,\she's still living according to her ideals. response:	Sometimes dreams can be fulfilled that way.
context: Working for that company can't be Mama's dream, right?\Mama doesn't like to work, but she likes to do her best.\There are lots of things that are painful and ugly,\but the satisfying feeling that you get at the end of the day\that is what's important to your Mama.\Although going to work isn't much of a dream,\she's still living according to her ideals.\Sometimes dreams can be fulfilled that way. response:	Living according to your ideals as a dream?
context: Mama doesn't like to work, but she likes to do her best.\There are lots of things that are painful and ugly,\but the satisfying feeling that you get at the end of the day\that is what's important to your Mama.\Although going to work isn't much of a dream,\she's still living according to her ideals.\Sometimes dreams can be fulfilled that way.\Living according to your ideals as a dream? response:	Everyone has a different opinion.
context: There are lots of things that are painful and ugly,\but the satisfying feeling that you get at the end of the day\that is what's important to your Mama.\Although going to work isn't much of a dream,\she's still living according to her ideals.\Sometimes dreams can be fulfilled that way.\Living according to your ideals as a dream?\Everyone has a different opinion. response:	But that's what I love about your Mama.
context: but the satisfying feeling that you get at the end of the day\that is what's important to your Mama.\Although going to work isn't much of a dream,\she's still living according to her ideals.\Sometimes dreams can be fulfilled that way.\Living according to your ideals as a dream?\Everyone has a different opinion.\But that's what I love about your Mama. response:	I respect and feel proud of her. She's a very outstanding person.
