context: Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: This talent that the man named Dio called a Stand.\Dio?\Did you say Dio?\Jotaro? Is something...\What?!\You fools!\It looks like you were so busy\listening to my story that you forgot about my Aqua Necklace! response:	Angelo, you bastard!
context: Dio?\Did you say Dio?\Jotaro? Is something...\What?!\You fools!\It looks like you were so busy\listening to my story that you forgot about my Aqua Necklace!\Angelo, you bastard! response:	Josuke! Hurry up and get me out of this rock!
context: Did you say Dio?\Jotaro? Is something...\What?!\You fools!\It looks like you were so busy\listening to my story that you forgot about my Aqua Necklace!\Angelo, you bastard!\Josuke! Hurry up and get me out of this rock! response:	It would appear that...
context: Jotaro? Is something...\What?!\You fools!\It looks like you were so busy\listening to my story that you forgot about my Aqua Necklace!\Angelo, you bastard!\Josuke! Hurry up and get me out of this rock!\It would appear that... response:	I didn't have enough rage in my heart for you.
context: What?!\You fools!\It looks like you were so busy\listening to my story that you forgot about my Aqua Necklace!\Angelo, you bastard!\Josuke! Hurry up and get me out of this rock!\It would appear that...\I didn't have enough rage in my heart for you. response:	What are you doing? Stop messing with your stupid hair!
context: You fools!\It looks like you were so busy\listening to my story that you forgot about my Aqua Necklace!\Angelo, you bastard!\Josuke! Hurry up and get me out of this rock!\It would appear that...\I didn't have enough rage in my heart for you.\What are you doing? Stop messing with your stupid hair! response:	I'm gonna kill this brat! Let me out right now!
context: It looks like you were so busy\listening to my story that you forgot about my Aqua Necklace!\Angelo, you bastard!\Josuke! Hurry up and get me out of this rock!\It would appear that...\I didn't have enough rage in my heart for you.\What are you doing? Stop messing with your stupid hair!\I'm gonna kill this brat! Let me out right now! response:	What did you say...
context: listening to my story that you forgot about my Aqua Necklace!\Angelo, you bastard!\Josuke! Hurry up and get me out of this rock!\It would appear that...\I didn't have enough rage in my heart for you.\What are you doing? Stop messing with your stupid hair!\I'm gonna kill this brat! Let me out right now!\What did you say... response:	Don't be rash, Josuke!
context: Angelo, you bastard!\Josuke! Hurry up and get me out of this rock!\It would appear that...\I didn't have enough rage in my heart for you.\What are you doing? Stop messing with your stupid hair!\I'm gonna kill this brat! Let me out right now!\What did you say...\Don't be rash, Josuke! response:	Y-You know... If you kill me,
context: Josuke! Hurry up and get me out of this rock!\It would appear that...\I didn't have enough rage in my heart for you.\What are you doing? Stop messing with your stupid hair!\I'm gonna kill this brat! Let me out right now!\What did you say...\Don't be rash, Josuke!\Y-You know... If you kill me, response:	the guy in the school uniform won't let it slide!
context: It would appear that...\I didn't have enough rage in my heart for you.\What are you doing? Stop messing with your stupid hair!\I'm gonna kill this brat! Let me out right now!\What did you say...\Don't be rash, Josuke!\Y-You know... If you kill me,\the guy in the school uniform won't let it slide! response:	He lives in this town, too!
context: I didn't have enough rage in my heart for you.\What are you doing? Stop messing with your stupid hair!\I'm gonna kill this brat! Let me out right now!\What did you say...\Don't be rash, Josuke!\Y-You know... If you kill me,\the guy in the school uniform won't let it slide!\He lives in this town, too! response:	What? Josuke, wait!
context: What are you doing? Stop messing with your stupid hair!\I'm gonna kill this brat! Let me out right now!\What did you say...\Don't be rash, Josuke!\Y-You know... If you kill me,\the guy in the school uniform won't let it slide!\He lives in this town, too!\What? Josuke, wait! response:	Ker-Blam
context: I'm gonna kill this brat! Let me out right now!\What did you say...\Don't be rash, Josuke!\Y-You know... If you kill me,\the guy in the school uniform won't let it slide!\He lives in this town, too!\What? Josuke, wait!\Ker-Blam response:	Yeah... I just didn't have enough rage earlier.
context: What did you say...\Don't be rash, Josuke!\Y-You know... If you kill me,\the guy in the school uniform won't let it slide!\He lives in this town, too!\What? Josuke, wait!\Ker-Blam\Yeah... I just didn't have enough rage earlier. response:	I needed to do a great job of burying that asshole into the rock, like this.
context: Don't be rash, Josuke!\Y-You know... If you kill me,\the guy in the school uniform won't let it slide!\He lives in this town, too!\What? Josuke, wait!\Ker-Blam\Yeah... I just didn't have enough rage earlier.\I needed to do a great job of burying that asshole into the rock, like this. response:	Good grief.
context: Y-You know... If you kill me,\the guy in the school uniform won't let it slide!\He lives in this town, too!\What? Josuke, wait!\Ker-Blam\Yeah... I just didn't have enough rage earlier.\I needed to do a great job of burying that asshole into the rock, like this.\Good grief. response:	I wanted to get a bit more out of him.
context: the guy in the school uniform won't let it slide!\He lives in this town, too!\What? Josuke, wait!\Ker-Blam\Yeah... I just didn't have enough rage earlier.\I needed to do a great job of burying that asshole into the rock, like this.\Good grief.\I wanted to get a bit more out of him. response:	Huh? You actually believe the crap he was saying?
context: He lives in this town, too!\What? Josuke, wait!\Ker-Blam\Yeah... I just didn't have enough rage earlier.\I needed to do a great job of burying that asshole into the rock, like this.\Good grief.\I wanted to get a bit more out of him.\Huh? You actually believe the crap he was saying? response:	It wasn't crap. He said Dio's name.
context: What? Josuke, wait!\Ker-Blam\Yeah... I just didn't have enough rage earlier.\I needed to do a great job of burying that asshole into the rock, like this.\Good grief.\I wanted to get a bit more out of him.\Huh? You actually believe the crap he was saying?\It wasn't crap. He said Dio's name. response:	Who is that, anyway?
context: Ker-Blam\Yeah... I just didn't have enough rage earlier.\I needed to do a great job of burying that asshole into the rock, like this.\Good grief.\I wanted to get a bit more out of him.\Huh? You actually believe the crap he was saying?\It wasn't crap. He said Dio's name.\Who is that, anyway? response:	He's a man that the Joestar family has been fighting for over a hundred years.
context: Yeah... I just didn't have enough rage earlier.\I needed to do a great job of burying that asshole into the rock, like this.\Good grief.\I wanted to get a bit more out of him.\Huh? You actually believe the crap he was saying?\It wasn't crap. He said Dio's name.\Who is that, anyway?\He's a man that the Joestar family has been fighting for over a hundred years. response:	My friends and I fought Dio and defeated him.
context: I needed to do a great job of burying that asshole into the rock, like this.\Good grief.\I wanted to get a bit more out of him.\Huh? You actually believe the crap he was saying?\It wasn't crap. He said Dio's name.\Who is that, anyway?\He's a man that the Joestar family has been fighting for over a hundred years.\My friends and I fought Dio and defeated him. response:	But there was one thing that I didn't understand.
context: Good grief.\I wanted to get a bit more out of him.\Huh? You actually believe the crap he was saying?\It wasn't crap. He said Dio's name.\Who is that, anyway?\He's a man that the Joestar family has been fighting for over a hundred years.\My friends and I fought Dio and defeated him.\But there was one thing that I didn't understand. response:	Back in 1987, why did the man called Dio suddenly acquire a Stand?
context: I wanted to get a bit more out of him.\Huh? You actually believe the crap he was saying?\It wasn't crap. He said Dio's name.\Who is that, anyway?\He's a man that the Joestar family has been fighting for over a hundred years.\My friends and I fought Dio and defeated him.\But there was one thing that I didn't understand.\Back in 1987, why did the man called Dio suddenly acquire a Stand? response:	Could the same person have made him a Stand user?
context: Huh? You actually believe the crap he was saying?\It wasn't crap. He said Dio's name.\Who is that, anyway?\He's a man that the Joestar family has been fighting for over a hundred years.\My friends and I fought Dio and defeated him.\But there was one thing that I didn't understand.\Back in 1987, why did the man called Dio suddenly acquire a Stand?\Could the same person have made him a Stand user? response:	Yeah... The guy in the school uniform might be our new enemy.
context: It wasn't crap. He said Dio's name.\Who is that, anyway?\He's a man that the Joestar family has been fighting for over a hundred years.\My friends and I fought Dio and defeated him.\But there was one thing that I didn't understand.\Back in 1987, why did the man called Dio suddenly acquire a Stand?\Could the same person have made him a Stand user?\Yeah... The guy in the school uniform might be our new enemy. response:	Or perhaps it's the bow and arrow he had.
context: Who is that, anyway?\He's a man that the Joestar family has been fighting for over a hundred years.\My friends and I fought Dio and defeated him.\But there was one thing that I didn't understand.\Back in 1987, why did the man called Dio suddenly acquire a Stand?\Could the same person have made him a Stand user?\Yeah... The guy in the school uniform might be our new enemy.\Or perhaps it's the bow and arrow he had. response:	If that's somewhere in this city...
context: He's a man that the Joestar family has been fighting for over a hundred years.\My friends and I fought Dio and defeated him.\But there was one thing that I didn't understand.\Back in 1987, why did the man called Dio suddenly acquire a Stand?\Could the same person have made him a Stand user?\Yeah... The guy in the school uniform might be our new enemy.\Or perhaps it's the bow and arrow he had.\If that's somewhere in this city... response:	Then it's hard to believe that Angelo's the only danger here.
context: My friends and I fought Dio and defeated him.\But there was one thing that I didn't understand.\Back in 1987, why did the man called Dio suddenly acquire a Stand?\Could the same person have made him a Stand user?\Yeah... The guy in the school uniform might be our new enemy.\Or perhaps it's the bow and arrow he had.\If that's somewhere in this city...\Then it's hard to believe that Angelo's the only danger here. response:	Good grief...
context: But there was one thing that I didn't understand.\Back in 1987, why did the man called Dio suddenly acquire a Stand?\Could the same person have made him a Stand user?\Yeah... The guy in the school uniform might be our new enemy.\Or perhaps it's the bow and arrow he had.\If that's somewhere in this city...\Then it's hard to believe that Angelo's the only danger here.\Good grief... response:	Morioh City Report
context: Back in 1987, why did the man called Dio suddenly acquire a Stand?\Could the same person have made him a Stand user?\Yeah... The guy in the school uniform might be our new enemy.\Or perhaps it's the bow and arrow he had.\If that's somewhere in this city...\Then it's hard to believe that Angelo's the only danger here.\Good grief...\Morioh City Report response:	Morioh City Report
context: Could the same person have made him a Stand user?\Yeah... The guy in the school uniform might be our new enemy.\Or perhaps it's the bow and arrow he had.\If that's somewhere in this city...\Then it's hard to believe that Angelo's the only danger here.\Good grief...\Morioh City Report\Morioh City Report response:	It's just like Jotaro said.
context: Yeah... The guy in the school uniform might be our new enemy.\Or perhaps it's the bow and arrow he had.\If that's somewhere in this city...\Then it's hard to believe that Angelo's the only danger here.\Good grief...\Morioh City Report\Morioh City Report\It's just like Jotaro said. response:	There's no doubt that the worst thing imaginable is hiding in this city.
context: Or perhaps it's the bow and arrow he had.\If that's somewhere in this city...\Then it's hard to believe that Angelo's the only danger here.\Good grief...\Morioh City Report\Morioh City Report\It's just like Jotaro said.\There's no doubt that the worst thing imaginable is hiding in this city. response:	An extremely terrible danger is coming to this city...
context: If that's somewhere in this city...\Then it's hard to believe that Angelo's the only danger here.\Good grief...\Morioh City Report\Morioh City Report\It's just like Jotaro said.\There's no doubt that the worst thing imaginable is hiding in this city.\An extremely terrible danger is coming to this city... response:	No, it's already begun.
context: Then it's hard to believe that Angelo's the only danger here.\Good grief...\Morioh City Report\Morioh City Report\It's just like Jotaro said.\There's no doubt that the worst thing imaginable is hiding in this city.\An extremely terrible danger is coming to this city...\No, it's already begun. response:	Since the beginning of this year, 1999, 81 people have disappeared in Morioh City.
context: Good grief...\Morioh City Report\Morioh City Report\It's just like Jotaro said.\There's no doubt that the worst thing imaginable is hiding in this city.\An extremely terrible danger is coming to this city...\No, it's already begun.\Since the beginning of this year, 1999, 81 people have disappeared in Morioh City. response:	Abductions Kidnapping Cases
context: Morioh City Report\Morioh City Report\It's just like Jotaro said.\There's no doubt that the worst thing imaginable is hiding in this city.\An extremely terrible danger is coming to this city...\No, it's already begun.\Since the beginning of this year, 1999, 81 people have disappeared in Morioh City.\Abductions Kidnapping Cases response:	Of that number, 45 of them were young boys and girls.
context: Morioh City Report\It's just like Jotaro said.\There's no doubt that the worst thing imaginable is hiding in this city.\An extremely terrible danger is coming to this city...\No, it's already begun.\Since the beginning of this year, 1999, 81 people have disappeared in Morioh City.\Abductions Kidnapping Cases\Of that number, 45 of them were young boys and girls. response:	Even if some were runaways,
context: It's just like Jotaro said.\There's no doubt that the worst thing imaginable is hiding in this city.\An extremely terrible danger is coming to this city...\No, it's already begun.\Since the beginning of this year, 1999, 81 people have disappeared in Morioh City.\Abductions Kidnapping Cases\Of that number, 45 of them were young boys and girls.\Even if some were runaways, response:	Have You Seen This Person?
context: There's no doubt that the worst thing imaginable is hiding in this city.\An extremely terrible danger is coming to this city...\No, it's already begun.\Since the beginning of this year, 1999, 81 people have disappeared in Morioh City.\Abductions Kidnapping Cases\Of that number, 45 of them were young boys and girls.\Even if some were runaways,\Have You Seen This Person? response:	that's still seven to eight times greater than Japan's national average per city.
